negatives
"('Q9C0C7', 'Q5TYX0')"
"('Q99828', 'P26842')"
"('P52798', 'P06213')"
"('P31749', 'O43464')"
"('Q99759', 'Q99683')"
"('Q5T4S7', 'P34897')"
"('Q9NVP2', 'Q9Y294')"
"('P35590', 'Q99750')"
"('Q86XR8', 'P13688')"
"('Q9BUL8', 'P30153')"
"('Q9NVI7', 'P43307')"
"('Q9H3R5', 'P20700')"
"('Q92905', 'Q8IY63')"
"('Q9UJP4', 'Q96CT2')"
"('Q9NX70', 'Q9Y2X0')"
"('P61024', 'Q13309')"
"('O95229', 'P20700')"
"('Q9BVA1', 'P68363')"
"('O43847', 'P16234')"
"('P54725', 'Q9UNN5')"
"('Q9BQA1', 'O75317')"
"('Q96CM8', 'P02654')"
"('P08637', 'Q8NHL6')"
"('Q9NXB0', 'P61923')"
"('Q96MY7', 'Q8NHQ1')"
"('P68371', 'P13612')"
"('Q9UBK9', 'P03372')"
"('Q86VP6', 'P06748')"
"('Q07666', 'P35226')"
"('Q9UKM9', 'Q9BZS1')"
"('Q16531', 'Q12874')"
"('P60329', 'A8MQ03')"
"('Q9C0C9', 'P51532')"
"('Q13616', 'O60826')"
"('O75594', 'P17066')"
"('P46783', 'P62249')"
"('Q08J23', 'Q96KR7')"
"('Q9Y5E8', 'Q9HC21')"
"('Q15717', 'Q99576')"
"('Q86WR0', 'Q8NDH3')"
"('Q13501', 'Q504Q3')"
"('Q96II8', 'Q16643')"
"('P05181', 'Q13287')"
"('Q13618', 'Q12849')"
"('Q99459', 'P11387')"
"('Q92499', 'Q52LJ0')"
"('Q9UIA9', 'P51784')"
"('Q6IQ23', 'Q15437')"
"('O75695', 'P83436')"
"('P08727', 'Q9NX04')"
"('Q01167', 'Q4LE39')"
"('Q05086', 'P55854')"
"('P33778', 'P62805')"
"('Q13257', 'P35613')"
"('O14867', 'Q16236')"
"('Q71UI9', 'Q08AD1')"
"('O14964', 'Q13233')"
"('Q96FX7', 'Q9UPQ0')"
"('P55201', 'Q6P1J9')"
"('P51668', 'Q9C040')"
"('P60709', 'Q14164')"
"('P06748', 'Q9H0U6')"
"('P46776', 'P61247')"
"('Q96D46', 'Q9Y2L1')"
"('P55209', 'Q92844')"
"('Q9C0F1', 'P45984')"
"('Q8N143', 'Q9BZW7')"
"('Q8IUQ4', 'Q9BVG8')"
"('Q8IZL9', 'Q9UNE7')"
"('Q52LR7', 'Q15014')"
"('P05067', 'Q9NVT9')"
"('Q9NVN8', 'Q6UX06')"
"('Q7L190', 'Q8N5A5')"
"('Q9Y6M9', 'P06576')"
"('Q96T37', 'Q14999')"
"('P23258', 'P62753')"
"('P14317', 'P36915')"
"('Q92841', 'Q15459')"
"('P27635', 'Q6KC79')"
"('P52597', 'P00533')"
"('Q9UFD9', 'P56545')"
"('P36578', 'P62910')"
"('Q9BZE4', 'P25311')"
"('Q5T8P6', 'Q9UPS6')"
"('P60660', 'P40692')"
"('P10721', 'P08631')"
"('P62906', 'P62913')"
"('P12830', 'Q9H7U1')"
"('P00441', 'Q9Y3C8')"
"('P27348', 'P31946')"
"('P43364', 'Q96EN9')"
"('Q01082', 'Q9UBU9')"
"('Q9H7X3', 'Q8N5Z5')"
"('O15265', 'O75925')"
"('P14859', 'Q14207')"
"('O15534', 'O96017')"
"('P84077', 'P61204')"
"('Q96FW1', 'P13010')"
"('P19404', 'P56181')"
"('P60510', 'Q5SZD4')"
"('Q9H2C0', 'Q13813')"
"('Q9HCE1', 'Q9Y3Y2')"
"('Q9P258', 'Q5JSL3')"
"('Q96T88', 'Q9Y297')"
"('Q9UPQ3', 'O75420')"
"('Q8NI36', 'Q9BSC4')"
"('Q5VVH5', 'Q04206')"
"('P80365', 'Q13363')"
"('Q92794', 'P68431')"
"('Q15654', 'Q6PK18')"
"('Q5T3J3', 'Q13526')"
"('Q16643', 'O15144')"
"('Q9H3P2', 'P24928')"
"('Q86US8', 'P11940')"
"('Q08379', 'Q96S90')"
"('P12956', 'Q96FF9')"
"('O95674', 'Q96MG2')"
"('Q99741', 'Q9ULX6')"
"('Q6ZN04', 'Q9UL18')"
"('Q5BJD5', 'Q6NUS6')"
"('P63146', 'Q9Y253')"
"('Q86U42', 'O14867')"
"('Q8IUL8', 'Q9NRD1')"
"('Q6UWU4', 'Q6GMV3')"
"('Q8NGS8', 'P62873')"
"('P50570', 'O95817')"
"('Q96RU7', 'Q96KN3')"
"('O75616', 'O15296')"
"('P05067', 'Q8TE77')"
"('Q9H8V3', 'Q9P2I0')"
"('Q9BYR0', 'Q5HYJ3')"
"('Q9GZQ3', 'Q8N668')"
"('P61221', 'P18077')"
"('Q6NUS6', 'Q9H490')"
"('P07195', 'P07339')"
"('O95983', 'Q9HCE3')"
"('Q12981', 'Q13501')"
"('P63211', 'Q00975')"
"('P10768', 'P04181')"
"('Q92838', 'O43865')"
"('Q9H1P3', 'P46379')"
"('P04637', 'P38936')"
"('P31040', 'Q13616')"
"('Q96HJ9', 'P24539')"
"('Q96PC2', 'Q9UHR4')"
"('P67775', 'Q5VSL9')"
"('P25963', 'P63218')"
"('Q9NW82', 'Q9UHD1')"
"('P61160', 'Q86V48')"
"('Q9UL45', 'Q9NUP1')"
"('P62424', 'P11308')"
"('O95714', 'O15258')"
"('P40189', 'P29597')"
"('P10828', 'P28702')"
"('P60953', 'Q13177')"
"('O00257', 'Q9UIS9')"
"('Q9UPQ3', 'Q96QZ7')"
"('P05813', 'Q3SY46')"
"('P02545', 'P25067')"
"('P43364', 'O14832')"
"('P49715', 'Q13309')"
"('P07203', 'P10599')"
"('Q15785', 'Q9GZL7')"
"('P48039', 'Q9H4P4')"
"('Q93008', 'Q86TG7')"
"('Q99798', 'P19320')"
"('P51858', 'Q9NX58')"
"('Q9UHX1', 'P08670')"
"('Q96A00', 'P04156')"
"('P43629', 'P43627')"
"('Q15517', 'Q9Y5K5')"
"('P40337', 'Q15942')"
"('P55036', 'P15172')"
"('P63000', 'Q9BYG4')"
"('Q8IW50', 'Q92878')"
"('O14964', 'P56545')"
"('Q9C0E8', 'P54709')"
"('Q16821', 'Q9H792')"
"('O95816', 'O43765')"
"('Q14008', 'Q9P270')"
"('Q13315', 'O15047')"
"('O43143', 'Q9HCE1')"
"('P07814', 'Q99558')"
"('O94986', 'Q04917')"
"('Q5VZL5', 'P48059')"
"('P12004', 'P27695')"
"('P78362', 'Q14978')"
"('O95793', 'O15226')"
"('Q9NYF0', 'Q9ULK5')"
"('P22612', 'Q9NY47')"
"('O43293', 'Q00987')"
"('P84022', 'Q9HAU4')"
"('O15553', 'Q9ULZ3')"
"('P60520', 'Q9H0K1')"
"('P49903', 'Q6IQ23')"
"('Q13887', 'P51610')"
"('O43719', 'O60563')"
"('P59991', 'Q8IY34')"
"('Q96JB5', 'Q9Y3U8')"
"('P04637', 'Q9GZV1')"
"('Q16864', 'P36543')"
"('Q9Y2X3', 'O00566')"
"('O95983', 'Q86YP4')"
"('Q14254', 'P61221')"
"('Q15428', 'P09651')"
"('Q8N6L1', 'P40337')"
"('P63218', 'O14775')"
"('O43493', 'Q12788')"
"('Q12926', 'O43251')"
"('Q14469', 'A8MT69')"
"('Q04206', 'P02458')"
"('P43354', 'P62826')"
"('Q13315', 'Q9NYB0')"
"('Q13362', 'Q9BZZ5')"
"('Q6PIV2', 'Q92993')"
"('Q92769', 'Q3KNW1')"
"('Q96DI7', 'Q08345')"
"('Q93034', 'Q9UBE0')"
"('Q8IW35', 'P61020')"
"('Q8IUR0', 'Q9H944')"
"('P41220', 'P61019')"
"('O75347', 'O94979')"
"('Q13503', 'Q8N720')"
"('P14618', 'P11362')"
"('P55290', 'O96017')"
"('O95159', 'P11279')"
"('P55081', 'Q9Y2K1')"
"('P20674', 'P49821')"
"('Q9NRH3', 'Q9NY65')"
"('P04629', 'Q14739')"
"('P0DP25', 'P49815')"
"('Q9BYQ2', 'Q9GZM5')"
"('O43504', 'Q99523')"
"('Q92804', 'Q92993')"
"('P06756', 'Q9Y5C1')"
"('P55036', 'P61289')"
"('P07900', 'Q3B7T1')"
"('O95870', 'Q99942')"
"('P00748', 'Q8NG27')"
"('P55039', 'Q6PCB5')"
"('Q9UHD0', 'P48357')"
"('Q9H814', 'Q9UL40')"
"('Q3LXA3', 'Q9NR45')"
"('Q15637', 'Q9H4P4')"
"('Q15797', 'O43524')"
"('Q01664', 'P08651')"
"('P06241', 'Q12947')"
"('Q96MU7', 'Q6P2E9')"
"('Q00872', 'O75953')"
"('Q96GG9', 'Q7Z3J2')"
"('P63279', 'P04150')"
"('P52757', 'Q9H4E5')"
"('O15198', 'Q14134')"
"('P49815', 'Q15382')"
"('Q9NSB4', 'P27658')"
"('Q9NQ29', 'P30414')"
"('P04406', 'Q8IUQ4')"
"('P14735', 'P10997')"
"('Q8TBC4', 'P60981')"
"('A8MQ03', 'Q13064')"
"('P49841', 'Q99956')"
"('P20226', 'Q8IYA7')"
"('Q7Z3S9', 'Q02930')"
"('Q3SY69', 'Q9Y6E7')"
"('P11473', 'P28482')"
"('Q9Y5W3', 'Q9H0M0')"
"('Q9UPX8', 'P12931')"
"('Q16760', 'Q86XP1')"
"('Q15942', 'O95433')"
"('P09430', 'Q07869')"
"('P43355', 'Q58WW2')"
"('Q9NX58', 'O76021')"
"('P46777', 'P06748')"
"('P51451', 'P25705')"
"('P20036', 'P48645')"
"('Q8NF99', 'Q9BRR0')"
"('P29966', 'Q05513')"
"('P31040', 'O75306')"
"('P18124', 'P35268')"
"('P22694', 'Q09472')"
"('Q13427', 'O95391')"
"('P55316', 'P31276')"
"('Q9NZW5', 'Q9NUP9')"
"('P49321', 'Q16576')"
"('Q15750', 'P00533')"
"('Q9NVX0', 'Q7KZ85')"
"('Q92766', 'P07942')"
"('Q9Y5K5', 'O75832')"
"('P35372', 'Q96S59')"
"('P14866', 'Q15717')"
"('P55268', 'P11047')"
"('Q9UM73', 'Q9P0L2')"
"('P62140', 'Q9Y4I1')"
"('Q16236', 'P26641')"
"('O94989', 'Q9H6J7')"
"('P08779', 'O75364')"
"('Q8WV44', 'Q96SQ5')"
"('O95817', 'Q92625')"
"('P24941', 'Q99708')"
"('P40692', 'Q5T1H1')"
"('P09661', 'Q13561')"
"('Q96A35', 'P62841')"
"('P19838', 'P61457')"
"('Q06830', 'P30154')"
"('P78371', 'Q92636')"
"('Q15369', 'P11388')"
"('Q15434', 'Q9HCE1')"
"('Q14019', 'P68133')"
"('Q8IVD9', 'Q9NXB0')"
"('Q9P2R7', 'P04629')"
"('P49368', 'Q9H1B4')"
"('Q9UPT9', 'Q9Y2G5')"
"('Q96FW1', 'Q9BUQ8')"
"('Q9UGI0', 'Q15287')"
"('Q9ULC4', 'P61966')"
"('P12830', 'Q15056')"
"('P42166', 'Q9H0W5')"
"('P25445', 'Q8IZ83')"
"('P68400', 'Q13133')"
"('Q13263', 'P52738')"
"('Q8WUM4', 'Q9H3S7')"
"('O14745', 'P51790')"
"('O00629', 'Q15717')"
"('Q9C0F1', 'Q9BZW7')"
"('P19419', 'P28324')"
"('P17844', 'Q13077')"
"('O15371', 'P01889')"
"('Q6IQ23', 'P00813')"
"('Q13118', 'Q8N1F1')"
"('Q969S3', 'P06280')"
"('Q15287', 'Q9UKM9')"
"('Q9Y448', 'Q9NWB7')"
"('Q8NHY2', 'Q16531')"
"('Q6PD62', 'O75110')"
"('P78527', 'P05412')"
"('Q9UKV8', 'Q9BWF3')"
"('P31151', 'Q02833')"
"('Q6L8H4', 'Q9H4G1')"
"('P29353', 'Q99459')"
"('P61247', 'Q9H0W5')"
"('P78317', 'Q13263')"
"('Q9UNF0', 'P0DMV8')"
"('O75530', 'P39023')"
"('O00567', 'P35268')"
"('Q8WWV6', 'P04637')"
"('P54725', 'O00232')"
"('O75386', 'Q3MJ62')"
"('Q13148', 'P62979')"
"('P56750', 'Q8N6F1')"
"('Q15257', 'P62136')"
"('P60709', 'P08133')"
"('Q9NRR4', 'P27694')"
"('Q8NBN7', 'O00483')"
"('Q96M27', 'O95456')"
"('O14980', 'Q7Z4H7')"
"('Q86V48', 'O60308')"
"('Q2KHM9', 'Q15154')"
"('Q9NZT1', 'Q96RR4')"
"('O95544', 'Q8TBB1')"
"('P68104', 'Q99558')"
"('P62913', 'P83731')"
"('P25025', 'Q92994')"
"('O95140', 'Q16611')"
"('Q8NEB9', 'Q7Z3C6')"
"('Q6A162', 'Q5T686')"
"('O76003', 'P60411')"
"('Q92830', 'Q13363')"
"('Q9UHX1', 'P51991')"
"('Q15154', 'P53350')"
"('O14732', 'P99999')"
"('Q8NG76', 'P62873')"
"('Q08426', 'Q9BRK4')"
"('Q8IUC1', 'O43609')"
"('P45985', 'Q9NYL2')"
"('P23396', 'Q9NQ39')"
"('P61604', 'P12277')"
"('O15131', 'Q13618')"
"('P0C0S8', 'Q8N6T7')"
"('Q14289', 'Q9ULZ2')"
"('Q9NZD8', 'Q7Z698')"
"('O95071', 'P35226')"
"('P07910', 'Q92922')"
"('P50222', 'Q9H0C2')"
"('O60739', 'O14818')"
"('O94955', 'P40337')"
"('Q8N488', 'Q16254')"
"('O95613', 'P26367')"
"('Q8TCQ1', 'P49427')"
"('Q8TEY5', 'P48436')"
"('Q13794', 'P02775')"
"('P62140', 'P42771')"
"('O76031', 'Q5HYK3')"
"('O14862', 'Q7Z6I8')"
"('P61160', 'Q07890')"
"('Q9BQ66', 'Q9UQ90')"
"('P62318', 'Q9GZQ8')"
"('O14793', 'P05067')"
"('P67809', 'Q8WXA9')"
"('Q9BRR0', 'Q8IYA8')"
"('Q6NUS6', 'Q8TDD1')"
"('Q14C86', 'Q16204')"
"('Q9UJX3', 'Q49AN0')"
"('O95816', 'Q9Y297')"
"('A6NEM1', 'O14964')"
"('Q9BYQ4', 'Q9BWT7')"
"('Q9H9Q2', 'Q13618')"
"('P49321', 'P31948')"
"('O15131', 'P36957')"
"('P61371', 'Q969G2')"
"('Q9Y4E8', 'Q9Y6D9')"
"('Q9BU64', 'O75396')"
"('P04439', 'P20036')"
"('Q8IYI6', 'Q8IX06')"
"('Q6SZW1', 'O15537')"
"('Q8WXD5', 'Q15717')"
"('O15078', 'Q96EV8')"
"('P68402', 'P46108')"
"('P17482', 'Q12946')"
"('P48039', 'P31629')"
"('O15265', 'Q9Y2V7')"
"('Q8N264', 'P60953')"
"('Q92835', 'P10721')"
"('P28066', 'Q99460')"
"('P46783', 'Q9Y4K3')"
"('O60563', 'O43719')"
"('Q96Q05', 'Q6ZNE9')"
"('O15344', 'P14373')"
"('O75420', 'Q6ZW31')"
"('Q9UPQ3', 'Q69YU3')"
"('P22612', 'Q92806')"
"('P16220', 'O43252')"
"('Q68DK7', 'Q9UBU9')"
"('Q15434', 'P62995')"
"('P17066', 'Q99759')"
"('Q99697', 'P22694')"
"('Q16543', 'O75360')"
"('P25445', 'Q9UKL3')"
"('Q92734', 'Q9C0B0')"
"('P00338', 'P20339')"
"('P21675', 'Q92845')"
"('P68371', 'P21281')"
"('Q9Y6X0', 'Q9NS26')"
"('P09874', 'P10828')"
"('Q9UPG8', 'Q8NDC4')"
"('P43356', 'Q8N715')"
"('Q00653', 'P0DP23')"
"('Q9Y5U2', 'O75643')"
"('O95163', 'Q9UKX7')"
"('Q9Y282', 'Q8WUK0')"
"('P43115', 'P04626')"
"('Q15363', 'Q9H0U4')"
"('P46379', 'P09668')"
"('P26640', 'Q9P2J5')"
"('Q8N531', 'P49459')"
"('P25205', 'Q9BRT9')"
"('P08238', 'Q96A26')"
"('Q9BQA1', 'Q96GM8')"
"('Q8TAQ2', 'O14497')"
"('P63098', 'P0DP24')"
"('Q01968', 'Q15717')"
"('Q9NYG5', 'Q9UJX2')"
"('P80723', 'Q8TAF3')"
"('P20591', 'P54132')"
"('P02533', 'Q15628')"
"('P47755', 'Q96PE2')"
"('P11021', 'P52597')"
"('Q96KQ4', 'Q9BZW7')"
"('Q9BWH6', 'O14980')"
"('P30566', 'Q12792')"
"('Q9UQ35', 'P52333')"
"('Q92956', 'P14866')"
"('Q9NYL9', 'Q9H2H8')"
"('Q14197', 'P12235')"
"('Q9Y285', 'P19525')"
"('Q13724', 'Q9NPJ6')"
"('P31943', 'Q9UIL1')"
"('Q8TAD2', 'Q14626')"
"('O75530', 'Q9UKN8')"
"('P13196', 'A8K0Z3')"
"('P02786', 'Q9Y574')"
"('Q99459', 'P83731')"
"('Q9GZR7', 'Q8WTT2')"
"('Q13077', 'O43741')"
"('Q8N8D1', 'Q15717')"
"('P62937', 'P06454')"
"('Q49AN0', 'O15516')"
"('P29692', 'P62993')"
"('O00422', 'P34947')"
"('O15303', 'P63092')"
"('Q5T754', 'Q8WWZ8')"
"('P43405', 'Q16633')"
"('Q9NZC7', 'Q99732')"
"('P09038', 'P23352')"
"('Q9UL03', 'Q8N201')"
"('O60504', 'Q8WV44')"
"('Q58EX7', 'P55316')"
"('P13637', 'Q96A49')"
"('P61968', 'Q9UKT9')"
"('Q05923', 'Q16539')"
"('Q14197', 'O95900')"
"('Q96E35', 'Q14094')"
"('P07437', 'O00273')"
"('Q8TBN0', 'Q5BJF6')"
"('O75800', 'O15344')"
"('P62857', 'P61513')"
"('O60739', 'P24534')"
"('Q93034', 'Q5T9A4')"
"('Q02556', 'P09619')"
"('P35398', 'Q06520')"
"('Q9H7D7', 'Q13619')"
"('P49639', 'Q7Z6I5')"
"('Q9UII2', 'P46937')"
"('Q16659', 'Q99460')"
"('Q96IZ5', 'Q8TAP6')"
"('Q6PEW1', 'P55854')"
"('Q02241', 'Q9NRC8')"
"('P55011', 'P12830')"
"('P63027', 'Q12906')"
"('Q00987', 'Q9UM73')"
"('Q5T124', 'P48741')"
"('Q9P2K5', 'Q13751')"
"('Q9H4A3', 'Q92934')"
"('P01106', 'Q9UNF1')"
"('P25490', 'P31270')"
"('Q9NVD7', 'P23229')"
"('P30626', 'P01111')"
"('P42677', 'P12814')"
"('Q96JG6', 'Q9UKL0')"
"('Q96MA6', 'Q68D86')"
"('O77932', 'Q15024')"
"('P04259', 'Q9Y5K5')"
"('Q13616', 'P62277')"
"('Q9UPW6', 'Q8TBN0')"
"('Q9P0W2', 'O60341')"
"('P52732', 'P61513')"
"('P16220', 'Q9NQV8')"
"('P06733', 'O94919')"
"('Q5T3J3', 'Q9UN74')"
"('P40337', 'P61626')"
"('Q9UQ35', 'P78362')"
"('Q96BR9', 'P48730')"
"('P48431', 'P31323')"
"('P19320', 'P09382')"
"('Q96M98', 'P48643')"
"('Q14790', 'P45983')"
"('Q86V48', 'P24941')"
"('Q15050', 'Q9NY93')"
"('Q3LI66', 'Q7Z6R9')"
"('Q6UN15', 'Q9UQ35')"
"('Q9UHD4', 'Q9NZD8')"
"('Q96I45', 'P18615')"
"('P78559', 'Q12959')"
"('A8MPP1', 'Q86WV1')"
"('Q5TH69', 'P51610')"
"('O75116', 'Q641Q2')"
"('P25098', 'Q6IF36')"
"('Q15884', 'Q9NWM3')"
"('P27361', 'P46695')"
"('P35240', 'P18887')"
"('Q9NRC8', 'P49327')"
"('Q9NQ50', 'Q9BZE1')"
"('Q8NDC4', 'Q9UPG8')"
"('Q9UDY2', 'P49759')"
"('Q9Y2X3', 'Q8IY81')"
"('P04629', 'Q9NXF1')"
"('Q99496', 'P43686')"
"('Q9UNS1', 'Q8WXE1')"
"('P46934', 'Q96L34')"
"('P16871', 'P13796')"
"('Q13368', 'Q6PK04')"
"('Q9UMX0', 'P34931')"
"('P57078', 'O95905')"
"('Q8NEC5', 'Q9BQ66')"
"('Q92736', 'Q86YM7')"
"('O60503', 'P12830')"
"('Q9H1Q7', 'P24941')"
"('P11717', 'Q9Y5J6')"
"('P32121', 'Q14204')"
"('O15519', 'P19838')"
"('Q02156', 'P16220')"
"('Q96QR1', 'Q96JB5')"
"('Q96L12', 'Q8WXG9')"
"('P35221', 'Q9UDY2')"
"('O76050', 'O75800')"
"('P62244', 'Q13618')"
"('Q00987', 'O43623')"
"('Q86VP6', 'Q9NXL9')"
"('P56537', 'Q9UBQ5')"
"('P17844', 'Q13617')"
"('Q8IUQ4', 'P10276')"
"('O75604', 'Q14790')"
"('Q8IY92', 'P52701')"
"('O95900', 'P02794')"
"('P49792', 'Q12802')"
"('O95817', 'O94875')"
"('P18754', 'P02751')"
"('P06400', 'P43686')"
"('P28347', 'P61244')"
"('Q92918', 'P14317')"
"('Q9UKJ1', 'Q06124')"
"('P20936', 'P16333')"
"('P25391', 'P00747')"
"('Q9Y678', 'O15533')"
"('O14980', 'P27105')"
"('P15941', 'P17931')"
"('Q5UIP0', 'Q8N5N7')"
"('Q8IXM3', 'Q9H9J2')"
"('Q96JK9', 'Q8IYH5')"
"('Q16666', 'P27635')"
"('P25787', 'P04222')"
"('O76015', 'Q14533')"
"('Q01850', 'Q9UHP6')"
"('P04626', 'P09769')"
"('Q8TD31', 'Q9Y5B8')"
"('P42684', 'O14818')"
"('Q9UHK0', 'P61106')"
"('P62318', 'Q14994')"
"('Q9NPE2', 'Q96CM3')"
"('Q9BYG3', 'Q9UHB9')"
"('Q5S007', 'Q9Y6E0')"
"('Q9UPV9', 'P01106')"
"('P68400', 'Q8IVT5')"
"('P62995', 'Q15056')"
"('Q99496', 'Q13769')"
"('P01569', 'P23458')"
"('Q8IYE0', 'O76011')"
"('P05198', 'O15371')"
"('Q12905', 'P62745')"
"('Q9UBU9', 'Q8NCA5')"
"('Q13643', 'Q7Z7E8')"
"('P01106', 'Q75NE6')"
"('O95758', 'Q9UHQ1')"
"('Q9Y478', 'O43747')"
"('Q99501', 'P81274')"
"('P55786', 'Q8TCJ0')"
"('P55040', 'O95995')"
"('P31749', 'Q9UKY1')"
"('P18887', 'Q6IQ23')"
"('Q14680', 'Q8TC76')"
"('P13073', 'P39656')"
"('Q96CS2', 'P22626')"
"('P26651', 'O14980')"
"('Q9NUX5', 'Q9Y281')"
"('Q9NPJ6', 'P40123')"
"('Q6ZRS2', 'Q7Z3C6')"
"('Q16531', 'O94864')"
"('P56537', 'Q9H0D6')"
"('Q9Y3E7', 'Q7LBR1')"
"('Q8IWA4', 'O95140')"
"('Q3KNV8', 'P07900')"
"('Q13501', 'P01893')"
"('P51149', 'O75955')"
"('Q8N3X1', 'Q9UBU9')"
"('Q02241', 'P49916')"
"('Q13291', 'Q96S97')"
"('Q9Y4E8', 'Q16778')"
"('Q9GZT8', 'P51116')"
"('P33176', 'P20810')"
"('O75815', 'Q9UJX0')"
"('Q76G19', 'Q5VTD9')"
"('Q92731', 'Q15596')"
"('O95602', 'P32121')"
"('P05155', 'P48740')"
"('P22612', 'Q8NG84')"
"('Q9Y696', 'Q96NY7')"
"('P98160', 'O15162')"
"('P12956', 'P10644')"
"('P46531', 'Q9UHF1')"
"('P35579', 'P61158')"
"('P04406', 'P09086')"
"('P04150', 'P31948')"
"('O75530', 'Q9GZV8')"
"('P62987', 'P62993')"
"('P32121', 'Q9P0U3')"
"('Q96EV8', 'Q9UNK0')"
"('Q04206', 'P68036')"
"('Q13547', 'Q9Y230')"
"('Q96SB4', 'P08621')"
"('P61981', 'P40818')"
"('Q8N9T8', 'P05412')"
"('Q9H7B4', 'Q16543')"
"('Q9HCN4', 'P61218')"
"('Q9HBJ0', 'Q96L91')"
"('Q00005', 'Q9Y5Z7')"
"('Q96RI1', 'Q99873')"
"('P14616', 'P50222')"
"('Q03135', 'Q92890')"
"('Q96S66', 'Q2MV58')"
"('P61073', 'Q02447')"
"('P46531', 'Q13131')"
"('Q9Y2T1', 'Q15910')"
"('P23142', 'P11464')"
"('P52434', 'Q96B02')"
"('P25789', 'Q14318')"
"('P17612', 'Q08493')"
"('O95433', 'P53041')"
"('P05067', 'Q86XR8')"
"('Q96CN7', 'O15067')"
"('Q5TA79', 'Q9BYR9')"
"('Q8WTR7', 'Q969L4')"
"('Q9Y448', 'Q15154')"
"('Q6P4R8', 'O14717')"
"('Q9H3Y6', 'Q99704')"
"('Q8N6F8', 'Q9NQ94')"
"('Q10570', 'P27694')"
"('O15553', 'P25963')"
"('P46109', 'P28906')"
"('P59991', 'Q5T7P2')"
"('O43324', 'P05198')"
"('Q8WXA8', 'Q9UKY4')"
"('Q9UBN7', 'Q99879')"
"('Q9UBX3', 'Q15714')"
"('Q6P1J9', 'P61978')"
"('Q9NQW7', 'Q15369')"
"('Q14135', 'P46937')"
"('Q99728', 'Q6TDU7')"
"('Q5SRE7', 'Q9NUX5')"
"('P42771', 'P68371')"
"('P04637', 'P62888')"
"('Q16629', 'Q15365')"
"('Q13330', 'Q9ULU4')"
"('P40222', 'Q12846')"
"('P81408', 'Q9H0M0')"
"('P42858', 'Q9H4A5')"
"('Q96AE4', 'Q9NUU7')"
"('P21980', 'P11142')"
"('P32298', 'P49407')"
"('P35590', 'Q9Y264')"
"('P35222', 'P08865')"
"('P41134', 'P55036')"
"('Q17RB8', 'O43597')"
"('P62306', 'P43034')"
"('P08754', 'Q02818')"
"('P14373', 'O00750')"
"('Q9HBI0', 'P78424')"
"('O14980', 'O95997')"
"('Q6W2J9', 'Q99829')"
"('Q9UBU9', 'P12270')"
"('P49116', 'Q9Y4B6')"
"('P26639', 'Q9NP81')"
"('P98194', 'P04629')"
"('P60896', 'Q14152')"
"('Q14315', 'P20807')"
"('Q7Z5G4', 'Q08378')"
"('Q92574', 'P60709')"
"('Q96SB4', 'Q9Y3C6')"
"('P0DP23', 'O60674')"
"('Q8NBZ0', 'Q53TQ3')"
"('P09917', 'Q8IYX8')"
"('Q9UMS4', 'O94822')"
"('Q96PK6', 'Q5VWX1')"
"('Q9NZ81', 'P59022')"
"('Q86YR5', 'O94889')"
"('Q8NAF0', 'P20936')"
"('P19388', 'Q99728')"
"('P08670', 'O75955')"
"('P41279', 'P11021')"
"('O95817', 'O00233')"
"('P55036', 'P48556')"
"('Q2M1P5', 'P51157')"
"('Q14204', 'P35226')"
"('Q8N4C6', 'Q8WX93')"
"('P60709', 'Q92574')"
"('Q9Y4W6', 'P0C7P0')"
"('O75581', 'P62987')"
"('P43250', 'Q9Y2W7')"
"('P83916', 'Q13469')"
"('Q8TD08', 'Q562E7')"
"('Q01844', 'P23284')"
"('Q15717', 'Q9P2Z0')"
"('P16410', 'P20963')"
"('Q7Z4N8', 'Q9BVN2')"
"('Q9BSF0', 'Q9UBC1')"
"('Q9ULZ3', 'P57740')"
"('O43809', 'Q8IXJ6')"
"('Q9BVJ6', 'P15927')"
"('P48552', 'P27348')"
"('P62280', 'Q00839')"
"('Q9UQM7', 'Q12959')"
"('P35613', 'P50748')"
"('Q8N0S2', 'Q15311')"
"('P35240', 'P17252')"
"('P06241', 'P35637')"
"('O75973', 'Q401N2')"
"('Q14324', 'O75923')"
"('Q00839', 'Q9UPP1')"
"('Q15717', 'P61970')"
"('Q15796', 'Q92499')"
"('Q9UHD2', 'P19438')"
"('P31689', 'Q99759')"
"('Q07000', 'P43626')"
"('Q9Y3Q8', 'Q08379')"
"('Q9Y385', 'O60260')"
"('O95476', 'Q6UXL0')"
"('P19338', 'P04150')"
"('Q86U86', 'Q92782')"
"('Q15393', 'P08238')"
"('Q9UJA3', 'Q9NXL9')"
"('Q9BTT4', 'Q71SY5')"
"('P61024', 'Q8NA61')"
"('Q7KZI7', 'P04066')"
"('P68104', 'Q9H0W5')"
"('O15258', 'Q9Y282')"
"('P18887', 'Q9NUW8')"
"('O95273', 'Q5W5X9')"
"('P00533', 'P62879')"
"('P62993', 'Q9P258')"
"('Q9UHI6', 'P28340')"
"('Q9BY50', 'Q8WXA8')"
"('Q86VP6', 'Q969G3')"
"('Q9H9E1', 'P48382')"
"('P40692', 'Q9BX70')"
"('P21333', 'P28290')"
"('P07998', 'P13489')"
"('Q8WUM4', 'O14949')"
"('Q9ULK4', 'Q96QC0')"
"('P56181', 'Q92561')"
