negatives
"('Q9Y2V2', 'Q8NF50')"
"('P14373', 'Q96LR5')"
"('P62266', 'Q07020')"
"('P10809', 'P38646')"
"('Q96EG3', 'Q8TBE0')"
"('O43307', 'Q9NQX3')"
"('Q9Y383', 'Q15717')"
"('O43609', 'Q9Y2K5')"
"('P56537', 'Q96C10')"
"('Q00978', 'Q15646')"
"('P27348', 'Q16658')"
"('Q6UB99', 'Q13227')"
"('Q96IK5', 'P19474')"
"('Q9Y6E2', 'Q14152')"
"('Q96T88', 'Q15717')"
"('Q9NUY8', 'Q8N5I9')"
"('Q2TAZ0', 'O95166')"
"('Q9NRH3', 'A6NHL2')"
"('P46776', 'P26373')"
"('P14921', 'P63279')"
"('Q15468', 'Q6ZTW0')"
"('Q13042', 'O95922')"
"('P50406', 'P46459')"
"('Q9H0I2', 'P49639')"
"('P62807', 'Q96BT3')"
"('Q03989', 'Q08379')"
"('P53367', 'Q86V21')"
"('P04629', 'Q96RT8')"
"('Q15843', 'Q14011')"
"('P13995', 'O95644')"
"('O15264', 'Q12959')"
"('P08727', 'P25786')"
"('Q9BW83', 'Q8N4P2')"
"('Q9ULD2', 'P63208')"
"('O75581', 'O14641')"
"('Q15717', 'Q92833')"
"('P05783', 'A5YKK6')"
"('O43292', 'Q13002')"
"('O43791', 'Q8IYB3')"
"('Q9UKL0', 'Q9H668')"
"('Q8NI22', 'Q9NYL9')"
"('Q99496', 'P60174')"
"('Q9NY25', 'Q5ZPR3')"
"('P59046', 'Q9Y2Z0')"
"('Q9BQ66', 'Q02930')"
"('Q9Y6H1', 'Q92887')"
"('Q86VQ1', 'P63167')"
"('P19012', 'P24863')"
"('Q99729', 'Q13619')"
"('P21802', 'P40763')"
"('O95425', 'Q504Q3')"
"('O15084', 'Q8NHG8')"
"('Q9HCM9', 'P61088')"
"('P24941', 'Q86T82')"
"('P81605', 'P32121')"
"('Q9NR12', 'O75128')"
"('P31948', 'P22392')"
"('Q01826', 'Q9H334')"
"('Q93079', 'P0C0S8')"
"('P61956', 'P07437')"
"('P52272', 'O14593')"
"('Q13618', 'Q9H0C5')"
"('Q9GZR7', 'Q02878')"
"('P09681', 'P27487')"
"('Q6PD62', 'P19387')"
"('P12931', 'P04406')"
"('Q99757', 'P04150')"
"('Q6UVY6', 'O76003')"
"('O15265', 'O94864')"
"('Q8NC51', 'P39019')"
"('O14980', 'Q6PI26')"
"('P10275', 'Q92766')"
"('Q9Y478', 'P56537')"
"('Q13813', 'Q9NQX3')"
"('O95379', 'Q96S99')"
"('P61160', 'Q92747')"
"('Q14738', 'Q66LE6')"
"('Q5JST6', 'Q86TI0')"
"('P55072', 'Q8TEX9')"
"('Q9ULT8', 'Q06830')"
"('Q7Z3I7', 'P60370')"
"('Q9UKV3', 'Q9BVJ6')"
"('Q9Y547', 'A0AVF1')"
"('O14757', 'Q13619')"
"('Q9NR50', 'P30419')"
"('P60709', 'O00571')"
"('Q15834', 'P02511')"
"('Q96PU5', 'Q9NYL2')"
"('Q13572', 'Q86Y56')"
"('O75147', 'Q9P2K5')"
"('P17612', 'Q07869')"
"('P01024', 'Q9ULK4')"
"('Q59H18', 'P68133')"
"('Q15027', 'Q9UBP9')"
"('Q9H0R8', 'P62269')"
"('Q9BYV6', 'O15273')"
"('P49841', 'P56524')"
"('P51587', 'Q9P287')"
"('Q05397', 'P35568')"
"('P42766', 'P62633')"
"('Q9Y2K2', 'P27348')"
"('P31946', 'Q9NYF0')"
"('P27105', 'Q9UJZ1')"
"('Q6P1N9', 'P36776')"
"('P06748', 'Q9H4L4')"
"('Q99496', 'Q9NPA5')"
"('Q99832', 'Q9Y2T4')"
"('Q9UIV8', 'P18146')"
"('P12004', 'P30504')"
"('P0C0S8', 'Q9UQL6')"
"('Q92569', 'P48736')"
"('Q05519', 'P08473')"
"('Q14204', 'O15259')"
"('Q16620', 'P62993')"
"('P61158', 'Q92747')"
"('Q15717', 'Q96EV2')"
"('O95169', 'O95298')"
"('P33991', 'Q9Y5N6')"
"('P13385', 'Q9Y285')"
"('P00533', 'P29279')"
"('Q08117', 'Q9BRQ3')"
"('O60341', 'P56134')"
"('P84022', 'P52735')"
"('Q9HCK5', 'P53007')"
"('P31946', 'P55916')"
"('Q9Y3D9', 'P51398')"
"('P51398', 'Q6PF06')"
"('O75147', 'Q16539')"
"('P24941', 'P68133')"
"('O00292', 'P61812')"
"('Q13535', 'Q08211')"
"('P63261', 'Q9Y281')"
"('P36897', 'P62942')"
"('Q00688', 'Q92769')"
"('Q9NRD1', 'P63104')"
"('Q5TA81', 'P26371')"
"('O00459', 'P11274')"
"('P36888', 'O14933')"
"('P15382', 'Q12809')"
"('P40763', 'O60232')"
"('Q9Y2T1', 'O15169')"
"('Q96M29', 'Q8N865')"
"('P04637', 'Q9Y2C9')"
"('P08047', 'P61073')"
"('P63172', 'P15151')"
"('P22102', 'Q9BUN8')"
"('Q9UBP4', 'O15297')"
"('P48556', 'P61289')"
"('P07947', 'Q6P1W5')"
"('Q15542', 'Q13618')"
"('Q5VWX1', 'P40938')"
"('P13612', 'P25205')"
"('P22612', 'A6NND4')"
"('P15692', 'Q09472')"
"('P04629', 'O43747')"
"('O14976', 'O15169')"
"('Q6A162', 'P04259')"
"('P36894', 'O15105')"
"('Q03252', 'Q96D09')"
"('Q6IBS0', 'Q86VN1')"
"('P02751', 'Q16718')"
"('P23458', 'Q06187')"
"('Q15286', 'P11441')"
"('Q9P0N8', 'P62256')"
"('Q9Y232', 'Q03405')"
"('Q13501', 'Q14393')"
"('O15297', 'P23025')"
"('O60256', 'Q6IA86')"
"('P18146', 'Q16774')"
"('Q96CW1', 'P51116')"
"('Q92526', 'O14530')"
"('Q3LI70', 'O75934')"
"('Q96DI7', 'Q9BQ67')"
"('Q15759', 'P01100')"
"('Q04206', 'Q8NE01')"
"('O95817', 'Q13620')"
"('Q5TC82', 'P61247')"
"('Q9UGM1', 'Q8NDZ4')"
"('Q9BPU6', 'P04629')"
"('O75152', 'O95182')"
"('Q6ZW31', 'O75420')"
"('Q15366', 'Q6ZW49')"
"('P02489', 'Q07812')"
"('Q8TF42', 'Q13191')"
"('Q9H4B6', 'P25054')"
"('P12830', 'Q96NY8')"
"('Q7L2J0', 'P40938')"
"('Q13573', 'Q12824')"
"('O14763', 'O60831')"
"('P62633', 'Q9BUJ2')"
"('P05412', 'Q14318')"
"('Q12792', 'Q9UHB6')"
"('P62736', 'Q07020')"
"('O95347', 'P30457')"
"('O95983', 'P49848')"
"('O43795', 'P36873')"
"('Q02556', 'Q01459')"
"('O94986', 'Q9H9A5')"
"('Q12874', 'P43243')"
"('Q13952', 'Q68DE3')"
"('Q9Y258', 'P51684')"
"('P63146', 'O00762')"
"('P62140', 'O60285')"
"('Q14999', 'P23396')"
"('Q16666', 'Q99575')"
"('Q03989', 'P03372')"
"('P0C7T5', 'O43491')"
"('Q99543', 'Q0VDF9')"
"('P54886', 'P05412')"
"('Q15599', 'O15530')"
"('P34741', 'P26038')"
"('Q07960', 'Q96GX1')"
"('Q8NBJ9', 'Q6P5W5')"
"('P62979', 'Q8IYW5')"
"('Q9Y483', 'O60341')"
"('P37108', 'Q7Z422')"
"('Q8NBS9', 'Q6PJI9')"
"('O43236', 'P98170')"
"('O00499', 'Q13496')"
"('Q9UBP9', 'Q96CW1')"
"('Q6UWP7', 'Q7Z6L0')"
"('Q99873', 'P22415')"
"('Q15907', 'Q5S007')"
"('Q9Y294', 'Q8N6H7')"
"('P02786', 'O95166')"
"('Q8N140', 'Q92624')"
"('Q13501', 'P84022')"
"('O14980', 'Q96CW6')"
"('P25788', 'Q13616')"
"('O43741', 'P60410')"
"('O15194', 'O95863')"
"('Q96FW1', 'Q02978')"
"('Q15388', 'P05412')"
"('P27361', 'P11388')"
"('O95551', 'Q12933')"
"('P62877', 'Q15843')"
"('P55211', 'P17931')"
"('O60756', 'P78362')"
"('Q07065', 'Q15006')"
"('P45880', 'Q9UPN9')"
"('Q9BVP2', 'Q92731')"
"('Q14166', 'P13612')"
"('O75487', 'Q8IVT5')"
"('P54278', 'O43542')"
"('Q9Y265', 'Q70CQ1')"
"('Q13200', 'Q49AN0')"
"('P0CAP2', 'P38398')"
"('P11309', 'P26196')"
"('Q9BZI7', 'P09661')"
"('Q3KPI0', 'Q9NZ53')"
"('Q8IUQ4', 'Q9Y234')"
"('O75971', 'Q9UIA0')"
"('Q8N2G8', 'Q9HBU9')"
"('O14980', 'Q8TF46')"
"('Q13111', 'P15884')"
"('O95166', 'Q9Y6M1')"
"('O15544', 'P33240')"
"('Q02297', 'Q9H490')"
"('P08183', 'Q96P20')"
"('O95274', 'Q96IK1')"
"('Q5T749', 'Q7Z698')"
"('Q13011', 'P16871')"
"('P52294', 'P29692')"
"('O43559', 'Q02535')"
"('Q9UBF8', 'P31947')"
"('P61254', 'Q9UBS0')"
"('Q96LA8', 'Q9HAQ2')"
"('P11802', 'P84022')"
