negatives
"('Q04771', 'Q02790')"
"('Q9UGJ1', 'Q9P286')"
"('Q9NZC7', 'P23246')"
"('P67870', 'P54840')"
"('P60953', 'Q86Y07')"
"('Q9BUJ2', 'P78406')"
"('P24592', 'P05019')"
"('Q15750', 'P34931')"
"('P01106', 'Q6PI48')"
"('O95996', 'P20823')"
"('Q9Y508', 'Q5VVX9')"
"('Q9UL18', 'Q15116')"
"('Q15910', 'P10275')"
"('P53999', 'P10914')"
"('Q9H3N1', 'P16615')"
"('P08631', 'Q7LFX5')"
"('P29466', 'Q86W26')"
"('Q96KQ7', 'Q13547')"
"('P30480', 'O75531')"
"('Q9Y243', 'O00221')"
"('P16871', 'P09382')"
"('Q5RKV6', 'Q07021')"
"('Q9ULH1', 'Q9Y5X1')"
"('Q96KK5', 'Q8WUI4')"
"('O15111', 'Q9BYH8')"
"('P07948', 'P30273')"
"('Q7L2E3', 'Q14197')"
"('O75056', 'Q14247')"
"('P34820', 'P55157')"
"('P52597', 'O43251')"
"('Q7Z699', 'Q9BPY3')"
"('P05771', 'P30086')"
"('Q8IUQ4', 'Q15819')"
"('O14641', 'P31749')"
"('P62140', 'P60660')"
"('P22607', 'P02008')"
"('P35228', 'Q99612')"
"('P60880', 'P61266')"
"('Q9P2N4', 'Q01094')"
"('Q9Y3M8', 'P98170')"
"('Q13315', 'Q01831')"
"('Q16548', 'Q9UMX3')"
"('Q8IWV7', 'P49841')"
"('P42677', 'Q9H6R7')"
"('Q9C035', 'P62837')"
"('O60739', 'Q14D04')"
"('P49746', 'P06756')"
"('P00533', 'O43592')"
"('Q14457', 'Q5VTD9')"
"('P25098', 'P61073')"
"('P24593', 'Q14192')"
"('P48552', 'Q9Y6K1')"
"('P14373', 'Q9BUH8')"
"('Q8IX12', 'P52756')"
"('O43182', 'P60763')"
"('P67870', 'Q92997')"
"('P20936', 'P08133')"
"('P12314', 'O75023')"
"('P35326', 'Q08881')"
"('P35232', 'P06400')"
"('O00231', 'Q13573')"
"('P02786', 'Q15027')"
"('O15111', 'P06753')"
"('O75643', 'P58753')"
"('Q15573', 'Q15572')"
"('Q96T58', 'Q9Y618')"
"('P68400', 'O75676')"
"('Q16531', 'Q96F24')"
"('P14770', 'Q8WYR1')"
"('P35247', 'Q9Y6Y9')"
"('P02766', 'Q9P2H0')"
"('Q9H469', 'P62877')"
"('P54764', 'P20936')"
"('Q12879', 'Q05586')"
"('P52333', 'P24394')"
"('Q13595', 'P13805')"
"('Q9UQN3', 'P36542')"
"('P63261', 'O75582')"
"('Q15628', 'P08238')"
"('P16989', 'Q7Z4H7')"
"('Q13547', 'Q9Y230')"
"('P62753', 'P62854')"
"('P31946', 'Q92574')"
"('O60258', 'P00533')"
"('Q99459', 'P23919')"
"('Q13617', 'Q6PID8')"
"('O00571', 'O75554')"
"('O95816', 'Q9UNE7')"
"('P52756', 'Q14103')"
"('P06493', 'P20700')"
"('O76070', 'P63162')"
"('O60671', 'P20226')"
"('P31946', 'P30291')"
"('P63167', 'Q9UKR5')"
"('P63211', 'Q5JWF2')"
"('Q14318', 'Q5T4F4')"
"('Q13158', 'Q15648')"
"('Q9UKR5', 'P49903')"
"('B1AK53', 'Q8NEV4')"
"('P04156', 'Q12860')"
"('P16104', 'O00267')"
"('Q9Y572', 'Q69YQ0')"
"('P62140', 'Q01668')"
"('P31947', 'Q8WWL7')"
"('P42338', 'Q92569')"
"('Q9HAT8', 'Q8NDX5')"
"('P00533', 'P16615')"
"('Q9H0D6', 'Q13148')"
"('Q15834', 'Q9Y247')"
"('P18146', 'Q9NYF8')"
"('P12931', 'Q9UI08')"
"('Q9Y6K9', 'Q8N2W9')"
"('P04406', 'P61019')"
"('P04908', 'Q99879')"
"('Q71UI9', 'P58876')"
"('O14827', 'Q9BZ23')"
"('P10155', 'O76071')"
"('P25054', 'Q12923')"
"('P32121', 'Q8NGG0')"
"('P51970', 'P03891')"
"('O43747', 'Q9Y6Q5')"
"('Q9Y5J5', 'Q5VWQ8')"
"('Q9Y239', 'Q04206')"
"('P56645', 'Q03052')"
"('Q7Z3C6', 'P35579')"
"('O00165', 'P27348')"
"('Q8TDN6', 'P09326')"
"('Q9BT78', 'Q15843')"
"('P05556', 'Q9NVD7')"
"('Q00653', 'P01569')"
"('P18031', 'P16591')"
"('P31371', 'P08069')"
"('Q02556', 'Q9Y4K3')"
"('Q8TC92', 'Q9GZT8')"
"('O94868', 'P55822')"
"('Q9HA65', 'Q7Z478')"
"('O75940', 'Q9BVP2')"
"('Q92698', 'Q9UER7')"
"('Q96A08', 'P04908')"
"('Q13501', 'P19438')"
"('Q9HCT0', 'P10721')"
"('O14717', 'Q9NVI1')"
"('Q15365', 'Q9BTD8')"
"('P30411', 'P29992')"
"('P14866', 'Q9BUJ2')"
"('P62140', 'Q13554')"
"('P46782', 'Q01201')"
"('P18206', 'P16581')"
"('Q03164', 'P49639')"
"('P12081', 'P23528')"
"('P84098', 'P46778')"
"('O15297', 'Q13535')"
"('P80098', 'Q08117')"
"('P35555', 'P07996')"
"('Q93008', 'Q01201')"
"('O15530', 'P52736')"
"('Q9H8V3', 'P62993')"
"('P01876', 'P07711')"
"('Q07955', 'Q86U42')"
"('Q14397', 'P35557')"
"('P98177', 'P24522')"
"('P60709', 'Q9Y6K9')"
"('O43561', 'P42338')"
"('Q96KG7', 'Q6VN20')"
"('Q13547', 'O75381')"
"('Q14833', 'P63215')"
"('Q96RT1', 'P07942')"
"('O43791', 'P35638')"
"('Q9Y4Z0', 'P67870')"
"('P05129', 'P19174')"
"('O76031', 'Q15714')"
"('Q9H0M0', 'P84022')"
"('Q92574', 'P08962')"
"('Q13451', 'Q15831')"
"('P22303', 'P05067')"
"('Q14289', 'Q9Y6R4')"
"('Q99436', 'Q13177')"
"('P15882', 'P61247')"
"('P02790', 'O00214')"
"('P05000', 'P38484')"
"('P04626', 'P27361')"
"('P49720', 'P01106')"
"('Q9P287', 'P56545')"
"('Q9NX24', 'P04156')"
"('P24385', 'Q13526')"
"('Q9NPF7', 'Q14627')"
"('P14416', 'P32121')"
"('P02792', 'P43490')"
"('P17301', 'P06756')"
"('P0C0S8', 'Q8N257')"
"('P40429', 'P46776')"
"('P32121', 'A6NF89')"
"('Q14181', 'Q14147')"
"('P01106', 'P33991')"
"('P78527', 'P53041')"
"('P13805', 'P17844')"
"('O43251', 'Q96MA1')"
"('Q9H7Z6', 'P04637')"
"('Q99459', 'P48382')"
"('P47898', 'P84996')"
"('P23142', 'P15502')"
"('Q14161', 'Q86YR7')"
"('P61981', 'Q02241')"
"('P61077', 'Q96PM9')"
"('Q13480', 'Q99759')"
"('P14416', 'Q01959')"
"('P32302', 'P63096')"
"('P40189', 'P07948')"
"('P05106', 'P16885')"
"('P02545', 'P42166')"
"('Q9Y2S7', 'P49005')"
"('P00519', 'Q7Z434')"
"('Q14653', 'Q9UII4')"
"('Q969Q6', 'Q86US8')"
"('Q15306', 'Q96QK1')"
"('P31947', 'Q07812')"
"('Q9H0R8', 'Q9NT62')"
"('Q9Y5Z7', 'P14316')"
"('P56747', 'Q8N6F1')"
"('P62837', 'Q8IUQ4')"
"('Q92753', 'Q15788')"
"('Q13315', 'Q9Y6D9')"
"('Q14790', 'Q9Y6K9')"
"('P00533', 'P38646')"
"('P49792', 'P25054')"
"('Q04864', 'Q9BZF9')"
"('O14578', 'P19105')"
"('Q15796', 'P30626')"
"('O00308', 'Q15637')"
"('Q08043', 'P56199')"
"('Q9H7J1', 'P46020')"
"('Q14457', 'Q01094')"
"('Q8IVS2', 'Q14197')"
"('Q03113', 'P07900')"
"('Q15672', 'Q13547')"
"('P40126', 'P18206')"
"('Q9NQB0', 'Q8N2W9')"
"('Q8N1F7', 'O76071')"
"('P24043', 'Q7L1I2')"
"('P29590', 'Q8N726')"
"('Q9P2R6', 'O43251')"
"('Q00005', 'P62913')"
"('P00533', 'P62316')"
"('P34969', 'Q5JWF2')"
"('P42768', 'P46109')"
"('Q8WY91', 'Q16659')"
"('P0CG47', 'P60900')"
"('Q9NX58', 'P46778')"
"('P14373', 'O15111')"
"('Q6ZSI9', 'Q9H1Y0')"
"('Q86TJ2', 'O94864')"
"('O43320', 'P35968')"
"('O43633', 'Q7LBR1')"
"('Q07889', 'O43561')"
"('Q5U623', 'Q9UIS9')"
"('Q96GM5', 'O75400')"
"('P01106', 'Q8N3Z6')"
"('Q8N6Y0', 'Q9Y6N9')"
"('Q13315', 'Q8N5P1')"
"('P48023', 'Q13158')"
"('P06213', 'Q8WYR1')"
"('O75964', 'Q14197')"
"('Q15047', 'Q13263')"
"('P39687', 'P10828')"
"('O00585', 'Q16270')"
"('Q96QB1', 'P28749')"
"('P55157', 'Q9H2G2')"
"('Q7Z2V1', 'P51116')"
"('P20809', 'Q9UHF4')"
"('406984', 'Q96RT1')"
"('Q9BPY3', 'Q8N5V2')"
"('P13797', 'P40337')"
"('Q6P996', 'Q9Y5J5')"
"('P01106', 'Q8TD16')"
"('P01106', 'Q00722')"
"('Q04695', 'Q13191')"
"('Q15628', 'P23396')"
"('P10275', 'Q01196')"
"('Q14197', 'Q9HD33')"
"('P12931', 'P29350')"
"('Q96B02', 'O94941')"
"('P28566', 'P62873')"
"('P49715', 'P51531')"
"('P04637', 'Q15831')"
"('P42830', 'P22894')"
"('Q99417', 'Q9P2K9')"
"('P32519', 'P06400')"
"('O00305', 'P78559')"
"('Q92831', 'P62491')"
"('P15882', 'P63000')"
"('P01106', 'P17096')"
"('Q9NYY1', 'Q6UXL0')"
"('P13569', 'Q8WWI1')"
"('O94805', 'P51531')"
"('Q13247', 'P62995')"
"('Q9H1I8', 'Q9BWH2')"
"('P16871', 'P52333')"
"('P62158', 'P62258')"
"('Q8N5R6', 'O94972')"
"('Q16537', 'P54289')"
"('P35442', 'P18827')"
"('Q9UIV1', 'P06493')"
"('Q14919', 'Q16594')"
"('P07437', 'A6NHL2')"
"('O43719', 'Q08170')"
"('Q9Y2M5', 'P32456')"
"('O60229', 'P19021')"
"('Q9Y4K3', 'Q7L2H7')"
"('O15265', 'Q9NRD5')"
"('Q99759', 'O15212')"
"('P48357', 'Q8N5S9')"
"('P01112', 'P19174')"
"('Q16543', 'Q9UHD2')"
"('P01106', 'Q13077')"
"('Q9UBS8', 'P51965')"
"('P62917', 'Q9UKV8')"
"('P01106', 'Q13422')"
"('Q96ST3', 'Q09028')"
"('Q9UM54', 'P25054')"
"('Q14188', 'P28749')"
"('Q63HR2', 'P26010')"
"('P33778', 'Q9Y6F1')"
"('P19883', 'Q12841')"
"('P19105', 'Q5VT25')"
"('P01889', 'P43626')"
"('P49454', 'P57740')"
"('P27797', 'Q03518')"
"('P62879', 'Q08462')"
"('Q15834', 'P62191')"
"('O00165', 'Q15714')"
"('P62807', 'P78545')"
"('Q96A37', 'Q969T4')"
"('P27361', 'Q9UP65')"
"('Q9UL68', 'Q99459')"
"('P52803', 'P08069')"
"('Q15008', 'P01889')"
"('Q12905', 'Q9Y230')"
"('Q14164', 'P62491')"
"('P10589', 'Q15777')"
"('Q9NRD5', 'Q9NZJ4')"
"('P17676', 'P10826')"
"('O14526', 'Q9HCE7')"
"('P13631', 'Q15788')"
"('Q13586', 'Q96SN7')"
"('P27986', 'P55211')"
"('Q92597', 'P23396')"
"('O15264', 'P31749')"
"('Q9UEF7', 'P06213')"
"('Q9NRR5', 'Q6P1W5')"
"('P04637', 'P49848')"
"('Q14687', 'Q5RL73')"
"('Q00005', 'P52907')"
"('Q96JB5', 'O94874')"
"('P16220', 'P43354')"
"('Q8WV24', 'P50914')"
"('Q9UEU0', 'O15400')"
"('O00257', 'P49711')"
"('Q13315', 'P18846')"
"('Q9NV70', 'Q5KU26')"
"('Q96QV6', 'Q9NPI1')"
"('P54253', 'P01034')"
"('P00488', 'P08567')"
"('O75159', 'Q15370')"
"('Q13009', 'P61587')"
"('Q9HCU9', 'P53814')"
"('Q9NZI8', 'P01889')"
"('P34810', 'Q15306')"
"('Q5VVX9', 'Q86TM6')"
"('P15498', 'Q13191')"
"('Q5T653', 'Q9HAU4')"
"('Q06546', 'P51610')"
"('P46109', 'P42768')"
"('P05013', 'Q969J5')"
"('P07948', 'Q01362')"
"('P83369', 'P62306')"
"('P62879', 'Q92633')"
"('P26640', 'P68104')"
"('O95299', 'O00483')"
"('P10914', 'P05161')"
"('O14544', 'Q99665')"
"('P08754', 'Q8WZA2')"
"('Q5T5Y3', 'Q15797')"
"('Q9Y6J9', 'Q16531')"
"('P12270', 'Q9UKX7')"
"('P25054', 'O14965')"
"('O14508', 'Q5VWK5')"
"('Q15047', 'O94985')"
"('P61927', 'P61353')"
"('P15884', 'O15105')"
"('Q05397', 'O00459')"
"('Q5UIP0', 'Q15583')"
"('P49137', 'Q16082')"
"('Q15306', 'Q86X55')"
"('P50402', 'P35222')"
"('Q92769', 'Q7L7L0')"
"('P11021', 'O14920')"
"('Q9BTD8', 'P09012')"
"('O95352', 'Q8IY92')"
"('O00327', 'P35869')"
"('P55075', 'Q02763')"
"('Q15436', 'P55735')"
"('P25116', 'O14775')"
"('P62979', 'Q9UJY5')"
"('Q9Y6K9', 'Q9BTW9')"
"('P00750', 'P09429')"
"('P20823', 'Q9HBY8')"
"('P48444', 'Q15714')"
"('P11021', 'Q9P0V3')"
"('O15533', 'P01892')"
"('Q8IYH5', 'Q92830')"
"('Q8NH76', 'P38405')"
"('P26006', 'Q9UKX5')"
"('O00255', 'P08670')"
"('P04637', 'Q12824')"
"('Q16363', 'P16144')"
"('P21281', 'P05108')"
"('P17987', 'Q66LE6')"
"('P60866', 'P62841')"
"('Q9C0J8', 'Q9UKY1')"
"('Q9Y222', 'Q6VMQ6')"
"('574515', 'A5X5Y0')"
"('O15144', 'P60709')"
"('P23508', 'P42704')"
"('Q13535', 'Q99986')"
"('P10586', 'Q13136')"
"('Q15906', 'Q9Y265')"
"('O75164', 'P10412')"
"('Q92985', 'Q96A33')"
"('P29597', 'P48736')"
"('O76081', 'O95433')"
"('O60258', 'P11362')"
"('P62140', 'P46937')"
"('P20809', 'P16471')"
"('P82979', 'Q13838')"
"('P10720', 'P32302')"
"('Q01130', 'Q13247')"
"('P18146', 'Q8WU17')"
"('P31943', 'Q08170')"
"('Q92765', 'O00144')"
"('O94868', 'P55072')"
"('Q05513', 'Q9H0R8')"
"('Q9NQU5', 'Q9H1R3')"
"('Q99689', 'Q13332')"
"('P60953', 'P06239')"
"('Q14209', 'P42771')"
"('P00747', 'P05121')"
"('Q96GD4', 'O15392')"
"('Q9H4P4', 'P08581')"
"('P12757', 'P26641')"
"('P52945', 'P40424')"
"('P54259', 'P25788')"
"('Q13023', 'Q96EV8')"
"('P07900', 'O14746')"
"('P35236', 'P45984')"
"('Q15393', 'Q9NZC7')"
"('Q9Y2Z0', 'Q13573')"
"('P09622', 'O00330')"
"('Q9NRR4', '406991')"
"('O43914', 'P43405')"
"('O60285', 'P06702')"
"('P01241', 'Q15365')"
"('P11487', 'P00533')"
"('P62979', 'P13569')"
"('Q14289', 'P52735')"
"('Q16637', 'O75569')"
"('Q9UKV0', 'P0C1H6')"
"('Q96FE5', 'Q969H0')"
"('Q96K62', 'Q9Y3C7')"
"('Q9HCM9', 'Q96LR5')"
"('A8MT69', 'O15360')"
"('Q9UBY5', 'P59768')"
"('343477', 'P01889')"
"('P18124', 'Q13233')"
"('P68104', 'P61604')"
"('O75444', 'Q9Y5Q3')"
"('O60925', 'P54257')"
"('Q16658', 'Q9HD67')"
"('P17483', 'O75030')"
"('Q15796', 'Q8N684')"
"('O14556', 'Q00987')"
"('P06493', 'P67870')"
"('P78527', 'Q00839')"
"('O14920', 'Q01201')"
"('Q693B1', 'Q13618')"
"('P63244', 'P38936')"
"('P16333', 'P78345')"
"('Q13625', 'Q9BYC9')"
"('P14778', 'P42574')"
"('P04350', 'Q13084')"
"('P27986', 'Q14315')"
"('P62249', 'Q04206')"
"('P18084', 'Q08043')"
"('Q13546', 'Q9Y572')"
"('P62979', 'Q13485')"
"('Q13501', 'P41743')"
"('Q9NYA1', 'Q9H2G2')"
"('Q5JWF2', 'P61952')"
"('P50148', 'P0C869')"
"('Q13568', 'Q92985')"
"('P62987', 'P39023')"
"('P05412', 'P38398')"
"('Q9NYL2', 'Q13432')"
"('O95445', 'Q9BTY7')"
"('Q96QR1', 'P05452')"
"('Q99575', 'O95707')"
"('P19878', 'P14780')"
"('Q7L5N1', 'P11166')"
"('O00193', 'Q14703')"
"('O00487', 'P54727')"
"('P61254', 'P62945')"
"('Q92956', 'P60228')"
"('Q16543', 'Q14590')"
"('Q9C0K0', 'O94776')"
"('Q96QZ7', 'P63000')"
"('Q01196', 'Q12824')"
"('P30511', 'P43627')"
"('P63092', 'Q99459')"
"('P61952', 'P48544')"
"('Q9NR96', 'Q9NSB4')"
"('Q9HC77', 'P23258')"
"('Q9Y6Y0', 'O75626')"
"('P35658', 'Q15796')"
"('O14815', 'Q9H1Y0')"
"('P0DI82', 'O96006')"
"('P06753', 'Q9BQD3')"
"('P63279', 'Q02078')"
"('P62158', 'P32241')"
"('P40197', 'P07359')"
"('O43586', 'P46779')"
"('P19387', 'P36954')"
"('P63104', 'Q96F07')"
"('Q9Y2X8', 'O94874')"
"('Q16625', 'P56746')"
"('Q96DU9', 'P15170')"
"('Q9BSM1', 'P78364')"
"('P04637', 'P17936')"
"('O43929', 'Q9Y5N6')"
"('Q07157', 'Q96GC9')"
"('P20333', 'Q9UM54')"
"('P27986', 'P45983')"
"('P51677', 'P63096')"
"('P62993', 'P0CG48')"
"('P62263', 'P62081')"
"('Q9Y6K9', 'P25963')"
"('Q99759', 'P52907')"
"('Q16849', 'O14522')"
"('P35626', 'Q8NH40')"
"('P32121', 'A6NDL8')"
"('Q9UL17', 'P42224')"
"('Q9Y5B9', 'Q08945')"
"('P36897', 'Q8WUH2')"
"('P84090', 'Q9NPH0')"
"('P98175', 'Q15427')"
"('O14964', 'Q96LR2')"
"('Q9Y5P8', 'Q8WXS5')"
"('Q9BWF2', 'P62256')"
"('P12318', 'O43561')"
"('Q969G3', 'P24522')"
"('P56199', 'P06756')"
"('P01889', 'P60900')"
"('P05112', 'Q01113')"
"('Q8IY92', 'P82921')"
"('Q9Y4K3', 'Q5ST30')"
"('Q9UKB1', 'P42574')"
"('P05109', 'Q38SD2')"
"('P63104', 'P60520')"
"('O14802', 'Q9Y250')"
"('P35443', 'P18827')"
"('Q86Y56', 'Q96T60')"
"('P0C1H6', 'Q99878')"
"('Q9UPN9', 'P50750')"
"('P37173', 'P09486')"
"('Q13077', 'Q96EP0')"
"('P13671', 'P06241')"
"('Q5VVX9', 'O00635')"
"('O43707', 'P38432')"
"('P63211', 'P08754')"
"('Q00987', 'P62913')"
"('P48431', 'Q9H9S0')"
"('P35236', 'Q16539')"
"('O43586', 'Q02543')"
"('Q9UK08', 'P35498')"
"('Q13007', 'Q08334')"
"('Q15572', 'P04637')"
"('Q99590', 'P26368')"
"('Q9Y383', 'Q9P2H0')"
"('P02647', 'P01876')"
"('P50281', 'P09958')"
"('P62917', 'P62750')"
"('O60762', 'O94777')"
"('P06753', 'P16871')"
"('Q9Y3A3', 'P30153')"
"('P02452', 'P18084')"
"('Q8N2H9', 'P51617')"
"('Q01094', 'O75496')"
"('Q01081', 'Q15366')"
"('P49841', 'Q9UHI6')"
"('P22626', 'P50616')"
"('P30550', 'P30679')"
"('Q9Y5U8', 'Q9Y5V3')"
"('O76024', 'P18850')"
"('P29590', 'P36897')"
"('Q5T3J3', 'P08670')"
"('P23246', 'O95819')"
"('Q96D21', 'Q15797')"
"('P03915', 'O43674')"
"('O95343', 'P62633')"
"('P49286', 'Q9P2W3')"
"('P43403', 'P06127')"
"('P51003', 'P84103')"
"('Q9UKV8', 'Q9UHD2')"
"('P21673', 'Q14194')"
"('P06241', 'Q9Y4K3')"
"('P35226', 'Q05516')"
"('Q07889', 'Q96RF0')"
"('Q86VX9', 'Q5VTD9')"
"('Q969G3', 'Q13315')"
"('O00716', 'Q13315')"
"('Q9UKV0', 'O75376')"
"('P06681', 'P0C0L4')"
"('P01106', 'Q13488')"
"('P24821', 'P18564')"
"('Q9Y490', 'Q99459')"
"('Q9H334', 'Q8WXI9')"
"('Q9Y2X0', 'A0JLT2')"
"('Q9Y4K3', 'Q8WY22')"
"('P58107', 'P52735')"
"('O75530', 'P26358')"
"('Q13242', 'Q16629')"
"('Q9UI14', 'Q9UNI6')"
"('Q9UMN6', 'P00519')"
"('P30530', 'Q07912')"
"('P63098', 'Q9UJX2')"
"('P43146', 'P20042')"
"('Q96FW1', 'P62837')"
"('O14512', 'P15509')"
"('P32927', 'Q92569')"
"('P01570', 'Q13651')"
"('A6NM45', 'O00501')"
"('O60658', 'Q00653')"
"('P10275', 'Q07890')"
"('Q9Y4A5', 'Q13315')"
"('O60739', 'P19105')"
"('Q14247', 'O15143')"
"('Q9H334', 'O75626')"
"('Q8TDR0', 'P83731')"
"('Q8IUH5', 'P21579')"
"('O00716', 'O96020')"
"('Q15388', 'Q7Z419')"
"('Q07817', 'P62136')"
"('P24864', 'Q9UPP1')"
"('Q04206', 'P09326')"
"('Q9H9S0', 'P16070')"
"('O75251', 'O43677')"
"('O75448', 'Q15648')"
"('Q00653', 'Q03405')"
"('Q92878', 'Q13573')"
"('Q14240', 'Q53EL6')"
"('Q13794', 'Q07820')"
"('Q14691', 'Q7L590')"
"('Q9UI09', 'P03886')"
"('P55036', 'Q8NHQ8')"
"('P01732', 'P30466')"
"('Q16828', 'Q9UDV6')"
"('P02462', 'O43405')"
"('Q13137', 'Q8N5R6')"
"('Q96HP0', 'P61586')"
"('Q5VTR2', 'Q99460')"
"('Q13889', 'Q6ZYL4')"
"('A6NM45', 'P57739')"
"('P07910', 'Q15365')"
"('P12980', 'Q8WXW3')"
"('P20823', 'P55072')"
"('Q15029', 'Q15428')"
"('P17252', 'Q14289')"
"('P25786', 'O95751')"
"('Q92796', 'Q8WV44')"
"('P22626', 'Q9UBW7')"
"('P01106', 'P12821')"
"('P09038', 'P29317')"
"('O00716', 'Q06609')"
"('P60604', 'Q9UKV5')"
"('P31947', 'Q9P0L2')"
"('Q9GZW8', 'P35914')"
"('P01009', 'P27824')"
"('Q9HCU4', 'P46108')"
"('P61513', 'Q07020')"
"('P06396', 'P02768')"
"('Q16619', 'P01589')"
"('407046', 'Q13127')"
"('Q9NP95', 'P07333')"
"('P27361', 'Q04206')"
"('O95267', 'P01116')"
"('P49321', 'Q9Y383')"
"('P54259', 'Q99973')"
"('Q99590', 'P08621')"
"('Q96B02', 'Q8WWF5')"
"('P15248', 'Q01344')"
"('P27635', 'P40429')"
"('P35869', 'O00327')"
"('P20908', 'P16070')"
"('Q92620', 'P52756')"
"('Q9HD26', 'P15529')"
"('Q9H0D6', 'P21964')"
"('O43542', 'O75771')"
"('O75578', 'Q13683')"
"('Q96NY8', 'Q92692')"
"('Q9NZT1', 'Q13557')"
"('O94763', 'Q99759')"
"('Q13263', 'P04222')"
"('Q00653', 'Q08211')"
"('P52630', 'P40305')"
"('P04626', 'Q07889')"
"('Q96JH8', 'P22607')"
"('P19793', 'Q15596')"
"('P08908', 'O60262')"
"('P62993', 'Q9UQQ2')"
"('Q13573', 'O60264')"
"('P20333', 'P21333')"
"('O60603', 'Q9BXN2')"
"('P30050', 'P05386')"
"('P08670', 'P84022')"
"('Q9BY41', 'Q96A08')"
"('Q9NWS0', 'Q16659')"
"('P13498', 'P19878')"
"('P07359', 'P16109')"
"('Q15047', 'Q15486')"
"('Q14573', 'Q9UQM7')"
"('P62308', 'P14678')"
"('Q9UHD2', 'P08107')"
"('Q93077', 'Q16778')"
"('P11215', 'P35354')"
"('P37840', 'P01308')"
"('O15524', 'Q14627')"
"('P46781', 'P60709')"
"('O15392', 'P42574')"
"('P20138', 'O14543')"
"('O43493', 'Q9NZ52')"
"('P07900', 'Q13546')"
"('P05386', 'P49207')"
"('Q96F07', 'P63104')"
"('P63098', 'Q13522')"
"('Q8NFD5', 'Q68CP9')"
"('O15355', 'P30533')"
"('Q9H5J0', 'Q07021')"
"('O15198', 'Q96SQ5')"
"('Q9Y572', 'P09651')"
"('P48745', 'P01308')"
"('P62424', 'P42766')"
"('Q12959', 'Q9NQT8')"
"('Q9H8V3', 'P27986')"
"('Q15910', 'O75530')"
"('P84022', 'P11802')"
"('Q71U36', 'P16333')"
"('P11940', 'Q9NZC7')"
"('Q15648', 'Q71F56')"
