negatives
"('P67870', 'O15479')"
"('P49407', 'P23458')"
"('Q13547', 'Q92841')"
"('Q9BTM1', 'Q7Z2G1')"
"('P01241', 'P30084')"
"('P36578', 'P39023')"
"('P00441', 'O95817')"
"('P62899', 'P46779')"
"('P49903', 'Q13432')"
"('P20749', 'Q04864')"
"('P37173', 'P23511')"
"('Q9BSU1', 'P05106')"
"('Q15788', 'Q9H1R2')"
"('Q99677', 'Q5JWF2')"
"('Q9UQE7', 'Q14457')"
"('P08173', 'Q5JY77')"
"('P05387', 'P50914')"
"('P35226', 'Q8NDX5')"
"('P01106', 'P00973')"
"('P00492', 'Q9NRG1')"
"('Q86U06', 'Q14181')"
"('P57078', 'Q6Q0C0')"
"('Q15759', 'P05423')"
"('O95294', 'O14807')"
"('P02774', 'Q5T3J3')"
"('Q6VMQ6', 'P16220')"
"('P78395', 'Q13617')"
"('Q9H334', 'Q02548')"
"('Q9BRX2', 'P28288')"
"('P32121', 'Q8NHB7')"
"('Q5JY77', 'O43193')"
"('P15104', 'O00221')"
"('Q14164', 'O96009')"
"('O15264', 'P07737')"
"('Q15365', 'Q01844')"
"('Q969H6', 'P63162')"
"('P35443', 'P16671')"
"('Q9NQ92', 'P68431')"
"('P04792', 'P16871')"
"('P52597', 'P07910')"
"('P22694', 'Q9UN42')"
"('P61088', 'Q13573')"
"('P03905', 'Q16795')"
"('P48357', 'Q14432')"
"('P05455', 'Q92956')"
"('Q86T24', 'O75376')"
"('Q13263', 'Q7L2J0')"
"('O94972', 'Q96M61')"
"('Q07890', 'Q3MIN7')"
"('P56278', 'Q01844')"
"('P52597', 'Q8IX12')"
"('O15389', 'Q15645')"
"('Q13573', 'P08579')"
"('P50616', 'P52597')"
"('P16220', 'Q9H9S3')"
"('Q86YC2', 'Q06609')"
"('Q6WKZ4', 'Q96RG2')"
"('P61981', 'O15151')"
"('Q8N2W9', 'P12757')"
"('P26358', 'O75530')"
"('P62753', 'P61247')"
"('Q16512', 'P12814')"
"('Q9H293', 'Q9Y4K3')"
"('P04406', 'O14939')"
"('P23469', 'P06241')"
"('P11802', 'Q13547')"
"('O94916', 'P15121')"
"('P13725', 'Q9HC73')"
"('P09919', 'P31785')"
"('O75352', 'O95714')"
"('P11387', 'Q15029')"
"('P41567', 'P01589')"
"('P55157', 'O15320')"
"('P09382', 'Q08380')"
"('Q9NRA1', 'Q02763')"
"('Q99832', 'P30542')"
"('Q05639', 'Q6WCQ1')"
"('Q6ZUJ8', 'P15391')"
"('Q9Y3E1', 'Q9HCE7')"
"('Q14160', 'P23508')"
"('Q13243', 'Q15287')"
"('Q9NXR8', 'O96019')"
"('P27361', 'P54709')"
"('P07900', 'P53041')"
"('P42766', 'P49207')"
"('P10275', 'O43294')"
"('P12956', 'P50453')"
"('Q8N5I2', 'P51965')"
"('Q5TA45', 'Q15645')"
"('Q9NZ42', 'P49810')"
"('Q14164', 'Q04941')"
"('Q01094', 'P16989')"
"('O75694', 'Q96EE3')"
"('Q9H2G2', 'Q8IZD9')"
"('Q93062', 'Q96HA1')"
"('Q02543', 'P62891')"
"('Q9HAF1', 'Q15834')"
"('O15357', 'P62993')"
"('P08648', 'P18084')"
"('O75365', 'Q8N163')"
"('P43657', 'P50150')"
"('Q14164', 'P31153')"
"('O14508', 'Q14627')"
"('Q8IYX0', 'Q99750')"
"('Q7LC44', 'P19012')"
"('P22694', 'P35498')"
"('P21860', 'P46109')"
"('Q15843', 'Q9NR80')"
"('Q9Y3C5', 'P51965')"
"('P01243', 'P99999')"
"('Q6UXN9', 'P36873')"
"('P80162', 'P51685')"
"('Q8NC51', 'Q14164')"
"('O15111', 'O14654')"
"('O60641', 'Q12933')"
"('P22694', 'P45984')"
"('Q13151', 'Q07955')"
"('Q16778', 'P52294')"
"('O15198', 'Q96EY1')"
"('Q9NSC5', 'P41594')"
"('P61604', 'Q13432')"
"('P07237', 'Q13162')"
"('P53350', 'P30622')"
"('Q9Y4H2', 'P62993')"
"('P61289', 'P17980')"
"('P20671', 'Q12830')"
"('Q99459', 'Q12874')"
"('P31943', 'O60508')"
"('Q6DKJ4', 'O14640')"
"('P15927', 'P13686')"
"('O95721', 'Q96LR2')"
"('Q92620', 'Q01130')"
"('Q13247', 'P14866')"
"('Q8IY92', 'Q9C0B1')"
"('Q9NX14', 'P17568')"
"('P36897', 'P62942')"
"('P18077', 'P46778')"
"('O14979', 'Q14197')"
"('Q16619', 'P42701')"
"('Q12905', 'Q9Y265')"
"('P29372', 'Q9Y237')"
"('P38159', 'Q07955')"
"('P36897', 'O00743')"
"('P22392', 'Q15084')"
"('Q99750', 'P32242')"
"('Q14831', 'P63218')"
"('Q9H270', 'P27448')"
"('P01137', 'P62258')"
"('Q9UQL6', 'Q6FI13')"
"('P30086', 'O15111')"
"('P10721', 'P40763')"
"('P42345', 'P62942')"
"('Q9Y478', 'Q15084')"
"('P19012', 'P02538')"
"('P28472', 'P60520')"
"('O96017', 'Q9Y248')"
"('Q96P70', 'Q9Y478')"
"('Q9Y5J5', 'Q9H7H1')"
"('O95197', 'P43378')"
"('P84022', 'P24941')"
"('O43491', 'Q14980')"
"('Q9Y5X1', 'Q9ULH1')"
"('Q9HBY8', 'P20823')"
"('Q13098', 'Q9UBW8')"
"('Q8TF45', 'Q13153')"
"('P21281', 'P08842')"
"('Q9UHI6', 'A0JLT2')"
"('P49137', 'P49815')"
"('P46777', 'Q00987')"
"('407010', 'P48061')"
"('Q9Y463', 'Q13153')"
"('Q96JM3', 'Q9UI95')"
"('P63162', 'Q15369')"
"('P22694', 'P52566')"
"('Q92889', 'P07992')"
"('P12110', 'P26010')"
"('P20073', 'P55084')"
"('P62837', 'Q99942')"
"('P60709', 'P19338')"
"('P17612', 'P23528')"
"('Q12772', 'Q9Y6R1')"
"('Q15428', 'P09234')"
"('P49757', 'P46531')"
"('P10145', 'P25024')"
"('Q15047', 'O94985')"
"('Q8IZP0', 'Q9Y6W5')"
"('O60641', 'Q9NYJ8')"
"('Q14204', 'Q13509')"
"('P62753', 'Q9UKV8')"
"('Q969H4', 'O43739')"
"('Q9H840', 'Q92993')"
"('Q9UBC2', 'Q9Y6I3')"
"('Q16665', 'P08833')"
"('Q9Y6H5', 'P21549')"
"('P09486', 'P08254')"
"('O60645', 'P12814')"
"('O15520', 'P22455')"
"('P61586', 'Q86T65')"
"('P85298', 'P60763')"
"('P63010', 'O75348')"
"('Q5UIP0', 'O00231')"
"('Q99836', 'P19838')"
"('Q9UBR4', 'P01222')"
"('P49716', 'P01130')"
"('Q15370', 'Q9Y6I7')"
"('P21127', 'O00303')"
"('Q9P2S2', 'Q9NZ94')"
"('Q15047', 'P51784')"
"('Q14247', 'Q9ULH1')"
"('P18564', 'P12814')"
"('P55001', 'O76061')"
"('Q15078', 'Q14164')"
"('Q14527', 'Q9Y5J5')"
"('O75832', 'Q9BRP4')"
"('Q9H2G2', 'Q9NYQ7')"
"('P49407', 'P19634')"
"('P17706', 'P56199')"
"('407050', 'Q8WY64')"
"('P35916', 'P62993')"
"('P33991', 'O75419')"
"('P12277', 'Q96DX5')"
"('P04183', 'P04637')"
"('Q9UL18', 'Q15633')"
"('Q8N201', 'Q99459')"
"('Q8IX12', 'P26368')"
"('Q13435', 'Q9Y5S9')"
"('Q9UBE8', 'P54253')"
"('P38936', 'O15123')"
"('P37840', 'Q99497')"
"('Q04206', 'P07900')"
"('P16104', 'P63104')"
"('P53350', 'P21675')"
"('P05112', 'Q03060')"
"('Q02156', 'Q07812')"
"('O75521', 'P32121')"
"('Q8NGX6', 'P38405')"
"('P26641', 'P29692')"
"('Q96B97', 'P21860')"
"('P60953', 'O60879')"
"('Q9P1U0', 'Q9H9Y6')"
"('Q6WCQ1', 'P07437')"
"('Q9H9G7', 'Q9BQA1')"
"('Q9NYJ8', 'P31689')"
"('P05556', 'O43707')"
"('P00403', 'P62736')"
"('P49815', 'P49841')"
"('P52948', 'Q9H8S9')"
"('Q9NYY1', 'P40189')"
"('Q9NRR5', 'O75400')"
"('Q8WXS3', 'Q99750')"
"('P42166', 'P00519')"
"('O14744', 'O15105')"
"('Q96EQ0', 'P98175')"
"('P60709', 'P23528')"
"('P16104', 'P09874')"
"('442917', 'Q15303')"
"('P35398', 'P62195')"
"('P25054', 'P21333')"
"('P27986', 'O00212')"
"('P54257', 'P17028')"
"('P39023', 'P62750')"
"('Q15788', 'P48443')"
"('Q9BUV8', 'Q9UGJ1')"
"('P47992', 'P32246')"
"('P11388', 'Q13526')"
"('P61421', 'Q86Y82')"
"('P51817', 'Q7Z3S7')"
"('O14980', 'Q09161')"
"('P21796', 'Q14697')"
"('O15360', 'Q92925')"
"('P35626', 'P51681')"
"('Q9UI14', 'Q9NRS6')"
"('P0DJD1', 'P61956')"
"('442918', 'P43351')"
"('Q99717', 'O75533')"
"('O43559', 'Q06124')"
"('O00303', 'P20042')"
"('P08123', 'P43694')"
"('Q8WVC0', 'P53803')"
"('P60660', 'P16871')"
"('Q969J5', 'O60674')"
"('P78527', 'Q00653')"
"('P04628', 'Q2MKA7')"
"('O14508', 'Q15369')"
"('P43026', 'O00238')"
"('Q15691', 'P25054')"
"('Q13555', 'O43306')"
"('Q9UK32', 'Q9H254')"
"('Q9UBU7', 'P33993')"
"('P51948', 'Q13330')"
"('Q9NR30', 'P61247')"
"('Q92769', 'P31260')"
"('P16333', 'Q9HCU4')"
"('Q9NR12', 'Q15365')"
"('P09234', 'P52597')"
"('Q9Y4G6', 'P16144')"
"('O60925', 'P02768')"
"('P61254', 'Q9NX58')"
"('P32121', 'Q8NGS9')"
"('P12236', 'P19438')"
"('O60508', 'Q9UMS4')"
"('Q8WV41', 'P42768')"
"('P63211', 'Q13698')"
"('P62312', 'P49005')"
"('Q9Y478', 'Q12778')"
"('O00255', 'P35244')"
"('P42331', 'Q07889')"
"('Q04917', 'Q7L576')"
"('P04637', 'P11021')"
"('P49662', 'O94874')"
"('P21675', 'Q16778')"
"('P60660', 'Q96BK5')"
"('Q9UPW5', 'O75335')"
"('P49841', 'P08621')"
"('P38432', 'Q9NSK0')"
"('P08519', 'P98164')"
"('Q00987', 'Q5VVX9')"
"('P17275', 'P15336')"
"('Q13352', 'Q9NWY4')"
"('Q13185', 'Q5T6C5')"
"('Q13315', 'P01009')"
"('P23458', 'Q8NEB9')"
"('O14908', 'Q13641')"
"('Q9Y3C6', 'Q9BRX9')"
"('Q86WN2', 'P31785')"
"('P29350', 'P40763')"
"('O60729', 'P30260')"
"('P18146', 'Q8N6M6')"
"('P62070', 'Q96IZ0')"
"('Q8IYR0', 'Q8WVD3')"
"('P62491', 'Q14164')"
"('P31749', 'Q99941')"
"('Q969Y2', 'P29372')"
"('P62993', 'O43609')"
"('O00329', 'Q13480')"
"('Q15714', 'O76031')"
"('O75400', 'P24347')"
"('Q13315', 'P40879')"
"('P12830', 'Q01484')"
"('Q96S59', 'P56817')"
"('Q15025', 'P21580')"
"('Q8TEW0', 'Q15147')"
"('P14616', 'O00459')"
"('P15586', 'P12931')"
"('Q13573', 'O43175')"
"('Q7Z569', 'P38398')"
"('P29353', 'P20273')"
"('P42766', 'P47914')"
"('P20823', 'P31946')"
"('Q9P0L0', 'Q96TC7')"
"('P00533', 'Q99700')"
"('Q07960', 'Q07890')"
"('O43639', 'P48740')"
"('O95819', 'Q9UNE0')"
"('P18146', 'P00441')"
"('P18146', 'Q8TAP8')"
"('Q13573', 'Q14527')"
"('P45983', 'P19838')"
"('P06241', 'Q6S5L8')"
"('Q15759', 'Q04206')"
"('O14939', 'P61764')"
"('Q9NY93', 'P37108')"
"('P32298', 'P51681')"
"('P55036', 'P17980')"
"('P07900', 'Q15185')"
"('Q9BVC4', 'P42345')"
"('P08727', 'P25054')"
"('P19174', 'P63000')"
"('P62491', 'Q9ULV0')"
"('P35222', 'P19022')"
"('O60496', 'Q96EK5')"
"('P07711', 'Q6UXH1')"
"('Q96EK5', 'Q99700')"
"('O96019', 'P24522')"
"('Q12913', 'P17948')"
"('P01135', 'P21802')"
"('P84077', 'O60733')"
"('O43242', 'P17980')"
"('P29972', 'Q8N5Z5')"
"('P53779', 'O95644')"
"('P09471', 'Q9UP65')"
"('P10415', 'P12956')"
"('Q92901', 'P50914')"
"('Q9Y6F6', 'Q14643')"
"('Q13445', 'P84022')"
"('Q13616', 'Q5VYV7')"
"('O43318', 'Q86VZ6')"
"('P62269', 'P23396')"
"('Q04771', 'Q8TAI7')"
"('Q9HC98', 'Q93008')"
"('Q9P031', 'Q9HAW0')"
"('P15884', 'P50553')"
"('P11229', 'P50148')"
"('O00522', 'Q9P246')"
"('Q13156', 'Q9H9A7')"
"('Q9H2P0', 'Q13573')"
"('Q13573', 'Q9UJX2')"
"('P04628', 'Q14469')"
"('O00292', 'P01137')"
"('P05386', 'P56134')"
"('P01106', 'Q75T13')"
"('O75122', 'Q9NRG4')"
"('O15068', 'Q9UL18')"
"('Q9C0J8', 'Q6UN15')"
"('Q15428', 'Q01081')"
"('P01889', 'O95347')"
"('P08758', 'P26358')"
"('P28070', 'O15162')"
"('P46776', 'P62906')"
"('Q92905', 'Q9NZQ3')"
"('Q15366', 'Q13151')"
"('Q96LW7', 'O95999')"
"('P38398', 'Q09028')"
"('P27701', 'Q99567')"
"('O14745', 'P23508')"
"('P63000', 'O14559')"
"('Q13557', 'P41594')"
"('P04626', 'P42684')"
"('O75916', 'P19087')"
"('P47914', 'P49207')"
"('O43683', 'Q562F6')"
"('2310', 'P04179')"
"('P63010', 'Q15287')"
"('Q03060', 'Q68CJ9')"
"('P06400', 'O43463')"
"('P62979', 'Q13415')"
"('P23677', 'P27482')"
"('Q15370', 'Q9H765')"
"('P30291', 'P63208')"
"('Q99873', 'P98177')"
"('P12757', 'P84022')"
"('P05386', 'Q9UNX3')"
"('P42681', 'P52735')"
"('Q5QNW6', 'Q93077')"
"('Q05519', 'Q13242')"
"('Q9HC52', 'Q92993')"
"('P61218', 'Q8N7H5')"
"('Q9BUJ2', 'P52948')"
"('Q13315', 'Q8N3A8')"
"('Q9BQY4', 'Q9NWB1')"
"('O43524', 'P42772')"
"('P15408', 'P35638')"
"('O75843', 'Q8IZH2')"
"('P24592', 'P02787')"
"('P10398', 'Q96KB5')"
"('P23508', 'P56192')"
"('O95169', 'O14561')"
"('Q71U36', 'Q99595')"
"('Q9H8S9', 'Q15208')"
"('P43246', 'Q92830')"
"('P41279', 'O15111')"
"('Q9BQD3', 'Q96D59')"
"('Q8TDG2', 'Q8TD84')"
"('P17542', 'O75081')"
"('P16104', 'P56524')"
"('O00144', 'O75581')"
"('P63104', 'P26358')"
"('P55789', 'Q92905')"
"('P23763', 'Q12846')"
"('O95239', 'Q13573')"
"('O15335', 'P56199')"
"('P24588', 'P63252')"
"('Q92625', 'P00533')"
"('P19086', 'P30542')"
"('406908', 'O75116')"
"('Q86YP4', 'Q8WXI9')"
"('Q9NS73', 'Q9NR33')"
"('Q15102', 'P61956')"
"('Q9GZS1', 'O95602')"
"('O60684', 'Q02252')"
"('P31947', 'P30304')"
"('P78344', 'P43360')"
"('P43490', 'P02792')"
"('P52747', 'Q04206')"
"('O95084', 'Q99081')"
"('P02771', 'P30480')"
"('P30154', 'O60359')"
"('Q7Z2G1', 'O75367')"
"('P62910', 'P05387')"
"('Q9Y3U8', 'P27635')"
"('Q9NRR5', 'Q9UKW6')"
"('P15923', 'P15172')"
"('P01579', 'P19235')"
"('Q9BYV9', 'P05412')"
"('P63098', 'P41594')"
"('P02461', 'P23229')"
"('Q99759', 'Q02809')"
"('P16220', 'Q92831')"
"('Q9HCK8', 'Q9Y333')"
"('Q13573', 'Q92905')"
"('406980', 'P54253')"
"('Q16695', 'P08729')"
"('P78334', 'Q9NQX3')"
"('P80162', 'P32302')"
"('P23528', 'Q15642')"
"('P05067', 'Q14790')"
"('Q13535', 'P33993')"
"('Q96EB6', 'Q04864')"
"('Q92786', 'P01579')"
"('Q9UNX3', 'P27635')"
"('Q7Z6B7', 'O00212')"
"('Q13561', 'Q14164')"
"('Q13535', 'Q9UKV3')"
"('Q8ND25', 'P49427')"
"('Q12860', 'Q04721')"
"('P49716', 'P26358')"
"('Q9H2G2', 'Q9NQC3')"
"('P18084', 'Q13797')"
"('P51116', 'Q06787')"
"('P17568', 'P03901')"
"('P36897', 'Q8TAX0')"
"('P05129', 'Q14145')"
"('P43487', 'Q14164')"
"('O00291', 'P56537')"
"('Q9HC24', 'Q9P0S3')"
"('P38398', 'Q92547')"
"('P31946', 'Q9NSK0')"
"('Q9Y272', 'Q9H4K1')"
"('Q13315', 'Q15554')"
"('Q9UKV3', 'P42330')"
"('Q68CZ2', 'P01857')"
"('O00141', 'P42345')"
"('Q9UKB1', 'P30291')"
"('O14576', 'Q96AH8')"
"('P55211', 'Q07817')"
"('P54253', 'P47813')"
"('P07910', 'Q05519')"
"('Q99459', 'O00471')"
"('Q16254', 'P14635')"
"('P32969', 'P62424')"
"('Q99836', 'P17066')"
"('Q15047', 'P51693')"
"('Q13077', 'Q8IUC6')"
"('P18031', 'P49841')"
"('Q16236', 'Q92793')"
"('P61247', 'Q13268')"
"('P20671', 'Q99880')"
"('B1A4H9', 'P26951')"
"('P05019', 'O00329')"
"('Q15910', 'Q13547')"
"('O43399', 'Q96J77')"
"('Q12873', 'Q5T3J3')"
"('P07359', 'P31946')"
"('Q00403', 'P10589')"
"('Q8IX12', 'Q15365')"
"('P32969', 'P62913')"
"('P28482', 'P05026')"
"('P05161', 'Q9UMW8')"
"('P49841', 'Q96G01')"
"('Q96RI0', 'P50148')"
"('Q00610', 'P25963')"
"('P01871', 'P11021')"
"('P10599', 'P16871')"
"('Q9Y2T4', 'Q8IY92')"
"('Q93077', 'P06899')"
"('Q9UMN6', 'P84022')"
"('Q8NCM8', 'P51149')"
"('Q5T3J3', 'O60925')"
"('O14770', 'P26367')"
"('Q96IF1', 'P10276')"
"('Q9Y4C2', 'Q9H0E2')"
"('Q9GZS3', 'O15514')"
"('Q9UKV0', 'P62258')"
"('P19447', 'P04637')"
"('P63261', 'P60981')"
"('P19438', 'Q9NY59')"
"('O95295', 'Q9UL45')"
"('P46940', 'Q9Y572')"
"('P16333', 'Q14315')"
"('P14780', 'P19875')"
"('O75486', 'O75478')"
"('Q06587', 'P35226')"
"('P62979', 'P15374')"
"('P83916', 'P09936')"
"('O75971', 'Q13287')"
"('Q05516', 'P10276')"
"('P63104', 'O43524')"
"('Q14344', 'Q92888')"
"('P29966', 'O00141')"
"('P37231', 'Q5QJE6')"
"('P01106', 'Q8IWX5')"
"('P0CG47', 'Q15653')"
"('P07951', 'P19429')"
"('Q14197', 'P23368')"
"('P29371', 'P50148')"
"('P10599', 'Q96BK5')"
"('O14818', 'P01106')"
"('P01344', 'Q9UNN5')"
"('P42858', 'P04637')"
"('Q8WVM8', 'Q9P2Y5')"
"('Q92831', 'Q09472')"
"('O75400', 'Q9UMX0')"
"('P51685', 'P04899')"
"('Q9UKM9', 'O00329')"
"('P62280', 'Q9NY93')"
"('P15311', 'P60709')"
"('P32121', 'Q8NGL7')"
"('Q16512', 'P08670')"
"('P48736', 'Q14289')"
"('P06454', 'P06493')"
"('O00401', 'O15144')"
"('P17252', 'Q96BA8')"
"('O75365', 'O43242')"
"('Q00610', 'Q9H0R8')"
"('Q16548', 'P25942')"
"('Q7L3T8', 'Q14197')"
"('P78545', 'Q9NSB4')"
"('Q969S8', 'O60814')"
"('P56856', 'P56746')"
"('P50453', 'O75400')"
"('Q86VP6', 'Q13620')"
"('406991', 'Q96BR1')"
"('O75582', 'P04150')"
"('P04198', 'Q8N726')"
"('O14640', 'Q86T65')"
"('P03372', 'Q92993')"
"('P40337', 'Q9H0U4')"
"('P48058', 'O15399')"
"('Q16186', 'P63261')"
"('Q96JH7', 'P52735')"
"('O14561', 'O95298')"
"('P59768', 'Q01668')"
"('Q5TBA9', 'P61981')"
"('Q14686', 'Q96S59')"
"('Q13683', 'P56945')"
"('Q13501', 'P28482')"
"('Q96B97', 'P19438')"
"('Q92922', 'P04637')"
"('Q15388', 'Q96C03')"
"('P50151', 'P53779')"
"('P47897', 'P04183')"
"('Q9NSA1', 'P16234')"
"('P61254', 'P62750')"
"('P10914', 'P41217')"
"('Q9Y399', 'Q14197')"
"('Q5VTD9', 'Q86UL3')"
"('O95988', 'O14787')"
"('P48745', 'P01308')"
"('P46108', 'Q9UN73')"
"('Q92956', 'P31689')"
"('P10276', 'P14859')"
"('Q8N668', 'Q86VX2')"
"('P21453', 'P08908')"
"('O95256', 'P19838')"
"('Q07960', 'P08134')"
"('P14735', 'Q9BYX4')"
"('P62993', 'P62249')"
"('P06241', 'Q9ULD4')"
"('O75326', 'P06241')"
"('Q9BQE3', 'Q92974')"
"('Q08881', 'Q8IZP0')"
"('Q6EEV6', 'A6NKT7')"
"('Q9Y4K3', 'P61026')"
"('P62906', 'Q99558')"
"('O14775', 'P62873')"
"('P62244', 'P62269')"
"('Q96BY6', 'Q07890')"
"('A8MT69', 'Q9BXW9')"
"('Q5VVX9', 'O94972')"
"('P11021', 'Q13131')"
"('P18146', 'P55197')"
"('P16144', 'P54253')"
"('P06899', 'Q71UI9')"
"('O94776', 'Q16576')"
"('Q9P0T4', 'Q9BRK4')"
"('Q07812', 'Q16548')"
"('Q01094', 'Q99741')"
"('Q58F21', 'P52735')"
"('O75582', 'Q02930')"
"('Q2M3G0', 'P28065')"
"('P62316', 'O00459')"
"('P62333', 'P25788')"
"('Q13625', 'Q9BYC9')"
"('O14936', 'Q12929')"
"('P56945', 'P07948')"
"('Q9Y2D1', 'Q96RU7')"
"('P32927', 'P29597')"
"('P42858', 'O00291')"
"('P04150', 'P47712')"
"('Q8IY92', 'Q09019')"
"('O75439', 'Q16595')"
"('O43157', 'Q9NWH9')"
"('P20701', 'O00214')"
"('P04406', 'Q99879')"
"('O15553', 'P25963')"
"('Q96B02', 'O94874')"
"('Q14164', 'O14879')"
"('O76021', 'P62633')"
"('P05388', 'Q9Y6K9')"
"('P18146', 'P13807')"
"('P35606', 'P43360')"
"('Q96L34', 'Q8ND90')"
"('Q8N0Y3', 'P38405')"
"('Q9NQT4', 'Q01780')"
"('Q14197', 'O00411')"
"('Q16659', 'P00915')"
"('O43837', 'Q99700')"
"('O00233', 'P35998')"
"('O75822', 'Q14164')"
"('O75044', 'P15153')"
"('Q5VZM2', 'P42345')"
"('P12814', 'P68032')"
"('P01133', 'P04626')"
"('O95785', 'Q13573')"
"('Q15022', 'P49716')"
"('Q8IWX8', 'Q8TAD8')"
"('Q9UQC2', 'O75791')"
"('P56945', 'Q9Y6K9')"
"('P07437', 'Q00005')"
"('Q8N726', 'Q01094')"
"('P12956', 'Q71F23')"
"('Q9UHD8', 'Q99459')"
"('Q9Y3L3', 'P12931')"
"('Q15653', 'O15446')"
"('P18206', 'Q9Y224')"
"('Q96PV7', 'P45983')"
"('Q96ED9', 'O95990')"
"('Q05195', 'P0CG47')"
"('P62081', 'P08708')"
"('P62979', 'Q14596')"
"('P0C0S8', 'P06899')"
"('Q92831', 'P35680')"
"('Q9NYJ8', 'O15111')"
"('Q8WYK2', 'P17535')"
"('Q8NEG0', 'P61019')"
"('Q9UMX0', 'O95967')"
"('P33778', 'Q93077')"
"('Q96T60', 'Q9Y4W2')"
"('Q14683', 'P31943')"
"('P62760', 'Q5VTD9')"
"('Q5VWQ8', 'Q9Y2Q3')"
"('P49368', 'O15264')"
"('P15880', 'P62273')"
"('O15379', 'P50402')"
"('P02768', 'P01034')"
"('P02549', 'P48023')"
"('Q8WXK3', 'Q9NWT6')"
"('P23458', 'Q06187')"
"('P04406', 'O94811')"
"('P13674', 'P01106')"
"('P78362', 'P26368')"
"('P08047', 'Q09472')"
"('P17931', 'P01009')"
"('P62993', 'Q9UHB6')"
"('P0CG48', 'P46736')"
"('P18084', 'P17301')"
"('P50876', 'Q15819')"
"('O75030', 'P56645')"
"('Q16619', 'P15260')"
"('P09455', 'Q96ST3')"
"('P50151', 'Q8TCU6')"
"('P01588', 'P23458')"
"('Q9BZL4', 'Q01449')"
"('Q9Y375', 'Q9H1R3')"
"('P62701', 'P62269')"
"('Q14524', 'P02768')"
"('Q9NZH6', 'Q13478')"
"('P31947', 'Q9Y4K3')"
"('P05771', 'Q96BA8')"
"('Q05513', 'Q9Y624')"
"('O00422', 'Q9UMX1')"
"('Q13901', 'Q99598')"
"('P62241', 'Q99558')"
"('O75962', 'O15111')"
"('Q9NSE2', 'P14784')"
"('P32239', 'P62993')"
"('Q8NET5', 'P43405')"
"('P30281', 'Q9Y3I1')"
"('P53041', 'Q99683')"
"('Q13554', 'Q9NZT1')"
"('P27348', 'Q8IUF1')"
"('P53420', 'Q9UKX5')"
"('Q92878', 'O60934')"
"('P24928', 'Q15560')"
"('P61978', 'O75937')"
"('Q86YW9', 'Q9NPJ6')"
"('Q9BRT6', 'Q9NX58')"
"('Q5T3J3', 'Q9NZL4')"
"('O60551', 'P09525')"
"('P13569', 'Q9UL46')"
"('Q15078', 'P19174')"
"('Q9Y6M4', 'P10070')"
"('O96008', 'Q9P0U1')"
"('P46781', 'Q9UL18')"
"('P01571', 'Q08334')"
"('Q9Y3U8', 'P39023')"
"('Q14118', 'P27986')"
"('Q15714', 'Q8IXL6')"
"('P31947', 'Q96IF1')"
"('Q92905', 'Q15843')"
"('P47929', 'Q5MNZ9')"
"('P15509', 'P52333')"
"('Q99750', 'O60269')"
"('P63000', 'P19878')"
"('Q99558', 'Q02878')"
"('P18887', 'P38398')"
"('P01106', 'O94864')"
"('Q6P1M3', 'Q9NPB6')"
"('O14544', 'Q9UHF4')"
"('Q8TAD8', 'Q15287')"
"('P04908', 'Q9UKV0')"
"('P12814', 'P26006')"
"('O15145', 'Q9BY76')"
"('Q9NYY1', 'Q99062')"
"('Q96DU9', 'Q9UFF9')"
"('P62837', 'Q9NZQ3')"
"('Q9Y4K3', 'O43169')"
"('P19013', 'Q8IY92')"
"('Q02878', 'P61353')"
"('Q86UR1', 'P63104')"
"('Q92997', 'P42338')"
"('P47928', 'P62993')"
"('P38398', 'Q9BXW9')"
"('Q04206', 'P25963')"
"('O00255', 'Q15797')"
"('P99999', 'P01241')"
"('Q9UPX8', 'Q86YM7')"
"('Q9UKX5', 'O75369')"
"('Q13546', 'P63000')"
"('Q8IWW6', 'P61587')"
"('Q9UIA9', 'Q15714')"
"('Q92934', 'Q96HR8')"
"('Q9HBG4', 'Q15185')"
"('Q9GZR7', 'Q14181')"
"('Q71UI9', 'Q93079')"
"('P31151', 'Q9P286')"
"('P55072', 'Q92597')"
"('O75438', 'Q86Y39')"
"('Q06455', 'P15923')"
"('Q13315', 'Q6ZNG1')"
"('P42766', 'Q96BK5')"
"('Q16663', 'P05412')"
"('Q96AH8', 'Q6PEY2')"
"('P11171', 'P63167')"
"('Q9NPB6', 'Q9H6T3')"
"('P01892', 'O43908')"
"('P05783', 'P19012')"
"('P48556', 'O75832')"
"('O95139', 'O75489')"
"('P13224', 'O00459')"
"('Q00005', 'Q9NTJ3')"
"('P20671', 'Q9UQL6')"
"('Q9BSM1', 'Q8NHM5')"
"('P62701', 'Q13233')"
"('O00459', 'Q06124')"
"('P62241', 'Q9H4L4')"
"('P53539', 'P84022')"
"('Q969S8', 'P62807')"
"('Q6WCQ1', 'P07900')"
"('P10415', 'Q9C000')"
"('Q6MZQ0', 'Q6R327')"
"('O15260', 'Q8IUQ4')"
"('Q13315', 'P17028')"
"('O14896', 'Q9H3D4')"
"('Q13042', 'P12757')"
"('O95167', 'Q9Y6M9')"
"('P63165', 'Q8NCR3')"
"('P81274', 'P04899')"
"('P21673', 'Q9P2H0')"
"('P05014', 'P16471')"
"('P01889', 'P18754')"
"('O94813', 'Q9Y6N7')"
"('O00329', 'Q08881')"
"('Q16637', 'Q96N67')"
