negatives
"('P05019', 'P22607')"
"('P62993', 'P41970')"
"('P41597', 'P04899')"
"('Q5VVX9', 'Q99942')"
"('P35555', 'P08670')"
"('Q6R327', 'P31947')"
"('P12931', 'P06241')"
"('P07355', 'P35232')"
"('Q14626', 'P18146')"
"('P05129', 'P09471')"
"('O15042', 'Q99459')"
"('P14784', 'P40763')"
"('P63165', 'O75030')"
"('P61978', 'Q15366')"
"('O60674', 'P67775')"
"('P51572', 'Q86XR7')"
"('P01106', 'Q9UHV9')"
"('P78396', 'P49411')"
"('Q9UKY1', 'O75874')"
"('Q16637', 'O60551')"
"('O00716', 'P30281')"
"('Q9BPX7', 'P54257')"
"('Q00005', 'P62979')"
"('Q00839', 'Q01130')"
"('P16104', 'P14618')"
"('P41182', 'Q96QZ0')"
"('P28749', 'P63167')"
"('Q9UKV8', 'P82251')"
"('Q6FHJ7', 'Q9ULW2')"
"('O00212', 'O75051')"
"('Q08050', 'P02686')"
"('P41240', 'P23467')"
"('P35680', 'Q4U2R8')"
"('P06756', 'Q9UKX5')"
"('P22694', 'P48051')"
"('Q01081', 'P07910')"
"('Q01196', 'P51451')"
"('P62244', 'P46782')"
"('P53708', 'Q9UKX5')"
"('Q6STE5', 'Q13315')"
"('Q09472', 'Q86X55')"
"('P62945', 'Q02878')"
"('Q9Y5R6', 'P18146')"
"('Q01081', 'Q8IX12')"
"('P04899', 'O60266')"
"('Q00610', 'P63010')"
"('Q14498', 'Q96GM8')"
"('Q13748', 'Q9BVA1')"
"('O43678', 'O43674')"
"('P21860', 'Q9ULJ1')"
"('Q53GL0', 'P25685')"
"('P20823', 'Q16270')"
"('P24821', 'P18827')"
"('Q15796', 'P12236')"
"('Q13751', 'Q14118')"
"('Q15572', 'P20226')"
"('Q8WW38', 'Q13363')"
"('O14640', 'Q01974')"
"('P54753', 'P55196')"
"('P55735', 'P78396')"
"('Q9Y2D5', 'P19174')"
"('Q9UBV4', 'Q9NPG1')"
"('Q14686', 'Q92731')"
"('P19525', 'Q00597')"
"('Q9NR97', 'P49716')"
"('P56182', 'Q53EL6')"
"('P20333', 'Q14257')"
"('P02452', 'O00339')"
"('P51668', 'P78317')"
"('P17612', 'Q13224')"
"('Q15750', 'Q15014')"
"('Q15019', 'Q16181')"
"('Q9H461', 'O75581')"
"('Q15287', 'P52756')"
"('Q96RT8', 'P23258')"
"('O15162', 'Q9BQ66')"
"('Q9NZ09', 'P0CG48')"
"('P23258', 'Q96JB5')"
"('O15111', 'Q86UT6')"
"('P15622', 'P41227')"
"('Q13422', 'Q99708')"
"('O43684', 'Q9UJX6')"
"('Q14192', 'P11831')"
"('P14324', 'P62070')"
"('P30519', 'O15226')"
"('Q01094', 'Q8NEM0')"
"('O60861', 'Q96F07')"
"('P63173', 'P62891')"
"('O15503', 'P04035')"
