negatives
"('Q96CV9', 'Q9H1Y0')"
"('P63208', 'Q9UKA1')"
"('Q13315', 'Q96MG8')"
"('Q9H1D9', 'P61218')"
"('P30153', 'P06702')"
"('O95167', 'P17568')"
"('P22612', 'Q9NQA5')"
"('P07900', 'Q92597')"
"('P30679', 'Q01970')"
"('P14136', 'Q9NR12')"
"('Q7L2H7', 'P60709')"
"('Q9NUQ9', 'Q16659')"
"('Q01094', 'P11362')"
"('P28161', 'P24941')"
"('P05129', 'Q9NQA5')"
"('P61981', 'Q9HCI7')"
"('Q15583', 'P56545')"
"('Q13554', 'Q8TEY5')"
"('P63261', 'Q99558')"
"('Q9Y6K9', 'Q9UHB6')"
"('P06401', 'P45983')"
"('O94856', 'P00519')"
"('P10809', 'Q9Y375')"
"('P49815', 'Q92574')"
"('P02511', 'P05813')"
"('P27707', 'Q8NBJ4')"
"('Q14457', 'Q92622')"
"('Q13490', 'Q13489')"
"('P23396', 'P25398')"
"('P04183', 'Q13432')"
"('P01106', 'Q8N2A8')"
"('Q9H2F5', 'O95619')"
"('Q9BTD8', 'P61978')"
"('Q9UBV8', 'P16104')"
"('Q14209', 'Q99741')"
"('P04637', 'P62979')"
"('O75023', 'P31995')"
"('Q9Y5Y5', 'P56589')"
"('P30050', 'P62910')"
"('Q13435', 'Q9UKV8')"
"('Q13185', 'P83916')"
"('64397', 'Q9H4A3')"
"('Q5VTD9', 'Q6NUQ1')"
"('Q9ULV5', 'Q8IZ13')"
"('Q96GG9', 'P23508')"
"('P47914', 'Q9C0C9')"
"('P06239', 'Q8IZP0')"
"('P51817', 'Q14524')"
"('O43561', 'P06239')"
"('P61247', 'P62701')"
"('Q8IZH2', 'Q9P0J0')"
"('P63104', 'P15924')"
"('Q13480', 'Q07021')"
"('Q12983', 'Q16548')"
"('Q12899', 'P62837')"
"('Q8TB45', 'Q9BVC4')"
"('Q9UBU8', 'Q9NXR8')"
"('Q9Y4K3', 'P47756')"
"('Q9H0H5', 'P00533')"
"('P16333', 'P29074')"
"('P14866', 'O43390')"
"('P06239', 'Q8IWV1')"
"('P01889', 'Q9H0U4')"
"('P55160', 'Q9NYB9')"
"('P20671', 'Q92769')"
"('P42261', 'Q12879')"
"('P02775', 'P51677')"
"('O75940', 'Q2NL82')"
"('O15287', 'P07992')"
"('Q13315', 'Q8TAD8')"
"('P53350', 'Q8NB46')"
"('Q14767', 'P55157')"
"('Q9UBV2', 'Q96CS3')"
"('P49747', 'P05556')"
"('P01889', 'O95834')"
"('O94985', 'P35555')"
"('P62910', 'Q9NY93')"
"('O95257', 'P14635')"
"('Q12923', 'P62993')"
"('Q6W2J9', 'P41182')"
"('O95257', 'O75821')"
"('Q9H3S7', 'P12931')"
"('P04275', 'P10144')"
"('Q86UL8', 'P45984')"
"('Q9NP77', 'O60216')"
"('Q04695', 'P08729')"
"('Q9UBQ5', 'Q13347')"
"('P12757', 'O43318')"
"('P51668', 'Q9BV68')"
"('P49815', 'Q13619')"
"('Q92793', 'Q14765')"
"('O95295', 'Q96R06')"
"('O95049', 'Q07157')"
"('P16144', 'P29353')"
"('P63104', 'P30305')"
"('Q12933', 'P17706')"
"('Q96AP7', 'P56880')"
"('O75486', 'Q9Y4A5')"
"('P27361', 'Q92731')"
"('Q7Z6B7', 'P15153')"
"('P78545', 'Q15008')"
"('P01589', 'P31785')"
"('Q9UL18', 'P50914')"
"('O75369', 'P19174')"
"('P29350', 'P09619')"
"('Q6STE5', 'O94805')"
"('P42858', 'Q99570')"
"('P61201', 'Q16531')"
"('Q99719', 'Q92599')"
"('P49746', 'P01137')"
"('Q15056', 'O60739')"
"('Q9H7D0', 'P48643')"
"('P52597', 'P51991')"
"('Q9Y6K9', 'O75688')"
"('P08572', 'P20073')"
"('P01876', 'O00141')"
"('Q9NRR4', '406955')"
"('P37108', 'P30480')"
"('P62249', 'P24941')"
"('Q12933', 'Q9NRR5')"
"('Q13573', 'Q15437')"
"('Q16778', 'Q9P0M6')"
"('Q9H0T7', 'Q96FZ7')"
"('P06899', 'P0C5Y9')"
"('P25398', 'Q99558')"
"('Q9UET6', 'P29401')"
"('P26441', 'Q01113')"
"('Q99684', 'Q2QGD7')"
"('P78318', 'P67775')"
"('Q9BQ66', 'Q9P2Z0')"
"('O60244', 'P49336')"
"('Q53EZ4', 'Q9H9H4')"
"('O43318', 'Q9UL54')"
"('O43918', 'P16333')"
"('Q9HBE4', 'Q14627')"
"('Q86X55', 'P17676')"
"('P48065', 'Q96RT1')"
"('Q9Y6Q9', 'P13631')"
"('P21580', 'Q9UHD2')"
"('Q5VYV7', 'P19013')"
"('P55854', 'P09874')"
"('Q8TD31', 'P05129')"
"('Q14562', 'Q8NAV1')"
"('P57678', 'Q15714')"
"('Q9NP79', 'P49841')"
"('Q9GZN1', 'O14593')"
"('P54252', 'P54727')"
"('P31947', 'Q8TF72')"
"('P16220', 'Q5FWF4')"
"('Q14318', 'Q5T4F4')"
"('P18146', 'P15408')"
"('Q99459', 'O75694')"
"('P0CG48', 'P06239')"
"('P20265', 'P23760')"
"('Q16236', 'P04156')"
"('Q15797', 'Q9Y466')"
"('P33076', 'P51532')"
"('P00519', 'Q9ULV8')"
"('Q92731', 'P0CG48')"
"('P51665', 'O00232')"
"('574455', 'P00749')"
"('P28070', 'P22392')"
