negatives
"('Q15027', 'P62993')"
"('P59991', 'Q96NS8')"
"('Q9P0L0', 'Q9UBU8')"
"('Q9UPQ9', 'Q9NWT6')"
"('Q99549', 'Q5VWN6')"
"('Q6NXT4', 'Q7Z5B4')"
"('P62081', 'P22090')"
"('O00472', 'Q9UHB7')"
"('P27694', 'P14678')"
"('Q8NAP3', 'Q9BZW7')"
"('Q9GZS1', 'P17480')"
"('Q9BS26', 'P25942')"
"('P54136', 'P04629')"
"('Q96HA8', 'Q9BYN7')"
"('Q14318', 'O00231')"
"('O14497', 'Q68CP9')"
"('Q13217', 'P58753')"
"('O43464', 'O60313')"
"('P26358', 'P49116')"
"('Q8N8D1', 'Q9BSM1')"
"('P17987', 'O43172')"
"('Q15554', 'P57772')"
"('P34897', 'Q9NX40')"
"('P60981', 'P06454')"
"('P61073', 'Q99623')"
"('P41252', 'O95816')"
"('Q96RS0', 'O14980')"
"('P52294', 'P51532')"
"('Q9NPF7', 'P17181')"
"('P52566', 'P12830')"
"('O00203', 'P46100')"
"('Q9UBU9', 'Q9NS86')"
"('Q00839', 'Q8IUF8')"
"('P13196', 'Q16740')"
"('O43852', 'P55327')"
"('Q92922', 'P49116')"
"('Q8TD19', 'Q8IWL3')"
"('P40429', 'P62851')"
"('P45880', 'P19320')"
"('Q8NDP4', 'P60370')"
"('Q13618', 'Q9Y5V3')"
"('Q8TBB1', 'Q9HC98')"
"('Q0VAQ4', 'Q9BVX2')"
"('P55795', 'Q05519')"
"('P25800', 'Q96D03')"
"('O43405', 'Q6AZY7')"
"('Q9BYX4', 'Q7Z434')"
"('Q8N5Q1', 'P60369')"
"('Q01860', 'Q7Z478')"
"('Q9UNH7', 'O95352')"
"('Q9NVX0', 'Q9H0Q3')"
"('Q9C0J9', 'Q16526')"
"('P36542', 'Q9NRD1')"
"('Q8NHQ8', 'P07948')"
"('Q9H2G2', 'P23760')"
"('Q6P597', 'O75150')"
"('Q86WK6', 'Q9NRD5')"
"('P17655', 'Q9H1Y0')"
"('O00592', 'Q9UKJ1')"
"('P17987', 'O14775')"
"('Q9Y4L1', 'P24941')"
"('O95817', 'Q9UJU6')"
"('P05015', 'Q6UXL0')"
"('P62256', 'Q8NA82')"
"('Q8TAD8', 'Q04206')"
"('Q9Y490', 'O60506')"
"('P55884', 'P19320')"
"('P00533', 'O60716')"
"('P29350', 'P06127')"
"('P35462', 'P63096')"
"('P31946', 'O43896')"
"('P06132', 'Q9NRG0')"
"('O95071', 'Q9HD23')"
"('Q8IXK0', 'Q96JM7')"
"('Q9NW64', 'Q9BWF3')"
"('Q13573', 'Q13547')"
"('Q9UBT2', 'P07237')"
"('Q6ZU15', 'Q15019')"
"('Q13077', 'Q96KM6')"
"('Q99615', 'P31327')"
"('O15318', 'Q7Z2T5')"
"('Q9UJA5', 'P61289')"
"('P62306', 'Q15910')"
"('P31946', 'P29074')"
"('Q13526', 'Q14653')"
"('P35520', 'P32929')"
"('Q9NR12', 'Q96QF0')"
"('Q5MNZ9', 'Q8NAA4')"
"('Q12834', 'Q9BS18')"
"('Q6P1J9', 'Q9GZS3')"
"('Q9NRM7', 'Q70IA8')"
"('P52435', 'P62875')"
"('Q15029', 'P25788')"
"('Q01105', 'Q9NSD9')"
"('Q969U6', 'P08238')"
"('Q13043', 'P16104')"
"('P46782', 'P03372')"
"('Q9Y6K9', 'Q15653')"
"('P05783', 'O95782')"
"('Q8N9I9', 'Q8NI38')"
"('P01023', 'P55040')"
"('Q93077', 'P62937')"
"('Q6PJ69', 'P42331')"
"('P46777', 'P63220')"
"('Q9UHY1', 'O60504')"
"('Q8IU81', 'Q6P1N9')"
"('Q8IY37', 'P05412')"
"('Q9H9D4', 'O14908')"
"('Q04864', 'P01375')"
"('Q8TC44', 'Q9C0F1')"
"('Q9P2M7', 'Q8N3V7')"
"('Q96FW1', 'O00238')"
"('P48681', 'Q15078')"
"('Q6UVK1', 'Q9C0E4')"
"('Q9NRH1', 'Q13617')"
"('O00571', 'Q9Y6K9')"
"('Q13562', 'P23771')"
"('Q14197', 'Q00325')"
"('P07996', 'Q15051')"
"('O15259', 'Q96MX6')"
"('Q9UKV8', 'Q9BQA1')"
"('P29590', 'Q02880')"
"('Q8N8Q3', 'Q13371')"
"('Q08174', 'Q9BQB6')"
"('P29083', 'Q96C00')"
"('O15027', 'Q9NRC8')"
"('Q8NCL9', 'Q9H0Q3')"
"('P00746', 'O75360')"
"('P05771', 'P15056')"
"('P39019', 'Q96E11')"
"('P05067', 'Q8NEG7')"
"('P02461', 'Q08345')"
"('Q9P2K1', 'Q9H6S0')"
"('Q9ULW0', 'O43255')"
"('Q96DV4', 'Q7Z2W9')"
"('Q86UE8', 'Q9Y294')"
"('Q9NTI2', 'Q96RL1')"
"('Q8IZI9', 'Q02556')"
"('P61289', 'O14818')"
"('Q9NVV9', 'Q14498')"
"('Q14203', 'P28072')"
"('P03915', 'O95169')"
"('Q14790', 'Q9HCY8')"
"('Q99614', 'O95292')"
"('P31948', 'P20042')"
"('Q96CW5', 'Q9Y279')"
"('P07550', 'Q13596')"
"('Q8WWY3', 'P55769')"
"('Q9H9S4', 'O00154')"
"('Q9UPN9', 'Q9NZ94')"
"('Q7L5N1', 'Q8TBC3')"
"('O75376', 'P48443')"
"('Q15796', 'Q9Y6N5')"
"('Q02156', 'Q16236')"
"('Q13153', 'Q14155')"
"('Q16643', 'Q01968')"
"('O75396', 'Q9BUN8')"
"('P68402', 'O94903')"
"('O43175', 'Q13286')"
"('O95486', 'Q01844')"
"('P33993', 'Q9NVP2')"
"('P21675', 'Q9HCE1')"
"('Q96RL1', 'Q06609')"
"('Q9UKM9', 'Q13148')"
"('Q15828', 'O75752')"
"('Q9BW91', 'P33316')"
"('Q96MY7', 'P0C7W6')"
"('Q8NEA9', 'Q9NWB1')"
"('Q93077', 'Q99877')"
"('Q03112', 'Q92878')"
"('P20809', 'Q6UXL0')"
