negatives
"('Q00839', 'Q9UNF1')"
"('Q8WX92', 'Q6P2E9')"
"('Q9Y4H2', 'Q8N122')"
"('P62081', 'Q14137')"
"('Q1KMD3', 'Q8NCN4')"
"('P49407', 'Q8N6U8')"
"('P61244', 'Q9GZV8')"
"('Q92558', 'Q12933')"
"('Q16644', 'P55854')"
"('Q92769', 'P01106')"
"('Q9UMX0', 'P49768')"
"('Q9Y2K2', 'Q9H6Z9')"
"('O75153', 'P18074')"
"('Q00535', 'P53999')"
"('Q9UN19', 'O94868')"
"('Q68G74', 'P57682')"
"('Q6EMK4', 'Q8IUC1')"
"('P11387', 'P49756')"
"('Q9UMX0', 'Q08722')"
"('Q99962', 'P01909')"
"('Q92887', 'O43678')"
"('O15539', 'P04899')"
"('P14550', 'Q9NYB0')"
"('P78334', 'P54257')"
"('Q8WUF8', 'Q2TAY7')"
"('P60866', 'P17987')"
"('Q08AM6', 'P56537')"
"('Q9Y6N1', 'Q8IWL3')"
"('O95741', 'Q9UM47')"
"('P50750', 'Q13451')"
"('Q9NPJ4', 'O00482')"
"('Q9UEY8', 'Q9BY41')"
"('P68431', 'P60866')"
"('Q13526', 'Q9UKD1')"
"('Q96CS3', 'Q13423')"
"('P41218', 'Q9NZM5')"
"('Q9NV70', 'Q9UPN3')"
"('Q9UPZ9', 'P06493')"
"('Q15554', 'Q01664')"
"('Q9NP97', 'Q9Y6G9')"
"('Q99835', 'P12931')"
"('P12882', 'P11171')"
"('O75530', 'Q99496')"
"('Q2TAL8', 'Q6AI39')"
"('Q9H0M0', 'Q01844')"
"('P00533', 'P31943')"
"('Q96QF0', 'Q5EBL8')"
"('Q15459', 'O94817')"
"('P05198', 'O60739')"
"('Q6NUS6', 'O00400')"
"('Q9UPT5', 'Q6P1J9')"
"('P01579', 'Q9UL17')"
"('P61981', 'P49815')"
"('Q92905', 'P35222')"
"('Q13526', 'Q9Y2W1')"
"('P04629', 'P02786')"
"('P62324', 'P12956')"
"('O75208', 'Q9BUV8')"
"('Q9GZT8', 'Q5TFE4')"
"('Q70EL1', 'P54259')"
"('P01106', 'Q14571')"
"('Q14684', 'O60494')"
"('Q53GS7', 'Q96EE3')"
"('P01911', 'Q8TCT1')"
"('Q02218', 'O43181')"
"('Q5JR59', 'Q9BQ89')"
"('Q9UKG1', 'Q8TD91')"
"('Q8N3C0', 'Q8IVT5')"
"('P67775', 'Q13136')"
"('P17844', 'P07477')"
"('P01023', 'Q14108')"
"('P12004', 'Q9HB96')"
"('O43189', 'Q9BPX1')"
"('Q9GZZ9', 'P13798')"
"('O15530', 'P12956')"
"('Q15717', 'Q16204')"
"('P29692', 'P54274')"
"('Q96N66', 'Q03431')"
"('P54257', 'Q8WVZ9')"
"('O76011', 'Q15040')"
"('P56524', 'A9UHW6')"
"('Q96Q27', 'P51668')"
"('P18074', 'Q6P1K8')"
"('Q01082', 'P04792')"
"('P26640', 'P11171')"
"('Q13263', 'Q86VP6')"
"('Q8N2Z9', 'O15287')"
"('Q8WVJ2', 'Q86SG6')"
"('Q9NP66', 'Q7Z4H7')"
"('P28072', 'Q9Y244')"
"('O00459', 'P04264')"
"('P60520', 'Q8TDI8')"
"('P02686', 'Q9GZU7')"
"('Q13547', 'P28702')"
"('Q01844', 'Q68CL5')"
"('P01106', 'Q15059')"
"('Q9Y3D3', 'Q00839')"
"('Q9HCE1', 'Q6P4A7')"
"('Q9NRD1', 'P23921')"
"('P51665', 'O60260')"
"('Q16643', 'O95989')"
"('Q9H7B2', 'O95478')"
"('A1E959', 'Q71SY5')"
"('P04637', 'Q9NVI7')"
"('Q9NSD9', 'P19320')"
"('P52429', 'Q9Y266')"
"('P43363', 'P48552')"
"('Q9BYV2', 'Q9BXJ5')"
"('Q96AE4', 'P07355')"
"('Q9Y328', 'P15374')"
"('Q96MY7', 'O75558')"
"('P46783', 'Q02878')"
"('Q8IWZ6', 'O76038')"
"('P62807', 'O95760')"
"('P56211', 'Q9Y6K9')"
"('Q9NPJ6', 'Q9UPS8')"
"('O00459', 'P60763')"
"('Q9HCK4', 'Q86U44')"
"('Q9BYV2', 'Q9HAF1')"
"('P22087', 'Q9Y520')"
"('Q9ULK4', 'Q92731')"
"('Q96T76', 'O75909')"
"('P15822', 'Q8TAX9')"
"('Q15904', 'P17252')"
"('Q8NHW5', 'P62280')"
"('Q99549', 'Q15424')"
"('Q8WWQ8', 'O75925')"
"('Q15303', 'P03372')"
"('Q8N2N9', 'Q8IZU0')"
"('Q86UP8', 'Q16543')"
"('Q8N6L0', 'Q7L4I2')"
"('P18848', 'Q8N1L9')"
"('O60281', 'P02768')"
"('Q92673', 'Q9NRD1')"
"('P27986', 'P08134')"
"('P24468', 'Q13547')"
"('P05067', 'Q9BRJ7')"
"('P32121', 'P42766')"
"('Q13190', 'P04637')"
"('P54098', 'Q5BKU9')"
"('Q9BZW7', 'Q8TES7')"
"('O43318', 'O95999')"
"('Q02978', 'Q9NRD1')"
"('Q9BYR3', 'Q5T7P3')"
"('Q8N5G2', 'Q9UGM1')"
"('Q96HC4', 'Q9Y297')"
"('Q96H20', 'O14929')"
"('P62913', 'P32969')"
"('P32121', 'Q8NG85')"
"('Q12967', 'Q15118')"
"('P68032', 'Q9UHB6')"
"('Q07666', 'Q9H4L7')"
"('Q9UHJ3', 'Q96JM7')"
"('P14373', 'Q9UHP6')"
"('O15344', 'P62942')"
"('Q08379', 'O00459')"
"('Q8NGH9', 'P62873')"
"('Q7Z3Y8', 'Q9Y228')"
"('P07550', 'Q15043')"
"('Q14191', 'P63279')"
"('Q08050', 'O95347')"
"('Q8NGT7', 'P38405')"
"('Q9NQ33', 'A5D8V6')"
"('P51668', 'Q9BZR9')"
"('Q00577', 'Q96HE9')"
"('Q9Y617', 'Q6YHU6')"
"('Q9NQ66', 'P16220')"
"('Q96D03', 'Q92917')"
"('P13929', 'P05067')"
"('Q9Y3A3', 'Q5VYK3')"
"('P60896', 'P61289')"
"('Q07912', 'Q9UM73')"
"('P28799', 'P40337')"
"('P07954', 'Q05682')"
"('P62829', 'P62241')"
"('Q9C009', 'Q15291')"
"('Q9Y4J8', 'Q5VTD9')"
"('Q9BSD7', 'Q8NEZ3')"
"('O43638', 'Q8TAE8')"
"('Q9NW61', 'Q8N4B1')"
"('Q8NI22', 'P49257')"
"('Q14978', 'Q9UBT6')"
"('Q9UL54', 'Q53G59')"
"('P78314', 'P06239')"
"('Q0D2H9', 'P38398')"
"('P67870', 'O60551')"
"('Q92905', 'O43684')"
"('Q05086', 'Q16186')"
"('P10415', 'Q9Y6K9')"
"('Q9Y283', 'Q9UPV0')"
"('Q9UHV7', 'O95402')"
"('Q96CS2', 'Q9Y6D9')"
"('Q12852', 'Q13387')"
"('Q8N4P2', 'A0AVF1')"
"('P06748', 'P41743')"
"('P61326', 'P68032')"
"('Q96S55', 'Q6IA86')"
"('P24941', 'P35637')"
"('Q86SE9', 'P68400')"
"('P36873', 'Q6ZSY5')"
"('Q9UER7', 'Q9UNE7')"
"('Q9H0A6', 'Q9NXK8')"
"('P10276', 'P61201')"
"('Q9H6R4', 'O75530')"
"('P51784', 'P35226')"
"('Q5TC82', 'Q15233')"
"('Q9UHD9', 'Q9UHB4')"
"('Q14019', 'Q9Y478')"
"('P05067', 'Q9NVR5')"
"('O75475', 'P30153')"
"('Q5JWF2', 'Q07021')"
"('P10809', 'Q96CW5')"
"('P29372', 'P20930')"
"('Q14919', 'P56545')"
"('Q9H2K0', 'P28482')"
"('P62837', 'P08708')"
"('Q13191', 'P07947')"
"('O75376', 'Q06455')"
"('P0C0S5', 'P07954')"
"('Q9HBZ2', 'P05067')"
"('P31939', 'P22102')"
"('Q9UKB1', 'P51398')"
"('P12830', 'Q9P273')"
"('Q9NVP4', 'Q5VTD9')"
"('Q9Y657', 'Q9Y5B9')"
"('P23511', 'Q92831')"
"('O00585', 'Q16270')"
"('O00308', 'Q71SY5')"
"('Q12888', 'Q9UJX6')"
"('Q9BQE3', 'P22681')"
"('P10114', 'P68104')"
"('O75594', 'P01563')"
"('Q92905', 'Q9UKB1')"
"('Q9UPM9', 'Q9Y283')"
"('P16671', 'P21926')"
"('Q13546', 'P51668')"
"('Q5XKE5', 'O00459')"
"('P42771', 'O15151')"
"('P19320', 'P05787')"
"('P62140', 'P06753')"
"('P40337', 'Q15286')"
"('P57740', 'Q6NUQ4')"
"('Q9UI12', 'Q16864')"
"('Q6PF18', 'Q8IVS8')"
"('Q02750', 'O75832')"
"('Q08722', 'Q15717')"
"('O14503', 'A1A580')"
"('P09884', 'P20248')"
"('P17980', 'Q96LY2')"
"('P55072', 'Q8TES7')"
"('Q6NXE6', 'O43592')"
"('Q6Q0C0', 'Q3SY56')"
"('P55268', 'P16144')"
"('Q9NVH6', 'Q16740')"
"('P63167', 'Q8NEP4')"
"('Q9BQA5', 'O14561')"
"('Q07021', 'O96008')"
"('Q9BV38', 'P06748')"
"('P49841', 'Q15154')"
"('P05067', 'Q96PB7')"
"('P62805', 'Q5QJE6')"
"('P49674', 'Q12789')"
"('P35900', 'O95678')"
"('Q99459', 'Q96T58')"
"('Q08050', 'P63279')"
"('Q5T3J3', 'Q9Y3A3')"
"('Q9UGY1', 'P11802')"
"('O75530', 'Q14151')"
"('P01574', 'P16234')"
"('Q6UY14', 'Q15560')"
"('P62424', 'P62701')"
"('Q13526', 'Q9UER7')"
"('Q0VGL1', 'P42345')"
"('P08238', 'Q9Y577')"
"('P52789', 'Q15717')"
"('O00170', 'Q14190')"
"('Q9Y2X3', 'P62081')"
"('O95503', 'Q8NDX5')"
"('Q8NFB2', 'P62166')"
"('Q99558', 'Q13895')"
"('Q9BWF3', 'P31943')"
"('Q9UHV2', 'Q9NRD5')"
"('Q9Y297', 'Q70EL1')"
"('Q86VP6', 'P19338')"
"('O43812', 'P67870')"
"('P52209', 'Q00796')"
"('Q92615', 'Q9Y3F4')"
"('P38484', 'P61513')"
"('O15031', 'Q9NZN5')"
"('Q66LE6', 'Q8TD55')"
"('P63279', 'P22314')"
"('P82932', 'O75360')"
"('Q9UNN5', 'Q9BYJ9')"
"('Q5VTD9', 'Q8N6Y0')"
"('Q01130', 'Q05519')"
"('P61221', 'Q96I24')"
"('P12931', 'Q13322')"
"('P62241', 'Q5SSJ5')"
"('Q8N6F1', 'A6NM45')"
"('O14980', 'Q86SX3')"
"('P63279', 'Q06413')"
"('P05386', 'Q53EL6')"
"('Q8NI22', 'Q15077')"
"('P33993', 'Q9NXC5')"
"('P35713', 'P18146')"
"('P04198', 'P61964')"
"('P25490', 'Q6PI98')"
"('Q9P287', 'P62829')"
"('Q9BYG3', 'Q9H814')"
"('Q99959', 'Q5JR59')"
"('Q5HYK3', 'P82673')"
"('Q9P2E9', 'O95182')"
"('Q15637', 'P52292')"
"('Q6PJT7', 'Q9NRC8')"
"('Q01167', 'Q7Z589')"
"('Q99627', 'Q15018')"
"('O75044', 'Q7L0Q8')"
"('Q9BV81', 'Q9NPA0')"
"('O60684', 'Q14974')"
"('P10809', 'P07237')"
"('Q92629', 'Q96LD1')"
"('P25098', 'Q8NH21')"
"('P26439', 'Q13285')"
"('Q16540', 'Q8N5N7')"
"('Q14653', 'Q14203')"
"('Q96QF0', 'Q9UQC2')"
"('Q9UHW5', 'O15514')"
"('P46013', 'P38398')"
"('Q9UHD2', 'P49368')"
"('Q99879', 'P0C5Y9')"
"('P49841', 'P13861')"
"('Q6P0Q8', 'Q8WZ42')"
"('Q16629', 'Q15428')"
"('Q13131', 'P14373')"
"('Q9HAV7', 'Q96NL6')"
"('Q8NEB9', 'Q9GZQ8')"
"('Q9H081', 'Q9BZD4')"
"('Q92930', 'P12830')"
"('O95678', 'Q17RB8')"
"('P62847', 'P11441')"
"('Q9NP77', 'P45983')"
"('Q15633', 'Q9BQ39')"
"('Q9Y618', 'Q96S59')"
"('Q9H9J2', 'Q13418')"
"('P49821', 'P16949')"
"('P98179', 'P13612')"
"('P57078', 'O14641')"
"('Q12933', 'O43508')"
"('Q9UHF1', 'Q9NR12')"
"('Q86XR8', 'Q9NVI7')"
"('Q9BU61', 'O00217')"
"('Q9GZN1', 'Q14CS0')"
"('Q8N4C6', 'O95714')"
"('O14908', 'P57678')"
"('Q09472', 'Q8IZL2')"
"('Q13111', 'Q71DI3')"
"('P00846', 'P03928')"
"('P47755', 'P06396')"
"('P62081', 'P13639')"
"('P54136', 'O00567')"
"('Q969P0', 'O43143')"
"('Q99575', 'P06748')"
"('Q5T700', 'A2RU14')"
"('Q13404', 'P49773')"
"('Q92538', 'P61006')"
"('P33993', 'Q9UHB6')"
"('Q9NUK0', 'Q9UBU9')"
"('P98172', 'P20036')"
"('P63173', 'P42677')"
"('Q8NI60', 'Q96HR9')"
"('Q9UJA3', 'Q9BTE3')"
"('Q6ZNH5', 'Q9UGI0')"
"('Q8N0X7', 'P0C7P0')"
"('P10415', 'O95817')"
"('P55318', 'Q92791')"
"('P21912', 'Q9P0U1')"
"('Q96L21', 'P32969')"
"('P16144', 'Q8NDV7')"
"('P05067', 'P11532')"
"('Q15796', 'P84996')"
"('Q8TES7', 'P36406')"
"('P49736', 'Q96E39')"
"('P11021', 'P0DMV8')"
"('P16220', 'Q14050')"
"('Q96RT1', 'O15439')"
"('Q05397', 'P98161')"
"('Q15648', 'Q9UGP5')"
"('O75147', 'Q15154')"
"('Q92731', 'Q86W42')"
"('P39748', 'P54274')"
"('Q9HCE1', 'Q8N3C0')"
"('Q96HC4', 'P38919')"
"('A0JLT2', 'P19388')"
"('Q9HC29', 'Q04724')"
"('P14324', 'O94979')"
"('Q9Y265', 'Q02413')"
"('O14558', 'Q9NPC6')"
"('Q8IY37', 'O43172')"
"('Q92993', 'P15336')"
"('Q8N201', 'Q75QN2')"
"('Q9UGI0', 'Q9C086')"
"('P13747', 'P54760')"
"('Q9Y230', 'Q09472')"
"('P35052', 'P60484')"
"('P78347', 'Q9Y4K3')"
"('Q9UKY7', 'O14974')"
"('Q15025', 'P51959')"
"('O43242', 'Q9HCE1')"
"('O75822', 'O60739')"
"('Q15008', 'O00233')"
"('P01562', 'P23458')"
"('Q2QGD7', 'Q9UBU9')"
"('Q7Z3K3', 'P0CG21')"
"('Q9P286', 'Q96BZ8')"
"('P16220', 'P55317')"
"('P61160', 'Q9P2N5')"
"('Q9BRK4', 'Q9BT92')"
"('Q07954', 'P29353')"
"('Q16795', 'P03891')"
"('Q9P0V3', 'Q5VSY0')"
"('Q6A162', 'Q2TBE0')"
"('Q13748', 'Q96AH8')"
"('O15514', 'Q9NX70')"
"('P53680', 'P62316')"
"('O75159', 'P26951')"
"('Q96CW1', 'Q6ZSR9')"
"('P16220', 'Q9NQR4')"
"('Q13435', 'P05412')"
"('Q9Y4Y9', 'Q14103')"
"('P27482', 'P50749')"
"('P58012', 'P63279')"
"('Q9ULK4', 'Q96QC0')"
"('Q03164', 'O15294')"
"('O95817', 'Q6ZVM7')"
"('Q9H7B2', 'P05412')"
"('Q9NUD5', 'Q02539')"
"('Q9UPQ9', 'Q13616')"
"('P60709', 'P56199')"
"('O94822', 'Q03518')"
"('Q9HBV2', 'Q9UQ16')"
"('P50613', 'P51948')"
"('P78386', 'Q15323')"
"('P50542', 'P06703')"
"('P25098', 'Q9Y6M4')"
"('O60341', 'Q99471')"
"('P62879', 'P38936')"
"('Q07283', 'Q9BUP0')"
"('Q9Y4L5', 'Q96LR5')"
"('Q9P209', 'P01871')"
"('P27348', 'Q92499')"
"('Q99497', 'O15297')"
"('Q8N8E2', 'Q86YN6')"
"('P52758', 'O15131')"
"('O75369', 'P04080')"
"('Q13480', 'P27986')"
"('Q15386', 'Q6RFH5')"
"('O75398', 'Q13526')"
"('P49840', 'Q96G01')"
"('Q68G74', 'O15353')"
"('Q9Y2Z0', 'Q14318')"
"('P56524', 'Q96JN0')"
"('P27708', 'P11498')"
"('Q96BY6', 'P62745')"
"('Q7L2H7', 'P08238')"
"('Q6V0I7', 'P26038')"
"('P06241', 'P52735')"
"('P54296', 'O75923')"
"('Q9H5V8', 'P06241')"
"('Q9BUF5', 'Q9Y617')"
"('P61960', 'Q04323')"
"('Q6NSJ5', 'O00214')"
"('Q13535', 'Q14008')"
"('P78417', 'P00338')"
"('Q96KN7', 'Q9HC52')"
"('Q13315', 'Q6NZY4')"
"('Q9Y6K9', 'P41134')"
"('P00533', 'P07741')"
"('P01106', 'P22314')"
"('Q9UJY5', 'Q92673')"
"('P54274', 'O95271')"
"('P13612', 'O76003')"
"('P43686', 'Q06323')"
"('Q5TC82', 'P46782')"
"('A8MVW5', 'O00459')"
"('O95801', 'O75436')"
"('Q9NQ29', 'Q9Y2W1')"
"('P63244', 'Q9UKT8')"
"('O60476', 'Q6AZY7')"
"('Q5T4F4', 'P05067')"
"('Q9UI30', 'O43143')"
"('Q13107', 'O43318')"
"('P62857', 'Q13616')"
"('Q92731', 'Q9UQ26')"
"('P04637', 'O60678')"
"('P55851', 'Q96DA0')"
"('Q01968', 'P07900')"
"('Q5T7N3', 'Q9NSC5')"
"('P22105', 'Q8N9N5')"
"('P53618', 'Q04726')"
"('P61586', 'P45983')"
"('Q9NYJ8', 'P06748')"
"('Q9BXB1', 'Q00325')"
"('Q13148', 'P30050')"
"('Q92785', 'P05412')"
"('Q8IUR0', 'P00533')"
"('Q9BQD3', 'Q8TAU3')"
"('P50402', 'Q8IY17')"
"('Q8IWI9', 'Q9C0B0')"
"('P18146', 'P49796')"
"('Q15648', 'Q15910')"
"('P62487', 'Q6P1J9')"
"('P26368', 'O14893')"
"('P62993', 'P29692')"
"('Q9ULV4', 'Q8TCJ2')"
"('P68371', 'Q86VP6')"
"('P11586', 'Q9NR31')"
"('Q9BY41', 'Q7Z7L9')"
"('P55072', 'Q14129')"
"('Q9BVL2', 'Q9BPU9')"
"('P24821', 'P56199')"
"('Q13573', 'Q99460')"
"('Q9BZE9', 'O75531')"
"('P63279', 'Q9UER7')"
"('Q03181', 'P28702')"
"('Q14192', 'P10275')"
"('Q14004', 'Q13509')"
"('P40855', 'Q8NHP6')"
"('Q93008', 'Q13233')"
"('P58557', 'Q9H3S3')"
"('P05067', 'P30050')"
"('P26196', 'Q8IX06')"
"('Q9NRG0', 'Q01831')"
"('Q9Y2B0', 'Q8IVT5')"
"('Q13547', 'P35251')"
"('Q96CP2', 'P17980')"
"('P20648', 'P05023')"
"('O60231', 'P58012')"
"('P30504', 'P43628')"
"('Q02543', 'Q9UQ80')"
"('P01236', 'P15260')"
"('Q01469', 'P18859')"
"('P04626', 'Q68CZ2')"
"('P49368', 'P11498')"
"('O95070', 'Q9H8W4')"
"('Q96JJ7', 'Q6NUS6')"
"('P50552', 'Q9UIG4')"
"('P10909', 'P49736')"
"('P51153', 'B7ZAP0')"
"('Q9H6U8', 'Q401N2')"
"('O14576', 'Q9H4B7')"
"('Q6Y7W6', 'Q96GD4')"
"('P56134', 'P09467')"
"('O43295', 'O43463')"
"('Q15717', 'P02751')"
"('P60568', 'P10912')"
"('Q0ZGT2', 'P62140')"
"('O75376', 'Q13573')"
"('Q15435', 'Q9UKP3')"
"('P53805', 'Q08209')"
"('Q13606', 'Q9P2W3')"
"('P00813', 'Q6IQ23')"
"('Q12791', 'P62736')"
"('Q9BXB1', 'P46940')"
"('Q9GZQ8', 'P60866')"
"('Q8WYK2', 'P29692')"
"('P55769', 'Q07020')"
"('Q12789', 'Q13573')"
"('P63162', 'P08579')"
"('Q86VP6', 'P49406')"
"('P35241', 'P05107')"
"('P05026', 'O75964')"
"('Q9P253', 'Q09472')"
"('P40337', 'O15523')"
"('P46060', 'Q9Y4K3')"
"('O95573', 'Q8NEZ3')"
"('Q9Y6X3', 'P57076')"
"('P09619', 'P25098')"
"('Q9NYL2', 'Q15717')"
"('Q13200', 'Q8WVY7')"
"('P11055', 'Q13616')"
"('P04920', 'Q9UBU9')"
"('P56537', 'O00148')"
"('Q13131', 'O00418')"
"('O60506', 'P46940')"
"('P46459', 'Q9H1B7')"
"('Q93009', 'Q9NRC8')"
"('O00299', 'P15336')"
"('P24385', 'Q9NQG5')"
"('Q9H4A9', 'P06756')"
"('Q9UKB1', 'Q8IYD8')"
"('Q9NY33', 'P54274')"
"('Q9UM73', 'Q8TD16')"
"('P30050', 'P68104')"
"('Q13635', 'Q9BZC7')"
"('P60520', 'O43143')"
"('Q07020', 'P01730')"
"('Q13535', 'Q9Y2K6')"
"('P29590', 'Q96AY2')"
"('Q93050', 'P18031')"
"('Q03154', 'P55735')"
"('Q96QE3', 'Q8TAF3')"
"('Q14978', 'O75436')"
"('P28070', 'P54368')"
"('P55327', 'O75431')"
"('P62714', 'Q99832')"
"('P05161', 'P00558')"
"('Q06187', 'P23396')"
"('Q5VUB5', 'Q9H6Z9')"
"('Q9UJX2', 'Q8NDT2')"
"('Q9Y385', 'P14373')"
"('P61313', 'P63244')"
"('P62993', 'Q9Y265')"
"('P62136', 'Q8N3V7')"
"('O75367', 'P62937')"
"('P18146', 'P84243')"
"('Q13421', 'Q9HC36')"
"('P47755', 'O15020')"
"('A8MQ03', 'P02008')"
"('P49842', 'Q07864')"
"('P48444', 'Q99459')"
"('Q5T7P8', 'Q9BQG1')"
"('Q13480', 'P29466')"
"('Q8NGA6', 'O60262')"
"('Q9H8S9', 'Q9UH03')"
"('P52758', 'O95182')"
"('Q9UPT9', 'Q12962')"
"('Q96PK6', 'Q5VWX1')"
"('Q8TCP9', 'Q14498')"
"('Q9Y5K5', 'P17706')"
"('O95169', 'Q9Y277')"
"('Q96AE4', 'P35270')"
"('P62820', 'Q969G6')"
"('Q9Y3L3', 'Q96MN2')"
"('P11487', 'Q07890')"
"('Q16623', 'Q13277')"
"('Q15633', 'Q14684')"
"('P32121', 'Q9Y5P8')"
"('Q3ZCQ8', 'Q99558')"
"('Q6NUS6', 'Q9Y4P3')"
"('P07437', 'Q9Y6N7')"
"('P29972', 'Q16348')"
"('Q9H2W6', 'Q96GC5')"
"('Q6XE24', 'P49406')"
"('Q96FW1', 'P18085')"
"('Q5VTH2', 'P61218')"
"('O14558', 'P09234')"
"('Q14677', 'Q05193')"
"('A0JLT2', 'Q9UJX4')"
"('O75494', 'O00422')"
"('P54132', 'Q9H334')"
"('Q16659', 'O75380')"
"('Q01638', 'Q13445')"
"('Q9BUT9', 'Q99549')"
"('P14373', 'Q96EV8')"
"('O94913', 'P35244')"
"('Q9Y6E7', 'Q92947')"
"('Q9Y3Q8', 'Q9UJX2')"
"('Q86XI2', 'P00533')"
"('P08908', 'P63218')"
"('O00244', 'P35670')"
"('Q86Z02', 'Q13643')"
"('Q8NA61', 'O95835')"
"('Q9Y4B6', 'Q9BY41')"
"('Q9HC77', 'Q8IZD4')"
"('Q13568', 'Q01151')"
"('Q9Y2X3', 'Q9BZE4')"
"('Q86WZ6', 'P49674')"
"('P49321', 'Q9BXK1')"
"('Q9ULW6', 'O60239')"
"('Q9NP97', 'O14576')"
"('Q7LGA3', 'Q7RTS9')"
"('O75360', 'A5D8V6')"
"('Q16772', 'P08263')"
"('Q13451', 'Q5W0B1')"
"('P00747', 'P04792')"
"('Q86VP6', 'Q15427')"
"('P25788', 'P25789')"
"('P48506', 'P18146')"
"('P32249', 'Q13144')"
"('P23258', 'Q9H5Q4')"
"('P49736', 'O75396')"
"('P50990', 'Q9Y6E0')"
"('P20340', 'Q15717')"
"('Q08211', 'P61353')"
"('P60673', 'P68032')"
"('P24588', 'P68431')"
"('P33993', 'P28749')"
"('P26373', 'P15923')"
"('Q14151', 'P35637')"
"('P01100', 'Q99959')"
"('Q9H8W4', 'Q8NDP4')"
"('Q9Y697', 'O14561')"
"('P49841', 'P15880')"
"('O95166', 'P62750')"
"('P19447', 'Q6ZYL4')"
"('P18031', 'P10599')"
"('Q9Y6N9', 'P22314')"
"('P23258', 'Q9GZM8')"
"('Q13950', 'Q8WUI4')"
"('Q16236', 'P78317')"
"('Q9H3D4', 'P25445')"
"('Q9UL19', 'P31431')"
"('Q99496', 'P56192')"
"('P36873', 'P06400')"
"('Q96P70', 'Q92973')"
"('Q96KG9', 'P30304')"
"('O43148', 'Q93034')"
"('Q15717', 'Q6AI39')"
"('O15350', 'Q12888')"
"('Q9H568', 'Q14134')"
"('Q96GT9', 'Q9NUX5')"
"('Q8TEH3', 'Q14680')"
"('Q15326', 'Q15750')"
"('Q96Q89', 'P31946')"
"('Q12789', 'P49674')"
"('P28562', 'P53778')"
"('Q3LXA3', 'Q04446')"
"('Q8NCN4', 'P17812')"
"('P52306', 'Q9Y343')"
"('O60506', 'Q9NR22')"
"('Q9Y4K3', 'Q93034')"
"('P26006', 'O75578')"
"('P60410', 'Q5T681')"
"('P01116', 'P0DP23')"
"('P57678', 'Q00653')"
"('Q9NP64', 'O43463')"
"('Q13618', 'Q00839')"
"('Q6PKG0', 'P60228')"
"('Q8WXA8', 'Q9Y2U8')"
"('Q9H3N1', 'Q86UK5')"
"('Q9BXY8', 'P59991')"
"('Q14151', 'O75376')"
"('P23508', 'Q9H3N1')"
"('Q99426', 'Q12965')"
"('P78347', 'Q99856')"
"('O95967', 'Q96E40')"
"('P05141', 'P31040')"
"('O75159', 'P14784')"
"('O75581', 'Q2MKA7')"
"('Q9Y385', 'O43164')"
"('Q8TD16', 'Q14204')"
"('Q01844', 'Q99676')"
"('Q13287', 'P40222')"
"('O15042', 'A0JLT2')"
"('Q99865', 'P38919')"
"('Q86X19', 'Q9Y3P4')"
"('Q969U6', 'Q13098')"
"('Q96JH7', 'Q8NHG7')"
"('O60861', 'O00401')"
"('P51617', 'O43318')"
"('O43638', 'Q8WXX5')"
"('Q8TDN6', 'P41218')"
"('O95229', 'Q9P217')"
"('Q16665', 'O94888')"
"('P78509', 'P98155')"
"('P31944', 'Q14790')"
"('P78527', 'P31749')"
"('P46527', 'Q8NHM5')"
"('P63241', 'Q8IU60')"
"('O75330', 'Q13007')"
"('Q15170', 'Q9UNN5')"
"('P49407', 'Q8NGR2')"
"('P08865', 'P03372')"
"('Q96SN8', 'Q8TEP8')"
"('Q9NRR5', 'Q9H6J7')"
"('Q08380', 'Q13233')"
"('P60866', 'P62857')"
"('P98175', 'O00159')"
"('Q9UJX5', 'Q9H6Y5')"
"('Q00610', 'P10242')"
"('Q9NXF1', 'O75147')"
"('Q96IZ0', 'P49589')"
"('P07900', 'Q96PN8')"
"('Q86UD0', 'A8MQ03')"
"('Q96R28', 'P62873')"
"('Q0VG06', 'O95721')"
"('Q8N573', 'O00159')"
"('Q8N684', 'Q8IVT5')"
"('Q567U6', 'Q9NNX1')"
"('P32121', 'Q8NGE9')"
"('P25098', 'Q8NGH3')"
"('Q14C86', 'O14965')"
"('O95297', 'Q6NXP6')"
"('A2RTX5', 'P14635')"
"('P49419', 'Q9BS26')"
"('Q7L273', 'Q08426')"
"('P61326', 'P55795')"
"('P27986', 'P14778')"
"('P22612', 'Q8NG84')"
"('Q08379', 'Q7Z2X4')"
"('Q13546', 'Q08830')"
"('Q13748', 'O43237')"
"('O15371', 'B5ME19')"
"('P30480', 'P62714')"
"('Q8IVP5', 'P60520')"
"('P62263', 'P62277')"
"('Q9Y277', 'Q96FW1')"
"('O75312', 'P61160')"
"('P58876', 'P60033')"
"('O00425', 'Q9H0R8')"
"('P63104', 'P51572')"
"('P32243', 'P30304')"
"('O76100', 'O60262')"
"('P04637', 'P01106')"
"('P17302', 'P46934')"
"('Q7KZN9', 'Q3ZCQ8')"
"('P61970', 'Q13625')"
"('Q9GZQ8', 'P20930')"
"('O43829', 'Q8N8B7')"
"('Q96GX1', 'Q15738')"
"('P61026', 'P23528')"
"('P18084', 'O76011')"
"('P08237', 'P17858')"
"('Q14749', 'Q6ZVK8')"
"('Q8WUA2', 'Q15700')"
"('O15033', 'O43464')"
"('Q8N684', 'Q01844')"
"('P52294', 'P12956')"
