negatives
"('Q9Y6J0', 'P62158')"
"('Q9UHB6', 'P63104')"
"('P00519', 'Q70E73')"
"('Q96BZ8', 'Q13118')"
"('P63010', 'Q9NZN4')"
"('Q96DB2', 'P23527')"
"('O95551', 'P63165')"
"('Q13573', 'Q9UJV9')"
"('O43741', 'Q9NP71')"
"('O15519', 'Q9UER7')"
"('Q99829', 'Q6W2J9')"
"('P33991', 'O43913')"
"('Q13424', 'P18084')"
"('P17252', 'Q9BX67')"
"('O14508', 'P31785')"
"('P35609', 'P56199')"
"('P62136', 'P30307')"
"('P19387', 'O00267')"
"('406948', 'P10415')"
"('P01236', 'P52333')"
"('P27361', 'Q9NYA1')"
"('Q12933', 'Q14164')"
"('Q5T3J3', 'Q03013')"
"('P05129', 'P56945')"
"('B1AK53', 'Q8NEV4')"
"('Q05516', 'Q99684')"
"('P98171', 'P62745')"
"('Q96BN2', 'O94864')"
"('P21802', 'O00459')"
"('Q8TB96', 'P30519')"
"('Q6R327', 'P61254')"
"('Q9H0R8', 'Q16445')"
"('Q96PX8', 'P31946')"
"('P08575', 'P04629')"
"('Q8N448', 'Q9NPD8')"
"('P62906', 'P26373')"
"('Q9GZK3', 'P38405')"
"('O75947', 'Q7L5D6')"
"('Q5VTD9', 'Q13077')"
"('P21917', 'P63211')"
"('Q8IXJ6', 'Q8N1N4')"
"('Q7L576', 'P06730')"
"('P50750', 'P10275')"
"('P36406', 'Q96LR5')"
"('O75554', 'Q8WXF1')"
"('Q15067', 'P22307')"
"('Q9BZI7', 'Q6DKK2')"
"('P35968', 'Q12913')"
"('P17947', 'P01282')"
"('Q9UBC5', 'Q9GZS1')"
"('P41227', 'Q16665')"
"('Q16548', 'Q14457')"
"('P25686', 'P0CG48')"
"('Q16629', 'Q13242')"
"('P06454', 'Q14974')"
"('Q9NZQ3', 'P62993')"
"('Q10586', 'Q15393')"
"('Q92597', 'P27824')"
"('P43360', 'P35606')"
"('P49888', 'Q5T3J3')"
"('P32745', 'O75970')"
"('P68400', 'P04637')"
"('P22612', 'P05026')"
"('P35222', 'Q15596')"
"('O43318', 'Q9Y230')"
"('Q9NZS9', 'P03372')"
"('Q01094', 'Q13315')"
"('Q92993', 'Q49AJ0')"
"('Q15291', 'Q14686')"
"('P51149', 'P01889')"
"('Q12929', 'O14645')"
"('P09619', 'P27449')"
"('Q15834', 'P49910')"
"('P26368', 'Q15365')"
"('O95229', 'O15182')"
"('P63165', 'Q9C0J8')"
"('Q16611', 'P99999')"
"('Q8IVF5', 'P50570')"
"('Q05639', 'Q16659')"
"('Q969Z4', 'P18146')"
"('O76024', 'Q99941')"
"('Q9BZK7', 'P12755')"
"('Q9H1Y0', 'Q9NT62')"
"('Q03519', 'O15533')"
"('O76054', 'Q07955')"
"('Q92769', 'P62805')"
"('Q9BQ39', 'Q96BK5')"
"('P10398', 'P58753')"
"('Q16659', 'Q5SXM2')"
"('Q9ULH1', 'O43586')"
"('O60674', 'P27986')"
"('Q13164', 'Q9H1R3')"
"('P08514', 'Q9HBI1')"
"('P17844', 'O43918')"
"('Q05655', 'Q13233')"
"('P00533', 'P16615')"
"('P05556', 'P05129')"
"('O00206', 'Q9NWF9')"
"('P54619', 'O75385')"
"('Q08881', 'P16885')"
"('P0C0S8', 'Q13547')"
"('Q9H9H4', 'Q99816')"
"('P49913', 'P08246')"
"('Q9HC24', 'Q9P035')"
"('P84098', 'P05386')"
"('Q9BRZ2', 'P62633')"
"('P23458', 'Q8NEB9')"
"('406903', 'O43474')"
"('Q9UHF0', 'Q99689')"
"('Q13247', 'Q14683')"
"('P43220', 'P49407')"
"('P43246', 'Q9Y6K9')"
"('Q16663', 'P49238')"
"('Q53HC0', 'P05060')"
"('P40337', 'P61106')"
"('P22694', 'Q06432')"
"('P06737', 'Q9Y572')"
"('P26641', 'P24534')"
"('P32298', 'P61073')"
"('Q8TDB6', 'O14933')"
"('Q15758', 'P02768')"
"('P62258', 'Q99836')"
"('Q9Y6C5', 'Q15465')"
"('O15355', 'P08621')"
"('406908', 'Q9BYH8')"
"('P46934', 'P10721')"
"('Q9H0F5', 'P51668')"
"('P16070', 'P18146')"
"('P37275', 'Q15796')"
"('Q14573', 'Q9NSC5')"
"('P02794', 'Q9H0E2')"
"('P25398', 'P39019')"
"('Q15750', 'Q9NZ63')"
"('P04183', 'P05060')"
"('O14544', 'Q99062')"
"('Q9NR61', 'Q99466')"
"('P13805', 'Q9Y2Y6')"
"('Q9H2X3', 'P13688')"
"('O43709', 'Q9Y478')"
"('Q04206', 'P21675')"
"('Q5VU43', 'Q9UKE5')"
"('Q8WZA9', 'P60520')"
"('Q15642', 'P48023')"
"('O43399', 'Q969L2')"
"('P12268', 'P30504')"
"('P11177', 'Q15714')"
"('Q5EG05', 'Q9Y2G2')"
"('P13569', 'P62491')"
"('Q9H1C0', 'P59768')"
"('O43379', 'Q9UKM9')"
"('P12757', 'O76094')"
"('P56747', 'Q8NI35')"
"('Q86Y01', 'Q5VVX9')"
"('Q8IZD9', 'Q07889')"
"('Q71DI3', 'Q99525')"
"('Q13042', 'O95997')"
"('O75508', 'P56747')"
"('Q8WV41', 'P42768')"
"('O00273', 'P61981')"
"('Q96NR8', 'P0CG48')"
"('P55060', 'Q9NRA8')"
"('P63279', 'P04150')"
"('Q9NP77', 'O60216')"
"('P01889', 'O15371')"
"('O60244', 'P55157')"
"('Q9Y478', 'P31153')"
"('O15155', 'O14653')"
"('P15813', 'P61769')"
"('Q9ULH1', 'P06241')"
"('A6NHL2', 'P51149')"
"('P32121', 'Q8NGI3')"
"('P19012', 'Q8TAB5')"
"('P42566', 'P49757')"
"('P10275', 'P20151')"
"('P55201', 'Q8WYH8')"
"('Q9Y478', 'Q16659')"
"('P07814', 'P26641')"
"('P04632', 'P16871')"
"('Q92917', 'Q9Y2I6')"
"('Q14197', 'P51398')"
"('P61247', 'P62280')"
"('Q9UGI8', 'P12814')"
"('P84022', '406956')"
"('Q02543', 'P62917')"
"('P42766', 'Q9NX58')"
"('Q9Y5V3', 'P42704')"
"('Q9NTJ3', 'Q00005')"
"('Q14204', 'Q99623')"
"('P62424', 'P46776')"
"('Q16594', 'Q86TJ2')"
"('Q13404', 'O95376')"
"('O95295', 'P55268')"
"('P62701', 'P23396')"
"('P10721', 'Q06187')"
"('407053', 'Q9HCU4')"
"('P78423', 'P32248')"
"('P26441', 'Q6UXL0')"
"('P00387', 'P99999')"
"('Q9UIF7', 'P27695')"
"('Q8N5C8', 'P49116')"
"('Q9Y5P4', 'Q96HA1')"
"('Q14643', 'P06241')"
"('Q9H788', 'P14317')"
"('P43405', 'O75015')"
"('Q00005', 'P07437')"
"('Q9P0W0', 'P40189')"
"('P25963', 'Q00653')"
"('Q9Y5B9', 'Q9BTM1')"
"('P01243', 'Q9NR30')"
"('P12319', 'P06241')"
"('Q9UPT6', 'Q16584')"
"('Q92633', 'Q9P2W3')"
"('Q9Y2Z9', 'P51690')"
"('O75586', 'Q9BWU1')"
"('P35225', 'Q99062')"
"('P26368', 'Q07666')"
"('Q9BW27', 'P52948')"
"('P55795', 'O60828')"
"('Q13315', 'Q9P2W1')"
"('Q01082', 'P68400')"
"('P08138', 'Q15147')"
"('P17706', 'P42226')"
"('P68032', 'Q969Q1')"
"('P09038', 'P35968')"
"('O43281', 'O60504')"
"('P00519', 'P04629')"
"('P62877', 'Q5XUX0')"
"('Q15653', 'Q96A65')"
"('Q13315', 'Q99683')"
"('P30050', 'P83916')"
"('Q92769', 'P10828')"
"('Q96JB5', 'O94874')"
"('O00483', 'P03901')"
"('Q15744', 'O75925')"
"('Q7Z3B3', 'Q99459')"
"('Q969R5', 'O75886')"
"('P25963', 'Q9UN86')"
"('Q16891', 'Q9BXP5')"
"('Q13315', 'P29692')"
"('P13232', 'P26992')"
"('Q13315', 'Q9ULD9')"
"('P31749', 'Q12778')"
"('O43809', 'Q9P2G9')"
"('P19388', 'Q9NWA0')"
"('Q06787', 'Q96S59')"
"('Q9ULL4', 'Q8TDG2')"
"('Q8IWL2', 'O00206')"
"('P53618', 'P11274')"
"('P01303', 'P30872')"
"('O43295', 'Q92730')"
"('P10145', 'P17676')"
"('Q92979', 'Q15843')"
"('Q6PD62', 'Q9UHC6')"
"('P26641', 'Q8TC92')"
"('Q13137', 'Q8IZC7')"
"('P56537', 'Q9NZI2')"
"('Q8WZ55', 'P36405')"
"('P04004', 'P18564')"
"('Q9HBW0', 'O14775')"
"('P32121', 'Q8NGL9')"
"('P00533', 'P46940')"
"('Q9Y4K3', 'P61604')"
"('P07910', 'Q07955')"
"('P63104', 'O75030')"
"('P62081', 'P62266')"
"('Q13315', 'Q9NUA8')"
"('P43034', 'Q9NRI5')"
"('Q9UL18', 'P42766')"
"('O95831', 'P20333')"
"('P63173', 'P62750')"
"('406967', 'P00374')"
"('Q16659', 'P14921')"
"('P11387', 'P12956')"
"('O43676', 'O14561')"
"('Q13232', 'P22392')"
"('P36578', 'P62917')"
"('O43143', 'Q13595')"
"('Q8NFH3', 'Q8TCT6')"
"('Q13884', 'Q9Y4J8')"
"('O14544', 'P08887')"
"('Q13555', 'O95622')"
"('Q92769', 'Q12873')"
"('P10721', 'Q99963')"
"('P04150', 'P40763')"
"('P02458', 'P53708')"
"('Q9NRQ2', 'Q9H553')"
"('Q07912', 'O43426')"
"('O15524', 'Q13651')"
"('P35544', 'P62241')"
"('P03897', 'P03923')"
"('Q13310', 'P63104')"
"('Q96QU8', 'P50552')"
"('Q8N163', 'P78396')"
"('P35225', 'P24394')"
"('O75438', 'O95182')"
"('Q16513', 'Q9H0R8')"
"('Q9NYY8', 'Q15714')"
"('P11362', 'O00459')"
"('P07814', 'Q00653')"
"('Q96EV8', 'Q9P2A4')"
"('Q9GZQ8', 'O94806')"
"('Q96EA4', 'Q13227')"
"('P38646', 'P21796')"
"('P35228', 'P05412')"
"('Q13043', 'P98177')"
"('P46736', 'P0C0S5')"
"('P30041', 'O15264')"
"('Q5VTD9', 'Q92769')"
"('P13645', 'Q00653')"
"('O43521', 'Q92843')"
"('P26368', 'O95400')"
"('Q9NQS1', 'Q9HCE7')"
"('Q9P0M9', 'P16220')"
"('P06753', 'Q14240')"
"('P56192', 'P23508')"
"('P23508', 'Q9UI30')"
"('P04637', 'P09874')"
"('P49450', 'P06748')"
"('P62256', 'Q8N5U6')"
"('O75365', 'Q15042')"
"('Q15369', 'Q92830')"
"('P08670', 'P55854')"
"('P46782', 'Q9UKV8')"
"('P20702', 'Q02447')"
"('Q7RTN6', 'Q9Y376')"
"('Q9UJX5', 'Q9NYG5')"
"('P48552', 'P10276')"
"('P12235', 'P45880')"
"('Q14657', 'P30480')"
"('Q9NRI5', 'Q99996')"
"('P54253', 'Q99684')"
"('P06241', 'Q07912')"
"('P27361', 'O75030')"
"('Q14289', 'Q7Z6J0')"
"('Q8WXE1', 'Q9Y6K9')"
"('O15239', 'P03915')"
"('P42771', 'Q00534')"
"('O60264', 'Q9NRG0')"
"('P58546', 'Q9Y4K3')"
"('O95433', 'Q9NPY3')"
"('Q07889', 'P62993')"
"('P62241', 'Q9H4L4')"
"('Q9H0E2', 'Q15011')"
"('O95295', 'Q96EV8')"
"('O43147', 'Q5T0N5')"
"('Q99759', 'P62979')"
"('Q16363', 'O75578')"
"('Q5M7Z0', 'Q5VVX9')"
"('O95503', 'P51784')"
"('P22607', 'P43235')"
"('P01567', 'P40189')"
"('O43915', 'P17948')"
"('Q96AP7', 'O95484')"
"('Q13418', 'Q9Y678')"
"('O14672', 'O00548')"
"('O15455', 'O43187')"
"('O14976', 'Q96CW1')"
"('O00574', 'P52333')"
"('Q9NPF4', 'P29353')"
"('P24941', 'Q9NYG5')"
"('Q9Y3U8', 'P47914')"
"('Q12906', 'O15264')"
"('Q5VTD9', 'Q15654')"
"('Q9Y3C5', 'Q9NRR5')"
"('Q8NHQ8', 'Q96NE9')"
"('P62328', 'Q04724')"
"('Q14197', 'Q04837')"
"('P55273', 'P11802')"
"('P15529', 'P01024')"
"('Q16659', 'Q8NCW5')"
"('Q12906', 'P33992')"
"('P49841', 'Q9H7B2')"
"('P56278', 'Q9Y243')"
"('P12429', 'Q13432')"
"('O60641', 'P20823')"
"('Q29RF7', 'O75365')"
"('Q96G01', 'O43747')"
"('P54259', 'Q00978')"
"('Q13573', 'Q9Y678')"
"('P01106', 'O43819')"
"('Q92793', 'Q14186')"
"('P78509', 'Q13797')"
"('Q13761', 'Q04724')"
"('P0CG48', 'P67809')"
"('P50570', 'P32927')"
"('Q6P2C8', 'P19793')"
"('P05386', 'P46777')"
"('P30046', 'Q14164')"
"('P28472', 'P60520')"
"('P05113', 'Q9HC73')"
"('Q02535', 'P19419')"
"('P01589', 'Q13424')"
"('O75815', 'P62750')"
"('Q9P2Y5', 'Q8WUH2')"
"('Q13151', 'Q8IWZ8')"
"('Q13425', 'P46939')"
"('P11802', 'P14618')"
"('P62195', 'P35998')"
"('B1A4H9', 'Q9UHF4')"
"('P15927', 'P54132')"
"('Q9Y3A3', 'Q15047')"
"('P28482', 'P04406')"
"('Q13315', 'P42696')"
"('P19174', 'Q07666')"
"('Q7Z434', 'O15111')"
"('P23508', 'P52701')"
"('P08069', 'P27361')"
"('O00483', 'Q9UKV8')"
"('Q9UHD2', 'Q9H6S1')"
"('Q9HCU4', 'P12931')"
"('P42858', 'O75446')"
"('P62910', 'P46778')"
"('Q13352', 'Q96P50')"
"('P18433', 'P06241')"
"('P54259', 'Q99973')"
"('Q14678', 'P35222')"
"('P60568', 'Q04864')"
"('P30307', 'P63104')"
"('P38484', 'P52333')"
"('P52797', 'P07333')"
"('Q9UPV9', 'Q8IXI2')"
"('P01236', 'Q8N6P7')"
"('P02462', 'P16070')"
"('Q9NRJ3', 'P25025')"
"('Q13501', 'P41743')"
"('P14859', 'P08047')"
"('Q96L21', 'Q99558')"
"('Q8IZW8', 'P31947')"
"('P23193', 'Q8WVC0')"
"('P62993', 'Q04837')"
"('Q6P1R3', 'Q9NRL3')"
"('P19793', 'Q15596')"
"('Q9H1D9', 'Q9NW08')"
"('P47914', 'O60739')"
"('O00213', 'P00533')"
"('Q15777', 'P10589')"
"('Q9UKV8', 'Q96P70')"
"('P06850', 'P34998')"
"('Q96NZ8', 'P12645')"
"('P01225', 'Q13639')"
"('P30480', 'O95757')"
"('Q99873', 'P49959')"
"('P61978', 'P35637')"
"('P51587', 'Q14565')"
"('Q05397', 'O15264')"
"('Q16254', 'P78527')"
"('O14920', 'Q02790')"
"('P62993', 'Q9UQ07')"
"('Q9H1Y0', 'P11362')"
"('Q9NUG6', 'Q99759')"
"('Q12933', 'Q9Y4K4')"
"('P11021', 'Q9Y6X8')"
"('Q14254', 'O75955')"
"('Q6VEQ5', 'O00161')"
"('Q9GZQ8', 'P78559')"
"('P61077', 'Q6UWE0')"
"('Q9NRI5', 'P23258')"
"('Q53G59', 'Q13618')"
"('Q9Y376', 'P54619')"
"('Q8N7W2', 'Q9GZT8')"
"('Q8IWX8', 'Q70Z53')"
"('O14933', 'P00338')"
"('Q16539', 'Q14790')"
"('P09661', 'O14717')"
"('O95402', 'P30876')"
"('P46087', 'Q13233')"
"('P08571', 'Q15750')"
"('Q13137', 'Q15906')"
"('Q5RKV6', 'Q9NQT5')"
"('Q13573', 'P51991')"
"('P78396', 'P24941')"
"('P32121', 'Q8NH05')"
"('P34896', 'P11309')"
"('P01100', 'P32519')"
"('Q9BY84', 'Q16539')"
"('P38935', 'O95777')"
"('P61353', 'P62913')"
"('Q9BZL1', 'Q9HAZ1')"
"('Q13363', 'P56545')"
"('P08637', 'Q8N149')"
"('Q99459', 'O75533')"
"('Q15648', 'P22736')"
"('O75367', 'O15379')"
"('P33176', 'Q9BQS8')"
"('P42858', 'O60828')"
"('P01236', 'Q01344')"
"('Q13748', 'Q15628')"
"('O00273', 'Q9HC24')"
"('Q13557', 'Q02641')"
"('P14373', 'Q9Y385')"
"('Q9NQ66', 'Q05655')"
"('P00403', 'P22681')"
"('Q9BY43', 'Q70EL1')"
"('P01116', 'P27361')"
"('Q9H8S9', 'Q9BQD3')"
"('Q92769', 'Q9UBB5')"
"('Q9NRR5', 'O95967')"
"('Q9P2R6', 'Q5JSZ5')"
"('O60477', 'Q14164')"
"('Q96PN8', 'Q13485')"
"('O15379', 'P10145')"
"('Q99576', 'Q15648')"
"('P42224', 'P63244')"
"('Q969V5', 'Q92624')"
"('P26599', 'P13569')"
"('Q06413', 'Q13469')"
"('Q9NZ42', 'Q92542')"
"('P51817', 'Q09472')"
"('P42224', 'P43405')"
"('Q9UJ70', 'Q7Z699')"
"('Q9Y580', 'Q99459')"
"('P35354', 'Q99460')"
"('P08238', 'Q9UL18')"
"('Q15831', 'Q9UGI9')"
"('P19105', 'P19438')"
"('P01106', 'Q9NRZ9')"
"('P56704', 'O94907')"
"('P30154', 'Q00005')"
"('Q9NX58', 'P46783')"
"('Q96S59', 'Q15287')"
"('Q13489', 'Q16695')"
"('P27361', 'P51812')"
"('P05060', 'O15527')"
"('P04637', 'Q8IW41')"
"('P05112', 'P31785')"
"('Q9UGJ1', 'Q71U36')"
"('P43403', 'Q9BXL7')"
"('Q9Y371', 'Q13191')"
"('Q92882', 'Q16637')"
"('P03915', 'P51970')"
"('Q13158', 'Q15628')"
"('P26441', 'P10912')"
"('Q92870', 'P00533')"
"('P30480', 'Q16740')"
"('P31939', 'P09012')"
"('Q8N5Y2', 'P16220')"
"('O95013', 'P38405')"
"('P10275', 'Q05086')"
"('P47914', 'Q92901')"
"('P15498', 'P78314')"
"('P68363', 'Q13885')"
"('P27361', 'P98177')"
"('P35916', 'P62993')"
"('O43586', 'P61513')"
"('P38398', 'P62136')"
"('P27635', 'P61927')"
"('Q9Y6K9', 'O14920')"
"('P43405', 'Q14247')"
"('Q15714', 'Q14194')"
"('O96019', 'Q12824')"
"('406911', 'P04637')"
"('P52292', 'P10914')"
"('P20827', 'P10721')"
"('P35225', 'P40189')"
"('P19876', 'P51681')"
"('Q13418', 'P84090')"
"('Q9BQ66', 'Q16526')"
"('O75365', 'Q9HAV4')"
"('P32121', 'Q8NHB7')"
"('Q9Y4K3', 'Q13107')"
"('P58876', 'O75367')"
"('P07910', 'Q05519')"
"('Q66K89', 'P35680')"
"('Q9Y4Y9', 'P62312')"
"('P62979', 'P62280')"
"('P40763', 'P42345')"
"('Q15149', 'Q07889')"
"('P01871', 'P20273')"
"('P24534', 'P29692')"
"('Q9UQM7', 'P54289')"
"('P05186', 'Q12933')"
"('Q13547', 'Q92466')"
"('P13611', 'P23142')"
"('Q92629', 'Q13326')"
"('P17612', 'Q92934')"
"('Q9NSC5', 'Q86XI6')"
"('A8K6C2', 'P15260')"
"('P35626', 'P30954')"
"('O60383', 'Q9UN74')"
"('406987', 'P98172')"
"('Q05516', 'P40424')"
"('P62891', 'P62424')"
"('O15379', 'P48552')"
"('P00403', 'Q9Y4K3')"
"('P62258', 'Q01814')"
"('Q15834', 'O60568')"
"('P48039', 'P61026')"
"('Q9Y6B2', 'P06400')"
"('P84022', 'Q9NQB0')"
"('Q8N1I0', 'P60953')"
"('Q8N720', 'O94972')"
"('O00459', 'P48736')"
"('Q96KQ7', 'Q9UBC3')"
"('Q99700', 'P54253')"
"('P23508', 'Q13347')"
"('Q13573', 'O15160')"
"('P62993', 'O15524')"
"('Q9Y2A7', 'O60861')"
"('P20718', 'P55957')"
"('Q9NRG4', 'Q99996')"
"('Q99704', 'P19174')"
"('Q13233', 'P46087')"
"('P05412', 'P18146')"
"('P05000', 'P32927')"
"('Q14240', 'Q9Y262')"
"('Q16629', 'Q9BUJ2')"
"('P24941', 'P30260')"
"('Q9HAU4', 'P98153')"
"('P28482', 'O75030')"
"('Q9H0D6', 'P61978')"
"('Q9BVI4', 'Q7Z6G3')"
"('Q12933', 'Q9UKB1')"
"('P67870', 'Q02575')"
"('P33778', 'Q96KK5')"
"('O75822', 'Q8NBJ4')"
"('Q01081', 'O43172')"
"('Q13315', 'P54132')"
"('P47813', 'P54253')"
"('Q08117', 'Q16539')"
"('P27448', 'Q8WXK3')"
"('Q13315', 'Q86YQ8')"
"('Q9NQ66', 'Q01082')"
"('Q14164', 'P07954')"
"('Q9UHH9', 'P07900')"
"('P14618', 'P38936')"
"('P98164', 'P02649')"
"('P06241', 'P43699')"
"('Q9NSC5', 'Q9UPX8')"
"('Q9HC36', 'P36639')"
"('Q9UQL6', 'O60814')"
"('Q15714', 'Q9NRP0')"
"('Q7Z4H7', 'O94927')"
"('P46379', 'Q00536')"
"('P25490', 'P0C1Z6')"
"('P35637', 'P17947')"
"('P56199', 'Q07890')"
"('P08651', 'P14672')"
"('Q9UGI8', 'Q9Y615')"
"('O60925', 'P60709')"
"('Q04637', 'Q8NFH3')"
"('Q99459', 'P08237')"
"('Q13232', 'O43765')"
"('P14923', 'Q9HCS4')"
"('O60885', 'Q9BPX7')"
"('Q9H8V3', 'P16333')"
"('Q15916', 'P12757')"
"('P16615', 'Q15628')"
"('P40337', 'P43307')"
"('Q15038', 'Q13137')"
"('Q12788', 'Q9Y5X4')"
"('P54257', 'Q14203')"
"('Q9BUJ2', 'P55345')"
"('P52306', 'P61586')"
"('P27487', 'P13501')"
"('P27361', 'Q9Y508')"
"('Q9NRR5', 'Q8N111')"
"('P35637', 'Q13151')"
"('Q9Y383', 'Q15287')"
"('P13569', 'P40145')"
"('Q9Y5J5', 'P82664')"
"('Q99759', 'O94763')"
"('Q9Y3C5', 'Q9NZ52')"
"('Q9UM73', 'P35568')"
"('P01215', 'P01233')"
"('P22694', 'O95622')"
"('P20333', 'P08107')"
"('O95793', 'Q15435')"
"('Q13435', 'Q9BWJ5')"
"('Q14790', 'Q9UHD2')"
"('P36542', 'Q8NG27')"
"('O43290', 'Q8TBK6')"
"('P17987', 'Q00005')"
"('Q9NR30', 'P82930')"
"('P52565', 'P61586')"
"('Q9BWD1', 'Q9Y478')"
"('Q16637', 'Q05516')"
"('O14544', 'P36897')"
"('Q92547', 'O94985')"
"('P38159', 'Q86V81')"
"('Q14934', 'Q02080')"
"('Q13976', 'P14415')"
"('P24666', 'Q14164')"
"('P25398', 'P62979')"
"('P04406', 'Q96EB6')"
"('P14416', 'P07101')"
"('Q15287', 'O75643')"
"('P07108', 'Q9BPW8')"
"('O43143', 'Q9UKV8')"
"('P62266', 'P61247')"
"('P17858', 'Q99759')"
"('Q92985', 'P84022')"
"('P15498', 'Q15942')"
"('P62136', 'Q7Z699')"
"('Q9NR80', 'P60763')"
"('P60880', 'O75558')"
"('P49589', 'P26641')"
"('Q99717', 'P26368')"
"('Q9H9F9', 'P25490')"
"('Q15796', 'P05108')"
"('Q99759', 'P36776')"
"('P53667', 'P23528')"
"('P78559', 'P62993')"
"('Q5T5U3', 'Q9H4E5')"
"('Q14515', 'P04156')"
"('P36578', 'Q92901')"
"('Q92901', 'P27635')"
"('Q8N1C3', 'Q9H0R8')"
"('Q12884', 'P01275')"
"('O00221', 'Q9Y297')"
"('P07910', 'P26599')"
"('P54252', 'P04183')"
"('Q13191', 'P38484')"
"('P38646', 'Q13546')"
"('Q9NYV8', 'A8MTJ3')"
"('P35813', 'Q9H6Z4')"
"('P62277', 'P62841')"
"('Q13885', 'P05060')"
"('Q8WV24', 'O15162')"
"('P42224', 'Q13547')"
"('Q8TDR0', 'Q01082')"
"('Q12824', 'Q8NFD5')"
"('Q9BTM1', 'P06899')"
"('P07942', 'P25391')"
"('Q6Y7W6', 'P14678')"
"('P15498', 'P12956')"
"('Q5D1E8', 'Q12933')"
"('P51170', 'O00308')"
"('P41159', 'P15260')"
"('P08134', 'O96013')"
"('P57678', 'Q9Y6X2')"
"('P39656', 'P20333')"
"('O00233', 'P17980')"
"('Q13555', 'Q8NFM4')"
"('Q12959', 'Q9BTT6')"
"('P46779', 'Q9NX58')"
"('O15467', 'P51681')"
"('O60506', '440264')"
"('O00257', 'O95931')"
"('P42575', 'O95831')"
"('Q05516', 'P09913')"
"('Q96B97', 'P22607')"
"('Q14197', 'Q7Z2W9')"
"('Q96RY5', 'O43374')"
"('Q13554', 'O60359')"
"('P19105', 'P62993')"
"('O95295', 'Q96R06')"
"('Q9BUF5', 'A6NHL2')"
"('Q9H0M0', 'Q14966')"
"('O95405', 'Q04637')"
"('Q969D9', 'P19235')"
"('O60238', 'Q9H492')"
"('Q9Y619', 'Q9BXI2')"
"('P47756', 'P23508')"
"('Q9H2F5', 'O96019')"
"('P27361', 'P05026')"
"('Q96BT3', 'Q7Z478')"
"('Q15025', 'Q9NPE3')"
"('P30556', 'Q14344')"
"('P01106', 'O43795')"
"('O15467', 'P32248')"
"('Q9GZN1', 'Q16658')"
"('P23526', 'P30480')"
"('P46734', 'P45984')"
"('P61978', 'Q8IX12')"
"('P35626', 'Q13606')"
"('P03915', 'Q86Y39')"
"('Q04724', 'O43809')"
"('P08631', 'Q13444')"
"('Q9ULV8', 'O00329')"
"('P61218', 'P52434')"
"('P12004', 'P52701')"
"('Q9UKC9', 'P63208')"
"('Q9Y5X4', 'Q09028')"
"('P30307', 'P32243')"
"('Q9BV36', 'P51159')"
"('P56282', 'Q07864')"
"('P05129', 'P01111')"
"('Q92851', 'P55210')"
"('Q9Y6K9', 'P08709')"
"('P00533', 'Q14192')"
"('Q15047', 'P62805')"
"('P53355', 'P0CG48')"
"('Q13177', 'P06241')"
"('P78406', 'Q99567')"
"('P84077', 'P53365')"
"('Q13315', 'P15927')"
"('Q9Y5I7', 'O14493')"
"('O43921', 'P29317')"
"('O95500', 'O75508')"
"('Q13573', 'P22626')"
"('Q13131', 'Q16875')"
"('Q04206', 'P20749')"
"('P12110', 'P16144')"
"('O00755', 'Q9ULW2')"
"('O60244', 'Q14203')"
"('Q9GZS1', 'Q96JH8')"
"('Q12888', 'P68431')"
"('O75478', 'O75400')"
"('P62979', 'P13569')"
"('P02766', 'P01023')"
"('Q9Y6I3', 'P08581')"
"('Q9UJX2', 'P40937')"
"('Q9C0C7', 'Q9NT62')"
"('Q9NV56', 'Q52LR7')"
"('Q05639', 'Q00653')"
"('Q99614', 'P01112')"
"('P20265', 'P35222')"
"('Q9NR55', 'P35638')"
"('O75396', 'P46459')"
"('P63098', 'Q9BS18')"
"('Q01844', 'Q99623')"
"('Q13415', 'Q9H211')"
"('Q14289', 'O15259')"
"('P57735', 'P53680')"
"('Q01094', 'P00374')"
"('P07766', 'P09382')"
"('P63173', 'P30050')"
"('Q15056', 'O60739')"
"('P30050', 'P32969')"
"('O95999', 'O43318')"
"('Q9H4D5', 'O15504')"
"('P27361', 'Q9UQC2')"
"('Q9NS23', 'Q01844')"
"('O15514', 'P19388')"
"('P23443', 'P17480')"
"('Q14204', 'P04350')"
"('Q02556', 'P61769')"
"('P21854', 'P06127')"
"('Q9Y5J5', 'Q9Y3B4')"
"('O14818', 'P28070')"
"('Q9NSC5', 'O00329')"
"('Q99877', 'Q9BTM1')"
"('P28074', 'O95163')"
"('Q13315', 'P54289')"
"('P17612', 'Q08493')"
"('Q8TC92', 'P56537')"
"('O75832', 'Q9UL46')"
"('P04350', 'O15111')"
"('P19525', 'Q9NZM5')"
"('Q13435', 'Q96CW1')"
"('P67870', 'Q9UQE7')"
"('O15372', 'Q7L2H7')"
"('Q13131', 'P04637')"
"('Q9NQ76', 'P46108')"
"('P05771', 'P60709')"
"('Q68CZ2', 'P01857')"
"('Q9UKW4', 'P21860')"
"('P27348', 'P50991')"
"('Q8N5I3', 'O75909')"
"('O60674', 'O14492')"
"('Q15672', 'P38936')"
"('P62807', 'Q8WUI4')"
"('P40306', 'O75626')"
"('Q00610', 'Q9NZ52')"
"('Q9P2W3', 'O60266')"
"('Q9H400', 'P27986')"
"('O60907', 'P62805')"
"('O15234', 'P38919')"
"('P03372', 'P10809')"
"('O43298', 'Q9H8Y8')"
