negatives
"('Q9Y4K3', 'P16152')"
"('Q9BYV6', 'P51668')"
"('Q15475', 'Q04724')"
"('P04198', 'Q969H0')"
"('Q96B02', 'Q96EP1')"
"('P16220', 'Q155Q3')"
"('Q9Y490', 'Q13683')"
"('Q96ID5', 'Q9UN74')"
"('Q99259', 'P00519')"
"('Q13573', 'O75643')"
"('Q9UNX3', 'P62945')"
"('Q99459', 'P68366')"
"('P22681', 'P63104')"
"('P62910', 'Q13177')"
"('Q9NWX6', 'Q8N336')"
"('Q14683', 'Q7Z5K2')"
"('P17252', 'Q9P2W3')"
"('P26010', 'Q13797')"
"('Q8WWQ8', 'P45984')"
"('P63261', 'Q9Y6K9')"
"('P06756', 'Q86YW0')"
"('Q13315', 'O15164')"
"('Q9P0J0', 'O43674')"
"('Q13233', 'P52272')"
"('P62873', 'P19878')"
"('Q96JQ0', 'O15519')"
"('P49368', 'P11142')"
"('Q9UBB4', 'P43360')"
"('P10586', 'Q96KM6')"
"('Q9UN88', 'P54257')"
"('Q9Y5W5', 'Q9H1J7')"
"('O00459', 'P00403')"
"('O14777', 'Q9Y3C0')"
"('P56706', 'O75197')"
"('P35346', 'Q5T2W1')"
"('Q93063', 'P20073')"
"('P05129', 'Q9H0R8')"
"('P12268', 'P62330')"
"('P09874', 'Q10586')"
"('P48730', 'Q49AN0')"
"('Q9HC52', 'P35227')"
"('Q15349', 'P43405')"
"('P04350', 'Q8WWQ0')"
"('Q16566', 'Q08493')"
"('Q8TCC3', 'P07437')"
"('Q9HC77', 'P56545')"
"('P08253', 'P00533')"
"('Q16611', 'P10809')"
"('Q96KP1', 'Q9UGK8')"
"('P24863', 'Q9NX70')"
"('P21917', 'P63211')"
"('P13010', 'Q96PK6')"
"('Q8N6F1', 'O00501')"
"('Q6XUX3', 'P46781')"
"('Q14626', 'P40189')"
"('P21333', 'P26006')"
"('P55001', 'P35555')"
"('P55196', 'O15197')"
"('P03886', 'O14561')"
"('P62979', 'P62701')"
"('Q9UKE5', 'P12268')"
"('Q15834', 'P02538')"
"('P51693', 'Q96GM8')"
"('P10599', 'P25942')"
"('O43390', 'Q8IX12')"
"('Q96B36', 'P12980')"
"('Q8NF50', 'P60763')"
"('Q92542', 'Q14118')"
"('P62280', 'P62841')"
"('Q9UMN6', 'P84022')"
"('O43261', 'P68104')"
"('Q17RW2', 'P16070')"
"('P08670', 'P40763')"
"('Q6ZUM4', 'P62745')"
"('O75626', 'Q9Y490')"
"('P63104', 'P41252')"
"('P16333', 'O75167')"
"('Q04206', 'Q08211')"
"('P46776', 'P18077')"
"('Q16778', 'Q9UBN7')"
"('Q12933', 'P48736')"
"('P01009', 'P10114')"
"('P62316', 'Q04695')"
"('Q9Y478', 'Q9BYE7')"
"('P00533', 'P15498')"
"('Q13748', 'O15111')"
"('Q16619', 'P10912')"
"('O95400', 'P22626')"
"('Q9BTD8', 'Q13643')"
"('P11940', 'Q9UKV8')"
"('P99999', 'Q15717')"
"('Q05397', 'Q68CZ2')"
"('P25788', 'O75140')"
"('P30740', 'P08311')"
"('Q6ZVK8', 'O94972')"
"('O60258', 'P35916')"
"('P05141', 'Q9Y277')"
"('O14874', 'Q5W0B1')"
"('P05113', 'Q8N6P7')"
"('Q66LE6', 'Q13936')"
"('Q99759', 'O43819')"
"('P31152', 'P18146')"
"('P56537', 'P35637')"
"('Q8N5Z5', 'Q6NW29')"
"('Q9UBS5', 'P08754')"
"('Q9BT22', 'P19793')"
"('Q9NX00', 'Q9H0R8')"
"('Q6P2Q9', 'Q7KZF4')"
"('P50150', 'Q00722')"
"('Q8NFF5', 'P20073')"
"('P40429', 'P62424')"
"('Q16891', 'P33240')"
"('Q9H816', 'Q13535')"
"('P48729', 'P35222')"
"('P49721', 'Q9Y244')"
"('P30101', 'P01891')"
"('Q13620', 'Q13619')"
"('O15350', 'P0CG48')"
"('P41252', 'Q99759')"
"('P01562', 'P78552')"
"('Q92835', 'Q7L591')"
"('Q9NPF4', 'Q7Z699')"
"('Q8IY31', 'Q8TDR0')"
"('Q92843', 'P55957')"
"('Q13535', 'Q92900')"
"('Q03701', 'P30519')"
"('P04626', 'P42680')"
"('Q9Y4I1', 'P31751')"
"('O15259', 'Q9NRR5')"
"('Q15645', 'P20333')"
"('P43246', 'P40692')"
"('P18564', 'P12931')"
"('P24941', 'P24723')"
"('P62979', 'Q13501')"
"('P16220', 'P01903')"
"('Q9NRR5', 'P31150')"
"('Q8IU81', 'P26599')"
"('Q9NPC7', 'Q13153')"
"('Q16254', 'Q92698')"
"('P61978', 'O15264')"
"('Q04724', 'P38936')"
"('A8K6C2', 'Q01113')"
"('P27986', 'Q8IZP0')"
"('P46459', 'O15400')"
"('P52756', 'Q12986')"
"('Q8N726', 'Q9NXV6')"
"('O14625', 'O00574')"
"('Q9Y2T4', 'P10415')"
"('O75084', 'O14641')"
"('P01891', 'P30101')"
"('O00231', 'Q13885')"
"('P55209', 'P04637')"
"('Q01955', 'P53708')"
"('P48643', 'P67775')"
"('Q16665', 'Q9Y259')"
"('P06899', 'Q7L7L0')"
"('P42285', 'P40425')"
"('P11388', 'Q9H3D4')"
"('P17676', 'P63165')"
"('Q92844', 'P63165')"
"('Q96EE3', 'P35658')"
"('P62330', 'P04179')"
"('P01137', 'Q14392')"
"('P01019', 'P40763')"
"('Q9NX70', 'Q96RN5')"
"('P11215', 'P51572')"
"('P53803', 'P38398')"
"('Q12972', 'Q96SB3')"
"('Q14542', 'P0CG48')"
"('Q9HAV7', 'Q14197')"
"('Q9UKS6', 'P22087')"
"('P50222', 'P52198')"
"('Q9UBF2', 'Q9Y5J5')"
"('P62256', 'Q96DV4')"
"('Q06190', 'Q01668')"
"('Q13546', 'Q13748')"
"('Q9UBN7', 'Q8TAM1')"
"('P62913', 'Q07020')"
"('P0CG48', 'O15151')"
"('P26232', 'P27348')"
"('P0CG48', 'Q16186')"
"('P40763', 'P24385')"
"('Q9NUL7', 'Q14197')"
"('Q96BA8', 'P15336')"
"('P26651', 'Q15834')"
"('Q8TB40', 'P04183')"
"('Q16584', 'O15111')"
"('P32320', 'O15131')"
"('Q99836', 'Q06187')"
"('Q01844', 'O00160')"
"('P49720', 'Q9Y4K3')"
"('O75643', 'P58753')"
"('Q9BQA1', 'O14744')"
"('Q14686', 'P49715')"
"('O43353', 'Q14790')"
"('O60262', 'Q01668')"
"('O43156', 'Q9Y4A5')"
"('Q9BTK6', 'Q5VYV7')"
"('P62136', 'Q92934')"
"('Q8N257', 'O15379')"
"('Q04206', 'P12004')"
"('P09525', 'P16104')"
"('Q04724', 'Q9Y261')"
"('Q00653', 'P31689')"
"('P08238', 'P19838')"
"('P10721', 'P20936')"
"('O00141', 'P43355')"
"('Q9BQ70', 'P46783')"
"('P08833', 'O60244')"
"('Q6WCQ1', 'Q00325')"
"('P54253', 'O95967')"
"('Q99418', 'P49407')"
"('P61981', 'O14558')"
"('P67870', 'P46527')"
"('P60709', 'Q14103')"
"('Q9P2K8', 'P05198')"
"('P31946', 'O15151')"
"('O95376', 'O43526')"
"('Q13315', 'Q9H2K8')"
"('P13725', 'P15260')"
"('Q13315', 'P56645')"
"('P51808', 'P15151')"
"('P11021', 'Q9UHD2')"
"('P60709', 'P35579')"
"('P28331', 'P01889')"
"('Q92793', 'Q15796')"
"('O00762', 'Q9UJX6')"
"('Q8N2W9', 'Q92985')"
"('Q13547', 'P51532')"
"('Q9Y4A9', 'P38405')"
"('P61244', 'O75486')"
"('O43741', 'Q9UGI9')"
"('P30305', 'Q99623')"
"('P28324', 'Q02363')"
"('P02751', 'P25067')"
"('P42336', 'P63000')"
"('Q96KQ7', 'P84243')"
"('Q15527', 'Q9Y639')"
"('723778', 'Q9UNL4')"
"('P55345', 'P06748')"
"('Q15648', 'Q9BWU1')"
"('Q8WZ42', 'P02768')"
"('P07942', 'P01137')"
"('Q15366', 'O95400')"
"('Q14209', 'Q96KQ4')"
"('Q86Y07', 'P60953')"
"('P05000', 'P32927')"
"('Q9NZD4', 'P0CAP1')"
"('P38646', 'Q6WCQ1')"
"('Q8N163', 'Q00653')"
"('P24928', 'P19387')"
"('P50914', 'P61254')"
"('P02649', 'P98155')"
"('P31946', 'P18583')"
"('O15131', 'P13716')"
"('Q12933', 'P04350')"
"('Q96ID5', 'Q99873')"
"('Q13155', 'P60709')"
"('407035', 'Q9NPG1')"
"('P42768', 'Q06187')"
"('Q13464', 'P62140')"
"('Q13438', 'Q16665')"
"('Q04917', 'Q99683')"
"('P08572', 'P18827')"
"('Q5VVJ2', 'P07288')"
"('Q13315', 'O75152')"
"('P01106', 'Q7Z695')"
"('A0JLT2', 'Q3L8U1')"
"('Q13685', 'Q9H7E9')"
"('P32121', 'P25024')"
"('Q06187', 'Q9Y2C9')"
"('Q9NTJ3', 'Q99459')"
"('Q9H974', 'P01876')"
"('Q92597', 'P52597')"
"('O14544', 'Q14626')"
"('P62993', 'O60244')"
"('Q9UM73', 'Q16820')"
"('P06703', 'P62993')"
"('P0C5Z0', 'O60814')"
"('P26038', 'Q14164')"
"('P15104', 'P12757')"
"('Q9UER7', 'Q03188')"
"('Q92901', 'P05388')"
"('P16144', 'Q9NVD7')"
"('Q13309', 'Q9Y619')"
"('Q9Y6J9', 'Q16514')"
"('P06576', 'Q13526')"
"('Q9UPN9', 'Q96T23')"
"('Q99750', 'Q8NDP4')"
"('P04626', 'Q13387')"
"('P40259', 'P15391')"
"('Q16537', 'O60359')"
"('Q13315', 'Q04837')"
"('Q9H832', 'P61289')"
"('Q13315', 'Q92610')"
"('Q9BWU1', 'Q9NX70')"
"('Q92793', 'P01563')"
"('P54105', 'P62314')"
"('P06493', 'P51587')"
"('P35749', 'P62993')"
"('P61328', 'P00533')"
"('P63173', 'Q9HCK5')"
"('P01106', 'Q96BR5')"
"('P57721', 'P51513')"
"('P62249', 'P62263')"
"('P62714', 'Q02750')"
"('Q14164', 'P07954')"
"('Q13547', 'Q9UER7')"
"('Q96BR1', 'P49841')"
"('Q96NZ8', 'P34820')"
