negatives
"('Q9NRR5', 'Q9BRR6')"
"('P13569', 'Q9UN37')"
"('Q9H1R2', 'P06241')"
"('P06241', 'Q14643')"
"('O43508', 'Q8N302')"
"('Q14451', 'P07949')"
"('Q9NVI1', 'Q9HC98')"
"('P05067', 'P78352')"
"('P11387', 'P22626')"
"('O75369', 'O14933')"
"('Q15436', 'P55735')"
"('Q14919', 'Q6ZSZ5')"
"('P10073', 'Q99684')"
"('Q13547', 'Q9BTM1')"
"('Q13418', 'Q99797')"
"('Q9NPH0', 'Q13418')"
"('O00762', 'P09104')"
"('P15248', 'P42229')"
"('P38936', 'O15350')"
"('P61769', 'P30491')"
"('P10242', 'P18146')"
"('Q8IZ83', 'Q9BRP4')"
"('Q05397', 'O14745')"
"('Q7Z6J0', 'P0CG48')"
"('Q9BTY7', 'Q12789')"
"('Q96KM6', 'Q5T7N2')"
"('P04637', 'Q13547')"
"('P16871', 'P32119')"
"('Q9H0E9', 'P19793')"
"('P12111', 'P16144')"
"('O15031', 'O60925')"
"('Q03135', 'Q05193')"
"('P41235', 'P01008')"
"('A1A4S6', 'P62745')"
"('P61927', 'Q9UNX3')"
"('Q92793', 'P84022')"
"('Q15916', 'P41182')"
"('Q07325', 'O00574')"
"('P13667', 'P30101')"
"('Q8IU54', 'Q00653')"
"('Q14164', 'Q15631')"
"('O60921', 'P12004')"
"('Q15596', 'Q15788')"
"('Q13867', 'O75962')"
"('P04637', 'Q9BX70')"
"('Q6VMQ6', 'Q9Y692')"
"('P84022', 'P01106')"
"('406959', 'Q12778')"
"('Q9Y237', 'P29372')"
"('P62310', 'Q9Y4Y9')"
"('Q12778', 'P49908')"
"('P30154', 'Q13522')"
"('Q9HCE6', 'O76027')"
"('P48730', 'P17302')"
"('P21281', 'P01023')"
"('Q96AP7', 'A6NM45')"
"('Q9UEF7', 'P54709')"
"('Q9Y243', 'P18848')"
"('O95298', 'P03905')"
"('P68400', 'Q494V2')"
"('Q02763', 'Q92729')"
"('Q9H9S4', 'Q9C0K7')"
"('P83881', 'P46776')"
"('P26196', 'Q9NRM2')"
"('P61968', 'Q13363')"
"('Q9UQM7', 'Q9UKV0')"
"('P27797', 'P00451')"
"('P56705', 'O00144')"
"('P60866', 'P62841')"
"('Q9Y6K9', 'Q9UM54')"
"('Q14164', 'Q99598')"
"('P05000', 'P32927')"
"('O00571', 'Q14164')"
"('P61077', 'Q9BV68')"
"('Q96MT3', 'Q9ULK5')"
"('P21781', 'P00533')"
"('Q8N5U6', 'P51681')"
"('Q99750', 'P29972')"
"('P25208', 'P08183')"
"('P33240', 'Q12873')"
"('Q9HCE1', 'O94817')"
"('P07948', 'P40189')"
"('Q10586', 'P12268')"
"('P42701', 'Q14765')"
"('P20701', 'Q9Y4G6')"
"('O14908', 'P49795')"
"('P29460', 'P01589')"
"('O43837', 'Q9Y5J5')"
"('P01574', 'Q5VWK5')"
"('O75530', 'Q96B02')"
"('724029', 'P28799')"
"('O15344', 'Q96B02')"
"('Q9UGK3', 'O14920')"
"('O75478', 'Q9NS73')"
"('O60711', 'Q16659')"
"('Q8N715', 'Q15834')"
"('Q6R327', 'P07437')"
"('Q14919', 'Q92956')"
"('P0C5Y9', 'O15379')"
"('Q9H0B6', 'Q92569')"
"('Q16877', 'P24522')"
"('Q13111', 'P84243')"
"('P17612', 'P25963')"
"('P54646', 'O95822')"
"('O43610', 'Q07889')"
"('O43318', 'P01112')"
"('P16144', 'P18054')"
"('P46783', 'Q09013')"
"('O14874', 'O00442')"
"('P12931', 'Q92529')"
"('O00182', 'Q92905')"
"('P52597', 'O75937')"
"('P35326', 'Q08881')"
"('Q16254', 'P52292')"
"('P60520', 'Q9GZZ9')"
"('P38936', 'P13196')"
"('P41235', 'P20226')"
"('Q0VG06', 'Q9NVI1')"
"('P38919', 'Q6PII3')"
"('Q10586', 'Q8TAQ2')"
"('P59540', 'A8MTJ3')"
"('P29274', 'O95467')"
"('Q99814', 'P08047')"
"('P50552', 'Q96MA1')"
"('P08133', 'P20936')"
"('P01111', 'P27986')"
"('Q99558', 'P63261')"
"('P61326', 'P56537')"
"('P46459', 'O75899')"
"('Q92985', 'P15884')"
"('O75376', 'Q15406')"
"('P00533', 'P0CG47')"
"('Q05086', 'P63104')"
"('P16220', 'Q155Q3')"
"('Q9HCS7', 'P52435')"
"('P48643', 'Q99570')"
"('P01106', 'Q8NFD5')"
"('O14561', 'O95168')"
"('Q8N163', 'P43360')"
"('Q9NT62', 'Q9BXW4')"
"('Q9Y2U5', 'P31946')"
"('P29692', 'O15264')"
"('O95810', 'Q9H8W4')"
"('P18848', 'P53567')"
"('P46379', 'Q15047')"
"('P08754', 'Q8WYR1')"
"('Q9NR12', 'Q92530')"
"('P78423', 'P46094')"
"('P19388', 'P24928')"
"('P35626', 'Q6IFH4')"
"('P05109', 'P62937')"
"('Q14139', 'P51668')"
"('P37059', 'P18146')"
