negatives
"('P35226', 'O75525')"
"('Q96BR9', 'P13682')"
"('Q9UM00', 'P30153')"
"('P04626', 'Q9HB71')"
"('P46087', 'P46379')"
"('P37198', 'Q969G3')"
"('Q16206', 'O00463')"
"('Q2TAY7', 'P50402')"
"('Q6ZW31', 'Q5VZ89')"
"('Q00839', 'Q9H4L7')"
"('P09234', 'O43251')"
"('Q99417', 'O60383')"
"('Q14203', 'O94905')"
"('P03372', 'Q71RC2')"
"('Q9NX70', 'Q9UHV7')"
"('Q71UM5', 'P01106')"
"('P35398', 'Q92786')"
"('Q6NSJ2', 'Q9HC77')"
"('P0C0S5', 'P06737')"
"('P16157', 'Q8WZ42')"
"('Q99759', 'Q02809')"
"('O60506', 'P62699')"
"('Q9H4B7', 'P16871')"
"('O15488', 'P54840')"
"('O14964', 'P08727')"
"('P29508', 'O75901')"
"('Q9BW85', 'Q9NQX5')"
"('Q86VP6', 'Q9BVP2')"
"('P49137', 'O15511')"
"('Q9BQ67', 'Q96DI7')"
"('Q9NYU1', 'Q9BSE5')"
"('Q9Y508', 'Q8N9I9')"
"('O14639', 'P19012')"
"('P61019', 'P51148')"
"('P04004', 'P01189')"
"('P36873', 'Q5HYK9')"
"('P51665', 'Q15008')"
"('Q8N5K1', 'P05067')"
"('O15164', 'Q16236')"
"('O94776', 'Q8IVT5')"
"('A8MQ03', 'Q9UP95')"
"('P04843', 'Q6NUN9')"
"('O75147', 'Q01081')"
"('P42773', 'Q8NFW5')"
"('P42224', 'Q15046')"
"('O14497', 'Q01201')"
"('P51828', 'P22694')"
"('P18847', 'P35638')"
"('P14635', 'P16455')"
"('P62993', 'Q96NS5')"
"('Q86U86', 'Q9UKX7')"
"('Q6NSZ9', 'Q8NDF8')"
"('P46937', 'O75312')"
"('P00533', 'Q8N1F7')"
"('Q13242', 'O75319')"
"('P46778', 'P40337')"
"('O95196', 'Q9HD26')"
"('O60269', 'Q99750')"
"('O43613', 'P32121')"
"('Q01105', 'P30153')"
"('O14562', 'Q04917')"
"('P12931', 'Q3KPI0')"
"('P54132', 'P35244')"
"('O75083', 'Q13363')"
"('Q9P2Q2', 'Q8TDR0')"
"('O60563', 'P23193')"
"('Q13619', 'Q13496')"
"('P49721', 'P51665')"
"('Q9H7E9', 'Q15025')"
"('P68133', 'Q96AX9')"
"('P42166', 'O43542')"
"('Q13402', 'P35222')"
"('P08476', 'Q96S42')"
"('Q9HCK4', 'O75914')"
"('P04844', 'P51571')"
"('P62847', 'Q9Y3B4')"
"('Q504Q3', 'P38646')"
"('P12931', 'Q12778')"
"('Q5H9S7', 'Q12829')"
"('O95155', 'Q15427')"
"('P52756', 'Q8N4V1')"
"('P53396', 'Q9BXP5')"
"('P62249', 'P46778')"
"('Q13164', 'Q9Y2U5')"
"('Q9P2M7', 'Q8TEH3')"
"('Q9BVJ6', 'Q13625')"
"('Q6S8J3', 'Q92871')"
"('P84103', 'Q15022')"
"('P68104', 'Q07020')"
"('Q13643', 'Q9P2T0')"
"('O43150', 'P27986')"
"('Q9UPT5', 'Q9UBU9')"
"('P52952', 'Q01844')"
"('Q13438', 'Q08050')"
"('P46379', 'A4D1P6')"
"('Q15477', 'P62826')"
"('Q86Y39', 'O95299')"
"('Q9Y221', 'Q7Z6G3')"
"('Q96CN7', 'P42785')"
"('Q9P0P0', 'P62837')"
"('Q13315', 'Q9UFC0')"
"('P61247', 'B5ME19')"
"('Q969Q6', 'Q8IYE0')"
"('Q14847', 'P25788')"
"('O76071', 'Q92574')"
"('P49639', 'P60410')"
"('Q9BX95', 'Q15717')"
"('P06753', 'Q92882')"
"('O60308', 'Q8IUZ0')"
"('Q8N9W6', 'Q92734')"
"('Q9Y324', 'Q92544')"
"('Q8NFP9', 'Q86X19')"
"('Q8WVM8', 'Q9H9E3')"
"('Q8TBB1', 'P38432')"
"('P60510', 'Q9NZT1')"
"('O75874', 'P14324')"
"('Q9H4D5', 'Q86V81')"
"('Q15714', 'P48444')"
"('Q9UQL6', 'Q8IVT5')"
"('O60381', 'P06400')"
"('Q9UBS8', 'Q9Y2X8')"
"('Q6P5R6', 'Q2NL98')"
"('Q8TAD8', 'O75400')"
"('Q15648', 'P08833')"
"('O95644', 'Q96JM3')"
"('P49736', 'P32969')"
"('Q00535', 'Q6ZU80')"
"('O15344', 'Q96T60')"
"('Q9NSG2', 'O43291')"
"('P11387', 'P19784')"
"('O00560', 'Q9H5V8')"
"('Q13432', 'P20963')"
"('P17152', 'Q16585')"
"('P52292', 'Q8TEE9')"
"('Q6PL18', 'Q16695')"
"('Q12874', 'O94842')"
"('O43765', 'Q07654')"
"('Q9Y3D3', 'Q8NI60')"
"('Q16576', 'Q8TDI0')"
"('Q15257', 'P05771')"
"('Q9NPH2', 'P00167')"
"('P32119', 'Q07812')"
"('P38398', 'O60684')"
"('P49407', 'Q86YQ8')"
"('Q63HK5', 'O00213')"
"('P08754', 'P53778')"
"('O95931', 'Q9UGI0')"
"('Q9Y3M2', 'Q15678')"
"('Q6PJT7', 'Q9Y546')"
"('P04637', 'Q9P2P5')"
"('P28062', 'Q8TAA3')"
"('P04233', 'Q02556')"
"('P49848', 'P35711')"
"('P62879', 'P30519')"
"('P50991', 'Q7L2J0')"
"('P10809', 'Q7Z3S9')"
"('P42025', 'P60709')"
"('O14745', 'O15439')"
"('Q13535', 'Q92841')"
"('P84022', 'Q99717')"
"('Q8IWL3', 'Q6ZN17')"
"('Q9Y3B7', 'Q9BYD6')"
"('O00214', 'Q13683')"
"('P50222', 'Q5TZK3')"
"('Q8N448', 'O76003')"
"('Q15648', 'Q15528')"
"('Q9H765', 'Q15293')"
"('Q92934', 'P62136')"
"('Q9P0V3', 'Q96QZ7')"
"('P13639', 'Q7L1Q6')"
"('Q9NZJ0', 'Q86XK2')"
"('Q9NY93', 'Q8WZ42')"
"('Q9Y297', 'Q5XKE5')"
"('Q5JU00', 'Q9H3G5')"
"('P16871', 'O15511')"
"('Q96KM6', 'Q13547')"
"('O14576', 'Q9H4B7')"
"('Q9Y618', 'P10276')"
"('Q9NRD1', 'P15153')"
"('Q15691', 'Q09472')"
"('P45880', 'Q9UNL2')"
"('P56524', 'O95967')"
"('P51608', 'Q00403')"
"('P62249', 'P62701')"
"('Q00839', 'Q92900')"
"('O75083', 'Q16643')"
"('P19838', 'P26640')"
"('P55290', 'Q9NVR5')"
"('P62987', 'Q9Y4E8')"
"('P68366', 'Q92973')"
"('Q00341', 'Q92905')"
"('Q96PY5', 'P60953')"
"('O95376', 'P46531')"
"('Q0D2H9', 'O43865')"
"('Q15910', 'P42771')"
"('Q16254', 'Q09472')"
"('Q14164', 'O60477')"
"('P11474', 'Q9Y6Q9')"
"('Q8NEZ4', 'Q15910')"
"('Q8IXT1', 'P34932')"
"('Q9H9Y6', 'O60934')"
"('P31749', 'Q9NWV8')"
"('P20339', 'Q9H1K0')"
"('Q9Y5L4', 'Q92597')"
"('Q96F24', 'Q13137')"
"('Q14697', 'Q8TCT1')"
"('Q8WW22', 'P62195')"
"('Q9H0C1', 'P09067')"
"('P25311', 'O75901')"
"('Q68D86', 'P61968')"
"('Q99801', 'Q99496')"
"('Q9H7B4', 'P39656')"
"('Q16695', 'Q6P1X5')"
"('Q13620', 'P14625')"
"('P12814', 'P67936')"
"('Q9BSL1', 'Q15008')"
"('P53805', 'P52630')"
"('P62241', 'P42677')"
"('Q5TAQ9', 'Q99873')"
"('Q03135', 'Q9GZQ8')"
"('Q9BYR8', 'Q5T7P3')"
"('Q9UK39', 'O75953')"
"('P50225', 'O95155')"
"('Q13227', 'Q15047')"
"('P08238', 'Q9UHD1')"
"('Q86SX6', 'P30480')"
"('P15976', 'Q09472')"
"('Q9UKB1', 'P35221')"
"('P36941', 'Q12933')"
"('Q9Y2D8', 'Q9UPQ9')"
"('Q9Y6D5', 'P26885')"
"('O60260', 'O75306')"
"('P61020', 'P62491')"
"('Q9NRH3', 'O76071')"
"('P13196', 'Q8IYW5')"
"('Q99459', 'Q12874')"
"('P07437', 'Q96L34')"
"('O95427', 'Q9HCE1')"
"('Q96D46', 'Q9H2P9')"
"('Q9BQC3', 'Q5XKK7')"
"('P10071', 'Q92793')"
"('Q9H1R2', 'Q15788')"
"('P38646', 'P13489')"
"('Q12923', 'Q9BUL8')"
"('P56537', 'P53041')"
"('Q15386', 'P52799')"
"('Q96CS2', 'Q8N960')"
"('O60383', 'Q9H0Q3')"
"('P19793', 'Q9Y618')"
"('Q06455', 'Q92886')"
"('Q96QT6', 'P68366')"
"('Q32NC0', 'Q5XUX0')"
"('O75832', 'Q9Y617')"
"('P62277', 'P46783')"
"('P04350', 'Q13618')"
"('Q9NSC5', 'P25787')"
"('Q86X02', 'Q14241')"
"('O75791', 'P30260')"
"('Q8N1N4', 'P46108')"
"('P47871', 'Q9H3D4')"
"('Q93062', 'Q92734')"
"('Q6P589', 'P78362')"
"('P49427', 'Q9UKT8')"
"('Q9BY42', 'P00519')"
"('Q13418', 'P04792')"
"('P17040', 'Q8NF99')"
"('P17987', 'Q8TCT1')"
"('Q9Y4W6', 'Q9H2H9')"
"('P29460', 'Q01113')"
"('P05067', 'Q9Y421')"
"('P18206', 'P11413')"
"('P06241', 'O60244')"
"('P08651', 'O00712')"
"('Q9UJX6', 'Q92905')"
"('Q16659', 'Q13243')"
"('Q9UI12', 'O75844')"
"('P04629', 'O95140')"
"('P39023', 'P32969')"
"('P20700', 'Q13561')"
"('Q6ZRY4', 'Q96SI9')"
"('Q14684', 'O15116')"
"('Q13405', 'Q969G5')"
"('Q13823', 'P04629')"
"('P19474', 'Q7L190')"
"('Q16254', 'Q8N682')"
"('Q15796', 'O43684')"
"('P81605', 'Q13620')"
"('Q9BQ66', 'Q9H2X0')"
"('Q7L273', 'Q92764')"
"('P40938', 'O60216')"
"('P62917', 'P46778')"
"('Q9UPY8', 'Q96LM5')"
"('P61927', 'P40429')"
"('Q8N9R6', 'Q08AM6')"
"('P40616', 'P61006')"
"('P17612', 'Q6ZU80')"
"('P14780', 'P01100')"
"('Q16665', 'P51398')"
"('P63104', 'Q5T200')"
"('Q96HE9', 'Q99575')"
"('O15524', 'P29597')"
"('O14497', 'Q86X55')"
"('P46108', 'Q04695')"
"('Q63HR2', 'Q8TEB1')"
"('O60784', 'Q9NPD3')"
"('Q99832', 'P36542')"
"('O75694', 'P19320')"
"('Q96FW1', 'P04844')"
"('Q9H4L4', 'Q14526')"
"('Q07627', 'P43353')"
"('Q9BXJ5', 'Q8NFW5')"
"('Q13546', 'O00429')"
"('Q92913', 'P05067')"
"('Q92831', 'O75529')"
"('O00161', 'Q13277')"
"('Q16891', 'Q9NX40')"
"('Q9NX58', 'Q6ZRV2')"
"('Q96S82', 'P54725')"
"('O95816', 'Q9H9S0')"
"('Q9UBF2', 'P54278')"
"('Q9Y5B9', 'Q6K0P9')"
"('O95163', 'P29353')"
"('Q13573', 'P58107')"
"('P0DMM9', 'Q96C45')"
"('Q15025', 'O14777')"
"('P31946', 'O75420')"
"('Q08380', 'Q9UNF1')"
"('O76093', 'P36888')"
"('Q92878', 'Q15554')"
"('P42229', 'P42694')"
"('Q15554', 'Q9HCK8')"
"('O43639', 'Q8WXE0')"
"('Q9Y239', 'Q9HC29')"
"('P08047', 'Q01664')"
"('P42224', 'P29965')"
"('O15519', 'Q8IUC6')"
"('Q13257', 'Q9P2L0')"
"('P68366', 'Q9NY97')"
"('Q96PV7', 'O95751')"
"('Q99459', 'Q9BQL6')"
"('Q9Y6K5', 'O15355')"
"('Q68J44', 'O75150')"
"('O75190', 'O15350')"
"('Q8N865', 'Q96M29')"
"('P04637', 'Q5VWQ8')"
"('P03372', 'P05109')"
"('Q6UWF7', 'P17612')"
"('O60934', 'P19338')"
"('Q14CZ7', 'P60709')"
"('Q9UPE1', 'Q15427')"
"('Q9Y3M8', 'P04035')"
"('P15336', 'P19784')"
"('P10768', 'P04629')"
"('P23508', 'Q9P1Z9')"
"('Q99496', 'Q14692')"
"('Q8TBB1', 'Q9NZI7')"
"('Q9NWZ8', 'Q9H244')"
"('Q6PD62', 'O14980')"
"('Q9UG01', 'Q9UPZ9')"
"('O94927', 'O75665')"
"('Q9BU20', 'Q9BT04')"
"('Q96KR6', 'Q53R12')"
"('O95405', 'P35222')"
"('O75506', 'Q6MZP7')"
"('Q9UNN5', 'Q9BZV1')"
"('Q92878', 'P49959')"
"('O00470', 'Q04743')"
"('P04264', 'Q9BXB1')"
"('O75935', 'O75369')"
"('P07550', 'P57105')"
"('P62993', 'Q14324')"
"('Q92905', 'Q8TC84')"
"('Q9ULK4', 'Q92831')"
"('Q13480', 'Q9UNN4')"
"('Q01196', 'Q13363')"
"('P53999', 'Q00535')"
"('Q96DG6', 'O95400')"
"('P19387', 'O14980')"
"('Q14103', 'O60683')"
"('Q9BZ67', 'Q96HH9')"
"('Q9UN42', 'Q7Z2K6')"
"('Q13489', 'O43353')"
"('Q9H2X3', 'P13688')"
"('Q9H0W5', 'P21359')"
"('P19174', 'P50607')"
"('P46939', 'P0C862')"
"('Q9BV68', 'Q9Y2X8')"
"('Q99801', 'Q02446')"
"('P63279', 'Q06945')"
"('P42285', 'O75530')"
"('P63313', 'P54274')"
"('Q15041', 'Q9H4A5')"
"('Q6UX41', 'P55082')"
"('Q4KMG0', 'Q9Y6C5')"
"('Q9BTE7', 'P08754')"
"('O95400', 'O60508')"
"('Q8WUX1', 'Q5T3F8')"
"('Q13642', 'P28482')"
"('P13010', 'Q13042')"
"('Q8TAI7', 'Q9UKG1')"
"('Q9UHF1', 'P48059')"
"('P00533', 'Q9Y6Q5')"
"('Q9UKV3', 'Q08945')"
"('P05112', 'P42702')"
"('Q9BZE1', 'P05412')"
"('Q9UKV8', 'Q9H492')"
"('Q9BSM1', 'Q96EQ8')"
"('Q04724', 'P18146')"
"('O95389', 'Q6UXH1')"
"('O94817', 'Q9BZ29')"
"('O43189', 'Q9Y5V3')"
"('Q71U36', 'O43795')"
"('P13805', 'Q6A162')"
"('Q6WCQ1', 'Q9H6D8')"
"('Q9UDX3', 'O43186')"
"('O14544', 'Q04206')"
"('P46777', 'P49736')"
"('P12814', 'P00973')"
"('Q49A26', 'Q15022')"
"('Q8WXI9', 'Q9NPG2')"
"('Q9Y3R4', 'Q9NTX9')"
"('Q9NZ71', 'Q8N7R7')"
"('Q13616', 'Q00577')"
"('Q9BW66', 'Q9Y2J4')"
"('Q99832', 'P17661')"
"('P21673', 'Q96I25')"
"('Q9Y6M4', 'Q8N5S1')"
"('P00414', 'P42858')"
"('Q7Z3B3', 'Q9BUZ4')"
"('P49427', 'Q13616')"
"('Q13418', 'P14373')"
"('O95163', 'Q13618')"
"('Q9Y5U9', 'Q69YU3')"
"('Q9NWS0', 'P52435')"
"('P61981', 'Q15393')"
"('P17844', 'O14763')"
"('P42336', 'Q92748')"
"('P17676', 'P41440')"
"('Q13492', 'P68104')"
"('P38159', 'P78362')"
"('Q6IA69', 'Q96HA8')"
"('P78358', 'Q9UDX3')"
"('Q9H190', 'Q96CG3')"
"('P07307', 'Q96G23')"
"('Q00987', 'P26599')"
"('Q6NUN9', 'Q12788')"
"('Q9UJV3', 'Q6NX45')"
"('Q9NZJ0', 'O14757')"
"('P08670', 'Q15942')"
"('Q9Y4K3', 'Q9UNM6')"
"('Q5T0J7', 'Q86SJ6')"
"('P53985', 'Q96IP4')"
"('P33121', 'P20648')"
"('P61077', 'Q71U36')"
"('P07900', 'O14980')"
"('P61586', 'P45984')"
"('P62277', 'P10451')"
"('Q13526', 'Q9NYP9')"
"('Q5SW79', 'P52735')"
"('Q9GZS1', 'Q9UH99')"
"('A8MQ03', 'Q6ZSJ9')"
"('Q01581', 'Q9NQW7')"
"('P67936', 'P24941')"
"('Q13616', 'P27694')"
"('Q9NVF7', 'Q9H8W4')"
"('P12004', 'Q9NQR1')"
"('Q92796', 'Q9UPT5')"
"('O15111', 'Q96MN2')"
"('Q15915', 'Q9HDD0')"
"('O60260', 'Q07687')"
"('Q8NC96', 'Q04864')"
"('P15374', 'O95789')"
"('Q96ID5', 'P24522')"
"('Q13404', 'Q13049')"
"('Q02790', 'P23297')"
"('O43399', 'Q9NPF4')"
"('Q9H5K3', 'Q5BKT4')"
"('Q9HCI7', 'Q16778')"
"('P43146', 'P15311')"
"('Q6P1J9', 'P04792')"
"('P02792', 'P36873')"
"('Q93062', 'Q9BX46')"
"('P35443', 'P31431')"
"('O14654', 'Q13618')"
"('Q8IZP0', 'P07948')"
"('P37231', 'P35228')"
"('Q07021', 'P32121')"
"('Q13247', 'Q6DD88')"
"('Q14653', 'P49327')"
"('P16591', 'O15117')"
"('Q9HA38', 'Q15717')"
"('P07237', 'P35226')"
"('P62910', 'P35268')"
"('Q6P1J9', 'Q8TB96')"
"('Q12931', 'P68104')"
"('Q14241', 'O95198')"
"('Q8WTQ7', 'P51681')"
"('Q52LG2', 'Q9UM22')"
"('Q9H223', 'P63173')"
"('Q9BPZ7', 'Q9UQC2')"
"('P19447', 'Q8NHQ1')"
"('Q49AN0', 'Q8WW24')"
"('Q9Y6D9', 'Q9H4K1')"
"('P51674', 'Q7Z2K6')"
"('Q7Z7J5', 'O14641')"
"('Q9H324', 'Q9UHA4')"
"('O00220', 'Q96P48')"
"('P07737', 'P16871')"
"('P53350', 'Q5VYV7')"
"('Q9NPI9', 'P78508')"
"('O75475', 'P52926')"
"('P35638', 'P24278')"
"('O75787', 'Q9Y2Q5')"
"('Q96DA0', 'Q8N365')"
"('P02751', 'Q00839')"
"('P22061', 'Q99436')"
"('Q9H329', 'P78362')"
"('P09661', 'Q969P0')"
"('Q9UQ35', 'Q92731')"
"('Q15831', 'Q8IWQ3')"
"('Q07866', 'O75925')"
"('Q96FF9', 'O15119')"
"('O60308', 'P0DP24')"
"('Q8IWI9', 'P17980')"
"('O75376', 'P07108')"
"('O75525', 'Q96AD5')"
"('Q15287', 'Q6P2Q9')"
"('Q8NHW4', 'Q9BRI3')"
"('Q9BVI4', 'Q86VQ0')"
"('Q8N4J0', 'P05067')"
"('O43172', 'Q9H6R0')"
"('P07355', 'Q9NQA5')"
"('P54709', 'P17568')"
"('Q9Y3D0', 'P41208')"
"('P29692', 'Q8N3V7')"
"('Q9Y4L1', 'Q92731')"
"('P20962', 'P28702')"
"('Q9NX58', 'Q9UL18')"
"('Q99832', 'Q9Y3A3')"
"('P17066', 'Q9H0R8')"
"('Q9BXY8', 'Q13064')"
"('Q9BVG8', 'Q8NA61')"
"('Q00688', 'Q9Y224')"
"('Q9H0E3', 'Q92905')"
"('Q9Y3D0', 'O75190')"
"('Q6WCQ1', 'P11142')"
"('O00151', 'P52789')"
"('P40937', 'P05412')"
"('Q92769', 'Q9C0K0')"
"('Q9Y2M0', 'Q13523')"
"('Q13123', 'Q9NZC7')"
"('Q99496', 'Q96JP5')"
"('Q9UBU9', 'Q7Z7H5')"
"('P46778', 'P05387')"
"('Q9Y375', 'P62714')"
"('Q14839', 'Q17R98')"
"('Q96HR3', 'P19793')"
"('Q96PM5', 'P05154')"
"('Q9BQ66', 'Q14966')"
"('O94905', 'Q9NY65')"
"('Q01974', 'Q9HCE1')"
"('O95347', 'P62330')"
"('Q9Y6K1', 'P26358')"
"('P45984', 'Q15427')"
"('P35609', 'O95863')"
"('Q9BYR6', 'Q9BYR5')"
"('P29972', 'O94972')"
"('Q9Y3E0', 'O75477')"
"('P35610', 'Q9P0L0')"
"('P30939', 'P61952')"
"('P06241', 'Q9NV92')"
"('Q9BRK4', 'P04440')"
"('Q9HCS7', 'P61326')"
"('P08397', 'Q8NDH3')"
"('Q8WW22', 'Q92526')"
"('Q8TEW0', 'P31946')"
"('B2RXF5', 'P51451')"
"('P63244', 'Q9NPD8')"
"('P05386', 'P62829')"
"('P04818', 'P30566')"
"('Q8N5A5', 'Q8WWB3')"
"('Q07020', 'P24941')"
"('P31751', 'O95622')"
"('P42858', 'Q9Y4F4')"
"('P07550', 'P50454')"
"('Q14802', 'O43889')"
"('Q9Y4K3', 'Q05513')"
"('O75947', 'Q8WWC4')"
"('P19784', 'Q9P1Y6')"
"('Q9NV58', 'O00193')"
"('Q9HCE1', 'O43291')"
"('Q9NRI5', 'O60216')"
"('P28066', 'Q5VYK3')"
"('Q15672', 'Q04206')"
"('Q9NQ76', 'P27986')"
"('Q9BW66', 'P78424')"
"('P36952', 'Q9NZC7')"
"('Q6GQQ9', 'O14980')"
"('Q8N370', 'Q7Z3S9')"
"('P15882', 'Q07890')"
"('P13196', 'P61956')"
"('P37173', 'Q8WUH2')"
"('O43709', 'O60346')"
"('Q8WWH4', 'A2RU14')"
"('O95817', 'P30086')"
"('O75925', 'Q01543')"
"('P62913', 'Q12906')"
"('P16455', 'Q9NYV4')"
"('P61221', 'O76071')"
"('P00558', 'Q9NRC8')"
"('P27635', 'P84098')"
"('O75340', 'P55072')"
"('P61956', 'Q16576')"
