negatives
"('Q07889', 'Q9H4E5')"
"('Q6UB35', 'P49662')"
"('P16401', 'Q8N257')"
"('Q9Y3B3', 'O43187')"
"('P05161', 'Q00978')"
"('Q9NWB1', 'P48634')"
"('P21796', 'P51808')"
"('Q96SB8', 'Q96MF7')"
"('Q9BPZ7', 'P49815')"
"('P62879', 'P42229')"
"('Q9BVJ6', 'Q05513')"
"('P32881', 'P15509')"
"('O95758', 'Q9UET6')"
"('O95819', 'Q9Y6K9')"
"('P24522', 'P52742')"
"('Q9UDY2', 'Q9Y2J2')"
"('Q9Y535', 'P19388')"
"('P10082', 'Q12884')"
"('P63173', 'P46779')"
"('Q13569', 'Q8TAD8')"
"('Q04695', 'P53680')"
"('O00159', 'Q9P2S5')"
"('P05013', 'P42702')"
"('P12004', 'Q9NRF9')"
"('P17987', 'P20333')"
"('Q13094', 'P52735')"
"('P39060', 'P55001')"
"('Q05655', 'Q9NYF0')"
"('Q00653', 'P05014')"
"('P07910', 'O95400')"
"('P61077', 'Q8TDN6')"
"('A6NKK0', 'P38405')"
"('Q9UJV9', 'P46108')"
"('P48740', 'P0C0L4')"
"('P62829', 'P30050')"
"('P42773', 'P30281')"
"('Q13424', 'P01589')"
"('P42574', 'Q04206')"
"('P36873', 'Q7Z2W7')"
"('Q93077', 'P33778')"
"('P53350', 'Q155Q3')"
"('Q9BZK7', 'O15105')"
"('P25025', 'Q5JY77')"
"('P58166', 'P27037')"
"('Q8WUY3', 'Q96D15')"
"('Q9NYL2', 'O95865')"
"('Q07889', 'P0CG47')"
"('Q9HBE1', 'P10275')"
"('Q9UBW7', 'P35637')"
"('P24043', 'P08648')"
"('Q93079', 'Q9UBL3')"
"('P11021', 'Q03135')"
"('Q8NGR1', 'P38405')"
"('P28331', 'P40926')"
"('O43493', 'P09958')"
"('Q8ND25', 'O14933')"
"('Q9NPJ4', 'Q92731')"
"('P09429', 'Q9UKR5')"
"('P12004', 'P52701')"
"('Q8WVX9', 'Q9Y2Q3')"
"('Q07820', 'Q07812')"
"('P62837', 'Q96G75')"
"('Q00597', 'Q8IYD8')"
"('P01106', 'P84077')"
"('P16220', 'Q86XU0')"
"('Q9BQ52', 'Q9H1I8')"
"('P40337', 'P35080')"
"('P08246', 'P07339')"
"('Q04206', 'P09341')"
"('Q13200', 'Q15008')"
"('P84243', 'Q9UNL4')"
"('Q96L92', 'P23508')"
"('P61077', 'Q8IUQ4')"
"('P21246', 'P09669')"
"('P37288', 'P29992')"
"('Q7Z5N4', 'O75400')"
"('P49023', 'Q16827')"
"('P03901', 'P17568')"
"('P27348', 'P49286')"
"('P01857', 'P31994')"
"('Q9Y6K9', 'O75688')"
"('Q02156', 'P61586')"
"('O14495', 'P41182')"
"('P10276', 'O15164')"
"('Q9HCP0', 'P10070')"
"('Q8WZ73', 'P60604')"
"('Q9UQ35', 'O94906')"
"('P05386', 'Q15750')"
"('Q13261', 'P31785')"
"('Q01196', '406899')"
"('Q14524', 'Q13424')"
"('P16104', 'Q14676')"
"('P29274', 'Q5JWF2')"
"('406972', 'P00519')"
"('Q6XUX3', 'P49720')"
"('Q9Y6R4', 'O15169')"
"('Q13363', 'P35221')"
"('O43556', 'Q96LD1')"
"('Q9BWG4', 'Q86U70')"
"('P05230', 'P07333')"
"('P01106', 'P22736')"
"('O95832', 'Q9Y5I7')"
"('P36897', 'Q6SA08')"
"('Q15843', 'P62913')"
"('P19793', 'P32302')"
"('Q96B18', 'O94806')"
"('O14920', 'P27448')"
"('P05783', 'P63010')"
"('Q12933', 'Q13489')"
"('O15533', 'P10321')"
"('P50613', 'P13631')"
"('Q14469', 'O15360')"
"('Q14739', 'Q96SB4')"
"('Q16513', 'P68104')"
"('Q6UY11', 'O15162')"
"('P12980', 'Q5QJU3')"
"('Q99942', 'Q96LR5')"
"('Q9Y421', 'Q9HCG8')"
"('P63104', 'Q9UHK0')"
"('P62714', 'Q9Y624')"
"('P16949', 'P01889')"
"('P0C5Y9', 'Q96DB2')"
"('P56377', 'O75843')"
"('P51692', 'P14784')"
"('Q9Y264', 'P06213')"
"('P17174', 'Q9BXJ8')"
"('P08138', 'P46109')"
"('Q15744', 'P17676')"
"('Q8N766', 'Q9HC24')"
"('P62805', 'Q9UER7')"
"('P19174', 'O15085')"
"('Q96NY8', 'Q8TEW0')"
"('Q9NWF9', 'P08243')"
"('Q8IUC6', 'Q15326')"
"('Q9Y483', 'Q96AW1')"
"('P36897', 'P15882')"
"('Q9UHC7', 'P38936')"
"('Q6SJ96', 'P15036')"
"('P08637', 'P43405')"
