negatives
"('O75381', 'Q12931')"
"('Q9NQT4', 'O95447')"
"('Q6A162', 'Q9BUZ4')"
"('P51991', 'O94903')"
"('Q9Y4L1', 'P16104')"
"('Q9BZG1', 'P52306')"
"('P41279', 'P25942')"
"('Q9HBZ2', 'P14373')"
"('Q6NYC8', 'P08727')"
"('P49768', 'P15924')"
"('Q13177', 'P35580')"
"('P35579', 'Q16181')"
"('P49736', 'Q9BUJ2')"
"('P30939', 'P63211')"
"('Q05086', 'Q9H3U1')"
"('Q6P5W5', 'Q9HD23')"
"('P08572', 'P18564')"
"('Q9UNN5', 'Q9Y297')"
"('P42224', 'Q7Z434')"
"('P05412', 'P26640')"
"('Q8N6Y0', 'Q9NSA3')"
"('P07437', 'Q9H853')"
"('Q9NRD1', 'Q9UI26')"
"('Q9H8Y8', 'Q9UJX2')"
"('Q09028', 'Q13547')"
"('Q96HE9', 'O96028')"
"('Q09472', 'Q53ET0')"
"('Q96G04', 'P11021')"
"('Q15796', 'Q13219')"
"('A6NIJ9', 'O43240')"
"('Q9Y295', 'Q86VP6')"
"('Q8TD31', 'P49005')"
"('P05412', 'P28070')"
"('Q96H20', 'P54687')"
"('P31948', 'O75161')"
"('Q9BTT4', 'Q9P2N6')"
"('Q9UHD9', 'Q8IVU3')"
"('Q7Z7H8', 'Q9Y276')"
"('Q96GW7', 'P61457')"
"('Q9Y2J4', 'P10451')"
"('Q96D09', 'Q9P2H0')"
"('P61960', 'P30043')"
"('Q9H1J7', 'Q9NPG1')"
"('O43524', 'Q92974')"
"('Q9H2P0', 'Q9NRC8')"
"('O15084', 'Q96C92')"
"('Q9UJV3', 'P51965')"
"('P49815', 'Q13526')"
"('Q7L190', 'P05090')"
"('P16278', 'Q9P0L0')"
"('Q15717', 'O00716')"
"('Q13469', 'Q01664')"
"('P51787', 'O60266')"
"('P14866', 'P11387')"
"('P33992', 'Q92841')"
"('P19256', 'P31689')"
"('Q04609', 'P08473')"
"('O75208', 'Q9Y2Z9')"
"('Q99750', 'P21549')"
"('O14561', 'P13804')"
"('O43493', 'A4D1U4')"
"('Q14872', 'O60684')"
"('P29353', 'P07766')"
"('O43422', 'Q13217')"
"('P26038', 'P61221')"
"('P29401', 'P49773')"
"('Q08379', 'P24863')"
"('O95231', 'Q8N1E2')"
"('Q9Y608', 'Q92997')"
"('P78424', 'O95947')"
"('Q9H2H8', 'P37840')"
"('Q9H267', 'Q9Y5X3')"
"('Q9BUJ2', 'Q9UBU9')"
"('Q7Z3J2', 'Q14258')"
"('Q13133', 'P48552')"
"('Q5TCZ1', 'Q12923')"
"('Q15029', 'O43172')"
"('P06865', 'P06241')"
"('Q99952', 'O43586')"
"('Q99558', 'P50914')"
"('P56589', 'O75381')"
"('P05412', 'P78346')"
"('Q9Y2A9', 'P15391')"
"('Q96GD4', 'P06400')"
"('Q16082', 'Q8IVT2')"
"('P02545', 'Q9GZU8')"
"('Q8N6S5', 'O60493')"
"('P55197', 'P42166')"
"('O75147', 'P10809')"
"('Q8IZR5', 'Q8WVE6')"
"('P62807', 'Q9C0C9')"
"('P22612', 'Q8NH19')"
"('Q16566', 'P14866')"
"('Q4G0J3', 'Q9H5N1')"
"('P43631', 'P01037')"
"('P60520', 'O00422')"
"('Q9Y2V7', 'Q9NRW1')"
"('Q6ZQN5', 'P10253')"
"('P63218', 'P25116')"
"('Q93062', 'Q14511')"
"('P78329', 'P00519')"
"('P25490', 'P01106')"
"('Q9Y2D8', 'O14640')"
"('Q969F0', 'Q9NS64')"
"('O14980', 'Q06330')"
"('P55084', 'Q9H492')"
"('Q12905', 'P33993')"
"('Q13049', 'Q9H270')"
"('P27694', 'Q8TDG4')"
"('Q8N3P4', 'O15198')"
"('P30260', 'Q9NYG5')"
"('Q96EY7', 'Q9UGY1')"
"('P55085', 'O00206')"
"('P00519', 'Q8TB24')"
"('Q8TAC9', 'O43889')"
"('Q07955', 'Q13620')"
"('Q96PM5', 'Q6ZMB5')"
"('Q13616', 'Q15427')"
"('Q96S82', 'Q9UBN7')"
"('Q9NZQ7', 'P83436')"
"('Q13315', 'Q15772')"
"('Q14134', 'P15976')"
"('Q7Z7G1', 'P04626')"
"('Q16630', 'O94913')"
"('P06576', 'Q13526')"
"('P67775', 'Q04206')"
"('P23193', 'P00338')"
"('Q8N4N3', 'Q92905')"
"('P28347', 'P61244')"
"('P60953', 'P33316')"
"('Q9P286', 'Q8IW93')"
"('P60842', 'O43298')"
"('P51991', 'P27694')"
"('Q9NVI7', 'Q9BSJ2')"
"('Q969J2', 'Q8NF99')"
"('P14866', 'Q08211')"
"('P25786', 'Q9HAT0')"
"('Q9H0R8', 'Q9BUJ2')"
"('P78537', 'Q8IZL8')"
"('Q9NXV6', 'P38398')"
"('P04629', 'P21399')"
"('Q13541', 'O43633')"
"('P63000', 'Q9NP84')"
"('Q9NYL9', 'P62993')"
"('Q99832', 'Q9NXB0')"
"('Q8IVT2', 'Q9NQX4')"
"('P78362', 'P30626')"
"('P49642', 'Q9UBU9')"
"('O95149', 'P50542')"
"('Q86UY8', 'Q15717')"
"('P05019', 'P35916')"
"('Q08AG7', 'Q6NZ67')"
"('P61019', 'Q8N5S1')"
"('Q8TF50', 'Q9BZ23')"
"('Q13148', 'P35244')"
"('P83436', 'P24941')"
"('Q99836', 'Q13045')"
"('O77932', 'Q14254')"
"('Q9BRK5', 'Q6NXE6')"
"('Q9NV70', 'Q567U6')"
"('Q00610', 'P55735')"
"('Q9NPC7', 'Q93009')"
"('P31947', 'Q14498')"
"('Q8N1I0', 'P60953')"
"('Q9C0J9', 'P35398')"
"('Q16620', 'Q8WU20')"
"('Q9BRZ2', 'Q15185')"
"('P35346', 'Q5T2W1')"
"('Q9H3G5', 'Q9NSA3')"
"('Q13098', 'Q04206')"
"('O43734', 'Q8NAC3')"
"('P47897', 'P27635')"
"('P49411', 'P35637')"
"('P20340', 'P61019')"
"('Q9BS18', 'O00268')"
"('Q6NUN9', 'P41252')"
"('Q06323', 'P45974')"
"('P14373', 'Q96B02')"
"('Q8N4S9', 'Q9HCE1')"
"('P67809', 'Q12905')"
"('Q16181', 'P11021')"
"('P00505', 'P35637')"
"('Q96A32', 'Q15257')"
"('Q99459', 'Q15233')"
"('P54259', 'Q5JSZ5')"
"('P40306', 'Q15008')"
"('Q9UHL9', 'P52292')"
"('P78371', 'Q3KNV8')"
"('Q99614', 'O60684')"
"('P35228', 'Q99436')"
"('Q5T6F0', 'Q7L5N1')"
"('Q9NUQ8', 'P62380')"
"('Q9Y570', 'P57081')"
"('P08514', 'Q14315')"
"('Q92696', 'Q9UBT2')"
"('Q96BZ8', 'P17661')"
"('Q6UXD5', 'P13051')"
"('Q8IZU0', 'Q9NU23')"
"('P26599', 'P43243')"
"('P40337', 'Q9HCE7')"
"('Q92630', 'Q14195')"
"('P15927', 'O00571')"
"('P28749', 'Q14209')"
"('Q9NX14', 'O75438')"
"('P04271', 'P29218')"
"('P54274', 'P43405')"
"('Q96H22', 'Q8N0S6')"
"('P05067', 'Q86XP3')"
"('P23025', 'P62979')"
"('P12814', 'Q07157')"
"('Q9UBT2', 'Q8TAT6')"
"('Q8NC51', 'P05067')"
"('Q9BV73', 'Q04917')"
"('O95169', 'O95167')"
"('Q9P0T4', 'Q08379')"
"('P53350', 'Q02413')"
"('Q6ZU80', 'Q8N3R9')"
"('P63165', 'P49792')"
"('Q8IUQ4', 'Q14186')"
"('O94966', 'P16455')"
"('P05067', 'O60784')"
"('P50238', 'P60981')"
"('P17658', 'Q15034')"
"('Q9ULK4', 'P23193')"
"('Q9H6U6', 'O43542')"
"('O43298', 'P25800')"
"('Q29RF7', 'Q8N3U4')"
"('Q8NH69', 'Q9P2W3')"
"('Q13541', 'Q9NWZ3')"
"('P62266', 'P08865')"
"('P08779', 'Q7RTS7')"
"('Q14677', 'P60520')"
"('Q15019', 'Q92542')"
"('P08651', 'Q15717')"
"('O94888', 'O43186')"
"('P04075', 'Q13620')"
