negatives
"('O60293', 'Q96PV6')"
"('Q8NHV4', 'Q9Y6R4')"
"('P54920', 'Q7Z478')"
"('Q9Y520', 'Q9NVX0')"
"('Q9NPJ6', 'Q8N684')"
"('P51648', 'O75155')"
"('Q9BZS1', 'P57740')"
"('P10809', 'P10909')"
"('Q92993', 'Q9NRX3')"
"('Q96HF1', 'Q13485')"
"('Q9BY77', 'Q8NI27')"
"('Q15369', 'Q9H765')"
"('O43921', 'Q9UKY1')"
"('Q7Z6Z7', 'Q99832')"
"('P23396', 'Q96GA3')"
"('Q16236', 'P12830')"
"('Q58FF6', 'P60891')"
"('Q96KM6', 'Q16576')"
"('P51504', 'Q7Z3Y8')"
"('Q13950', 'Q9HCE7')"
"('P42166', 'P17931')"
"('Q9UQ88', 'Q9Y6Y0')"
"('Q6NUK1', 'P43657')"
"('P31946', 'Q99959')"
"('Q96EK4', 'Q9NP66')"
"('P20020', 'Q15554')"
"('P05015', 'Q08334')"
"('Q08117', 'P20823')"
"('Q8NGN3', 'P38405')"
"('Q96DZ9', 'O95363')"
"('Q9UBI6', 'Q9NQU5')"
"('Q13618', 'Q92598')"
"('Q8WYA6', 'Q12972')"
"('P46087', 'Q99496')"
"('P49327', 'P55055')"
"('P33316', 'P09972')"
"('Q15599', 'Q3MHD2')"
"('P06493', 'P47736')"
"('P68400', 'P46531')"
"('Q9H582', 'P18146')"
"('Q93034', 'Q9Y4K3')"
"('P55072', 'O43852')"
"('Q9C0B0', 'P20674')"
"('P68104', 'Q09472')"
"('P01889', 'P06748')"
"('P78527', 'P35228')"
"('Q96IQ9', 'O76011')"
"('P00519', 'P34820')"
"('Q9Y4K3', 'Q14257')"
"('Q9UGU0', 'Q01860')"
"('P38398', 'P18846')"
"('Q99496', 'Q8IXK0')"
"('P51617', 'P50402')"
"('Q4G0F5', 'Q5T1M5')"
"('O43820', 'O15244')"
"('P22681', 'P22607')"
"('Q14140', 'Q6ZVH7')"
"('P26368', 'Q13751')"
"('P21741', 'P13591')"
"('Q92585', 'O14980')"
"('Q9NYA3', 'P78362')"
"('Q9BTA9', 'P19012')"
"('Q6PI98', 'Q6ICG8')"
"('P13569', 'P40145')"
"('Q99748', 'P56159')"
"('Q8IX18', 'Q6P5Z2')"
"('P21980', 'P07996')"
"('P05067', 'Q02763')"
"('P61604', 'Q9UI15')"
"('P55084', 'Q9NRD1')"
"('Q13509', 'P51991')"
"('P27037', 'P57105')"
"('Q9Y6H3', 'Q8IVS8')"
"('Q9GZY4', 'Q9UGH3')"
"('Q14344', 'P10911')"
"('Q12986', 'Q9HCE1')"
"('O75582', 'P19419')"
"('O14627', 'P25800')"
"('Q9P2P5', 'Q92598')"
"('Q92630', 'P10071')"
"('P26641', 'P29074')"
"('P47813', 'P09110')"
"('Q16659', 'P0DP24')"
"('Q96R06', 'Q68DK2')"
"('P53597', 'Q7LBR1')"
"('Q7L590', 'Q99459')"
"('O43264', 'Q15714')"
"('Q13315', 'Q969G3')"
"('Q969S9', 'Q15796')"
"('P12956', 'Q9NYL9')"
"('Q7L5N1', 'P15374')"
"('O95757', 'P13798')"
"('Q8N3Y1', 'P25963')"
"('P12004', 'Q9H492')"
"('Q9Y6K9', 'P61586')"
"('Q8IZJ0', 'P24394')"
"('Q8TBZ3', 'P49917')"
"('P35227', 'P40337')"
"('P17405', 'P20073')"
"('Q9NQG5', 'P0CAP2')"
"('Q9UPT9', 'Q86WV6')"
"('O95900', 'P99999')"
"('P0C7U0', 'P01106')"
"('P48643', 'Q13573')"
"('Q00005', 'O14654')"
"('Q9UM73', 'Q13045')"
"('P68104', 'P36578')"
"('P11441', 'P57678')"
"('Q96K19', 'O43900')"
"('O15156', 'Q15014')"
"('P63104', 'P19634')"
"('O75901', 'Q96KQ4')"
"('Q99459', 'Q9NYF8')"
"('P10275', 'P55072')"
"('Q9Y272', 'P09471')"
"('P36952', 'O75815')"
"('P18077', 'P35268')"
"('Q86WX3', 'Q7Z3S9')"
"('Q92830', 'Q9UQR1')"
"('P10275', 'Q9Y675')"
"('O43610', 'O60336')"
"('O43290', 'Q15004')"
"('P01106', 'P40616')"
"('O60671', 'P27694')"
"('P01106', 'Q9Y2C2')"
"('Q9BYR2', 'Q5T753')"
"('Q9NRU3', 'Q93096')"
"('P01889', 'P49411')"
"('P27694', 'O14979')"
"('O43318', 'P62805')"
"('P01106', 'Q9Y5Q9')"
"('Q5JTH9', 'Q92731')"
"('P78368', 'O14640')"
"('P49716', 'Q12899')"
"('P43246', 'P20585')"
"('P29322', 'P20936')"
"('Q9NWU2', 'P06748')"
"('P83916', 'Q9P0T4')"
"('P10275', 'Q99933')"
"('P16389', 'P49069')"
"('P48431', 'Q9HD40')"
"('Q92796', 'Q9NWU5')"
"('O75489', 'Q9UJZ1')"
"('P61927', 'P36578')"
"('O60739', 'P34897')"
"('P61968', 'O76015')"
"('Q1A5X7', 'P15173')"
"('Q15717', 'Q8NBQ5')"
"('P56524', 'O14593')"
"('Q9NWB1', 'Q93062')"
"('P55081', 'O00203')"
"('O75530', 'P22087')"
"('P49821', 'P51665')"
"('Q16512', 'P21731')"
"('Q8N9I9', 'Q5TEU4')"
"('Q9GZZ8', 'Q9HA64')"
"('Q9UKL3', 'P29590')"
"('Q5TC82', 'Q9BRS2')"
"('P54727', 'Q9NQW7')"
"('P55769', 'P05388')"
"('P24928', 'O75717')"
"('O75531', 'Q9H3U7')"
"('Q6P2Q9', 'O75530')"
"('P49917', 'Q9BQI3')"
"('P53539', 'Q9H0I2')"
"('P27708', 'P67870')"
"('Q86V81', 'Q14669')"
"('Q05397', 'Q6S5L8')"
"('P62140', 'P60709')"
"('P40227', 'P23588')"
"('Q5U651', 'Q8N6T3')"
"('O95786', 'Q13283')"
"('Q99689', 'P50454')"
"('Q05513', 'P35580')"
"('Q8IZD9', 'P17081')"
"('Q96SW2', 'P12268')"
"('P43121', 'Q8NB49')"
"('Q13427', 'P17931')"
"('P60709', 'Q9C0B0')"
"('Q96DI7', 'Q9UJV9')"
"('O75828', 'P78545')"
"('Q9BYD6', 'P05067')"
"('P52294', 'Q8NEM7')"
"('Q9Y5Y2', 'Q8IWL3')"
"('P53041', 'Q9Y4P8')"
"('P40227', 'Q15796')"
"('P60328', 'Q96EG3')"
"('Q16659', 'O95714')"
"('P11142', 'Q8TCJ0')"
"('Q9UIV1', 'Q99814')"
"('P11441', 'Q6L8Q7')"
"('P02549', 'A8MYP8')"
"('P04629', 'Q96GA3')"
"('P35637', 'Q9P127')"
"('Q13561', 'P09471')"
"('Q03135', 'P02786')"
"('Q8WYB5', 'Q8IZU2')"
"('Q9H6T3', 'O60308')"
"('P49411', 'Q9GZQ8')"
"('P78362', 'Q9NWB6')"
"('Q92544', 'O14730')"
"('P08047', 'P61073')"
"('P06400', 'Q9BZM1')"
"('P60412', 'Q02930')"
"('P38398', 'Q96S59')"
"('O43583', 'Q15078')"
"('P24385', 'Q14103')"
"('Q96T58', 'Q03181')"
"('P78358', 'Q9UHD9')"
"('P67870', 'P05814')"
"('P46100', 'O75367')"
"('P41223', 'P49716')"
"('Q9Y5J5', 'Q9NYY8')"
"('Q15468', 'Q96JH7')"
"('P62993', 'Q5BJH2')"
"('Q08AD1', 'Q9P2M7')"
"('Q9H871', 'Q4G1C9')"
"('Q8WVP7', 'O95274')"
"('Q9H8M2', 'Q9H2H0')"
"('O43541', 'Q9HAU4')"
"('Q9NRC8', 'P10515')"
"('Q9NUT2', 'P43657')"
"('Q9NRC8', 'P58107')"
"('P42773', 'Q7L5N1')"
"('Q9HCC6', 'O94822')"
"('Q13404', 'O43865')"
"('Q9Y3A4', 'Q9BVP2')"
"('Q9Y2X3', 'O75147')"
"('Q8IZP0', 'Q9BX66')"
"('O00483', 'Q8NBU5')"
"('Q96HY6', 'Q9UGM1')"
"('Q96QD9', 'Q99496')"
"('A6NGB9', 'Q6XZF7')"
"('O94989', 'Q05086')"
"('Q5VT52', 'Q8WVC0')"
"('P04141', 'Q5VWK5')"
"('Q9H019', 'Q9BRK5')"
"('Q13315', 'Q15788')"
"('Q9H492', 'Q15334')"
"('O76081', 'P00519')"
"('Q8TEJ3', 'Q13177')"
"('O15360', 'Q9NW38')"
"('P35998', 'P28062')"
"('Q13501', 'P50542')"
"('P38646', 'Q9UKG9')"
"('P62266', 'Q96L21')"
"('Q9P270', 'O14980')"
"('Q29RF7', 'P15927')"
"('Q9UQ35', 'Q15393')"
"('P13639', 'P37198')"
"('Q9NQ25', 'P20794')"
"('Q16643', 'Q96FS4')"
"('Q07352', 'Q9BSI4')"
"('Q12933', 'Q6ZSB9')"
"('P10644', 'Q9Y297')"
"('Q6V1X1', 'P48061')"
"('P01730', 'P46783')"
"('O14653', 'Q96A25')"
"('P40227', 'Q504Q3')"
"('P35226', 'Q16637')"
"('P29508', 'P20333')"
"('P13196', 'Q96CN5')"
"('Q7Z7A1', 'P00387')"
"('O00716', 'P12004')"
"('Q9NRC8', 'Q9H6F5')"
"('Q96ME7', 'P68431')"
"('P43361', 'Q5JR59')"
"('P53350', 'Q9Y5Q8')"
"('O14744', 'Q14999')"
"('Q7Z569', 'O14920')"
"('P16333', 'Q13285')"
"('Q9UQ35', 'Q92838')"
"('P12931', 'Q92608')"
"('P63104', 'Q9P0K1')"
"('Q9Y4A5', 'Q9NXR8')"
"('Q13535', 'P15924')"
"('P85037', 'O14744')"
"('Q8TAU3', 'Q9BYQ6')"
"('P48426', 'Q96JC9')"
"('Q04323', 'P49411')"
"('P05771', 'Q13009')"
"('Q3V6T2', 'P01889')"
"('Q9UQL6', 'Q7Z2G1')"
"('P10124', 'P13611')"
"('Q13573', 'Q9Y3C6')"
"('Q9UI08', 'P00519')"
"('P62993', 'P48643')"
"('Q16576', 'Q96N64')"
"('Q68CZ1', 'Q15293')"
"('P04637', 'Q9ULJ6')"
"('Q9NYL9', 'P11021')"
"('Q14651', 'Q14004')"
"('Q9Y666', 'Q03431')"
"('P68402', 'Q9Y4K3')"
"('P41091', 'Q14152')"
"('Q92569', 'O00459')"
"('P38398', 'P49959')"
"('Q14315', 'Q9UNM6')"
"('Q14566', 'Q00613')"
"('Q9NYF8', 'Q13769')"
"('P14635', 'P24941')"
"('Q9Y297', 'Q9NPI6')"
"('Q9H0I2', 'O14641')"
"('Q01844', 'Q92841')"
"('Q969J2', 'Q96JS3')"
"('P0DP23', 'P49418')"
"('Q9UMW8', 'O15111')"
"('Q16666', 'Q13206')"
"('P24522', 'P27695')"
"('Q71RC9', 'Q9Y371')"
"('Q8IWL3', 'O95363')"
"('P09455', 'P24385')"
"('Q13309', 'Q9NS23')"
"('Q969R5', 'P49368')"
"('P84243', 'Q12830')"
"('P04629', 'P22694')"
"('P54259', 'Q9NWB1')"
"('O14497', 'Q12824')"
"('O94885', 'P31947')"
"('Q03181', 'Q15466')"
"('O43294', 'P04792')"
"('O14519', 'P18887')"
"('Q9Y450', 'Q13233')"
"('P26038', 'P08567')"
"('P14859', 'P17096')"
"('Q9BXJ9', 'P42224')"
"('Q71U36', 'Q03405')"
"('Q6K0P9', 'P27482')"
"('Q04724', 'P18847')"
"('P30281', 'Q96EV8')"
"('O75880', 'O75251')"
"('P62195', 'P04629')"
"('O75533', 'Q9NYU2')"
"('Q15149', 'Q2TAY7')"
"('P22061', 'P06733')"
"('P35367', 'P50148')"
"('O00299', 'P34130')"
"('Q9UBB9', 'P48668')"
"('Q15622', 'P38405')"
"('P05412', 'O75376')"
"('O14654', 'Q9UM73')"
"('P16144', 'P48736')"
"('Q9BT17', 'O76014')"
"('P61981', 'Q13310')"
"('Q9NZJ7', 'P31040')"
"('Q9UJV9', 'O60506')"
"('P08574', 'O43181')"
"('Q15884', 'P63104')"
"('Q9NX76', 'Q9NZQ7')"
"('P53779', 'Q92934')"
"('O75364', 'P07996')"
"('P27986', 'P25942')"
"('P26583', 'Q15717')"
"('P60604', 'Q9BV40')"
"('P02511', 'Q53QV2')"
"('P62263', 'Q13148')"
"('Q9HC77', 'Q96AC1')"
"('P40337', 'P11021')"
"('Q8WXI9', 'Q9NPG2')"
"('P60866', 'P62753')"
"('P60410', 'P49901')"
"('Q9Y2H9', 'Q8TAG9')"
"('P67870', 'Q9UHY1')"
"('Q9Y286', 'O14543')"
"('Q9BVA1', 'P55072')"
"('P12956', 'Q9H4L7')"
"('P10398', 'Q15599')"
"('P51665', 'P54252')"
"('Q02078', 'Q16695')"
"('Q9C0E2', 'Q96FV9')"
"('O00560', 'P48775')"
"('Q9NQC8', 'Q96AJ1')"
"('P49336', 'P09874')"
"('P84022', 'Q96ST3')"
"('P09661', 'Q6P2Q9')"
"('Q9BV73', 'Q9NQ48')"
"('P61289', 'Q99471')"
"('Q96EA4', 'Q01844')"
"('Q9H0F5', 'Q9H8Y8')"
"('P63218', 'P04899')"
"('O15164', 'P04792')"
"('P07858', 'Q07817')"
"('P59768', 'Q08828')"
"('Q9P2K1', 'Q04917')"
"('Q9C029', 'Q4G0F5')"
"('Q08426', 'O14503')"
"('P24385', 'P17936')"
"('P07237', 'P19784')"
"('Q9H7H0', 'P15408')"
"('O14980', 'Q9UDY8')"
"('Q2TB10', 'Q9H269')"
"('P29372', 'P61604')"
"('Q9NYJ8', 'P62714')"
"('P42345', 'O14980')"
"('O00206', 'Q14011')"
"('P49716', 'Q9Y696')"
"('Q9NVZ3', 'Q9UJY4')"
"('Q9H875', 'P09661')"
"('P36954', 'P53803')"
"('O75934', 'Q15029')"
"('Q96LK0', 'Q9P1Z2')"
"('Q02556', 'P10914')"
"('O43167', 'O43298')"
"('Q9UHR4', 'Q5JU85')"
"('Q15717', 'Q9C0H2')"
"('Q96F81', 'Q9Y6B2')"
"('Q68D86', 'Q9BSW7')"
"('P32121', 'P09496')"
"('Q9BZ95', 'Q13315')"
"('P12004', 'Q9UK53')"
"('O60260', 'P62851')"
"('Q9NWA0', 'Q9Y2X3')"
"('P61758', 'P54105')"
"('P63146', 'Q12888')"
"('Q13315', 'P42684')"
"('Q15717', 'O95747')"
"('P15153', 'Q86VI3')"
"('Q8WUU5', 'Q9HCU9')"
"('P50995', 'Q01844')"
"('Q96G23', 'Q13608')"
"('Q9NQC3', 'O43639')"
"('Q6UUV7', 'P18848')"
"('P27824', 'P43119')"
"('Q92905', 'Q96EP5')"
"('Q9NUG4', 'Q13554')"
"('Q2TAY7', 'Q9UKV3')"
"('P62753', 'Q92905')"
"('Q969G3', 'Q8N0S2')"
"('P23508', 'P17036')"
"('Q02363', 'P45983')"
"('P31946', 'Q8WWI1')"
"('Q8NCD3', 'P06748')"
"('P36941', 'Q9BR77')"
"('Q9Y2D8', 'O14641')"
"('Q9UBS5', 'Q9P2W3')"
"('P15313', 'Q00325')"
"('P36406', 'O95715')"
"('P84103', 'Q504Q3')"
"('P40925', 'Q9H944')"
"('Q8TEX9', 'P52735')"
"('O75439', 'P27448')"
"('P62249', 'P04637')"
"('Q14160', 'Q8TES7')"
"('Q2MKA7', 'O43149')"
"('Q9BTE7', 'O95274')"
"('O15164', 'P49286')"
"('Q15257', 'O96017')"
"('Q9UBS4', 'Q6NUS6')"
"('O14595', 'P10275')"
"('Q15717', 'Q96FB5')"
"('Q6SPF0', 'Q9H8V3')"
"('Q9H2F5', 'Q9NPF5')"
"('P78347', 'Q01844')"
"('P46527', 'P63279')"
"('Q9H8V3', 'P04080')"
"('Q96CS4', 'Q9UGY1')"
"('Q96KR7', 'Q9GZT3')"
"('Q96RT8', 'Q99590')"
"('P67775', 'P78527')"
"('O15541', 'Q14974')"
"('Q15717', 'Q06136')"
"('P15884', 'Q7RTS3')"
"('Q9NR30', 'Q16629')"
"('P38159', 'P32754')"
"('O43439', 'Q13951')"
"('Q9Y240', 'Q9NVF7')"
"('P12956', 'P20936')"
"('Q16659', 'Q99741')"
"('Q14032', 'Q8N726')"
"('Q7L2J0', 'Q16763')"
"('O43184', 'P17936')"
"('Q13286', 'P18085')"
"('P04406', 'P29401')"
"('Q712K3', 'P62258')"
"('Q6ZWI9', 'Q9H8E8')"
"('Q9UKN8', 'Q6NZI2')"
"('P08238', 'P11473')"
"('O14965', 'Q96QR1')"
"('O94822', 'O75365')"
"('P62249', 'P27635')"
"('Q16539', 'P00747')"
"('P55072', 'Q9NVI7')"
"('P32189', 'Q9Y279')"
"('P15259', 'Q8N0Y7')"
"('Q8N5N7', 'Q9NRX2')"
"('P40855', 'Q9NS84')"
"('Q05193', 'Q03135')"
"('Q15058', 'O95425')"
"('Q15051', 'Q71U36')"
"('Q15287', 'Q8NAV1')"
"('P01584', 'Q04864')"
"('P28289', 'P43146')"
"('P45984', 'P19419')"
"('Q96HY6', 'Q86UK5')"
"('P06396', 'Q9UMR2')"
"('Q96H55', 'P42566')"
"('P36776', 'Q16543')"
"('P42677', 'Q92905')"
"('Q9BQY4', 'Q3LI76')"
"('Q8TER5', 'P20366')"
"('P19086', 'O43665')"
"('Q9H4B4', 'P04156')"
"('Q99969', 'P07711')"
"('P42766', 'P42167')"
"('P26641', 'O60832')"
"('O43609', 'Q5T754')"
"('P60369', 'P49910')"
"('P04040', 'Q5JWF2')"
"('Q6P597', 'Q00653')"
"('Q96KW9', 'P04792')"
"('P17980', 'Q15723')"
"('Q8N556', 'P35579')"
"('Q9UNS2', 'Q8WXC6')"
"('Q13557', 'P30084')"
"('P49792', 'Q8TD16')"
"('Q14966', 'Q8TC76')"
"('P42772', 'Q99570')"
"('Q9Y697', 'P09622')"
"('P50991', 'Q9H2J4')"
"('Q8IWJ2', 'P78362')"
"('P68400', 'P12931')"
"('Q96KG7', 'Q8TBE0')"
"('P27824', 'P55072')"
"('Q8N1B4', 'Q53TS8')"
"('Q92522', 'O14862')"
"('Q9UFC0', 'Q9H668')"
"('P23246', 'P08237')"
"('P09874', 'P46063')"
"('P51858', 'P40938')"
"('P49427', 'Q9UKT5')"
"('Q9ULK4', 'P61011')"
"('O75351', 'Q9UBU9')"
"('Q9NUK0', 'P34897')"
"('Q8IUC2', 'P59022')"
"('Q9H492', 'Q86W42')"
"('Q9P2E9', 'Q96EL3')"
"('P62875', 'P12931')"
"('Q9NWT6', 'Q92844')"
"('P05114', 'P09874')"
"('O14980', 'P24385')"
"('Q969M7', 'Q13564')"
"('Q13510', 'O95714')"
"('P00533', 'P62258')"
"('Q8IYI6', 'Q15742')"
"('P17301', 'Q9NVD7')"
"('Q5SSJ5', 'P13473')"
"('Q9H6R6', 'Q9UBU9')"
"('P27105', 'P52272')"
"('Q9H9J2', 'O43688')"
"('Q5JRA6', 'Q15274')"
"('Q8IYX7', 'Q15654')"
"('Q9BRS2', 'Q9H944')"
"('Q9Y262', 'P50570')"
"('Q8WXS3', 'P54253')"
"('Q5JTD0', 'Q9Y570')"
"('O75190', 'P56524')"
"('Q9NU19', 'Q13643')"
"('Q8WUY3', 'P07948')"
"('Q13535', 'Q08211')"
"('Q99442', 'O94766')"
"('P15172', 'O60356')"
"('P34932', 'P53041')"
"('P55316', 'Q9UBW7')"
"('Q15717', 'O43823')"
"('Q8WTT2', 'Q969S3')"
"('P15918', 'Q01196')"
"('P10412', 'Q5TA89')"
"('P60328', 'P17024')"
"('P51148', 'Q15075')"
"('Q96L21', 'P62753')"
"('Q9Y266', 'Q92834')"
"('Q07890', 'P63104')"
"('Q92905', 'P62910')"
"('P50750', 'Q9HAW4')"
"('P15498', 'Q12866')"
"('O75665', 'Q9UPQ9')"
"('Q9BVK6', 'Q8NBM4')"
"('P29350', 'Q8N423')"
"('O14964', 'Q2M2I5')"
"('P14324', 'O14980')"
"('Q9P2E9', 'Q9UKY7')"
"('P04792', 'O94782')"
"('O75351', 'Q9UN37')"
"('Q5S007', 'Q16531')"
"('Q9BY44', 'P41091')"
"('O15381', 'Q00839')"
"('Q9NR30', 'Q15029')"
"('Q969J2', 'Q9NX65')"
"('Q9NQC3', 'P15927')"
"('P42677', 'P46781')"
"('P33316', 'P29401')"
"('Q9HAW0', 'Q8TEX9')"
"('Q8IWB7', 'P07954')"
"('Q96HR8', 'P56134')"
"('Q9H832', 'Q8WU17')"
"('P36542', 'Q00610')"
"('Q9BT40', 'P38936')"
"('Q9BQC6', 'Q9NYK5')"
"('Q9Y4B5', 'Q9Y2K1')"
"('P42568', 'Q9HC52')"
"('P46527', 'P62877')"
"('P33991', 'P11274')"
"('P60520', 'Q6PKG0')"
"('Q13309', 'P78543')"
"('Q99496', 'P60174')"
"('Q16558', 'Q01668')"
"('Q9BZW7', 'Q14D33')"
"('O00358', 'P08651')"
"('Q8TBB1', 'P57058')"
"('P0DPA2', 'P11802')"
"('Q9H0E3', 'Q9Y4A5')"
"('Q13492', 'Q9H4A3')"
"('P31943', 'P49792')"
"('O15169', 'Q15654')"
"('Q8N5Z5', 'Q5VT25')"
"('Q9H0U6', 'Q9BYD6')"
"('Q9UQL6', 'A9YTQ3')"
"('Q13617', 'Q01546')"
"('Q9H4P4', 'Q13049')"
"('O75147', 'Q14684')"
"('P08047', 'P49773')"
"('O75955', 'P05067')"
"('P49759', 'P42167')"
"('Q9NRD5', 'Q9BT17')"
"('Q00613', 'Q15545')"
"('P05023', 'O43181')"
"('P31749', 'Q00653')"
"('Q8IXH7', 'Q8IWL3')"
"('Q15819', 'O75312')"
"('P36873', 'Q9BYB0')"
"('Q8NFX7', 'P60880')"
"('O14901', 'P63104')"
"('O75116', 'Q96C90')"
"('P05067', 'Q9Y275')"
"('P50914', 'Q13823')"
"('P06493', 'P39880')"
"('P14598', 'P17600')"
"('O43920', 'P51148')"
"('Q9NRC1', 'Q86UK5')"
"('Q9UH62', 'P63092')"
"('O75427', 'P60409')"
"('Q8IYD8', 'Q9NVI1')"
"('Q96CS3', 'Q9BQE3')"
"('Q5UIP0', 'Q9UGL9')"
"('Q7Z406', 'Q92731')"
"('P63279', 'Q8NDC0')"
"('Q03113', 'P47712')"
"('Q9HAV4', 'Q9Y2Q3')"
"('Q9Y2I6', 'Q13554')"
"('P02549', 'P10244')"
"('P19447', 'P50613')"
"('Q15717', 'Q6PH81')"
"('O43776', 'Q9H5I1')"
"('P49023', 'P56199')"
"('Q9BZR8', 'Q9NRD5')"
"('Q6ICL3', 'P04406')"
"('P01106', 'Q5HYC2')"
"('P37231', 'Q99612')"
"('A0AVF1', 'Q8IY31')"
"('Q96HS1', 'Q9H0W5')"
"('Q96FW1', 'Q9BSD7')"
"('P27037', 'P12643')"
"('Q8NGJ0', 'P38405')"
"('Q7Z4S6', 'P49368')"
"('Q8N3V7', 'P29692')"
"('Q9H814', 'Q05682')"
"('O43638', 'Q9UJX3')"
"('Q14315', 'Q9BYV2')"
"('O76083', 'Q9H8Y8')"
"('P51659', 'P55211')"
"('P19634', 'O95274')"
"('Q8NEU8', 'Q9Y230')"
"('P03372', 'Q6WCQ1')"
"('Q9Y6C2', 'Q9BXX0')"
"('P62136', 'Q569H4')"
"('P63261', 'P12544')"
"('Q96GM5', 'O94805')"
"('Q99496', 'P56182')"
"('P40925', 'O14745')"
"('Q13619', 'Q93009')"
"('O43143', 'P52756')"
"('P05161', 'Q14938')"
"('P01876', 'P16333')"
"('Q969H0', 'Q4LE39')"
"('P15692', 'P35968')"
"('Q9Y297', 'O15169')"
"('Q13191', 'P43405')"
"('P25788', 'O43251')"
"('Q9UJV9', 'Q5JRX3')"
"('Q13641', 'Q92542')"
"('P55795', 'Q07955')"
"('Q16401', 'Q9UL46')"
"('O14980', 'Q86UU1')"
"('O15111', 'Q9BVC4')"
"('P19320', 'P78344')"
"('Q13129', 'P01112')"
"('Q13315', 'Q15361')"
"('P20248', 'Q00535')"
"('Q9BYQ0', 'Q13432')"
"('P04406', 'Q9H0W5')"
"('Q9UBU9', 'Q8IWZ3')"
"('P16157', 'P36897')"
"('P00533', 'Q13325')"
"('Q96B97', 'P06729')"
"('Q6P3W7', 'O00151')"
"('P16930', 'Q6UY14')"
"('O95139', 'P03886')"
"('P31948', 'Q86UK5')"
"('P35813', 'O95813')"
"('Q96DH6', 'P35226')"
"('Q86X19', 'P46531')"
"('P09874', 'P15923')"
"('P62750', 'P18621')"
"('P30305', 'P61289')"
"('Q3KPI0', 'Q8TB96')"
"('A8MXD5', 'Q0VD86')"
"('Q9NQ11', 'Q9ULB1')"
"('Q32P28', 'Q96HE7')"
"('Q9UKR5', 'P19387')"
"('Q02413', 'P01241')"
"('P78362', 'P58012')"
"('Q63HK5', 'Q13363')"
"('P62993', 'P09622')"
"('Q9BWT7', 'Q63ZY3')"
"('Q86YZ3', 'Q00987')"
"('Q8WZA2', 'Q8WWW0')"
"('Q15811', 'Q96J02')"
"('P61077', 'P46779')"
"('P80370', 'P54826')"
"('P60174', 'P32119')"
"('P22102', 'Q13618')"
"('Q04864', 'P25791')"
"('P12931', 'Q03135')"
"('Q8N6N6', 'Q12933')"
"('Q9NRQ2', 'Q96GS6')"
"('Q9Y383', 'P17844')"
"('P60520', 'Q01484')"
"('P31948', 'Q96DH6')"
"('Q9Y230', 'P02751')"
"('P62837', 'Q969M7')"
"('Q9NY25', 'Q5HYI7')"
"('P00533', 'P04181')"
"('P00533', 'Q99933')"
"('Q49AM3', 'P01116')"
"('P38919', 'P08579')"
"('Q9Y3A3', 'O60383')"
"('P78364', 'P62807')"
"('Q3ZAQ7', 'Q6NUS6')"
"('P83916', 'O75461')"
"('Q49A26', 'Q9NVP1')"
"('Q96RK0', 'P53350')"
"('Q92597', 'Q9Y6Q5')"
"('Q13227', 'O43482')"
"('O00469', 'Q9UIA9')"
"('Q96QD9', 'Q9UNN8')"
"('P57796', 'O60840')"
"('P31939', 'P27105')"
"('Q92622', 'Q8NEB9')"
"('Q6UB98', 'Q9H4G4')"
"('P36941', 'Q13077')"
"('Q9Y3U8', 'P62857')"
"('A6NHG4', 'O15212')"
"('P0C0S8', 'P33778')"
"('Q13573', 'Q96QD9')"
"('P62829', 'Q15050')"
"('P01106', 'Q9Y6M1')"
"('P46934', 'Q14524')"
"('P35609', 'Q01668')"
"('P15884', 'O96019')"
"('Q08499', 'Q02952')"
"('P63208', 'Q9UBF1')"
"('Q13347', 'P47813')"
"('Q13465', 'O43463')"
"('Q6VAB6', 'Q02750')"
"('O95155', 'O60232')"
"('Q9Y3E5', 'Q08117')"
"('Q9NUG6', 'Q96JK2')"
"('Q8IY57', 'P61244')"
"('Q9P2Z0', 'P60411')"
"('P63220', 'Q92905')"
"('P38646', 'Q15750')"
"('Q9BVT8', 'P05067')"
"('P11274', 'Q15185')"
"('Q96PU5', 'O14668')"
"('P62820', 'Q9UJZ1')"
"('P05386', 'P35637')"
"('P06753', 'Q5VTR2')"
"('Q14498', 'Q9Y468')"
"('Q8NHW3', 'Q13562')"
"('Q14839', 'Q9UBB5')"
"('P62875', 'P0CAP1')"
"('Q9H3S7', 'O60610')"
"('P30050', 'P18077')"
"('O95718', 'P62879')"
"('P35240', 'P50914')"
"('Q9Y3C0', 'P37198')"
"('O95201', 'Q63HR2')"
"('P01106', 'Q9NP97')"
"('Q14653', 'P01568')"
"('P61289', 'Q9P2Z0')"
"('P07195', 'P26583')"
"('O75334', 'Q86W92')"
"('Q15654', 'P48380')"
"('P01106', 'P51553')"
"('Q6R327', 'P62829')"
"('Q15717', 'Q96M27')"
"('Q6PKG0', 'Q9H9Z2')"
"('O96008', 'Q9Y6K0')"
"('Q8TAP6', 'P11021')"
"('Q14192', 'P11831')"
"('Q08379', 'O00311')"
"('Q15011', 'Q9H0E2')"
"('Q8IWI9', 'Q6ZWI9')"
"('Q8IXI1', 'Q9NZ01')"
"('O15226', 'P19838')"
"('P21917', 'P50151')"
"('P62079', 'Q9NRZ7')"
"('P57081', 'P13716')"
"('P60411', 'Q92835')"
"('Q96JB2', 'Q14746')"
"('Q8IX03', 'Q9NRM7')"
"('Q13007', 'Q99665')"
"('O43291', 'P23258')"
