negatives
"frozenset({'TGFbetaReceptor', 'P30443', 'Q6AZY7'})"
"frozenset({'TGFbetaReceptor', 'Q96CW5', 'P08238'})"
"frozenset({'Q9H6R7', 'TGFbetaReceptor', 'P63172'})"
"frozenset({'TGFbetaReceptor', 'Q8WUM4', 'Q9NZM3'})"
"frozenset({'Q96JK2', 'P61758', 'TGFbetaReceptor'})"
"frozenset({'Q14157', 'TGFbetaReceptor', 'P63027'})"
"frozenset({'Q9BWJ5', 'Q96F63', 'TGFbetaReceptor'})"
"frozenset({'Q9NRD1', 'P60891', 'TGFbetaReceptor'})"
"frozenset({'Q15717', 'Q8IYN2', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P09622', 'P07954'})"
"frozenset({'P40617', 'Q2TAC2', 'TGFbetaReceptor'})"
"frozenset({'O75665', 'P52209', 'TGFbetaReceptor'})"
"frozenset({'P07199', 'Q9HC52', 'TGFbetaReceptor'})"
"frozenset({'P63261', 'TGFbetaReceptor', 'P02751'})"
"frozenset({'P32754', 'P38936', 'TGFbetaReceptor'})"
"frozenset({'P19387', 'TGFbetaReceptor', 'P18615'})"
"frozenset({'P51170', 'Q9Y6Q5', 'TGFbetaReceptor'})"
"frozenset({'P35232', 'P51572', 'TGFbetaReceptor'})"
"frozenset({'P22626', 'Q96CS2', 'TGFbetaReceptor'})"
"frozenset({'P18146', 'O75937', 'TGFbetaReceptor'})"
"frozenset({'Q14596', 'Q9NYZ3', 'TGFbetaReceptor'})"
"frozenset({'Q9UBK2', 'O75925', 'TGFbetaReceptor'})"
"frozenset({'Q9Y478', 'TGFbetaReceptor', 'O00764'})"
"frozenset({'O43741', 'Q9P2W3', 'TGFbetaReceptor'})"
"frozenset({'Q13416', 'P13500', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9NQZ2', 'Q13748'})"
"frozenset({'P32121', 'Q8NGT7', 'TGFbetaReceptor'})"
"frozenset({'O00329', 'P17948', 'TGFbetaReceptor'})"
"frozenset({'Q96DV4', 'P09001', 'TGFbetaReceptor'})"
"frozenset({'Q9NRR4', 'P04637', 'TGFbetaReceptor'})"
"frozenset({'Q8WUM0', 'Q16666', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9P2T0', 'P48643'})"
"frozenset({'Q12905', 'TGFbetaReceptor', 'P49770'})"
"frozenset({'TGFbetaReceptor', 'P61326', 'P16989'})"
"frozenset({'Q05193', 'P27986', 'TGFbetaReceptor'})"
"frozenset({'O75306', 'Q9UI09', 'TGFbetaReceptor'})"
"frozenset({'Q3LI76', 'P59990', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P49368', 'Q14164'})"
"frozenset({'O95166', 'P46087', 'TGFbetaReceptor'})"
"frozenset({'Q14978', 'P22087', 'TGFbetaReceptor'})"
"frozenset({'P05141', 'Q13148', 'TGFbetaReceptor'})"
"frozenset({'P38919', 'Q13523', 'TGFbetaReceptor'})"
"frozenset({'Q5SVS4', 'P35613', 'TGFbetaReceptor'})"
"frozenset({'P37198', 'P52292', 'TGFbetaReceptor'})"
"frozenset({'P31946', 'P85037', 'TGFbetaReceptor'})"
"frozenset({'Q9ULZ3', 'TGFbetaReceptor', 'Q86W26'})"
"frozenset({'P24928', 'O60563', 'TGFbetaReceptor'})"
"frozenset({'Q9NQG5', 'A5D8V6', 'TGFbetaReceptor'})"
"frozenset({'Q13642', 'Q5VU43', 'TGFbetaReceptor'})"
"frozenset({'Q15238', 'O75400', 'TGFbetaReceptor'})"
"frozenset({'P57078', 'Q9BUF5', 'TGFbetaReceptor'})"
"frozenset({'P41218', 'P16104', 'TGFbetaReceptor'})"
"frozenset({'Q6Y7W6', 'Q8TAP6', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P10451', 'Q9NZI2'})"
"frozenset({'P37840', 'TGFbetaReceptor', 'P49841'})"
"frozenset({'Q9Y4B4', 'Q8IUQ4', 'TGFbetaReceptor'})"
"frozenset({'P57076', 'P17900', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O14745', 'P15923'})"
"frozenset({'Q8IYF3', 'O95715', 'TGFbetaReceptor'})"
"frozenset({'P31947', 'P12268', 'TGFbetaReceptor'})"
"frozenset({'P78362', 'Q9P2R3', 'TGFbetaReceptor'})"
"frozenset({'P02511', 'P55036', 'TGFbetaReceptor'})"
"frozenset({'P17947', 'Q03060', 'TGFbetaReceptor'})"
"frozenset({'Q14999', 'Q9UBS4', 'TGFbetaReceptor'})"
"frozenset({'O75477', 'Q12982', 'TGFbetaReceptor'})"
"frozenset({'Q13547', 'Q9H3M7', 'TGFbetaReceptor'})"
"frozenset({'Q9HC77', 'TGFbetaReceptor', 'Q8NDV7'})"
"frozenset({'Q05209', 'P06239', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O15119', 'P86480'})"
"frozenset({'Q9BUJ2', 'O43670', 'TGFbetaReceptor'})"
"frozenset({'Q6UWE0', 'Q9Y577', 'TGFbetaReceptor'})"
"frozenset({'Q9BTV4', 'Q16666', 'TGFbetaReceptor'})"
"frozenset({'Q9Y2U9', 'Q9BWP8', 'TGFbetaReceptor'})"
"frozenset({'O75718', 'Q15527', 'TGFbetaReceptor'})"
"frozenset({'Q9P2W3', 'A6NDL8', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q92905', 'P31943'})"
