negatives
"frozenset({'Q9UPM8', 'O60308', 'TGFbetaReceptor'})"
"frozenset({'O60266', 'Q8TD86', 'TGFbetaReceptor'})"
"frozenset({'O14818', 'O15503', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q12834', 'Q9UM13'})"
"frozenset({'Q96QK1', 'TGFbetaReceptor', 'O95801'})"
"frozenset({'Q96SB8', 'P24043', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q86VQ0', 'Q9UBB9'})"
"frozenset({'Q9H0R8', 'P36542', 'TGFbetaReceptor'})"
"frozenset({'P22694', 'TGFbetaReceptor', 'Q8NGD1'})"
"frozenset({'Q9GZY6', 'P15498', 'TGFbetaReceptor'})"
"frozenset({'P16885', 'Q3MJ16', 'TGFbetaReceptor'})"
"frozenset({'P01909', 'TGFbetaReceptor', 'O60906'})"
"frozenset({'TGFbetaReceptor', 'Q7Z4V5', 'Q9P267'})"
"frozenset({'Q6ZQN5', 'P04628', 'TGFbetaReceptor'})"
"frozenset({'P23396', 'O95503', 'TGFbetaReceptor'})"
"frozenset({'P51685', 'P80098', 'TGFbetaReceptor'})"
"frozenset({'P04629', 'Q9BZK7', 'TGFbetaReceptor'})"
"frozenset({'Q9H251', 'TGFbetaReceptor', 'Q9HD26'})"
"frozenset({'TGFbetaReceptor', 'Q9UHY1', 'P04183'})"
"frozenset({'Q8IZ07', 'Q15884', 'TGFbetaReceptor'})"
"frozenset({'P42892', 'TGFbetaReceptor', 'P51571'})"
"frozenset({'P27708', 'P43686', 'TGFbetaReceptor'})"
"frozenset({'O76011', 'Q15915', 'TGFbetaReceptor'})"
"frozenset({'Q08117', 'O15320', 'TGFbetaReceptor'})"
"frozenset({'Q9H4L4', 'TGFbetaReceptor', 'Q05086'})"
"frozenset({'P56545', 'Q9Y2W7', 'TGFbetaReceptor'})"
"frozenset({'O00231', 'Q96LA8', 'TGFbetaReceptor'})"
"frozenset({'A6NCN2', 'P42229', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P21246', 'P01040'})"
"frozenset({'O15519', 'Q99558', 'TGFbetaReceptor'})"
"frozenset({'P23508', 'O00487', 'TGFbetaReceptor'})"
"frozenset({'P23508', 'TGFbetaReceptor', 'P50570'})"
"frozenset({'P08648', 'O14495', 'TGFbetaReceptor'})"
"frozenset({'Q9NR12', 'P04899', 'TGFbetaReceptor'})"
"frozenset({'P50222', 'P61952', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q8TDN6', 'P62277'})"
"frozenset({'P34897', 'Q03181', 'TGFbetaReceptor'})"
"frozenset({'P16234', 'Q86SQ0', 'TGFbetaReceptor'})"
"frozenset({'O00483', 'P12074', 'TGFbetaReceptor'})"
"frozenset({'P33176', 'Q96EV8', 'TGFbetaReceptor'})"
"frozenset({'Q08379', 'Q9UKT9', 'TGFbetaReceptor'})"
"frozenset({'P11940', 'Q12986', 'TGFbetaReceptor'})"
"frozenset({'Q9Y5Y7', 'Q7Z3S9', 'TGFbetaReceptor'})"
"frozenset({'P60763', 'O60716', 'TGFbetaReceptor'})"
"frozenset({'O14746', 'P48200', 'TGFbetaReceptor'})"
"frozenset({'Q92508', 'Q9P0L0', 'TGFbetaReceptor'})"
"frozenset({'P01106', 'Q9Y6G9', 'TGFbetaReceptor'})"
"frozenset({'P08238', 'TGFbetaReceptor', 'Q13555'})"
"frozenset({'Q6ZVM7', 'Q14657', 'TGFbetaReceptor'})"
"frozenset({'P07237', 'Q9H1Y0', 'TGFbetaReceptor'})"
"frozenset({'P09651', 'TGFbetaReceptor', 'Q9NPE2'})"
"frozenset({'P49795', 'TGFbetaReceptor', 'P09471'})"
"frozenset({'P01567', 'TGFbetaReceptor', 'Q92985'})"
"frozenset({'P42696', 'Q8IXZ2', 'TGFbetaReceptor'})"
"frozenset({'P05067', 'Q0D2K3', 'TGFbetaReceptor'})"
"frozenset({'O00411', 'TGFbetaReceptor', 'Q5U5Q3'})"
"frozenset({'Q9UI09', 'P51970', 'TGFbetaReceptor'})"
"frozenset({'Q9BUN8', 'P39687', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O00267', 'P06733'})"
"frozenset({'Q8IZP0', 'P46013', 'TGFbetaReceptor'})"
"frozenset({'Q13263', 'Q13398', 'TGFbetaReceptor'})"
"frozenset({'P49406', 'TGFbetaReceptor', 'Q969Q1'})"
"frozenset({'O60361', 'Q8NGT1', 'TGFbetaReceptor'})"
"frozenset({'Q12800', 'Q96AH0', 'TGFbetaReceptor'})"
"frozenset({'P16871', 'P01570', 'TGFbetaReceptor'})"
"frozenset({'Q96P70', 'P04843', 'TGFbetaReceptor'})"
"frozenset({'Q9Y6F9', 'O95813', 'TGFbetaReceptor'})"
"frozenset({'Q09472', 'Q99081', 'TGFbetaReceptor'})"
"frozenset({'Q9BT25', 'Q96HA8', 'TGFbetaReceptor'})"
"frozenset({'Q9BY11', 'Q68EM7', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P62888', 'P62277'})"
"frozenset({'P19320', 'P60660', 'TGFbetaReceptor'})"
"frozenset({'Q9BQI3', 'O00203', 'TGFbetaReceptor'})"
"frozenset({'Q15742', 'TGFbetaReceptor', 'Q9NZD8'})"
"frozenset({'Q9NXJ0', 'Q9Y342', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P49917', 'Q9P0J0'})"
"frozenset({'Q96HT8', 'Q8TC20', 'TGFbetaReceptor'})"
"frozenset({'P09651', 'P06576', 'TGFbetaReceptor'})"
"frozenset({'Q9Y5Y0', 'O95274', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q96DI7', 'P05412'})"
"frozenset({'Q96F85', 'Q9NXV2', 'TGFbetaReceptor'})"
"frozenset({'P20042', 'Q9UKD2', 'TGFbetaReceptor'})"
"frozenset({'P46778', 'P62979', 'TGFbetaReceptor'})"
"frozenset({'P61158', 'O43399', 'TGFbetaReceptor'})"
"frozenset({'P49736', 'Q8WYH8', 'TGFbetaReceptor'})"
"frozenset({'Q8N3C0', 'P12757', 'TGFbetaReceptor'})"
"frozenset({'Q99459', 'P49959', 'TGFbetaReceptor'})"
"frozenset({'P11940', 'Q14106', 'TGFbetaReceptor'})"
"frozenset({'Q9BWD3', 'TGFbetaReceptor', 'Q9UMX0'})"
"frozenset({'Q9UKV8', 'P62269', 'TGFbetaReceptor'})"
"frozenset({'P57081', 'Q9NR09', 'TGFbetaReceptor'})"
"frozenset({'Q96D46', 'Q9Y2X3', 'TGFbetaReceptor'})"
"frozenset({'Q96RY7', 'Q8NEZ3', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9Y3M2', 'P55196'})"
"frozenset({'Q8WZ74', 'P40227', 'TGFbetaReceptor'})"
"frozenset({'Q15154', 'Q9P2B7', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O75360', 'Q6P3W2'})"
"frozenset({'Q13148', 'P62917', 'TGFbetaReceptor'})"
"frozenset({'Q01664', 'Q13838', 'TGFbetaReceptor'})"
"frozenset({'O60674', 'P51684', 'TGFbetaReceptor'})"
"frozenset({'Q96EZ8', 'P46087', 'TGFbetaReceptor'})"
"frozenset({'Q9NPJ1', 'O96006', 'TGFbetaReceptor'})"
"frozenset({'O95139', 'P37840', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P63267', 'P22681'})"
"frozenset({'O00716', 'Q9H211', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P51668', 'P49841'})"
"frozenset({'P62714', 'Q5BJD5', 'TGFbetaReceptor'})"
"frozenset({'P62987', 'P05387', 'TGFbetaReceptor'})"
"frozenset({'Q8WYH8', 'TGFbetaReceptor', 'Q8N5R6'})"
"frozenset({'Q9UHD9', 'TGFbetaReceptor', 'Q12864'})"
"frozenset({'Q9NP66', 'TGFbetaReceptor', 'Q96C24'})"
"frozenset({'P50990', 'P60900', 'TGFbetaReceptor'})"
"frozenset({'Q6ZRS2', 'Q9P2P5', 'TGFbetaReceptor'})"
"frozenset({'Q15637', 'P48200', 'TGFbetaReceptor'})"
"frozenset({'Q8IWL3', 'Q96AB3', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P03950', 'P13489'})"
"frozenset({'TGFbetaReceptor', 'O00541', 'Q9NVP1'})"
"frozenset({'P0CAP1', 'TGFbetaReceptor', 'Q9NQG5'})"
"frozenset({'O75330', 'P55290', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P00492', 'O60921'})"
"frozenset({'TGFbetaReceptor', 'P62714', 'P46531'})"
"frozenset({'P17980', 'P41250', 'TGFbetaReceptor'})"
"frozenset({'Q16082', 'Q14119', 'TGFbetaReceptor'})"
"frozenset({'P09651', 'P04264', 'TGFbetaReceptor'})"
"frozenset({'Q00526', 'Q58FF6', 'TGFbetaReceptor'})"
"frozenset({'P05198', 'Q13347', 'TGFbetaReceptor'})"
"frozenset({'P15880', 'Q14999', 'TGFbetaReceptor'})"
"frozenset({'P13473', 'P68363', 'TGFbetaReceptor'})"
"frozenset({'Q9UK99', 'Q15843', 'TGFbetaReceptor'})"
"frozenset({'P51148', 'Q8NEU8', 'TGFbetaReceptor'})"
"frozenset({'P19438', 'O43318', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P11473', 'P48552'})"
"frozenset({'Q9HAV0', 'Q9H1C0', 'TGFbetaReceptor'})"
"frozenset({'Q15560', 'P38919', 'TGFbetaReceptor'})"
"frozenset({'Q96QB1', 'P28749', 'TGFbetaReceptor'})"
"frozenset({'Q7L5N1', 'Q15102', 'TGFbetaReceptor'})"
"frozenset({'A9YTQ3', 'TGFbetaReceptor', 'Q9UQL6'})"
"frozenset({'P51504', 'TGFbetaReceptor', 'O60216'})"
"frozenset({'P23560', 'P09619', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q15836', 'Q5SQN1'})"
"frozenset({'P12755', 'P49368', 'TGFbetaReceptor'})"
"frozenset({'Q3B726', 'Q9Y466', 'TGFbetaReceptor'})"
"frozenset({'P60660', 'TGFbetaReceptor', 'P63000'})"
"frozenset({'P06493', 'P10244', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q8IZU0', 'Q14CZ7'})"
"frozenset({'P62079', 'Q8WY22', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q92830', 'P35222'})"
"frozenset({'Q14978', 'O00422', 'TGFbetaReceptor'})"
"frozenset({'P30153', 'TGFbetaReceptor', 'P11498'})"
"frozenset({'Q9H5V8', 'P12931', 'TGFbetaReceptor'})"
"frozenset({'Q96GD4', 'P46013', 'TGFbetaReceptor'})"
"frozenset({'Q02930', 'Q9BZL6', 'TGFbetaReceptor'})"
"frozenset({'P49736', 'P0DMV8', 'TGFbetaReceptor'})"
"frozenset({'Q16594', 'TGFbetaReceptor', 'P68431'})"
"frozenset({'P83916', 'O00629', 'TGFbetaReceptor'})"
"frozenset({'Q9NRD1', 'TGFbetaReceptor', 'Q13509'})"
"frozenset({'Q6ZVZ8', 'O14639', 'TGFbetaReceptor'})"
"frozenset({'Q13620', 'P35523', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q96C92', 'Q4G0F5'})"
"frozenset({'TGFbetaReceptor', 'Q10471', 'O43493'})"
"frozenset({'O14980', 'TGFbetaReceptor', 'Q6GQQ9'})"
"frozenset({'P40763', 'TGFbetaReceptor', 'P15529'})"
"frozenset({'Q9Y6Y9', 'Q14011', 'TGFbetaReceptor'})"
"frozenset({'P60520', 'O95670', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P04626', 'Q68CZ2'})"
"frozenset({'O15344', 'P26367', 'TGFbetaReceptor'})"
"frozenset({'Q8WU90', 'O14980', 'TGFbetaReceptor'})"
"frozenset({'Q96PK6', 'Q99496', 'TGFbetaReceptor'})"
"frozenset({'Q15750', 'P32121', 'TGFbetaReceptor'})"
"frozenset({'P50990', 'P0C5J1', 'TGFbetaReceptor'})"
"frozenset({'Q96EG3', 'Q96BR9', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O14964', 'P49418'})"
"frozenset({'Q99933', 'TGFbetaReceptor', 'Q9UNE7'})"
"frozenset({'P50548', 'Q6UX06', 'TGFbetaReceptor'})"
"frozenset({'Q9BRX5', 'O15067', 'TGFbetaReceptor'})"
"frozenset({'Q86TI2', 'Q08495', 'TGFbetaReceptor'})"
"frozenset({'Q9H6L4', 'O14964', 'TGFbetaReceptor'})"
"frozenset({'P60568', 'Q9UKT9', 'TGFbetaReceptor'})"
"frozenset({'O60885', 'P10415', 'TGFbetaReceptor'})"
"frozenset({'Q02543', 'P42677', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q5T5S1', 'Q99750'})"
"frozenset({'P61289', 'P17029', 'TGFbetaReceptor'})"
"frozenset({'Q9Y698', 'Q15375', 'TGFbetaReceptor'})"
"frozenset({'P46109', 'Q13191', 'TGFbetaReceptor'})"
"frozenset({'Q2NL68', 'Q9Y2I6', 'TGFbetaReceptor'})"
"frozenset({'P17482', 'Q9BQG0', 'TGFbetaReceptor'})"
"frozenset({'P01106', 'Q16540', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O14976', 'Q09019'})"
"frozenset({'Q13618', 'P42766', 'TGFbetaReceptor'})"
"frozenset({'Q15013', 'P21246', 'TGFbetaReceptor'})"
"frozenset({'Q00613', 'Q8IV03', 'TGFbetaReceptor'})"
"frozenset({'P35626', 'Q8NGY5', 'TGFbetaReceptor'})"
"frozenset({'O15355', 'P04637', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q6UX06', 'Q9HBH1'})"
"frozenset({'TGFbetaReceptor', 'Q8IX04', 'Q9HCN8'})"
"frozenset({'P10599', 'Q01860', 'TGFbetaReceptor'})"
"frozenset({'O14757', 'Q32P44', 'TGFbetaReceptor'})"
"frozenset({'P41597', 'Q8N104', 'TGFbetaReceptor'})"
"frozenset({'P61353', 'P62273', 'TGFbetaReceptor'})"
"frozenset({'Q13277', 'O95721', 'TGFbetaReceptor'})"
"frozenset({'P09874', 'P11387', 'TGFbetaReceptor'})"
"frozenset({'Q9Y490', 'Q9BWF3', 'TGFbetaReceptor'})"
"frozenset({'Q5T200', 'Q71SY5', 'TGFbetaReceptor'})"
"frozenset({'P53041', 'TGFbetaReceptor', 'P08238'})"
"frozenset({'Q13895', 'Q9UJV3', 'TGFbetaReceptor'})"
"frozenset({'Q13451', 'P00533', 'TGFbetaReceptor'})"
"frozenset({'Q9Y4C4', 'P01106', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q13617', 'Q14568'})"
"frozenset({'P20226', 'P41235', 'TGFbetaReceptor'})"
"frozenset({'P53708', 'P21815', 'TGFbetaReceptor'})"
"frozenset({'O75251', 'Q9NPL8', 'TGFbetaReceptor'})"
"frozenset({'Q13547', 'TGFbetaReceptor', 'P35638'})"
"frozenset({'Q92785', 'P46937', 'TGFbetaReceptor'})"
"frozenset({'A8MQ03', 'Q6VB84', 'TGFbetaReceptor'})"
"frozenset({'Q7KZF4', 'TGFbetaReceptor', 'Q8N653'})"
"frozenset({'Q9H1I8', 'Q9UNN5', 'TGFbetaReceptor'})"
"frozenset({'Q99665', 'TGFbetaReceptor', 'P0DML3'})"
"frozenset({'O95400', 'O43865', 'TGFbetaReceptor'})"
"frozenset({'P08588', 'P63096', 'TGFbetaReceptor'})"
"frozenset({'P62158', 'P63104', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O00267', 'P21580'})"
"frozenset({'O95467', 'Q8NI27', 'TGFbetaReceptor'})"
"frozenset({'P53602', 'P32456', 'TGFbetaReceptor'})"
"frozenset({'Q9NUJ3', 'Q9H190', 'TGFbetaReceptor'})"
"frozenset({'Q13418', 'P53985', 'TGFbetaReceptor'})"
"frozenset({'Q9NPJ6', 'Q9NVX0', 'TGFbetaReceptor'})"
"frozenset({'Q92609', 'Q9H492', 'TGFbetaReceptor'})"
"frozenset({'Q92542', 'P49755', 'TGFbetaReceptor'})"
"frozenset({'P61978', 'Q13813', 'TGFbetaReceptor'})"
"frozenset({'Q16637', 'Q9BVV2', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q8NG27', 'Q14807'})"
"frozenset({'P11441', 'Q9UKY7', 'TGFbetaReceptor'})"
"frozenset({'P11142', 'Q9UBS0', 'TGFbetaReceptor'})"
"frozenset({'O76093', 'Q02763', 'TGFbetaReceptor'})"
"frozenset({'P43353', 'P60328', 'TGFbetaReceptor'})"
"frozenset({'Q96FJ0', 'Q8IWV1', 'TGFbetaReceptor'})"
"frozenset({'Q8WX92', 'TGFbetaReceptor', 'P18615'})"
"frozenset({'Q04206', 'O95365', 'TGFbetaReceptor'})"
"frozenset({'P08069', 'O43320', 'TGFbetaReceptor'})"
"frozenset({'O94880', 'P14921', 'TGFbetaReceptor'})"
"frozenset({'P62873', 'Q96R09', 'TGFbetaReceptor'})"
"frozenset({'P35222', 'TGFbetaReceptor', 'P25445'})"
"frozenset({'Q9NUX5', 'Q9BR01', 'TGFbetaReceptor'})"
"frozenset({'P63165', 'TGFbetaReceptor', 'P22694'})"
"frozenset({'Q9BRJ6', 'Q92905', 'TGFbetaReceptor'})"
"frozenset({'Q13568', 'Q9Y618', 'TGFbetaReceptor'})"
"frozenset({'P12268', 'TGFbetaReceptor', 'P40337'})"
"frozenset({'P07951', 'P60660', 'TGFbetaReceptor'})"
"frozenset({'P42677', 'Q16543', 'TGFbetaReceptor'})"
"frozenset({'Q8IWZ5', 'TGFbetaReceptor', 'P08151'})"
"frozenset({'O43314', 'TGFbetaReceptor', 'Q6I9Y2'})"
"frozenset({'Q6IQ23', 'Q86UF1', 'TGFbetaReceptor'})"
"frozenset({'Q12765', 'P31150', 'TGFbetaReceptor'})"
"frozenset({'Q13976', 'TGFbetaReceptor', 'A8MYU2'})"
"frozenset({'O75795', 'P78527', 'TGFbetaReceptor'})"
"frozenset({'P60520', 'Q9HCC0', 'TGFbetaReceptor'})"
"frozenset({'Q13427', 'Q13315', 'TGFbetaReceptor'})"
"frozenset({'P48729', 'O75581', 'TGFbetaReceptor'})"
"frozenset({'O95467', 'TGFbetaReceptor', 'P50150'})"
"frozenset({'Q9H788', 'P62993', 'TGFbetaReceptor'})"
"frozenset({'Q9NZI8', 'Q9GZQ8', 'TGFbetaReceptor'})"
"frozenset({'Q8WXH6', 'Q5U5X0', 'TGFbetaReceptor'})"
"frozenset({'Q9UBU9', 'Q6NSJ5', 'TGFbetaReceptor'})"
"frozenset({'Q7Z3B4', 'TGFbetaReceptor', 'Q5JUK2'})"
"frozenset({'P06865', 'P31150', 'TGFbetaReceptor'})"
"frozenset({'P09067', 'Q9UNN8', 'TGFbetaReceptor'})"
"frozenset({'P50613', 'Q58FF7', 'TGFbetaReceptor'})"
"frozenset({'Q9Y2T4', 'P31751', 'TGFbetaReceptor'})"
"frozenset({'Q96C28', 'P30414', 'TGFbetaReceptor'})"
"frozenset({'Q9HCE1', 'Q08117', 'TGFbetaReceptor'})"
"frozenset({'Q9BXP5', 'P49450', 'TGFbetaReceptor'})"
"frozenset({'Q16665', 'P40818', 'TGFbetaReceptor'})"
"frozenset({'P08887', 'P40189', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q8N448', 'Q92530'})"
"frozenset({'P61020', 'Q01968', 'TGFbetaReceptor'})"
"frozenset({'P10721', 'TGFbetaReceptor', 'P16333'})"
"frozenset({'Q9UL18', 'O43143', 'TGFbetaReceptor'})"
"frozenset({'Q9Y4B6', 'Q9H492', 'TGFbetaReceptor'})"
"frozenset({'P33240', 'P26641', 'TGFbetaReceptor'})"
"frozenset({'Q99828', 'Q08209', 'TGFbetaReceptor'})"
"frozenset({'Q00839', 'Q13601', 'TGFbetaReceptor'})"
"frozenset({'P49761', 'O00560', 'TGFbetaReceptor'})"
"frozenset({'P02794', 'P0DPB3', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P12235', 'P24941'})"
"frozenset({'Q9Y4K3', 'Q8TBB1', 'TGFbetaReceptor'})"
"frozenset({'P08514', 'P07996', 'TGFbetaReceptor'})"
"frozenset({'P62979', 'Q86VN1', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q99496', 'O15391'})"
"frozenset({'O14639', 'Q14500', 'TGFbetaReceptor'})"
"frozenset({'Q9Y5X1', 'TGFbetaReceptor', 'Q8TES7'})"
"frozenset({'P22612', 'TGFbetaReceptor', 'P54284'})"
"frozenset({'P27361', 'Q12772', 'TGFbetaReceptor'})"
"frozenset({'Q15717', 'O75319', 'TGFbetaReceptor'})"
"frozenset({'Q9NW13', 'P03372', 'TGFbetaReceptor'})"
"frozenset({'Q14978', 'P05067', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q96LZ3', 'Q9UM13'})"
"frozenset({'P60484', 'P05166', 'TGFbetaReceptor'})"
"frozenset({'P06493', 'Q07820', 'TGFbetaReceptor'})"
"frozenset({'P16188', 'Q8N423', 'TGFbetaReceptor'})"
"frozenset({'P42338', 'P43403', 'TGFbetaReceptor'})"
"frozenset({'P63151', 'Q9Y698', 'TGFbetaReceptor'})"
"frozenset({'Q9Y2S7', 'TGFbetaReceptor', 'Q9NX40'})"
"frozenset({'O95140', 'Q8IWL3', 'TGFbetaReceptor'})"
"frozenset({'P17612', 'P07949', 'TGFbetaReceptor'})"
"frozenset({'P51681', 'P30405', 'TGFbetaReceptor'})"
"frozenset({'Q99941', 'Q9Y243', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q15323', 'Q7Z6J9'})"
"frozenset({'P62987', 'TGFbetaReceptor', 'Q13571'})"
"frozenset({'TGFbetaReceptor', 'P61160', 'Q8WUH1'})"
"frozenset({'Q01082', 'Q15843', 'TGFbetaReceptor'})"
"frozenset({'O95967', 'Q92754', 'TGFbetaReceptor'})"
"frozenset({'P24821', 'O75578', 'TGFbetaReceptor'})"
"frozenset({'P22612', 'TGFbetaReceptor', 'P14415'})"
"frozenset({'P62701', 'O15371', 'TGFbetaReceptor'})"
"frozenset({'Q9NSB8', 'P21817', 'TGFbetaReceptor'})"
"frozenset({'Q9UL18', 'TGFbetaReceptor', 'P19338'})"
"frozenset({'Q13503', 'Q9BWU1', 'TGFbetaReceptor'})"
"frozenset({'O75381', 'TGFbetaReceptor', 'Q13576'})"
"frozenset({'TGFbetaReceptor', 'Q9H492', 'P13647'})"
"frozenset({'TGFbetaReceptor', 'Q96NL6', 'Q9UNL2'})"
"frozenset({'Q9NW38', 'O15360', 'TGFbetaReceptor'})"
"frozenset({'P60410', 'P62857', 'TGFbetaReceptor'})"
"frozenset({'P25787', 'Q7Z6Z7', 'TGFbetaReceptor'})"
"frozenset({'Q14457', 'O60260', 'TGFbetaReceptor'})"
"frozenset({'Q9Y6K9', 'Q06418', 'TGFbetaReceptor'})"
"frozenset({'P43243', 'Q9UKA9', 'TGFbetaReceptor'})"
"frozenset({'P48357', 'P18084', 'TGFbetaReceptor'})"
"frozenset({'Q5VWK5', 'P13232', 'TGFbetaReceptor'})"
"frozenset({'Q9UIW2', 'Q16635', 'TGFbetaReceptor'})"
"frozenset({'Q9BZW8', 'O75155', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9UHD2', 'P30086'})"
"frozenset({'P53041', 'P68402', 'TGFbetaReceptor'})"
"frozenset({'O14920', 'Q9UKE5', 'TGFbetaReceptor'})"
"frozenset({'Q92529', 'Q92764', 'TGFbetaReceptor'})"
"frozenset({'P50552', 'P06748', 'TGFbetaReceptor'})"
"frozenset({'O15259', 'O43776', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P62263', 'P62899'})"
"frozenset({'O95644', 'P15336', 'TGFbetaReceptor'})"
"frozenset({'O15479', 'P83881', 'TGFbetaReceptor'})"
"frozenset({'Q9NR56', 'O75553', 'TGFbetaReceptor'})"
"frozenset({'P62079', 'Q9BVK2', 'TGFbetaReceptor'})"
"frozenset({'Q9UGF5', 'TGFbetaReceptor', 'P25098'})"
"frozenset({'P17980', 'TGFbetaReceptor', 'Q15018'})"
"frozenset({'Q9Y3B2', 'TGFbetaReceptor', 'Q9UPE1'})"
"frozenset({'TGFbetaReceptor', 'P26373', 'P62244'})"
"frozenset({'Q8WYP3', 'P42771', 'TGFbetaReceptor'})"
"frozenset({'Q99459', 'P07910', 'TGFbetaReceptor'})"
"frozenset({'P63279', 'P15104', 'TGFbetaReceptor'})"
"frozenset({'Q9BZD4', 'O95619', 'TGFbetaReceptor'})"
"frozenset({'Q5VTQ0', 'P22570', 'TGFbetaReceptor'})"
"frozenset({'Q92731', 'Q9H3S7', 'TGFbetaReceptor'})"
"frozenset({'Q92844', 'TGFbetaReceptor', 'Q92985'})"
"frozenset({'Q9BS26', 'Q14192', 'TGFbetaReceptor'})"
"frozenset({'P49736', 'Q99729', 'TGFbetaReceptor'})"
"frozenset({'Q7Z4W3', 'Q99954', 'TGFbetaReceptor'})"
"frozenset({'Q8NGT7', 'Q9P2W3', 'TGFbetaReceptor'})"
"frozenset({'P61289', 'O00487', 'TGFbetaReceptor'})"
"frozenset({'P38919', 'P17844', 'TGFbetaReceptor'})"
"frozenset({'Q9P299', 'P18146', 'TGFbetaReceptor'})"
"frozenset({'Q15653', 'P19838', 'TGFbetaReceptor'})"
"frozenset({'P51610', 'Q9UKI9', 'TGFbetaReceptor'})"
"frozenset({'Q9H244', 'Q9C0E2', 'TGFbetaReceptor'})"
"frozenset({'Q8TBB1', 'P14618', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P10451', 'Q13433'})"
"frozenset({'TGFbetaReceptor', 'Q6UB99', 'Q12933'})"
"frozenset({'Q9NVX0', 'Q8N0Z3', 'TGFbetaReceptor'})"
"frozenset({'Q76B58', 'Q7L0Q8', 'TGFbetaReceptor'})"
"frozenset({'Q8N357', 'P50454', 'TGFbetaReceptor'})"
"frozenset({'P62241', 'O75533', 'TGFbetaReceptor'})"
"frozenset({'Q71RC2', 'O14503', 'TGFbetaReceptor'})"
"frozenset({'Q16619', 'P17181', 'TGFbetaReceptor'})"
"frozenset({'Q96T37', 'Q15386', 'TGFbetaReceptor'})"
"frozenset({'Q9P1U1', 'P49736', 'TGFbetaReceptor'})"
"frozenset({'Q9NP77', 'TGFbetaReceptor', 'Q92797'})"
"frozenset({'O43390', 'Q15459', 'TGFbetaReceptor'})"
"frozenset({'Q9H3U5', 'Q9UBU9', 'TGFbetaReceptor'})"
"frozenset({'P20807', 'P02511', 'TGFbetaReceptor'})"
"frozenset({'A5D8V6', 'TGFbetaReceptor', 'Q9H1A7'})"
"frozenset({'P12931', 'P19793', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P08631', 'Q9HD26'})"
"frozenset({'O75436', 'P14174', 'TGFbetaReceptor'})"
"frozenset({'P35241', 'Q13464', 'TGFbetaReceptor'})"
"frozenset({'P41252', 'P21281', 'TGFbetaReceptor'})"
"frozenset({'Q99633', 'O95995', 'TGFbetaReceptor'})"
"frozenset({'O15379', 'TGFbetaReceptor', 'O75446'})"
"frozenset({'Q96J92', 'TGFbetaReceptor', 'O95747'})"
"frozenset({'P15408', 'P62888', 'TGFbetaReceptor'})"
"frozenset({'P26368', 'TGFbetaReceptor', 'P68104'})"
"frozenset({'P60228', 'P60709', 'TGFbetaReceptor'})"
"frozenset({'P15153', 'P13612', 'TGFbetaReceptor'})"
