negatives
"frozenset({'Q07890', 'Q969Y2', 'Receptor'})"
"frozenset({'O00716', 'Q68E01', 'Receptor'})"
"frozenset({'Q9Y3B4', 'Q7RTV0', 'Receptor'})"
"frozenset({'P49760', 'Q96IK5', 'Receptor'})"
"frozenset({'Q6A162', 'Receptor', 'Q8NE01'})"
"frozenset({'Q8N6T7', 'Q13283', 'Receptor'})"
"frozenset({'Receptor', 'Q00987', 'P42574'})"
"frozenset({'O95232', 'Q9Y383', 'Receptor'})"
"frozenset({'P01106', 'P15848', 'Receptor'})"
"frozenset({'Q9NXR8', 'P17480', 'Receptor'})"
"frozenset({'Q9Y2U9', 'Q7LFX5', 'Receptor'})"
"frozenset({'Q9H944', 'P35269', 'Receptor'})"
"frozenset({'O95848', 'Q8N448', 'Receptor'})"
"frozenset({'P80303', 'Q9BUF5', 'Receptor'})"
"frozenset({'Q9BZW7', 'Q9Y250', 'Receptor'})"
"frozenset({'Q8ND90', 'Receptor', 'P57086'})"
"frozenset({'P05161', 'Receptor', 'Q9NZZ3'})"
"frozenset({'Receptor', 'Q14626', 'P0DML3'})"
"frozenset({'Q9UBU9', 'Receptor', 'Q8N8A2'})"
"frozenset({'Receptor', 'Q5VYK3', 'Q16659'})"
"frozenset({'P0DP23', 'Q9Y572', 'Receptor'})"
"frozenset({'P49736', 'P22626', 'Receptor'})"
"frozenset({'O75420', 'Q9NYF3', 'Receptor'})"
"frozenset({'Q504Q3', 'Receptor', 'Q71U36'})"
"frozenset({'O94776', 'Q9Y2K1', 'Receptor'})"
"frozenset({'O00308', 'Q15599', 'Receptor'})"
"frozenset({'P23508', 'Q9P202', 'Receptor'})"
"frozenset({'P61513', 'Receptor', 'Q9BYG3'})"
"frozenset({'Q9Y546', 'Q9C0C7', 'Receptor'})"
"frozenset({'Q9BRK4', 'Q9H0A6', 'Receptor'})"
"frozenset({'Q3MIN7', 'Receptor', 'Q8TCP9'})"
"frozenset({'Q9UGY1', 'Q96CS4', 'Receptor'})"
"frozenset({'Q13315', 'Receptor', 'Q9NQT8'})"
"frozenset({'O00746', 'Q12849', 'Receptor'})"
"frozenset({'Q13547', 'P29350', 'Receptor'})"
"frozenset({'P31946', 'Q9Y2K2', 'Receptor'})"
"frozenset({'Receptor', 'P51610', 'Q9NS37'})"
"frozenset({'Q9C0J8', 'Receptor', 'Q92797'})"
"frozenset({'P13631', 'Receptor', 'Q15022'})"
"frozenset({'Q9GZX6', 'P78552', 'Receptor'})"
"frozenset({'P47871', 'P50148', 'Receptor'})"
"frozenset({'Receptor', 'P83916', 'P35573'})"
"frozenset({'Q03169', 'P19838', 'Receptor'})"
"frozenset({'P61353', 'P26373', 'Receptor'})"
"frozenset({'Q9H0K6', 'P14373', 'Receptor'})"
"frozenset({'Q14165', 'Q6NUS6', 'Receptor'})"
"frozenset({'P51532', 'Receptor', 'Q96L91'})"
"frozenset({'Q9GZL7', 'Q14137', 'Receptor'})"
"frozenset({'O43741', 'Q9C0K7', 'Receptor'})"
"frozenset({'A7MD48', 'Q16543', 'Receptor'})"
"frozenset({'Q07866', 'O60610', 'Receptor'})"
"frozenset({'Q9Y2X7', 'Q71F23', 'Receptor'})"
"frozenset({'Q13444', 'Q9NRD1', 'Receptor'})"
"frozenset({'P17301', 'Q9Y679', 'Receptor'})"
"frozenset({'P53618', 'O60518', 'Receptor'})"
"frozenset({'Q9P2R3', 'O75323', 'Receptor'})"
"frozenset({'P06729', 'Q09472', 'Receptor'})"
"frozenset({'P51148', 'Receptor', 'P31943'})"
"frozenset({'Receptor', 'Q9BY43', 'Q9NZZ3'})"
"frozenset({'Receptor', 'Q9UBC2', 'Q9UMX0'})"
"frozenset({'P01375', 'Q08629', 'Receptor'})"
"frozenset({'Q9UNF0', 'Q15185', 'Receptor'})"
"frozenset({'Q15648', 'Receptor', 'Q06546'})"
"frozenset({'Q8TF32', 'Q16637', 'Receptor'})"
"frozenset({'Q15717', 'Receptor', 'O95429'})"
"frozenset({'Q13618', 'P06576', 'Receptor'})"
"frozenset({'Q8TBB1', 'P41219', 'Receptor'})"
"frozenset({'Q13087', 'P21246', 'Receptor'})"
"frozenset({'Q01094', 'Receptor', 'Q09028'})"
"frozenset({'P09874', 'Receptor', 'Q16656'})"
"frozenset({'Q01860', 'P23919', 'Receptor'})"
"frozenset({'Q99959', 'Q16082', 'Receptor'})"
"frozenset({'Receptor', 'P67775', 'P02751'})"
"frozenset({'P61457', 'Q13620', 'Receptor'})"
"frozenset({'P30050', 'O75530', 'Receptor'})"
"frozenset({'O43353', 'P07900', 'Receptor'})"
"frozenset({'P18621', 'P62906', 'Receptor'})"
"frozenset({'Q5SW79', 'Q8IX90', 'Receptor'})"
"frozenset({'Q9H5K3', 'Q6NUM6', 'Receptor'})"
"frozenset({'Q08380', 'P27701', 'Receptor'})"
"frozenset({'Q96KR1', 'Receptor', 'P05412'})"
"frozenset({'P09466', 'Q7L5N1', 'Receptor'})"
"frozenset({'Q96C28', 'Receptor', 'Q99750'})"
"frozenset({'P29558', 'P63173', 'Receptor'})"
"frozenset({'P31948', 'Q99615', 'Receptor'})"
"frozenset({'Receptor', 'Q9P0J0', 'P22612'})"
"frozenset({'Q16236', 'Receptor', 'P19525'})"
"frozenset({'Q99816', 'Receptor', 'Q92734'})"
"frozenset({'Q9BRQ0', 'O75478', 'Receptor'})"
"frozenset({'Q00839', 'P61326', 'Receptor'})"
"frozenset({'P55795', 'Receptor', 'O75340'})"
"frozenset({'O43463', 'Q71DI3', 'Receptor'})"
"frozenset({'P78560', 'Q9Y2D2', 'Receptor'})"
"frozenset({'O60826', 'Q9Y371', 'Receptor'})"
"frozenset({'P03372', 'Receptor', 'O15078'})"
"frozenset({'P61956', 'Q9Y2K1', 'Receptor'})"
"frozenset({'Receptor', 'Q9NPI1', 'Q8TAQ2'})"
"frozenset({'O75604', 'Q9Y3C5', 'Receptor'})"
"frozenset({'P83876', 'Q15029', 'Receptor'})"
"frozenset({'Q5SW79', 'O00139', 'Receptor'})"
"frozenset({'P29016', 'O75976', 'Receptor'})"
"frozenset({'P0CG20', 'Q6PEX3', 'Receptor'})"
"frozenset({'Q6NUN9', 'O00571', 'Receptor'})"
"frozenset({'Receptor', 'P58400', 'P55196'})"
"frozenset({'Q14204', 'Q9GZQ8', 'Receptor'})"
"frozenset({'P10147', 'P51681', 'Receptor'})"
"frozenset({'Q9H6Z9', 'Q8IW35', 'Receptor'})"
"frozenset({'P48556', 'Q12888', 'Receptor'})"
"frozenset({'P46379', 'Receptor', 'Q9UNE7'})"
"frozenset({'Q5T0B9', 'P01106', 'Receptor'})"
"frozenset({'P03372', 'Q5T9C2', 'Receptor'})"
"frozenset({'Q99814', 'O75030', 'Receptor'})"
"frozenset({'Q00587', 'Q9BPZ7', 'Receptor'})"
"frozenset({'Q8IZT6', 'Q9BSJ2', 'Receptor'})"
"frozenset({'P27816', 'Q9BXB1', 'Receptor'})"
"frozenset({'Q14767', 'Q9H2G2', 'Receptor'})"
"frozenset({'Q9H000', 'Q13595', 'Receptor'})"
"frozenset({'Q96S37', 'Q9P0J0', 'Receptor'})"
"frozenset({'P12830', 'O14562', 'Receptor'})"
"frozenset({'P12829', 'Q86YV6', 'Receptor'})"
"frozenset({'Q16254', 'P51610', 'Receptor'})"
"frozenset({'P35232', 'O75530', 'Receptor'})"
"frozenset({'P78362', 'Receptor', 'Q5VZL5'})"
"frozenset({'Q15717', 'P0DI81', 'Receptor'})"
"frozenset({'Q14257', 'Receptor', 'Q6K0P9'})"
"frozenset({'Q14978', 'P08473', 'Receptor'})"
"frozenset({'P12830', 'Q13625', 'Receptor'})"
"frozenset({'Q99460', 'Receptor', 'O75832'})"
"frozenset({'P42263', 'Receptor', 'P22694'})"
"frozenset({'P21810', 'Q16082', 'Receptor'})"
"frozenset({'O60684', 'Q01433', 'Receptor'})"
"frozenset({'Q7LFX5', 'Q96K37', 'Receptor'})"
"frozenset({'P30520', 'Q9BY43', 'Receptor'})"
"frozenset({'Q96G04', 'Receptor', 'P13639'})"
"frozenset({'Q9C0C4', 'Q9NV96', 'Receptor'})"
"frozenset({'Q8IXZ2', 'O60783', 'Receptor'})"
"frozenset({'Q6PEY2', 'P17302', 'Receptor'})"
"frozenset({'Q99460', 'P53992', 'Receptor'})"
"frozenset({'Q9UBU9', 'Receptor', 'Q8IV01'})"
"frozenset({'Q13112', 'P45973', 'Receptor'})"
"frozenset({'Receptor', 'Q13885', 'Q96AH8'})"
"frozenset({'P53007', 'Q9BQB6', 'Receptor'})"
"frozenset({'Q8TAG9', 'Q16891', 'Receptor'})"
"frozenset({'Q9H467', 'Receptor', 'Q13257'})"
"frozenset({'P36941', 'Q5BJF6', 'Receptor'})"
"frozenset({'P78527', 'Q9BUB5', 'Receptor'})"
"frozenset({'Q9H1C4', 'Q9UBV2', 'Receptor'})"
"frozenset({'Q96EQ0', 'P10451', 'Receptor'})"
"frozenset({'Q15645', 'Q969Q4', 'Receptor'})"
"frozenset({'P10275', 'Q15596', 'Receptor'})"
"frozenset({'P33527', 'Receptor', 'P46531'})"
"frozenset({'Q9NQG5', 'Q01844', 'Receptor'})"
"frozenset({'Q9P286', 'Q9UBK9', 'Receptor'})"
"frozenset({'P60510', 'Q6IN85', 'Receptor'})"
"frozenset({'P01133', 'P63279', 'Receptor'})"
"frozenset({'Q9BPU9', 'Q9NXB0', 'Receptor'})"
"frozenset({'O76000', 'O60262', 'Receptor'})"
"frozenset({'P04259', 'O76015', 'Receptor'})"
"frozenset({'Q01668', 'Q08209', 'Receptor'})"
"frozenset({'Q9BXW9', 'Receptor', 'Q9UBZ9'})"
"frozenset({'Q14764', 'Receptor', 'Q8IYA8'})"
"frozenset({'P07947', 'Q9NR12', 'Receptor'})"
"frozenset({'P34931', 'Q9Y230', 'Receptor'})"
"frozenset({'P17947', 'P02792', 'Receptor'})"
"frozenset({'O14920', 'Q14790', 'Receptor'})"
"frozenset({'P35240', 'Receptor', 'Q9Y4W6'})"
"frozenset({'O95400', 'Q6ZW49', 'Receptor'})"
"frozenset({'Q9ULK4', 'Q06587', 'Receptor'})"
"frozenset({'Receptor', 'P05067', 'P02144'})"
"frozenset({'Q9BV47', 'Q9Y496', 'Receptor'})"
"frozenset({'Receptor', 'P04637', 'P67870'})"
"frozenset({'P27482', 'Q9HD67', 'Receptor'})"
"frozenset({'Receptor', 'Q13813', 'P22681'})"
"frozenset({'Q16665', 'Q96F10', 'Receptor'})"
"frozenset({'Q9UM73', 'Receptor', 'Q15746'})"
"frozenset({'Q6P531', 'Receptor', 'Q7Z429'})"
"frozenset({'Q9Y230', 'P17480', 'Receptor'})"
"frozenset({'Q9HAW8', 'P01857', 'Receptor'})"
"frozenset({'P43307', 'Q9Y468', 'Receptor'})"
"frozenset({'Q8WW01', 'Q8TD10', 'Receptor'})"
"frozenset({'O60516', 'P06730', 'Receptor'})"
"frozenset({'P0DP23', 'P23634', 'Receptor'})"
"frozenset({'P07099', 'Receptor', 'P20648'})"
"frozenset({'Q9H8V3', 'Q9Y5Q8', 'Receptor'})"
"frozenset({'O00144', 'Receptor', 'P09471'})"
"frozenset({'Q86X02', 'Receptor', 'Q14241'})"
"frozenset({'Q9UNM6', 'Q01860', 'Receptor'})"
"frozenset({'P25791', 'Q8IXK0', 'Receptor'})"
"frozenset({'Receptor', 'P05771', 'P68431'})"
"frozenset({'O43482', 'P06753', 'Receptor'})"
"frozenset({'Q9NZC7', 'Q14978', 'Receptor'})"
"frozenset({'Q9H211', 'P14635', 'Receptor'})"
"frozenset({'Q96EK4', 'Receptor', 'P42574'})"
"frozenset({'P27482', 'Receptor', 'P22694'})"
"frozenset({'Q9ULK4', 'O75586', 'Receptor'})"
"frozenset({'P17612', 'Q8NGK0', 'Receptor'})"
"frozenset({'P10809', 'P35637', 'Receptor'})"
"frozenset({'Q3ZCT1', 'Q5T619', 'Receptor'})"
"frozenset({'Receptor', 'P01106', 'Q96RU2'})"
"frozenset({'Receptor', 'P18846', 'Q8TEY5'})"
"frozenset({'Q9HC77', 'Q3YEC7', 'Receptor'})"
"frozenset({'Q9NR56', 'Q92879', 'Receptor'})"
"frozenset({'A0JNW5', 'Q8IY63', 'Receptor'})"
"frozenset({'Receptor', 'Q9BTT6', 'Q14194'})"
"frozenset({'P41217', 'P10914', 'Receptor'})"
"frozenset({'P63010', 'Q06124', 'Receptor'})"
"frozenset({'Q07812', 'Q9UJU2', 'Receptor'})"
"frozenset({'Q8IWL3', 'Q9Y5Q9', 'Receptor'})"
"frozenset({'Q6NUK1', 'Receptor', 'O60566'})"
"frozenset({'Q13547', 'Q99496', 'Receptor'})"
"frozenset({'O00410', 'O75665', 'Receptor'})"
"frozenset({'P48039', 'P21964', 'Receptor'})"
"frozenset({'Q13191', 'P15498', 'Receptor'})"
"frozenset({'Q9BWF3', 'P31942', 'Receptor'})"
"frozenset({'Receptor', 'Q92785', 'Q969G3'})"
"frozenset({'Q9BUN5', 'Q8IWZ6', 'Receptor'})"
"frozenset({'P07199', 'Q9UPP1', 'Receptor'})"
"frozenset({'Receptor', 'P0DP25', 'Q9UHB6'})"
"frozenset({'Receptor', 'Q92737', 'P52306'})"
"frozenset({'P22061', 'Receptor', 'Q12888'})"
"frozenset({'Q92993', 'Q8NHQ1', 'Receptor'})"
"frozenset({'Receptor', 'Q01105', 'O75531'})"
"frozenset({'Q7KZI7', 'Receptor', 'Q86WU2'})"
"frozenset({'P34130', 'P17948', 'Receptor'})"
"frozenset({'Receptor', 'P36578', 'Q92734'})"
"frozenset({'Q9H444', 'O14862', 'Receptor'})"
"frozenset({'P60328', 'Q5TA81', 'Receptor'})"
"frozenset({'P03372', 'Receptor', 'Q9Y2X0'})"
"frozenset({'P46094', 'P13500', 'Receptor'})"
"frozenset({'Q969S8', 'Q16777', 'Receptor'})"
"frozenset({'Q99973', 'Receptor', 'Q9BUR4'})"
"frozenset({'Q6P5Z2', 'Q7Z4H7', 'Receptor'})"
"frozenset({'P24928', 'P60900', 'Receptor'})"
"frozenset({'O75934', 'P26368', 'Receptor'})"
"frozenset({'P25208', 'Q9BR76', 'Receptor'})"
"frozenset({'Q9NY27', 'Q9BWU0', 'Receptor'})"
"frozenset({'Q9H857', 'Receptor', 'Q9Y6E7'})"
"frozenset({'Q96AZ1', 'Q3ZCM7', 'Receptor'})"
"frozenset({'P16144', 'P00533', 'Receptor'})"
"frozenset({'Q13084', 'Q16543', 'Receptor'})"
"frozenset({'Q07021', 'Receptor', 'Q9C002'})"
"frozenset({'Q9UGM1', 'Q96HA1', 'Receptor'})"
"frozenset({'O14561', 'P51970', 'Receptor'})"
"frozenset({'Q5T6F2', 'Receptor', 'Q13618'})"
"frozenset({'Q6IQ23', 'Q15717', 'Receptor'})"
"frozenset({'Receptor', 'P42566', 'P16333'})"
"frozenset({'P05026', 'Q9Y6C9', 'Receptor'})"
"frozenset({'Receptor', 'P07196', 'O60341'})"
"frozenset({'Q9NUX5', 'Q15785', 'Receptor'})"
"frozenset({'Q9NX70', 'O75448', 'Receptor'})"
"frozenset({'Q9BVG8', 'Q7Z3I7', 'Receptor'})"
"frozenset({'Q13263', 'P00533', 'Receptor'})"
"frozenset({'P56556', 'O95178', 'Receptor'})"
"frozenset({'P29728', 'P05067', 'Receptor'})"
"frozenset({'Receptor', 'Q14914', 'P14550'})"
"frozenset({'Q16665', 'P34932', 'Receptor'})"
"frozenset({'P35637', 'Q765P7', 'Receptor'})"
"frozenset({'O75083', 'Receptor', 'P24941'})"
"frozenset({'Receptor', 'Q8WUD6', 'Q96G97'})"
"frozenset({'P08069', 'P05230', 'Receptor'})"
"frozenset({'P24534', 'Q9HCC6', 'Receptor'})"
"frozenset({'Q8WYR1', 'Q9H1C0', 'Receptor'})"
"frozenset({'O94992', 'Q05519', 'Receptor'})"
"frozenset({'Q13077', 'Receptor', 'Q9NVF7'})"
"frozenset({'P10412', 'O95819', 'Receptor'})"
"frozenset({'Q03164', 'P52732', 'Receptor'})"
"frozenset({'Receptor', 'Q14683', 'Q9UQL6'})"
"frozenset({'O14777', 'Q8N6Y0', 'Receptor'})"
"frozenset({'Q2TAL8', 'P78424', 'Receptor'})"
"frozenset({'Receptor', 'Q96CS2', 'O15078'})"
"frozenset({'P11233', 'Receptor', 'Q13393'})"
"frozenset({'P41240', 'Q03135', 'Receptor'})"
"frozenset({'O14980', 'Receptor', 'O43175'})"
"frozenset({'Q9H2H0', 'Receptor', 'O14640'})"
"frozenset({'O15355', 'P16104', 'Receptor'})"
"frozenset({'O94885', 'Q9Y6K9', 'Receptor'})"
"frozenset({'Q14093', 'P04626', 'Receptor'})"
"frozenset({'Receptor', 'O43261', 'Q9GZT6'})"
"frozenset({'Q6PJQ5', 'O00409', 'Receptor'})"
"frozenset({'Q13185', 'P35226', 'Receptor'})"
"frozenset({'P50990', 'Receptor', 'Q71U36'})"
"frozenset({'Q9UDY6', 'Q9UPQ4', 'Receptor'})"
"frozenset({'P62079', 'Q15005', 'Receptor'})"
"frozenset({'P62993', 'Q08209', 'Receptor'})"
"frozenset({'Q00839', 'Q9NTX7', 'Receptor'})"
"frozenset({'P46109', 'P26010', 'Receptor'})"
"frozenset({'P25490', 'Receptor', 'Q92769'})"
"frozenset({'P00813', 'P60709', 'Receptor'})"
"frozenset({'Q99062', 'Receptor', 'P49841'})"
"frozenset({'P62873', 'Q8NGG2', 'Receptor'})"
"frozenset({'Receptor', 'P02452', 'P09486'})"
"frozenset({'Receptor', 'P62750', 'P01889'})"
"frozenset({'P30443', 'Q13200', 'Receptor'})"
"frozenset({'Q99961', 'O14965', 'Receptor'})"
"frozenset({'P53778', 'Receptor', 'Q9UPE1'})"
"frozenset({'P28482', 'Receptor', 'Q8WX93'})"
"frozenset({'Q96RD2', 'P32121', 'Receptor'})"
"frozenset({'Q10586', 'Q96GM5', 'Receptor'})"
"frozenset({'Receptor', 'Q8WUI4', 'P62140'})"
"frozenset({'P35637', 'O60508', 'Receptor'})"
"frozenset({'Receptor', 'Q96HA8', 'P56279'})"
"frozenset({'Q9HCE1', 'Q9NRG4', 'Receptor'})"
"frozenset({'Receptor', 'P57678', 'Q9H840'})"
"frozenset({'Q13617', 'Q01130', 'Receptor'})"
"frozenset({'O60939', 'Q8NB49', 'Receptor'})"
"frozenset({'Q9H6K4', 'Q13011', 'Receptor'})"
"frozenset({'P29992', 'Receptor', 'P20309'})"
"frozenset({'Q15910', 'Q9BTV7', 'Receptor'})"
"frozenset({'Q9BWN1', 'Q99962', 'Receptor'})"
"frozenset({'Q13233', 'O75190', 'Receptor'})"
"frozenset({'Q6DN90', 'Receptor', 'Q92985'})"
"frozenset({'Q92747', 'O00401', 'Receptor'})"
"frozenset({'Receptor', 'Q96FN4', 'Q8NFW5'})"
"frozenset({'O95139', 'Receptor', 'Q96TA2'})"
"frozenset({'P07951', 'P62140', 'Receptor'})"
"frozenset({'Receptor', 'Q7Z406', 'Q15022'})"
"frozenset({'Q99459', 'Q86XK3', 'Receptor'})"
"frozenset({'P51451', 'Receptor', 'Q05086'})"
"frozenset({'Q86X29', 'Q04917', 'Receptor'})"
"frozenset({'P29597', 'P63244', 'Receptor'})"
"frozenset({'P35590', 'Q16543', 'Receptor'})"
"frozenset({'Q9UGY1', 'O75533', 'Receptor'})"
"frozenset({'Q9BRP7', 'Q8TBC5', 'Receptor'})"
"frozenset({'Q9Y490', 'P61978', 'Receptor'})"
"frozenset({'Receptor', 'Q6WCQ1', 'Q9BZL4'})"
"frozenset({'Q8N6L0', 'Q86YD7', 'Receptor'})"
"frozenset({'P49959', 'P38398', 'Receptor'})"
"frozenset({'Q07866', 'P49759', 'Receptor'})"
"frozenset({'P19320', 'Q14204', 'Receptor'})"
"frozenset({'Q8IYR0', 'O75069', 'Receptor'})"
"frozenset({'Q5VIR6', 'Q96EV8', 'Receptor'})"
"frozenset({'P38919', 'O75475', 'Receptor'})"
"frozenset({'O15400', 'O15431', 'Receptor'})"
"frozenset({'P42858', 'Receptor', 'Q8N720'})"
"frozenset({'P15927', 'O75643', 'Receptor'})"
"frozenset({'Receptor', 'Q8NH50', 'P25098'})"
"frozenset({'Q9H6Z4', 'Q9NSD9', 'Receptor'})"
"frozenset({'Q71F56', 'O95402', 'Receptor'})"
"frozenset({'O95684', 'Q8N1G4', 'Receptor'})"
"frozenset({'Q9H2G9', 'Q96HA8', 'Receptor'})"
"frozenset({'P35613', 'Q9BUQ8', 'Receptor'})"
"frozenset({'Q9Y5Y2', 'Q5GLZ8', 'Receptor'})"
"frozenset({'P08865', 'Receptor', 'P26599'})"
"frozenset({'P78318', 'P67775', 'Receptor'})"
"frozenset({'Q9Y698', 'P05067', 'Receptor'})"
"frozenset({'Receptor', 'O75592', 'Q4G0F5'})"
"frozenset({'P46100', 'P04637', 'Receptor'})"
"frozenset({'Q9BV68', 'O14654', 'Receptor'})"
"frozenset({'Q9NWZ3', 'Q9HAT8', 'Receptor'})"
"frozenset({'Q8IWL3', 'Q8TAA5', 'Receptor'})"
"frozenset({'P26951', 'Q8TBB1', 'Receptor'})"
"frozenset({'P40763', 'Receptor', 'P42685'})"
"frozenset({'Receptor', 'O43914', 'Q9NP99'})"
"frozenset({'Q7Z4L5', 'Q14183', 'Receptor'})"
"frozenset({'P61981', 'O95685', 'Receptor'})"
"frozenset({'P31947', 'O14639', 'Receptor'})"
"frozenset({'Q99816', 'Q15025', 'Receptor'})"
"frozenset({'Receptor', 'P00533', 'Q13509'})"
"frozenset({'Q9BUB7', 'Q9BQ95', 'Receptor'})"
"frozenset({'Q13618', 'Q13283', 'Receptor'})"
"frozenset({'Q96A32', 'P68543', 'Receptor'})"
"frozenset({'Q9Y6K9', 'O00170', 'Receptor'})"
"frozenset({'Q14832', 'P63218', 'Receptor'})"
"frozenset({'P60410', 'Q9BYQ3', 'Receptor'})"
"frozenset({'P52597', 'Q9BUJ2', 'Receptor'})"
"frozenset({'Receptor', 'O14656', 'Q5JTV8'})"
"frozenset({'Q9HBW1', 'Q9UKV8', 'Receptor'})"
"frozenset({'Q9H9D4', 'P26371', 'Receptor'})"
"frozenset({'O75420', 'Q9BWG6', 'Receptor'})"
"frozenset({'P52272', 'Receptor', 'P55769'})"
"frozenset({'Q16539', 'Q6STE5', 'Receptor'})"
"frozenset({'P63167', 'Q9UPX8', 'Receptor'})"
"frozenset({'P07992', 'Q8WUR7', 'Receptor'})"
"frozenset({'Q96NR8', 'Q9H492', 'Receptor'})"
"frozenset({'P48431', 'Receptor', 'Q9UIF8'})"
"frozenset({'Q99459', 'P49915', 'Receptor'})"
"frozenset({'O00116', 'Q9UHD1', 'Receptor'})"
"frozenset({'Q9NRC8', 'O60318', 'Receptor'})"
"frozenset({'Q9UBL3', 'P62807', 'Receptor'})"
"frozenset({'Q9Y6C9', 'Receptor', 'Q8IZH2'})"
"frozenset({'Receptor', 'P42566', 'Q9NYZ3'})"
"frozenset({'P63215', 'P08908', 'Receptor'})"
"frozenset({'Q13618', 'P53985', 'Receptor'})"
"frozenset({'Receptor', 'Q93074', 'Q92804'})"
"frozenset({'P10809', 'Receptor', 'Q969Q1'})"
"frozenset({'Q96BA8', 'Receptor', 'A0PK00'})"
"frozenset({'P04629', 'Q9NZW5', 'Receptor'})"
"frozenset({'P27348', 'Receptor', 'Q9BZ23'})"
"frozenset({'P18583', 'Q96DB2', 'Receptor'})"
"frozenset({'P11137', 'P07196', 'Receptor'})"
"frozenset({'Q96JH7', 'Q08380', 'Receptor'})"
"frozenset({'Q12857', 'Q13641', 'Receptor'})"
"frozenset({'Receptor', 'O60308', 'Q8WWK9'})"
"frozenset({'Q6UXY8', 'Q9Y6R0', 'Receptor'})"
"frozenset({'Q15717', 'O15119', 'Receptor'})"
"frozenset({'Q9HCE1', 'Q9NWF9', 'Receptor'})"
"frozenset({'P11021', 'Q8WYQ5', 'Receptor'})"
"frozenset({'P52294', 'P52630', 'Receptor'})"
"frozenset({'Receptor', 'Q8N205', 'Q9Y2U8'})"
"frozenset({'P61020', 'P62834', 'Receptor'})"
"frozenset({'Receptor', 'P62805', 'Q9C086'})"
"frozenset({'P04843', 'Q5JPE7', 'Receptor'})"
"frozenset({'Q9UMS4', 'Receptor', 'P05412'})"
"frozenset({'P10243', 'Q92793', 'Receptor'})"
"frozenset({'P07550', 'P35527', 'Receptor'})"
"frozenset({'P56537', 'Receptor', 'Q9HAV7'})"
"frozenset({'Q9UBH6', 'Q9P0L0', 'Receptor'})"
"frozenset({'Q09472', 'P61964', 'Receptor'})"
"frozenset({'O95813', 'Q9H1J5', 'Receptor'})"
"frozenset({'Q14151', 'P38159', 'Receptor'})"
"frozenset({'P49903', 'P16219', 'Receptor'})"
"frozenset({'P50222', 'P55273', 'Receptor'})"
"frozenset({'P60842', 'Receptor', 'Q9UQL6'})"
"frozenset({'Receptor', 'Q69YH5', 'Q15170'})"
"frozenset({'O75131', 'Q9UQ80', 'Receptor'})"
"frozenset({'Q86V42', 'Q9NPA5', 'Receptor'})"
"frozenset({'P41134', 'Q16666', 'Receptor'})"
"frozenset({'Q0D2H9', 'Q3SY00', 'Receptor'})"
"frozenset({'Q6NUJ2', 'P60411', 'Receptor'})"
"frozenset({'O43741', 'Q9UDY6', 'Receptor'})"
"frozenset({'Q9UQ35', 'Receptor', 'P62424'})"
"frozenset({'Q14643', 'P38646', 'Receptor'})"
"frozenset({'Q15843', 'P16403', 'Receptor'})"
"frozenset({'Q14011', 'P61599', 'Receptor'})"
"frozenset({'P05783', 'Q96MU7', 'Receptor'})"
"frozenset({'P19419', 'O75716', 'Receptor'})"
"frozenset({'Q8WUB8', 'Receptor', 'P51531'})"
"frozenset({'P08069', 'P09038', 'Receptor'})"
"frozenset({'Q16543', 'O43187', 'Receptor'})"
"frozenset({'Receptor', 'Q12933', 'Q9NVF7'})"
"frozenset({'Q8WWY8', 'O95450', 'Receptor'})"
"frozenset({'P17028', 'P51693', 'Receptor'})"
"frozenset({'P22314', 'P11586', 'Receptor'})"
"frozenset({'Q99814', 'Q01844', 'Receptor'})"
"frozenset({'P30953', 'P35626', 'Receptor'})"
"frozenset({'P49459', 'Receptor', 'Q9NRR5'})"
"frozenset({'Q9H668', 'Q9UGJ1', 'Receptor'})"
"frozenset({'Q9H9D4', 'Q9BQ66', 'Receptor'})"
"frozenset({'P10275', 'Q92759', 'Receptor'})"
"frozenset({'Q86Y13', 'Q9UBU9', 'Receptor'})"
"frozenset({'O43747', 'Q10567', 'Receptor'})"
"frozenset({'Q66K64', 'Q0D2K3', 'Receptor'})"
"frozenset({'Q16514', 'P25208', 'Receptor'})"
"frozenset({'P20807', 'Q13203', 'Receptor'})"
"frozenset({'P33981', 'P28482', 'Receptor'})"
"frozenset({'Q8IWB1', 'Q8WXA8', 'Receptor'})"
"frozenset({'Q15185', 'O43865', 'Receptor'})"
"frozenset({'Receptor', 'Q12834', 'Q9UJX5'})"
"frozenset({'O60260', 'P23258', 'Receptor'})"
"frozenset({'P08581', 'P21860', 'Receptor'})"
"frozenset({'P20073', 'P51693', 'Receptor'})"
"frozenset({'Receptor', 'Q92945', 'Q96FW1'})"
"frozenset({'Q15024', 'Receptor', 'Q01780'})"
"frozenset({'Q96EP5', 'O75368', 'Receptor'})"
"frozenset({'Q9NX04', 'Receptor', 'Q9BW62'})"
"frozenset({'P61296', 'P17252', 'Receptor'})"
"frozenset({'P61073', 'P08047', 'Receptor'})"
"frozenset({'Q92973', 'P62826', 'Receptor'})"
"frozenset({'Q07020', 'O14980', 'Receptor'})"
"frozenset({'O75489', 'P17568', 'Receptor'})"
"frozenset({'Q9BT78', 'P08727', 'Receptor'})"
"frozenset({'P19105', 'P38398', 'Receptor'})"
"frozenset({'Q99871', 'Q7Z478', 'Receptor'})"
"frozenset({'Receptor', 'Q8TDM0', 'O95295'})"
