negatives
"frozenset({'Q9NUJ3', 'P43365', 'Receptor'})"
"frozenset({'Q9NX63', 'O96008', 'Receptor'})"
"frozenset({'P63261', 'Receptor', 'Q969G3'})"
"frozenset({'P16435', 'O15503', 'Receptor'})"
"frozenset({'O95365', 'Q00987', 'Receptor'})"
"frozenset({'Q504Q3', 'P46783', 'Receptor'})"
"frozenset({'O15084', 'Receptor', 'Q14694'})"
"frozenset({'P02724', 'Receptor', 'Q14145'})"
"frozenset({'P42167', 'P55197', 'Receptor'})"
"frozenset({'Receptor', 'P04637', 'P27695'})"
"frozenset({'P43034', 'Q14204', 'Receptor'})"
"frozenset({'Receptor', 'Q99963', 'Q9Y6M9'})"
"frozenset({'Q16537', 'O15516', 'Receptor'})"
"frozenset({'P61923', 'O60610', 'Receptor'})"
"frozenset({'Q9NY47', 'Receptor', 'P62136'})"
"frozenset({'Q8IUC1', 'Receptor', 'P32242'})"
"frozenset({'Receptor', 'O75486', 'Q92466'})"
"frozenset({'P07305', 'O76075', 'Receptor'})"
"frozenset({'P67775', 'Q86US8', 'Receptor'})"
"frozenset({'Q15797', 'Q99460', 'Receptor'})"
"frozenset({'O14531', 'Q93062', 'Receptor'})"
"frozenset({'Q8N0Z6', 'Q92905', 'Receptor'})"
"frozenset({'Receptor', 'Q9UL01', 'Q5TA45'})"
"frozenset({'P32246', 'P63096', 'Receptor'})"
"frozenset({'Receptor', 'P10914', 'P14316'})"
"frozenset({'Receptor', 'Q13569', 'Q9GZX7'})"
"frozenset({'P22301', 'P42224', 'Receptor'})"
"frozenset({'Q96J02', 'Receptor', 'O14640'})"
"frozenset({'O00116', 'Q9H0W5', 'Receptor'})"
"frozenset({'P52272', 'P30419', 'Receptor'})"
"frozenset({'P42704', 'Receptor', 'Q9BZQ6'})"
"frozenset({'Q9BYR5', 'Q8TDS5', 'Receptor'})"
"frozenset({'Q03252', 'P55072', 'Receptor'})"
"frozenset({'Receptor', 'P08047', 'P62508'})"
"frozenset({'Q13561', 'Receptor', 'P24522'})"
"frozenset({'O00303', 'Q15800', 'Receptor'})"
"frozenset({'O96014', 'P51654', 'Receptor'})"
"frozenset({'P29016', 'Q86WK6', 'Receptor'})"
"frozenset({'Receptor', 'Q5MIZ7', 'Q9NR45'})"
"frozenset({'P19388', 'P62875', 'Receptor'})"
"frozenset({'Q9BQE3', 'Q13620', 'Receptor'})"
"frozenset({'O15379', 'Q9H4Z3', 'Receptor'})"
"frozenset({'Receptor', 'O95273', 'A0PK00'})"
"frozenset({'Q13283', 'P06239', 'Receptor'})"
"frozenset({'Receptor', 'P01903', 'Q9UMR2'})"
"frozenset({'Q96HE9', 'Q92900', 'Receptor'})"
"frozenset({'Receptor', 'O75830', 'Q9NRR5'})"
"frozenset({'Q08380', 'Q14697', 'Receptor'})"
"frozenset({'O60391', 'Receptor', 'P22612'})"
"frozenset({'P55809', 'Receptor', 'P30041'})"
"frozenset({'Q4U2R6', 'Q9BZE1', 'Receptor'})"
"frozenset({'Q15415', 'P61978', 'Receptor'})"
"frozenset({'Q9HCS7', 'Q12906', 'Receptor'})"
"frozenset({'Receptor', 'P30443', 'Q6AZY7'})"
"frozenset({'Receptor', 'Q96CW5', 'P08238'})"
"frozenset({'Q9H6R7', 'Receptor', 'P63172'})"
"frozenset({'Receptor', 'Q8WUM4', 'Q9NZM3'})"
"frozenset({'Q96JK2', 'P61758', 'Receptor'})"
