negatives
"frozenset({'P06733', 'Notch', 'P12956'})"
"frozenset({'P46777', 'Notch', 'Q8N257'})"
"frozenset({'Q9Y3M2', 'Q5TCZ1', 'Notch'})"
"frozenset({'Notch', 'P26368', 'P11021'})"
"frozenset({'P01889', 'O43488', 'Notch'})"
"frozenset({'P61218', 'Q9HCS7', 'Notch'})"
"frozenset({'Q13064', 'P50222', 'Notch'})"
"frozenset({'Q14324', 'Q9UM73', 'Notch'})"
"frozenset({'P01876', 'Q96JB5', 'Notch'})"
"frozenset({'Notch', 'Q8N488', 'P04792'})"
"frozenset({'Q9NX70', 'Notch', 'O15042'})"
"frozenset({'Q8TBB1', 'Notch', 'Q92530'})"
"frozenset({'P25398', 'Notch', 'P01730'})"
"frozenset({'Q9NPI1', 'Notch', 'P05386'})"
"frozenset({'P09429', 'P26583', 'Notch'})"
"frozenset({'P82914', 'P82675', 'Notch'})"
"frozenset({'Q8TBB1', 'Notch', 'Q9HCM9'})"
"frozenset({'P62910', 'Notch', 'P26373'})"
"frozenset({'Q8NDC0', 'Notch', 'O75177'})"
"frozenset({'Q16630', 'Notch', 'Q92989'})"
"frozenset({'O14744', 'Notch', 'Q9BRS2'})"
"frozenset({'Q15170', 'Q96F45', 'Notch'})"
"frozenset({'P04406', 'Notch', 'O95718'})"
"frozenset({'P29353', 'Q969H0', 'Notch'})"
