negatives
"frozenset({'Q9UKV5', 'Hedgehog', 'P46777'})"
"frozenset({'Q9BWQ8', 'P25445', 'Hedgehog'})"
"frozenset({'P49736', 'Hedgehog', 'P17987'})"
"frozenset({'Q5BKT4', 'P43657', 'Hedgehog'})"
"frozenset({'Q15323', 'Q9UC07', 'Hedgehog'})"
"frozenset({'Q9NSE2', 'P42224', 'Hedgehog'})"
"frozenset({'Q15012', 'P04350', 'Hedgehog'})"
"frozenset({'O60264', 'Q96P20', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P61221', 'P62873'})"
"frozenset({'Q96B26', 'Q8TF46', 'Hedgehog'})"
"frozenset({'Q99757', 'Q96D09', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P0DMV9', 'Q15910'})"
"frozenset({'Hedgehog', 'Q8WZ42', 'Q99496'})"
"frozenset({'P04629', 'P16403', 'Hedgehog'})"
"frozenset({'Q14160', 'P27361', 'Hedgehog'})"
"frozenset({'Q9H213', 'O75360', 'Hedgehog'})"
"frozenset({'Q5KU26', 'Hedgehog', 'P25067'})"
"frozenset({'O15265', 'Hedgehog', 'Q8ND90'})"
"frozenset({'P10912', 'Hedgehog', 'P01241'})"
"frozenset({'Q9UKX5', 'Hedgehog', 'P56199'})"
"frozenset({'P33991', 'P15927', 'Hedgehog'})"
"frozenset({'P18124', 'Hedgehog', 'P61353'})"
"frozenset({'Q92556', 'Q14185', 'Hedgehog'})"
"frozenset({'Q8N8Y2', 'O43186', 'Hedgehog'})"
"frozenset({'Q99598', 'Hedgehog', 'Q4V328'})"
"frozenset({'Q9UPQ0', 'Hedgehog', 'Q96M94'})"
"frozenset({'O76050', 'Q15717', 'Hedgehog'})"
"frozenset({'Hedgehog', 'Q12904', 'Q12792'})"
"frozenset({'Q13148', 'Hedgehog', 'Q99729'})"
"frozenset({'P63151', 'Q9GZV5', 'Hedgehog'})"
"frozenset({'Q96DX5', 'P08758', 'Hedgehog'})"
"frozenset({'O15409', 'Hedgehog', 'Q13526'})"
"frozenset({'Q7KYR7', 'Hedgehog', 'P04035'})"
"frozenset({'Q5H9I0', 'O14543', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P62263', 'P15880'})"
"frozenset({'Q9NP79', 'Q99698', 'Hedgehog'})"
"frozenset({'Q504Q3', 'P14923', 'Hedgehog'})"
"frozenset({'P04637', 'Hedgehog', 'P06400'})"
"frozenset({'P53355', 'P42771', 'Hedgehog'})"
"frozenset({'Q8IYE1', 'Q9Y250', 'Hedgehog'})"
"frozenset({'Q86VF2', 'Hedgehog', 'Q9H706'})"
"frozenset({'P27348', 'Q92731', 'Hedgehog'})"
"frozenset({'Q96AC1', 'Q9BQ52', 'Hedgehog'})"
"frozenset({'Q9NRC1', 'Q9NPI5', 'Hedgehog'})"
"frozenset({'P61201', 'P55209', 'Hedgehog'})"
"frozenset({'P09619', 'P53618', 'Hedgehog'})"
"frozenset({'Q9BQ66', 'Hedgehog', 'Q6UY14'})"
"frozenset({'Hedgehog', 'P13987', 'P06729'})"
"frozenset({'P29466', 'Q9NZH6', 'Hedgehog'})"
"frozenset({'Q96GG9', 'O94889', 'Hedgehog'})"
"frozenset({'P13010', 'P35240', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P07951', 'Q9NQX4'})"
"frozenset({'P46783', 'Hedgehog', 'P05067'})"
"frozenset({'Q9NVP1', 'Hedgehog', 'Q13610'})"
"frozenset({'Hedgehog', 'O00203', 'P63104'})"
"frozenset({'P12931', 'Hedgehog', 'Q9Y6K9'})"
"frozenset({'P55072', 'Q9UP83', 'Hedgehog'})"
"frozenset({'Q15843', 'Hedgehog', 'Q99729'})"
"frozenset({'Q00013', 'Q96RT1', 'Hedgehog'})"
"frozenset({'P24530', 'Q03135', 'Hedgehog'})"
"frozenset({'P52198', 'Hedgehog', 'Q9P286'})"
"frozenset({'Hedgehog', 'P06213', 'P01112'})"
"frozenset({'P20930', 'P29372', 'Hedgehog'})"
"frozenset({'Q6ISB3', 'Hedgehog', 'P0C0L4'})"
"frozenset({'Q99460', 'Q13573', 'Hedgehog'})"
"frozenset({'P56524', 'Q9ULJ3', 'Hedgehog'})"
"frozenset({'Hedgehog', 'Q9NR22', 'Q9NZB2'})"
"frozenset({'Q9P0L0', 'Q9BRQ6', 'Hedgehog'})"
