negatives
"frozenset({'OncostatinM', 'P30443', 'P51572'})"
"frozenset({'OncostatinM', 'Q13617', 'P62917'})"
"frozenset({'P41236', 'OncostatinM', 'P62258'})"
"frozenset({'OncostatinM', 'Q9H0W5', 'O15027'})"
"frozenset({'OncostatinM', 'Q9Y5Q3', 'O75626'})"
"frozenset({'OncostatinM', 'Q9UHI6', 'Q9H492'})"
"frozenset({'OncostatinM', 'Q5UIP0', 'O43379'})"
"frozenset({'OncostatinM', 'Q8NGC0', 'P38405'})"
"frozenset({'P09972', 'OncostatinM', 'P51610'})"
"frozenset({'OncostatinM', 'P33076', 'P14316'})"
"frozenset({'OncostatinM', 'Q6UXL0', 'P05231'})"
"frozenset({'Q9Y6K9', 'OncostatinM', 'Q8WV44'})"
"frozenset({'OncostatinM', 'P01833', 'Q6ZN18'})"
"frozenset({'OncostatinM', 'Q9H492', 'Q9NZ01'})"
"frozenset({'Q96GQ7', 'OncostatinM', 'O75147'})"
"frozenset({'OncostatinM', 'O00308', 'P13639'})"
"frozenset({'OncostatinM', 'Q9UGR2', 'P05412'})"
"frozenset({'P08865', 'OncostatinM', 'Q9H967'})"
"frozenset({'OncostatinM', 'Q15370', 'P61966'})"
"frozenset({'OncostatinM', 'Q15287', 'Q8N684'})"
"frozenset({'P49407', 'OncostatinM', 'Q6IF63'})"
"frozenset({'P78527', 'OncostatinM', 'Q9BXOncostatinM7'})"
"frozenset({'OncostatinM', 'Q8WZ79', 'O00462'})"
"frozenset({'OncostatinM', 'P61981', 'P00519'})"
"frozenset({'P61769', 'OncostatinM', 'O95084'})"
"frozenset({'OncostatinM', 'O75147', 'Q9NWH9'})"
"frozenset({'P63000', 'OncostatinM', 'Q68EOncostatinM7'})"
"frozenset({'OncostatinM', 'Q9NY91', 'Q96HJ5'})"
"frozenset({'Q6DN90', 'P08240', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q8WV44', 'Q7Z569'})"
"frozenset({'OncostatinM', 'Q9BQA1', 'P14678'})"
"frozenset({'OncostatinM', 'P28074', 'P06737'})"
"frozenset({'OncostatinM', 'Q7Z2T5', 'P78347'})"
"frozenset({'O00425', 'OncostatinM', 'O95503'})"
"frozenset({'OncostatinM', 'Q9NR56', 'Q8IU81'})"
"frozenset({'OncostatinM', 'P41743', 'Q9BYG4'})"
"frozenset({'P00533', 'OncostatinM', 'P15311'})"
"frozenset({'OncostatinM', 'O14967', 'Q17R55'})"
"frozenset({'OncostatinM', 'O95471', 'O14493'})"
"frozenset({'O60925', 'OncostatinM', 'O43172'})"
"frozenset({'OncostatinM', 'O60701', 'Q9Y296'})"
"frozenset({'OncostatinM', 'O95352', 'Q9H0R8'})"
"frozenset({'OncostatinM', 'Q8TAU3', 'Q6NT76'})"
"frozenset({'OncostatinM', 'P00966', 'Q9BS16'})"
"frozenset({'OncostatinM', 'P32927', 'P26441'})"
"frozenset({'P12931', 'OncostatinM', 'O00254'})"
"frozenset({'Q5TBB1', 'OncostatinM', 'Q9UHD9'})"
"frozenset({'Q01970', 'OncostatinM', 'P15311'})"
"frozenset({'Q8IXZ2', 'OncostatinM', 'Q6PKG0'})"
"frozenset({'OncostatinM', 'O95376', 'P21246'})"
"frozenset({'OncostatinM', 'Q9H492', 'Q6IED9'})"
"frozenset({'OncostatinM', 'P19875', 'P19838'})"
"frozenset({'OncostatinM', 'Q9P0J0', 'P03905'})"
"frozenset({'OncostatinM', 'P60896', 'Q06323'})"
"frozenset({'Q71U36', 'OncostatinM', 'Q9UJOncostatinM3'})"
"frozenset({'O15111', 'OncostatinM', 'P35568'})"
"frozenset({'P09619', 'OncostatinM', 'P08700'})"
"frozenset({'O00499', 'OncostatinM', 'Q16854'})"
"frozenset({'OncostatinM', 'O43513', 'Q15528'})"
"frozenset({'OncostatinM', 'Q969H0', 'P01112'})"
"frozenset({'P20333', 'OncostatinM', 'O95551'})"
"frozenset({'Q9BRP8', 'OncostatinM', 'Q2NL82'})"
"frozenset({'Q9P2S2', 'OncostatinM', 'Q8N0W4'})"
"frozenset({'OncostatinM', 'P50748', 'Q9BPW8'})"
"frozenset({'OncostatinM', 'Q96S53', 'Q9BQK8'})"
"frozenset({'Q8IUB9', 'OncostatinM', 'Q96HB5'})"
"frozenset({'OncostatinM', 'Q16635', 'Q6UVY6'})"
"frozenset({'P26651', 'OncostatinM', 'Q05923'})"
"frozenset({'OncostatinM', 'P53779', 'O14733'})"
"frozenset({'OncostatinM', 'P21554', 'Q9UBI6'})"
"frozenset({'OncostatinM', 'P55199', 'Q8IZT6'})"
"frozenset({'Q8WYA0', 'Q86WT1', 'OncostatinM'})"
"frozenset({'P46100', 'OncostatinM', 'P62805'})"
"frozenset({'OncostatinM', 'O75177', 'P14678'})"
"frozenset({'P22612', 'OncostatinM', 'Q8NGT7'})"
"frozenset({'OncostatinM', 'P04629', 'Q7Z3B4'})"
"frozenset({'OncostatinM', 'O60763', 'Q00987'})"
"frozenset({'OncostatinM', 'Q9UOncostatinM54', 'Q8TCJ0'})"
"frozenset({'OncostatinM', 'Q9NX55', 'P48444'})"
"frozenset({'OncostatinM', 'O15294', 'Q9NZC7'})"
"frozenset({'P08651', 'OncostatinM', 'P84022'})"
"frozenset({'Q96H55', 'OncostatinM', 'Q9NSY1'})"
"frozenset({'OncostatinM', 'P78386', 'O76015'})"
"frozenset({'P42338', 'OncostatinM', 'Q9HAV0'})"
"frozenset({'OncostatinM', 'P21246', 'Q9UHF0'})"
"frozenset({'OncostatinM', 'P54578', 'O43396'})"
"frozenset({'P05412', 'OncostatinM', 'Q02790'})"
"frozenset({'OncostatinM', 'P84243', 'Q14781'})"
"frozenset({'Q5JQS5', 'OncostatinM', 'Q9P2W3'})"
"frozenset({'OncostatinM', 'P22314', 'P61077'})"
"frozenset({'Q04206', 'OncostatinM', 'Q96EB6'})"
"frozenset({'OncostatinM', 'P12429', 'Q92979'})"
"frozenset({'OncostatinM', 'Q08379', 'O14910'})"
"frozenset({'OncostatinM', 'O00505', 'P21980'})"
"frozenset({'OncostatinM', 'Q96HA8', 'Q9BXD5'})"
"frozenset({'OncostatinM', 'Q9NV56', 'Q96A08'})"
"frozenset({'P56748', 'OncostatinM', 'O95484'})"
"frozenset({'O60939', 'OncostatinM', 'Q8TCG1'})"
"frozenset({'OncostatinM', 'Q9BRU9', 'P14373'})"
"frozenset({'P26599', 'OncostatinM', 'P46940'})"
"frozenset({'OncostatinM', 'Q9GZU8', 'P82650'})"
"frozenset({'OncostatinM', 'Q9P013', 'P11142'})"
"frozenset({'OncostatinM', 'Q8IUQ4', 'Q86WX3'})"
"frozenset({'OncostatinM', 'O15550', 'P04637'})"
"frozenset({'OncostatinM', 'P14373', 'Q8TES7'})"
"frozenset({'OncostatinM', 'O00422', 'Q9H7L9'})"
"frozenset({'Q8IYH5', 'OncostatinM', 'O75528'})"
"frozenset({'Q9BSOncostatinM1', 'Q7L190', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P78347', 'Q99459'})"
"frozenset({'P49917', 'OncostatinM', 'P28838'})"
"frozenset({'Q6P4F7', 'OncostatinM', 'Q92614'})"
"frozenset({'OncostatinM', 'O15265', 'Q96EP0'})"
"frozenset({'OncostatinM', 'Q8NGV0', 'P17612'})"
"frozenset({'Q8WX92', 'OncostatinM', 'Q16659'})"
"frozenset({'OncostatinM', 'Q9BXOncostatinM0', 'P16333'})"
"frozenset({'OncostatinM', 'P27348', 'P62314'})"
"frozenset({'O60331', 'OncostatinM', 'O60716'})"
"frozenset({'OncostatinM', 'Q9HD15', 'P18847'})"
