negatives
"frozenset({'OncostatinM', 'Q13683', 'Q9UN42'})"
"frozenset({'Q14204', 'OncostatinM', 'Q15714'})"
"frozenset({'Q13509', 'OncostatinM', 'O43237'})"
"frozenset({'OncostatinM', 'Q9UBG3', 'Q96IY1'})"
"frozenset({'P55209', 'OncostatinM', 'P32969'})"
"frozenset({'OncostatinM', 'Q8ND90', 'Q99633'})"
"frozenset({'OncostatinM', 'P05067', 'Q96AQ9'})"
"frozenset({'OncostatinM', 'Q9UPX8', 'P01106'})"
"frozenset({'OncostatinM', 'P11171', 'P37802'})"
"frozenset({'OncostatinM', 'O00471', 'P56693'})"
"frozenset({'P17020', 'OncostatinM', 'Q8IZC7'})"
"frozenset({'Q96DX5', 'Q14558', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q14126', 'P12830'})"
"frozenset({'P35225', 'OncostatinM', 'Q14626'})"
"frozenset({'Q9NP79', 'OncostatinM', 'Q9UI14'})"
"frozenset({'OncostatinM', 'Q9NPC6', 'Q14315'})"
"frozenset({'Q9Y5B9', 'OncostatinM', 'Q15059'})"
"frozenset({'OncostatinM', 'Q9UOncostatinMX0', 'O95967'})"
"frozenset({'P12318', 'O94903', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q14738', 'Q93052'})"
"frozenset({'P61221', 'OncostatinM', 'Q03252'})"
"frozenset({'O95751', 'OncostatinM', 'P18146'})"
"frozenset({'OncostatinM', 'Q9NXR7', 'Q06609'})"
"frozenset({'P63165', 'OncostatinM', 'P04150'})"
"frozenset({'OncostatinM', 'Q969X5', 'Q9BYC8'})"
"frozenset({'Q13283', 'OncostatinM', 'Q12894'})"
"frozenset({'OncostatinM', 'P23458', 'Q01344'})"
"frozenset({'P07437', 'Q6WCQ1', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q13501', 'Q9H3N1'})"
"frozenset({'P00558', 'OncostatinM', 'P14550'})"
"frozenset({'OncostatinM', 'P42858', 'Q9BXP5'})"
"frozenset({'Q9Y5B9', 'OncostatinM', 'Q9BTOncostatinM1'})"
"frozenset({'OncostatinM', 'Q15717', 'Q14135'})"
"frozenset({'OncostatinM', 'Q2OncostatinM389', 'Q6ZU80'})"
"frozenset({'OncostatinM', 'Q5JTH9', 'P12270'})"
"frozenset({'OncostatinM', 'P31327', 'P38646'})"
"frozenset({'OncostatinM', 'Q9H8S9', 'P29372'})"
"frozenset({'Q16698', 'OncostatinM', 'O60826'})"
"frozenset({'OncostatinM', 'Q9NP66', 'O15516'})"
"frozenset({'P38159', 'OncostatinM', 'Q96E29'})"
"frozenset({'OncostatinM', 'P43121', 'Q6VOncostatinMQ6'})"
"frozenset({'Q9GZOncostatinM8', 'OncostatinM', 'Q9H7U1'})"
"frozenset({'OncostatinM', 'P63096', 'Q9P2W3'})"
"frozenset({'OncostatinM', 'Q96NY8', 'Q495A1'})"
"frozenset({'OncostatinM', 'O75159', 'P42224'})"
"frozenset({'OncostatinM', 'P06493', 'P49918'})"
"frozenset({'P35916', 'OncostatinM', 'P14210'})"
"frozenset({'P62258', 'OncostatinM', 'P29074'})"
"frozenset({'OncostatinM', 'Q93009', 'P62314'})"
"frozenset({'OncostatinM', 'Q86UW9', 'Q4VC12'})"
"frozenset({'OncostatinM', 'O43242', 'P05412'})"
"frozenset({'P20827', 'P22607', 'OncostatinM'})"
"frozenset({'Q16540', 'OncostatinM', 'P82664'})"
"frozenset({'OncostatinM', 'Q96GX1', 'Q9BSJ8'})"
"frozenset({'OncostatinM', 'P23396', 'P24941'})"
"frozenset({'OncostatinM', 'P32121', 'Q8NGP9'})"
"frozenset({'O60285', 'OncostatinM', 'P62140'})"
"frozenset({'OncostatinM', 'Q9NVF7', 'P08238'})"
"frozenset({'Q9Y297', 'OncostatinM', 'Q96D09'})"
"frozenset({'P19320', 'P22681', 'OncostatinM'})"
"frozenset({'P62979', 'OncostatinM', 'P68036'})"
"frozenset({'OncostatinM', 'Q86YR5', 'Q86UD0'})"
"frozenset({'Q01804', 'OncostatinM', 'Q13418'})"
"frozenset({'OncostatinM', 'Q9Y3B7', 'O43829'})"
"frozenset({'OncostatinM', 'P0DOncostatinMV9', 'O95816'})"
"frozenset({'OncostatinM', 'Q99798', 'Q8N335'})"
"frozenset({'OncostatinM', 'O60573', 'Q9NQT8'})"
"frozenset({'P45880', 'Q9NVA2', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q96HE7', 'P30040'})"
"frozenset({'P27918', 'OncostatinM', 'P00751'})"
"frozenset({'OncostatinM', 'Q13111', 'Q8N7H5'})"
"frozenset({'OncostatinM', 'Q12888', 'Q96DT7'})"
"frozenset({'OncostatinM', 'P42229', 'P46108'})"
"frozenset({'Q75N03', 'OncostatinM', 'Q14129'})"
"frozenset({'OncostatinM', 'P46779', 'Q02878'})"
"frozenset({'Q96S59', 'OncostatinM', 'Q8IY92'})"
"frozenset({'P63000', 'OncostatinM', 'Q9NPB6'})"
"frozenset({'OncostatinM', 'P61604', 'P38646'})"
"frozenset({'OncostatinM', 'P08238', 'Q16659'})"
"frozenset({'Q96S59', 'OncostatinM', 'P63279'})"
"frozenset({'Q9NUG6', 'OncostatinM', 'Q8IXW5'})"
"frozenset({'P40337', 'OncostatinM', 'Q14318'})"
"frozenset({'OncostatinM', 'P53370', 'P0DPB3'})"
"frozenset({'P35558', 'OncostatinM', 'P35998'})"
"frozenset({'OncostatinM', 'P21980', 'P55060'})"
"frozenset({'OncostatinM', 'Q3B820', 'Q9BRK4'})"
"frozenset({'OncostatinM', 'P04637', 'P49792'})"
"frozenset({'OncostatinM', 'Q13011', 'Q9Y6H1'})"
"frozenset({'OncostatinM', 'O15524', 'P08887'})"
"frozenset({'OncostatinM', 'P63096', 'P24530'})"
"frozenset({'Q13315', 'OncostatinM', 'P57059'})"
"frozenset({'P28290', 'OncostatinM', 'Q9H267'})"
"frozenset({'Q13148', 'OncostatinM', 'Q86TB9'})"
"frozenset({'OncostatinM', 'P63146', 'Q9HBD1'})"
"frozenset({'P49917', 'P09651', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q9BUJ2', 'P84103'})"
"frozenset({'OncostatinM', 'Q9UBC2', 'O43149'})"
"frozenset({'P17844', 'OncostatinM', 'P11387'})"
"frozenset({'OncostatinM', 'P41208', 'A8K8P3'})"
"frozenset({'Q13554', 'OncostatinM', 'Q9UQOncostatinM7'})"
"frozenset({'OncostatinM', 'P40617', 'Q2TAC2'})"
"frozenset({'OncostatinM', 'Q15365', 'O00154'})"
"frozenset({'OncostatinM', 'P11177', 'P20073'})"
"frozenset({'OncostatinM', 'Q15012', 'Q9C0B0'})"
"frozenset({'OncostatinM', 'Q99643', 'O75665'})"
"frozenset({'OncostatinM', 'Q9NX05', 'P05161'})"
"frozenset({'O43897', 'OncostatinM', 'P05067'})"
"frozenset({'OncostatinM', 'Q9NPJ3', 'P31939'})"
"frozenset({'P33992', 'OncostatinM', 'P11142'})"
"frozenset({'Q03135', 'OncostatinM', 'Q9H0E2'})"
"frozenset({'Q8NHH9', 'OncostatinM', 'P83369'})"
"frozenset({'OncostatinM', 'Q9UOncostatinMX0', 'Q9NVD7'})"
"frozenset({'P54886', 'Q9Y3E0', 'OncostatinM'})"
"frozenset({'Q8NCR6', 'OncostatinM', 'P27658'})"
"frozenset({'OncostatinM', 'P08588', 'P10276'})"
"frozenset({'OncostatinM', 'Q5JU00', 'Q9P2D0'})"
"frozenset({'O43896', 'OncostatinM', 'Q9P244'})"
"frozenset({'OncostatinM', 'P52294', 'O75528'})"
"frozenset({'OncostatinM', 'P08237', 'P53365'})"
"frozenset({'OncostatinM', 'Q9UOncostatinMX0', 'O95218'})"
"frozenset({'Q96QB1', 'OncostatinM', 'Q9HBL0'})"
"frozenset({'OncostatinM', 'Q9H221', 'Q9H222'})"
"frozenset({'P01889', 'OncostatinM', 'Q9H0U4'})"
"frozenset({'Q9UGI0', 'OncostatinM', 'O95363'})"
"frozenset({'OncostatinM', 'Q8NA72', 'Q9Y3Y2'})"
"frozenset({'OncostatinM', 'P13725', 'P78552'})"
"frozenset({'OncostatinM', 'Q7Z4W1', 'Q9H4E7'})"
"frozenset({'OncostatinM', 'Q7KYR7', 'Q9H2G9'})"
"frozenset({'OncostatinM', 'Q96OncostatinMT8', 'Q9NUQ3'})"
"frozenset({'P31944', 'OncostatinM', 'Q70EK8'})"
"frozenset({'P53999', 'OncostatinM', 'Q8TDI0'})"
"frozenset({'OncostatinM', 'Q9Y466', 'Q9UQL6'})"
"frozenset({'O60925', 'Q96PX6', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P05067', 'Q96N21'})"
"frozenset({'OncostatinM', 'O15524', 'Q14241'})"
"frozenset({'OncostatinM', 'Q63HR2', 'P04626'})"
"frozenset({'OncostatinM', 'Q8NCP5', 'P06733'})"
"frozenset({'Q14999', 'Q09028', 'OncostatinM'})"
"frozenset({'Q9NQX5', 'OncostatinM', 'Q9BYR9'})"
"frozenset({'OncostatinM', 'Q08379', 'Q8N3L3'})"
"frozenset({'Q92733', 'Q9UHD1', 'OncostatinM'})"
"frozenset({'P26358', 'OncostatinM', 'Q7Z569'})"
"frozenset({'OncostatinM', 'A7KAX9', 'Q9H0R8'})"
"frozenset({'OncostatinM', 'O15270', 'Q99571'})"
"frozenset({'OncostatinM', 'P41252', 'Q1KOncostatinMD3'})"
"frozenset({'OncostatinM', 'Q9UP65', 'P22415'})"
"frozenset({'OncostatinM', 'Q13162', 'P00747'})"
"frozenset({'P38398', 'OncostatinM', 'Q06481'})"
"frozenset({'OncostatinM', 'P27986', 'P55345'})"
"frozenset({'OncostatinM', 'Q9NSE4', 'P31943'})"
"frozenset({'OncostatinM', 'Q96T60', 'O60936'})"
"frozenset({'OncostatinM', 'Q9UNN5', 'Q7L5D6'})"
"frozenset({'OncostatinM', 'Q96PR1', 'P48547'})"
"frozenset({'P28482', 'OncostatinM', 'Q9BZOncostatinM1'})"
"frozenset({'OncostatinM', 'P69905', 'P15336'})"
"frozenset({'OncostatinM', 'P31749', 'P42336'})"
"frozenset({'OncostatinM', 'P18077', 'Q96Q27'})"
"frozenset({'OncostatinM', 'Q00987', 'P61313'})"
"frozenset({'OncostatinM', 'Q15459', 'Q15428'})"
"frozenset({'OncostatinM', 'Q9UQC2', 'Q13588'})"
"frozenset({'OncostatinM', 'Q6ZT89', 'Q8TF42'})"
"frozenset({'OncostatinM', 'O15524', 'P46109'})"
"frozenset({'O94776', 'OncostatinM', 'Q99459'})"
"frozenset({'Q9BQ95', 'OncostatinM', 'O75489'})"
"frozenset({'OncostatinM', 'P04637', 'P36952'})"
"frozenset({'P62136', 'OncostatinM', 'Q9UQL6'})"
"frozenset({'OncostatinM', 'Q5U5Q3', 'Q1KOncostatinMD3'})"
"frozenset({'Q01668', 'OncostatinM', 'Q14738'})"
"frozenset({'OncostatinM', 'Q16594', 'Q7Z7C8'})"
"frozenset({'OncostatinM', 'Q9BYR6', 'Q5T5B0'})"
"frozenset({'OncostatinM', 'P35579', 'Q9NRC8'})"
"frozenset({'OncostatinM', 'Q07890', 'Q96L33'})"
"frozenset({'P16118', 'P22694', 'OncostatinM'})"
"frozenset({'Q14568', 'OncostatinM', 'O95166'})"
"frozenset({'OncostatinM', 'O43187', 'Q86VW0'})"
"frozenset({'OncostatinM', 'P02686', 'Q96QT4'})"
"frozenset({'OncostatinM', 'A8OncostatinMQ03', 'P78385'})"
"frozenset({'O00238', 'OncostatinM', 'P84022'})"
"frozenset({'OncostatinM', 'Q04864', 'Q16548'})"
"frozenset({'Q8TB45', 'OncostatinM', 'P48729'})"
"frozenset({'OncostatinM', 'P14618', 'Q9UQL6'})"
"frozenset({'OncostatinM', 'P52735', 'P19174'})"
"frozenset({'OncostatinM', 'P35222', 'P46940'})"
"frozenset({'Q9ULX9', 'OncostatinM', 'Q8N1L9'})"
"frozenset({'OncostatinM', 'P62917', 'P62913'})"
"frozenset({'OncostatinM', 'P54619', 'Q16526'})"
"frozenset({'OncostatinM', 'Q9Y5K5', 'P17980'})"
"frozenset({'Q5JSL3', 'OncostatinM', 'Q9P258'})"
"frozenset({'OncostatinM', 'P20807', 'Q8N3K9'})"
"frozenset({'OncostatinM', 'Q8N6P7', 'P05013'})"
"frozenset({'OncostatinM', 'O15504', 'Q9BW27'})"
"frozenset({'OncostatinM', 'O60291', 'P54252'})"
"frozenset({'Q9UBZ9', 'OncostatinM', 'Q9Y2S7'})"
"frozenset({'Q6PCD5', 'OncostatinM', 'Q9Y4L1'})"
"frozenset({'OncostatinM', 'Q9Y2I6', 'P0DOncostatinMV8'})"
"frozenset({'OncostatinM', 'Q12905', 'P62750'})"
"frozenset({'OncostatinM', 'Q9Y3B7', 'Q7Z7H8'})"
"frozenset({'OncostatinM', 'Q99459', 'Q96CW5'})"
"frozenset({'P62258', 'OncostatinM', 'P30307'})"
"frozenset({'OncostatinM', 'P50336', 'O95299'})"
"frozenset({'OncostatinM', 'P55039', 'P61244'})"
"frozenset({'P46013', 'OncostatinM', 'Q16637'})"
"frozenset({'OncostatinM', 'Q96EP0', 'P54259'})"
"frozenset({'OncostatinM', 'Q9H967', 'P78371'})"
"frozenset({'Q92905', 'OncostatinM', 'Q9NZJ5'})"
"frozenset({'OncostatinM', 'P50148', 'Q99418'})"
"frozenset({'OncostatinM', 'Q92945', 'Q92754'})"
"frozenset({'OncostatinM', 'Q9BSJ2', 'Q6NUN9'})"
"frozenset({'Q96JB5', 'OncostatinM', 'Q00987'})"
"frozenset({'OncostatinM', 'Q14498', 'P38919'})"
"frozenset({'Q14005', 'OncostatinM', 'O14974'})"
"frozenset({'Q9NP97', 'OncostatinM', 'Q9NZW5'})"
"frozenset({'P55899', 'OncostatinM', 'Q04206'})"
"frozenset({'OncostatinM', 'Q96F07', 'P50552'})"
"frozenset({'OncostatinM', 'P11021', 'Q13619'})"
"frozenset({'P04629', 'OncostatinM', 'Q86U42'})"
"frozenset({'OncostatinM', 'O75914', 'Q15811'})"
"frozenset({'OncostatinM', 'P08100', 'Q15075'})"
"frozenset({'OncostatinM', 'P23508', 'Q9HC52'})"
"frozenset({'O95153', 'O00555', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q9H9B4', 'Q14257'})"
"frozenset({'Q9Y4K3', 'OncostatinM', 'P20290'})"
"frozenset({'P13569', 'OncostatinM', 'Q13952'})"
"frozenset({'Q96N95', 'OncostatinM', 'Q9BRR0'})"
"frozenset({'Q9BSF4', 'O00189', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q15717', 'P27707'})"
"frozenset({'O95185', 'OncostatinM', 'O95631'})"
"frozenset({'O00483', 'OncostatinM', 'P12236'})"
"frozenset({'Q6ZTQ3', 'OncostatinM', 'Q13188'})"
"frozenset({'OncostatinM', 'P62910', 'O60739'})"
"frozenset({'P01889', 'OncostatinM', 'Q14166'})"
"frozenset({'Q9BQG0', 'OncostatinM', 'P62847'})"
"frozenset({'OncostatinM', 'Q9BZ23', 'P21796'})"
"frozenset({'Q14790', 'OncostatinM', 'Q8TD06'})"
"frozenset({'P31269', 'OncostatinM', 'O00470'})"
"frozenset({'Q9Y297', 'OncostatinM', 'Q00839'})"
"frozenset({'OncostatinM', 'Q92731', 'P47755'})"
"frozenset({'OncostatinM', 'Q9Y586', 'P40424'})"
"frozenset({'Q9H8V3', 'OncostatinM', 'P60900'})"
"frozenset({'OncostatinM', 'P08047', 'P15692'})"
"frozenset({'P09012', 'OncostatinM', 'O95758'})"
"frozenset({'Q8TD31', 'OncostatinM', 'Q9NP66'})"
"frozenset({'OncostatinM', 'P17066', 'P04637'})"
"frozenset({'P23193', 'OncostatinM', 'Q8N7H5'})"
"frozenset({'OncostatinM', 'Q9NU53', 'Q9H4F8'})"
"frozenset({'Q99865', 'Q9Y3D0', 'OncostatinM'})"
"frozenset({'Q8IXZ2', 'OncostatinM', 'P36941'})"
"frozenset({'OncostatinM', 'Q4KOncostatinMZ1', 'Q14145'})"
"frozenset({'P62873', 'OncostatinM', 'Q02156'})"
"frozenset({'P35219', 'OncostatinM', 'O43186'})"
"frozenset({'OncostatinM', 'O43868', 'O75360'})"
"frozenset({'A3KOncostatinMH1', 'OncostatinM', 'P18075'})"
"frozenset({'OncostatinM', 'O95980', 'Q9C0F1'})"
"frozenset({'OncostatinM', 'Q9BXB1', 'P49750'})"
"frozenset({'Q96IZ0', 'OncostatinM', 'O43293'})"
"frozenset({'OncostatinM', 'Q13573', 'P54646'})"
"frozenset({'Q14244', 'OncostatinM', 'P18146'})"
"frozenset({'OncostatinM', 'Q8WVT3', 'O75865'})"
"frozenset({'OncostatinM', 'Q9H492', 'Q96CV9'})"
"frozenset({'OncostatinM', 'Q9UQOncostatinM7', 'Q08828'})"
"frozenset({'Q9UGI0', 'OncostatinM', 'Q9HCE1'})"
"frozenset({'OncostatinM', 'P11473', 'P11142'})"
"frozenset({'OncostatinM', 'Q16254', 'Q99728'})"
"frozenset({'Q9NVI7', 'OncostatinM', 'Q9BUV8'})"
"frozenset({'OncostatinM', 'Q9BRJ7', 'Q86VP6'})"
"frozenset({'Q14457', 'OncostatinM', 'Q96KP1'})"
"frozenset({'OncostatinM', 'P02652', 'P05090'})"
"frozenset({'O15075', 'O60573', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q96EY1', 'O15209'})"
"frozenset({'OncostatinM', 'Q9HCE1', 'Q86WN1'})"
"frozenset({'P53701', 'OncostatinM', 'P08574'})"
"frozenset({'OncostatinM', 'Q15185', 'P53041'})"
"frozenset({'OncostatinM', 'Q99962', 'P49418'})"
"frozenset({'Q99496', 'OncostatinM', 'Q53F19'})"
"frozenset({'Q8NHG7', 'OncostatinM', 'Q14565'})"
"frozenset({'P36969', 'OncostatinM', 'P06733'})"
"frozenset({'OncostatinM', 'P07900', 'Q9UKT8'})"
"frozenset({'OncostatinM', 'Q9Y2X3', 'P18124'})"
"frozenset({'OncostatinM', 'P12814', 'Q6IQ23'})"
"frozenset({'O15105', 'OncostatinM', 'Q96FJ0'})"
"frozenset({'OncostatinM', 'Q9GZV5', 'P78371'})"
"frozenset({'P22626', 'OncostatinM', 'P68400'})"
"frozenset({'OncostatinM', 'P29317', 'P31749'})"
"frozenset({'OncostatinM', 'Q9NW13', 'P60520'})"
"frozenset({'OncostatinM', 'P49639', 'Q96OncostatinMH2'})"
"frozenset({'Q9NVT9', 'OncostatinM', 'Q86Y56'})"
"frozenset({'P62877', 'OncostatinM', 'Q9H4OncostatinM3'})"
"frozenset({'P25106', 'OncostatinM', 'Q14674'})"
"frozenset({'OncostatinM', 'P26641', 'Q9HAU4'})"
"frozenset({'OncostatinM', 'P13612', 'P26599'})"
"frozenset({'Q15011', 'OncostatinM', 'Q86TOncostatinM6'})"
"frozenset({'Q9P227', 'OncostatinM', 'Q8IXI1'})"
"frozenset({'OncostatinM', 'Q13794', 'Q01094'})"
"frozenset({'OncostatinM', 'O43463', 'P22692'})"
"frozenset({'Q9HC73', 'OncostatinM', 'P05231'})"
"frozenset({'OncostatinM', 'Q9P2P5', 'Q8NC69'})"
"frozenset({'OncostatinM', 'O43175', 'O00422'})"
"frozenset({'OncostatinM', 'Q92569', 'O75920'})"
"frozenset({'Q3SXY8', 'OncostatinM', 'Q16539'})"
"frozenset({'Q9H8Y5', 'OncostatinM', 'Q5VZE5'})"
"frozenset({'OncostatinM', 'Q8N9E0', 'Q9UK58'})"
"frozenset({'Q93009', 'OncostatinM', 'Q01201'})"
"frozenset({'OncostatinM', 'O14841', 'P78424'})"
"frozenset({'Q13561', 'OncostatinM', 'P62993'})"
"frozenset({'OncostatinM', 'Q70CQ1', 'Q16342'})"
"frozenset({'OncostatinM', 'P13807', 'Q9GZV8'})"
"frozenset({'OncostatinM', 'Q96BP3', 'O95758'})"
"frozenset({'OncostatinM', 'P05067', 'O75449'})"
"frozenset({'OncostatinM', 'Q99836', 'Q92985'})"
"frozenset({'P78537', 'Q99624', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q96PU5', 'Q96HD9'})"
"frozenset({'OncostatinM', 'P32121', 'O00443'})"
"frozenset({'OncostatinM', 'P04818', 'P13612'})"
"frozenset({'OncostatinM', 'Q13007', 'Q86YC2'})"
"frozenset({'OncostatinM', 'Q9UBS5', 'P16520'})"
"frozenset({'OncostatinM', 'P61088', 'Q12904'})"
"frozenset({'O00267', 'OncostatinM', 'Q86X55'})"
"frozenset({'Q7Z6B7', 'OncostatinM', 'P61586'})"
"frozenset({'Q13614', 'OncostatinM', 'Q00613'})"
"frozenset({'OncostatinM', 'Q9P287', 'P67870'})"
"frozenset({'OncostatinM', 'Q9Y294', 'Q8IWY9'})"
"frozenset({'OncostatinM', 'Q13797', 'P21815'})"
"frozenset({'Q8NCY6', 'P25786', 'OncostatinM'})"
"frozenset({'P07900', 'OncostatinM', 'P11387'})"
"frozenset({'P42285', 'OncostatinM', 'P30153'})"
"frozenset({'OncostatinM', 'P49841', 'Q9UHR5'})"
"frozenset({'OncostatinM', 'O14874', 'Q8N5D0'})"
"frozenset({'Q92949', 'OncostatinM', 'Q8NCC5'})"
"frozenset({'OncostatinM', 'P60372', 'Q6UXX9'})"
"frozenset({'OncostatinM', 'O60234', 'Q8IU85'})"
"frozenset({'P50552', 'OncostatinM', 'O75096'})"
"frozenset({'P22681', 'OncostatinM', 'P19174'})"
"frozenset({'Q9BQ89', 'OncostatinM', 'O76011'})"
"frozenset({'OncostatinM', 'Q3SY84', 'Q13617'})"
"frozenset({'OncostatinM', 'Q9Y6OncostatinM1', 'P02751'})"
"frozenset({'OncostatinM', 'Q9UPN9', 'O96019'})"
"frozenset({'P52333', 'OncostatinM', 'Q08334'})"
"frozenset({'OncostatinM', 'Q08881', 'Q9UKW4'})"
"frozenset({'Q96CX2', 'Q96FW1', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q9UHY1', 'P63172'})"
"frozenset({'OncostatinM', 'O60701', 'Q15554'})"
"frozenset({'Q7Z3D6', 'OncostatinM', 'Q9Y3D2'})"
"frozenset({'OncostatinM', 'P11509', 'P41235'})"
"frozenset({'P25054', 'OncostatinM', 'Q99741'})"
"frozenset({'OncostatinM', 'Q12988', 'O75936'})"
"frozenset({'P28069', 'OncostatinM', 'Q15648'})"
"frozenset({'OncostatinM', 'O95467', 'P23786'})"
"frozenset({'P62136', 'OncostatinM', 'P04629'})"
"frozenset({'Q9Y618', 'OncostatinM', 'P08047'})"
"frozenset({'OncostatinM', 'Q5T7V8', 'Q96KG9'})"
"frozenset({'P58012', 'OncostatinM', 'P16619'})"
"frozenset({'OncostatinM', 'P20340', 'Q8TDW5'})"
"frozenset({'OncostatinM', 'Q13404', 'P07195'})"
"frozenset({'OncostatinM', 'O76003', 'Q15084'})"
"frozenset({'OncostatinM', 'P05556', 'P55072'})"
"frozenset({'Q15061', 'OncostatinM', 'O95071'})"
"frozenset({'Q92769', 'P23527', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P17021', 'O95273'})"
"frozenset({'P40855', 'Q969V5', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q96B26', 'Q15560'})"
"frozenset({'OncostatinM', 'Q9BQE3', 'Q99832'})"
"frozenset({'OncostatinM', 'P51884', 'Q8N1G4'})"
"frozenset({'OncostatinM', 'Q14738', 'Q66LE6'})"
"frozenset({'OncostatinM', 'Q9NZJ0', 'P38936'})"
"frozenset({'P26368', 'OncostatinM', 'O60234'})"
"frozenset({'Q14999', 'OncostatinM', 'Q8WUOncostatinM9'})"
"frozenset({'OncostatinM', 'P14778', 'O43187'})"
"frozenset({'P28482', 'OncostatinM', 'P46695'})"
"frozenset({'OncostatinM', 'Q9UOncostatinMD9', 'Q9H0L4'})"
"frozenset({'OncostatinM', 'O60383', 'Q96IZ7'})"
"frozenset({'OncostatinM', 'Q8WV44', 'Q96C24'})"
"frozenset({'OncostatinM', 'P06576', 'Q15070'})"
"frozenset({'OncostatinM', 'Q15717', 'Q13886'})"
"frozenset({'OncostatinM', 'Q5RKV6', 'Q8IZ52'})"
"frozenset({'Q08170', 'P35637', 'OncostatinM'})"
"frozenset({'P34741', 'P57078', 'OncostatinM'})"
"frozenset({'P31946', 'OncostatinM', 'P08069'})"
"frozenset({'OncostatinM', 'P04637', 'Q16637'})"
"frozenset({'OncostatinM', 'O14828', 'O94768'})"
"frozenset({'P60409', 'Q9HCN3', 'OncostatinM'})"
"frozenset({'Q9BW61', 'OncostatinM', 'P49736'})"
"frozenset({'OncostatinM', 'Q9NV96', 'Q6ZT21'})"
"frozenset({'OncostatinM', 'P24468', 'O75376'})"
"frozenset({'OncostatinM', 'P60174', 'Q13616'})"
"frozenset({'OncostatinM', 'Q15389', 'P16234'})"
"frozenset({'OncostatinM', 'P21333', 'P47756'})"
"frozenset({'OncostatinM', 'Q9BYR8', 'P61968'})"
"frozenset({'OncostatinM', 'Q96ST3', 'P10275'})"
"frozenset({'OncostatinM', 'Q9BVV2', 'Q15834'})"
"frozenset({'OncostatinM', 'Q13526', 'Q9BWG4'})"
"frozenset({'OncostatinM', 'Q01130', 'Q9UBK2'})"
"frozenset({'OncostatinM', 'Q86Y82', 'Q13144'})"
"frozenset({'OncostatinM', 'P12109', 'P26006'})"
"frozenset({'Q53HC9', 'OncostatinM', 'Q9UID3'})"
"frozenset({'Q8NGH3', 'OncostatinM', 'P32121'})"
"frozenset({'OncostatinM', 'Q05397', 'O43281'})"
"frozenset({'OncostatinM', 'Q8TDOncostatinM0', 'O95295'})"
"frozenset({'OncostatinM', 'Q16665', 'P14618'})"
"frozenset({'OncostatinM', 'Q13263', 'O14709'})"
"frozenset({'OncostatinM', 'Q9BXJ9', 'P02751'})"
"frozenset({'OncostatinM', 'Q96L34', 'O14964'})"
"frozenset({'Q9NPF4', 'OncostatinM', 'Q9BXV9'})"
"frozenset({'OncostatinM', 'Q8N960', 'Q01484'})"
"frozenset({'Q9BT22', 'OncostatinM', 'P03372'})"
"frozenset({'P18507', 'OncostatinM', 'P46459'})"
"frozenset({'OncostatinM', 'Q9Y697', 'Q6PD62'})"
"frozenset({'Q14457', 'OncostatinM', 'Q86Y13'})"
"frozenset({'O60264', 'OncostatinM', 'Q12873'})"
"frozenset({'Q04206', 'OncostatinM', 'P19876'})"
"frozenset({'OncostatinM', 'Q13322', 'Q9Y4H2'})"
"frozenset({'OncostatinM', 'Q8TC07', 'Q86VP1'})"
"frozenset({'P28222', 'OncostatinM', 'P04899'})"
"frozenset({'P04629', 'OncostatinM', 'P15692'})"
"frozenset({'P10276', 'OncostatinM', 'P78543'})"
"frozenset({'OncostatinM', 'P08670', 'O95696'})"
"frozenset({'OncostatinM', 'Q06710', 'P0DOncostatinMV8'})"
"frozenset({'Q13838', 'Q8NI27', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q9H0K1', 'Q13131'})"
"frozenset({'Q8IXJ6', 'OncostatinM', 'O15121'})"
"frozenset({'Q13618', 'OncostatinM', 'Q96CW1'})"
"frozenset({'OncostatinM', 'Q15393', 'Q8IX12'})"
"frozenset({'OncostatinM', 'Q9NXN4', 'Q9UKB1'})"
"frozenset({'O76061', 'P50613', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q7Z6Z7', 'P62829'})"
"frozenset({'OncostatinM', 'Q96RT8', 'Q08AG7'})"
"frozenset({'O43318', 'Q9NRF9', 'OncostatinM'})"
"frozenset({'OncostatinM', 'O00409', 'Q70JA7'})"
"frozenset({'OncostatinM', 'P38159', 'Q13242'})"
"frozenset({'OncostatinM', 'Q9BZQ8', 'P06748'})"
"frozenset({'OncostatinM', 'Q14160', 'Q8IY92'})"
"frozenset({'Q00534', 'OncostatinM', 'Q05519'})"
"frozenset({'OncostatinM', 'P34931', 'Q9P035'})"
"frozenset({'P35626', 'OncostatinM', 'Q8NGF9'})"
