negatives
"frozenset({'O15442', 'P24468', 'TWEAK'})"
"frozenset({'Q6NW34', 'TWEAK', 'Q8N5S9'})"
"frozenset({'P78508', 'Q96QZ7', 'TWEAK'})"
"frozenset({'P24941', 'P48634', 'TWEAK'})"
"frozenset({'P38405', 'Q8NH18', 'TWEAK'})"
"frozenset({'Q9C035', 'TWEAK', 'Q9Y6K9'})"
"frozenset({'Q9HCM4', 'TWEAK', 'Q15796'})"
"frozenset({'P35613', 'O94874', 'TWEAK'})"
"frozenset({'TWEAK', 'P49407', 'Q96KK4'})"
"frozenset({'Q9UGJ0', 'Q92574', 'TWEAK'})"
"frozenset({'O43172', 'TWEAK', 'P42702'})"
"frozenset({'P99999', 'TWEAK', 'Q07812'})"
"frozenset({'Q14653', 'Q9H171', 'TWEAK'})"
"frozenset({'Q14738', 'TWEAK', 'P10415'})"
"frozenset({'Q96CN7', 'P18206', 'TWEAK'})"
"frozenset({'P17987', 'TWEAK', 'P50991'})"
"frozenset({'Q96AP7', 'TWEAK', 'O95471'})"
"frozenset({'Q9UNN5', 'TWEAK', 'P55210'})"
"frozenset({'Q8IUC4', 'Q9BU70', 'TWEAK'})"
"frozenset({'P58557', 'TWEAK', 'P15880'})"
"frozenset({'Q149N8', 'P12004', 'TWEAK'})"
"frozenset({'Q9Y6N6', 'P16070', 'TWEAK'})"
"frozenset({'P10914', 'P06748', 'TWEAK'})"
"frozenset({'P13498', 'TWEAK', 'P14780'})"
"frozenset({'TWEAK', 'Q16236', 'Q00535'})"
"frozenset({'Q9Y5B8', 'TWEAK', 'Q9GZT8'})"
"frozenset({'P46108', 'TWEAK', 'Q8NE22'})"
"frozenset({'Q13501', 'TWEAK', 'Q92611'})"
"frozenset({'TWEAK', 'Q13643', 'Q13427'})"
"frozenset({'Q16626', 'TWEAK', 'Q8IZ83'})"
"frozenset({'TWEAK', 'Q15466', 'P19793'})"
"frozenset({'Q13617', 'Q9UHP3', 'TWEAK'})"
"frozenset({'P18084', 'P17301', 'TWEAK'})"
"frozenset({'P51398', 'TWEAK', 'P27986'})"
"frozenset({'Q13888', 'Q92759', 'TWEAK'})"
"frozenset({'P00533', 'P51795', 'TWEAK'})"
"frozenset({'Q96HJ9', 'Q10713', 'TWEAK'})"
"frozenset({'P36406', 'TWEAK', 'Q13671'})"
"frozenset({'P62857', 'P60410', 'TWEAK'})"
"frozenset({'P30504', 'TWEAK', 'Q14697'})"
"frozenset({'Q15759', 'TWEAK', 'P61952'})"
"frozenset({'Q7KZN9', 'Q02978', 'TWEAK'})"
"frozenset({'Q15008', 'Q53HC0', 'TWEAK'})"
"frozenset({'P01912', 'P55072', 'TWEAK'})"
"frozenset({'P61221', 'P08243', 'TWEAK'})"
"frozenset({'P0DML2', 'TWEAK', 'P31785'})"
"frozenset({'P46531', 'TWEAK', 'Q9H2X6'})"
"frozenset({'Q8N392', 'Q9NZW5', 'TWEAK'})"
"frozenset({'Q13148', 'TWEAK', 'Q10570'})"
"frozenset({'Q13956', 'P30556', 'TWEAK'})"
"frozenset({'P42336', 'P35968', 'TWEAK'})"
"frozenset({'Q8NFJ9', 'TWEAK', 'P60709'})"
"frozenset({'Q9Y2I6', 'TWEAK', 'Q9NRA8'})"
"frozenset({'Q14686', 'P10828', 'TWEAK'})"
"frozenset({'P46531', 'Q9UKS7', 'TWEAK'})"
