negatives
"frozenset({'TNFalpha', 'P31431', 'P35442'})"
"frozenset({'O75665', 'Q96ST8', 'TNFalpha'})"
"frozenset({'Q7Z3B1', 'P61916', 'TNFalpha'})"
"frozenset({'Q9Y240', 'TNFalpha', 'Q9Y6D9'})"
"frozenset({'O00165', 'P04629', 'TNFalpha'})"
"frozenset({'Q9Y3E0', 'TNFalpha', 'Q9NQC3'})"
"frozenset({'Q96EV2', 'Q01844', 'TNFalpha'})"
"frozenset({'P04637', 'O15151', 'TNFalpha'})"
"frozenset({'P04629', 'TNFalpha', 'Q96T51'})"
"frozenset({'P27694', 'Q9H6T0', 'TNFalpha'})"
"frozenset({'P25788', 'TNFalpha', 'Q9Y265'})"
"frozenset({'P61421', 'O75794', 'TNFalpha'})"
"frozenset({'Q9H0R8', 'TNFalpha', 'P60660'})"
"frozenset({'Q8N752', 'O15169', 'TNFalpha'})"
"frozenset({'P31947', 'TNFalpha', 'P07305'})"
"frozenset({'O14519', 'TNFalpha', 'O94880'})"
"frozenset({'P51692', 'Q9UIQ6', 'TNFalpha'})"
"frozenset({'Q96BY2', 'TNFalpha', 'Q9UHD9'})"
"frozenset({'Q8N7H5', 'TNFalpha', 'O00311'})"
"frozenset({'Q8IZJ0', 'TNFalpha', 'Q99650'})"
"frozenset({'Q96KQ7', 'TNFalpha', 'Q9UM22'})"
"frozenset({'P31150', 'P22061', 'TNFalpha'})"
"frozenset({'P49407', 'TNFalpha', 'Q8N349'})"
"frozenset({'Q9GZR1', 'P0DPB3', 'TNFalpha'})"
"frozenset({'Q5UIP0', 'Q9UHY1', 'TNFalpha'})"
"frozenset({'Q92731', 'TNFalpha', 'Q9BQG0'})"
"frozenset({'O14654', 'TNFalpha', 'P58340'})"
"frozenset({'P08865', 'P62829', 'TNFalpha'})"
"frozenset({'P04637', 'P51813', 'TNFalpha'})"
"frozenset({'Q0VD86', 'TNFalpha', 'Q53HC5'})"
"frozenset({'Q96HN2', 'Q8IXZ2', 'TNFalpha'})"
"frozenset({'Q8IUB9', 'Q9H0I2', 'TNFalpha'})"
"frozenset({'Q9BUQ8', 'TNFalpha', 'Q96IZ7'})"
"frozenset({'P32121', 'P07910', 'TNFalpha'})"
"frozenset({'O00170', 'TNFalpha', 'Q86SG6'})"
"frozenset({'P61289', 'Q9GZX7', 'TNFalpha'})"
"frozenset({'Q96LJ7', 'TNFalpha', 'O14633'})"
"frozenset({'P05107', 'P56945', 'TNFalpha'})"
"frozenset({'Q5TB80', 'Q96M89', 'TNFalpha'})"
"frozenset({'Q53G59', 'TNFalpha', 'Q14129'})"
"frozenset({'P41235', 'P26927', 'TNFalpha'})"
"frozenset({'O60506', 'TNFalpha', 'O00308'})"
"frozenset({'Q12778', 'Q9UNE7', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P35232', 'Q16643'})"
"frozenset({'Q9BSJ2', 'Q9H4B6', 'TNFalpha'})"
"frozenset({'P25705', 'TNFalpha', 'Q96FW1'})"
"frozenset({'Q9Y6B6', 'TNFalpha', 'P21589'})"
"frozenset({'Q8WYR1', 'P19875', 'TNFalpha'})"
"frozenset({'P04629', 'TNFalpha', 'Q86VP1'})"
"frozenset({'P30622', 'TNFalpha', 'Q9ULU8'})"
"frozenset({'P55769', 'TNFalpha', 'Q9Y5B9'})"
"frozenset({'Q00839', 'P38646', 'TNFalpha'})"
"frozenset({'Q8NCW5', 'TNFalpha', 'Q12882'})"
"frozenset({'Q92674', 'Q9H3R5', 'TNFalpha'})"
"frozenset({'Q13233', 'TNFalpha', 'P62993'})"
"frozenset({'Q96GX1', 'TNFalpha', 'P54709'})"
"frozenset({'P05067', 'O14818', 'TNFalpha'})"
"frozenset({'Q00688', 'P35249', 'TNFalpha'})"
"frozenset({'Q16854', 'TNFalpha', 'Q14194'})"
"frozenset({'P05067', 'TNFalpha', 'P29474'})"
"frozenset({'Q9UFG5', 'Q9UEU0', 'TNFalpha'})"
"frozenset({'Q70EL2', 'P38159', 'TNFalpha'})"
"frozenset({'P04629', 'Q96ME1', 'TNFalpha'})"
"frozenset({'Q14966', 'TNFalpha', 'Q99459'})"
"frozenset({'P62273', 'Q9BY44', 'TNFalpha'})"
"frozenset({'O00754', 'Q99801', 'TNFalpha'})"
"frozenset({'O75147', 'TNFalpha', 'P62241'})"
"frozenset({'Q05513', 'Q9ULK5', 'TNFalpha'})"
"frozenset({'P17612', 'Q8NGX8', 'TNFalpha'})"
"frozenset({'P15923', 'O75081', 'TNFalpha'})"
"frozenset({'P19320', 'Q99615', 'TNFalpha'})"
"frozenset({'P28799', 'Q66K80', 'TNFalpha'})"
"frozenset({'O95831', 'Q14197', 'TNFalpha'})"
"frozenset({'Q96LA8', 'Q96EY1', 'TNFalpha'})"
"frozenset({'P60953', 'TNFalpha', 'Q14588'})"
"frozenset({'TNFalpha', 'P40337', 'Q8N4S0'})"
"frozenset({'O00443', 'Q8N5S1', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9NV58', 'P55072'})"
"frozenset({'P51665', 'TNFalpha', 'O95630'})"
"frozenset({'Q8NF99', 'O60304', 'TNFalpha'})"
"frozenset({'P17174', 'Q9Y3A5', 'TNFalpha'})"
"frozenset({'O60262', 'Q8NGF1', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q99459', 'Q01780'})"
"frozenset({'Q13177', 'TNFalpha', 'Q15019'})"
"frozenset({'Q9BQG1', 'TNFalpha', 'P60880'})"
"frozenset({'P35226', 'TNFalpha', 'P63279'})"
"frozenset({'P25445', 'Q99683', 'TNFalpha'})"
"frozenset({'P10645', 'Q16543', 'TNFalpha'})"
"frozenset({'P53350', 'Q9Y6A4', 'TNFalpha'})"
"frozenset({'P10644', 'P08708', 'TNFalpha'})"
"frozenset({'P35609', 'Q9UMS6', 'TNFalpha'})"
"frozenset({'Q13620', 'TNFalpha', 'P63172'})"
"frozenset({'P49765', 'Q9BRJ7', 'TNFalpha'})"
"frozenset({'P43250', 'TNFalpha', 'P51677'})"
"frozenset({'O43143', 'TNFalpha', 'Q49AN0'})"
"frozenset({'Q14839', 'TNFalpha', 'P63279'})"
"frozenset({'Q7Z736', 'TNFalpha', 'Q86WV1'})"
"frozenset({'Q14722', 'TNFalpha', 'P46934'})"
"frozenset({'P49407', 'TNFalpha', 'P23527'})"
"frozenset({'Q8IX12', 'P38159', 'TNFalpha'})"
"frozenset({'Q8IVT5', 'P30305', 'TNFalpha'})"
"frozenset({'Q6GQQ9', 'O14980', 'TNFalpha'})"
"frozenset({'Q86VZ1', 'Q9NRX5', 'TNFalpha'})"
"frozenset({'Q96HA1', 'Q96G97', 'TNFalpha'})"
"frozenset({'P22626', 'Q8TF42', 'TNFalpha'})"
"frozenset({'P63104', 'Q9Y2A7', 'TNFalpha'})"
"frozenset({'Q9NXJ5', 'TNFalpha', 'P45378'})"
"frozenset({'P26196', 'Q12933', 'TNFalpha'})"
"frozenset({'P55854', 'TNFalpha', 'Q15437'})"
"frozenset({'Q9P1Q5', 'TNFalpha', 'P22612'})"
"frozenset({'TNFalpha', 'Q9H204', 'Q969H0'})"
"frozenset({'P34947', 'Q9Y5B0', 'TNFalpha'})"
"frozenset({'P47897', 'O43542', 'TNFalpha'})"
"frozenset({'Q6ZT21', 'TNFalpha', 'Q9H5K3'})"
"frozenset({'Q8NFH5', 'Q9Y2U8', 'TNFalpha'})"
"frozenset({'P01877', 'TNFalpha', 'P43631'})"
"frozenset({'P41143', 'P16615', 'TNFalpha'})"
"frozenset({'Q08945', 'P06702', 'TNFalpha'})"
"frozenset({'P50990', 'TNFalpha', 'Q8NHY2'})"
"frozenset({'Q9BQ52', 'Q15796', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O75381', 'P09543'})"
"frozenset({'Q15813', 'P46926', 'TNFalpha'})"
"frozenset({'Q8TBB1', 'TNFalpha', 'Q9BQD3'})"
"frozenset({'P50991', 'TNFalpha', 'Q49AN0'})"
"frozenset({'Q9H4L5', 'TNFalpha', 'Q04917'})"
"frozenset({'Q92963', 'Q13129', 'TNFalpha'})"
"frozenset({'Q15154', 'P08727', 'TNFalpha'})"
"frozenset({'P62807', 'Q9Y2U8', 'TNFalpha'})"
"frozenset({'O60673', 'TNFalpha', 'P12004'})"
"frozenset({'Q9H267', 'P15313', 'TNFalpha'})"
"frozenset({'Q71U36', 'Q96Q15', 'TNFalpha'})"
"frozenset({'Q562R1', 'TNFalpha', 'P57740'})"
"frozenset({'P08069', 'TNFalpha', 'P08238'})"
"frozenset({'Q6NUS6', 'Q96RQ1', 'TNFalpha'})"
"frozenset({'Q15788', 'P48023', 'TNFalpha'})"
"frozenset({'P38398', 'TNFalpha', 'Q7Z333'})"
"frozenset({'Q9Y6W5', 'P00519', 'TNFalpha'})"
"frozenset({'P22694', 'O95047', 'TNFalpha'})"
"frozenset({'Q9Y2Z4', 'TNFalpha', 'Q8IZU0'})"
"frozenset({'Q96DF8', 'TNFalpha', 'P63244'})"
"frozenset({'O95831', 'TNFalpha', 'Q6NUN9'})"
"frozenset({'Q15543', 'TNFalpha', 'Q15544'})"
"frozenset({'P15170', 'TNFalpha', 'P60520'})"
"frozenset({'Q9UNY5', 'TNFalpha', 'Q5JR59'})"
"frozenset({'P05067', 'TNFalpha', 'P62877'})"
"frozenset({'P48051', 'TNFalpha', 'P08754'})"
"frozenset({'Q13838', 'Q9HB07', 'TNFalpha'})"
"frozenset({'Q15323', 'Q9ULK2', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P24001', 'P49023'})"
"frozenset({'P04075', 'Q99714', 'TNFalpha'})"
"frozenset({'P03372', 'TNFalpha', 'Q75N03'})"
"frozenset({'Q9UQM7', 'TNFalpha', 'Q6P1W5'})"
"frozenset({'Q9HD36', 'Q96PG8', 'TNFalpha'})"
"frozenset({'O95168', 'TNFalpha', 'P33897'})"
"frozenset({'Q9C005', 'O43395', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q49A88', 'Q92569'})"
"frozenset({'Q14596', 'TNFalpha', 'Q99759'})"
"frozenset({'Q969V5', 'Q96QK1', 'TNFalpha'})"
"frozenset({'Q9BVJ6', 'TNFalpha', 'Q99459'})"
"frozenset({'TNFalpha', 'P61218', 'Q96C57'})"
"frozenset({'O15389', 'TNFalpha', 'O60880'})"
"frozenset({'A8MQ03', 'P50222', 'TNFalpha'})"
"frozenset({'Q13835', 'TNFalpha', 'Q9Y5K5'})"
"frozenset({'Q13838', 'P13804', 'TNFalpha'})"
"frozenset({'Q9Y4K3', 'TNFalpha', 'Q8TD23'})"
"frozenset({'Q15366', 'P19320', 'TNFalpha'})"
"frozenset({'Q58F21', 'O60563', 'TNFalpha'})"
"frozenset({'Q8TAP6', 'P32969', 'TNFalpha'})"
"frozenset({'O00483', 'P12235', 'TNFalpha'})"
"frozenset({'Q01973', 'TNFalpha', 'O60343'})"
"frozenset({'Q7Z3S9', 'O75427', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9Y490', 'P26010'})"
"frozenset({'O95503', 'Q86SE9', 'TNFalpha'})"
"frozenset({'P51784', 'TNFalpha', 'Q9H9Y6'})"
"frozenset({'Q01860', 'TNFalpha', 'Q14181'})"
"frozenset({'Q9UMY4', 'Q96EP5', 'TNFalpha'})"
"frozenset({'O95166', 'Q15365', 'TNFalpha'})"
"frozenset({'Q9NXR1', 'TNFalpha', 'Q9H6Z9'})"
"frozenset({'Q04864', 'P0DP23', 'TNFalpha'})"
"frozenset({'Q9UBN7', 'Q9HC77', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O60341', 'Q5VZL5'})"
"frozenset({'TNFalpha', 'P56556', 'Q16718'})"
"frozenset({'Q00978', 'TNFalpha', 'P54259'})"
"frozenset({'P48651', 'Q8IWL3', 'TNFalpha'})"
"frozenset({'Q99538', 'Q969Q6', 'TNFalpha'})"
"frozenset({'Q07890', 'TNFalpha', 'P17301'})"
"frozenset({'Q8N3R9', 'Q9Y2J4', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q96RU2', 'Q9Y5K5'})"
"frozenset({'O95563', 'Q9NR28', 'TNFalpha'})"
"frozenset({'Q6ICB0', 'Q9HCE1', 'TNFalpha'})"
"frozenset({'Q9Y478', 'TNFalpha', 'Q8N1F7'})"
"frozenset({'Q12986', 'P52597', 'TNFalpha'})"
"frozenset({'P43405', 'P32927', 'TNFalpha'})"
"frozenset({'P36542', 'TNFalpha', 'Q99807'})"
"frozenset({'Q01664', 'Q14008', 'TNFalpha'})"
"frozenset({'Q9H2P0', 'O14862', 'TNFalpha'})"
"frozenset({'Q9NP74', 'Q9Y5L4', 'TNFalpha'})"
"frozenset({'P49257', 'O00116', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9NWV4', 'A0AVT1'})"
"frozenset({'Q16531', 'O95166', 'TNFalpha'})"
"frozenset({'P48431', 'O76094', 'TNFalpha'})"
"frozenset({'Q9Y2X3', 'TNFalpha', 'P61956'})"
"frozenset({'Q9Y3B4', 'O75934', 'TNFalpha'})"
"frozenset({'P07910', 'O75525', 'TNFalpha'})"
"frozenset({'O60216', 'TNFalpha', 'O75122'})"
"frozenset({'O60232', 'TNFalpha', 'Q9Y2Z0'})"
"frozenset({'P26715', 'TNFalpha', 'P01889'})"
"frozenset({'Q9Y2P4', 'TNFalpha', 'P01909'})"
"frozenset({'O43290', 'TNFalpha', 'P23246'})"
"frozenset({'Q9BPU9', 'Q5VUA4', 'TNFalpha'})"
"frozenset({'Q16623', 'Q9BXJ8', 'TNFalpha'})"
"frozenset({'P35749', 'Q99972', 'TNFalpha'})"
"frozenset({'Q12967', 'P37840', 'TNFalpha'})"
"frozenset({'Q9P2P5', 'Q8IY63', 'TNFalpha'})"
"frozenset({'P53367', 'P30520', 'TNFalpha'})"
"frozenset({'O95243', 'P14373', 'TNFalpha'})"
"frozenset({'Q92824', 'TNFalpha', 'Q03405'})"
"frozenset({'Q8TAG9', 'Q96EV8', 'TNFalpha'})"
"frozenset({'O00399', 'Q969W9', 'TNFalpha'})"
"frozenset({'P26368', 'TNFalpha', 'P50502'})"
"frozenset({'Q6P1X5', 'Q16695', 'TNFalpha'})"
"frozenset({'Q9NYF0', 'P24723', 'TNFalpha'})"
"frozenset({'O00422', 'Q9UMX1', 'TNFalpha'})"
"frozenset({'Q9Y2A7', 'TNFalpha', 'P31946'})"
"frozenset({'Q9BQA5', 'P46013', 'TNFalpha'})"
"frozenset({'P19793', 'TNFalpha', 'Q9Y3R0'})"
"frozenset({'P14618', 'TNFalpha', 'Q8TBB1'})"
"frozenset({'P82650', 'Q9BYN8', 'TNFalpha'})"
"frozenset({'Q7Z6Z7', 'P52655', 'TNFalpha'})"
"frozenset({'P78371', 'Q9Y2T4', 'TNFalpha'})"
"frozenset({'Q13007', 'TNFalpha', 'Q86YC2'})"
"frozenset({'O75153', 'Q9UG63', 'TNFalpha'})"
"frozenset({'Q8NFM4', 'TNFalpha', 'Q8WZA2'})"
"frozenset({'Q15165', 'TNFalpha', 'Q9Y230'})"
"frozenset({'Q9Y4G8', 'TNFalpha', 'Q07157'})"
"frozenset({'Q5XUX0', 'Q9NPB6', 'TNFalpha'})"
"frozenset({'Q15427', 'TNFalpha', 'Q8IYB3'})"
"frozenset({'Q07890', 'Q12929', 'TNFalpha'})"
"frozenset({'A5D8V6', 'TNFalpha', 'P25788'})"
"frozenset({'TNFalpha', 'P63000', 'O15031'})"
"frozenset({'P04792', 'TNFalpha', 'P31946'})"
"frozenset({'Q16254', 'TNFalpha', 'P0DPB6'})"
"frozenset({'P05412', 'TNFalpha', 'P14735'})"
"frozenset({'O43597', 'TNFalpha', 'P32242'})"
"frozenset({'P46940', 'P35611', 'TNFalpha'})"
"frozenset({'P40763', 'TNFalpha', 'P08670'})"
"frozenset({'Q8N3R9', 'Q8WXH5', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O00471', 'O15014'})"
"frozenset({'TNFalpha', 'P05423', 'P31274'})"
"frozenset({'Q9NR28', 'TNFalpha', 'Q15717'})"
"frozenset({'P04629', 'TNFalpha', 'Q9H2M9'})"
"frozenset({'Q8N108', 'TNFalpha', 'Q96A08'})"
"frozenset({'O60216', 'TNFalpha', 'Q8WZ74'})"
"frozenset({'Q01344', 'O75159', 'TNFalpha'})"
"frozenset({'Q16659', 'TNFalpha', 'P54709'})"
"frozenset({'Q8TDM0', 'Q8WYN0', 'TNFalpha'})"
"frozenset({'Q9H0I2', 'TNFalpha', 'Q9Y6K9'})"
"frozenset({'P25440', 'P67870', 'TNFalpha'})"
"frozenset({'O00264', 'P27824', 'TNFalpha'})"
"frozenset({'Q13356', 'Q9H9L4', 'TNFalpha'})"
"frozenset({'Q13620', 'TNFalpha', 'P60484'})"
"frozenset({'P98160', 'O43597', 'TNFalpha'})"
"frozenset({'P61326', 'P35226', 'TNFalpha'})"
"frozenset({'Q9P2W3', 'Q9GZK7', 'TNFalpha'})"
"frozenset({'P01563', 'TNFalpha', 'Q08334'})"
"frozenset({'Q96HC4', 'TNFalpha', 'Q6ZU80'})"
"frozenset({'P28482', 'TNFalpha', 'Q9Y463'})"
"frozenset({'P42771', 'P06748', 'TNFalpha'})"
"frozenset({'Q03519', 'TNFalpha', 'P30443'})"
"frozenset({'Q8N6L0', 'TNFalpha', 'Q9Y228'})"
"frozenset({'Q9NYG8', 'P50914', 'TNFalpha'})"
"frozenset({'Q96SI1', 'P54274', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P0DMV9', 'Q15717'})"
"frozenset({'O60840', 'TNFalpha', 'Q9UK08'})"
"frozenset({'Q14790', 'TNFalpha', 'P08670'})"
"frozenset({'Q15366', 'TNFalpha', 'Q9BV73'})"
"frozenset({'Q9ULT8', 'TNFalpha', 'Q14738'})"
"frozenset({'O75150', 'P03372', 'TNFalpha'})"
"frozenset({'Q8NFH4', 'TNFalpha', 'Q12769'})"
"frozenset({'Q92905', 'P08708', 'TNFalpha'})"
"frozenset({'P62873', 'Q02156', 'TNFalpha'})"
"frozenset({'P01569', 'O60674', 'TNFalpha'})"
"frozenset({'P62873', 'Q8NGD1', 'TNFalpha'})"
"frozenset({'Q14681', 'Q5JRV8', 'TNFalpha'})"
"frozenset({'Q8TES7', 'TNFalpha', 'Q9UKT9'})"
"frozenset({'Q8TEQ6', 'TNFalpha', 'P83369'})"
"frozenset({'Q13017', 'TNFalpha', 'Q7L0Q8'})"
"frozenset({'Q9GZT3', 'TNFalpha', 'Q9BRX9'})"
"frozenset({'Q08380', 'TNFalpha', 'O15078'})"
"frozenset({'Q7Z6R9', 'Q58EX7', 'TNFalpha'})"
"frozenset({'Q13286', 'TNFalpha', 'P12236'})"
"frozenset({'P42336', 'P40197', 'TNFalpha'})"
"frozenset({'Q96LR5', 'Q96QH2', 'TNFalpha'})"
"frozenset({'Q00005', 'Q7Z3S7', 'TNFalpha'})"
"frozenset({'Q96A37', 'TNFalpha', 'P09874'})"
"frozenset({'P27348', 'Q9UJM3', 'TNFalpha'})"
"frozenset({'P30622', 'O14777', 'TNFalpha'})"
"frozenset({'P37198', 'TNFalpha', 'Q9Y547'})"
"frozenset({'O75934', 'Q7Z3Y8', 'TNFalpha'})"
"frozenset({'Q9UIK4', 'TNFalpha', 'A8MW95'})"
"frozenset({'O75400', 'TNFalpha', 'P23246'})"
"frozenset({'O75947', 'P0C7P0', 'TNFalpha'})"
"frozenset({'Q6ZRV2', 'O14544', 'TNFalpha'})"
"frozenset({'Q8NBJ4', 'P56539', 'TNFalpha'})"
"frozenset({'Q15233', 'TNFalpha', 'O96017'})"
"frozenset({'P05026', 'Q15796', 'TNFalpha'})"
"frozenset({'Q14938', 'TNFalpha', 'P12755'})"
"frozenset({'Q58FG0', 'TNFalpha', 'P62241'})"
"frozenset({'P15927', 'P07951', 'TNFalpha'})"
"frozenset({'Q9NYY1', 'P48357', 'TNFalpha'})"
"frozenset({'Q9UNA4', 'TNFalpha', 'P41227'})"
"frozenset({'Q92915', 'P06213', 'TNFalpha'})"
"frozenset({'Q8TF50', 'Q5MJ10', 'TNFalpha'})"
"frozenset({'Q01844', 'P78318', 'TNFalpha'})"
"frozenset({'O75530', 'TNFalpha', 'P51532'})"
"frozenset({'P25098', 'TNFalpha', 'P25025'})"
"frozenset({'P0C7W6', 'Q969G3', 'TNFalpha'})"
"frozenset({'O75208', 'TNFalpha', 'Q8NI60'})"
"frozenset({'O94923', 'O75815', 'TNFalpha'})"
"frozenset({'P22694', 'Q6IF36', 'TNFalpha'})"
"frozenset({'P38936', 'P62851', 'TNFalpha'})"
"frozenset({'P05412', 'TNFalpha', 'Q10567'})"
"frozenset({'P55060', 'TNFalpha', 'Q9Y6K9'})"
"frozenset({'Q96JG6', 'Q5VIR6', 'TNFalpha'})"
"frozenset({'P60369', 'P47992', 'TNFalpha'})"
"frozenset({'Q12929', 'O14645', 'TNFalpha'})"
"frozenset({'Q07889', 'Q8NHR9', 'TNFalpha'})"
"frozenset({'Q86V81', 'TNFalpha', 'Q69YN4'})"
"frozenset({'Q9HCK8', 'Q86T82', 'TNFalpha'})"
"frozenset({'Q9UQM7', 'TNFalpha', 'Q96GE6'})"
"frozenset({'Q14019', 'TNFalpha', 'P16871'})"
"frozenset({'P51805', 'O14786', 'TNFalpha'})"
"frozenset({'Q8N443', 'Q8IYX1', 'TNFalpha'})"
"frozenset({'TNFalpha', 'A6NEM1', 'P17021'})"
"frozenset({'P32121', 'TNFalpha', 'Q8NGT0'})"
"frozenset({'P30153', 'TNFalpha', 'P57078'})"
"frozenset({'Q00403', 'TNFalpha', 'Q6NS38'})"
"frozenset({'Q53H12', 'Q96GX1', 'TNFalpha'})"
"frozenset({'O43679', 'TNFalpha', 'Q6DKK2'})"
"frozenset({'Q16181', 'Q96B97', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P12980', 'Q7L0Q8'})"
"frozenset({'O43186', 'TNFalpha', 'O43711'})"
"frozenset({'P18827', 'P05106', 'TNFalpha'})"
"frozenset({'P22694', 'Q8NG77', 'TNFalpha'})"
"frozenset({'Q9BZS1', 'TNFalpha', 'P0DMV8'})"
"frozenset({'Q5JWF2', 'TNFalpha', 'O14908'})"
"frozenset({'Q99567', 'P27701', 'TNFalpha'})"
"frozenset({'Q9NX70', 'TNFalpha', 'P10827'})"
"frozenset({'Q9Y4G6', 'TNFalpha', 'Q9BTE7'})"
"frozenset({'P01106', 'Q02539', 'TNFalpha'})"
"frozenset({'O95467', 'P04629', 'TNFalpha'})"
"frozenset({'Q12965', 'P47755', 'TNFalpha'})"
"frozenset({'P61966', 'P63010', 'TNFalpha'})"
"frozenset({'Q13895', 'P35544', 'TNFalpha'})"
"frozenset({'Q99755', 'P07199', 'TNFalpha'})"
"frozenset({'Q8NC69', 'Q9UK80', 'TNFalpha'})"
"frozenset({'O43920', 'TNFalpha', 'P22612'})"
"frozenset({'TNFalpha', 'P62136', 'Q14CS0'})"
"frozenset({'Q13286', 'Q92604', 'TNFalpha'})"
"frozenset({'P00390', 'O96008', 'TNFalpha'})"
"frozenset({'P30085', 'TNFalpha', 'Q9H1Y0'})"
"frozenset({'Q8IWZ5', 'Q9BYR5', 'TNFalpha'})"
"frozenset({'Q66LE6', 'Q15170', 'TNFalpha'})"
"frozenset({'P11831', 'TNFalpha', 'P35269'})"
"frozenset({'TNFalpha', 'P49674', 'P48729'})"
"frozenset({'Q8N137', 'TNFalpha', 'P33981'})"
"frozenset({'Q96QK1', 'TNFalpha', 'P49286'})"
"frozenset({'P32121', 'P49682', 'TNFalpha'})"
"frozenset({'Q00722', 'TNFalpha', 'P63000'})"
"frozenset({'Q03181', 'P19838', 'TNFalpha'})"
"frozenset({'P51571', 'TNFalpha', 'Q15714'})"
"frozenset({'Q8NF64', 'Q8WXK3', 'TNFalpha'})"
"frozenset({'Q9H1R3', 'Q9HAU4', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P12830', 'O14562'})"
"frozenset({'Q5T5B0', 'TNFalpha', 'P05187'})"
"frozenset({'P09769', 'TNFalpha', 'P98082'})"
"frozenset({'Q08117', 'Q99963', 'TNFalpha'})"
"frozenset({'O60262', 'A6NHA9', 'TNFalpha'})"
"frozenset({'P41597', 'O00585', 'TNFalpha'})"
"frozenset({'Q9HBV2', 'Q68DH5', 'TNFalpha'})"
"frozenset({'Q9BYR3', 'TNFalpha', 'Q8NEC5'})"
"frozenset({'P63167', 'TNFalpha', 'Q13627'})"
"frozenset({'Q9NYU1', 'TNFalpha', 'Q9BSE5'})"
"frozenset({'TNFalpha', 'Q13465', 'Q9P0K8'})"
"frozenset({'P46531', 'TNFalpha', 'O00303'})"
"frozenset({'O75147', 'Q07021', 'TNFalpha'})"
"frozenset({'P56880', 'TNFalpha', 'P56747'})"
"frozenset({'P49407', 'TNFalpha', 'Q6IFN5'})"
"frozenset({'Q9UHA4', 'Q9UBB5', 'TNFalpha'})"
"frozenset({'O14807', 'P62879', 'TNFalpha'})"
"frozenset({'P12755', 'TNFalpha', 'O43255'})"
"frozenset({'P61313', 'P62906', 'TNFalpha'})"
"frozenset({'P15313', 'TNFalpha', 'P21926'})"
"frozenset({'TNFalpha', 'P43686', 'P60900'})"
"frozenset({'TNFalpha', 'Q9BYG3', 'Q8IY37'})"
"frozenset({'O43823', 'TNFalpha', 'Q49AN0'})"
"frozenset({'Q8NFH5', 'Q9H3P7', 'TNFalpha'})"
"frozenset({'P78317', 'TNFalpha', 'P10275'})"
"frozenset({'Q99829', 'P31943', 'TNFalpha'})"
"frozenset({'Q562R1', 'Q13620', 'TNFalpha'})"
"frozenset({'P05412', 'Q02543', 'TNFalpha'})"
"frozenset({'P35244', 'Q6I9Y2', 'TNFalpha'})"
"frozenset({'P17612', 'TNFalpha', 'Q00613'})"
"frozenset({'Q8N0Z3', 'Q9BSC4', 'TNFalpha'})"
"frozenset({'P38919', 'TNFalpha', 'A0AVT1'})"
"frozenset({'O15111', 'TNFalpha', 'Q05639'})"
"frozenset({'P54105', 'TNFalpha', 'P62312'})"
"frozenset({'Q8TBZ6', 'TNFalpha', 'Q13257'})"
"frozenset({'P05067', 'Q9Y615', 'TNFalpha'})"
"frozenset({'Q8IXJ9', 'TNFalpha', 'Q9P267'})"
"frozenset({'Q99627', 'Q9BT78', 'TNFalpha'})"
"frozenset({'Q9BXN2', 'TNFalpha', 'P17931'})"
"frozenset({'P11142', 'TNFalpha', 'Q9NZL4'})"
"frozenset({'Q9NPH5', 'TNFalpha', 'Q04206'})"
"frozenset({'Q92597', 'P12830', 'TNFalpha'})"
"frozenset({'Q15170', 'Q96EI5', 'TNFalpha'})"
"frozenset({'P34982', 'P25098', 'TNFalpha'})"
"frozenset({'Q00839', 'Q14134', 'TNFalpha'})"
"frozenset({'Q96K58', 'TNFalpha', 'Q96HE9'})"
"frozenset({'TNFalpha', 'P16333', 'Q96NS5'})"
"frozenset({'Q12983', 'Q07820', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O95684', 'Q9Y6R9'})"
"frozenset({'Q9Y6E7', 'TNFalpha', 'O75439'})"
"frozenset({'TNFalpha', 'P51659', 'Q16740'})"
"frozenset({'P35222', 'P14618', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9H2P9', 'Q8N0X7'})"
"frozenset({'P35268', 'O95433', 'TNFalpha'})"
"frozenset({'P09923', 'TNFalpha', 'Q15717'})"
"frozenset({'Q92896', 'TNFalpha', 'Q13501'})"
"frozenset({'P35251', 'TNFalpha', 'P43246'})"
"frozenset({'P19838', 'Q86X83', 'TNFalpha'})"
"frozenset({'Q92526', 'O15442', 'TNFalpha'})"
"frozenset({'Q9Y617', 'Q96EN8', 'TNFalpha'})"
"frozenset({'P33176', 'Q8NAP8', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q86WX3', 'Q07627'})"
