negatives
"frozenset({'P14859', 'P08047', 'TNFalpha'})"
"frozenset({'P01011', 'TNFalpha', 'P38606'})"
"frozenset({'P60411', 'Q9P0T4', 'TNFalpha'})"
"frozenset({'P50238', 'P60033', 'TNFalpha'})"
"frozenset({'P17612', 'TNFalpha', 'Q9Y5P1'})"
"frozenset({'P62987', 'Q16875', 'TNFalpha'})"
"frozenset({'Q8WXH6', 'Q15369', 'TNFalpha'})"
"frozenset({'O00463', 'TNFalpha', 'P57078'})"
"frozenset({'P63096', 'P35462', 'TNFalpha'})"
"frozenset({'Q9BUV0', 'TNFalpha', 'P49761'})"
"frozenset({'O60664', 'TNFalpha', 'P12980'})"
"frozenset({'Q6TCH7', 'Q92466', 'TNFalpha'})"
"frozenset({'Q7L190', 'O75342', 'TNFalpha'})"
"frozenset({'P16949', 'TNFalpha', 'P04818'})"
"frozenset({'TNFalpha', 'Q9Y375', 'O95139'})"
"frozenset({'TNFalpha', 'P24941', 'O43524'})"
"frozenset({'P28482', 'Q9BX93', 'TNFalpha'})"
"frozenset({'Q05655', 'TNFalpha', 'Q9BRD0'})"
"frozenset({'Q7Z4P5', 'Q13253', 'TNFalpha'})"
"frozenset({'P20823', 'TNFalpha', 'P08670'})"
"frozenset({'F7VJQ1', 'TNFalpha', 'Q96L34'})"
"frozenset({'P09471', 'Q01970', 'TNFalpha'})"
"frozenset({'Q15418', 'TNFalpha', 'P55072'})"
"frozenset({'Q6ZNE9', 'TNFalpha', 'P55273'})"
"frozenset({'Q86TC9', 'TNFalpha', 'Q15327'})"
"frozenset({'P51692', 'Q02763', 'TNFalpha'})"
"frozenset({'Q6P2D0', 'TNFalpha', 'Q92769'})"
"frozenset({'Q92572', 'Q96T51', 'TNFalpha'})"
"frozenset({'P28066', 'TNFalpha', 'P53992'})"
"frozenset({'Q9H2A7', 'P05067', 'TNFalpha'})"
"frozenset({'P23284', 'TNFalpha', 'P09104'})"
"frozenset({'Q1MX18', 'P55040', 'TNFalpha'})"
"frozenset({'Q01196', 'P07333', 'TNFalpha'})"
"frozenset({'Q99426', 'Q9HB40', 'TNFalpha'})"
"frozenset({'P05067', 'TNFalpha', 'Q9H3J6'})"
"frozenset({'Q9P0N5', 'Q9Y5Z9', 'TNFalpha'})"
"frozenset({'Q9BXS5', 'Q5TBB1', 'TNFalpha'})"
"frozenset({'Q8TDD5', 'Q9UHQ9', 'TNFalpha'})"
"frozenset({'P48551', 'Q8TAD2', 'TNFalpha'})"
"frozenset({'Q99523', 'TNFalpha', 'Q96NY9'})"
"frozenset({'Q9BYR8', 'TNFalpha', 'Q7L0R7'})"
"frozenset({'Q9HD15', 'TNFalpha', 'Q9H832'})"
"frozenset({'P40763', 'TNFalpha', 'Q96KP4'})"
"frozenset({'Q02080', 'TNFalpha', 'P41182'})"
"frozenset({'Q9H8M7', 'Q9NZW5', 'TNFalpha'})"
"frozenset({'P35226', 'TNFalpha', 'O75319'})"
"frozenset({'P61978', 'TNFalpha', 'P29692'})"
"frozenset({'P28065', 'Q9Y6Q9', 'TNFalpha'})"
"frozenset({'O43251', 'TNFalpha', 'P54259'})"
"frozenset({'P42566', 'P35579', 'TNFalpha'})"
"frozenset({'O60729', 'Q5MJ10', 'TNFalpha'})"
"frozenset({'Q9Y5K3', 'P27361', 'TNFalpha'})"
"frozenset({'P38919', 'O75152', 'TNFalpha'})"
"frozenset({'P52815', 'P50914', 'TNFalpha'})"
"frozenset({'Q8N474', 'TNFalpha', 'P56705'})"
"frozenset({'Q00005', 'Q13618', 'TNFalpha'})"
"frozenset({'P48147', 'TNFalpha', 'P10809'})"
"frozenset({'Q495W5', 'Q86YD3', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q6ZT12', 'P63146'})"
"frozenset({'Q99728', 'TNFalpha', 'Q9P2H0'})"
"frozenset({'Q13488', 'O75787', 'TNFalpha'})"
"frozenset({'P24385', 'Q9BYX2', 'TNFalpha'})"
"frozenset({'Q96GM5', 'TNFalpha', 'Q8NFZ5'})"
"frozenset({'Q70CQ2', 'Q9NRR5', 'TNFalpha'})"
"frozenset({'P61289', 'P20618', 'TNFalpha'})"
"frozenset({'Q15562', 'TNFalpha', 'Q15717'})"
"frozenset({'P22695', 'P49257', 'TNFalpha'})"
"frozenset({'Q8IXJ6', 'TNFalpha', 'P06493'})"
"frozenset({'Q14241', 'Q8IYX8', 'TNFalpha'})"
"frozenset({'P52434', 'P38398', 'TNFalpha'})"
"frozenset({'Q9Y291', 'TNFalpha', 'Q13595'})"
"frozenset({'Q8WVC0', 'TNFalpha', 'P04406'})"
"frozenset({'Q2NKX9', 'TNFalpha', 'Q96M94'})"
"frozenset({'Q8WYR1', 'Q9UBY5', 'TNFalpha'})"
"frozenset({'P19022', 'TNFalpha', 'Q92729'})"
"frozenset({'TNFalpha', 'O15264', 'P29692'})"
"frozenset({'Q969Q6', 'Q8NCM8', 'TNFalpha'})"
"frozenset({'Q9UKF6', 'TNFalpha', 'Q9H6E5'})"
"frozenset({'Q9NZT1', 'TNFalpha', 'Q14123'})"
"frozenset({'TNFalpha', 'P21291', 'Q15650'})"
"frozenset({'P46531', 'Q9H1A4', 'TNFalpha'})"
"frozenset({'Q9H9B1', 'Q8N653', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O15355', 'P43686'})"
"frozenset({'Q969G3', 'TNFalpha', 'P49790'})"
"frozenset({'P62873', 'P23508', 'TNFalpha'})"
"frozenset({'O43181', 'TNFalpha', 'P15880'})"
"frozenset({'Q02880', 'TNFalpha', 'P51532'})"
"frozenset({'P48552', 'P37231', 'TNFalpha'})"
"frozenset({'Q13315', 'TNFalpha', 'Q8N490'})"
"frozenset({'P42858', 'Q9Y5A7', 'TNFalpha'})"
"frozenset({'P17931', 'TNFalpha', 'P09382'})"
"frozenset({'P00533', 'P19838', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P30041', 'P19652'})"
"frozenset({'P17676', 'Q9UKV0', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9NRM7', 'Q96QZ7'})"
"frozenset({'P22392', 'O60684', 'TNFalpha'})"
"frozenset({'Q9BRA2', 'TNFalpha', 'P01889'})"
"frozenset({'Q8NHQ1', 'TNFalpha', 'P50454'})"
"frozenset({'Q6UX04', 'Q92838', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P00414', 'P08246'})"
"frozenset({'O95817', 'P28074', 'TNFalpha'})"
"frozenset({'Q99727', 'P03956', 'TNFalpha'})"
"frozenset({'Q6YP21', 'Q92905', 'TNFalpha'})"
"frozenset({'Q8NB37', 'TNFalpha', 'Q96RU7'})"
"frozenset({'Q9NPF7', 'Q8N6P7', 'TNFalpha'})"
"frozenset({'Q8WXW3', 'P05067', 'TNFalpha'})"
"frozenset({'Q16531', 'Q9H496', 'TNFalpha'})"
"frozenset({'Q8IZJ1', 'TNFalpha', 'Q92859'})"
"frozenset({'P25963', 'P0DP23', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P0DP24', 'Q9H2S1'})"
"frozenset({'TNFalpha', 'Q96AY2', 'Q96NY9'})"
"frozenset({'Q02297', 'Q9BZ76', 'TNFalpha'})"
"frozenset({'P49591', 'Q9NZ63', 'TNFalpha'})"
"frozenset({'Q9GZQ3', 'Q9NX08', 'TNFalpha'})"
"frozenset({'Q00597', 'TNFalpha', 'P06493'})"
"frozenset({'Q8IY17', 'TNFalpha', 'P58658'})"
"frozenset({'Q13363', 'O43929', 'TNFalpha'})"
"frozenset({'Q6L8G9', 'TNFalpha', 'Q5TA76'})"
"frozenset({'Q96PU5', 'TNFalpha', 'P16234'})"
"frozenset({'P26639', 'TNFalpha', 'P13612'})"
"frozenset({'TNFalpha', 'P49459', 'Q9UBW7'})"
"frozenset({'P26371', 'Q9GZM5', 'TNFalpha'})"
"frozenset({'O43615', 'Q9BXW7', 'TNFalpha'})"
"frozenset({'P05067', 'Q8N8D1', 'TNFalpha'})"
"frozenset({'P18848', 'Q07065', 'TNFalpha'})"
"frozenset({'P28068', 'P04229', 'TNFalpha'})"
"frozenset({'O95409', 'Q9UKB1', 'TNFalpha'})"
"frozenset({'P15927', 'Q9BRJ6', 'TNFalpha'})"
"frozenset({'Q92544', 'TNFalpha', 'Q15646'})"
"frozenset({'P41240', 'TNFalpha', 'P55072'})"
"frozenset({'P42226', 'P31785', 'TNFalpha'})"
"frozenset({'O75947', 'TNFalpha', 'Q9NPJ6'})"
"frozenset({'P21145', 'TNFalpha', 'O15496'})"
"frozenset({'P15923', 'P26358', 'TNFalpha'})"
"frozenset({'O43639', 'Q9Y2W2', 'TNFalpha'})"
"frozenset({'Q7Z4H7', 'P04629', 'TNFalpha'})"
"frozenset({'Q2M1P5', 'P25054', 'TNFalpha'})"
"frozenset({'P00441', 'TNFalpha', 'Q8WXH0'})"
"frozenset({'Q7Z4N8', 'TNFalpha', 'Q5D1E8'})"
"frozenset({'Q96GF1', 'TNFalpha', 'Q9BWQ6'})"
"frozenset({'Q96D09', 'TNFalpha', 'Q8WXA9'})"
"frozenset({'O75530', 'P62081', 'TNFalpha'})"
"frozenset({'P05067', 'TNFalpha', 'Q5KU26'})"
"frozenset({'P78317', 'TNFalpha', 'Q15645'})"
"frozenset({'Q63HR2', 'TNFalpha', 'Q96IP4'})"
"frozenset({'Q2M389', 'Q9Y5K6', 'TNFalpha'})"
"frozenset({'P51587', 'TNFalpha', 'Q08050'})"
"frozenset({'Q92963', 'Q53G59', 'TNFalpha'})"
"frozenset({'Q12834', 'Q9BYQ4', 'TNFalpha'})"
"frozenset({'O43663', 'TNFalpha', 'P06493'})"
"frozenset({'Q86YD3', 'Q8N9N5', 'TNFalpha'})"
"frozenset({'O60264', 'TNFalpha', 'Q92769'})"
"frozenset({'P29972', 'P60409', 'TNFalpha'})"
"frozenset({'P55209', 'TNFalpha', 'Q9NXG2'})"
"frozenset({'TNFalpha', 'P52333', 'P25025'})"
"frozenset({'Q96B97', 'TNFalpha', 'Q9NYB9'})"
"frozenset({'Q9BXK1', 'P14625', 'TNFalpha'})"
"frozenset({'P49336', 'TNFalpha', 'P35269'})"
"frozenset({'P20671', 'TNFalpha', 'Q9UBN7'})"
"frozenset({'P27986', 'TNFalpha', 'P58753'})"
"frozenset({'Q9HC73', 'Q8IZJ0', 'TNFalpha'})"
"frozenset({'Q92905', 'Q8WWZ4', 'TNFalpha'})"
"frozenset({'P05412', 'Q9UNS2', 'TNFalpha'})"
"frozenset({'P11441', 'P63173', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q15628', 'P07437'})"
"frozenset({'Q9Y297', 'TNFalpha', 'O60925'})"
"frozenset({'P08575', 'P06753', 'TNFalpha'})"
"frozenset({'Q86U06', 'TNFalpha', 'P55072'})"
"frozenset({'Q3LI76', 'TNFalpha', 'P59990'})"
"frozenset({'P54259', 'O60462', 'TNFalpha'})"
"frozenset({'Q96EL2', 'Q9NVX0', 'TNFalpha'})"
"frozenset({'Q86TV6', 'TNFalpha', 'Q9BVN2'})"
"frozenset({'O15259', 'Q9H6U6', 'TNFalpha'})"
"frozenset({'Q9Y478', 'Q9UI30', 'TNFalpha'})"
"frozenset({'O15260', 'TNFalpha', 'Q9BXB1'})"
"frozenset({'Q8IVS8', 'P08727', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q8IYX0', 'Q99750'})"
"frozenset({'TNFalpha', 'Q5XPI4', 'O00469'})"
"frozenset({'Q9NXU5', 'Q9BXJ8', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9Y371', 'O43670'})"
"frozenset({'Q9HAT0', 'TNFalpha', 'Q96B02'})"
"frozenset({'Q9BYD6', 'TNFalpha', 'Q9HAC7'})"
"frozenset({'P26006', 'TNFalpha', 'P26010'})"
"frozenset({'O95166', 'TNFalpha', 'P50993'})"
"frozenset({'Q7Z4H7', 'Q6NSJ2', 'TNFalpha'})"
"frozenset({'Q5VTD9', 'Q6NUQ1', 'TNFalpha'})"
"frozenset({'Q02078', 'Q0P6D6', 'TNFalpha'})"
"frozenset({'P51636', 'TNFalpha', 'Q96GE6'})"
"frozenset({'Q14203', 'TNFalpha', 'Q14980'})"
"frozenset({'Q9Y4K3', 'TNFalpha', 'P22681'})"
"frozenset({'Q9BYR5', 'TNFalpha', 'Q9P1A6'})"
"frozenset({'O14641', 'TNFalpha', 'Q96T49'})"
"frozenset({'P23443', 'TNFalpha', 'P22612'})"
"frozenset({'Q7L7V1', 'Q3B820', 'TNFalpha'})"
"frozenset({'Q9Y4E8', 'TNFalpha', 'Q9Y6D9'})"
"frozenset({'O75533', 'Q8TAD8', 'TNFalpha'})"
"frozenset({'P10276', 'P17947', 'TNFalpha'})"
"frozenset({'Q9BQE9', 'TNFalpha', 'Q92784'})"
"frozenset({'Q9HCU9', 'TNFalpha', 'Q05195'})"
"frozenset({'P04637', 'TNFalpha', 'P43246'})"
"frozenset({'Q96EE3', 'TNFalpha', 'Q96SK2'})"
"frozenset({'P51572', 'TNFalpha', 'Q9UHQ4'})"
"frozenset({'Q9Y2R0', 'TNFalpha', 'Q9P0S2'})"
"frozenset({'Q9Y3M2', 'TNFalpha', 'Q9Y3M8'})"
"frozenset({'Q8WTR7', 'Q15287', 'TNFalpha'})"
"frozenset({'O95817', 'Q8WWB5', 'TNFalpha'})"
"frozenset({'Q92882', 'O43281', 'TNFalpha'})"
"frozenset({'Q8WUK0', 'O75947', 'TNFalpha'})"
"frozenset({'Q13177', 'TNFalpha', 'P25205'})"
"frozenset({'Q15011', 'Q7Z6J0', 'TNFalpha'})"
