negatives
"frozenset({'P01589', 'KitReceptor', 'P01242'})"
"frozenset({'P11388', 'KitReceptor', 'P25490'})"
"frozenset({'P62191', 'KitReceptor', 'Q9UNZ2'})"
"frozenset({'P35250', 'Q9BRX5', 'KitReceptor'})"
"frozenset({'Q9BYR5', 'O76003', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P50150', 'O00222'})"
"frozenset({'Q15056', 'KitReceptor', 'Q14164'})"
"frozenset({'KitReceptor', 'Q9GZT8', 'O15160'})"
"frozenset({'KitReceptor', 'Q15742', 'P54646'})"
"frozenset({'KitReceptor', 'Q9GZZ1', 'Q96AC1'})"
"frozenset({'Q13185', 'Q8TBE0', 'KitReceptor'})"
"frozenset({'P31749', 'KitReceptor', 'Q9P0N9'})"
"frozenset({'Q14667', 'KitReceptor', 'Q99615'})"
"frozenset({'P31146', 'KitReceptor', 'A1L4K1'})"
"frozenset({'Q5T686', 'KitReceptor', 'P59991'})"
"frozenset({'KitReceptor', 'Q9Y3B4', 'P19320'})"
"frozenset({'Q15696', 'KitReceptor', 'Q96F63'})"
"frozenset({'P68104', 'KitReceptor', 'P46782'})"
"frozenset({'KitReceptor', 'P46937', 'Q9UBU9'})"
"frozenset({'KitReceptor', 'P17706', 'P18031'})"
"frozenset({'P39905', 'O00451', 'KitReceptor'})"
"frozenset({'Q5VWG9', 'KitReceptor', 'P21675'})"
"frozenset({'Q5U5Q3', 'KitReceptor', 'Q14692'})"
"frozenset({'O95835', 'KitReceptor', 'O43255'})"
"frozenset({'O00257', 'KitReceptor', 'Q9UGL1'})"
"frozenset({'KitReceptor', 'A6NEM1', 'Q96S90'})"
"frozenset({'P08238', 'Q92630', 'KitReceptor'})"
"frozenset({'P08133', 'KitReceptor', 'Q9NRC8'})"
"frozenset({'Q15653', 'P63208', 'KitReceptor'})"
"frozenset({'Q13573', 'KitReceptor', 'Q15788'})"
"frozenset({'Q02543', 'KitReceptor', 'P62241'})"
"frozenset({'KitReceptor', 'P27694', 'Q13263'})"
"frozenset({'KitReceptor', 'P49901', 'Q15323'})"
"frozenset({'Q00796', 'KitReceptor', 'P14324'})"
"frozenset({'KitReceptor', 'Q9NX14', 'O75251'})"
"frozenset({'KitReceptor', 'O15198', 'Q8N3P4'})"
"frozenset({'P26368', 'KitReceptor', 'Q14847'})"
