negatives
"frozenset({'KitReceptor', 'Q01668', 'Q9NPA1'})"
"frozenset({'O95169', 'KitReceptor', 'P51970'})"
"frozenset({'Q13164', 'KitReceptor', 'P34932'})"
"frozenset({'Q8IWS0', 'KitReceptor', 'O94888'})"
"frozenset({'Q9UL63', 'KitReceptor', 'Q9H7D7'})"
"frozenset({'Q9BPU9', 'KitReceptor', 'P39687'})"
"frozenset({'KitReceptor', 'O43143', 'Q9C0B0'})"
"frozenset({'P60033', 'P16402', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O43572', 'P10644'})"
"frozenset({'Q9NYV6', 'KitReceptor', 'P68133'})"
"frozenset({'P62873', 'KitReceptor', 'Q6R327'})"
"frozenset({'O96028', 'KitReceptor', 'Q9NRC8'})"
"frozenset({'Q00987', 'P47869', 'KitReceptor'})"
"frozenset({'P41252', 'KitReceptor', 'O75815'})"
"frozenset({'Q14129', 'P05067', 'KitReceptor'})"
"frozenset({'P54253', 'KitReceptor', 'O60739'})"
"frozenset({'KitReceptor', 'O60784', 'Q9BTW9'})"
"frozenset({'Q01082', 'P37840', 'KitReceptor'})"
"frozenset({'O95721', 'Q9NV70', 'KitReceptor'})"
"frozenset({'Q9UHI6', 'KitReceptor', 'Q9UQL6'})"
"frozenset({'Q15717', 'P16104', 'KitReceptor'})"
"frozenset({'Q01664', 'KitReceptor', 'Q9UGN5'})"
"frozenset({'P19544', 'KitReceptor', 'P04637'})"
"frozenset({'P19174', 'KitReceptor', 'P29474'})"
"frozenset({'P00966', 'KitReceptor', 'O00625'})"
"frozenset({'Q92905', 'P61371', 'KitReceptor'})"
"frozenset({'Q15717', 'KitReceptor', 'Q08ER8'})"
"frozenset({'Q15058', 'KitReceptor', 'Q96EK5'})"
"frozenset({'KitReceptor', 'Q96BN8', 'P60981'})"
"frozenset({'P46926', 'KitReceptor', 'O00625'})"
"frozenset({'Q01974', 'KitReceptor', 'Q9UPM6'})"
"frozenset({'KitReceptor', 'O14802', 'Q9UHV9'})"
"frozenset({'KitReceptor', 'O75360', 'Q712K3'})"
"frozenset({'KitReceptor', 'P27658', 'Q02446'})"
"frozenset({'O00257', 'P06748', 'KitReceptor'})"
"frozenset({'P56277', 'KitReceptor', 'Q01844'})"
"frozenset({'Q9UMN6', 'KitReceptor', 'Q16612'})"
"frozenset({'Q99996', 'KitReceptor', 'P49715'})"
"frozenset({'P01019', 'KitReceptor', 'Q8TAX9'})"
"frozenset({'Q96R69', 'KitReceptor', 'P17612'})"
"frozenset({'KitReceptor', 'P16989', 'Q7L2J0'})"
"frozenset({'O60603', 'KitReceptor', 'Q8IWL2'})"
"frozenset({'KitReceptor', 'Q8WX92', 'P24928'})"
"frozenset({'P04629', 'KitReceptor', 'P34130'})"
"frozenset({'KitReceptor', 'P48643', 'Q8N6T7'})"
"frozenset({'Q9BYM8', 'O14867', 'KitReceptor'})"
"frozenset({'Q6NXN4', 'P05067', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9NZL6', 'P10301'})"
"frozenset({'P61160', 'O14974', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q8NCF5', 'Q96NC0'})"
"frozenset({'KitReceptor', 'P0C0S5', 'Q96Q83'})"
"frozenset({'KitReceptor', 'Q9BYX4', 'Q96EQ8'})"
"frozenset({'P35442', 'KitReceptor', 'P08514'})"
"frozenset({'Q9UI09', 'KitReceptor', 'Q9C002'})"
"frozenset({'KitReceptor', 'P27708', 'P46934'})"
"frozenset({'Q96GG9', 'KitReceptor', 'P61586'})"
"frozenset({'P40763', 'KitReceptor', 'Q9Y6X2'})"
"frozenset({'P61221', 'KitReceptor', 'Q9NTJ3'})"
"frozenset({'KitReceptor', 'O14964', 'P35555'})"
"frozenset({'Q96SB4', 'Q02641', 'KitReceptor'})"
"frozenset({'Q9BVG4', 'A3KN83', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q13683', 'Q14050'})"
"frozenset({'P08047', 'KitReceptor', 'P29459'})"
"frozenset({'KitReceptor', 'Q15643', 'P06400'})"
"frozenset({'O43638', 'KitReceptor', 'O75027'})"
"frozenset({'KitReceptor', 'Q96FW1', 'P51668'})"
"frozenset({'KitReceptor', 'Q96JH8', 'P24941'})"
"frozenset({'KitReceptor', 'O95757', 'Q96FW1'})"
"frozenset({'KitReceptor', 'P27986', 'Q5VWQ8'})"
"frozenset({'KitReceptor', 'Q9Y297', 'Q13651'})"
"frozenset({'P51649', 'KitReceptor', 'Q08830'})"
"frozenset({'KitReceptor', 'Q8N1I0', 'P60763'})"
"frozenset({'Q9Y3D9', 'KitReceptor', 'P82650'})"
"frozenset({'P32298', 'KitReceptor', 'P25024'})"
"frozenset({'Q16718', 'KitReceptor', 'O75251'})"
"frozenset({'Q9Y5S9', 'KitReceptor', 'Q7Z5L2'})"
"frozenset({'P10144', 'O15230', 'KitReceptor'})"
"frozenset({'Q96LM6', 'KitReceptor', 'P32242'})"
"frozenset({'Q96EQ0', 'KitReceptor', 'Q8IW45'})"
"frozenset({'KitReceptor', 'P05412', 'P55211'})"
"frozenset({'P42568', 'KitReceptor', 'Q00534'})"
"frozenset({'P49321', 'KitReceptor', 'Q9UBN7'})"
"frozenset({'Q13573', 'KitReceptor', 'Q8WVM7'})"
"frozenset({'P50750', 'KitReceptor', 'P10275'})"
"frozenset({'Q32P28', 'KitReceptor', 'Q15527'})"
"frozenset({'P84022', 'Q9UQ88', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P49901', 'Q9NWQ9'})"
"frozenset({'Q9P2R6', 'KitReceptor', 'Q96HB5'})"
"frozenset({'Q9BZV1', 'Q03135', 'KitReceptor'})"
"frozenset({'O95503', 'KitReceptor', 'Q86SE9'})"
"frozenset({'Q5VZF2', 'KitReceptor', 'Q9UBU9'})"
"frozenset({'P06756', 'P53708', 'KitReceptor'})"
"frozenset({'Q96G42', 'KitReceptor', 'O14503'})"
"frozenset({'KitReceptor', 'P35609', 'Q8IYT4'})"
"frozenset({'Q6UXV4', 'KitReceptor', 'Q96TC7'})"
"frozenset({'O00214', 'KitReceptor', 'Q9HB90'})"
"frozenset({'KitReceptor', 'Q9NZI7', 'Q8TBB1'})"
"frozenset({'KitReceptor', 'P27361', 'P08754'})"
"frozenset({'P02008', 'KitReceptor', 'Q15323'})"
"frozenset({'P46094', 'KitReceptor', 'O00585'})"
"frozenset({'O00159', 'P08047', 'KitReceptor'})"
"frozenset({'Q15528', 'Q9P086', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O95900', 'Q5JRX3'})"
"frozenset({'P00747', 'KitReceptor', 'P06733'})"
"frozenset({'KitReceptor', 'Q13547', 'P01100'})"
"frozenset({'KitReceptor', 'Q04864', 'O95715'})"
"frozenset({'P11498', 'KitReceptor', 'Q7Z6Z7'})"
"frozenset({'O15550', 'KitReceptor', 'Q14686'})"
"frozenset({'P08238', 'KitReceptor', 'P06733'})"
"frozenset({'Q9UKT9', 'Q8WW01', 'KitReceptor'})"
"frozenset({'Q96EV8', 'KitReceptor', 'O15078'})"
"frozenset({'Q12874', 'KitReceptor', 'P62314'})"
"frozenset({'Q8IWL3', 'KitReceptor', 'O75521'})"
"frozenset({'KitReceptor', 'P05067', 'Q96LT9'})"
"frozenset({'Q00059', 'KitReceptor', 'Q07021'})"
"frozenset({'Q15796', 'KitReceptor', 'O75448'})"
"frozenset({'Q8WUX2', 'KitReceptor', 'Q9NXV6'})"
"frozenset({'KitReceptor', 'P11171', 'Q13813'})"
"frozenset({'P05231', 'KitReceptor', 'Q13261'})"
"frozenset({'P55769', 'KitReceptor', 'P62899'})"
"frozenset({'KitReceptor', 'Q9H5I1', 'Q8TBB5'})"
"frozenset({'Q92905', 'KitReceptor', 'O60884'})"
"frozenset({'P35244', 'O60506', 'KitReceptor'})"
"frozenset({'P61421', 'Q14684', 'KitReceptor'})"
"frozenset({'P05386', 'KitReceptor', 'Q5UIP0'})"
"frozenset({'O15353', 'KitReceptor', 'P35453'})"
"frozenset({'Q12834', 'Q96LZ3', 'KitReceptor'})"
"frozenset({'O43791', 'KitReceptor', 'O75925'})"
"frozenset({'KitReceptor', 'Q9UBK2', 'Q92793'})"
"frozenset({'KitReceptor', 'P11802', 'Q9UDX5'})"
"frozenset({'Q9BXS0', 'P05067', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q8NHQ8', 'Q15118'})"
"frozenset({'Q9GZM7', 'KitReceptor', 'Q9BRS2'})"
"frozenset({'P57721', 'Q9BRP1', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O75578', 'P35443'})"
"frozenset({'KitReceptor', 'P17980', 'Q14BN4'})"
"frozenset({'P30040', 'KitReceptor', 'Q96FW1'})"
"frozenset({'O60506', 'KitReceptor', 'Q9Y224'})"
"frozenset({'KitReceptor', 'P50150', 'O14775'})"
"frozenset({'Q9UNE7', 'Q15797', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q8TAP6', 'Q9H0W8'})"
"frozenset({'Q04637', 'KitReceptor', 'O43324'})"
"frozenset({'Q04323', 'KitReceptor', 'Q96CS3'})"
"frozenset({'KitReceptor', 'P05412', 'Q9HAU5'})"
"frozenset({'P55196', 'KitReceptor', 'Q6ZW31'})"
"frozenset({'Q9Y295', 'KitReceptor', 'Q7Z2W4'})"
"frozenset({'KitReceptor', 'Q9UM63', 'O15350'})"
"frozenset({'Q8TDD5', 'KitReceptor', 'Q15842'})"
"frozenset({'KitReceptor', 'P04183', 'Q96N67'})"
"frozenset({'KitReceptor', 'P13647', 'Q5TC82'})"
"frozenset({'P51884', 'P48023', 'KitReceptor'})"
"frozenset({'P01106', 'KitReceptor', 'Q8NG66'})"
"frozenset({'P31749', 'P53804', 'KitReceptor'})"
"frozenset({'P04629', 'KitReceptor', 'Q15029'})"
"frozenset({'Q8WVE6', 'O75146', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q16851', 'Q66K64'})"
"frozenset({'Q9UKA1', 'KitReceptor', 'Q9BQ15'})"
"frozenset({'Q8IWL3', 'KitReceptor', 'P13674'})"
"frozenset({'O15315', 'P50222', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P09661', 'P43360'})"
"frozenset({'P55072', 'P30443', 'KitReceptor'})"
"frozenset({'Q12906', 'KitReceptor', 'P43364'})"
"frozenset({'Q9NWT6', 'KitReceptor', 'Q7LBC6'})"
"frozenset({'Q5VVX9', 'KitReceptor', 'Q86Y01'})"
"frozenset({'P22059', 'KitReceptor', 'Q15436'})"
"frozenset({'Q14790', 'KitReceptor', 'Q86TL0'})"
"frozenset({'Q5U5Q3', 'KitReceptor', 'P62857'})"
"frozenset({'Q13535', 'KitReceptor', 'Q9NZJ0'})"
"frozenset({'Q13164', 'KitReceptor', 'P07437'})"
"frozenset({'P27348', 'P07910', 'KitReceptor'})"
"frozenset({'P26599', 'Q9UJV9', 'KitReceptor'})"
"frozenset({'P62873', 'P21554', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q96GA3', 'Q2NL82'})"
"frozenset({'Q8IUC1', 'O95231', 'KitReceptor'})"
"frozenset({'O95166', 'O75143', 'KitReceptor'})"
"frozenset({'Q8N3F8', 'P29317', 'KitReceptor'})"
"frozenset({'Q9UBH0', 'KitReceptor', 'Q04864'})"
"frozenset({'KitReceptor', 'O60506', 'Q12905'})"
"frozenset({'Q03135', 'KitReceptor', 'P13861'})"
"frozenset({'P26368', 'KitReceptor', 'P07355'})"
"frozenset({'KitReceptor', 'P06400', 'Q01892'})"
"frozenset({'P20248', 'Q92738', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P17066', 'Q7Z6W7'})"
"frozenset({'P24522', 'KitReceptor', 'Q9GZX7'})"
"frozenset({'P54762', 'KitReceptor', 'P60484'})"
"frozenset({'KitReceptor', 'Q96IQ9', 'Q8WTW4'})"
"frozenset({'P15814', 'KitReceptor', 'Q99972'})"
"frozenset({'P19438', 'KitReceptor', 'P21580'})"
"frozenset({'Q8N6L0', 'KitReceptor', 'O75379'})"
"frozenset({'KitReceptor', 'Q9NWB7', 'Q6ZU80'})"
"frozenset({'P84243', 'KitReceptor', 'P78527'})"
"frozenset({'KitReceptor', 'P10070', 'O00505'})"
"frozenset({'P09603', 'KitReceptor', 'P10721'})"
"frozenset({'Q9Y2X7', 'KitReceptor', 'O43294'})"
"frozenset({'Q53GT1', 'KitReceptor', 'Q13618'})"
"frozenset({'Q9NRA8', 'Q9UKB1', 'KitReceptor'})"
"frozenset({'Q9UGK3', 'KitReceptor', 'Q05397'})"
"frozenset({'P12955', 'KitReceptor', 'Q9BYZ2'})"
"frozenset({'KitReceptor', 'Q9NUX5', 'Q9P0Z9'})"
"frozenset({'Q58EX7', 'KitReceptor', 'Q8WWY3'})"
"frozenset({'Q6IBW4', 'KitReceptor', 'Q86XI2'})"
"frozenset({'KitReceptor', 'P26641', 'Q9Y3C7'})"
"frozenset({'O00567', 'P16402', 'KitReceptor'})"
"frozenset({'P31749', 'O43464', 'KitReceptor'})"
"frozenset({'O95376', 'KitReceptor', 'P68036'})"
"frozenset({'KitReceptor', 'P09917', 'Q9UQM7'})"
"frozenset({'Q15828', 'Q04721', 'KitReceptor'})"
"frozenset({'Q9NR45', 'KitReceptor', 'Q96EP5'})"
"frozenset({'P27448', 'KitReceptor', 'P62633'})"
"frozenset({'KitReceptor', 'Q9Y5A9', 'Q8NE63'})"
"frozenset({'KitReceptor', 'P31483', 'P02751'})"
"frozenset({'KitReceptor', 'Q14088', 'Q676U5'})"
"frozenset({'Q8ND76', 'Q6IQ23', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q14247', 'O60701'})"
"frozenset({'P36873', 'KitReceptor', 'Q8TAP8'})"
"frozenset({'Q16695', 'O75367', 'KitReceptor'})"
"frozenset({'Q05655', 'KitReceptor', 'P16220'})"
"frozenset({'KitReceptor', 'Q9UER7', 'Q92793'})"
"frozenset({'O60506', 'KitReceptor', 'Q14103'})"
"frozenset({'O43504', 'KitReceptor', 'Q16594'})"
"frozenset({'KitReceptor', 'Q12905', 'Q92878'})"
"frozenset({'Q9NZD8', 'KitReceptor', 'P01730'})"
"frozenset({'Q14240', 'KitReceptor', 'P11940'})"
"frozenset({'Q96ED9', 'KitReceptor', 'Q9H2R5'})"
"frozenset({'P40763', 'KitReceptor', 'P05451'})"
"frozenset({'Q6PJI9', 'KitReceptor', 'Q09472'})"
"frozenset({'KitReceptor', 'P29597', 'P17987'})"
"frozenset({'Q9BWU1', 'P50750', 'KitReceptor'})"
"frozenset({'P05060', 'Q38SD2', 'KitReceptor'})"
"frozenset({'Q92905', 'KitReceptor', 'Q99459'})"
"frozenset({'P51825', 'KitReceptor', 'Q9UHB7'})"
"frozenset({'Q16720', 'KitReceptor', 'Q8TCT9'})"
"frozenset({'Q9H5F2', 'KitReceptor', 'P31273'})"
"frozenset({'P06748', 'KitReceptor', 'Q14690'})"
"frozenset({'O43638', 'KitReceptor', 'Q86UK7'})"
"frozenset({'P05067', 'KitReceptor', 'P38646'})"
"frozenset({'Q14416', 'Q9H2H9', 'KitReceptor'})"
"frozenset({'P63208', 'KitReceptor', 'P61962'})"
"frozenset({'P51003', 'KitReceptor', 'Q01081'})"
"frozenset({'P50991', 'P60510', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P29475', 'Q9UQM7'})"
"frozenset({'KitReceptor', 'P23284', 'Q13438'})"
"frozenset({'KitReceptor', 'P34897', 'P30480'})"
"frozenset({'KitReceptor', 'P40225', 'P42702'})"
"frozenset({'P62140', 'KitReceptor', 'O96017'})"
"frozenset({'O43296', 'P60410', 'KitReceptor'})"
"frozenset({'Q9BQ04', 'Q9H0W5', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9NYS0', 'O43543'})"
"frozenset({'KitReceptor', 'Q13049', 'O14966'})"
"frozenset({'KitReceptor', 'O94921', 'P37802'})"
"frozenset({'P84095', 'KitReceptor', 'Q8NF50'})"
"frozenset({'O15121', 'KitReceptor', 'O15260'})"
"frozenset({'Q15717', 'KitReceptor', 'P46937'})"
"frozenset({'Q15084', 'Q13162', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q02539', 'Q7L2E3'})"
"frozenset({'Q9Y228', 'Q9P289', 'KitReceptor'})"
"frozenset({'O43609', 'KitReceptor', 'P60328'})"
"frozenset({'O43237', 'Q14204', 'KitReceptor'})"
"frozenset({'Q93063', 'KitReceptor', 'O75716'})"
"frozenset({'P06731', 'KitReceptor', 'P13688'})"
"frozenset({'KitReceptor', 'Q8IVF5', 'P15153'})"
"frozenset({'P63215', 'O95622', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9Y333', 'Q9BUQ8'})"
"frozenset({'Q8IUC1', 'KitReceptor', 'Q8TCT0'})"
"frozenset({'KitReceptor', 'P10912', 'P35225'})"
"frozenset({'Q9UKV5', 'P11021', 'KitReceptor'})"
"frozenset({'P61968', 'KitReceptor', 'Q9Y2J4'})"
"frozenset({'Q86VP1', 'KitReceptor', 'P33176'})"
"frozenset({'KitReceptor', 'P10109', 'P99999'})"
"frozenset({'P20333', 'KitReceptor', 'O14735'})"
"frozenset({'KitReceptor', 'Q8TEW8', 'P31947'})"
"frozenset({'Q6UWR7', 'KitReceptor', 'Q86T24'})"
"frozenset({'Q9GZN8', 'Q15435', 'KitReceptor'})"
"frozenset({'Q9BWG6', 'Q96I34', 'KitReceptor'})"
"frozenset({'O75934', 'KitReceptor', 'P13473'})"
"frozenset({'KitReceptor', 'Q8TF74', 'Q9NZC7'})"
"frozenset({'P0C0S5', 'KitReceptor', 'O96019'})"
"frozenset({'P05067', 'KitReceptor', 'Q9UPP1'})"
"frozenset({'KitReceptor', 'O75208', 'Q9NZ45'})"
"frozenset({'KitReceptor', 'P04183', 'P13942'})"
"frozenset({'P29965', 'Q13469', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P47890', 'P32121'})"
"frozenset({'Q9H009', 'KitReceptor', 'P62851'})"
"frozenset({'Q86VP6', 'KitReceptor', 'P46779'})"
"frozenset({'KitReceptor', 'P12931', 'P42229'})"
"frozenset({'P29317', 'KitReceptor', 'Q92913'})"
"frozenset({'A6NH00', 'KitReceptor', 'P22694'})"
"frozenset({'Q8N2W9', 'KitReceptor', 'Q9UKY1'})"
"frozenset({'P51970', 'KitReceptor', 'P56556'})"
"frozenset({'Q13077', 'KitReceptor', 'Q9NZJ5'})"
"frozenset({'Q08211', 'KitReceptor', 'P49959'})"
"frozenset({'P07195', 'KitReceptor', 'P33552'})"
"frozenset({'P31749', 'KitReceptor', 'Q96RR4'})"
"frozenset({'P05161', 'KitReceptor', 'Q92841'})"
"frozenset({'KitReceptor', 'Q04206', 'O60885'})"
"frozenset({'Q9HCH0', 'Q66GS9', 'KitReceptor'})"
"frozenset({'P14373', 'KitReceptor', 'P23759'})"
"frozenset({'Q9BY89', 'Q68CZ1', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O60341', 'Q15047'})"
"frozenset({'P15104', 'KitReceptor', 'P28223'})"
"frozenset({'Q14978', 'KitReceptor', 'P18146'})"
"frozenset({'P38936', 'KitReceptor', 'Q9Y618'})"
"frozenset({'P20963', 'Q6IED9', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q8IYX7', 'Q8IYS1'})"
"frozenset({'KitReceptor', 'P35244', 'P61247'})"
"frozenset({'KitReceptor', 'Q9HCE1', 'P04083'})"
"frozenset({'Q9H5I1', 'KitReceptor', 'P62993'})"
"frozenset({'Q13501', 'KitReceptor', 'Q9Y6P5'})"
"frozenset({'P30457', 'KitReceptor', 'P30481'})"
"frozenset({'KitReceptor', 'Q96NC0', 'P51116'})"
"frozenset({'KitReceptor', 'Q9BVP2', 'Q15397'})"
"frozenset({'KitReceptor', 'Q13285', 'P61024'})"
"frozenset({'Q9Y6M9', 'O00217', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q15170', 'Q14258'})"
"frozenset({'P01037', 'KitReceptor', 'P43631'})"
"frozenset({'KitReceptor', 'Q86VP1', 'Q99816'})"
"frozenset({'P0CG04', 'KitReceptor', 'P01709'})"
"frozenset({'P19404', 'KitReceptor', 'Q16795'})"
"frozenset({'KitReceptor', 'P11940', 'O00141'})"
"frozenset({'P41252', 'KitReceptor', 'Q96BZ8'})"
"frozenset({'O43684', 'P25054', 'KitReceptor'})"
"frozenset({'P34947', 'P41597', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P14778', 'O14920'})"
"frozenset({'P49407', 'KitReceptor', 'Q8NGG2'})"
"frozenset({'Q5JVL4', 'P16083', 'KitReceptor'})"
"frozenset({'Q99819', 'KitReceptor', 'P23284'})"
"frozenset({'O43889', 'KitReceptor', 'Q9Y4A8'})"
"frozenset({'P25098', 'KitReceptor', 'P47888'})"
"frozenset({'KitReceptor', 'P80404', 'P46108'})"
"frozenset({'Q01105', 'KitReceptor', 'Q9Y4K3'})"
"frozenset({'KitReceptor', 'Q9H0A0', 'Q99459'})"
"frozenset({'Q86UW9', 'KitReceptor', 'Q86Y82'})"
"frozenset({'Q12946', 'Q92945', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O75360', 'Q86X02'})"
"frozenset({'KitReceptor', 'Q9HCE1', 'Q99611'})"
"frozenset({'O95644', 'KitReceptor', 'Q13547'})"
"frozenset({'Q6NZY4', 'KitReceptor', 'Q9UNM6'})"
"frozenset({'Q58WW2', 'KitReceptor', 'Q9BYV6'})"
"frozenset({'P60410', 'P60014', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9H7Z7', 'Q01780'})"
"frozenset({'KitReceptor', 'O95817', 'P15374'})"
"frozenset({'KitReceptor', 'Q92504', 'Q2MV58'})"
"frozenset({'P50991', 'KitReceptor', 'Q14164'})"
"frozenset({'P16615', 'KitReceptor', 'Q9H040'})"
"frozenset({'Q9UNE7', 'KitReceptor', 'Q99814'})"
"frozenset({'P30084', 'P52306', 'KitReceptor'})"
"frozenset({'P49590', 'KitReceptor', 'Q12849'})"
"frozenset({'KitReceptor', 'P52298', 'O14980'})"
"frozenset({'O76003', 'KitReceptor', 'Q8IVT5'})"
"frozenset({'P18621', 'KitReceptor', 'P00533'})"
"frozenset({'O60684', 'Q00987', 'KitReceptor'})"
"frozenset({'Q01167', 'Q96EZ8', 'KitReceptor'})"
"frozenset({'P03372', 'KitReceptor', 'P26373'})"
"frozenset({'KitReceptor', 'Q16555', 'Q70J99'})"
"frozenset({'KitReceptor', 'P36402', 'Q13761'})"
"frozenset({'P32780', 'KitReceptor', 'P06400'})"
"frozenset({'Q86TW2', 'KitReceptor', 'Q9Y255'})"
"frozenset({'KitReceptor', 'Q96FW1', 'Q9NXS2'})"
"frozenset({'O00567', 'P06748', 'KitReceptor'})"
"frozenset({'O14561', 'KitReceptor', 'O43677'})"
"frozenset({'P68400', 'KitReceptor', 'P43364'})"
"frozenset({'P10768', 'KitReceptor', 'Q8IVT5'})"
"frozenset({'P33151', 'O95863', 'KitReceptor'})"
"frozenset({'Q9NPA0', 'KitReceptor', 'Q6NUS6'})"
"frozenset({'Q92610', 'KitReceptor', 'O60885'})"
"frozenset({'KitReceptor', 'Q13948', 'Q9H334'})"
"frozenset({'Q9H7D0', 'KitReceptor', 'Q9H4E5'})"
"frozenset({'KitReceptor', 'Q92734', 'P0C0S8'})"
"frozenset({'O95813', 'KitReceptor', 'Q9HCS4'})"
"frozenset({'Q6PI78', 'KitReceptor', 'P42765'})"
"frozenset({'KitReceptor', 'P17252', 'Q9GZQ8'})"
"frozenset({'P78337', 'O14558', 'KitReceptor'})"
"frozenset({'P26010', 'KitReceptor', 'Q9Y4G6'})"
"frozenset({'O76003', 'KitReceptor', 'Q8TBB1'})"
"frozenset({'O75385', 'KitReceptor', 'Q96KP1'})"
"frozenset({'KitReceptor', 'Q9BTM9', 'P18206'})"
"frozenset({'KitReceptor', 'P15622', 'Q96GN5'})"
"frozenset({'Q6ZNC8', 'Q9H061', 'KitReceptor'})"
"frozenset({'Q96EV8', 'Q9NQX4', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9UBX7', 'O00462'})"
"frozenset({'KitReceptor', 'O75426', 'Q8WVJ2'})"
"frozenset({'Q93062', 'Q6RSH7', 'KitReceptor'})"
"frozenset({'Q53GI3', 'KitReceptor', 'P57086'})"
"frozenset({'O60292', 'Q9H6Z9', 'KitReceptor'})"
"frozenset({'P28288', 'KitReceptor', 'Q9P0L0'})"
"frozenset({'KitReceptor', 'P18031', 'P10912'})"
"frozenset({'KitReceptor', 'P22694', 'Q8NG94'})"
"frozenset({'Q03001', 'KitReceptor', 'Q9NRC8'})"
"frozenset({'O00305', 'KitReceptor', 'Q15173'})"
"frozenset({'Q14781', 'Q9P0L1', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q6A162', 'P20674'})"
"frozenset({'P18077', 'KitReceptor', 'P46778'})"
"frozenset({'KitReceptor', 'Q02878', 'Q9UBV2'})"
"frozenset({'Q96EK4', 'KitReceptor', 'Q13547'})"
"frozenset({'Q8NBR6', 'KitReceptor', 'Q14344'})"
"frozenset({'Q8N594', 'KitReceptor', 'Q9P275'})"
"frozenset({'P62701', 'KitReceptor', 'Q14978'})"
"frozenset({'KitReceptor', 'P05412', 'P24534'})"
"frozenset({'P62070', 'Q92565', 'KitReceptor'})"
"frozenset({'Q9UBN4', 'KitReceptor', 'Q14571'})"
"frozenset({'Q9NZ01', 'P03372', 'KitReceptor'})"
"frozenset({'Q9P2P5', 'Q8NC69', 'KitReceptor'})"
"frozenset({'Q12906', 'Q15155', 'KitReceptor'})"
"frozenset({'Q15717', 'Q5BVD1', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q58FF8', 'O95361'})"
"frozenset({'P14672', 'KitReceptor', 'P51149'})"
"frozenset({'Q96ST3', 'Q13573', 'KitReceptor'})"
"frozenset({'P35226', 'KitReceptor', 'Q9NWW5'})"
"frozenset({'P60174', 'Q00796', 'KitReceptor'})"
"frozenset({'Q12824', 'KitReceptor', 'O00422'})"
"frozenset({'KitReceptor', 'Q9HCN2', 'P99999'})"
"frozenset({'P09132', 'Q13573', 'KitReceptor'})"
"frozenset({'P60568', 'KitReceptor', 'Q9HBE5'})"
"frozenset({'Q8NBN7', 'P50213', 'KitReceptor'})"
"frozenset({'P54802', 'KitReceptor', 'P49755'})"
"frozenset({'Q01113', 'KitReceptor', 'Q8WXH5'})"
"frozenset({'O95782', 'KitReceptor', 'Q13191'})"
"frozenset({'P62888', 'P05067', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q6P1J9', 'P78527'})"
"frozenset({'P17661', 'KitReceptor', 'P08670'})"
"frozenset({'Q9HD26', 'P04004', 'KitReceptor'})"
"frozenset({'Q8NGI3', 'KitReceptor', 'P38405'})"
"frozenset({'KitReceptor', 'Q9BW71', 'O14980'})"
"frozenset({'KitReceptor', 'Q7Z4S6', 'Q9H2Y7'})"
"frozenset({'P02686', 'P04229', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q8N7W2', 'Q15014'})"
"frozenset({'KitReceptor', 'P09228', 'Q14206'})"
"frozenset({'Q8IWZ8', 'Q15365', 'KitReceptor'})"
"frozenset({'Q6UXB4', 'KitReceptor', 'P02792'})"
"frozenset({'KitReceptor', 'Q9H0W5', 'Q14258'})"
"frozenset({'Q13620', 'KitReceptor', 'Q8WWQ0'})"
"frozenset({'Q9Y6C9', 'KitReceptor', 'Q5XKK7'})"
"frozenset({'P56706', 'KitReceptor', 'Q9UP38'})"
"frozenset({'P45973', 'KitReceptor', 'Q6P2D0'})"
"frozenset({'Q86VW0', 'KitReceptor', 'P06396'})"
"frozenset({'Q9UBZ4', 'KitReceptor', 'Q13233'})"
"frozenset({'Q9H0U4', 'KitReceptor', 'Q92930'})"
"frozenset({'KitReceptor', 'O15372', 'Q14152'})"
