negatives
"('P52735', 'Q8ND90')"
"('P63211', 'P08172')"
"('Q13873', 'Q99717')"
"('P57088', 'Q9HAW0')"
"('P20591', 'Q13885')"
"('Q96FJ2', 'Q9NSC5')"
"('P01584', 'P05187')"
"('Q4LE39', 'P49792')"
"('Q9BXT8', 'Q99459')"
"('P22392', 'P28070')"
"('P62805', 'P21675')"
"('P01889', 'P13798')"
"('Q13416', 'Q9UJX2')"
"('Q13561', 'Q9NRI5')"
"('Q16891', 'P04183')"
"('Q13547', 'Q12873')"
"('P13232', 'P14784')"
"('O75144', 'P10747')"
"('Q7Z494', 'P16333')"
"('Q13573', 'P35637')"
"('P83916', 'P68431')"
"('Q00839', 'O95819')"
"('P22455', 'P62993')"
"('P62280', 'P62847')"
"('Q53G59', 'Q9NP79')"
"('O00212', 'Q13485')"
"('Q13263', 'O14709')"
"('Q8TDB6', 'P62837')"
"('Q9H0M0', 'P22607')"
"('P20701', 'Q9Y490')"
"('Q9Y6K9', 'Q9NX02')"
"('P33991', 'Q9Y2Q3')"
"('P10721', 'P62993')"
"('Q9UL18', 'P62701')"
"('Q969S8', 'P20671')"
"('O15047', 'O60814')"
"('A6NMZ7', 'P18827')"
"('P31749', 'P29474')"
"('Q7LDG7', 'P01116')"
"('Q9NWZ3', 'Q9NYJ8')"
"('P30480', 'P20290')"
"('Q9NZJ0', 'P38936')"
"('P30519', 'Q9Y5X3')"
"('P58180', 'P38405')"
"('Q01844', 'Q13485')"
"('P41182', 'Q9Y618')"
"('P46459', 'Q9P2H0')"
"('Q9UNS2', 'P01889')"
"('O60684', 'Q96B97')"
"('O00459', 'P60763')"
"('P23470', 'P35590')"
"('Q9BY41', 'Q16778')"
"('Q13237', 'P26678')"
"('P59665', 'P50281')"
"('P27348', 'P31947')"
"('P19784', 'P51610')"
"('Q6WCQ1', 'P29692')"
"('Q70Z53', 'P55081')"
"('Q96J02', 'Q96LR5')"
"('Q9UKX2', 'Q9BSL1')"
"('Q9BUV8', 'Q9Y5L0')"
"('P57678', 'P01106')"
"('O43617', 'Q8WVT3')"
"('O75015', 'P30273')"
"('Q9UHD2', 'Q14790')"
"('P85298', 'Q07890')"
"('P51817', 'P52945')"
"('Q04206', 'Q07325')"
"('Q01130', 'Q13242')"
"('P60520', 'Q8N1C3')"
"('P53992', 'O94979')"
"('P10827', 'Q09472')"
"('Q5VVX9', 'P36406')"
"('P78314', 'P19174')"
"('Q15366', 'P14866')"
"('Q15121', 'Q9Y383')"
"('Q14188', 'O75461')"
"('Q14145', 'Q8IY92')"
"('Q9P013', 'P04156')"
"('P63104', 'P35609')"
"('P18846', 'O60869')"
"('Q13315', 'P42566')"
"('P78329', 'P12931')"
"('406885', 'Q9H9Z2')"
"('Q13557', 'P30307')"
"('Q14686', 'Q9NWQ8')"
"('P35998', 'P0CG47')"
"('P62837', 'P25963')"
"('P62140', 'P19105')"
"('Q99878', 'Q93079')"
"('Q9UGR2', 'P54253')"
"('P32121', 'Q8NGK9')"
"('O15169', 'P68104')"
"('Q92633', 'P63215')"
"('Q9Y265', 'Q9BRX2')"
"('Q9BT22', 'P06748')"
"('Q9H1C4', 'Q9GZM5')"
"('P84098', 'P63173')"
"('P35221', 'P31946')"
"('P63104', 'P48729')"
"('P26992', 'Q92624')"
"('P28222', 'P08754')"
"('Q9NS39', 'P63165')"
"('P23508', 'P62633')"
"('P50570', 'Q9BX66')"
"('O15235', 'P58062')"
"('P01236', 'Q14627')"
"('Q9NZN8', 'Q9UFF9')"
"('P01106', 'Q9UJ70')"
"('P40337', 'P35080')"
"('P62873', 'P16520')"
"('Q8N7P3', 'A6NM45')"
"('P27816', 'P16333')"
"('P14618', 'P20073')"
"('P12830', 'Q7Z6J6')"
"('Q14209', 'Q15910')"
"('Q9H0E2', 'Q93062')"
"('2310', 'P38936')"
"('Q9NPH9', 'Q5VWK5')"
"('Q7Z4K8', 'Q9H832')"
"('Q6SA08', 'Q9HAU4')"
"('Q96G74', 'Q13114')"
"('O95602', 'Q15653')"
"('Q96LA8', 'P68431')"
"('P48230', 'P20823')"
"('P62191', 'P61289')"
"('Q9Y4B5', 'Q99459')"
"('P13984', 'P18848')"
"('Q9HCM4', 'Q9Y478')"
"('Q9H361', 'P78543')"
"('Q9UKE5', 'P07197')"
"('O95711', 'Q9Y6Y9')"
"('P14618', 'Q96CW1')"
"('Q8NAV1', 'Q16659')"
"('P18146', 'O43670')"
"('P55884', 'P42345')"
"('Q96B36', 'P37231')"
"('P54619', 'P46527')"
"('P01876', 'Q9H974')"
"('P32121', 'Q8NGW6')"
"('Q9HC35', 'P42336')"
"('Q13535', 'O14639')"
"('406962', 'Q12778')"
"('Q9Y6K9', 'Q8IX12')"
"('Q7L014', 'Q13573')"
"('O00716', 'Q15021')"
"('Q9NTI5', 'O60216')"
"('Q9UMX1', 'P49841')"
"('Q05519', 'P52756')"
"('P51692', 'P30279')"
"('Q9Y478', 'P53396')"
"('P38432', 'Q562R1')"
"('P14902', 'P01579')"
"('Q5TCY1', 'P60520')"
"('Q9Y3L3', 'P00519')"
"('Q09472', 'P25963')"
"('Q13573', 'Q5SW96')"
"('Q92747', 'P62993')"
"('O14920', 'P19838')"
"('P31947', 'Q6DT37')"
"('Q14164', 'P60981')"
"('O15085', 'Q6AI08')"
"('P28749', 'O95400')"
"('Q92913', 'P06213')"
"('Q6ZVL6', 'Q9UI95')"
"('Q14197', 'Q5T9A4')"
"('Q15796', 'Q8TAD8')"
"('Q9BY41', 'Q8N257')"
"('P12270', 'P49790')"
"('Q9Y2Q3', 'O43264')"
"('P63279', 'P19438')"
"('P03905', 'Q9NX14')"
"('O00483', 'O43674')"
"('P21796', 'P10415')"
"('P60709', 'O96019')"
"('O14640', 'Q76N89')"
"('Q96BD8', 'O14777')"
"('A8TX70', 'P26010')"
"('P12956', 'P49368')"
"('Q16513', 'O75821')"
"('Q13616', 'Q9UK22')"
"('Q13151', 'Q16659')"
"('Q8WUI4', 'P55210')"
"('Q92985', 'P01563')"
"('P18146', 'P22223')"
"('P10451', 'P05556')"
"('Q5SXM2', 'Q99459')"
"('P11940', 'Q92900')"
"('P12644', 'Q04771')"
"('P14778', 'P63000')"
"('P52333', 'O00459')"
"('P21741', 'Q02543')"
"('Q14498', 'P78362')"
"('Q15834', 'Q9BT78')"
"('406953', 'Q4LE39')"
"('P18146', 'Q15822')"
"('P16220', 'Q92831')"
"('P15153', 'P45985')"
"('O00401', 'P08238')"
"('P61604', 'P32456')"
"('P51668', 'O60291')"
"('P19838', 'P05231')"
"('Q9H7D0', 'Q07889')"
"('Q9UET6', 'Q9HCH5')"
"('Q16637', 'Q71U36')"
"('Q9UHD2', 'P18859')"
"('P36873', 'Q13224')"
"('Q9Y2X0', 'P41235')"
"('P04439', 'P26717')"
"('Q14686', 'P49715')"
"('Q6P2Q9', 'Q00653')"
"('O75530', 'Q96RS0')"
"('O60885', 'P62993')"
"('P54259', 'Q5JSZ5')"
"('P15498', 'P52735')"
"('Q9UK59', 'P12980')"
"('Q9H361', 'Q8IYD1')"
"('O15355', 'P09012')"
"('P78396', 'P04181')"
"('Q9Y3C7', 'Q9H1I8')"
"('O00264', 'Q9Y3D7')"
"('P0CG47', 'Q9UJ41')"
"('Q12972', 'Q9BQA1')"
"('Q9GZR2', 'Q92731')"
"('P55157', 'Q14008')"
"('Q96QK1', 'P60520')"
"('P13501', 'P01833')"
"('Q01094', 'Q15021')"
"('407026', 'P25490')"
"('P29353', 'P13987')"
"('P10589', 'Q96JE9')"
"('Q13191', 'P22455')"
"('Q15759', 'P49137')"
"('P63279', 'Q01826')"
"('Q96FW1', 'Q15714')"
"('Q92956', 'Q9Y230')"
"('P01574', 'Q13568')"
"('P63000', 'O95466')"
"('Q5VTD9', 'Q12805')"
"('P35222', 'P27986')"
"('P18031', 'P08922')"
"('Q13683', 'Q07890')"
"('Q5EBL8', 'P31947')"
"('Q99613', 'P60228')"
"('P15498', 'Q13094')"
"('Q14061', 'P61956')"
"('P78352', 'Q09470')"
"('P10644', 'Q14432')"
"('Q86U86', 'O94805')"
"('P01589', 'P42338')"
"('Q13315', 'O00273')"
"('P12109', 'P26012')"
"('P32121', 'O14640')"
"('Q6TCH7', 'P04049')"
"('P84022', 'Q92793')"
"('P15884', 'P22736')"
"('Q01094', 'P10244')"
"('P62330', 'P46940')"
"('P20226', 'P51784')"
"('Q9Y2Q3', 'Q8WVX9')"
"('Q16778', 'Q8IUE6')"
"('P20333', 'P62158')"
"('Q09472', 'P55211')"
"('Q13145', 'Q92997')"
"('P54760', 'P98172')"
"('Q13797', 'Q9Y4K3')"
"('Q9HAW0', 'Q9Y5M8')"
"('Q15427', 'P31943')"
"('P36897', 'Q8TAX0')"
"('O14492', 'Q13191')"
"('Q13233', 'Q92598')"
"('Q9ULV8', 'Q8WYR1')"
"('P11940', 'Q9Y4K3')"
"('P61978', 'P38159')"
"('Q6RW13', 'Q9UKF7')"
"('Q9H3D4', 'P46937')"
"('Q13651', 'P25774')"
"('P14867', 'P60520')"
"('P06858', 'Q02543')"
"('Q8N163', 'P01106')"
"('O76061', 'P30086')"
"('Q14204', 'Q9Y6K9')"
"('P51654', 'P09544')"
"('P40424', 'P13569')"
"('P07288', 'Q04864')"
"('P01588', 'Q01344')"
"('P23258', 'Q96JB5')"
"('Q12947', 'P00519')"
"('Q13418', 'O60762')"
"('O15083', 'O75334')"
"('Q14161', 'Q9Y4F1')"
"('Q9H237', 'Q93097')"
"('P38646', 'P21796')"
"('Q13216', 'Q92759')"
"('P12757', 'Q5T5Y3')"
"('Q13889', 'P10275')"
"('P08912', 'P63092')"
"('Q8IXH7', 'P83731')"
"('O14764', 'Q15111')"
"('P15104', 'O95819')"
"('Q03468', 'Q9Y3C5')"
"('P04637', 'P12429')"
"('P18146', 'Q9Y4R7')"
"('P14866', 'P55060')"
"('P63096', 'P27986')"
"('O14497', 'P51532')"
"('Q9P107', 'Q07890')"
"('Q30154', 'P01730')"
"('P25789', 'P25788')"
"('P20774', 'P10914')"
"('P47736', 'P61224')"
"('P12956', 'P10909')"
"('P16144', 'P05129')"
"('P10600', 'Q15796')"
"('P19525', 'Q9NX58')"
"('P61254', 'P35268')"
"('Q14596', 'P16885')"
"('Q07912', 'P16333')"
"('P26038', 'P16871')"
"('P52756', 'P67809')"
"('P43088', 'O95837')"
"('P49917', 'Q13426')"
"('P03372', 'Q12778')"
"('P23508', 'Q5VSL9')"
"('P01116', 'O00459')"
"('P61160', 'P12830')"
"('Q99460', 'Q16186')"
"('P18847', 'P84022')"
"('Q86WV6', 'P09913')"
"('Q9UHQ9', 'Q9NRR5')"
"('O95819', 'P62269')"
"('Q16082', 'P42574')"
"('Q07889', 'Q6WCQ1')"
"('P27487', 'P16860')"
"('Q969Q6', 'P31751')"
"('P12931', 'P19174')"
"('Q13077', 'Q3ZCQ8')"
"('P43243', 'Q9UNY4')"
"('O00231', 'O00233')"
"('P25686', 'P62979')"
"('P02545', 'P13569')"
"('P05161', 'P41226')"
"('P11831', 'Q8IZQ8')"
"('Q9BYJ4', 'Q5VVX9')"
"('P29590', 'P68400')"
"('Q96F24', 'P10276')"
"('O75439', 'P27448')"
"('Q9NV56', 'Q9NRQ2')"
"('Q9UBN6', 'P13797')"
"('P62993', 'O43293')"
"('Q14331', 'Q9HCG8')"
"('PB_10', 'P23458')"
"('Q0VG06', 'Q9NPI8')"
"('P06899', 'P04908')"
"('Q9H9D4', 'P14174')"
"('P55795', 'Q12906')"
"('P15976', 'Q8WW38')"
"('P49247', 'Q9NP79')"
"('Q9H2S5', 'P62979')"
"('Q93008', 'Q01201')"
"('P59535', 'A8MTJ3')"
"('Q9Y2V3', 'Q14558')"
"('Q9Y2X7', 'Q9BXP5')"
"('Q9GZT8', 'P22234')"
"('P31947', 'Q13627')"
"('Q14627', 'P29597')"
"('Q9BQ83', 'Q9Y3F4')"
"('P01106', 'P13804')"
"('P17980', 'P14866')"
"('Q9NQZ3', 'Q8TB72')"
"('Q92844', 'Q13490')"
"('Q15172', 'Q13315')"
"('Q13748', 'Q8NCM8')"
"('P51965', 'Q9P0P0')"
"('Q9BQ04', '145781')"
"('P27361', 'P54710')"
"('P50851', 'Q9H2G2')"
"('Q9H8W4', 'Q9UKG1')"
"('Q75N90', 'P04844')"
"('Q03518', 'Q9H553')"
"('P49841', 'Q96BA8')"
"('P04406', 'P07738')"
"('P01106', 'Q9BSQ5')"
"('P55199', 'Q8IXJ6')"
"('O15151', 'O15350')"
"('P31942', 'P02766')"
"('P41236', 'Q9UD71')"
"('Q16630', 'O75112')"
"('P07333', 'Q01970')"
"('Q9Y230', 'Q92597')"
"('O94972', 'Q6ZU52')"
"('P26441', 'P31785')"
"('Q15038', 'Q9BSL1')"
"('Q9HAU4', 'Q5T653')"
"('Q8N6Y0', 'Q86YR5')"
"('P31751', 'P35222')"
"('Q9UJY5', 'P84077')"
"('P61978', 'Q86X55')"
"('Q9UET6', 'P23284')"
"('P01857', 'P02654')"
"('P22681', 'P07948')"
"('O75478', 'P01106')"
"('P46020', 'P11216')"
"('P56706', 'Q9H461')"
"('P04156', 'Q93070')"
"('Q08050', 'Q96GD4')"
"('Q71UI9', 'Q9UQL6')"
"('Q9GZQ8', 'Q9BT49')"
"('Q07666', 'Q14011')"
"('P30050', 'Q9HCK5')"
"('P60568', 'Q9UHF4')"
"('Q9UHX1', 'Q15365')"
"('Q9P2F6', 'Q07890')"
"('Q07889', 'Q5TCZ1')"
"('Q6PEY2', 'Q9Y6G9')"
"('406947', 'P30556')"
"('Q8TDQ0', 'O00182')"
"('P49662', 'Q9H936')"
"('P55773', 'P51681')"
"('Q8IZP0', 'P20936')"
"('Q99459', 'P04792')"
"('Q92769', 'P20671')"
"('Q99878', 'Q5QNW6')"
"('Q15428', 'O75940')"
"('O00743', 'P36897')"
"('P35462', 'O14775')"
"('P16220', 'Q9BYW1')"
"('P06241', 'Q9UJV9')"
"('P21802', 'Q6S5L8')"
"('P05412', 'Q13485')"
"('P49674', 'P04637')"
"('Q92797', 'Q15366')"
"('Q9H9J2', 'Q8TB96')"
"('P08670', 'Q5JVS0')"
"('P63104', 'Q12912')"
"('O15379', 'Q96KK5')"
"('Q9UMN6', 'Q15714')"
"('P42224', 'P09912')"
"('P05231', 'Q01113')"
"('Q9BUJ2', 'Q9NX58')"
"('P61764', 'Q16623')"
"('P35626', 'O76000')"
"('P30519', 'Q03701')"
"('Q96NY9', 'Q8IY92')"
"('Q9Y5J5', 'P06753')"
"('Q14161', 'Q9Y2X7')"
"('Q9UNS1', 'Q13535')"
"('Q9H0H5', 'Q04695')"
"('P11308', 'Q01543')"
"('Q14197', 'Q53R41')"
"('Q09472', 'Q13952')"
"('Q9Y230', 'Q6ZRS2')"
"('Q9UBU7', 'Q13111')"
"('Q9Y6W8', 'P27986')"
"('P04150', 'Q92922')"
"('Q9UKV5', 'P60604')"
"('Q13618', 'Q9H0R8')"
"('P63104', 'P09493')"
"('P40337', 'P46781')"
"('Q9Y4K3', 'P05198')"
"('Q9UL18', 'O76021')"
"('P43358', 'Q86WT6')"
"('Q14790', 'Q9Y4K3')"
"('P07384', 'P20810')"
"('O95999', 'Q9H257')"
"('O14905', 'O60353')"
"('P01889', 'O60493')"
"('O15530', 'Q13867')"
"('Q9H0D6', 'P56537')"
"('Q9P0M6', 'Q99880')"
"('Q92900', 'Q96AP0')"
"('P63104', 'P21802')"
"('P04179', 'O14965')"
"('Q6STE5', 'O15360')"
"('P35749', 'P63261')"
"('Q96M61', 'Q06547')"
"('Q13315', 'Q96CX2')"
"('P27986', 'P00403')"
"('Q04771', 'Q9H082')"
"('P55774', 'P46092')"
"('P29992', 'Q3MJ16')"
"('Q05084', 'O75716')"
"('P41240', 'Q15262')"
"('P56199', 'P12931')"
"('P98095', 'O15230')"
"('P46937', 'Q9UJU2')"
"('Q8TAQ2', 'P51513')"
"('O15198', 'Q01082')"
"('P28702', 'P11473')"
"('Q15149', 'P61073')"
"('A6NCV1', 'P38405')"
"('P10275', 'P05412')"
"('Q12769', 'Q8WUM0')"
"('P01562', 'Q9HC73')"
"('Q13416', 'P33992')"
"('Q9H761', 'Q9Y4P1')"
"('P04179', 'P23508')"
"('Q03060', 'O43889')"
"('Q13418', 'P56192')"
"('P01857', 'Q13219')"
"('Q15843', 'Q05639')"
"('P67870', 'P56537')"
"('Q9NR50', 'P61421')"
"('Q8N2W9', 'P35398')"
"('Q02556', 'Q14330')"
"('P43307', 'P40337')"
"('Q09161', 'Q9UL03')"
"('Q8NI35', 'Q8N6F1')"
"('Q92925', 'Q8TAQ2')"
"('P35590', 'P08575')"
"('Q15078', 'Q00535')"
"('P61313', 'P30050')"
"('Q99459', 'P31943')"
"('O95644', 'Q05215')"
"('O15123', 'P38936')"
"('P37840', 'P01308')"
"('Q96B02', 'Q8N5U6')"
"('P03905', 'P56556')"
"('Q9H4E7', 'P60953')"
"('P49747', 'Q13797')"
"('P09769', 'Q8IZP0')"
"('Q7L590', 'P49736')"
"('Q9UL33', 'O43617')"
"('Q16531', 'Q01831')"
"('P18146', 'O14901')"
"('P37198', 'Q8WYP5')"
"('P63104', 'P19634')"
"('Q9NRI5', 'Q96JN2')"
"('Q9UET6', 'P26368')"
"('Q16594', 'O75486')"
"('P10599', 'O95990')"
"('P61353', 'P84098')"
"('P62993', 'P04156')"
"('Q99683', 'Q03518')"
"('Q13748', 'P20333')"
"('P31947', 'P26651')"
"('Q96ES7', 'O43318')"
"('P33176', 'P21796')"
"('P16035', 'P55786')"
"('Q92793', 'Q13287')"
"('Q6ZVM7', 'Q9Y3C5')"
"('Q8TDM6', 'P07737')"
"('P05107', 'P01024')"
"('P0CG48', 'P54727')"
"('Q05086', 'P53804')"
"('Q13137', 'Q7Z3B3')"
"('Q14CB8', 'P63000')"
"('P10828', 'P48552')"
"('O60739', 'P61254')"
"('Q8N5C8', 'O15264')"
"('P40337', 'P23919')"
"('P23458', 'P48736')"
"('P19634', 'P35241')"
"('Q5VTD9', 'Q6PKC3')"
"('O43541', 'Q13950')"
"('Q99767', 'O94985')"
"('Q13535', 'Q13185')"
"('P46109', 'P21860')"
"('P27986', 'P50570')"
"('Q99459', 'P48444')"
"('P18146', 'Q8TAP8')"
"('O95644', 'P14921')"
"('P53041', 'P50991')"
"('Q15034', 'Q9UHD9')"
"('P48169', 'Q15111')"
"('P56693', 'Q13287')"
"('Q96B18', 'Q16513')"
"('P56537', 'P12532')"
"('P45983', 'Q15759')"
"('P05106', 'P13612')"
"('O94832', 'Q9Y6K9')"
"('P26599', 'Q13247')"
"('O75365', 'O60762')"
"('P11362', 'P46108')"
"('P84077', 'P53618')"
"('Q14CS0', 'Q04637')"
"('C9J798', 'P01111')"
"('Q9NP79', 'Q7Z7J5')"
"('Q16611', 'P21796')"
"('P23508', 'P24752')"
"('P54646', 'Q9BUM1')"
"('O94921', 'P38936')"
"('P18074', 'P10275')"
"('P20073', 'Q5T3J3')"
"('Q15019', 'Q96RY5')"
"('Q12879', 'Q13936')"
"('P57081', 'Q9P2G9')"
"('P62714', 'P05412')"
"('Q08334', 'P25774')"
"('Q9NRV9', 'P00533')"
"('P27348', 'O43491')"
"('O15379', 'Q06330')"
"('Q92747', 'O15144')"
"('O43678', 'O95167')"
"('Q8IY92', 'Q9Y5V3')"
"('P05015', 'Q9HC73')"
"('Q92973', 'P09651')"
"('P43403', 'Q9H6Q3')"
"('Q6UW56', 'Q9Y5X1')"
"('Q6ZT07', 'Q9H173')"
"('O75116', 'P60484')"
"('P17612', 'Q01118')"
"('Q16778', 'Q9UQL6')"
"('O76071', 'P51784')"
"('Q9NV56', 'Q96JC9')"
"('Q05397', 'Q06124')"
"('Q13509', 'Q8WWQ0')"
"('Q96CA5', 'P35222')"
"('Q13765', 'Q9GZT6')"
"('P62424', 'P18077')"
"('Q8N1N4', 'Q9Y5S2')"
"('Q9Y241', 'Q9P286')"
"('Q99759', 'Q13748')"
"('P63146', 'Q5T4S7')"
"('Q9NY93', 'P49207')"
"('Q14558', 'P78330')"
"('Q9Y5L4', 'P30480')"
"('P19174', 'Q02156')"
"('Q6SJ96', 'P14921')"
"('Q15554', 'Q8IY92')"
"('Q8N163', 'O75365')"
"('P18089', 'Q9Y210')"
"('Q13535', 'O60934')"
"('P00739', 'P69905')"
"('Q14164', 'P09960')"
"('Q09666', 'P63104')"
"('Q13485', 'Q15831')"
"('P22392', 'P54725')"
"('Q13547', 'P48552')"
"('P05387', 'P83731')"
"('Q9HAV7', 'Q9Y478')"
"('Q9UGM3', 'Q96JB5')"
"('P49023', 'P00519')"
"('P68133', 'Q9UI47')"
"('P17706', 'P10912')"
"('Q16612', 'P68104')"
"('P48729', 'Q13158')"
"('Q08050', 'P01106')"
"('P29350', 'P40238')"
"('Q9NRG4', 'Q96JH8')"
"('O43237', 'Q9H4B7')"
"('P31946', 'Q9Y6M7')"
"('O15198', 'Q86UK5')"
"('Q9H9P5', 'Q92925')"
"('Q9Y6M9', 'O96000')"
"('P27482', 'Q13554')"
"('Q96EL2', 'Q9NY93')"
"('Q13315', 'Q68DE3')"
"('P00519', 'A6ZKI3')"
"('P42858', 'P21980')"
"('P42226', 'Q9UHD2')"
"('Q9UBE8', 'P36402')"
"('Q53FA7', 'Q8IWV7')"
"('Q8NBJ4', 'Q13561')"
"('Q04206', 'Q14116')"
"('O75674', 'Q86YL7')"
"('P51668', 'Q969Q1')"
"('P28482', 'Q9NZK7')"
"('P63173', 'Q9Y3U8')"
"('P49767', 'Q02763')"
"('Q7L576', 'Q8WUW1')"
"('P27361', 'Q12772')"
"('Q8TEY7', 'Q13352')"
"('Q9UBL3', 'Q8NEZ4')"
"('P06400', 'P29374')"
"('P30480', 'P10768')"
"('P42285', 'P61981')"
"('Q92835', 'O43561')"
"('P09234', 'P98175')"
"('P06241', 'Q99704')"
"('P02768', 'Q13009')"
"('P43378', 'O95197')"
"('P48740', 'P01024')"
"('P30480', 'O95831')"
"('Q96RT1', 'P16144')"
"('P84103', '159162')"
"('Q92830', 'Q96AE4')"
"('P46013', 'Q16637')"
"('P10586', 'Q16620')"
"('Q03518', 'Q12923')"
"('P16220', 'Q13794')"
"('O00168', 'P54709')"
"('O15304', 'O43318')"
"('P62753', 'P62277')"
"('P32969', 'P62829')"
"('Q15833', 'P63027')"
"('Q09428', 'Q00975')"
"('P53567', 'P17544')"
"('Q9NYY1', 'Q08334')"
"('Q6VMQ6', 'Q9BY67')"
"('Q9BWH2', 'P46459')"
"('P56645', 'P23760')"
"('P19022', 'P29350')"
"('Q13190', 'Q7L5N1')"
"('O60641', 'P01889')"
"('Q9UET6', 'Q9GZT3')"
"('O15117', 'Q92608')"
"('Q2TAZ0', 'Q99615')"
"('P62191', 'Q06323')"
"('Q8N109', 'Q06124')"
"('O15264', 'P67809')"
"('P51532', 'Q12824')"
"('P35225', 'Q6UXL0')"
"('P63104', 'P34932')"
"('Q14690', 'P01106')"
"('P62899', 'P05386')"
"('P33991', 'O95696')"
"('Q6S5L8', 'P12931')"
"('Q9Y678', 'Q99459')"
"('P56880', 'O95049')"
"('Q8NCM8', 'Q96AH8')"
"('Q92621', 'O75694')"
"('P26373', 'P46776')"
"('O00471', 'Q8TAG9')"
"('P0C1H6', 'P0C5Z0')"
"('O15360', 'Q6STE5')"
"('P39019', 'P62244')"
"('P19388', 'P52435')"
"('P02511', 'P25788')"
"('Q9Y3A3', 'Q14194')"
"('Q9Y4A5', 'Q9UBU8')"
"('P29350', 'O95866')"
"('407019', 'Q16678')"
"('O75800', 'Q9NS56')"
"('P45983', 'Q96J02')"
"('Q9UKY1', 'P61604')"
"('P85298', 'P60763')"
"('Q9H5Q4', 'Q9Y5J5')"
"('Q8WTU0', 'P0CG48')"
"('P14618', 'Q8TDR0')"
"('P62837', 'Q8TDB6')"
"('O96000', 'O00483')"
"('Q9Y483', 'Q9BZL6')"
"('O00231', 'O75832')"
"('P04632', 'P36575')"
"('O15344', 'Q9UJV3')"
"('Q16531', 'P25054')"
"('Q13043', 'Q5VYV7')"
"('O43318', 'Q16659')"
"('Q92995', 'P45974')"
"('P17612', 'Q9NP71')"
"('O43707', 'P68133')"
"('Q7L804', 'Q9H4M9')"
"('P12814', 'Q12879')"
"('Q13535', 'O96017')"
"('P19838', 'P08107')"
"('P46778', 'P61353')"
"('Q9Y2X0', 'Q9NX70')"
"('P01106', 'Q86UD0')"
"('Q9Y4A5', 'P61244')"
"('P12931', 'Q9H5V8')"
"('P35626', 'Q8NH48')"
"('Q96BK5', 'Q9Y3U8')"
"('Q99614', 'P04899')"
"('Q05516', 'P14652')"
"('P63261', 'O43491')"
"('Q86VP6', 'Q13573')"
"('Q9NQW7', 'Q6NUQ1')"
"('P27361', 'Q8IVT5')"
"('Q9NXR8', 'Q92993')"
"('Q9NRI5', 'Q03001')"
"('Q16539', 'P19838')"
"('O60306', 'Q9BQA1')"
"('P06702', 'Q00005')"
"('P10809', 'P63104')"
"('P18146', 'O95477')"
"('Q06187', 'Q04759')"
"('Q13573', 'Q9BRS2')"
"('Q05397', 'Q9H3S7')"
"('P67870', 'P62241')"
"('Q9H4P4', 'P07333')"
"('P68366', 'Q92974')"
"('O95782', 'Q04695')"
"('A6NC98', 'Q9HAU0')"
"('Q9NY93', 'P61254')"
"('Q15173', 'Q5FBB7')"
"('P46777', 'P50914')"
"('O75116', 'P62136')"
"('P05556', 'P08648')"
"('P40763', 'P11309')"
"('P68104', 'O14713')"
"('Q9BUV8', 'Q9P035')"
"('P08575', 'P48357')"
"('Q13315', 'Q14839')"
"('Q969F2', 'P0CG47')"
"('Q13573', 'Q9UHB9')"
"('P04629', 'Q92569')"
"('O95793', 'P62241')"
"('P10767', 'P29317')"
"('Q9UJC3', 'P15622')"
"('Q06830', 'P10275')"
"('Q9GZS3', 'Q15910')"
"('P40763', 'P14784')"
"('O15265', 'Q8NEM7')"
"('P30533', 'P16220')"
"('Q13368', 'Q8NC60')"
"('Q9BQ66', 'Q8TBB1')"
"('P23508', 'Q13642')"
"('Q16531', 'P04637')"
"('Q16363', 'P26010')"
"('Q15796', 'C9J442')"
"('Q9BUH8', 'Q6ZU52')"
"('P20226', 'O60671')"
"('P49207', 'P05387')"
"('O15162', 'P04899')"
"('P46777', 'P39023')"
"('O43707', 'Q96NW7')"
"('P24593', 'P35555')"
"('Q01718', 'Q8TCY5')"
"('Q9BZK7', 'P41182')"
"('Q99700', 'Q99963')"
"('O95471', 'P56748')"
"('O94979', 'Q15437')"
"('P06213', 'Q9NQ66')"
"('Q8N2S1', 'Q5VTD9')"
"('P02747', 'P02746')"
"('Q9UQ35', 'P61981')"
"('Q8NHQ1', 'Q9P2K3')"
"('Q8N668', 'Q86X83')"
"('Q15428', 'O75533')"
"('Q8N8B7', 'P54253')"
"('P28360', 'P20226')"
"('P62917', 'Q9UQ80')"
"('P43405', 'Q9UQC2')"
"('P28482', 'P01225')"
"('O95166', 'Q9UQL6')"
"('P62714', 'Q92736')"
"('O43491', 'O14936')"
"('Q13435', 'Q15428')"
"('P17693', 'P30457')"
"('Q9UKL0', 'Q9NY46')"
"('Q8TEQ6', 'P45985')"
"('O15350', 'Q96PG8')"
"('Q04206', 'P40306')"
"('P67870', 'P51693')"
"('P31751', 'Q92574')"
"('P05412', 'P49913')"
"('P38484', 'P08758')"
"('Q13285', 'P06241')"
"('O95402', 'Q9P086')"
"('P68400', 'Q53GL0')"
"('Q99684', 'P60033')"
"('Q03112', 'Q13547')"
"('O14543', 'Q99665')"
"('P61313', 'P61513')"
"('P05019', 'P00533')"
"('Q9UQ35', 'Q8TAD8')"
"('P61254', 'P18124')"
"('O94855', 'P55735')"
"('Q15370', 'Q8TEY7')"
"('Q15121', 'O14678')"
"('P55157', 'Q9BQ89')"
"('P38398', 'P24522')"
