negatives
"('Q07889', 'P21860')"
"('Q9P0M6', 'Q9Y5B9')"
"('P62979', 'P15880')"
"('P28482', 'P50549')"
"('Q8IY92', 'P21333')"
"('Q8IYF3', 'Q96GY3')"
"('Q04206', 'Q92598')"
"('P53778', 'P07197')"
"('P62913', 'P42766')"
"('P51681', 'P40937')"
"('O14641', 'P15153')"
"('P12956', 'P10144')"
"('O00291', 'O94973')"
"('P18146', 'Q05952')"
"('Q8WUW1', 'Q9Y3A3')"
"('P16220', 'Q96AX2')"
"('Q16539', 'Q01082')"
"('P22234', 'P51116')"
"('P09529', 'P61812')"
"('Q9NYR9', 'Q15653')"
"('Q9UQF2', 'O43318')"
"('P16035', 'P08254')"
"('Q13023', 'P12931')"
"('Q9NVI1', 'Q15714')"
"('P49642', 'P11021')"
"('P28070', 'P25787')"
"('O95476', 'P98175')"
"('P51617', 'P11142')"
"('P57678', 'Q13573')"
"('P61218', 'P19388')"
"('Q9GZX6', 'Q969J5')"
"('P05204', 'P62993')"
"('Q9BY11', 'P02794')"
"('Q01844', 'Q9Y467')"
"('P27105', 'Q9UHX1')"
"('P53708', 'P08648')"
"('P62241', 'P62854')"
"('O43707', 'P29474')"
"('P49407', 'P14618')"
"('O75925', 'P46937')"
"('P42331', 'P17081')"
"('P46734', 'P45984')"
"('P58876', 'O75367')"
"('O43395', 'Q8WYA6')"
"('O96033', 'O95396')"
"('O95989', 'Q9UKK9')"
"('P01700', 'P01876')"
"('Q13546', 'Q15628')"
"('P30260', 'O95067')"
"('P26992', 'P42702')"
"('Q9UGN5', 'Q8WUE5')"
"('P84022', 'P29590')"
"('Q15834', 'Q9NXE8')"
"('Q9NZW5', 'P50570')"
"('Q8N264', 'Q7L0Q8')"
"('P35579', 'O00255')"
"('Q9NRI5', 'Q9P2H0')"
"('Q9HBL0', 'P63104')"
"('P16333', 'Q9UNH6')"
"('P33552', 'Q13309')"
"('Q96G03', 'P18146')"
"('O14610', 'Q96PN6')"
"('P46782', 'P08865')"
"('P62491', 'Q9UET6')"
