negatives
"('O95758', 'Q9UET6')"
"('Q96Q27', 'Q93034')"
"('P14618', 'Q9UJ70')"
"('P08246', 'Q08117')"
"('O14543', 'O14508')"
"('O60861', 'Q00839')"
"('Q8TBB1', 'Q92997')"
"('P31749', 'P67809')"
"('P62158', 'Q08828')"
"('Q9BVJ7', 'Q16643')"
"('P01100', 'P21675')"
"('P07305', 'P62993')"
"('P02745', 'P26022')"
"('P32121', 'P58173')"
"('Q8N5R6', 'Q99750')"
"('Q9UBD9', 'P24394')"
"('P12956', 'P25963')"
"('P30939', 'P63096')"
"('P62826', 'P68104')"
"('P62913', 'P63173')"
"('Q9UKV8', 'Q96EY7')"
"('Q13315', 'Q96MG8')"
"('Q9Y2Q3', 'O60763')"
"('P08238', 'Q9UKV8')"
"('Q14160', 'Q9Y2X7')"
"('P08912', 'O95467')"
"('O15264', 'P62714')"
"('P31321', 'P84022')"
"('Q92574', 'Q02833')"
"('Q96SB3', 'P62993')"
"('O60437', 'Q92817')"
"('P46108', 'P49916')"
"('P35268', 'P60709')"
"('P02461', 'P06756')"
"('O15198', 'Q96S59')"
"('P05771', 'P04049')"
"('Q15858', 'P62158')"
"('7012', 'O14746')"
"('P53618', 'Q13424')"
"('Q7Z419', 'P63279')"
"('Q15910', 'O75530')"
"('Q13557', 'Q13469')"
"('Q00978', 'P13164')"
"('P28482', 'P18847')"
"('Q99963', 'Q15052')"
"('P45985', 'P13010')"
"('Q9UBD9', 'P08887')"
"('P01569', 'P17181')"
"('P46379', 'P05305')"
"('P43360', 'Q9UGP8')"
"('Q9BYC9', 'P47756')"
"('Q9UBL3', 'Q14686')"
"('Q13555', 'O43889')"
"('Q9Y3Q8', 'Q9BVI4')"
"('Q04941', 'O95163')"
"('Q8IUC6', 'Q9UHD2')"
"('P13224', 'P07948')"
"('Q13131', 'P11021')"
"('P57678', 'P62304')"
"('O76071', 'Q14203')"
"('O75445', 'Q9HBM0')"
"('P01100', 'Q96GM5')"
"('P04279', 'Q9NRR5')"
"('P63104', 'P16471')"
"('Q8TEL6', 'Q13546')"
"('Q99750', 'Q8IYR0')"
"('P45973', 'Q9H081')"
"('Q96JN2', 'P54253')"
"('P31946', 'Q8N122')"
"('Q9Y2J2', 'Q9NS73')"
"('Q96HF1', 'Q9Y6F9')"
"('P05412', 'P16581')"
"('Q9P0U1', 'Q9NS69')"
"('Q68E01', 'Q13573')"
"('Q7Z5R6', 'O60861')"
"('P38646', 'P20333')"
"('O75419', 'P33993')"
"('Q16665', 'P55854')"
"('P30153', 'P60510')"
"('P28749', 'Q9NPF0')"
"('P29992', 'Q01970')"
"('P62269', 'P62244')"
"('P00491', 'P04637')"
"('Q8IUQ4', 'Q9H9Q2')"
"('Q15025', 'P28482')"
"('O94842', 'Q01780')"
"('O15055', 'P56645')"
"('Q9Y397', 'P01112')"
"('Q16595', 'Q9NRD5')"
"('Q9UGI9', 'P13807')"
"('P01891', 'P04222')"
"('Q15291', 'Q86VZ2')"
"('406913', 'P46109')"
"('O14641', 'Q155Q3')"
"('Q9BQ66', 'O95990')"
"('P01282', 'P50222')"
"('Q15465', 'Q99835')"
"('P10721', 'P19174')"
"('Q01844', 'P56278')"
"('Q9UM73', 'P23467')"
"('Q14CS0', 'Q15078')"
"('Q9HCN6', 'P30273')"
"('Q9HAV0', 'P84996')"
"('O00329', 'P42345')"
"('Q9Y375', 'Q9BQ95')"
"('Q92841', 'Q13573')"
"('Q9GZN8', 'Q93100')"
"('P08514', 'P49023')"
"('Q07021', 'Q13243')"
"('Q9Y2T3', 'Q92796')"
"('Q12789', 'Q9H1I8')"
"('Q9UI14', 'Q9UL26')"
"('Q15599', 'P13569')"
"('O60264', 'Q9UIF9')"
"('P36578', 'P18077')"
"('Q9NRW7', 'Q9H1K0')"
"('Q06124', 'P08069')"
"('P49841', 'P60484')"
"('Q9Y383', 'Q16543')"
"('P50749', 'P01116')"
"('Q8IV45', 'Q04206')"
"('Q9UBU2', 'O75197')"
"('O00231', 'O00487')"
"('Q9Y6T7', 'Q15323')"
"('Q9H1Y0', 'P51149')"
"('Q9UNM6', 'P01889')"
"('P53007', 'P49662')"
"('P04278', 'P02795')"
"('O75832', 'Q13200')"
"('P78537', 'Q9NRF9')"
"('P25445', 'P51681')"
"('P53618', 'Q13573')"
"('O60674', 'Q07889')"
"('O60921', 'P12004')"
"('Q8TCY5', 'P32245')"
"('P30480', 'P55036')"
"('P12931', 'P12318')"
"('P05204', 'O15263')"
"('Q9UBY0', 'P13569')"
"('Q9NRF2', 'O60674')"
"('P29350', 'P17844')"
"('P29353', 'P01133')"
"('Q8ND76', 'P61981')"
"('P62195', 'P67809')"
"('P19387', 'P18848')"
"('O75925', 'P08151')"
"('P38159', 'P84103')"
"('Q96JQ0', 'Q92905')"
"('P01137', 'P45984')"
"('Q9Y5B9', 'P16104')"
"('P11229', 'Q9P2W3')"
"('P51817', 'Q09472')"
"('P05154', 'Q7L5N1')"
"('O95870', 'P09651')"
"('P63162', 'Q6Y7W6')"
"('P51965', 'Q13064')"
"('Q92845', 'Q9BV47')"
"('P49366', 'P32969')"
"('Q86WN2', 'P38484')"
"('Q13315', 'Q15382')"
"('P21333', 'P13569')"
"('P54278', 'O15350')"
"('Q15147', 'Q05655')"
"('O75376', 'P15036')"
"('P07202', 'Q8N6P7')"
"('P56537', 'P29692')"
"('Q9NT62', 'P49368')"
"('P07437', 'P31946')"
"('Q71F56', 'P28702')"
"('Q9Y5J5', 'Q96ER3')"
"('P02749', 'Q14289')"
"('Q08211', 'P09651')"
"('Q9UM11', 'P25054')"
"('Q9C0I4', 'Q6VN20')"
"('Q6ZU52', 'P19012')"
"('P05109', 'Q13432')"
"('P09619', 'O43639')"
"('Q9NR96', 'Q9P1U1')"
"('O75554', 'O43395')"
"('O00487', 'P35609')"
"('P48551', 'P01562')"
"('P49796', 'Q13568')"
"('Q9NRV9', 'Q15038')"
"('O15239', 'P03897')"
"('P26641', 'Q96RU7')"
"('O76071', 'Q9UHI6')"
"('A5YKK6', 'P19793')"
"('P52797', 'P21802')"
"('Q14152', 'O94817')"
"('Q13905', 'P17081')"
"('P14317', 'P60709')"
"('P21802', 'P16885')"
"('Q6IA17', 'P09104')"
"('Q8NEU8', 'Q9UL26')"
"('P18846', 'Q6UUV7')"
"('Q9H7D0', 'Q92730')"
"('P01568', 'P42701')"
"('Q08209', 'Q9UJX2')"
"('P22090', 'P62277')"
"('P25789', 'P0CG48')"
"('P07900', 'P11142')"
"('Q9Y478', 'Q01469')"
"('Q969V5', 'P51965')"
"('Q6IE81', 'P25205')"
"('P52701', 'P09429')"
"('Q99961', 'P08069')"
"('Q96B02', 'P14373')"
"('Q13535', 'Q9Y2X9')"
"('Q9UM13', 'P14635')"
"('P67870', 'P15621')"
"('Q6DN03', 'Q9UPS6')"
"('Q9BQ66', 'Q9NZ81')"
"('P01106', 'Q13177')"
"('P22736', 'P54253')"
"('Q16560', 'O14788')"
"('P21980', 'Q15796')"
"('P45973', 'P10412')"
"('Q9NSC5', 'P41594')"
"('P07996', 'O75578')"
"('Q15910', 'Q16637')"
"('P07900', 'P19838')"
"('O75460', 'P11021')"
"('P51692', 'P20963')"
"('P07948', 'P43405')"
"('P60568', 'Q9UHF4')"
"('P40763', 'Q06124')"
"('Q9Y4K3', 'O60641')"
"('A6NM45', 'Q96AP7')"
"('P32121', 'Q9NQN1')"
"('O75496', 'Q9H211')"
"('P10124', 'P16070')"
"('P49841', 'Q71U36')"
"('P36873', 'Q8TCU5')"
"('P01106', 'P49795')"
"('P08637', 'P12314')"
"('P27986', 'P11678')"
"('P31946', 'Q9Y2J2')"
"('Q13315', 'P55290')"
"('Q05655', 'Q9Y2U5')"
"('Q52LW3', 'P60763')"
"('O95182', 'P03923')"
"('Q96P50', 'Q15750')"
"('Q8IZC6', 'P17301')"
"('P25789', 'Q969U7')"
"('Q13315', 'Q6AI39')"
"('Q9BUH8', 'Q8TBE0')"
"('P01100', 'P84022')"
"('P62847', 'P62241')"
"('O75376', 'P06454')"
"('P78406', 'P12270')"
"('P12236', 'P22607')"
"('Q7L5N1', 'Q16531')"
"('O75116', 'O14974')"
"('Q14832', 'P04899')"
"('Q86SE5', 'Q9NVV9')"
"('374462', 'P19022')"
"('P49815', 'Q15796')"
"('P26992', 'P46108')"
"('Q13315', 'Q96B01')"
"('Q04206', 'P19338')"
"('Q9Y468', 'Q01094')"
"('P01574', 'Q99665')"
"('Q12824', 'Q9P2D1')"
"('P11142', 'P30793')"
"('Q8WXH5', 'P26992')"
"('P40933', 'Q01113')"
"('Q9Y4Z0', 'Q96GM8')"
"('O43312', 'P23468')"
"('Q93009', 'Q96JH8')"
"('Q99706', 'P14921')"
"('Q9UET6', 'P46781')"
"('P51817', 'Q13224')"
"('P12814', 'P60709')"
"('Q12904', 'P01889')"
"('P24385', 'Q16695')"
"('P78386', 'Q9NR96')"
"('P07437', 'Q99459')"
"('P01106', 'P54725')"
"('Q13191', 'P52333')"
"('Q8TES7', 'Q14134')"
"('Q04206', 'Q99757')"
"('P25705', 'P06576')"
"('Q15311', 'P62330')"
"('Q9UII2', 'Q12873')"
"('Q9BTU6', 'O14640')"
"('Q8N983', 'Q9NY93')"
"('O75376', 'Q13547')"
"('Q86Z02', 'P52952')"
"('P12931', 'O95886')"
"('P21266', 'P62993')"
"('P16104', 'O60934')"
"('Q9Y2K2', 'P63104')"
"('P0C0S5', 'Q86WJ1')"
"('P08621', 'P12757')"
"('Q99961', 'Q99963')"
"('Q04759', 'Q9UEW8')"
"('P62993', 'P12074')"
"('O95990', 'P08727')"
"('O75663', 'P67775')"
"('P31749', 'O60825')"
"('Q7L2J0', 'Q13263')"
"('O43660', 'O75934')"
"('O43513', 'Q9NWA0')"
"('P32238', 'P29992')"
"('P63165', 'O15131')"
"('Q6ZWJ1', 'P54259')"
"('Q13255', 'O95837')"
"('Q9NYJ8', 'O15264')"
"('Q09472', 'Q14186')"
"('P08107', 'Q00613')"
"('P18754', 'P98095')"
"('P22626', 'Q01081')"
"('P46736', 'Q96RL1')"
"('P22612', 'P52565')"
"('Q16186', 'P0CG48')"
"('Q68CJ9', 'P18850')"
"('Q9HCT0', 'P08069')"
"('Q9Y3B4', 'O75940')"
"('Q9Y4G6', 'P08514')"
"('Q13315', 'Q14562')"
"('P47869', 'O95166')"
"('Q14197', 'Q9NWU5')"
"('P62829', 'Q99759')"
"('Q15475', 'Q08117')"
"('P62633', 'O60506')"
"('P01568', 'P40238')"
"('P31749', 'P21453')"
"('P15927', 'P68104')"
"('P03891', 'Q86Y39')"
"('P08253', 'P01137')"
"('P16871', 'O14618')"
"('Q13315', 'Q96QE3')"
"('Q30201', 'P61769')"
"('Q15366', 'P52756')"
"('P25788', 'P48634')"
"('Q9BY84', 'Q9UQF2')"
"('Q99814', 'P08047')"
"('Q93097', 'O75197')"
"('P30466', 'Q13241')"
"('P00505', 'P21796')"
"('Q96J02', 'Q9H0E2')"
"('Q96KQ7', 'P62993')"
"('O43921', 'P21709')"
"('P36406', 'Q8TBB1')"
"('Q9P2H0', 'P51114')"
"('Q9Y265', 'Q00653')"
"('Q9NYV4', 'P78386')"
"('P24539', 'P00846')"
"('Q15910', 'O14980')"
"('O15145', 'Q99873')"
"('O15198', 'Q15149')"
"('P35222', 'P10909')"
"('Q05086', 'P51451')"
"('P18858', 'P04350')"
"('Q9UNS2', 'Q9Y6K9')"
"('P60866', 'P62266')"
"('P34810', 'P32519')"
"('Q7L0Q8', 'Q14289')"
"('P17813', 'P18075')"
"('P09341', 'P32302')"
"('P08581', 'O43157')"
"('P56537', 'P53350')"
"('Q96NA2', 'Q13748')"
"('P01892', 'P10966')"
"('P22612', 'Q32MK0')"
"('Q9NQZ8', 'Q05513')"
"('P04150', 'P20226')"
"('Q14676', 'O96017')"
"('P0CG48', 'Q9Y2H0')"
"('P21333', 'Q9H9G7')"
"('Q8IWZ8', 'Q9BUJ2')"
"('Q8NGJ1', 'Q9UGN5')"
"('Q13144', 'P05198')"
"('Q13315', 'Q96K21')"
"('Q9Y5N6', 'O43913')"
"('Q96DU9', 'Q58A45')"
"('P60709', 'P16871')"
"('Q96NE9', 'Q13188')"
"('Q9H6I2', 'P36402')"
"('P07737', 'Q8TDM6')"
"('O00559', 'O95295')"
"('P31314', 'P30279')"
"('Q04206', 'P63261')"
"('P20936', 'Q03135')"
"('P32969', 'Q02543')"
"('P62195', 'P17980')"
"('Q9Y5L0', 'Q16763')"
"('Q92569', 'P60953')"
"('P12277', 'Q15750')"
"('Q9H832', 'Q9ULK6')"
"('P04792', 'O15111')"
"('Q06124', 'P16234')"
"('O15455', 'P45985')"
"('P46777', 'Q02543')"
"('O94906', 'Q15428')"
"('Q02156', 'P11234')"
"('Q96TC7', 'P61981')"
"('P63104', 'Q9UHB6')"
"('P55196', 'P63267')"
"('Q96K83', 'O15131')"
"('Q15369', 'Q96G25')"
"('Q969G3', 'Q13573')"
"('Q9UNN5', 'P55210')"
"('P06400', 'Q66K89')"
"('A0JLT2', 'O00571')"
"('O95433', 'Q15078')"
"('P53803', 'Q9Y535')"
"('Q16385', 'Q969G2')"
"('P62487', 'Q8WVC0')"
"('P51955', 'Q8N137')"
"('Q3KNV8', 'O00762')"
"('P05106', 'Q9HBI1')"
"('O60739', 'P13797')"
"('O75676', 'Q04206')"
"('Q86W92', 'P27348')"
"('P0CG48', 'Q99062')"
"('Q14164', 'P61289')"
"('Q07812', 'P22001')"
"('Q96KM6', 'Q7LBC6')"
"('Q9UHD2', 'Q9Y4K3')"
"('P49221', 'P01857')"
"('P27635', 'P61313')"
"('Q9UL18', 'P61254')"
"('P13569', 'P56470')"
"('P26012', 'O75578')"
"('P22694', 'P10071')"
"('O95047', 'P38405')"
"('Q9UHX1', 'Q13283')"
"('P42336', 'P16144')"
"('O15230', 'Q05397')"
"('Q99959', 'P00533')"
"('Q96ID5', 'P04792')"
"('Q96EB6', 'Q01201')"
"('Q9UJY5', 'Q15276')"
"('P03923', 'O43676')"
"('Q99613', 'Q13347')"
"('Q9H461', 'Q15147')"
"('Q8IX07', 'P15976')"
"('Q13315', 'Q8NHG8')"
"('Q5SQH8', 'P67870')"
"('O14656', 'Q8NFQ8')"
"('Q6UXN9', 'Q9P2I0')"
"('P20333', 'P12236')"
"('P32121', 'Q8NGE8')"
"('Q9Y3Y2', 'O94817')"
"('P78368', 'Q9H6R7')"
"('Q9H171', 'Q14164')"
"('Q96NA2', 'Q14204')"
"('O60496', 'P07949')"
"('O75800', 'Q15819')"
"('Q9GZX6', 'P15260')"
"('Q9UMX1', 'O14978')"
"('Q01094', 'Q14457')"
"('Q14160', 'P46937')"
"('Q8N5U6', 'Q15047')"
"('Q9ULE0', 'O75940')"
"('P50150', 'Q8WYR1')"
"('P12268', 'P31749')"
"('P17947', 'P20226')"
"('P04626', 'O14796')"
"('Q9UGJ0', 'Q86TI0')"
"('O75578', 'P60709')"
"('Q14141', 'O00422')"
"('Q96EZ8', 'Q63HN8')"
"('Q9UHI6', 'Q9Y3F4')"
"('P27694', 'P16870')"
"('Q8TD31', 'O95433')"
"('P32969', 'P27635')"
"('Q59H18', 'P05413')"
"('Q9HC77', 'P42229')"
"('O15111', 'Q15796')"
"('P62158', 'Q13554')"
"('O95405', 'P37173')"
"('Q02543', 'Q12852')"
"('Q8TDY2', 'O75385')"
"('Q13546', 'Q13158')"
"('P49796', 'P08754')"
"('Q15038', 'Q9NX53')"
"('Q9Y2B9', 'P35244')"
"('Q9P1Z2', 'Q9UJU2')"
"('P00533', 'P40763')"
"('O43353', 'P60900')"
"('P16333', 'P42566')"
"('Q14919', 'Q14315')"
"('Q9UBN7', 'Q15717')"
"('Q9UK08', 'Q13936')"
"('Q8TEW0', 'Q9NQ66')"
"('P08670', 'Q14790')"
"('Q99961', 'P16234')"
"('Q96S59', 'P08581')"
"('Q96D31', 'Q9BRQ5')"
"('Q13158', 'P15311')"
"('P38398', 'P54132')"
"('P49763', 'P04626')"
"('P02751', 'P26006')"
"('Q9NPH0', 'P68104')"
"('Q7Z3T8', 'Q13485')"
"('Q96PM9', 'P62837')"
"('P07910', 'Q15365')"
"('P20701', 'P05362')"
"('P45984', 'P01100')"
"('Q08379', 'Q99996')"
"('Q99558', 'P62424')"
"('Q92583', 'P51681')"
"('Q13243', 'Q9BUJ2')"
"('Q15643', 'P06400')"
"('Q14240', 'P11940')"
"('P05556', 'Q9UBP9')"
"('Q8NHS9', 'Q9UL33')"
"('P60842', 'Q53EL6')"
"('P25100', 'Q13424')"
"('P12931', 'P00519')"
"('P78549', 'P28715')"
"('P31946', 'Q13627')"
"('P01133', 'Q13191')"
"('Q13202', 'P45983')"
"('P24941', 'P10244')"
"('P43250', 'P25024')"
"('Q03164', 'Q9GZS3')"
"('O43809', 'P10074')"
"('P46100', 'Q92793')"
"('P10276', 'O15479')"
"('P61073', 'O75955')"
"('Q06124', 'Q9Y3P8')"
"('Q9UPP1', 'P24864')"
"('P61956', 'P13196')"
"('P52735', 'P29353')"
"('Q96ST3', 'Q9HCU9')"
"('P25098', 'Q03135')"
"('P19387', 'Q9BQA1')"
"('P07947', 'Q13177')"
"('Q8IU54', 'P32927')"
"('P38159', 'Q9NZ08')"
"('P06396', 'P02768')"
"('P40227', 'P01106')"
"('Q07325', 'P51686')"
"('Q9Y5V3', 'Q9H583')"
"('Q9NYG5', 'Q9UJX5')"
"('O15198', 'P53582')"
"('Q15714', 'Q9UGU5')"
"('P61254', 'P49207')"
"('Q15029', 'Q04206')"
"('Q00653', 'P51398')"
"('P12931', 'Q13873')"
"('O15117', 'P06241')"
"('Q13347', 'P60709')"
"('P36542', 'Q8NG27')"
"('Q14164', 'Q9NR31')"
"('P40225', 'P40189')"
"('Q53HC9', 'Q9H8S9')"
"('P24522', 'P15880')"
"('Q15661', 'P20231')"
"('O95299', 'P17568')"
"('P23258', 'P01106')"
"('Q99683', 'O95382')"
"('Q08334', 'P52333')"
"('Q99459', 'O76094')"
"('P05129', 'P47712')"
"('Q96B36', 'P63104')"
"('P78352', 'Q05586')"
"('P51817', 'Q96D31')"
"('Q12824', 'Q01831')"
"('Q5RL73', 'Q9UN74')"
"('Q9Y2R2', 'P07766')"
"('Q9Y3C5', 'Q9Y679')"
"('P42575', 'P55210')"
"('Q9Y243', 'Q14653')"
"('P01106', 'P53597')"
"('Q15545', 'Q8WTS6')"
"('P07948', 'P31994')"
"('P25445', 'Q5UIP0')"
"('P09936', 'Q15843')"
"('Q96AC6', 'P16333')"
"('84717', 'P49407')"
"('Q9NPF7', 'P01589')"
"('Q13936', 'O60641')"
"('Q16254', 'P10323')"
"('Q16514', 'Q92830')"
"('P49767', 'P22455')"
"('Q9UJV9', 'P22314')"
"('Q96HB5', 'Q99418')"
"('Q92769', 'P40763')"
"('P55199', 'Q9NQC3')"
"('O95229', 'O14777')"
"('O43586', 'Q9Y3U8')"
"('P19876', 'P32302')"
"('O75955', 'Q14254')"
"('Q16827', 'P19022')"
"('P04217', 'P20073')"
"('P01889', 'Q12904')"
"('O15230', 'P18564')"
"('Q15843', 'P18077')"
"('Q9UKV8', 'O14744')"
"('Q8NG27', 'Q01082')"
"('Q92608', 'P08134')"
"('P54252', 'Q9BUB5')"
"('P08107', 'Q9HCK5')"
"('Q9HCT0', 'P16234')"
"('P52292', 'Q9UH99')"
"('Q96EZ8', 'P43364')"
"('P15735', 'Q8TD86')"
"('P48039', 'O14610')"
"('Q14596', 'Q9NP79')"
"('O14713', 'Q9BSQ5')"
"('P24385', 'P17275')"
"('Q9P286', 'Q15052')"
"('Q13683', 'P63261')"
"('Q9NT62', 'O94817')"
"('P08107', 'P11142')"
"('P56748', 'C9JDP6')"
"('Q05519', 'P52272')"
"('P60228', 'Q9H9Q2')"
"('P30154', 'Q06190')"
"('P01106', 'Q9Y3T9')"
"('Q92844', 'P62158')"
"('Q16881', 'Q03135')"
"('P30480', 'Q8NFH3')"
"('Q16787', 'Q05397')"
"('P56134', 'Q9H1Y0')"
"('P58876', 'P78545')"
"('Q92583', 'P61073')"
"('Q99459', 'O00231')"
"('Q13616', 'Q9UMX0')"
"('Q13432', 'P42773')"
"('P23508', 'Q9Y4L1')"
"('P46781', 'P62753')"
"('Q7Z406', 'Q96A32')"
"('P18146', 'P34810')"
"('Q96S55', 'Q14191')"
"('O76064', 'P61088')"
"('O95859', 'Q9ULV1')"
"('Q9ULK6', 'Q5VVX9')"
"('Q7RTX0', 'Q5JWF2')"
"('O14904', 'O75084')"
"('P35998', 'P0CG48')"
"('Q9BQA1', 'Q969M7')"
"('Q9H2X0', 'P12643')"
"('P21675', 'P17480')"
"('Q08170', 'Q13247')"
"('P08107', 'P19838')"
"('Q9UQM7', 'P21333')"
"('Q8IU54', 'Q6UXL0')"
"('P30519', 'P05067')"
"('Q13153', 'Q9H1R3')"
"('Q9Y5K5', 'Q9ULG1')"
"('Q13625', 'P63104')"
"('P68104', 'P26640')"
"('P45452', 'P17676')"
"('P21810', 'P07996')"
"('Q00653', 'P62244')"
"('P10827', 'P28702')"
"('P13498', 'Q969G6')"
"('Q9Y248', 'Q96GE4')"
"('P05771', 'Q9H492')"
"('P35222', 'Q15596')"
"('O00231', 'P35998')"
"('P19388', 'Q6P1J9')"
"('O75367', 'Q08945')"
"('Q99613', 'Q14152')"
"('Q9BWF3', 'P98175')"
"('Q96RE7', 'Q99459')"
"('P43355', 'O00141')"
"('Q96RL1', 'P12757')"
"('P51114', 'P35228')"
"('Q93009', 'P04637')"
"('O00483', 'O95299')"
"('Q16659', 'P55290')"
"('P36956', 'P52790')"
"('Q96RD0', 'P38405')"
"('Q9HAV0', 'Q96PN6')"
"('Q8WZA2', 'P00374')"
"('P01579', 'Q92786')"
"('P19525', 'Q9HCE1')"
"('Q9UKV8', 'P98175')"
"('P40763', 'P27695')"
"('P04156', 'P14136')"
"('P08069', 'Q6S5L8')"
"('Q96BD6', 'Q15369')"
"('P04141', 'P14784')"
"('P11021', 'O15264')"
"('O43676', 'O95139')"
"('P18084', 'P08758')"
"('P42695', 'Q8IY92')"
"('Q9P2E3', 'P62837')"
"('P04792', 'Q96RG2')"
"('Q9P286', 'P53671')"
"('Q01094', 'Q7L590')"
"('P52757', 'P62745')"
"('Q9HAF1', 'Q15834')"
"('Q9NRR5', 'Q96IX5')"
"('P41220', 'Q9BVA1')"
"('P17252', 'P63000')"
"('P09651', 'P22301')"
"('O75832', 'P61289')"
"('Q9BTT4', 'P24928')"
"('Q16620', 'P22001')"
"('Q8IXH7', 'P62854')"
"('O76011', 'Q92796')"
"('P01569', 'O60674')"
"('Q9Y6X2', 'Q09472')"
"('P39023', 'P62917')"
"('P04626', 'P43405')"
"('Q9UKG9', 'O60641')"
"('P24928', 'Q08945')"
"('Q9H222', 'Q9H221')"
"('Q9P0K1', 'P63104')"
"('Q12933', 'O15111')"
"('P35626', 'Q8NHC4')"
"('P55774', 'P12931')"
"('Q9UBQ5', 'O15372')"
"('Q9BPX7', 'Q9NYF0')"
"('P35222', 'O14745')"
"('Q99759', 'O00141')"
"('Q9NRI5', 'P63261')"
"('Q96KB5', 'Q13227')"
"('O15182', 'Q5UIP0')"
"('O00590', 'O00585')"
"('O60244', 'P35609')"
"('P62136', 'P24844')"
"('Q14653', 'Q9UII4')"
"('Q9BUV8', 'Q9UI26')"
"('P78325', 'O95633')"
"('P09466', 'Q96ID5')"
"('P15924', 'Q99569')"
"('P61160', 'Q99459')"
"('Q9UKV5', 'Q9NPD8')"
"('Q9BQ75', 'P12980')"
"('Q9NWT6', 'Q99814')"
"('P54274', 'O95271')"
"('P62750', 'P18077')"
"('P56747', 'P57739')"
"('P38398', 'P08047')"
"('Q8NDB2', 'Q14571')"
"('Q9UKT8', 'P63208')"
"('Q15796', 'Q9H160')"
"('Q9UP38', 'O75197')"
"('Q9Y6D5', 'Q9Y6D6')"
"('Q12933', 'Q9NVF7')"
"('Q9UBD9', 'P26992')"
"('Q16842', 'P09104')"
"('Q00987', 'P68104')"
"('Q8N5C8', 'P53779')"
"('P45378', 'O95149')"
"('P36894', 'P27037')"
"('P04406', 'Q01105')"
"('P15927', 'P13686')"
"('Q9Y239', 'P19838')"
"('P17980', 'Q9NNW7')"
"('P28482', 'Q02930')"
"('P56703', 'O00144')"
"('P15391', 'P62993')"
"('Q16527', 'O75925')"
"('P05106', 'Q9Y3P9')"
"('P62244', 'P62273')"
"('P84098', 'P62913')"
"('P84022', 'Q9Y2U8')"
"('O94854', 'P02647')"
"('Q9UKN7', 'Q9P202')"
"('Q9Y4A5', 'P68133')"
"('P46940', 'P29353')"
"('O15111', 'Q12778')"
"('O15524', 'Q99665')"
"('Q13315', 'O43164')"
"('Q13418', 'P62328')"
"('P13861', 'Q12802')"
"('P01106', 'O95391')"
"('P25942', 'P24394')"
"('Q13573', 'Q13200')"
"('Q05513', 'P25963')"
"('Q9UBU9', 'Q9H1J1')"
"('P29459', 'P48357')"
"('Q08AE8', 'P31947')"
"('Q8NFH5', 'Q8NFH3')"
"('P26441', 'Q99062')"
"('P26038', 'P04222')"
"('P51636', 'P20264')"
"('P62826', 'Q14974')"
"('O60732', 'Q8N2Y8')"
"('P63279', 'O43353')"
"('Q16695', 'P62316')"
"('P61313', 'Q02878')"
"('Q96DI7', 'O94906')"
"('Q13464', 'O60331')"
"('O14640', 'Q76N89')"
"('P57739', 'P56747')"
"('Q9Y6X6', 'P27986')"
"('P35326', 'Q08881')"
"('Q15714', 'P20618')"
"('P36873', 'P49841')"
"('Q13464', 'Q8TBX8')"
"('P56945', 'P50281')"
"('P46109', 'Q13191')"
"('Q12772', 'P49407')"
"('P67775', 'P23443')"
"('Q9UJF2', 'P62070')"
"('P01106', 'Q13105')"
"('Q7Z3B3', 'Q12933')"
"('P30291', 'Q9Y297')"
"('Q96CF2', 'Q9UN37')"
"('Q8IX03', 'Q16659')"
"('Q9Y6I7', 'Q9H2X6')"
"('Q38SD2', 'P00519')"
"('P18146', 'Q09472')"
"('P31946', 'Q9Y2H1')"
"('P13521', 'Q9NRR5')"
"('P0C5Z0', 'Q8WUI4')"
"('Q14432', 'P48357')"
"('Q13573', 'Q16659')"
"('Q96G03', 'P18146')"
"('O14929', 'Q6NXT2')"
"('Q9Y388', 'Q9BRD0')"
"('O76093', 'P29317')"
"('Q9Y230', 'P49642')"
"('Q99459', 'Q9UID3')"
"('P00748', 'P01024')"
"('Q9UQL6', 'P0C0S5')"
"('P40692', 'P43246')"
"('P01588', 'P10912')"
"('P25054', 'P49023')"
"('Q9Y2M5', 'Q5T3J3')"
"('Q92851', 'P19838')"
"('P20023', 'P04637')"
"('Q86W42', 'Q8NI27')"
"('Q9Y261', 'P67870')"
"('Q9H2G2', 'Q15078')"
"('Q9NSE2', 'P52333')"
"('Q9UKV8', 'P38646')"
"('Q96IU2', 'P41235')"
"('O00463', 'O00329')"
"('407021', 'Q01453')"
"('Q12933', 'Q9NYA1')"
"('P49321', 'Q05397')"
"('P63104', 'P07437')"
"('P37108', 'O15479')"
"('Q8IVI9', 'P29474')"
"('Q5VVJ2', 'P07437')"
"('Q15750', 'Q9BXL7')"
"('Q01844', 'Q86SE5')"
"('P62993', 'P62937')"
"('P04637', 'P21953')"
"('Q13526', 'P78412')"
"('Q13555', 'P42224')"
"('Q7L590', 'P33993')"
"('P35680', 'Q8TCC7')"
"('P35222', 'Q15796')"
"('P62910', 'P36578')"
"('Q9BTT4', 'Q14498')"
"('O14775', 'P28482')"
"('O15287', 'Q9NPD8')"
"('Q9UNY4', 'Q9Y6A5')"
"('Q9UGJ0', 'P46527')"
"('P35250', 'Q9HCU8')"
"('Q96GD4', 'P06400')"
"('Q07157', 'P35222')"
"('Q9H0H5', 'P60763')"
"('P47992', 'P51681')"
"('P00441', 'P16871')"
