negatives
"('O60603', 'P34931')"
"('P27708', 'Q15796')"
"('P61353', 'Q8WZA2')"
"('P61964', 'O75528')"
"('P01589', 'P15976')"
"('O75521', 'O60684')"
"('P01106', 'Q9UNQ2')"
"('Q96L91', 'P04637')"
"('A4D0S4', 'Q7L1I2')"
"('P15173', 'P11831')"
"('O15085', 'Q6AI08')"
"('Q92530', 'Q96PU8')"
"('Q16890', 'P31947')"
"('Q92797', 'P43360')"
"('Q9NZC7', 'Q6UN15')"
"('Q15008', 'Q16082')"
"('Q6FI13', 'Q99877')"
"('P16144', 'Q13797')"
"('P26368', 'Q15366')"
"('Q92993', 'Q96Q83')"
"('P52272', 'P25054')"
"('Q9UIB8', 'O14796')"
"('Q96HE7', 'P07237')"
"('P50053', 'P14678')"
"('Q96CW5', 'Q71U36')"
"('P23508', 'P15121')"
"('Q00005', 'P62266')"
"('Q9P244', 'P61981')"
"('Q04695', 'P29353')"
"('Q9NRT5', 'Q9BQ66')"
"('Q13490', 'Q9Y3I1')"
"('B5ME19', 'P55010')"
"('Q99459', 'P16520')"
"('P07996', 'P15692')"
"('Q03164', 'P35226')"
"('P05787', 'P42574')"
"('P30153', 'P36507')"
"('P42345', 'O15111')"
"('O95376', 'P21246')"
"('O94817', 'P58876')"
"('Q14764', 'Q13573')"
"('P07900', 'P14868')"
"('P62277', 'P62266')"
"('P06241', 'P11836')"
"('Q9NS23', 'Q01844')"
"('Q13177', 'Q13233')"
"('Q99558', 'P34931')"
"('Q8IZJ0', 'P26951')"
"('Q01167', 'P14316')"
"('P05787', 'O60437')"
"('Q9UKW4', 'P29353')"
"('O75113', 'P0CG48')"
"('O43674', 'O43678')"
"('Q5VVX9', 'P35227')"
"('O00459', 'P07332')"
"('28938', 'Q14974')"
"('O75886', 'Q15038')"
"('Q12824', 'P06400')"
"('P00558', 'O15264')"
"('P62861', 'Q99558')"
"('P32942', 'P05107')"
"('Q6PI98', 'Q9ULG1')"
"('P80162', 'P51686')"
"('P01567', 'P78552')"
"('Q14978', 'P68400')"
"('P54259', 'Q7Z7M0')"
"('Q99873', 'P67870')"
"('P63244', 'Q16659')"
"('Q13136', 'Q9UPW5')"
"('O15519', 'O00220')"
"('P05107', 'P42336')"
"('P19438', 'Q15750')"
"('O43676', 'P03923')"
"('Q9NYJ7', 'Q04721')"
"('O75955', 'O43561')"
"('Q13480', 'P28482')"
"('P35998', 'P55036')"
"('P08069', 'P63092')"
"('P09104', 'P16871')"
"('P17252', 'P50151')"
"('P17812', 'O75815')"
"('P29353', 'O15162')"
"('P54132', 'Q96E14')"
"('Q99623', 'Q08380')"
