negatives
"('Q15654', 'P18583')"
"('P62879', 'P48549')"
"('Q8IY92', 'Q9BYD2')"
"('P49137', 'Q96BK5')"
"('Q9Y230', 'O14746')"
"('P40763', 'Q96IK5')"
"('Q8NEN0', 'P01857')"
"('O75400', 'Q15459')"
"('P16220', 'Q01664')"
"('P78509', 'P18564')"
"('P25788', 'P28072')"
"('Q9Y5J5', 'P04844')"
"('Q9P286', 'Q32MK0')"
"('P23921', 'Q14164')"
"('Q96QG7', 'Q96EF0')"
"('Q9NPF4', 'Q6UXN9')"
"('P35658', 'Q96EE3')"
"('P55196', 'Q92963')"
"('P47897', 'P04424')"
"('Q99459', 'Q96QD5')"
"('P17676', 'P20023')"
"('P46940', 'Q9H0W8')"
"('P35637', 'Q01081')"
"('Q14194', 'Q9NY59')"
"('Q01543', 'O95551')"
"('P59534', 'A8MTJ3')"
"('P09012', 'Q99717')"
"('O75474', 'P49841')"
"('Q9BTV4', 'P13569')"
"('P0C0S5', 'Q99879')"
"('P98175', 'Q15459')"
"('O14610', 'P63092')"
"('P46776', 'Q92901')"
"('Q02543', 'P18077')"
"('P42574', 'Q7L5N1')"
"('P42677', 'P62753')"
"('P98164', 'P05121')"
"('Q02388', 'Q8IWR0')"
"('P09603', 'P10721')"
"('P28328', 'Q9UKR5')"
"('Q8N682', 'Q01094')"
"('P46781', 'Q99558')"
"('Q92629', 'P18146')"
"('P04350', 'Q9BQE3')"
"('Q13535', 'P30622')"
"('P31943', 'Q9UKM9')"
"('P01889', 'P43632')"
"('P51571', 'Q9UKV8')"
"('Q9Y2I6', 'Q15911')"
"('Q13315', 'Q8TDI0')"
"('P98170', 'Q13049')"
"('Q9Y6X2', 'P11831')"
"('Q13535', 'Q8WXI9')"
"('Q15654', 'Q9HC36')"
"('Q8IY92', 'Q96QD5')"
"('P63104', 'Q9P0K7')"
"('Q9NY65', 'Q13409')"
"('Q7Z6B7', 'Q9HBH0')"
"('Q8N7W2', 'Q92530')"
"('P42224', 'P52294')"
"('O15055', 'O15516')"
"('Q13535', 'O60341')"
"('P08865', 'P08238')"
"('Q13202', 'P27361')"
"('Q9Y2T4', 'P78371')"
"('Q9BST9', 'Q9BZR6')"
"('Q14209', 'P20248')"
"('P29353', 'Q16832')"
"('Q13522', 'Q96SB3')"
"('Q08397', 'P35555')"
"('Q9H6E4', 'Q9NRR5')"
"('P27986', 'Q8WX92')"
"('Q15181', 'P04792')"
"('O00206', 'Q9Y3B3')"
"('Q9Y2U5', 'O14920')"
"('Q13352', 'Q02878')"
"('O95379', 'Q93096')"
"('Q6P1R3', 'Q9NRL3')"
"('Q96HF1', 'O14905')"
"('Q96HA1', 'Q08379')"
"('P68104', 'P63104')"
"('Q96K80', 'P54253')"
"('O43150', 'P62993')"
"('Q8WW24', 'P43358')"
"('Q96MF7', 'P54274')"
"('O00214', 'P13612')"
"('Q6NZY4', 'O75400')"
"('Q9P2Y5', 'Q9P253')"
"('Q9Y3C5', 'Q9H201')"
"('O95400', 'Q16629')"
"('Q9BQA1', 'Q9UHR5')"
"('O14576', 'Q9BQE3')"
"('P16220', 'O43312')"
"('P26641', 'P21673')"
"('P28482', 'P54709')"
"('P23508', 'P15311')"
"('Q12933', 'Q15654')"
"('Q13492', 'Q9NX02')"
"('Q9UET6', 'P29692')"
"('Q96S55', 'P51784')"
"('Q15572', 'P02766')"
"('Q9UJX2', 'P30260')"
"('P49767', 'P17948')"
"('Q9H173', 'Q14204')"
"('P28065', 'P03372')"
"('P61981', 'Q08AD1')"
"('P20248', 'P12931')"
"('Q9HBZ2', 'Q16665')"
"('P26012', 'P53708')"
"('P40933', 'Q8N6P7')"
"('Q92793', 'Q13185')"
"('Q12778', 'Q8NHY2')"
"('P16220', 'Q08426')"
"('O00206', 'O60603')"
"('P48552', 'O15379')"
"('Q9UET6', 'P62834')"
"('P61952', 'Q00975')"
"('P60510', 'Q9NY27')"
"('406907', 'P51159')"
"('O60739', 'O43324')"
"('P21673', 'P56182')"
"('A8K4G0', 'P62993')"
"('P62807', 'O15379')"
"('Q9Y572', 'P62829')"
"('P56750', 'O14493')"
"('P35626', 'Q8NGE1')"
"('O00206', 'P11226')"
"('P47736', 'Q9GZQ8')"
"('O60296', 'O14764')"
"('Q14164', 'Q9Y2B0')"
"('C9JDP6', 'Q16625')"
"('Q9UKX3', 'P63104')"
"('O95425', 'P13569')"
"('Q9Y5J5', 'Q5VWQ8')"
"('Q9UKG9', 'P08238')"
"('Q96EV8', 'Q92994')"
"('O60861', 'O60610')"
"('Q9Y6K9', 'P07900')"
"('Q9NQ66', 'Q8TEW0')"
"('P42771', 'P30279')"
"('P16104', 'Q9BXW9')"
"('Q8TDR0', 'Q15555')"
"('P31749', 'Q13233')"
"('Q9BQ83', 'P49721')"
"('O60333', 'P21246')"
"('Q13535', 'Q96H79')"
"('Q15714', 'Q3ZCQ8')"
"('P78396', 'P06493')"
"('Q96CV9', 'P31946')"
"('P08729', 'P05783')"
"('Q14738', 'O00305')"
"('Q92793', 'Q92831')"
"('P05455', 'Q9UHX1')"
"('P05026', 'P00533')"
"('Q13064', 'Q96LR5')"
"('Q96GW7', 'P08253')"
"('Q15047', 'P31749')"
"('Q13217', 'Q9P2K8')"
"('O43318', 'P53041')"
"('Q6P4Q7', 'Q12974')"
"('Q14185', 'P84095')"
"('Q14683', 'Q15287')"
"('Q99459', 'P62258')"
"('P46977', 'P61803')"
"('Q13576', 'Q04206')"
"('O95714', 'Q9UJU6')"
"('O00505', 'Q15007')"
"('O14965', 'P30305')"
"('P31943', 'Q15637')"
"('P41182', 'Q9UBK2')"
"('P62280', 'Q01201')"
"('Q9NZT1', 'P29973')"
"('O95267', 'P61224')"
"('O60341', 'P56134')"
"('P02679', 'P05362')"
"('Q9Y678', 'Q9Y2Q3')"
"('P08246', 'P01009')"
"('Q86VK4', 'P18146')"
"('Q6IQ26', 'Q05513')"
"('P17844', 'Q6WCQ1')"
"('O60508', 'Q13242')"
"('O75751', 'P00519')"
"('P63167', 'P78352')"
"('P62993', 'P51681')"
"('P61964', 'Q93079')"
"('P46783', 'P62753')"
"('Q9HB71', 'P63208')"
"('Q9P035', 'P60520')"
"('Q13404', 'O94941')"
"('P35626', 'Q96RB7')"
"('O15182', 'Q13432')"
"('O14730', 'P51571')"
"('P36897', 'P10114')"
"('P46092', 'P06241')"
"('Q15038', 'O15162')"
"('P05121', 'P84022')"
"('P07996', 'Q08722')"
"('P49746', 'P13612')"
"('P18146', 'P15104')"
"('P15692', 'P10721')"
"('P19525', 'Q00577')"
"('Q9BZE1', 'P04183')"
"('Q12840', 'Q8TDR0')"
"('Q8WWQ0', 'Q13509')"
"('Q9NYJ8', 'Q96EX3')"
"('Q9UBS8', 'Q96B02')"
"('Q13616', 'P23508')"
"('Q13315', 'Q7Z6Z7')"
"('P62714', 'Q66LE6')"
"('P16220', 'P51532')"
"('Q9UJZ1', 'P23508')"
"('O15537', 'P14415')"
"('Q14566', 'Q92794')"
"('Q13555', 'P01116')"
"('P13637', 'Q9NSB8')"
"('Q9GZR7', 'P01106')"
"('P04637', 'Q9NQ88')"
"('P78347', 'P40763')"
"('Q05209', 'P10721')"
"('Q92917', 'Q9BQA1')"
"('Q9UER7', 'P35659')"
"('O95445', 'Q99612')"
"('Q6UX72', 'P13569')"
"('Q8TE23', 'Q7RTX0')"
"('Q9P0W0', 'Q99650')"
"('P63244', 'P60709')"
"('P04637', 'Q00597')"
"('P51531', 'P51608')"
"('P62330', 'P07355')"
"('Q9Y6R0', 'P42566')"
"('P11171', 'Q15907')"
"('P19438', 'O15397')"
"('Q15561', 'P36402')"
"('407014', 'P45985')"
"('P16220', 'Q9UM01')"
"('P08123', 'P05556')"
"('P32121', 'Q8NGG5')"
"('O94985', 'Q14669')"
"('Q9BQG0', 'P10275')"
"('Q92956', 'P51571')"
"('P18206', 'O60260')"
"('P55157', 'O43708')"
"('Q9BTT4', 'P61218')"
"('Q08043', 'Q8WWI1')"
"('P61981', 'P17812')"
"('P62736', 'P35609')"
"('P55735', 'P52948')"
"('Q9H0H5', 'Q02241')"
"('P28074', 'O43353')"
"('P46020', 'P27482')"
"('P40424', 'P22301')"
"('P40306', 'P25787')"
"('Q13315', 'Q6ZNG1')"
"('P49023', 'Q13418')"
"('Q03164', 'Q6ZVZ8')"
"('Q9NZT2', 'Q9Y2Q3')"
"('O14543', 'Q9UQF2')"
"('Q9Y572', 'P48643')"
"('Q99558', 'P61353')"
"('P21796', 'Q14164')"
"('P14316', 'P13232')"
"('Q15323', 'Q92796')"
"('Q96CV9', 'P15692')"
"('Q13459', 'Q9Y3A3')"
"('Q9Y2C9', 'Q06187')"
"('P42858', 'Q99570')"
"('Q12933', 'Q14397')"
"('P19438', 'Q00610')"
"('O43502', 'O75771')"
"('Q12982', 'P11362')"
"('P01106', 'Q96AG4')"
"('P05013', 'P52333')"
"('P38606', 'P21281')"
"('P04259', 'P08727')"
"('Q9UI36', 'Q13485')"
"('P07437', 'Q13748')"
"('P36578', 'P05388')"
"('P84243', 'Q12830')"
"('P18848', 'Q9NS37')"
"('Q8N122', 'Q9BVC4')"
"('O43167', 'Q9Y6E0')"
"('P43250', 'P49682')"
"('Q14457', 'P51784')"
"('P62380', 'P04637')"
"('P62891', 'P46777')"
"('Q00653', 'P40763')"
"('Q12933', 'Q8TBE0')"
"('P63146', 'Q8WVC0')"
"('O60925', 'Q5VU43')"
"('O60232', 'O60496')"
"('P04637', 'P04792')"
"('P30504', 'P16152')"
"('Q96AP0', 'Q93009')"
"('Q7Z2V1', 'Q96E35')"
"('Q12986', 'Q14683')"
"('Q7Z6Z7', 'P42771')"
"('P28482', 'Q02156')"
"('P31431', 'P34741')"
"('Q16630', 'O75112')"
"('Q15120', 'Q14197')"
"('P19388', 'O14802')"
"('Q13485', 'Q16625')"
"('Q6SJ96', 'P19419')"
"('Q9Y3B3', 'Q9Y616')"
"('P10767', 'P00533')"
"('Q13418', 'Q15459')"
"('P13473', 'P37840')"
"('P55157', 'Q14999')"
"('Q04917', 'Q13105')"
"('O75716', 'Q14680')"
"('P03372', 'Q09472')"
"('Q9Y6K9', 'Q99814')"
"('P07942', 'P23229')"
"('P54257', 'P06746')"
"('Q15428', 'Q12906')"
"('P62745', 'O75914')"
"('O15145', 'P60709')"
"('P21675', 'Q04206')"
"('Q13164', 'P18146')"
"('P11229', 'P38405')"
"('P32121', 'Q8NGK3')"
"('P19022', 'Q9Y2R2')"
"('Q92620', 'P61978')"
"('P29992', 'Q00722')"
"('P42677', 'Q9NQC3')"
"('Q92934', 'Q07820')"
"('Q92786', 'Q92858')"
"('O60229', 'Q9GZM8')"
"('Q9Y5X3', 'O60925')"
"('O14508', 'P23458')"
"('Q12824', 'Q9NRR5')"
"('P40337', 'Q99700')"
"('P0CAP1', 'P63167')"
"('P14416', 'O14610')"
"('O95782', 'P62993')"
"('Q9GZQ8', 'P41743')"
"('Q14525', 'O95999')"
"('Q00610', 'P09496')"
"('P63104', 'P25205')"
"('P30101', 'Q13162')"
"('P08069', 'P08754')"
"('P14859', 'P32302')"
"('O00255', 'Q9H4W6')"
"('Q15797', 'Q99717')"
"('O96013', 'P45985')"
"('Q92985', 'Q96A33')"
"('Q01844', 'Q9H5I1')"
"('Q6W2J9', 'Q06587')"
"('O95167', 'Q9NX14')"
"('O95999', 'Q12933')"
"('P02545', 'Q9NRM7')"
"('P49918', 'P11802')"
"('P32881', 'P15509')"
"('P63220', 'P62244')"
"('Q9UPQ9', 'Q9HCK5')"
"('Q96E39', 'P62258')"
"('P62736', 'P26232')"
"('Q9P2W3', 'Q00975')"
"('Q16828', 'P28482')"
"('O43557', 'Q13114')"
"('Q14738', 'Q9Y698')"
"('O15520', 'P10721')"
"('P50876', 'P68036')"
"('P83881', 'P05388')"
"('P26599', 'P22626')"
"('P30480', 'P29144')"
"('P43246', 'Q92830')"
"('Q9BV36', 'P51159')"
"('Q9NZD8', 'P60891')"
"('O14508', 'P42702')"
"('P14859', 'P26583')"
"('Q92730', 'O96013')"
"('P01892', 'Q8N743')"
"('P07197', 'P41219')"
"('Q96KQ7', 'Q9Y6K1')"
"('O15303', 'P04899')"
"('Q9H254', 'Q92932')"
"('O43313', 'Q13535')"
"('P48736', 'O14939')"
"('Q9H0H5', 'P58107')"
"('P36507', 'Q8IVT5')"
"('Q04206', 'P50991')"
"('Q16881', 'Q96I34')"
"('P78527', 'O60245')"
"('Q04206', 'O15226')"
"('Q99558', 'P61313')"
"('O60244', 'Q9UHV7')"
"('Q969G3', 'Q92922')"
"('Q01094', 'O96020')"
"('Q8WUI4', 'P20671')"
"('P14136', 'O75791')"
"('P13500', 'P32246')"
"('Q92993', 'P25440')"
"('Q9NYA4', 'P84022')"
"('Q14CB8', 'Q9NSB8')"
"('P23508', 'P29401')"
"('P42285', 'Q99459')"
"('O95257', 'Q15262')"
"('Q9Y224', 'Q9NRI5')"
"('Q9BUF5', 'Q9Y6G9')"
"('Q15029', 'P83876')"
"('Q9BY41', 'Q9P0M6')"
"('Q14653', 'P09914')"
"('Q8WYK2', 'P29692')"
"('P84022', 'Q9HAU4')"
"('Q9Y4K3', 'O95551')"
"('P32927', 'P17676')"
"('Q96Q15', 'Q9HAU5')"
"('O00459', 'Q9H4E5')"
"('Q01469', 'O43353')"
"('P16333', 'P27816')"
"('Q9Y4K3', 'Q5VZP5')"
"('O94806', 'P12931')"
"('Q13671', 'P63104')"
"('P08670', 'P60709')"
"('Q9NZ52', 'P11717')"
"('Q8N264', 'P61587')"
"('Q68EM7', 'P61586')"
"('Q9UBC3', 'P46783')"
"('Q8IUH3', 'Q13573')"
"('O60711', 'P10275')"
"('Q9Y258', 'P25025')"
"('P16150', 'Q9BZZ2')"
"('P62495', 'P02768')"
"('P08908', 'Q9UBI6')"
"('P01574', 'P48357')"
"('Q9Y6Q1', 'P15311')"
"('P10645', 'P51955')"
"('Q16787', 'P06756')"
"('Q9H361', 'Q14106')"
"('P35625', 'P08253')"
"('P09874', 'O60934')"
"('Q9UNX3', 'P61254')"
"('P35626', 'Q8NGG7')"
"('P62244', 'P35544')"
"('P06729', 'P09382')"
"('Q6IE81', 'Q8WYH8')"
"('Q07020', 'P62987')"
"('Q13573', 'Q96P11')"
"('Q9Y5V3', 'Q12769')"
"('Q9UL18', 'P18124')"
"('P14555', 'Q8NHQ1')"
"('P17181', 'P63244')"
"('P08631', 'O00459')"
"('Q9BPX7', 'Q9UM11')"
"('Q07812', 'Q9NR28')"
"('P17676', 'P61978')"
"('O95714', 'P23025')"
"('Q96JG8', 'Q9BZY9')"
"('O95298', 'O95299')"
"('O14893', 'Q01130')"
"('Q96ST3', 'Q99583')"
"('Q02750', 'P53004')"
"('O60318', 'Q9UKK9')"
"('Q92830', 'P10914')"
"('Q9BPW8', 'Q9HA65')"
"('Q8NBJ4', 'Q15528')"
"('Q96BK5', 'P62280')"
"('P98095', 'P02751')"
"('P35249', 'P35251')"
"('O14965', 'Q9UD71')"
"('P00519', 'Q86YH6')"
"('P36578', 'P62987')"
"('Q14566', 'Q9UBH0')"
"('Q15834', 'O15372')"
"('P55157', 'O14490')"
"('O95208', 'P21802')"
"('P20073', 'O14576')"
"('Q8NHW4', 'P49682')"
"('O00212', 'Q92730')"
"('Q9HCE7', 'O14640')"
"('P49674', 'Q12789')"
"('O43677', 'P03915')"
"('P35240', 'P21675')"
"('Q9NS25', 'Q8NHH9')"
"('P31995', 'P06241')"
"('P05556', 'P63244')"
"('O60925', 'P10589')"
"('Q9NPP4', 'O95999')"
"('Q8TD86', 'Q8N5S9')"
"('P21333', 'Q13797')"
"('P09471', 'P30542')"
"('Q7Z401', 'P31946')"
"('Q9C0A0', 'O60307')"
"('O75884', 'P28749')"
"('Q92878', 'P49959')"
"('Q9UNS2', 'P30480')"
"('Q13485', 'Q9HC98')"
"('P46379', 'P30044')"
"('Q9UKG9', 'Q05639')"
"('O00327', 'P07900')"
"('P23508', 'P05783')"
"('P21802', 'Q92529')"
"('P01106', 'O76094')"
"('P22090', 'P62280')"
"('Q9Y490', 'Q13573')"
"('P01563', 'Q99062')"
"('Q92985', 'P21580')"
"('P26368', 'Q07021')"
"('Q93100', 'Q96RG2')"
"('P16070', 'O00182')"
"('Q9Y575', 'Q15369')"
"('O43149', 'P12757')"
"('O14920', 'O95163')"
"('Q9Y5B9', 'P17542')"
"('P04004', 'P43629')"
"('Q9Y4G2', 'P20042')"
"('Q99619', 'Q15370')"
"('O43741', 'P54619')"
"('P84103', 'P49023')"
"('O75528', 'Q86TJ2')"
"('Q9BZR9', 'P62837')"
"('Q9Y490', 'Q99459')"
"('O75460', 'P45983')"
"('P27361', 'Q15418')"
"('Q9Y6K9', 'P35579')"
"('P51654', 'O00755')"
"('Q02543', 'P83731')"
"('P29353', 'P27986')"
"('Q96KB5', 'Q9P2H0')"
"('P09651', 'Q8IZH2')"
"('Q01844', 'O00308')"
"('Q04206', 'Q04724')"
"('P08047', 'P15172')"
"('O75113', 'Q96J02')"
"('P08727', 'P21980')"
"('P60896', 'O43809')"
"('Q13555', 'Q06432')"
"('Q9C0F1', 'P15622')"
"('Q5VVX9', 'Q9BYM8')"
"('P05000', 'P42701')"
"('Q03060', 'P15336')"
"('P42229', 'Q9NRG1')"
"('Q05513', 'P46527')"
"('P98170', 'P38398')"
"('Q9NX70', 'Q9BQ50')"
"('P18084', 'P49023')"
"('P06241', 'Q15427')"
"('Q9H201', 'P04629')"
"('P31321', 'Q92934')"
"('Q9BQA1', 'Q15366')"
"('Q9BZE4', 'Q96BK5')"
"('P23921', 'P23508')"
"('P16333', 'Q13023')"
"('P10147', 'P32302')"
"('P18887', 'P38398')"
"('Q9HCZ1', 'O95273')"
"('P07741', 'Q9UET6')"
"('Q9UQM7', 'P27482')"
"('P62826', 'Q5TAQ9')"
"('Q13233', 'P08107')"
"('Q13936', 'O00499')"
"('P62714', 'P40227')"
"('Q9BXF6', 'Q9H4M9')"
"('Q15560', 'P19388')"
"('P60709', 'P62805')"
"('Q14738', 'P67775')"
"('P67870', 'P35251')"
"('Q9H8T0', 'Q9UPT5')"
"('O95402', 'P42166')"
"('Q00610', 'O14964')"
"('P38936', 'P05452')"
"('P12524', 'P61244')"
"('Q13237', 'Q9Y210')"
"('P84098', 'P83731')"
"('Q86WV6', 'P0CG48')"
"('P62979', 'Q9Y4K3')"
"('P01892', 'Q99706')"
"('P19174', 'P20936')"
"('P05771', 'P63096')"
"('Q15717', 'P60709')"
"('Q9H1I8', 'Q9NTK5')"
"('Q8IY92', 'P48047')"
"('P01106', 'O60313')"
"('407035', 'P63151')"
"('Q9BV97', 'Q9UGN5')"
"('P29353', 'Q13233')"
"('Q8IWX8', 'Q9Y580')"
"('O75925', 'Q96RG2')"
"('P06241', 'P04049')"
"('P11047', 'P05556')"
"('P43250', 'P49407')"
"('Q6ZU52', 'P14136')"
"('442896', 'Q5VZF2')"
"('Q96A65', 'Q96EV8')"
"('Q9H4K7', 'Q15750')"
"('Q86UA6', 'P04264')"
"('P26599', 'Q96PU8')"
"('P16871', 'P58546')"
"('P27361', 'Q99941')"
"('O15162', 'Q16625')"
"('P62837', 'Q9Y4L5')"
"('Q9HAW0', 'Q16082')"
"('P24394', 'P52333')"
"('Q8TCG1', 'P01889')"
"('P05231', 'Q14627')"
"('P51965', 'P78317')"
"('P23458', 'P38398')"
"('Q04724', 'P28328')"
"('Q13315', 'Q6XPR3')"
"('Q96BK5', 'P18077')"
"('Q5JTH9', 'O95819')"
"('P29459', 'Q8N6P7')"
"('P01891', 'Q9NYU2')"
"('O43741', 'Q13131')"
"('P84022', 'Q13643')"
"('P68371', 'O43261')"
"('P04183', 'Q9UKR5')"
"('Q13315', 'Q96M86')"
"('O60477', 'Q9BUV8')"
"('Q0VDF9', 'O00206')"
"('Q04864', 'Q15306')"
"('P55036', 'Q9BRX2')"
"('Q07021', 'P17252')"
"('P18146', 'P62633')"
"('P55268', 'Q496J9')"
"('P07202', 'Q99062')"
"('P63211', 'Q01668')"
"('Q13976', 'P17302')"
"('Q16665', 'P11166')"
"('Q92993', 'O95295')"
"('Q14683', 'P11802')"
"('Q9NSB8', 'Q14573')"
"('P62136', 'Q96QC0')"
"('P46108', 'Q14511')"
"('Q13573', 'Q14203')"
"('P09341', 'O00574')"
"('Q86V81', 'Q9H4D5')"
"('O95257', 'Q8NAF0')"
"('Q9NYJ8', 'Q8N163')"
"('P15260', 'P41182')"
"('Q92915', 'P10721')"
"('P31314', 'P19544')"
"('P62750', 'Q92901')"
"('P01730', 'P09382')"
"('P20073', 'Q9Y3C7')"
"('Q9Y265', 'P16104')"
"('Q9HAU4', 'Q15155')"
"('P06241', 'P32927')"
"('Q9UKV8', 'P61247')"
"('P09874', 'P62805')"
"('Q12824', 'Q9NYL2')"
"('Q9H098', 'O75528')"
"('Q13573', 'Q8NE71')"
"('O00144', 'Q92997')"
"('O60383', 'Q9BRR6')"
"('P49639', 'Q15654')"
"('P62979', 'P62263')"
"('P53567', 'P15408')"
"('P54619', 'P54840')"
"('Q9Y333', 'P14678')"
"('P01566', 'Q9UHF4')"
"('Q9Y2T4', 'Q13936')"
"('O00231', 'Q16401')"
"('406913', 'P31269')"
"('Q9BUJ2', 'Q14683')"
"('O00238', 'P28482')"
"('P42566', 'Q9UMX0')"
"('P19878', 'Q92793')"
"('P40337', 'P46783')"
"('Q92731', 'O43524')"
"('P08729', 'P46940')"
"('P61927', 'P46777')"
"('P53350', 'Q14168')"
"('Q07021', 'Q9BRL6')"
"('P51817', 'Q13698')"
"('Q9NS56', 'P46937')"
"('Q9BSW7', 'Q9BY43')"
"('Q7Z5H3', 'P84095')"
"('Q16891', 'Q14807')"
"('P52434', 'P19388')"
"('Q16629', 'Q8IYB3')"
"('406987', 'P16144')"
"('O43320', 'P00533')"
"('Q9HAW0', 'Q29RF7')"
"('P21802', 'Q9H201')"
"('P98095', 'Q01955')"
"('Q9H3U5', 'P61026')"
"('Q7Z3J3', 'P63165')"
"('P61952', 'P48051')"
"('P40425', 'Q96EZ8')"
"('Q9Y4K3', 'P60983')"
"('Q14919', 'Q15642')"
"('Q9UL18', 'O14980')"
"('P19525', 'O14920')"
"('P51610', 'Q8N257')"
"('Q13535', 'Q14676')"
"('Q96KM6', 'Q96TA1')"
"('P61978', 'P63104')"
"('Q9H2F5', 'P0C0S5')"
"('P11171', 'Q9BRA2')"
"('P63000', 'Q9Y5S8')"
"('P10914', 'P20226')"
"('O15198', 'Q8IZ52')"
"('Q86UT6', 'Q6SZW1')"
"('Q06587', 'O14933')"
"('Q00839', 'O95819')"
"('Q9NXR8', 'Q9NV56')"
"('P99999', 'P10109')"
"('P11171', 'P58546')"
"('P26006', 'Q6UVK1')"
"('Q92769', 'O60566')"
"('O95741', 'Q15759')"
"('Q96BK5', 'P61247')"
"('O75438', 'O95168')"
"('Q8TAD8', 'P61244')"
"('P54652', 'Q9UBR2')"
"('Q9P2G9', 'O95149')"
"('P67775', 'Q13033')"
"('P02745', 'P0C0L5')"
"('P28290', 'P62258')"
"('O60739', 'Q9Y265')"
"('P40429', 'P62750')"
"('Q9H5V7', 'Q9UKS7')"
"('Q9H1Y0', 'O95786')"
"('O75694', 'Q8IY92')"
"('Q99460', 'Q9Y478')"
"('Q99717', 'O00231')"
"('O14640', 'Q8N4C8')"
"('P18146', 'Q03181')"
"('Q8IZI9', 'Q14626')"
"('P43686', 'Q06323')"
"('Q9UKF6', 'O95639')"
"('P58876', 'Q96RL1')"
"('P84098', 'P49207')"
"('P05787', 'P53680')"
"('Q8IZD2', 'P68431')"
"('O95872', 'Q15834')"
"('O95484', 'O15551')"
"('P11047', 'P05106')"
"('P50539', 'P78536')"
"('O75582', 'Q68CJ9')"
"('Q8IU80', 'P02452')"
"('Q3V6T2', 'Q13177')"
"('Q96FC7', 'O76083')"
"('P60520', 'P29401')"
"('Q96EY1', 'O15111')"
"('P23229', 'O95631')"
"('Q13535', 'P11021')"
"('Q12841', 'P37173')"
"('P27540', 'P05121')"
"('Q16690', 'P27361')"
"('Q9H334', 'Q9BZS1')"
"('Q15022', 'Q16254')"
"('Q9UIS9', 'P84022')"
"('P07900', 'P06241')"
"('P59901', 'P12318')"
"('O60504', 'Q5T5P2')"
"('Q9UHX1', 'Q9NTK5')"
"('Q13547', 'Q93077')"
"('Q7L804', 'P62491')"
"('P52272', 'O95816')"
"('P0CG47', 'Q07889')"
"('P23396', 'P62244')"
"('P01871', 'P04264')"
"('P30044', 'Q96BK5')"
"('Q8IZC6', 'P26012')"
"('A8K6C2', 'P01589')"
"('Q7Z5R6', 'Q8NHR9')"
"('Q9NYB9', 'P18206')"
"('P59535', 'A8MTJ3')"
"('P02794', 'Q9H0E2')"
"('Q9UBB6', 'Q9Y2Q3')"
"('Q13191', 'P16885')"
"('Q13432', 'Q01344')"
"('Q9UI14', 'Q13885')"
"('P58876', 'P51610')"
"('O43929', 'P33993')"
"('O14544', 'P78552')"
"('P51965', 'O75150')"
"('Q96CV9', 'Q9Y3C0')"
"('O15121', 'Q9ULC4')"
"('P06241', 'A8K4G0')"
"('Q9H1Y0', 'Q9UJZ1')"
"('P37198', 'Q9NVV9')"
"('Q14197', 'Q96QE5')"
"('O95391', 'Q13427')"
"('Q96B97', 'Q9Y371')"
"('P41594', 'O15399')"
"('Q7KZI7', 'O14640')"
"('Q9Y675', 'P61077')"
"('Q9UBI6', 'Q92806')"
"('P30559', 'P50148')"
"('P18146', 'Q99674')"
"('Q9NYL9', 'P13569')"
"('P05387', 'P32969')"
"('P20618', 'Q9Y5K5')"
"('Q08050', 'P49450')"
"('Q13233', 'P05141')"
"('O75554', 'Q16630')"
"('Q13547', 'P11308')"
"('P50750', 'Q9UHB7')"
"('Q14103', 'Q92620')"
"('O75461', 'O95067')"
"('P48551', 'O60674')"
"('P05771', 'Q9GZQ8')"
"('P01127', 'P02452')"
"('P01106', 'Q6P4A7')"
"('Q9Y4K3', 'P46781')"
"('P27695', 'P56537')"
"('Q9UM73', 'O14733')"
"('Q15672', 'P67775')"
"('P47914', 'P42766')"
"('P06213', 'Q13322')"
"('P53779', 'Q8N726')"
"('Q9NRD5', 'P61204')"
"('P09874', 'Q04206')"
"('P61956', 'O14715')"
"('P56703', 'O75581')"
"('P06454', 'P24941')"
"('Q9H1Y0', 'P25787')"
"('P15863', 'P50222')"
"('P04637', 'O75293')"
"('O75928', 'P10275')"
"('Q9GZX6', 'P40189')"
"('P02679', 'P08514')"
"('P52797', 'P20936')"
"('P63151', 'Q9Y243')"
"('Q9UNH5', 'Q13042')"
"('Q13247', 'P14866')"
"('P23497', 'O60934')"
"('P61952', 'Q9Y2J4')"
"('P51965', 'Q86Y01')"
"('Q06187', 'P10721')"
"('P23258', 'Q9H0H5')"
"('P20823', 'P07355')"
"('Q7L0Q8', 'Q9P286')"
"('P49674', 'Q9NYF0')"
"('Q14103', 'Q07021')"
"('P61626', 'Q9P2S5')"
"('O00175', 'P51684')"
"('P02768', 'O60281')"
"('Q96HF1', 'P56705')"
"('Q96JK2', 'Q16531')"
"('P06493', 'P00533')"
"('Q13191', 'P19235')"
"('P51668', 'Q9Y577')"
"('Q96BK5', 'Q13310')"
"('P62324', 'Q13310')"
"('Q96RK0', 'P63104')"
"('P51784', 'P35226')"
"('Q04917', 'Q96PU5')"
"('A6NHR9', 'Q13573')"
"('Q7Z6G3', 'Q9BU64')"
"('P35626', 'P30954')"
"('Q03060', 'P01100')"
"('P62158', 'Q01201')"
"('Q12860', 'P06241')"
"('Q13191', 'O43639')"
"('Q9NX09', 'P34932')"
"('Q01085', 'P10145')"
"('P31749', 'P10415')"
"('Q9NYA1', 'P01116')"
"('O15117', 'Q13094')"
"('Q9NWM8', 'P62805')"
"('P08754', 'O60503')"
"('406913', 'O00459')"
