negatives
"('P0C5Y9', 'Q99877')"
"('P21359', 'P63165')"
"('Q13571', 'P42566')"
"('Q13216', 'P23025')"
"('Q13464', 'P35580')"
"('P43088', 'P30679')"
"('Q13888', 'P10275')"
"('B1A4H9', 'P26992')"
"('Q15643', 'P06400')"
"('P61247', 'P62280')"
"('O75569', 'Q9UI95')"
"('Q03518', 'Q9UER7')"
"('P21802', 'Q6S5L8')"
"('Q05086', 'Q01064')"
"('P17568', 'P03915')"
"('P19438', 'O60674')"
"('P30154', 'Q8WXS5')"
"('Q13315', 'Q9BZK7')"
"('406989', 'P20366')"
"('P04406', 'Q06830')"
"('Q9H237', 'P56704')"
"('P20749', 'P19838')"
"('P98082', 'P09769')"
"('P49683', 'Q9Y3R0')"
"('Q14566', 'P33992')"
"('P16070', 'P18146')"
"('Q9Y572', 'P06753')"
"('Q9NYA4', 'Q9H422')"
"('P55854', 'Q9UKL0')"
"('P51531', 'P31930')"
"('Q9UH03', 'Q16659')"
"('P37231', 'Q13547')"
"('O43741', 'O60825')"
"('P20774', 'P55157')"
"('P31152', 'Q15633')"
"('Q05397', 'O43707')"
"('P56748', 'O95484')"
"('P01106', 'Q15306')"
"('Q7Z6M2', 'P67809')"
"('P31314', 'P07199')"
"('Q99570', 'Q9P2Y5')"
"('Q14197', 'Q9H1K4')"
"('Q99459', 'Q9H9A6')"
"('Q9Y4X3', 'P41597')"
"('Q01196', 'P38936')"
"('P42771', 'P30281')"
"('Q14145', 'Q9H0R8')"
"('Q96IF1', 'P31947')"
"('P49959', 'Q99459')"
"('Q9UBB5', 'O95983')"
"('Q29983', 'P62987')"
"('P30876', 'Q6P1J9')"
"('P50570', 'Q96RU3')"
"('Q13237', 'P36873')"
"('P78364', 'Q9HAT8')"
"('P36897', 'P19784')"
"('Q9UKE5', 'Q9Y3F4')"
"('407002', 'Q13555')"
"('P29350', 'P26358')"
"('Q9BX66', 'Q14254')"
"('Q9Y572', 'P60660')"
"('P03372', 'Q96GM5')"
"('O00193', 'Q8IY92')"
"('Q96RU7', 'P41182')"
"('Q13148', 'Q9UNZ2')"
"('Q13153', 'P14598')"
"('Q9UJY5', 'P84022')"
"('P35968', 'P06241')"
"('Q96EB6', 'Q9UL18')"
"('P06241', 'Q13444')"
"('O14933', 'P14373')"
"('P05107', 'Q15762')"
"('Q6Y7W6', 'P09012')"
"('P40933', 'P31785')"
"('O14744', 'Q8NEV4')"
"('Q9UQK1', 'Q13522')"
"('O60343', 'Q92547')"
"('P49763', 'P22607')"
"('Q9H8V3', 'Q9H0H5')"
"('P37108', 'Q9UNZ2')"
"('Q16513', 'P68104')"
"('P49336', 'O75586')"
"('P32121', 'P58173')"
"('P08047', 'O95600')"
"('Q8IW50', 'Q14181')"
"('P51965', 'Q9HCM9')"
"('Q13535', 'P43246')"
"('P17301', 'P06756')"
"('Q15185', 'P01889')"
"('Q9NSA3', 'P25054')"
"('P60900', 'P51665')"
"('P51398', 'O95433')"
"('P04637', 'Q16594')"
"('P60709', 'Q13683')"
"('O95602', 'P62875')"
"('P83731', 'P39023')"
"('P14324', 'P11362')"
"('P52747', 'P09012')"
"('O75461', 'P99999')"
"('P15018', 'P32927')"
"('P61244', 'Q8TAD8')"
"('P08047', 'Q92793')"
"('P05014', 'P17181')"
"('Q9Y6K9', 'Q9NY65')"
"('P68400', 'Q63ZY3')"
"('Q9BV47', 'Q9Y496')"
"('Q13315', 'P08107')"
"('P28482', 'Q86XP0')"
"('P51149', 'P07339')"
"('Q13069', 'Q8NEA9')"
"('O60885', 'P49336')"
"('O15514', 'A0JLT2')"
"('Q9NQT4', 'P14618')"
"('Q9BUJ2', 'P09651')"
"('P62330', 'P37108')"
"('P63215', 'Q13972')"
"('Q96EX3', 'O43318')"
"('P55055', 'Q9H9A7')"
"('P20936', 'Q96EY1')"
"('Q969S3', 'O00471')"
"('Q9H4B6', 'P26927')"
"('Q16625', 'Q9UDY2')"
"('Q9UBF6', 'O14543')"
"('P34947', 'P32246')"
"('P05106', 'P17252')"
"('P49642', 'O15027')"
"('Q14692', 'P16220')"
"('Q00610', 'Q9UJY5')"
"('Q14192', 'Q13642')"
"('O00159', 'P22087')"
"('P40933', 'Q8IU57')"
"('Q8N131', 'P43364')"
"('P48634', 'Q10570')"
"('Q7Z794', 'O75365')"
"('O00193', 'P29353')"
"('O95782', 'Q16695')"
"('P04637', 'Q07812')"
"('Q7Z6G8', 'P04626')"
"('Q969T4', 'P78317')"
"('P98175', 'P26599')"
"('O95190', 'P46379')"
"('Q13509', 'Q8WVB3')"
"('Q8IZH2', 'Q8TB22')"
"('Q9NS87', 'Q12873')"
"('Q8TAT6', 'P0CG48')"
"('P04629', 'P42336')"
"('P45983', 'O15519')"
"('Q6R327', 'Q9BUJ2')"
"('P0C0S8', 'Q7Z2G1')"
"('P04049', 'P53779')"
"('P40818', 'O60861')"
"('P40763', 'Q13163')"
"('Q92786', 'P01579')"
"('P13378', 'O60925')"
"('Q9NVP2', 'Q09028')"
"('P49711', 'Q9NS23')"
"('P39748', 'Q96FI4')"
"('P19438', 'P61619')"
"('Q9BQA1', 'Q15459')"
"('Q86SQ4', 'P01889')"
"('O94805', 'Q969G3')"
"('P21673', 'Q9BWH2')"
"('P40763', 'P17676')"
"('P42772', 'Q13887')"
"('Q9Y4Z0', 'Q96QK8')"
"('Q15714', 'Q9Y5P6')"
"('Q15714', 'P01023')"
"('Q01995', 'O14908')"
"('Q9UBU8', 'Q92993')"
"('Q9UGN5', 'P20962')"
"('Q13112', 'P62805')"
"('406885', 'P01106')"
"('O00217', 'P03905')"
