#tail	head	num_paths
P62140	P51003	1
P19838	Q12933	1
Q04206	Q9Y6X2	1
P19838	P29590	1
A8MQ03	P50222	1
P50222	O95602	1
P19838	P60709	1
A8MQ03	O43609	1
O43609	O15160	1
P19838	P62263	1
O95817	P52434	1
A8MQ03	O75367	1
P62140	P06400	1
P19838	Q04864	1
P19838	Q01201	1
P19838	P19793	1
A8MQ03	Q92922	3
Q92922	P51532	1
P62140	Q12824	1
Q92922	Q8TAQ2	1
A8MQ03	Q969G3	1
P51617	P42224	1
P51617	P21580	1
Q04206	Q96RU7	1
P51617	Q13049	1
