negatives
"('Q07890', 'P52198')"
"('Q13416', 'Q9UJX2')"
"('Q14161', 'Q15052')"
"('Q92569', 'P49418')"
"('P19438', 'Q5VWQ8')"
"('Q8IY92', 'Q13428')"
"('P30086', 'O75477')"
"('Q9HAW0', 'Q9P031')"
"('P35442', 'P23229')"
"('Q13131', 'O95822')"
"('P62979', 'Q12933')"
"('Q9HBY0', 'P13498')"
"('O43292', 'P60228')"
"('P16220', 'Q96RG2')"
"('P51812', 'P52788')"
"('P63146', 'Q14527')"
"('Q9Y5J5', 'O60477')"
"('P61952', 'Q8WYR1')"
"('P17612', 'P26678')"
"('Q9NV70', 'Q9C026')"
"('P50148', 'P39877')"
"('Q15746', 'Q01449')"
"('Q99418', 'P62330')"
"('P63218', 'P35498')"
"('Q9H633', 'O75818')"
"('P52943', 'Q96AW1')"
"('P60709', 'P24844')"
"('P09919', 'Q8IU57')"
"('Q9UNZ2', 'P37108')"
"('Q9UKY1', 'P68400')"
"('Q99814', 'Q8NFJ9')"
"('P01112', 'P00540')"
"('Q5VTD9', 'Q59EK9')"
"('Q8N257', 'Q96RL1')"
"('P08729', 'P13987')"
"('Q9NR33', 'P56282')"
"('O14965', 'Q8NE35')"
"('Q9H0U4', 'Q8N2Y8')"
"('Q9NPG1', 'Q9NQ66')"
"('P18754', 'Q9Y4K3')"
"('A3KMH1', 'Q96KG7')"
"('P33993', 'Q9Y5N6')"
"('O00182', 'P35222')"
"('A6NHR9', 'Q13573')"
"('Q13797', 'P05556')"
"('Q12962', 'Q9Y4A5')"
"('Q07325', 'P51686')"
"('Q76L83', 'O75940')"
"('P07900', 'P04049')"
"('Q9H7R5', 'P12980')"
"('Q9UL18', 'O15068')"
"('O95819', 'O60641')"
"('P08254', 'P16035')"
"('P37198', 'Q13123')"
"('P55265', '406934')"
"('P33076', 'P08047')"
"('P02686', 'P54253')"
"('Q9UKE5', 'P19105')"
"('P18054', 'P02545')"
"('P50552', 'P51617')"
"('Q15427', 'P16333')"
"('P60763', 'P45984')"
"('P26599', 'P49023')"
"('Q9Y264', 'P00533')"
"('O00567', 'Q9UL18')"
"('P67870', 'Q15287')"
"('Q9P2G9', 'Q13702')"
"('P14784', 'O00459')"
"('P15336', 'Q99941')"
"('Q9UHD2', 'Q9Y4K3')"
"('O43684', 'Q9NYG5')"
"('Q13573', 'Q99848')"
"('Q99877', 'P49321')"
"('Q8IUQ4', 'Q9Y234')"
"('Q9UHC6', 'Q9Y2J2')"
"('O14920', 'P07814')"
"('P36406', 'P55040')"
"('Q16619', 'P08887')"
"('Q2I0M4', 'Q9Y5J5')"
"('P61081', 'Q03135')"
"('Q9GZT5', 'O75084')"
"('Q9NYQ7', 'Q96RY7')"
"('P22681', 'P55085')"
"('P37023', 'Q03167')"
"('P49747', 'Q13683')"
"('P59768', 'Q13972')"
"('Q07325', 'P41597')"
"('Q12906', 'Q9UL18')"
"('Q9Y5W5', 'O00744')"
"('Q13573', 'Q9H4M9')"
"('P04626', 'O75815')"
"('Q16539', 'P15822')"
"('Q9NZ52', 'Q00610')"
"('P20309', 'Q9UBI6')"
"('Q8WUW1', 'O15145')"
"('O00478', 'O75626')"
"('P45880', 'P12235')"
"('Q9UJM3', 'P36542')"
"('P84996', 'P61952')"
"('Q9NQB0', 'Q15561')"
"('P60520', 'O95210')"
"('Q8NGF7', 'P38405')"
"('P84077', 'Q8N6T3')"
"('Q13588', 'Q92835')"
"('P98161', 'Q13563')"
"('O75838', 'P11802')"
"('Q13490', 'O14757')"
"('P18146', 'P02746')"
"('Q9BUV8', 'P51571')"
"('O15400', 'Q15836')"
"('P50750', 'O60583')"
"('P02766', 'P01876')"
"('Q05516', 'Q13643')"
"('Q9NVP2', 'P62805')"
"('P49703', 'Q96A57')"
"('Q86XK2', 'Q9BUP0')"
"('O15264', 'O00571')"
"('P02768', 'P17676')"
"('P00519', 'P07437')"
"('P05129', 'P41220')"
"('Q9UBF6', 'O95415')"
"('Q06190', 'P10415')"
"('Q9Y478', '51639')"
"('Q96CB9', 'Q14197')"
"('O15315', 'P62805')"
"('P18615', 'Q9H3P2')"
"('P12882', 'Q9NRG4')"
"('O00238', 'O95747')"
"('Q00839', 'P38159')"
"('Q8NGT9', 'P38405')"
"('Q8NEB9', 'Q6ZNE5')"
"('P27986', 'P14778')"
"('Q13409', 'Q9H4B7')"
"('Q9NRF9', 'Q14919')"
"('Q14194', 'P61604')"
"('Q7Z3B3', 'P61289')"
"('P16499', 'P51160')"
"('P48357', 'Q9Y478')"
"('P62269', 'P46783')"
"('P61326', 'P61981')"
"('P13942', 'P16144')"
"('P05386', 'Q07020')"
"('Q9BY41', 'P33778')"
"('P33778', 'Q9Y6F1')"
"('P30939', 'P63215')"
"('Q9BUJ2', 'Q8IX12')"
"('Q13813', 'Q16659')"
"('O95819', 'Q00839')"
"('P10275', 'O75925')"
"('P62906', 'P27635')"
"('Q15147', 'Q05655')"
"('P06213', 'P23467')"
"('O75886', 'P0CG48')"
"('P09603', 'P35968')"
"('P46782', 'P62847')"
"('O94776', 'P41182')"
"('Q2TAY7', 'P63010')"
"('Q07955', 'O43172')"
"('P22612', 'Q6IN85')"
"('P18754', 'Q8IZ69')"
"('P22694', 'Q15361')"
"('O00182', 'P05155')"
"('O95707', 'O95059')"
"('O00329', 'Q05397')"
"('P55072', 'O00141')"
"('P55268', 'P24043')"
"('O14920', 'P62136')"
"('P20226', 'Q13487')"
"('Q00610', 'P63104')"
"('P98175', 'O15042')"
"('P51681', 'P56282')"
"('Q9NRI5', 'O60239')"
"('P10451', 'P05106')"
"('Q9H4B7', 'Q14204')"
"('P56556', 'P51970')"
"('P0CG48', 'P46531')"
"('Q9NUQ9', 'Q16659')"
"('O75564', 'Q9NQB0')"
"('O95870', 'Q9BVK8')"
"('Q9Y675', 'Q96B02')"
"('O75800', 'Q9BYM8')"
"('Q13118', 'Q15393')"
"('P61026', 'O14965')"
"('P83731', 'P36578')"
"('Q9BRT9', 'Q14691')"
"('P03923', 'Q9Y6M9')"
"('Q14191', 'P12004')"
"('Q86YB7', 'O60732')"
"('P29350', 'P40763')"
"('P61981', 'P84103')"
"('Q8IY92', 'Q9UKX7')"
"('O00267', 'O60942')"
"('Q09472', 'Q14186')"
"('Q13247', 'P26599')"
"('Q9H6X5', 'Q16543')"
"('P01857', 'Q6P1K1')"
"('Q08462', 'Q8WZA2')"
"('P52907', 'Q9Y478')"
"('P46531', 'Q9UBG7')"
"('Q9BYW1', 'P08047')"
"('P30154', 'P52630')"
"('P11678', 'P19174')"
"('P02768', 'A5YKK6')"
"('P05386', 'P47914')"
"('P62979', 'O60603')"
"('O75436', 'Q13418')"
"('Q13315', 'Q7Z5K2')"
"('O75038', 'Q15139')"
"('Q9ULE0', 'Q96BK5')"
"('P27816', 'P18146')"
"('P62273', 'P22090')"
"('Q15050', 'Q92624')"
"('O15116', 'Q9H270')"
"('O60658', 'Q04864')"
"('O00198', 'Q07817')"
"('P04150', 'P15036')"
"('Q03014', 'P08648')"
"('P02751', 'Q08380')"
"('P53804', 'Q05086')"
"('P17301', 'P42338')"
"('Q13418', 'P29622')"
"('Q16543', 'Q9H6X5')"
"('P08631', 'Q6S5L8')"
"('O75821', 'Q14164')"
"('P21266', 'P29372')"
"('Q6UXN9', 'P68431')"
"('Q9NRP7', 'Q14CM0')"
"('P0CG48', 'P11142')"
"('P67809', 'Q7Z6M2')"
"('P55854', 'Q96EV2')"
"('P08107', 'Q8TF46')"
"('P10276', 'P31268')"
"('O95267', 'P62714')"
"('P01570', 'P48357')"
"('Q16795', 'Q86Y39')"
"('P62280', 'P62241')"
"('Q9UI95', 'Q9H1A4')"
"('Q06609', 'Q14191')"
"('Q13315', 'Q6STE5')"
"('P07942', 'P17301')"
"('O14512', 'Q01113')"
"('Q15843', 'P18077')"
"('Q15032', 'P54253')"
"('P34947', 'P49682')"
"('Q9H1I8', 'P35579')"
"('P16401', 'P45973')"
"('Q9C000', 'P10415')"
"('P20338', 'Q96RG2')"
"('O00212', 'Q9P286')"
"('P48023', 'Q8TEC5')"
"('P23284', 'P40337')"
"('Q9BYH8', 'P19838')"
"('Q13426', 'Q9H9Q4')"
"('P18124', 'P22736')"
"('P06241', 'Q86SG6')"
"('P24928', 'Q9NZC7')"
"('Q5VSL9', 'Q9Y6E0')"
"('Q13472', 'P23497')"
"('P08670', 'Q96C92')"
"('Q9C0C9', 'P30050')"
"('O60674', 'Q92529')"
"('P17275', 'P32519')"
"('Q5VU43', 'Q8N2K1')"
"('P01588', 'Q08334')"
"('Q9NR33', 'Q9NRF9')"
"('P42685', 'P60484')"
"('P10276', 'P12755')"
"('Q86YR5', 'Q15038')"
"('Q9UDY8', 'O95999')"
"('Q13404', 'Q9BZR9')"
"('P40259', 'P15391')"
"('Q14155', 'P60953')"
"('Q99469', 'Q15654')"
"('Q8N1L9', 'P54253')"
"('O15123', 'P22455')"
"('Q9P286', 'O14733')"
"('Q03518', 'P63165')"
"('Q7Z3T1', 'P38405')"
"('P10144', 'P46531')"
"('Q05519', 'Q14103')"
"('P61927', 'P05388')"
"('Q86Y01', 'Q09472')"
"('P31946', 'P16144')"
"('Q96KR7', 'P26641')"
"('P20339', 'Q92544')"
"('Q9ULW0', 'O75330')"
"('P01137', 'Q09472')"
"('P17676', 'P33076')"
"('Q00978', 'O00505')"
"('Q8TD23', 'P61968')"
"('P16220', 'P35680')"
"('P17948', 'P46108')"
"('P61978', 'P17844')"
"('Q96NA2', 'A6NHL2')"
"('Q9UET6', 'P16152')"
"('P18848', 'P53567')"
"('Q08043', 'P18084')"
"('Q9H0R8', 'O75323')"
"('P61970', 'P30480')"
"('O14933', 'P14373')"
"('Q9BY41', 'Q99878')"
"('Q15819', 'Q7Z419')"
"('P28482', 'O15496')"
"('Q9Y4K3', 'P55061')"
"('P50402', 'Q9HCK5')"
"('P25445', 'Q05513')"
"('Q96D21', 'Q9HCE7')"
"('P16473', 'P23458')"
"('Q08211', 'Q04206')"
"('Q92765', 'Q9H461')"
"('Q05397', 'P23229')"
"('P62280', 'P15880')"
"('Q6GTX8', 'Q06124')"
"('P55157', 'P20774')"
"('Q6IBS0', 'P52565')"
"('P26641', 'P33240')"
"('Q9H237', 'Q9Y6F9')"
"('Q9NPI8', 'A8MT69')"
"('O75791', 'P63244')"
"('P19387', 'O00193')"
"('P23508', 'P54727')"
"('P51692', 'P11309')"
"('Q92925', 'Q8TAQ2')"
"('Q13885', 'Q92974')"
"('Q5T3J3', 'Q99728')"
"('P35626', 'A6NET4')"
"('P56703', 'Q14332')"
"('P62140', 'P42261')"
"('P49715', 'P35638')"
"('Q9NVI1', 'Q13573')"
"('Q15672', 'P67775')"
"('Q96RT1', 'Q03001')"
"('P23246', 'Q01201')"
"('P24462', 'O94916')"
"('Q9ULK6', 'P51668')"
"('Q9BV73', 'Q6VMQ6')"
"('Q13137', 'Q9UKA9')"
"('P19338', 'Q99558')"
"('Q08050', 'P08253')"
"('P29275', 'Q5JWF2')"
"('P63244', 'P55795')"
"('Q8IY92', 'Q9BTT6')"
"('Q96D09', 'Q93045')"
"('Q969D9', 'P48357')"
"('P42568', 'Q8TEK3')"
"('Q99704', 'P09769')"
"('O00487', 'Q9BRP4')"
"('Q969D9', 'P16471')"
"('P35637', 'P52756')"
"('O14561', 'P03897')"
"('P11831', 'Q14192')"
"('P51532', 'Q9UPN9')"
"('Q9P2R6', 'Q5JSZ5')"
"('P32969', 'P62910')"
"('P01106', 'P15170')"
"('Q8TEY7', 'P07550')"
"('P07900', 'Q9HCU9')"
"('Q9Y5K5', 'O43242')"
"('P19387', 'Q9UL03')"
"('Q9UKV8', 'Q7RTS6')"
"('Q92729', 'P35222')"
"('Q9Y241', 'P01106')"
"('O75909', 'Q8N6Y0')"
"('Q14164', 'P13804')"
"('O43639', 'Q16620')"
"('Q9UBU3', 'P49019')"
"('Q9Y478', 'P40939')"
"('P61513', 'P62906')"
"('P51572', 'Q14790')"
"('Q9H171', 'Q9ULE6')"
"('Q7Z460', 'P61981')"
"('P08758', 'P37268')"
"('Q07666', 'Q92979')"
"('P49023', 'Q99942')"
"('P61073', 'P63096')"
"('P39023', 'P32969')"
"('Q9H2G2', 'Q9NRJ4')"
"('P22087', 'Q16637')"
"('O43586', 'Q9Y3U8')"
"('Q9UM73', 'P35568')"
"('Q9BUB5', 'P78344')"
"('P21926', 'P18827')"
"('P51686', 'O60674')"
"('Q9H257', 'P53778')"
"('P51532', 'O00716')"
"('P52272', 'Q86V81')"
"('P51817', 'P17861')"
"('O95782', 'O00291')"
"('Q96L34', 'P62258')"
"('Q02447', 'P30793')"
"('P26641', 'P20827')"
"('O60880', 'P00533')"
"('O43318', 'P63261')"
"('Q8IYD8', 'P49760')"
"('Q13469', 'P49238')"
"('P35269', 'P21246')"
"('P19793', 'P42575')"
"('P60568', 'P01023')"
"('Q13761', 'P01730')"
"('P04637', 'Q8WUF5')"
"('Q13555', 'Q13501')"
"('P49765', 'P06213')"
"('P01241', 'P19235')"
"('P46783', 'P62841')"
"('P46940', 'P63104')"
"('O75529', 'Q9HBM6')"
"('Q9NS56', 'P29590')"
"('P03372', 'P23771')"
"('P99999', 'P11171')"
"('P48443', 'P11473')"
"('Q9Y5V3', 'O75822')"
"('O00233', 'Q16401')"
"('Q9H706', 'Q13480')"
"('Q08999', 'P15172')"
"('Q13356', 'Q92733')"
"('P35222', 'P60484')"
"('O95433', 'O15085')"
"('P01566', 'Q969J5')"
"('P62993', 'P27361')"
"('Q96J02', 'Q7Z434')"
"('P53680', 'Q15149')"
"('Q92747', 'P12830')"
"('P27986', 'P06127')"
"('Q14195', 'Q9NRI5')"
"('P35611', 'P62158')"
"('Q99623', 'P08183')"
"('P17693', 'P43626')"
"('P0C5Z0', 'Q9UKV0')"
"('Q8TES7', 'Q96CN9')"
"('O00459', 'P23443')"
"('P18146', 'Q9NQ25')"
"('Q8WYL5', 'P27348')"
"('Q9UKV8', 'O94776')"
"('P21917', 'Q9P2W3')"
"('P03905', 'O75438')"
"('Q8IYD1', 'Q13310')"
"('O14936', 'P04406')"
"('P08631', 'Q9Y3L3')"
"('Q93084', 'P26678')"
"('Q93045', 'O76081')"
"('O43900', 'Q15788')"
"('Q8IUQ4', 'P33176')"
"('P34932', 'Q16659')"
"('Q13432', 'P42773')"
"('P19174', 'Q14108')"
"('P56880', 'P56750')"
"('Q15828', 'P49841')"
"('P42226', 'O75626')"
"('Q92908', 'Q9Y2Y9')"
"('P36897', 'O43172')"
"('P63165', 'O60934')"
"('P24864', 'Q99728')"
"('P51817', 'O60359')"
"('P15336', 'Q5T230')"
"('Q92797', 'Q15366')"
"('Q9Y620', 'Q96JP2')"
"('P21246', 'P78537')"
"('Q96KQ7', 'Q9BT49')"
"('Q13573', 'P13805')"
"('O14745', 'P13569')"
"('P20809', 'P31785')"
"('Q9UKF6', 'P62140')"
"('P05787', 'P00750')"
"('P42224', 'P51813')"
"('P62750', 'P40429')"
"('Q13885', 'P05060')"
"('Q13490', 'P51668')"
"('P21709', 'P00519')"
"('O95049', 'O95832')"
"('P62993', 'Q9Y2Q3')"
"('P78352', 'P46937')"
"('Q93074', 'Q99459')"
"('Q06124', 'P16144')"
"('Q15628', 'Q9UKB1')"
"('Q04759', 'Q8IV61')"
"('P20333', 'O14654')"
"('Q99558', 'P61247')"
"('P01106', 'Q9UQ13')"
"('P32298', 'P41597')"
"('O75807', 'P56945')"
"('P61964', 'Q13620')"
"('P07910', 'Q86V81')"
"('P23771', 'P49716')"
"('P24863', 'Q15306')"
"('Q15744', 'Q05195')"
"('Q86U42', 'P84103')"
"('P62993', 'P09211')"
"('P23229', 'O95631')"
"('P35579', 'P63000')"
"('Q04637', 'Q09161')"
"('Q96I25', 'O75533')"
"('P31644', 'P54257')"
"('Q9UBU3', 'P14416')"
"('Q70Z53', 'Q96NB3')"
"('P06239', 'Q05397')"
"('O43776', 'Q14164')"
"('P61201', 'O95863')"
"('P27540', 'P15692')"
"('Q99460', 'P54725')"
"('O15264', 'P12036')"
"('Q9Y286', 'Q9UHX1')"
"('Q08211', 'P12956')"
"('O75352', 'Q15126')"
"('P61289', 'Q9UET6')"
"('P13569', 'P56470')"
"('O96017', 'O95997')"
"('O94907', 'O75581')"
"('O75554', 'Q8N684')"
"('Q96T88', 'Q71DI3')"
"('Q99460', 'Q99459')"
"('O75251', 'P03915')"
"('P19174', 'Q9NX09')"
"('Q15759', 'P27361')"
"('P09619', 'P23469')"
"('P08670', 'P07196')"
"('Q6RFH5', 'P41220')"
"('P20340', 'Q96CN9')"
"('Q13009', 'Q01484')"
"('P01133', 'P14616')"
"('Q9HD26', 'Q8IUQ4')"
"('Q14161', 'Q9HCE6')"
"('Q9UL18', 'P61513')"
"('Q99880', 'O15047')"
"('Q8ND25', 'Q969T4')"
"('P18564', 'Q05397')"
"('P36896', 'P62942')"
"('P08631', 'Q13432')"
"('P01876', 'P00747')"
"('P51692', 'P10276')"
"('P08069', 'Q13191')"
"('Q13573', 'Q9UQE7')"
"('P13236', 'P51686')"
"('P48740', 'P06681')"
"('P21731', 'P27824')"
"('Q13501', 'P54257')"
"('Q14289', 'Q99683')"
"('Q15291', 'Q99880')"
"('Q15643', 'P01889')"
"('Q14164', 'Q13748')"
"('P12004', 'Q9UET6')"
"('Q04206', 'P61769')"
"('Q9NPA5', 'Q04724')"
"('P68431', 'Q9NQ92')"
"('P13725', 'Q969J5')"
"('Q9ULT6', 'P61088')"
"('P04350', 'Q13748')"
"('P36873', 'Q96SB3')"
"('Q16531', 'Q8NHY2')"
"('P22681', 'Q7Z698')"
"('P15408', 'P20809')"
"('P01241', 'P01589')"
"('Q9UMD9', 'O43707')"
"('P10912', 'Q05209')"
"('P43403', 'P00533')"
"('Q96HC4', 'P05129')"
"('Q13315', 'Q7LG56')"
"('Q9NYS0', 'P25963')"
"('Q15910', 'O14980')"
"('Q06136', 'P18146')"
"('P00441', 'P43004')"
"('Q08999', 'Q92543')"
"('Q9Y2J4', 'P35900')"
"('Q07020', 'Q16186')"
"('P27448', 'P62979')"
"('Q6P2C8', 'O95402')"
"('Q15365', 'P57052')"
"('P21675', 'P17480')"
"('Q14833', 'P63211')"
"('Q13573', 'Q9H4L7')"
"('Q9Y2R2', 'P15498')"
"('P23508', 'P04179')"
"('Q04759', 'P12931')"
"('P47813', 'O00303')"
"('Q9UKX5', 'Q08043')"
"('Q9HC98', 'Q16543')"
"('Q9H0I3', 'P35080')"
"('Q7L5N1', 'P07602')"
"('P01106', 'Q15365')"
"('Q9ULC4', 'P40337')"
"('Q8NC60', 'P07305')"
"('P07766', 'Q14790')"
"('O75251', 'O95167')"
"('O43915', 'P21802')"
"('P11021', 'Q6WCQ1')"
"('P62745', 'Q8N5V2')"
"('Q9BWU1', 'Q9P086')"
"('P31431', 'P34741')"
"('Q86UN6', 'P04745')"
"('P35626', 'P51684')"
"('Q14653', 'P05161')"
"('Q8WXI2', 'P24941')"
"('P08047', 'P49321')"
"('P04198', 'O14965')"
"('Q9UN72', 'P55157')"
"('Q9Y258', 'P32302')"
"('Q13362', 'P19429')"
"('P35240', 'P13637')"
"('Q96QZ7', 'P32456')"
"('Q71UM5', 'Q9Y6K9')"
"('P43246', 'Q13535')"
"('P53365', 'P62330')"
"('P12814', 'P26010')"
"('O15047', 'P51610')"
"('P59543', 'A8MTJ3')"
"('Q6VMQ6', 'P63261')"
"('P20333', 'O43592')"
"('P62913', 'P42766')"
"('Q9HAU5', 'Q9H9D4')"
"('P50552', 'P23229')"
"('P28482', 'P14415')"
"('P00519', 'Q71SY5')"
"('P43250', 'P25025')"
"('Q05516', 'P11802')"
"('P34925', 'Q9H461')"
"('Q16236', 'P10276')"
"('P01857', 'P35368')"
"('Q92901', 'P47914')"
"('Q99459', 'P78347')"
"('Q9UHD2', 'Q9UKV8')"
"('P12830', 'O60315')"
"('Q9H1J1', 'Q96Q15')"
"('P15498', 'P27986')"
"('Q13114', 'P27986')"
"('P42261', 'Q13224')"
"('P34931', 'P19438')"
"('P18564', 'Q9HBI0')"
"('Q92561', 'P51681')"
"('Q9BQB4', 'O75197')"
"('P12757', 'Q13485')"
"('Q9NPH9', 'Q14626')"
"('P38432', 'Q96JN2')"
"('P51956', 'P16471')"
"('Q14160', 'P12830')"
"('P43405', 'P15311')"
"('P84022', 'Q92793')"
"('Q15464', 'P15498')"
"('P12931', 'P09848')"
"('P30153', 'P57087')"
"('Q969H0', 'Q9UKT4')"
"('P54105', 'P62306')"
"('P19174', 'P15498')"
"('P05231', 'P10912')"
"('Q13535', 'Q9UQ84')"
"('Q9Y2V3', 'Q9H171')"
"('442898', 'Q99835')"
"('Q9BRQ0', 'O75529')"
"('Q9UM73', 'O60729')"
"('P62195', 'Q9UNM6')"
"('Q14847', 'P25024')"
"('P04637', 'Q6SJ96')"
"('O95251', 'P21673')"
"('P32121', 'P32298')"
"('P49720', 'Q15008')"
"('P18621', 'P62913')"
"('O94762', 'P49959')"
"('Q8TDR0', 'P78552')"
"('P00519', 'Q00987')"
"('Q14197', 'Q7Z2W9')"
"('O15226', 'P41182')"
"('P47870', 'P60520')"
"('P54274', 'P54132')"
"('Q86YV5', 'Q05086')"
"('Q8IUQ4', 'P51858')"
"('Q99459', 'P63092')"
"('P45984', 'P13686')"
"('P09471', 'Q9NQ66')"
"('Q14498', 'Q96GM8')"
"('P10275', 'P27797')"
"('Q9UBI6', 'Q8WYR1')"
"('P84022', 'P10275')"
"('P01106', 'Q86UD0')"
"('Q8WVK2', 'P78362')"
"('P25963', 'P51116')"
"('P35222', 'P35637')"
"('Q6ZU52', 'Q8IYF3')"
"('P61158', 'Q07889')"
"('Q9H0Y0', 'Q9BTE3')"
"('O43320', 'Q02763')"
"('O14709', 'Q9NRI5')"
"('Q9UL18', 'Q8NEE6')"
"('P27701', 'P21860')"
"('Q8TES7', 'Q12933')"
"('Q9NRD5', 'Q05084')"
"('Q8TD86', 'Q93100')"
"('Q14766', 'P49716')"
"('Q16610', 'P35556')"
"('P19793', 'Q96ST3')"
"('P34969', 'O14775')"
"('P60228', 'Q9H9Q2')"
"('P42226', 'Q15306')"
"('P25445', 'P09382')"
"('P30989', 'P50148')"
"('P38159', 'O43390')"
"('Q14686', 'O14607')"
"('P54756', 'P20936')"
"('P38919', 'Q13573')"
"('O15357', 'Q15811')"
"('P55795', 'Q15637')"
"('P05556', 'P20339')"
"('Q9Y3C5', 'P62837')"
"('P63151', 'P51617')"
"('Q9BUF5', 'Q96AH8')"
"('P16520', 'P27361')"
"('P22234', 'O95467')"
"('P27986', 'O00329')"
"('Q14197', 'Q96CW1')"
"('P49411', 'Q9Y375')"
"('Q14164', 'O14737')"
"('P36507', 'Q07889')"
"('A6NMZ7', 'P18827')"
"('Q8NBE8', 'P20073')"
"('P18146', 'O43670')"
"('P10275', 'Q07890')"
"('P51148', 'P32121')"
"('Q9ULV8', 'Q9HC73')"
"('P22087', 'P25942')"
"('P42229', 'P10828')"
"('Q9H8W4', 'Q9UL45')"
"('Q9NR55', 'P18847')"
"('Q13177', 'P25788')"
"('O60684', 'P34896')"
"('P55268', 'Q05397')"
"('Q71F56', 'Q9BWU1')"
"('P61244', 'Q9H8W4')"
"('Q16619', 'Q99665')"
"('P16871', 'P13796')"
"('Q09472', 'Q71DI3')"
"('Q5VYV7', 'Q9H0R8')"
"('P62330', 'O60331')"
"('Q8TDR0', 'Q13885')"
"('O95359', 'P49450')"
"('O14638', 'P62993')"
"('Q07955', 'Q86X95')"
"('P55036', 'P20618')"
"('O15083', 'Q13136')"
"('Q6FI13', 'Q9UKV0')"
"('Q9UQ35', 'Q08170')"
"('Q93062', 'Q86UW9')"
"('P38398', 'P18846')"
"('Q9HBI1', 'Q13573')"
"('P54253', 'Q5JSZ5')"
"('P55209', 'P01889')"
"('Q14695', 'P04843')"
"('P54253', 'Q13085')"
"('P21333', 'P49768')"
"('Q12894', 'Q9Y6K5')"
"('P16144', 'P46108')"
"('Q13190', 'Q7L5N1')"
"('Q03060', 'P18848')"
"('Q14164', 'Q7KZF4')"
"('P04114', 'P17931')"
"('Q92793', 'Q99966')"
"('P63167', 'Q9HC98')"
"('P05771', 'O14807')"
"('Q13315', 'Q9Y4G8')"
"('Q16637', 'Q12766')"
"('Q12996', 'Q6P1J9')"
"('Q13191', 'P16234')"
"('Q9BQ83', 'O14818')"
"('P61952', 'Q8TCU6')"
"('Q8NFX7', 'Q12846')"
"('P05408', 'P16519')"
"('P07384', 'P41222')"
"('P05109', 'P63000')"
"('Q14164', 'Q9H6S1')"
"('P23921', 'P31350')"
"('Q5UIP0', 'Q15047')"
"('Q9GZM7', 'P61968')"
"('Q14192', 'P10275')"
"('Q9H2A7', 'P25024')"
"('P62805', 'Q16514')"
"('Q13033', 'P62714')"
"('P22694', 'Q01814')"
"('Q8NGF3', 'P38405')"
"('P61244', 'Q05195')"
