negatives
"('Q8NFQ8', 'Q13619')"
"('P18847', 'P52945')"
"('Q96FZ7', 'Q9H1A3')"
"('Q8WZ42', 'P30049')"
"('Q68CZ1', 'Q9P1F3')"
"('O95198', 'Q9HCG8')"
"('Q9BV81', 'Q8N4V1')"
"('Q9BQE3', 'P06748')"
"('Q9C0F1', 'Q96A65')"
"('P35244', 'P23246')"
"('Q8NFQ8', 'O14657')"
"('P15923', 'O14745')"
"('Q9NRD1', 'Q99627')"
"('Q6ZMQ8', 'O60762')"
"('O43251', 'Q9NWB1')"
"('Q9Y4K3', 'P01112')"
"('P27824', 'P32004')"
"('P10809', 'Q9HB07')"
"('Q9Y6H1', 'Q8NI60')"
"('Q9BRP1', 'Q96NT1')"
"('Q9UI12', 'P61421')"
"('Q9HCS7', 'P09651')"
"('Q9NRR5', 'Q04323')"
"('P05452', 'Q99962')"
"('O14976', 'P28066')"
"('Q13506', 'Q9UBU9')"
"('O95983', 'O95613')"
"('Q92522', 'O95568')"
"('Q9Y2I6', 'Q8N157')"
"('P06493', 'Q01167')"
"('P17482', 'Q9UMS5')"
"('A6NHR9', 'Q96EY5')"
"('P49189', 'Q96KP6')"
"('Q9UHD2', 'Q9UKV8')"
"('Q9HBL0', 'O43559')"
"('Q13956', 'P18545')"
"('O95343', 'O95475')"
"('Q7L5N1', 'Q01844')"
"('Q96RY7', 'Q8NEZ3')"
"('Q8N0X2', 'Q9C0A6')"
"('Q9NRY2', 'Q86VU5')"
"('A8MQ03', 'Q9BX59')"
"('Q92782', 'Q8NFD5')"
"('P02538', 'Q7Z3Y9')"
"('Q14232', 'Q00839')"
"('Q9UKS7', 'P56524')"
"('P78362', 'O95238')"
"('P27361', 'Q12888')"
"('Q8N3Y1', 'P40227')"
"('Q13263', 'Q9H492')"
"('P08243', 'Q6P3X3')"
"('P38936', 'P04150')"
"('Q96MH2', 'Q13829')"
"('P04049', 'Q15051')"
"('Q96NL6', 'Q9UKL0')"
"('Q8WWC4', 'Q9UJZ1')"
"('P49643', 'P11908')"
"('P45973', 'P52292')"
"('P08514', 'P49023')"
"('Q16659', 'P27635')"
"('O94973', 'O14976')"
