negatives
"('O95816', 'Q9Y4K3')"
"('Q13751', 'P23229')"
"('P31260', 'P40424')"
"('Q13200', 'Q14164')"
"('Q02363', 'O60682')"
"('Q14258', 'P51668')"
"('O15164', 'Q5VVX9')"
"('P16471', 'P05204')"
"('P04278', 'Q8NCR6')"
"('P00558', 'P12004')"
"('P09874', 'Q92547')"
"('Q9BSB4', 'Q8NEB9')"
"('O94973', 'P42858')"
"('Q16637', 'O95865')"
"('P01889', 'P99999')"
"('P05771', 'Q9HBA0')"
"('Q13077', 'Q02223')"
"('406881', 'P01112')"
"('Q9UQP3', 'P23229')"
"('Q8TBB1', 'Q8N448')"
"('Q13432', 'Q14061')"
"('Q12778', 'P41235')"
"('Q96HB5', 'Q8N6Y0')"
"('P10619', 'Q99519')"
"('343477', 'Q15008')"
"('Q9HAU4', 'Q9NPB6')"
"('P40429', 'O43293')"
"('P25054', 'Q13263')"
"('P05107', 'Q15762')"
"('Q9Y5P6', 'P26599')"
"('P32927', 'Q92569')"
"('P84103', 'P62995')"
"('P43307', 'P60468')"
"('P35555', 'P98095')"
"('Q9UQK1', 'O96017')"
"('P53985', 'O15121')"
"('Q15233', 'Q13573')"
"('P53803', 'P52434')"
"('P50570', 'Q15811')"
"('Q9Y478', 'P49720')"
"('O96019', 'Q9NXR8')"
"('P51955', 'O14777')"
"('Q96QV1', 'Q92956')"
"('O15524', 'P23458')"
"('P49841', 'P16989')"
"('Q9BQ83', 'P20618')"
"('P28223', 'Q01668')"
"('P21462', 'Q5JWF2')"
"('P62269', 'P62979')"
"('O95182', 'O95178')"
"('Q14257', 'P19438')"
"('Q13573', 'Q8TB72')"
"('P49757', 'Q8TBB1')"
"('P26599', 'Q01130')"
"('O60739', 'P30049')"
"('P25788', 'P25787')"
"('P35626', 'Q8NGS1')"
"('P17028', 'Q5UIP0')"
"('P18146', 'Q5BJF2')"
"('P49023', 'P23470')"
"('P11142', 'P00533')"
"('P47985', 'Q14197')"
"('Q9NWA0', 'O75586')"
"('P20827', 'P21709')"
"('Q9BZI7', 'Q86V81')"
"('P46109', 'P43403')"
"('P31152', 'Q9BUB5')"
"('Q15027', 'Q0D2I5')"
"('P30480', 'P07355')"
"('O75478', 'Q15648')"
"('P12814', 'P09467')"
"('P09693', 'P42336')"
"('Q9NZI8', 'Q9HCK5')"
"('P51610', 'P24864')"
"('Q9UQM7', 'Q13936')"
"('Q9UL18', 'Q12905')"
"('P25116', 'P59768')"
"('Q53T94', 'Q9NYV6')"
"('Q01196', 'P38936')"
"('Q8TF21', 'Q13432')"
"('P50151', 'P48051')"
"('P04629', 'P42338')"
"('O14925', 'O75365')"
"('P00491', 'P30480')"
"('Q9Y600', 'Q13526')"
"('P25490', 'P25106')"
"('P62701', 'P62280')"
"('Q9BYG4', 'Q6P1M3')"
"('Q9NYP7', 'P12980')"
"('Q13315', 'Q9NY93')"
"('Q96NE9', 'P61981')"
"('Q96BD5', 'O60341')"
"('Q13618', 'Q693B1')"
"('P27635', 'O95819')"
"('Q7Z6G3', 'Q9BY27')"
"('Q15631', 'P11171')"
"('Q13077', 'Q00653')"
"('P55196', 'P35221')"
"('P01137', 'P21810')"
"('Q5U651', 'P10114')"
"('Q16891', 'Q9NX63')"
"('Q13315', 'Q9H814')"
"('Q13237', 'Q68CJ9')"
"('Q9UI12', 'Q9Y5J5')"
"('O14920', 'Q9UGK3')"
"('Q99459', 'Q16763')"
"('Q13797', 'O75578')"
"('Q9H672', 'Q9UBF6')"
"('P29322', 'P20936')"
"('P18621', 'P61353')"
"('P05106', 'P50552')"
"('Q6UWL2', 'Q6VMQ6')"
"('P54619', 'Q13131')"
"('P20809', 'P48551')"
"('Q99878', 'P58876')"
"('Q99961', 'Q7L190')"
"('P10515', 'O00330')"
"('Q9UKV8', 'Q7RTS6')"
"('Q15628', 'Q15750')"
"('Q9NY93', 'P82279')"
"('P11362', 'Q92569')"
"('P01135', 'Q5TCQ9')"
"('Q6Y2X3', 'Q13838')"
"('Q9UK53', 'Q09028')"
"('Q8WXE9', 'Q9UBC2')"
"('P84022', 'Q92963')"
"('Q9HCK5', 'P62316')"
"('Q14050', 'P02458')"
"('Q99683', 'P63098')"
"('Q9GZT6', 'O15211')"
"('P62993', 'P28482')"
"('P17947', 'P13727')"
"('Q9UKB1', 'P62877')"
"('O00463', 'Q9NYJ8')"
"('Q5T3J3', 'O43504')"
"('Q9GZW8', 'Q8N357')"
"('P33176', 'Q8IUQ4')"
"('Q96JB5', 'P40616')"
"('P53673', 'P53674')"
"('Q9Y6M4', 'P10071')"
"('P36542', 'P52735')"
"('Q5T5P2', 'P51116')"
"('Q8IVS8', 'P18146')"
"('Q9BRX5', 'Q14566')"
"('O00422', 'O94925')"
"('P06241', 'Q12860')"
"('P24941', 'P12004')"
"('Q14BN4', 'Q3ZCQ8')"
"('P35813', 'Q562F6')"
"('P06241', 'P62993')"
"('Q13077', 'Q99558')"
"('Q16584', 'O15111')"
"('P01303', 'P08908')"
"('Q9C0C7', 'P10415')"
"('Q8IZC6', 'Q13683')"
"('Q9UNM6', 'P61289')"
"('P38432', 'Q9UNH7')"
"('P51654', 'P56706')"
"('P31943', 'P17844')"
"('Q86UL8', 'P12814')"
"('O43707', 'O75382')"
"('Q8N163', 'Q00653')"
"('P01106', 'Q8TEX9')"
"('O96013', 'Q02750')"
"('P37023', 'P17813')"
