negatives
"('P20929', 'Q969Q1')"
"('P38159', 'P67809')"
"('Q93062', 'O00167')"
"('P18545', 'Q13956')"
"('P67809', 'Q15428')"
"('P46778', 'P61927')"
"('P78362', 'Q15287')"
"('Q9BQE3', 'Q13509')"
"('O75525', 'Q9Y580')"
"('406916', 'O00716')"
"('P26572', 'O15198')"
"('P02751', 'P02647')"
"('P18887', 'Q96T60')"
"('O43707', 'Q13554')"
"('P19634', 'P63104')"
"('P49662', 'Q9Y277')"
"('P0CG48', 'Q9UJY5')"
"('Q14457', 'O60861')"
"('Q9UNS2', 'Q16531')"
"('O00257', 'Q9BSM1')"
"('P29323', 'P28749')"
"('Q9Y6K5', 'O15355')"
"('P25024', 'P52333')"
"('Q99459', 'Q6AI39')"
"('Q8TES7', 'Q13137')"
"('P46782', 'P62266')"
"('Q9NRR5', 'P0CG04')"
"('Q02878', 'P63173')"
"('Q16637', 'Q8IY18')"
"('P51812', 'P49815')"
"('P62877', 'Q9NZJ0')"
"('P51817', 'P42263')"
"('Q96EB6', 'O43463')"
"('P82094', 'Q5VTD9')"
"('Q13009', 'Q01484')"
"('P51693', 'Q16637')"
"('Q13616', 'Q9NXK8')"
"('P62333', 'P19438')"
"('Q9HBE4', 'P14784')"
"('Q08881', 'P36897')"
"('P01574', 'Q13651')"
"('P24928', 'P30876')"
"('P52434', '100008587')"
"('Q32P44', 'P27348')"
"('P10809', 'P08107')"
"('P04632', 'P62820')"
"('Q13114', 'Q92844')"
"('Q14765', 'P11309')"
"('Q5T5P2', 'Q9NRX4')"
"('P61981', 'O96013')"
"('Q9Y3D0', 'O76071')"
"('Q9Y4Y9', 'Q9NQT4')"
"('P25445', 'Q06187')"
"('P62993', 'P55795')"
"('P68032', 'P15311')"
"('Q8NC51', 'P30480')"
"('P62750', 'Q96BK5')"
"('Q07666', 'P12931')"
"('Q04206', 'Q12905')"
"('P02751', 'P16144')"
"('P11940', 'Q8NDV7')"
"('P35580', 'P62993')"
"('P54762', 'Q13322')"
"('O15068', 'Q13155')"
"('P52198', 'Q9P286')"
"('P27797', 'P04222')"
"('Q13535', 'P27707')"
"('P23467', 'P06239')"
"('Q13509', 'Q96NA2')"
"('Q7Z6G8', 'P00533')"
"('O94761', 'Q06609')"
"('Q15306', 'P19838')"
"('P14210', 'P09619')"
"('O95391', 'Q15834')"
"('P05112', 'P01023')"
"('P14923', 'Q00005')"
"('406900', 'P40763')"
"('Q8TDH9', 'Q6QNY1')"
"('P25205', 'P62330')"
"('P41220', 'Q9BPW8')"
"('P16333', 'P63000')"
"('O75019', 'P12318')"
"('P10914', 'Q9BZS1')"
"('Q13888', 'Q01094')"
"('P61981', 'Q14103')"
"('P49257', 'Q9Y5X1')"
"('Q9Y6D5', 'Q9Y6D6')"
"('P11047', 'Q14112')"
"('O15530', 'O95248')"
"('Q8IUQ4', 'P51858')"
"('P32298', 'P49238')"
"('Q13485', 'Q6ZN04')"
"('P15173', 'Q02363')"
"('Q9ULH1', 'P62993')"
"('P63252', 'Q13424')"
"('Q9NRG9', 'P12270')"
"('P61077', 'Q8TDB6')"
"('P35520', 'Q9Y5P4')"
"('Q96PK6', 'P09874')"
"('Q92945', 'O95453')"
"('P01241', 'P32927')"
"('Q13635', 'P14635')"
"('Q13190', 'O75396')"
"('P52735', 'Q13573')"
"('Q08209', 'P00519')"
"('Q15262', 'P08581')"
"('P56705', 'O75581')"
"('Q9UBN6', 'P35580')"
"('O75390', 'P02511')"
"('Q96CG3', 'Q9H190')"
"('P01889', 'O60493')"
"('P84103', 'Q5RKV6')"
"('P60709', 'O15145')"
"('Q8IYB3', 'O95400')"
"('P32121', 'Q8NGJ4')"
"('Q13315', 'P39880')"
"('P51817', 'Q13936')"
"('P32121', 'Q8NH93')"
"('P19438', 'Q969G6')"
"('P29353', 'P05783')"
"('O43313', 'O96017')"
"('Q9Y239', 'Q676U5')"
"('P67775', 'Q14738')"
"('Q01344', 'Q06945')"
"('Q5U651', 'P01112')"
"('P10144', 'P46531')"
"('P11171', 'P49720')"
"('Q9UDY2', 'C9JDP6')"
"('P62917', 'P05386')"
"('Q96QK1', 'Q13596')"
"('O60244', 'P06241')"
"('P50613', 'P18074')"
"('Q9UDY2', 'P56748')"
"('Q16543', 'O95201')"
"('Q01094', 'P33992')"
"('Q15013', 'Q15047')"
"('Q92878', 'Q12906')"
"('P14136', 'Q96HL8')"
"('Q92914', 'Q02763')"
"('Q5HYC2', 'P54253')"
"('P15692', 'P29317')"
"('Q13976', 'P78347')"
"('442890', 'Q9UIH9')"
"('P42680', 'P48023')"
"('P25963', 'O95163')"
"('P04264', 'P12830')"
"('Q9Y2W2', 'P98175')"
"('O14980', 'P11388')"
"('P51991', 'O43353')"
"('P60568', 'P32927')"
"('Q9NZQ3', 'P62993')"
"('Q6DJT9', 'P02768')"
"('P54105', 'Q9H9G7')"
"('Q8IU54', 'Q00653')"
"('O95471', 'O95500')"
"('P08754', 'P08631')"
"('P25208', 'P69905')"
"('Q8TAI7', 'P36897')"
"('Q9Y383', 'Q15287')"
"('O60814', 'O75367')"
"('Q5VZM2', 'Q6IAA8')"
"('Q9NX14', 'O43674')"
"('Q8TCS8', 'P23508')"
"('Q9UKV8', 'Q15633')"
"('Q15287', 'P61978')"
"('Q12778', 'P48023')"
"('P08195', 'Q9H173')"
"('Q13535', 'O60271')"
"('P62993', 'P60983')"
"('Q9Y305', 'Q14197')"
"('Q16695', 'Q06124')"
"('P62277', 'P62847')"
"('Q15366', 'P14866')"
"('Q8NFH3', 'P52948')"
"('P32121', 'Q8NGB8')"
"('Q96F24', 'P19793')"
"('Q96C92', 'P08670')"
"('P01730', 'P07339')"
"('Q9NP73', 'P54259')"
"('O75925', 'P15104')"
"('9757', 'P62993')"
"('Q99436', 'P53350')"
"('Q9UHD2', 'P62258')"
"('P51813', 'P56945')"
"('O60610', 'Q99459')"
"('O15520', 'P29317')"
"('P27708', 'Q00653')"
"('P06400', 'O14682')"
"('O60814', 'P0C0S8')"
"('O00400', 'Q9P1U0')"
"('P25942', 'O95551')"
"('P10721', 'Q99963')"
"('Q12873', 'O14530')"
"('Q01081', 'O75937')"
"('P54253', 'O75626')"
"('P04844', 'Q9Y5J5')"
"('P63104', 'O95685')"
"('P63173', 'P83731')"
"('P62993', 'Q13796')"
"('Q9UBI6', 'Q01668')"
"('Q04206', 'P07814')"
"('O43255', 'Q9Y6H5')"
"('P09619', 'P62993')"
"('Q8IUF1', 'P20333')"
"('Q9P2H0', 'O95376')"
"('Q6IE81', 'P30519')"
"('P43629', 'P13497')"
"('Q8WV28', 'P52735')"
"('P55001', 'P02768')"
"('Q9UNK0', 'O43889')"
"('Q9NS40', 'P62993')"
"('Q9HAU4', 'Q9HCE7')"
"('Q16658', 'Q9Y4K3')"
"('Q8IX12', 'O75937')"
"('P55735', 'P00533')"
"('P52435', 'Q9HCS7')"
"('O75083', 'P67870')"
"('Q96N67', 'P63104')"
"('Q969G3', 'P38398')"
"('Q53TQ3', 'P62805')"
"('P60953', 'Q00587')"
"('P12814', 'P68032')"
"('P53779', 'Q9NR28')"
"('P52434', '100008588')"
"('P58876', 'P63104')"
"('Q9Y3D8', 'Q14919')"
"('347745', 'P62070')"
"('P05067', 'P09471')"
"('Q9Y5B9', 'P0C0S5')"
"('Q9P107', 'P08134')"
"('O00444', 'P31947')"
"('P17302', 'Q9NY65')"
"('P24534', 'P63104')"
"('P32121', 'O76001')"
"('P30304', 'P31946')"
"('Q92993', 'Q96RU7')"
"('Q8WXH5', 'Q14765')"
"('Q8IUE6', 'Q99880')"
"('P61353', 'P62829')"
"('Q9GZM8', 'Q3V6T2')"
"('P56706', 'Q9ULV1')"
"('P35580', 'P25054')"
"('P27540', 'P61073')"
"('O75208', 'O94805')"
"('O75159', 'P14784')"
"('Q6ZVL6', 'Q9UI95')"
"('Q9HC98', 'Q86Y56')"
"('Q99459', 'Q10567')"
"('O15287', 'Q9NPI8')"
"('P01563', 'P19235')"
"('Q9Y265', 'P68133')"
"('Q13435', 'O75533')"
"('Q9UBQ0', 'P41220')"
"('P62070', 'P00540')"
"('P20936', 'P09619')"
"('P51668', 'Q9NVW2')"
"('Q07157', 'Q9Y5S2')"
"('Q9NPI1', 'Q15102')"
"('Q13554', 'Q01118')"
"('P62993', 'Q9UQQ2')"
"('O43524', 'P42336')"
"('P09001', 'Q9BYC9')"
"('Q96EQ8', 'Q9BYX4')"
"('Q15424', 'O95870')"
"('Q13522', 'P62140')"
"('Q9UJ14', 'O75365')"
"('P78330', 'P46781')"
"('P30153', 'P62714')"
"('Q99459', 'P07437')"
"('P26045', 'P31947')"
"('Q15843', 'P62854')"
"('P45973', 'P16403')"
"('P35222', 'Q99697')"
"('Q13315', 'P25205')"
"('Q07960', 'Q07889')"
"('P11182', 'Q9HCK5')"
"('P30048', 'P16104')"
"('Q7L7X3', 'Q7KZI7')"
"('P31947', 'Q6R327')"
"('Q8TAM1', 'Q05397')"
"('Q9UHD2', 'P52272')"
"('Q13557', 'Q9Y6K9')"
"('O75815', 'P55072')"
"('P78334', 'Q9NQX3')"
"('Q9Y508', 'Q96B02')"
"('P31947', 'O00515')"
"('P10809', 'P16871')"
"('Q9UIC8', 'P51116')"
"('P63104', 'Q92499')"
"('Q9HB96', 'A8MT69')"
"('Q00169', 'Q8NB16')"
"('Q15303', 'O00329')"
"('P63104', 'Q9P2H0')"
"('A6NIT4', 'P16871')"
"('Q96HJ5', 'P24941')"
"('P07437', 'Q8TCC3')"
"('Q9Y5N6', 'O43913')"
"('P16144', 'P21333')"
"('P62826', 'P10275')"
"('P51532', 'P05164')"
"('Q15121', 'Q9NVE7')"
"('P51149', 'P68363')"
"('Q14CS0', 'P11940')"
"('Q14558', 'P78330')"
"('Q13310', 'Q96BK5')"
"('P62873', 'Q8TCU6')"
"('Q9UL18', 'P62269')"
"('Q13444', 'P06241')"
"('P19174', 'Q00169')"
"('O14757', 'P30291')"
"('O95801', 'Q13428')"
"('Q12947', 'P00519')"
"('P33981', 'O95359')"
"('O00750', 'P16333')"
"('O60353', 'P09471')"
"('P06756', 'Q9Y5C1')"
"('Q96EZ8', 'Q9NZM3')"
"('P12931', 'Q9BX66')"
"('O75391', 'O95870')"
"('Q9HC24', 'Q99873')"
"('P62328', 'P40692')"
"('P21281', 'P36957')"
"('Q9NPD8', 'Q9NPI8')"
"('Q9Y3A3', 'Q9Y4G2')"
"('Q9H981', 'Q9Y265')"
"('P62424', 'P84098')"
"('Q969Q1', 'O76041')"
"('P26641', 'O43927')"
"('Q96LD8', 'Q15843')"
"('P01574', 'P17181')"
"('P47898', 'O95467')"
"('P07948', 'Q8IZP0')"
"('Q92599', 'Q15019')"
"('P10914', 'Q92985')"
"('Q8TAA9', 'Q05513')"
"('P51571', 'Q9UKV8')"
"('Q9P202', 'Q9UKN7')"
"('Q14194', 'P49459')"
"('P84022', '406957')"
"('A0JLT2', 'Q9NWA0')"
"('Q9NRI5', 'O15442')"
"('P49841', 'P26641')"
"('Q8TEJ3', 'P63000')"
"('Q07890', 'P19174')"
"('Q16619', 'Q9HBE5')"
"('Q14683', 'Q13573')"
"('Q5JQF8', 'P50616')"
"('Q9UKV8', 'P36542')"
"('Q8NF64', 'P10275')"
"('Q8NC60', 'Q9UMS0')"
"('Q9UI10', 'Q9UL18')"
"('P25963', 'P04637')"
"('P55060', 'P61981')"
"('P62993', 'P18433')"
"('O00167', 'Q93062')"
"('Q9BY41', 'P0C5Y9')"
"('Q15834', 'Q12929')"
"('P25025', 'P50552')"
"('P18583', 'P61981')"
"('P53999', 'P68400')"
"('Q9UBS5', 'P62873')"
"('P42677', 'Q13233')"
"('Q15185', 'Q9NRG4')"
"('Q13573', 'Q15003')"
"('Q9Y4K3', 'Q9NYA1')"
"('P05106', 'P18031')"
"('P15336', 'Q02930')"
"('Q13233', 'P98161')"
"('P43405', 'P15391')"
"('P52333', 'O00329')"
"('O60729', 'P30260')"
"('Q15796', 'P68104')"
"('O15131', 'P32119')"
"('Q9Y4K3', 'O95757')"
"('Q9HD43', 'P06239')"
"('P19838', 'P63261')"
"('Q99743', 'Q09472')"
"('Q9H201', 'P08069')"
"('Q12933', 'Q8TBE0')"
"('Q9BUB5', 'P02686')"
"('P62917', 'P40429')"
"('P48552', 'P28702')"
"('P19338', 'Q9UL18')"
"('O60462', 'P54259')"
"('Q08881', 'P19174')"
"('Q13202', 'P28482')"
"('P38936', 'Q6P4I2')"
"('Q9BWD1', 'O95467')"
"('Q9H8Y8', 'P43146')"
"('P14373', 'Q05516')"
"('P16499', 'P51160')"
"('P54619', 'Q9UBK2')"
"('Q5JPE7', 'P46379')"
"('Q14164', 'O75396')"
"('P11940', 'O95819')"
"('P78543', 'Q9HBU9')"
"('O00141', 'P49411')"
"('Q8NHQ1', 'Q9H7E9')"
"('P49903', 'Q9UBN6')"
"('Q15834', 'Q53H80')"
"('P23511', 'Q13952')"
"('P19438', 'Q8TEL6')"
"('O14625', 'P46092')"
"('Q13554', 'Q9Y698')"
"('Q15819', 'Q9Y3A3')"
"('P32121', 'Q8NGN2')"
"('P16871', 'P27986')"
"('P13473', 'P37840')"
"('P27986', 'P05026')"
"('Q9BQI0', 'Q6WCQ1')"
"('P19438', 'P35580')"
"('P07996', 'P26010')"
"('P57740', 'Q8N1F7')"
"('O14920', 'O00141')"
"('Q9UBS0', 'P35568')"
"('Q15773', 'Q96T76')"
"('Q8WXE1', 'O15360')"
"('P63261', 'Q6WCQ1')"
"('Q15011', 'Q93009')"
"('Q9P2S5', 'O15212')"
"('P31943', 'Q15365')"
"('Q10586', 'P20585')"
"('P62913', 'Q15653')"
"('Q14164', 'P08579')"
"('P63215', 'Q96PN6')"
"('P04626', 'P46108')"
"('Q86YV0', 'P62070')"
"('Q13315', 'Q14157')"
"('P24468', 'P41235')"
"('Q8TD86', 'Q8IU85')"
"('Q9BUP3', 'P04637')"
"('P15018', 'P26992')"
"('Q14CB8', 'Q07890')"
"('Q14164', 'P30520')"
"('P56747', 'Q9UDY2')"
"('O95405', 'P62140')"
"('Q9Y3M8', 'O60333')"
"('P48664', 'O95376')"
"('Q9UKB1', 'P46937')"
"('P62241', 'Q92597')"
"('P14174', 'Q96BK5')"
"('P38398', 'Q9NXR7')"
"('P78317', 'P51668')"
"('Q6ZT07', 'Q9H173')"
"('P09668', 'P55957')"
"('O15371', 'O14602')"
"('P00749', 'P35237')"
"('P42765', 'P22307')"
"('P16220', 'P17252')"
"('P62857', 'P46782')"
"('P63211', 'O60266')"
"('P0C0L4', 'P01024')"
"('Q9Y6K9', 'P08107')"
"('P25786', 'Q9H1Y0')"
"('O75159', 'P42702')"
"('Q16760', 'Q96ID5')"
"('O75791', 'Q9BQ66')"
"('Q96MF7', 'Q9NYB0')"
"('Q07157', 'P12814')"
"('Q92624', 'Q9H1J7')"
"('Q13748', 'Q13287')"
"('P01242', 'Q14626')"
"('P15336', 'Q53ET0')"
"('P25490', 'Q16236')"
"('Q12982', 'P60953')"
"('Q9NRX4', 'O15554')"
"('P18146', 'Q15415')"
"('P19387', 'O95402')"
"('Q15910', 'O75530')"
"('P01566', 'Q14626')"
"('P01127', 'Q13442')"
"('O15085', 'P61587')"
"('Q12852', 'Q02543')"
"('P29400', 'Q8N5U6')"
"('P19447', 'P10914')"
"('Q14644', 'Q07889')"
"('P48382', 'P61018')"
"('Q9BQ66', 'P12236')"
"('Q15819', 'Q9H5I1')"
"('O14610', 'Q8WYR1')"
"('Q9UJC3', 'Q99459')"
"('Q9H201', 'P22455')"
"('Q13950', 'Q15796')"
"('P51116', 'Q5T5P2')"
"('Q8WXF1', 'Q9H9G7')"
"('O75486', 'Q16594')"
"('Q9BS40', 'Q9Y266')"
"('P62487', 'P52434')"
"('P36873', 'Q8TEY5')"
"('Q15393', 'O15121')"
"('Q9UI14', 'Q9H8W4')"
"('P51955', 'Q96PX6')"
"('P26641', 'Q96KR7')"
"('P41235', 'Q15788')"
"('P10721', 'P22681')"
"('Q5UIP0', 'P51948')"
"('O15126', 'Q9UMZ2')"
"('Q13315', 'Q9UKL3')"
"('Q9Y676', 'P06400')"
"('P17787', 'O60674')"
"('Q99683', 'Q99828')"
"('Q05513', 'P46527')"
"('Q8IU57', 'P52333')"
"('Q9UM11', 'Q13042')"
"('P0C0S8', 'Q96DB2')"
"('Q9Y4W2', 'P01106')"
"('Q8IZL2', 'Q92793')"
"('Q9NTN9', 'O43157')"
"('Q8N9B8', 'P01111')"
"('Q8N5Z5', 'Q8N456')"
"('P11836', 'P25942')"
"('O94973', 'Q15311')"
"('P17252', 'Q13522')"
"('Q5VTR2', 'P62191')"
"('Q86XA0', 'Q07817')"
"('Q7Z7E8', 'Q15024')"
"('P07942', 'P26012')"
"('O75385', 'O75143')"
"('Q15436', 'O94979')"
"('Q9BVI4', 'A0JLT2')"
"('Q9UJY5', 'P20645')"
"('P31152', 'Q15633')"
"('P19235', 'P29597')"
"('P49716', 'P56524')"
"('P01112', 'O43924')"
"('Q15382', 'O60238')"
"('O75528', 'Q96ES7')"
"('Q9H9E3', 'P25054')"
"('Q99614', 'P30679')"
"('Q92901', 'P40429')"
"('Q15329', 'O95661')"
"('B1A4H9', 'P40189')"
"('P50552', 'P08514')"
"('P01567', 'Q92985')"
"('P63218', 'Q13972')"
"('Q13315', 'Q9UJ04')"
"('Q13114', 'P42338')"
"('O00161', 'Q9UKI8')"
"('Q9BQ39', 'Q96BK5')"
"('Q9ULV8', 'Q16665')"
"('O75674', 'Q9UBW8')"
"('Q6Q0C0', 'P57078')"
"('Q14669', 'P13569')"
"('P61587', 'Q9NQU5')"
"('P25098', 'P49238')"
"('P40763', 'Q9Y478')"
"('Q5VTD9', 'Q00978')"
"('P43686', 'O00233')"
"('P31943', 'P52272')"
"('P04637', 'Q99856')"
"('P60953', 'Q99683')"
"('O75051', 'P60763')"
"('O14610', 'P63096')"
"('P19634', 'P46934')"
"('P08069', 'Q99963')"
"('P19174', 'Q96T58')"
"('P09769', 'Q92569')"
"('Q9ULK4', 'Q9NX70')"
"('P17028', 'P26641')"
"('Q8N257', 'Q71UI9')"
"('P62277', 'P62841')"
"('P35998', 'P54727')"
"('406947', 'Q99836')"
"('P62987', 'O75886')"
"('Q96JK9', 'Q9UBG7')"
"('Q99996', 'Q9NRI5')"
"('P28222', 'P59768')"
"('Q86YC2', 'P16104')"
"('Q13547', 'O15105')"
"('P52888', 'P62158')"
"('P62136', 'Q9UQM7')"
"('P40227', 'Q15257')"
"('Q13573', 'P52272')"
"('Q8N2W9', 'Q13426')"
"('Q9Y4K3', 'Q7Z4W1')"
"('O75369', 'Q9HAU4')"
"('O94813', 'P01106')"
"('Q8N264', 'Q92730')"
"('P13747', 'Q96I34')"
"('P63279', 'P49792')"
"('Q8NGY0', 'P38405')"
"('Q9H4P4', 'P16234')"
"('P16871', 'O14618')"
"('P55210', 'Q15843')"
"('Q13554', 'Q8IWT1')"
"('Q8IY92', 'Q9NZT1')"
"('P10914', 'Q00403')"
"('O95166', 'P14867')"
"('P10275', 'Q05066')"
"('Q00839', 'O14920')"
"('P53779', 'P01100')"
"('Q92733', 'Q99459')"
"('P52565', 'P60763')"
"('Q9UBU9', 'Q8IYB3')"
"('Q15843', 'Q9BY44')"
"('P21860', 'P62993')"
"('Q15648', 'O95402')"
"('Q02543', 'P46778')"
"('Q00341', 'Q13573')"
"('Q13263', 'P40763')"
"('P21333', 'P26006')"
"('O75398', 'P38936')"
"('Q13569', 'P43699')"
"('P49770', 'P16333')"
"('Q13315', 'P42566')"
"('P30281', 'P28749')"
"('P28074', 'Q99436')"
"('O15524', 'P14316')"
"('Q13315', 'Q9NRN7')"
"('Q09028', 'O43463')"
"('P60709', 'P35579')"
"('O15524', 'Q6UXL0')"
"('Q15717', 'P09601')"
"('Q12874', 'P09661')"
"('P41235', 'Q15649')"
"('Q99496', 'Q15819')"
"('P32121', 'Q8NGT0')"
"('P55854', 'P46060')"
"('P08514', 'P26012')"
"('Q99417', 'P21246')"
"('Q13555', 'Q12968')"
"('Q15466', 'P10275')"
"('Q99878', 'Q13547')"
"('P47813', 'O15372')"
"('Q8IWW6', 'P15153')"
"('P62140', 'Q12972')"
"('P33992', 'Q12905')"
"('Q96Q40', 'P24941')"
"('Q9UQ13', 'Q13573')"
"('P42766', 'Q92901')"
"('Q13535', 'Q5VUA4')"
"('Q01094', 'P61978')"
"('Q9UMD9', 'O60437')"
"('P46776', 'P62888')"
"('Q16363', 'P06756')"
"('Q15121', 'O14678')"
"('P01889', 'Q00688')"
"('P40337', 'P35268')"
"('406922', 'Q9UL51')"
"('P00533', 'O43147')"
"('Q16555', 'Q15835')"
"('O00442', 'Q9NR30')"
"('Q9BQ95', 'Q16891')"
"('Q96R06', 'P06493')"
"('P98160', 'Q6VMQ6')"
"('P19634', 'P31946')"
"('P61077', 'Q68DV7')"
"('Q14164', 'Q9Y5Q3')"
"('Q9NY65', 'Q13509')"
"('P27361', 'Q13733')"
"('O94972', 'Q9Y4K3')"
"('P01889', 'Q9Y3A5')"
"('Q14790', 'P62805')"
"('P48645', 'Q13424')"
"('Q96QV6', 'P62807')"
"('O14908', 'O00159')"
"('Q96CW1', 'P32004')"
"('P78324', 'Q06124')"
"('Q9BSW2', 'Q14134')"
"('P01308', 'Q96C24')"
"('O00716', 'P37231')"
"('Q8NH69', 'P38405')"
"('P07900', 'Q9UKG9')"
"('P31947', 'Q14103')"
"('O00206', 'P14625')"
"('P78509', 'P18564')"
"('P14778', 'Q9Y616')"
"('Q96JP2', 'Q96BR9')"
"('Q9H0R8', 'P41145')"
"('Q13480', 'Q92529')"
"('P51636', 'P16144')"
"('P42766', 'Q02543')"
"('Q13835', 'Q969Q5')"
"('P54652', 'Q12933')"
"('O15145', 'P42768')"
"('P36542', 'Q00013')"
"('Q15714', 'P63173')"
"('Q96SL4', 'O43765')"
"('P20749', 'Q01201')"
"('Q13616', 'P46527')"
"('P01570', 'P17181')"
"('Q9Y3A5', 'P01889')"
"('P01133', 'P0CG47')"
"('P31947', 'P22681')"
"('O15467', 'P51684')"
"('Q01844', 'Q8N655')"
"('Q9H0Y0', 'Q16576')"
"('Q9UGJ0', 'P46527')"
"('O75899', 'P08754')"
"('P43364', 'O14832')"
"('P62993', 'Q15262')"
"('Q13547', 'Q15583')"
"('O15514', 'P53803')"
"('P05112', 'O95644')"
"('P62633', 'P18077')"
"('P12544', 'Q96RI0')"
"('Q96JP5', 'Q15287')"
"('P01243', 'P61077')"
"('P05386', 'P62891')"
"('P43686', 'Q14164')"
"('P20671', 'Q99877')"
"('P38398', 'Q96RL1')"
"('Q9Y2Q3', 'Q9UIA9')"
"('P30153', 'P60842')"
"('Q15139', 'P62834')"
"('Q13315', 'Q9C0C9')"
"('P22694', 'Q08462')"
"('Q6NV75', 'P28749')"
"('Q92993', 'Q96SN8')"
"('O00327', 'P23025')"
"('P37173', 'Q92831')"
"('P51587', 'P46736')"
"('P06241', 'O60500')"
"('P12081', 'P26641')"
"('Q9UL18', 'O00425')"
"('Q15382', 'Q14318')"
"('Q9UHD0', 'Q969J5')"
"('Q05516', 'P40238')"
"('P10914', 'Q96DX7')"
"('P01567', 'Q13261')"
"('Q15323', 'P54259')"
"('Q99828', 'P52565')"
"('O60739', 'Q99873')"
"('P62993', 'Q9BWF2')"
"('P31751', 'P62140')"
"('O15055', 'P56645')"
"('P14866', 'P17980')"
"('P42338', 'Q9UN42')"
"('P62877', 'Q8NFZ0')"
"('P68032', 'P04406')"
"('Q9NQT4', 'Q8TEM1')"
"('Q9HCU9', 'P11142')"
"('P20333', 'P12236')"
"('P62873', 'Q00722')"
"('Q16513', 'Q9NRA0')"
"('P10720', 'P25024')"
"('P10242', 'Q13813')"
"('P48637', 'Q14653')"
"('Q02543', 'P36578')"
"('Q08050', 'P24941')"
"('Q15637', 'Q93062')"
"('Q16659', 'Q9NX36')"
"('Q9NP31', 'P19174')"
"('Q9Y3Q8', 'P25786')"
"('P42772', 'O43474')"
"('P48169', 'O95166')"
"('Q15834', 'Q9H8S9')"
"('Q04743', 'P06730')"
"('Q96J02', 'Q9Y3C5')"
"('P05771', 'Q16659')"
"('Q16254', 'Q9BR39')"
"('O96013', 'Q15746')"
"('P35232', 'Q9UL18')"
"('P01344', 'P22692')"
"('P28482', 'Q9NRA0')"
"('Q04759', 'P27448')"
"('P35680', 'Q4U2R8')"
"('P11142', 'P61073')"
"('Q04917', 'Q9GZV5')"
"('P05787', 'P20333')"
"('O75970', 'P56747')"
"('Q13114', 'Q8TDR0')"
"('P01106', 'Q9H300')"
"('Q96PM5', 'Q96KC2')"
"('P62280', 'Q9P2S5')"
"('Q9NRR4', 'P41182')"
"('O95471', 'C9JDP6')"
"('Q14247', 'Q05193')"
"('O43676', 'P17568')"
"('P63208', 'Q86WB0')"
"('P10275', 'P09429')"
"('P38919', 'O15234')"
"('P62993', 'P62140')"
"('O14976', 'Q9UM73')"
"('Q13347', 'P23508')"
"('Q9NVW2', 'P61077')"
"('Q9HAV4', 'Q14164')"
"('P22626', 'P31943')"
"('Q53F19', 'P31942')"
"('P05156', 'P01024')"
"('P41220', 'Q9Y2X7')"
"('Q13315', 'Q8IY92')"
"('P29372', 'P05141')"
"('O75015', 'O15264')"
"('Q9HBA0', 'Q8TCG1')"
"('Q9BUJ2', 'Q01081')"
"('P49841', 'Q9Y600')"
"('P05129', 'P60709')"
"('Q13131', 'Q9NP71')"
"('Q8WVZ9', 'Q13867')"
"('P01106', 'P30049')"
"('Q9P2H0', 'P0CAP2')"
"('P00519', 'O15457')"
"('P35606', 'Q99459')"
"('O14777', 'Q9Y3C0')"
"('P43405', 'Q8IWV1')"
"('Q13547', 'O14901')"
"('Q969S8', 'P58876')"
"('O15525', 'Q12873')"
"('P32881', 'P01589')"
"('P35626', 'P49682')"
"('Q5TD97', 'P16220')"
"('Q07889', 'P63000')"
"('Q96HA1', 'P35658')"
"('P01571', 'Q99650')"
"('P62993', 'Q9NZS9')"
"('P62081', 'P42677')"
"('Q9UKY1', 'P04637')"
"('Q9BQE3', 'Q13885')"
"('Q6P1J9', 'Q9GZP4')"
"('P28066', 'P25787')"
"('O43427', 'Q9H0A6')"
"('Q9NRI5', 'P46939')"
"('Q9HB63', 'Q6UY14')"
"('Q9UG56', 'P61421')"
"('P24522', 'Q9UKR5')"
"('Q8TB24', 'P16333')"
"('O00168', 'Q13733')"
"('Q93074', 'A0JLT2')"
"('O95602', 'P53803')"
"('O00716', 'Q75NE6')"
"('P18146', 'Q01851')"
"('Q2KJY2', 'O95819')"
"('Q13136', 'Q9NS73')"
"('Q9UJ04', 'Q15834')"
"('O00401', 'Q92747')"
"('P00533', 'Q13387')"
"('P63279', 'Q9Y4K3')"
"('P22694', 'Q9UBN1')"
"('O95166', 'Q09013')"
"('Q9HCK5', 'P11182')"
"('P61160', 'Q07889')"
"('P31947', 'Q70EL4')"
"('P30793', 'P11142')"
"('P05496', 'P24539')"
"('Q99741', 'Q9H211')"
"('P63211', 'O95622')"
"('Q9UPN3', 'P25054')"
"('P62191', 'O43242')"
"('P27824', 'O15264')"
"('O75508', 'P56880')"
"('Q9HAU5', 'Q92900')"
"('P05412', 'Q09472')"
"('Q15797', 'Q04323')"
"('P02649', 'Q07954')"
"('P39687', 'P10828')"
"('Q8TD84', 'Q8TDG2')"
"('Q15020', 'P10275')"
"('Q7Z419', 'O14933')"
"('P62136', 'Q13936')"
"('P56199', 'O75578')"
"('Q07817', 'O00198')"
"('Q96G30', 'Q01718')"
"('Q8IX12', 'Q8IWZ8')"
"('Q14749', 'Q6ZVK8')"
"('P49368', 'Q9NT62')"
"('Q04206', 'P01569')"
"('P49023', 'O43294')"
"('Q13641', 'O14908')"
"('P63096', 'Q9NPG2')"
"('O60285', 'P06702')"
