negatives
"('Q92558', 'P63261')"
"('O00463', 'P28908')"
"('Q9UPX8', 'Q9NSC5')"
"('P38936', 'O00311')"
"('P00167', 'P99999')"
"('P01112', 'O00212')"
"('A4FU01', 'O15198')"
"('O95989', 'Q6ZN04')"
"('P47914', 'P36578')"
"('Q9H0M0', 'Q96G27')"
"('P14373', 'Q9UL03')"
"('Q8N257', 'Q16777')"
"('P05129', 'P51817')"
"('P0C5Z0', 'Q8WUI4')"
"('Q8TC92', 'Q13352')"
"('P63010', 'Q06124')"
"('P61964', 'O15550')"
"('P60520', 'Q13685')"
"('P28340', 'Q9P2H0')"
"('P22455', 'Q9Y6I3')"
"('Q14896', 'Q969Q1')"
"('P01563', 'Q13261')"
"('Q13287', 'P04198')"
"('P08631', 'P35326')"
"('P08173', 'P59768')"
"('O00206', 'P28482')"
"('Q7Z628', 'P61586')"
"('P41235', 'P01008')"
"('P46779', 'P61254')"
"('P32927', 'P51692')"
"('P18084', 'P23229')"
"('O76021', 'Q9NV56')"
"('Q15349', 'Q02156')"
"('Q15599', 'P40879')"
"('P31947', 'O43916')"
"('P11362', 'P10144')"
"('Q96B97', 'P50570')"
"('P42224', 'P17948')"
"('O75365', 'P57088')"
"('P25391', 'P98160')"
"('Q9BV47', 'Q16539')"
"('Q01196', 'P08700')"
"('Q9UET6', 'P26368')"
"('Q13535', 'P50750')"
"('Q8TDY2', 'Q8TEV9')"
"('O75475', 'P08319')"
"('P26010', 'Q13683')"
"('P45983', 'Q9NZC7')"
"('Q15038', 'Q9P0T4')"
"('Q13555', 'Q8IZS8')"
"('P55774', 'P32248')"
"('Q16637', 'Q9NWA0')"
"('P48740', 'P01024')"
"('Q7L590', 'Q9Y2I6')"
"('Q8IZJ0', 'Q8N6P7')"
"('O95267', 'P40337')"
"('B1AH88', 'Q99426')"
"('P35247', 'O60603')"
"('Q09472', 'P42224')"
"('Q5UIP0', 'Q9UGL9')"
"('P20073', 'Q13509')"
"('P42331', 'Q07890')"
"('Q9NYQ7', 'Q03001')"
"('O95999', 'P58876')"
"('Q8TAA9', 'Q5SW24')"
"('P60602', 'Q14790')"
"('Q9Y2X8', 'Q86UW7')"
"('Q92993', 'Q9BQD7')"
"('P08107', 'Q9NZL4')"
"('P84101', 'Q9BQY4')"
"('O75438', 'O43678')"
"('P11473', 'O43593')"
"('P06241', 'P16333')"
"('Q05655', 'Q07157')"
"('O94817', 'P18146')"
"('P10914', 'P51610')"
"('Q12986', 'P26368')"
"('P51610', 'P24864')"
"('P35626', 'Q8NGM9')"
"('O95760', 'P55210')"
"('P58876', 'O15479')"
"('A0JLT2', 'P19387')"
"('P57088', 'Q9UKV8')"
"('Q9H0Y0', 'Q99832')"
"('Q05397', 'P06239')"
"('Q13114', 'Q12933')"
"('Q07889', 'Q12929')"
"('P08238', 'P31751')"
"('O14526', 'Q05516')"
"('Q8IYF3', 'P09327')"
"('P19525', 'Q9BZE4')"
"('O95777', 'Q8IU57')"
"('O00141', 'P26640')"
"('Q9Y2X8', 'O43567')"
"('P20671', 'P58876')"
"('P62837', 'P14373')"
"('P10827', 'Q13503')"
"('O75534', 'P30480')"
"('406933', 'Q96RT1')"
"('P13569', 'Q05086')"
"('Q13315', 'O43156')"
"('P07900', 'P47897')"
"('Q7L5N1', 'P30519')"
"('P02749', 'P43629')"
"('P14866', 'Q9UL18')"
"('P62917', 'P62987')"
"('O95786', 'Q7Z434')"
"('Q13404', 'Q92560')"
"('O76061', 'P21246')"
"('P03897', 'O00217')"
"('O14980', 'P04406')"
"('P42680', 'O00459')"
"('Q99700', 'Q9NWB1')"
"('Q14161', 'P25098')"
"('Q13315', 'O60232')"
"('P25054', 'Q8NF91')"
"('P63104', 'P38919')"
"('Q7RTN6', 'Q15831')"
"('P18146', 'P01127')"
"('P01106', 'P57088')"
"('Q13435', 'Q6P2Q9')"
"('P04637', 'Q9H160')"
"('Q16445', 'Q9H0R8')"
"('Q15466', 'P11473')"
"('P01138', 'Q01973')"
"('P48556', 'P62191')"
"('Q9UKR5', 'P02766')"
"('P62993', 'Q9BR76')"
"('P32519', 'P41182')"
"('P58753', 'Q9Y3B3')"
"('O00299', 'O15116')"
"('P01563', 'P48551')"
"('P30480', 'Q15008')"
"('P28482', 'P54710')"
"('P56270', 'P43146')"
"('P07355', 'Q9UKE5')"
"('Q8N5C8', 'O15264')"
"('Q8WXH5', 'P16471')"
"('Q92560', 'Q9Y2X8')"
"('O15131', 'P36957')"
"('O00206', 'O60603')"
"('Q7Z392', 'Q7Z6L1')"
"('P22694', 'Q8TEY5')"
"('P61956', 'Q12873')"
"('Q14197', 'Q13011')"
"('P32239', 'P62993')"
"('Q08397', 'P35555')"
"('P12645', 'Q8TEU8')"
"('Q9Y5B9', 'P01889')"
"('P62834', 'P41134')"
"('P19012', 'P04259')"
"('Q13547', 'Q8IUE6')"
"('P05771', 'Q9ULU4')"
"('P62873', 'P84996')"
"('O14733', 'P45984')"
"('Q92918', 'O43561')"
"('P27348', 'P84103')"
"('Q9NS56', 'P35398')"
"('Q14192', 'P00533')"
"('Q9C040', 'Q9Y2X8')"
"('P21802', 'Q6S5L8')"
"('P84022', 'P05121')"
"('Q9NRI5', 'Q99996')"
"('O75365', 'O00159')"
"('P15927', 'P46063')"
"('P62913', 'P61927')"
"('P30504', 'O60613')"
"('Q12986', 'O75800')"
"('P10242', 'P01106')"
"('P63165', 'O14715')"
"('Q8WZA2', 'P30291')"
"('P62993', 'P00403')"
"('Q8WUM4', 'Q99961')"
"('P15382', 'P56696')"
"('P62910', 'P46779')"
"('Q9UJU2', 'Q04724')"
"('P49790', 'Q8TEM1')"
"('P78396', 'Q13347')"
"('Q92769', 'P18146')"
"('P19388', 'Q6P1J9')"
"('Q29974', 'P01730')"
"('P62807', 'Q14164')"
"('P46778', 'O95793')"
"('Q15287', 'Q9NRR5')"
"('Q96CW1', 'P35268')"
"('Q9BTM1', 'P62807')"
"('Q6FHJ7', 'Q9GZT5')"
"('Q9UBC0', 'Q08050')"
"('P30260', 'P51955')"
"('Q13765', 'P16104')"
"('Q9H171', 'Q9UBD5')"
"('P34932', 'Q99683')"
"('Q96RL1', 'Q9NWV8')"
"('Q9H2U1', 'Q9UKV8')"
"('O43143', 'Q8N5A5')"
"('O60828', 'P51681')"
"('Q9Y3C6', 'Q13769')"
"('P63096', 'P50150')"
"('P32239', 'P06241')"
"('Q9Y383', 'Q13938')"
"('O43293', 'P62993')"
"('P05230', 'P68400')"
"('P26373', 'P62424')"
"('O14618', 'Q02410')"
"('Q6P1J9', 'Q9UKF6')"
"('Q93079', 'Q08945')"
"('O43586', 'Q9Y265')"
"('Q9BXS5', 'O14641')"
"('A0JLT2', 'Q71SY5')"
"('Q9NYB0', 'P63010')"
"('P0C0S8', 'Q96A08')"
"('Q16539', 'P23219')"
"('Q13217', 'P19525')"
"('P11387', 'Q13428')"
"('P25098', 'P07550')"
"('Q9HBW0', 'P59768')"
"('Q7LBR1', 'Q9NP79')"
"('406889', 'P05231')"
"('P03372', 'P40763')"
"('P62304', 'Q16637')"
"('Q9NX58', 'Q14684')"
"('Q96HF1', 'P04628')"
"('P18505', 'O95166')"
"('Q06587', 'P51668')"
"('Q9GZP0', 'P17948')"
"('O75964', 'P00846')"
"('Q86WV6', 'Q8TCT9')"
"('Q96L33', 'Q13177')"
"('Q9C0J8', 'Q05516')"
"('O14776', 'Q99728')"
"('P62280', 'P62266')"
"('P48736', 'O00459')"
"('P02458', 'P26006')"
"('Q9NZN8', 'P18146')"
"('O75618', 'P42574')"
"('P42226', 'Q9UHD2')"
"('P05387', 'Q13233')"
"('P02786', 'P02787')"
"('P25791', 'Q15038')"
"('O14950', 'P35579')"
"('P19388', 'Q9GZS1')"
"('O75351', 'Q9NP79')"
"('P09382', 'Q08380')"
"('Q9H0Y0', 'P30520')"
"('P35658', 'O75694')"
"('P30154', 'P46937')"
"('P63000', 'Q9UP83')"
"('Q14192', 'P40763')"
"('Q99459', 'P52292')"
"('P01106', 'P00367')"
"('P07384', 'Q6IAA8')"
"('Q14315', 'Q9HAU4')"
"('Q02383', 'P04279')"
"('Q13191', 'P63104')"
"('407008', 'P62745')"
"('Q9GZX6', 'P48357')"
"('P56524', 'Q8N257')"
"('P49792', 'P52948')"
"('O94776', 'Q96T58')"
"('Q9Y4A5', 'Q9NVC6')"
"('Q15155', 'P04278')"
"('P06753', 'P30480')"
"('Q5UIP0', 'P50453')"
"('O75367', 'Q15910')"
"('Q12824', 'Q9UHY7')"
"('O00255', 'P19838')"
"('P25105', 'P22301')"
"('P78545', 'P37173')"
"('Q9HCK5', 'O15397')"
"('P49810', 'Q9NZ42')"
"('Q14683', 'Q29RF7')"
"('Q9ULK5', 'Q9NRD5')"
"('Q16539', 'Q9UGU0')"
"('Q99880', 'Q96HA7')"
"('P16333', 'Q9H1R2')"
"('Q15797', 'Q96PE3')"
"('Q01974', 'P04628')"
"('P41134', 'P13349')"
"('P18615', 'Q9H3P2')"
"('P10275', 'Q16665')"
"('Q92985', 'Q04206')"
"('P04049', 'Q92569')"
"('O75478', 'O75528')"
"('Q16828', 'P45984')"
"('O00471', 'O14497')"
"('P16035', 'P30084')"
"('Q96QT4', 'P02686')"
"('O75051', 'Q8WUJ3')"
"('Q8IWX8', 'Q15287')"
"('Q02156', 'P53618')"
"('Q09472', 'P46531')"
"('Q9BRZ2', 'P62633')"
"('Q02556', 'Q01459')"
"('Q9HAV0', 'P63096')"
"('P00519', 'P15172')"
"('Q9BY41', 'Q06455')"
"('P51817', 'Q13936')"
"('P16383', 'P06241')"
"('P06703', 'P04271')"
"('O75175', 'Q9UFF9')"
"('P38936', 'P54252')"
"('O43809', 'Q9NZC7')"
"('Q96AY2', 'Q8IY92')"
"('Q9UM73', 'Q16537')"
"('Q9Y4K3', 'O00487')"
"('Q86Y56', 'P43360')"
"('O00755', 'O60353')"
"('P07199', 'P61296')"
"('Q15797', 'Q9BTE0')"
"('Q9UL18', 'Q13435')"
"('Q99459', 'Q9H4M9')"
"('P05186', 'P25963')"
"('Q14315', 'Q9NP98')"
"('P51636', 'P20264')"
"('Q8IUC6', 'Q13077')"
"('Q92830', 'Q9UBG7')"
"('Q13131', 'O95822')"
"('Q92769', 'P10827')"
"('Q14151', 'P03372')"
"('Q99613', 'P47813')"
"('Q96EY1', 'Q14197')"
"('Q9P253', 'Q86VX9')"
"('P62993', 'P09651')"
"('P15531', 'Q9Y3F4')"
"('Q9UQ07', 'P16333')"
"('P10809', 'O14920')"
"('Q9H4B7', 'P16871')"
"('P29350', 'Q5VWK5')"
"('O00422', 'P39656')"
"('Q9H2X0', 'Q8IUH5')"
"('P62491', 'Q12846')"
"('Q01844', 'Q01851')"
"('Q00526', 'Q14186')"
"('P05013', 'P16471')"
"('Q96A65', 'Q9NR09')"
"('Q9Y3I1', 'Q00534')"
"('P04183', 'P11802')"
"('Q8N431', 'Q07912')"
"('Q9ULV5', 'O75956')"
"('P54253', 'Q8NEM7')"
"('Q9ULC4', 'P01889')"
"('P22681', 'P46109')"
"('Q13485', 'P15336')"
"('Q96KN7', 'Q92834')"
"('O96013', 'Q32MK0')"
"('P42684', 'P60763')"
"('P51610', 'Q8IY92')"
"('Q9UDY2', 'O95832')"
"('P62826', 'Q05639')"
"('P83876', 'O94906')"
"('P62910', 'P62987')"
"('Q8IVF5', 'P50570')"
"('Q13573', 'P49368')"
"('P59768', 'O95467')"
"('Q9UQF2', 'P45983')"
"('P28482', 'P04141')"
"('Q12824', 'O15360')"
"('O43586', 'Q8IZX4')"
"('P01243', 'P43487')"
"('P20908', 'Q05397')"
"('P40337', 'Q13526')"
"('P42830', 'P32246')"
"('Q15428', 'Q9Y3B4')"
"('Q9NSK0', 'P61981')"
"('P52565', 'Q6IBS0')"
"('Q92597', 'P17980')"
"('P41273', 'Q13077')"
"('O94916', 'P07900')"
"('P51149', 'O14576')"
"('Q9NWQ8', 'Q96CV9')"
"('P35609', 'P46777')"
"('O15524', 'P15498')"
"('Q9UGJ1', 'Q15834')"
"('O15444', 'P51685')"
"('P15927', 'P13686')"
"('P60709', 'P24855')"
"('Q99963', 'P50238')"
"('P36542', 'Q9HCK5')"
"('P02461', 'P13612')"
"('O75381', 'O00628')"
"('O75038', 'P17252')"
"('P14598', 'P35228')"
"('Q8TAP4', 'Q8N187')"
"('P52272', 'Q92841')"
"('P04075', 'Q8IZH2')"
"('P02787', 'Q30201')"
"('P61619', 'P43307')"
"('P30480', 'Q9Y5L4')"
"('Q92901', 'P62899')"
"('P61077', 'P35226')"
"('P62750', 'P36578')"
"('Q96N67', 'P52198')"
"('Q8N6Y0', 'Q8IYI6')"
"('Q9BQ83', 'P62826')"
"('Q01959', 'O94811')"
"('Q15334', 'Q14160')"
"('Q9UBQ5', 'Q9Y262')"
"('O60318', 'Q6P1J9')"
"('Q01094', 'P24864')"
"('Q08043', 'P08514')"
"('Q9GZV4', 'Q96CV9')"
"('Q13526', 'Q9UER7')"
"('P50395', 'P35609')"
"('P25098', 'O00574')"
"('P36542', 'P01106')"
"('P06241', 'Q86WV1')"
"('P22694', 'P18846')"
"('P51116', 'P07910')"
"('Q7L5N1', 'P14174')"
"('Q16363', 'O75578')"
"('Q15306', 'Q9H6S0')"
"('P05114', 'Q86U86')"
"('Q9Y597', 'O95777')"
"('O60271', 'Q16600')"
"('O14561', 'P03915')"
"('O75197', 'P19022')"
"('A6NIT4', 'Q14627')"
"('Q9UKY1', 'Q13838')"
"('O60684', 'P22392')"
"('P67870', 'P18846')"
"('P62714', 'P28482')"
"('Q15527', 'P46777')"
"('P34897', 'P67870')"
"('P30443', 'O43908')"
"('P30559', 'P29992')"
"('P05121', 'P98164')"
"('Q04864', 'P60568')"
"('P17676', 'Q16520')"
"('Q92747', 'O00401')"
"('Q9HBY0', 'P08253')"
"('Q9HCE7', 'Q04323')"
"('Q9HC38', 'Q9NPJ4')"
"('Q9UQ84', 'P15927')"
"('P35998', 'O00231')"
"('P24522', 'P61968')"
"('P84022', 'Q86UD4')"
"('P56704', 'Q14696')"
"('P63215', 'O00329')"
"('O96020', 'Q9UJX3')"
"('P04406', 'Q15046')"
"('Q8TD19', 'Q08945')"
"('P03901', 'Q9UI09')"
"('Q00534', 'Q16254')"
"('P06400', 'Q9UQ80')"
"('P16144', 'P50552')"
"('Q5HYK9', 'Q16543')"
"('Q86V86', 'Q92934')"
"('P45983', 'Q01538')"
"('Q14653', 'Q9BYM8')"
"('Q16629', 'Q07955')"
"('Q9UHP6', 'Q13485')"
"('Q8N5C8', 'P27361')"
"('P68363', 'Q96AH8')"
"('Q9H4E7', 'P60953')"
"('P19174', 'P21333')"
"('Q13177', 'P53671')"
"('P09884', 'Q14181')"
"('P68400', 'O60936')"
"('Q9C000', 'P02647')"
"('P04637', 'Q8TDY2')"
"('Q9UHG2', 'P16220')"
"('Q9ULM3', 'Q9NS73')"
"('Q16537', 'Q9Y698')"
"('O14610', 'O00555')"
"('P14735', 'P13236')"
"('O95751', 'P48552')"
"('P48552', 'P11473')"
"('Q8NHJ6', 'P08637')"
"('Q92918', 'O43318')"
"('P31946', 'P26651')"
"('P33991', 'P53350')"
"('Q96MF7', 'Q96SB8')"
"('P60763', 'Q7L576')"
"('Q99880', 'O15047')"
"('P22612', 'P61952')"
"('Q9UBN7', 'P06899')"
"('P08579', 'P23508')"
"('Q7L804', 'P61981')"
"('Q92844', 'O00410')"
"('P01569', 'Q08334')"
"('406921', 'P51608')"
"('O15397', 'Q9UL18')"
"('Q8WXH5', 'P06213')"
"('P51825', 'Q9UHB7')"
"('P35568', 'Q14432')"
"('P06493', 'Q12834')"
"('P10909', 'P30101')"
"('Q9ULK5', 'Q5SW24')"
"('P52757', 'P08134')"
"('Q8WZA2', 'O14924')"
"('Q16401', 'O00233')"
"('Q9NWF9', 'P08243')"
"('Q13501', 'Q13573')"
"('P54920', 'Q9UNK0')"
"('P63215', 'Q8NFM4')"
"('Q14332', 'Q9NQ66')"
"('P68366', 'Q96BD8')"
"('P54253', 'Q96IP4')"
"('O95967', 'Q9NRT5')"
"('Q9UBD9', 'P40238')"
"('P12931', 'P15529')"
"('P23258', 'Q9P209')"
"('P23396', 'P62847')"
"('Q15102', 'P12956')"
"('Q9UBB4', 'Q9Y5V3')"
"('P18146', 'P12644')"
"('P52292', 'P49407')"
"('O75815', 'O15067')"
"('P62330', 'Q99418')"
"('P01889', 'Q9BZK3')"
"('O14508', 'P40763')"
"('Q86UR1', 'P05129')"
"('O14512', 'P42224')"
"('P41235', 'Q9UK32')"
"('Q9BTT4', 'Q93074')"
"('Q96EY1', 'Q96AQ9')"
"('P13805', 'P17844')"
"('P62491', 'P49810')"
"('P52797', 'P16234')"
"('Q14191', 'Q06609')"
"('Q86WB0', 'Q13616')"
"('Q9Y5I7', 'Q96B33')"
"('Q9BUV8', 'P28288')"
"('P14780', 'Q12873')"
"('P84022', 'O00255')"
"('Q12766', 'Q16637')"
"('Q96RN5', 'O60244')"
"('Q9BV47', 'P27361')"
"('Q9BY43', 'Q9UN37')"
"('P32121', 'O76061')"
"('Q8IU54', 'Q99665')"
"('Q9Y4K3', 'O14879')"
"('Q66LE6', 'P42285')"
"('Q9H0E2', 'Q9UKY1')"
"('Q92903', 'P38398')"
"('Q08043', 'P35609')"
"('P04626', 'P62987')"
"('P01106', 'Q93096')"
"('Q15628', 'Q14974')"
"('O43617', 'Q9NPJ6')"
"('P63104', 'Q92499')"
"('P55072', 'P16871')"
"('Q01995', 'P23528')"
"('O15511', 'P60709')"
"('Q6UVK1', 'Q9H832')"
"('Q9BVP2', 'O75940')"
"('Q9UMX0', 'Q9NPQ8')"
"('P26010', 'Q9NVD7')"
"('P99999', 'Q9UBN6')"
"('P40818', 'O75886')"
"('O00231', 'Q13200')"
"('P14780', 'P17931')"
"('P32121', 'Q66LE6')"
"('Q9BXL8', 'Q9Y2T4')"
"('A6NMS3', 'P38405')"
"('P60903', 'Q7L5N1')"
"('Q8N7H5', 'O43463')"
"('P25189', 'Q01453')"
"('Q9UHD2', 'P01375')"
"('Q5T3J3', 'Q9UGL9')"
"('Q96CS2', 'Q7Z4H7')"
"('P67936', 'Q15654')"
"('P06241', 'Q07666')"
"('P52735', 'Q96JH7')"
"('P06493', 'Q9UKT4')"
"('P62736', 'P23528')"
"('Q9Y566', 'Q9NSB8')"
"('Q13177', 'Q9Y266')"
"('P06899', 'Q9UPS6')"
"('Q9Y6D5', 'Q14432')"
"('P05112', 'P14316')"
"('O75159', 'P48357')"
"('Q9Y6E7', 'P05141')"
"('P12004', 'O94762')"
"('Q9UHD2', 'O14920')"
"('A8K7I4', 'P13569')"
"('O96019', 'Q8NFD5')"
"('P05014', 'P32927')"
"('Q9UIA9', 'Q9BUV8')"
"('O60437', 'Q8NEY8')"
"('Q15572', 'Q9Y2S0')"
"('Q9BQY4', 'O95471')"
"('Q9NZN5', 'P60953')"
"('P24522', 'Q8TDZ2')"
"('P62273', 'P62701')"
"('Q13683', 'P18084')"
"('P23229', 'P30101')"
"('407008', 'Q06413')"
"('Q9UI09', 'P03915')"
"('Q14738', 'Q5FBB7')"
"('Q5VWQ8', 'Q9Y5J5')"
"('Q01130', 'Q9NRR5')"
"('P20809', 'Q6UXL0')"
"('Q15555', 'Q9GZT8')"
"('Q9NVX0', 'Q7Z4H7')"
"('P23508', 'P43487')"
"('O60383', 'Q99547')"
"('P61077', 'Q9Y4L5')"
"('Q13315', 'Q13362')"
"('P19838', 'P29459')"
"('P04070', 'Q9UNN8')"
"('Q12996', 'P06748')"
"('Q9UQN3', 'P40337')"
"('Q92542', 'Q9Y219')"
"('P14635', 'Q13526')"
"('O15085', 'P27986')"
"('P21675', 'O14662')"
"('Q9NS23', 'Q93009')"
"('P04626', 'O14654')"
"('Q9H1J7', 'P41221')"
"('P16220', 'O60664')"
"('P12830', 'P49748')"
"('P55210', 'P52566')"
"('Q5TC12', 'Q07812')"
"('P08047', 'P00519')"
"('P80162', 'P51684')"
"('Q9BPZ7', 'P19438')"
"('Q9UKT4', 'Q12834')"
"('O43707', 'Q9Y572')"
"('Q8IX12', 'Q8IYB3')"
"('P42574', 'Q14980')"
"('O43299', 'P14316')"
"('Q9Y3C0', 'P21246')"
"('Q6PI98', 'Q9Y5K5')"
"('P24928', 'P52435')"
"('Q5T0N5', 'P24666')"
"('P62993', 'P68366')"
"('Q96RT1', 'P25054')"
"('Q00610', 'Q15653')"
"('Q9Y5S8', 'P19438')"
"('P52435', 'P62487')"
"('Q9UJX6', 'P06493')"
"('P20936', 'Q07889')"
"('Q07325', 'P27487')"
"('P62258', 'P35580')"
"('P62873', 'Q01668')"
"('P20809', 'P26951')"
"('Q08050', 'P28482')"
"('Q09028', 'O60739')"
"('Q96RN5', 'Q15796')"
"('Q96QV6', 'Q9BY41')"
"('P15884', 'O00512')"
"('Q9GZR1', 'Q99759')"
"('Q09472', 'P16949')"
"('Q13153', 'Q96T58')"
"('Q06787', 'A7MCY6')"
"('O75909', 'Q15834')"
"('Q13315', 'Q15906')"
"('Q01844', 'Q70IA6')"
"('Q15038', 'P0CG48')"
"('P26641', 'Q13332')"
"('P32121', 'P12931')"
"('Q09472', 'P01137')"
"('Q96N67', 'P61981')"
"('Q12802', 'P61586')"
"('P37231', 'Q5VT06')"
"('P10826', 'Q15796')"
"('P05556', 'P11047')"
"('Q70YC4', 'Q9NXR1')"
"('Q06124', 'P78324')"
"('Q9BRQ0', 'Q92830')"
"('P24941', 'P49662')"
"('P43146', 'Q8IZJ1')"
"('P05155', 'P00736')"
"('Q86VI4', 'Q01094')"
"('Q96L34', 'P04156')"
"('Q8IU54', 'P10914')"
"('P83731', 'O15479')"
"('P22694', 'Q8WXS5')"
"('Q8IYI8', 'Q9BQ66')"
"('Q92620', 'P98175')"
"('P30046', 'P30480')"
"('Q9BYQ4', 'Q12834')"
"('P42263', 'P33176')"
"('P16871', 'P55072')"
"('Q9UK08', 'Q00722')"
"('P01374', 'P20333')"
"('P02458', 'Q9UKX5')"
"('Q8IZL8', 'O43918')"
"('P25490', 'P60709')"
"('Q03519', 'Q04206')"
"('O75746', 'Q9BRX2')"
"('Q96EZ8', 'Q99683')"
"('P25025', 'O60674')"
"('P28562', 'P45983')"
"('P83916', 'O60934')"
"('P19838', 'P09525')"
"('P45984', 'P53778')"
"('Q7Z417', 'Q99759')"
"('Q9NX70', 'Q71SY5')"
"('P04637', 'Q9UQR1')"
"('O95622', 'P22694')"
"('Q13158', 'Q7Z434')"
"('P55774', 'P46094')"
"('P62993', 'P23760')"
"('P61927', 'P40429')"
"('P68032', 'Q8TDR0')"
"('P30876', 'Q08211')"
"('Q9H213', 'Q96SN8')"
"('P61769', 'P03989')"
"('P43360', 'P78344')"
"('P21246', 'P49841')"
"('Q9Y5J5', 'P35250')"
"('O75694', 'Q13573')"
"('P12110', 'P23229')"
"('Q9BRQ0', 'Q16514')"
"('Q13163', 'P28482')"
"('Q13526', 'P11171')"
"('P14550', 'Q9NPD3')"
"('P52597', 'Q16629')"
"('Q96KM6', 'Q9UBH0')"
"('Q9Y3M8', 'P98170')"
"('O00221', 'P11021')"
"('Q01543', 'P10415')"
"('Q16665', 'P35368')"
"('Q13188', 'Q9H8S9')"
"('Q13315', 'P42696')"
"('Q96B02', 'Q5VTB9')"
"('O15264', 'Q14934')"
"('Q4VC05', 'Q01201')"
"('P63244', 'Q96DF8')"
"('Q00325', 'Q9UL18')"
"('Q9BTT4', 'Q96RN5')"
"('O95405', 'O14964')"
"('Q99750', 'Q9H9D4')"
"('Q9BUF5', 'P16871')"
"('Q13118', 'Q14137')"
