negatives
"('P60484', 'Q7L5N1')"
"('Q92698', 'P43351')"
"('Q9BQ66', 'P49910')"
"('O15182', 'Q5T3J3')"
"('Q12962', 'Q8WTS6')"
"('O00170', 'P35869')"
"('P56537', 'Q9BZI7')"
"('P10242', 'Q92793')"
"('406988', 'P21860')"
"('P62993', 'P05549')"
"('P62263', 'P62851')"
"('O60921', 'Q99615')"
"('Q06190', 'Q5T6C5')"
"('Q07890', 'Q9BPX5')"
"('Q14781', 'P51784')"
"('Q9HC29', 'Q9Y2Z0')"
"('P82979', 'Q13838')"
"('P34931', 'P19438')"
"('P27348', 'O43491')"
"('P14625', 'Q14573')"
"('Q9H2X6', 'Q13233')"
"('Q13444', 'Q8TEJ3')"
"('Q7L523', 'O95639')"
"('P31314', 'P14635')"
"('Q66LE6', 'Q01668')"
"('P28482', 'P30086')"
"('Q15797', 'P15153')"
"('P24863', 'P15170')"
"('Q9NZT1', 'O14827')"
"('P49368', 'Q9NT62')"
"('Q9Y572', 'Q13451')"
"('P04406', 'O00231')"
"('Q01201', 'P17066')"
"('P62837', 'Q9NS56')"
"('Q8IZJ0', 'Q8N6P7')"
"('P35711', 'P56645')"
"('Q9BRC7', 'Q9HCM9')"
"('Q13155', 'Q9H410')"
"('O95484', 'Q9Y5I7')"
"('P22694', 'Q14573')"
"('Q02156', 'Q9H492')"
"('P61421', 'O75390')"
"('Q9Y5K6', 'P06729')"
"('O60262', 'P04899')"
"('Q15714', 'Q9Y4W2')"
"('Q9Y2X8', 'Q9ULK6')"
"('P06241', 'P30273')"
"('Q15834', 'Q9HAF1')"
"('O43374', 'O14807')"
"('P46778', 'P83881')"
"('P62158', 'O14829')"
"('Q9Y4K3', 'P51148')"
"('P84090', 'O43809')"
"('P52564', 'O15105')"
"('Q01094', 'Q14790')"
"('Q12778', 'P35575')"
"('Q5VYV7', 'O60930')"
"('P63000', 'P61586')"
"('Q92574', 'Q9BVC4')"
"('P98160', 'P54259')"
"('P55795', 'Q8IWZ8')"
"('Q13523', 'A0JLT2')"
"('Q6XUX3', 'P61086')"
"('Q13561', 'P49006')"
"('Q9NPB6', 'Q9NQ66')"
"('P31946', 'Q13627')"
"('Q9UJT2', 'P00519')"
"('Q13158', 'Q6WCQ1')"
"('P08069', 'P36507')"
"('O95786', 'Q15366')"
"('P45984', 'Q8WWQ8')"
"('Q6UB35', 'Q9Y5J5')"
"('O95628', 'Q969T4')"
"('Q92985', 'P21580')"
"('Q96EE3', 'Q9BW27')"
"('P41743', 'Q8TEW0')"
"('P67775', 'O43318')"
"('O95835', 'P58012')"
"('P09382', 'O14893')"
"('P36542', 'Q96IZ0')"
"('Q86X55', 'Q04206')"
"('O95757', 'Q9Y478')"
"('P01889', 'P47914')"
"('Q9Y490', 'P26012')"
"('Q15475', 'P12830')"
"('P37198', 'O60941')"
"('P05198', 'O15371')"
"('P68400', 'P14625')"
"('Q96BN2', 'P06899')"
"('P63267', 'P35749')"
"('Q13813', 'O43491')"
"('Q12788', 'Q9NZM3')"
"('P10415', 'P55957')"
"('Q12933', 'Q13748')"
"('O75971', 'O94818')"
"('Q13617', 'Q9Y376')"
"('P01876', 'Q9C093')"
"('Q6UUV9', 'P18846')"
"('P24522', 'Q8IWV7')"
"('O14730', 'P62158')"
"('Q9H1D9', 'Q9BUI4')"
"('P02652', 'P02654')"
"('P04049', 'P98170')"
"('Q05513', 'P19883')"
"('Q96KM6', 'P35580')"
"('P05067', 'P16220')"
"('Q9BQ83', 'P25787')"
"('Q9BQ52', 'Q9UHX1')"
"('O95685', 'P61981')"
"('Q16595', 'O75439')"
"('O15105', 'Q8TEW0')"
"('O15264', 'Q8NC51')"
"('P67870', 'Q6UXH1')"
"('P17677', 'P62158')"
"('Q9HAV5', 'Q9Y4K3')"
"('Q16543', 'O15519')"
"('P20226', 'P15036')"
"('Q13797', 'P26006')"
"('P09497', 'P53680')"
"('P61244', 'O75928')"
"('Q8N5A5', 'O95983')"
"('P78352', 'Q05586')"
"('P43235', 'P55957')"
"('O14818', 'Q9GZN1')"
"('Q16186', 'P60900')"
"('O60674', 'P42338')"
"('P04626', 'Q92729')"
"('O60739', 'Q6PKG0')"
"('Q7Z333', 'P63279')"
"('O14512', 'P23458')"
"('Q9Y5J5', 'O60762')"
"('Q13363', 'P06400')"
"('P46779', 'P05386')"
"('P28221', 'P63096')"
"('A8MW92', 'P68431')"
"('P23470', 'Q02763')"
"('P01889', 'O95834')"
"('P49703', 'Q14232')"
"('Q8TAD8', 'Q09472')"
"('P62280', 'P62244')"
"('Q96BR1', 'Q96J02')"
"('P42574', 'Q04637')"
"('Q14164', 'O00264')"
"('Q9Y2S7', 'P16870')"
"('Q9NSC5', 'P42336')"
"('P27986', 'Q14289')"
"('Q93009', 'P98177')"
"('Q9H492', 'Q9GZQ8')"
"('P52333', 'P42224')"
"('Q15303', 'P42336')"
"('O95998', 'Q9NZH6')"
"('P15170', 'P11940')"
"('P51532', 'P04150')"
"('Q13177', 'Q13404')"
"('Q6P1J9', 'Q9GZS3')"
"('O15265', 'P62191')"
"('Q92997', 'Q9Y2T1')"
"('Q15759', 'Q8IW41')"
"('P27361', 'Q15583')"
"('Q9UMX1', 'Q96H86')"
"('P11362', 'Q14974')"
"('Q9UP38', 'O75581')"
"('Q92870', 'Q9HCE7')"
"('Q9GZZ9', 'P13798')"
"('Q9NRH1', 'O95568')"
"('P01562', 'P38484')"
"('P07900', 'O14746')"
"('O43707', 'Q9Y572')"
"('Q13465', 'Q13547')"
"('O95163', 'O14530')"
"('P62917', 'P62906')"
"('P54257', 'Q9H0I3')"
"('P63104', 'P06748')"
"('P30044', 'Q14164')"
"('Q8TAI7', 'Q15797')"
"('P63104', 'Q9UQC2')"
"('Q9P2H0', 'O75665')"
"('P11171', 'P52292')"
"('P21675', 'P62807')"
"('P10145', 'P49238')"
"('Q92569', 'P40763')"
"('P51817', 'P10071')"
"('Q9HAU4', 'Q9BUZ4')"
"('Q9BRX2', 'Q99459')"
"('Q13224', 'P23470')"
"('Q96PK6', 'P13010')"
"('O00591', 'O95166')"
"('P16234', 'Q96B97')"
"('P17612', 'P17302')"
"('Q92797', 'Q05048')"
"('P23763', 'O00161')"
"('O15145', 'Q96G74')"
"('Q16620', 'P16885')"
"('Q96G01', 'P49841')"
"('P78396', 'P12956')"
"('O43294', 'P37173')"
"('Q9UKE5', 'P62263')"
"('Q86X55', 'Q01201')"
"('Q8TCT6', 'Q8NFH3')"
"('Q4V326', 'Q8NEA9')"
"('Q9GZT6', 'Q16637')"
"('Q13526', 'P11171')"
"('O14544', 'Q8N6P7')"
"('P43246', 'Q14451')"
"('Q9H0H5', 'P63010')"
"('P41217', 'P10914')"
"('Q16630', 'Q99504')"
"('P21266', 'P01243')"
"('Q9C0A6', 'Q7Z7J5')"
"('P62913', 'P05386')"
"('Q9NYD6', 'P00533')"
"('P01106', 'O00154')"
"('P22694', 'O14610')"
"('P15923', 'Q9Y265')"
"('Q13315', 'Q9NRN7')"
"('Q9P0W0', 'Q01344')"
"('P08581', 'P46109')"
"('Q8IUE6', 'Q9UBN7')"
"('Q9UBN7', 'P17252')"
"('Q13315', 'Q8N302')"
"('Q9Y6N6', 'P05556')"
"('Q14683', 'Q9NP77')"
"('Q13573', 'Q9UQ35')"
"('Q8IYH5', 'O75478')"
"('Q86XR8', 'P51668')"
"('Q9UHR5', 'P49841')"
"('O60477', 'P43360')"
"('Q9Y375', 'P07355')"
"('P05230', 'P21802')"
"('Q9NWB1', 'Q99700')"
"('P05387', 'Q92901')"
"('P20226', 'Q00613')"
"('Q14161', 'Q86VW2')"
"('Q8NGR2', 'P38405')"
"('O60739', 'Q14D04')"
"('Q9BWD1', 'O95467')"
"('Q14315', 'P08514')"
"('Q9Y2Y4', 'P54253')"
"('Q8IUQ4', 'Q9H9Q2')"
"('Q9H9Q2', 'P61201')"
"('P24534', 'Q9H1Y0')"
"('Q96A65', 'Q96EV8')"
"('O14519', 'O75956')"
"('Q96EE3', 'Q9NRG9')"
"('P40939', 'O95166')"
"('P55036', 'P41134')"
"('Q8WUI4', 'P16104')"
"('P08575', 'P19235')"
"('Q15038', 'P0CG47')"
"('O15239', 'O00217')"
"('Q13315', 'P27707')"
"('Q14781', 'Q93009')"
"('P09529', 'P08476')"
"('O43674', 'P03886')"
"('P04156', 'Q9Y3Q8')"
"('P22459', 'P21673')"
"('Q9BUV8', 'Q9UGJ1')"
"('P62273', 'P46781')"
"('Q96ST3', 'Q5THR3')"
"('Q07890', 'P36507')"
