negatives
"('Q13618', 'Q13263')"
"('Q96LI6', 'Q96AV8')"
"('Q8TAF3', 'P67870')"
"('Q8TEA1', 'Q96AT9')"
"('Q58FF6', 'P31749')"
"('P15336', 'P84022')"
"('P78527', 'P60520')"
"('Q15843', 'P09651')"
"('P05067', 'Q8NFV4')"
"('Q8TB24', 'Q9UID6')"
"('P23508', 'P37802')"
"('O14980', 'O43747')"
"('Q8N4C6', 'Q9BT92')"
"('O00567', 'Q9Y2X3')"
"('P14672', 'P50454')"
"('Q15691', 'P02751')"
"('Q14566', 'P19320')"
"('P62873', 'Q13153')"
"('Q9Y3Q8', 'Q15013')"
"('P61960', 'O15382')"
"('P62857', 'P08865')"
"('Q8WXA8', 'Q96S06')"
"('P29401', 'P05161')"
"('Q9Y3I1', 'Q99873')"
"('O43678', 'Q12906')"
"('P49736', 'P60866')"
"('P60201', 'Q9UBY8')"
"('Q92945', 'Q13618')"
"('Q9BV57', 'O95817')"
"('P63104', 'Q9NZJ0')"
"('Q13190', 'Q13277')"
"('Q13243', 'Q86V81')"
"('O43175', 'P00966')"
"('Q8IXZ2', 'Q8TCC3')"
"('Q96GG9', 'P61586')"
"('P63244', 'Q02156')"
"('Q96CW5', 'Q7L190')"
"('P29016', 'Q8WVV5')"
"('P40692', 'O95831')"
"('P17252', 'O14640')"
"('P04637', 'P52701')"
"('P20810', 'P28066')"
"('P17066', 'P11021')"
"('Q16543', 'Q9Y6K9')"
"('Q07890', 'O00212')"
"('P05129', 'Q9NY46')"
"('O95573', 'O60488')"
"('Q9BRA0', 'P42704')"
"('Q641Q2', 'Q9P2R3')"
"('Q06830', 'Q05086')"
"('Q01167', 'P46821')"
"('O75716', 'P19419')"
"('Q96K62', 'P63279')"
"('P11686', 'O00308')"
"('Q14964', 'P61006')"
"('P09936', 'P13473')"
"('P49917', 'P03905')"
"('P28482', 'P15036')"
"('P06576', 'Q16637')"
"('Q13895', 'Q13422')"
"('Q15717', 'Q86VP6')"
"('P32119', 'Q9NXV2')"
"('P51153', 'B7ZAP0')"
"('P54725', 'Q12933')"
"('P40855', 'Q8N2K0')"
"('Q8TF72', 'Q92731')"
"('Q12947', 'Q9H6X2')"
"('Q9BUG6', 'P05067')"
"('Q9BQ48', 'Q13595')"
"('P19338', 'P37198')"
"('Q9HD26', 'P01860')"
"('Q12948', 'Q9UKB1')"
"('P55316', 'Q5UIP0')"
"('P61247', 'O75147')"
"('P48681', 'Q8IYB3')"
"('B2RXF5', 'Q9H2F3')"
"('P16035', 'Q9Y617')"
"('Q13619', 'Q92905')"
"('P01023', 'Q86Z02')"
"('P21980', 'Q9BUJ2')"
"('O95503', 'Q5M9N0')"
"('Q9NP92', 'Q9BYD6')"
"('P78362', 'Q08AN1')"
"('Q15561', 'Q08379')"
"('P18031', 'Q8IWL3')"
"('Q9Y6X2', 'Q15796')"
"('Q8WZA2', 'Q9UQ26')"
"('Q86X19', 'Q5EBL8')"
"('P09471', 'Q3MJ16')"
"('P55061', 'Q96HJ5')"
"('Q96HR8', 'Q9ULW3')"
"('Q9UIC8', 'Q15750')"
"('Q92973', 'Q9BUR4')"
"('Q9H0H5', 'Q15257')"
"('P18887', 'Q07021')"
"('Q8TAF3', 'Q6PI26')"
"('Q16254', 'Q09472')"
"('O94761', 'Q96EB6')"
"('Q14151', 'O00159')"
"('Q13595', 'Q99728')"
"('Q92947', 'Q16543')"
"('Q9Y3R0', 'Q14416')"
"('Q15034', 'Q9UBU9')"
"('P0C7P0', 'Q7L2E3')"
"('Q8N9I9', 'Q96E35')"
"('O95619', 'P14854')"
"('Q16773', 'Q15645')"
"('Q9UK53', 'P04637')"
"('Q9Y496', 'Q76I76')"
"('P15880', 'Q96GM8')"
"('P12814', 'Q9UPT5')"
"('A1L0T0', 'O75170')"
"('P51531', 'Q15326')"
"('P63165', 'P30044')"
"('Q13535', 'Q6NUN0')"
"('Q13310', 'P55769')"
"('P25786', 'P60520')"
"('Q53F19', 'Q16666')"
"('Q0VD86', 'Q9HC98')"
"('O96024', 'Q9Y4D1')"
"('Q9UPQ3', 'Q9UHP6')"
"('P62136', 'P43243')"
"('Q9UI26', 'O60939')"
"('Q6A162', 'Q3KQV3')"
"('P03372', 'Q9UQ13')"
"('Q9NU22', 'Q9H0W5')"
"('P12004', 'Q9UGP5')"
"('P19320', 'P39656')"
"('Q16629', 'Q9GZQ8')"
"('P83731', 'P42766')"
"('Q13976', 'P35520')"
"('O75306', 'P01106')"
"('Q8TBN0', 'O75031')"
"('Q8IX12', 'O75937')"
"('P34897', 'Q9H246')"
"('P61968', 'Q13625')"
"('Q8NFJ6', 'P24593')"
"('Q9H9S0', 'Q9C005')"
"('Q9NY59', 'Q15047')"
"('O14640', 'Q6ZSZ5')"
"('O95478', 'Q96HE9')"
"('Q96NS8', 'Q5JVL4')"
"('Q14005', 'O15379')"
"('Q9BRS2', 'Q9NRD1')"
"('P01100', 'Q08AD1')"
"('O95817', 'P63279')"
"('Q9UK11', 'P60409')"
"('Q96FW1', 'O00483')"
"('Q9H5X1', 'P48200')"
"('P21283', 'P50552')"
"('Q96MK2', 'Q13077')"
"('O75438', 'Q01844')"
"('O00422', 'P84103')"
"('P32121', 'Q8NGK9')"
"('Q9H0I2', 'Q8IXK0')"
"('P49746', 'Q9NXL9')"
"('P61956', 'P07602')"
"('P52789', 'O75208')"
"('Q8NHR7', 'P05067')"
"('Q8IXK0', 'Q9UN30')"
"('O00567', 'Q71U36')"
"('Q9P035', 'Q6NUS6')"
"('P49917', 'Q9Y230')"
"('Q86VP6', 'P35659')"
"('Q9UBU7', 'P33991')"
"('Q96HB5', 'Q96GM5')"
"('Q7Z6B0', 'Q9H8V3')"
"('Q93052', 'Q9UBE0')"
"('P35544', 'Q86VP6')"
"('P55072', 'Q5T1M5')"
"('Q06546', 'P05067')"
"('P43699', 'Q15788')"
"('P63151', 'O00305')"
"('P12235', 'Q96L21')"
"('O43741', 'P46976')"
"('O60907', 'Q9H9S0')"
"('P68036', 'Q96EP5')"
"('Q9BUB5', 'P62937')"
"('Q8WV74', 'Q8TB22')"
"('Q9H4P4', 'P00533')"
"('Q9NZP0', 'P38405')"
"('P25101', 'O43760')"
"('Q8WVL7', 'P34897')"
"('P31942', 'P16104')"
"('Q8NHX4', 'Q9BYR5')"
"('Q2KHM9', 'Q9BT25')"
"('P61224', 'P82673')"
"('P49715', 'Q12778')"
"('O14561', 'O75251')"
"('Q9UHP3', 'Q9BTV4')"
"('P63162', 'P31947')"
"('Q6PJ21', 'Q15369')"
"('O43559', 'Q07627')"
"('P32121', 'Q9UGF6')"
"('Q9C0C2', 'P49736')"
"('Q8N752', 'P19438')"
"('P31943', 'P35244')"
"('P42338', 'P20339')"
"('P17252', 'O96004')"
"('Q9HCK8', 'Q86T82')"
"('Q16643', 'O15144')"
"('P41182', 'P32519')"
"('O43143', 'P61981')"
"('P68104', 'Q03518')"
"('P42858', 'Q13882')"
"('Q6P1J9', 'Q9UBC3')"
"('O95166', 'Q15334')"
"('P37231', 'P07148')"
"('P62851', 'Q6NT76')"
"('O60675', 'Q92769')"
"('P27986', 'O14964')"
"('P15884', 'Q09472')"
"('Q9UK80', 'Q9UHB6')"
"('Q15750', 'P07900')"
"('Q9NP64', 'Q9H307')"
"('Q02543', 'P62913')"
"('Q13561', 'O95257')"
"('P42566', 'P62140')"
"('Q9UBU9', 'A7KAX9')"
"('Q9BZW7', 'Q8WZ42')"
"('P28482', 'P46109')"
"('Q13315', 'Q8WX93')"
"('P10275', 'O95251')"
"('Q96BK5', 'Q66LE6')"
"('Q9BUH8', 'P15622')"
"('Q15011', 'P62987')"
"('P29803', 'Q8IWL3')"
"('Q9Y3C8', 'P49773')"
"('Q9Y2Z0', 'Q5SW79')"
"('P62241', 'P46782')"
"('O43291', 'Q13433')"
"('Q8NE86', 'Q96QD8')"
"('P10275', 'O14529')"
"('P0DP23', 'Q96HU8')"
"('P37231', 'P48443')"
"('Q9H9Y6', 'Q86U70')"
"('P07355', 'Q8N6T7')"
"('Q99496', 'Q12933')"
"('Q8IYR6', 'Q9H1A3')"
"('Q16629', 'O75530')"
"('Q13009', 'P62745')"
"('O00308', 'O14828')"
"('P22694', 'O75385')"
"('P22695', 'Q9UI09')"
"('Q16576', 'Q8IVT5')"
"('P16144', 'Q14315')"
"('Q12923', 'P35222')"
"('P40337', 'P62807')"
"('P60709', 'P01730')"
"('P63104', 'Q05086')"
"('Q9Y6M9', 'Q12906')"
"('Q86UK7', 'O43638')"
"('Q15459', 'Q9UQ80')"
"('P57678', 'Q52LG2')"
"('Q9H2G9', 'Q7L273')"
"('P61006', 'Q5BJF6')"
"('Q86V81', 'Q15022')"
"('P61421', 'Q9UHA4')"
"('P17252', 'P29350')"
"('Q9Y285', 'Q6NUN9')"
"('Q92844', 'Q13323')"
"('O75665', 'Q9UPU7')"
"('O75626', 'Q04725')"
"('Q9P0L0', 'Q9H089')"
"('Q01813', 'Q8NEZ3')"
"('Q9NZL4', 'Q5UIP0')"
"('P21283', 'Q15631')"
"('Q92540', 'Q99598')"
"('Q8IU60', 'Q9HBV2')"
"('Q9BYR3', 'Q9BYS1')"
"('Q7L2J0', 'P23396')"
"('P13010', 'P38432')"
"('P51617', 'P34932')"
"('Q9NRC8', 'O00410')"
"('Q14738', 'P62714')"
"('Q8WU58', 'O95429')"
"('Q02410', 'O14618')"
"('P05412', 'Q15050')"
"('P43364', 'A6NK75')"
"('Q92882', 'P48023')"
"('Q8N4P2', 'O14681')"
"('P12830', 'Q8TDY2')"
"('Q13501', 'Q13573')"
"('Q13635', 'Q8IWU5')"
"('Q9BZI7', 'P61619')"
"('Q9UJ04', 'Q9BQ90')"
"('P12830', 'Q96JQ2')"
"('Q66GS9', 'Q8WWI1')"
"('P11233', 'P51178')"
"('Q08380', 'P48643')"
"('P08473', 'P62888')"
"('O14980', 'Q96CT7')"
"('P33778', 'Q9UBN7')"
"('Q9P2W3', 'Q02548')"
"('O60783', 'P39210')"
"('P78344', 'P60842')"
"('O43422', 'P19525')"
"('O75190', 'Q9Y468')"
"('Q8N201', 'P35244')"
"('Q15382', 'Q13393')"
"('Q9BYC9', 'Q15811')"
"('Q05397', 'Q9H3S7')"
"('P24394', 'P43405')"
"('Q96QV6', 'Q99877')"
"('P54652', 'O95429')"
"('Q96S82', 'Q9UMX0')"
"('Q96P20', 'Q13185')"
"('Q13617', 'Q14103')"
"('Q6XUX3', 'Q13257')"
"('Q01850', 'Q16512')"
"('P58004', 'Q9NXC5')"
"('P11309', 'Q8N7W2')"
"('Q4V328', 'Q3B820')"
"('Q9UL46', 'O00231')"
"('O43896', 'Q14966')"
"('Q04727', 'P18146')"
"('Q9C030', 'Q13263')"
"('P51149', 'O43633')"
"('O60504', 'O14512')"
"('P10515', 'P10606')"
"('Q15717', 'Q8N6D2')"
"('P24941', 'O00159')"
"('Q9UBB9', 'Q7Z7C7')"
"('P63173', 'P60866')"
"('P21980', 'Q9BXM7')"
"('Q13315', 'Q9BSD3')"
"('Q5T2W1', 'Q06495')"
"('Q9UHB6', 'Q9NR28')"
"('P11142', 'O75530')"
"('Q9NRX1', 'O43147')"
"('P23528', 'P05161')"
"('Q9H2X0', 'A8MQ03')"
"('Q9BRK4', 'Q504Q3')"
"('Q8NC26', 'P67775')"
"('Q7Z7H5', 'Q15717')"
"('Q16513', 'Q9P2P5')"
"('Q13007', 'Q14790')"
"('Q4VCS5', 'P68133')"
"('Q06609', 'Q13007')"
"('P17025', 'P03372')"
"('Q96EY5', 'A5D8V6')"
"('P49458', 'Q96FW1')"
"('Q13151', 'P50750')"
"('P00533', 'Q6P1N0')"
"('Q5VVX9', 'Q86Y01')"
"('Q8NGH8', 'Q9P2W3')"
"('Q96BN2', 'Q16531')"
"('Q7Z7F0', 'Q8IUH5')"
"('P07900', 'O15392')"
"('Q9BYR3', 'Q9BYR9')"
"('Q8N205', 'P67870')"
"('P25705', 'P07237')"
"('P20248', 'Q96AB6')"
"('Q13573', 'P50552')"
"('Q8NHY5', 'Q9UIM3')"
"('Q8TAD4', 'Q9UGM1')"
"('Q9UI95', 'Q9UKT9')"
"('P26358', 'Q9NU63')"
"('P04629', 'P53004')"
"('Q96AQ6', 'Q8NI37')"
"('Q8NFW8', 'Q9NQ29')"
"('P17252', 'P16403')"
"('Q16181', 'Q02224')"
"('Q5T7N2', 'Q96KM6')"
"('P27824', 'P62820')"
"('Q6PF06', 'P82675')"
"('Q15257', 'P67775')"
"('Q13541', 'Q15257')"
"('Q15717', 'Q9Y4F3')"
"('Q9BYD6', 'Q5T653')"
"('Q96G21', 'O00566')"
"('P04844', 'P55072')"
"('P20336', 'P26374')"
"('P62913', 'P07355')"
"('P37840', 'O60716')"
"('Q16666', 'Q93009')"
"('P0C5Y9', 'P0C1H6')"
"('P0C0E4', 'Q12829')"
"('Q15717', 'Q9Y3P9')"
"('Q02413', 'P09651')"
"('P50502', 'P60981')"
"('Q96AE7', 'P51148')"
"('Q6P1W5', 'Q9NPG2')"
"('P62805', 'O00308')"
"('Q9C0D2', 'P37840')"
"('Q9Y463', 'P46734')"
"('O43463', 'O43167')"
"('P18583', 'Q99496')"
"('Q14103', 'O43157')"
"('P21359', 'Q5TCX8')"
"('P35222', 'P46531')"
"('O15355', 'Q9UIA9')"
"('Q9NWS6', 'Q8TBB1')"
"('Q14980', 'P46108')"
"('P00533', 'P17936')"
"('Q9GZR7', 'O00567')"
"('Q15052', 'O60880')"
"('P35227', 'Q9BSM1')"
"('Q15078', 'Q01105')"
"('O75762', 'P24588')"
"('P62195', 'P50213')"
"('O14964', 'P05783')"
"('P62244', 'P62191')"
"('P32121', 'Q8NGH7')"
"('P60520', 'P04908')"
"('O43251', 'Q8TB72')"
"('O14862', 'O60934')"
"('Q16643', 'Q16658')"
"('Q13952', 'P24522')"
"('Q6NZI2', 'Q8TBK6')"
"('P01871', 'P12018')"
"('P05387', 'P60866')"
"('P04629', 'Q15031')"
"('P60953', 'Q8IVI9')"
"('P47870', 'Q9UMX0')"
"('O00268', 'P21675')"
"('P25098', 'P47888')"
"('Q16795', 'Q9Y277')"
"('P80303', 'P08754')"
"('Q8WTP8', 'O43298')"
"('P01241', 'O60674')"
"('O60216', 'P60842')"
"('Q9Y4F3', 'Q9Y2I1')"
"('Q9UPZ9', 'P61421')"
"('Q92752', 'P25786')"
"('Q16666', 'Q9BXY0')"
"('O14647', 'P35232')"
"('Q969L2', 'O43889')"
"('Q86V81', 'Q13243')"
"('P57775', 'Q5VYV7')"
"('Q504Q3', 'P28289')"
"('Q9NZL4', 'Q15723')"
"('Q92879', 'P35226')"
"('P49736', 'P14618')"
"('P18146', 'P31749')"
"('P51003', 'P62140')"
"('P08727', 'P12035')"
"('P29590', 'Q13643')"
"('Q8WVM8', 'O75787')"
"('P08238', 'Q07912')"
"('Q5VT25', 'Q9NTI7')"
"('Q9Y4E8', 'P04637')"
"('P50750', 'Q14498')"
"('P83881', 'P27635')"
"('P01375', 'P19823')"
"('Q155Q3', 'Q96EM0')"
"('Q86WN2', 'P38484')"
"('P06748', 'O00425')"
"('Q15691', 'Q9C0B0')"
"('P23025', 'P27694')"
"('P22087', 'P15880')"
"('P51114', 'O95985')"
"('P20226', 'Q15544')"
"('Q14240', 'Q8TE73')"
"('Q9BPY3', 'Q9GZU7')"
"('O00189', 'P31751')"
"('Q9ULT6', 'Q9BXY4')"
"('Q92541', 'Q9UQ35')"
"('P35240', 'P26373')"
"('Q9BUR4', 'Q99973')"
"('Q15020', 'P19320')"
"('O43610', 'P50222')"
"('P01106', 'O95707')"
"('P52333', 'Q92783')"
"('O95816', 'Q9NYJ8')"
"('O00233', 'Q9NPH2')"
"('P01112', 'Q9NRM7')"
"('Q9GZN1', 'P62258')"
"('Q9UKF6', 'Q6UXN9')"
"('O94941', 'P55072')"
"('P62993', 'Q13480')"
"('Q9Y3E0', 'P45880')"
"('Q9HC77', 'Q15468')"
"('Q6P1K2', 'Q8N6Y0')"
"('Q15910', 'P55072')"
"('P50914', 'Q13823')"
"('Q9BV20', 'Q9NS87')"
"('P62917', 'Q9Y3U8')"
"('P28906', 'O95994')"
"('Q9P286', 'P52564')"
"('Q15170', 'Q14258')"
"('P15313', 'Q8WXR4')"
"('Q9Y2U9', 'Q9NX18')"
"('P00492', 'P22392')"
"('Q13263', 'O75376')"
"('Q9NPD3', 'Q8WW01')"
"('P35527', 'Q99963')"
"('P18124', 'Q12906')"
"('P20226', 'O75629')"
"('O15467', 'P46094')"
"('P14923', 'P12956')"
"('O00567', 'Q9H6F5')"
"('P24928', 'Q9NX70')"
"('Q15696', 'Q96LT9')"
"('P49773', 'Q9C0B0')"
"('O00303', 'P23508')"
"('Q9UJV9', 'O00148')"
"('P15924', 'P54819')"
"('Q9UNE7', 'P15559')"
"('P61619', 'O00410')"
"('O95169', 'P03901')"
"('O76031', 'O75208')"
"('Q6XQN6', 'P34897')"
"('O43482', 'P10606')"
"('O15226', 'Q04206')"
"('O14980', 'Q9NYZ3')"
"('Q8WUI4', 'P0C1H6')"
"('P62753', 'Q93034')"
"('P00390', 'P12955')"
"('O00303', 'Q7Z3B4')"
"('Q86U90', 'Q7L2J0')"
"('P42766', 'Q9HCK5')"
"('O75190', 'Q9BW83')"
"('P42858', 'Q9Y6E2')"
"('O14818', 'Q15843')"
"('P49069', 'P46695')"
"('P38936', 'Q9ULG1')"
"('O75533', 'P02751')"
"('Q9C000', 'Q309B1')"
"('Q5VWN6', 'Q9H6L4')"
"('P29466', 'O43353')"
"('Q14CZ7', 'P49748')"
"('Q14258', 'Q99816')"
"('Q13049', 'O15350')"
"('P03372', 'Q04206')"
"('Q99466', 'Q969H0')"
"('Q8IWL3', 'Q969V5')"
"('P10451', 'P26006')"
"('P26371', 'Q8NDP4')"
"('Q5T9L3', 'Q9HCE1')"
"('Q6P158', 'P06748')"
"('P67809', 'Q8WXX5')"
"('Q86UZ6', 'Q99666')"
"('P19838', 'Q13352')"
"('Q7L9L4', 'Q8WWW0')"
"('Q9Y520', 'Q96JN0')"
"('Q8WXX5', 'O95758')"
"('Q5S007', 'Q9NWZ8')"
"('P41134', 'Q00013')"
"('P24752', 'P0C7P4')"
"('Q8IXJ6', 'P68431')"
"('Q13464', 'Q9Y2I7')"
"('O43290', 'O43390')"
"('P98170', 'P38606')"
"('P61106', 'P53701')"
"('P49841', 'Q15459')"
"('P50222', 'P49747')"
"('Q14966', 'Q5VZ89')"
"('Q6NYC8', 'Q6A162')"
"('Q9NP55', 'P12035')"
"('Q9HAV0', 'A6PVS8')"
"('O14787', 'Q13895')"
"('Q8IVT5', 'Q9NQT8')"
"('Q9BQE3', 'Q16576')"
"('Q8IYM1', 'P52306')"
"('Q6A162', 'P43115')"
"('O15014', 'P54253')"
"('P06748', 'Q14451')"
"('Q13510', 'Q9NRD1')"
"('P21980', 'O43295')"
"('Q9UJX4', 'P60484')"
"('P08559', 'Q9NS69')"
"('P59768', 'P51828')"
"('O75208', 'Q8WWV3')"
"('Q9UN86', 'Q9GZR7')"
"('P49915', 'P00491')"
"('Q9UN19', 'P19174')"
"('Q9BYQ3', 'Q5TA82')"
"('P63244', 'Q12888')"
"('P0CG04', 'Q14999')"
"('O95391', 'Q6P2Q9')"
"('P26373', 'P61927')"
"('Q13618', 'P52907')"
"('Q96PK6', 'P35244')"
"('P05141', 'Q92731')"
"('Q15834', 'P13805')"
"('Q13021', 'Q9UJ14')"
"('Q9BWU1', 'O14744')"
"('Q68CZ1', 'Q9BT92')"
"('P14866', 'Q92616')"
"('O75791', 'P00519')"
"('O43508', 'Q96FW1')"
"('C9JH25', 'P04629')"
"('P33241', 'Q13296')"
"('Q8N4S9', 'Q86X19')"
"('Q15390', 'Q13526')"
"('Q9Y2I6', 'Q6ZRV2')"
"('O15371', 'Q99684')"
"('Q9UPM9', 'P50991')"
"('P10768', 'P23508')"
"('Q92664', 'Q9NZZ3')"
"('Q14565', 'Q9H8Y8')"
"('P08913', 'Q14232')"
"('O75529', 'Q16531')"
"('P23258', 'P00533')"
"('Q8IZH2', 'O14980')"
"('Q92831', 'Q15788')"
"('P08631', 'P42229')"
"('Q9GZQ8', 'P38646')"
"('Q96HR8', 'P55081')"
"('Q9NZQ3', 'P46108')"
"('P53350', 'Q9Y4E8')"
"('Q13501', 'Q9UBG3')"
"('P18848', 'P53567')"
"('Q9NVA1', 'Q01850')"
"('Q7Z6Z7', 'P62917')"
"('Q9NPJ3', 'P24941')"
"('P49407', 'Q8NGP4')"
"('Q9UJV3', 'A8K8V0')"
"('P35968', 'P08581')"
"('P48507', 'Q9BRT8')"
"('A1A4S6', 'Q9HBH0')"
"('Q92900', 'O14862')"
"('P60033', 'P46777')"
"('P55263', 'P18146')"
"('O43559', 'Q8IUC1')"
"('Q96PF1', 'P52597')"
"('P10644', 'P62136')"
"('Q9UKT9', 'Q8WW24')"
"('P42345', 'P27918')"
"('P15104', 'P63279')"
"('O60293', 'A6NIH7')"
"('Q8WXK4', 'Q15369')"
