negatives
"('Q9Y4K3', 'P48047')"
"('Q9Y243', 'O43524')"
"('P00519', 'P15586')"
"('O60506', 'Q9UL18')"
"('P61604', 'Q9H1Y0')"
"('Q9H1Q7', 'O15162')"
"('P43358', 'P01891')"
"('P01106', 'Q14289')"
"('P60660', 'P63261')"
"('P62906', 'P43146')"
"('Q16566', 'Q8TEY5')"
"('Q5JZY3', 'P16220')"
"('P62993', 'O14522')"
"('Q9NRF9', 'P51610')"
"('Q8IWE5', 'Q9Y6F1')"
"('O15162', 'P28070')"
"('O15444', 'P61073')"
"('O14964', 'P83436')"
"('P32121', 'Q9Y2T4')"
"('Q96L34', 'Q15831')"
"('P11021', 'P49642')"
"('P40337', 'P47813')"
"('Q8N1I0', 'P60953')"
"('P29322', 'Q8N5V2')"
"('P17252', 'Q9NQA5')"
"('P62826', '26012')"
"('Q15078', 'O75569')"
"('P01138', 'P07333')"
"('Q9NPB6', 'Q9HCE7')"
"('P21781', 'P11362')"
"('O14936', 'P18827')"
"('O94806', 'P19883')"
"('P84022', 'Q12955')"
"('P12956', 'Q96FF9')"
"('Q9Y478', 'P58546')"
"('O75937', 'O60508')"
"('Q13522', 'Q9UD71')"
"('O75643', 'Q15428')"
"('Q99973', 'P17252')"
"('P35251', 'Q9UJX2')"
"('P14859', 'P12956')"
"('P19174', 'P07949')"
"('P43489', 'O00463')"
"('P08107', 'P61073')"
"('P62273', 'P62081')"
"('Q15365', 'P31943')"
"('P50150', 'Q00722')"
"('406886', 'Q9H9Z2')"
"('Q13432', 'P55774')"
"('Q9Y2P4', 'P08670')"
"('Q96KM6', 'P07947')"
"('O14965', 'Q9ULW0')"
"('O43524', 'P84022')"
"('P26022', 'O00602')"
"('Q01094', 'P99999')"
"('O15105', 'P37173')"
"('Q13115', 'P28482')"
"('Q13813', 'Q9UDY2')"
"('Q9NQT4', 'Q9NQT5')"
"('Q5JWF2', 'P50150')"
"('Q01538', 'P06493')"
"('P36954', 'P30876')"
"('Q16816', 'P62158')"
"('P62993', 'O75167')"
"('Q16695', 'P05787')"
"('P17542', 'Q9BWW4')"
"('Q16777', 'P07288')"
"('P08138', 'P04629')"
"('Q9Y3C5', 'Q9NWF9')"
"('P35626', 'Q8NGQ2')"
"('P27986', 'O15085')"
"('P35609', 'P12694')"
"('P0C5Z0', 'Q99880')"
"('Q9UBI6', 'P48051')"
"('P35244', 'Q13156')"
"('Q16625', 'O95832')"
"('Q5JY77', 'Q96KB5')"
"('Q04206', 'Q92985')"
"('Q12933', 'Q06187')"
"('P14136', 'P12931')"
"('Q86UD3', 'Q96LR5')"
"('O43157', 'P61587')"
"('Q9BV38', 'Q16637')"
"('P40429', 'Q07021')"
"('Q9UBT7', 'Q96PY6')"
"('Q9UMS4', 'O75934')"
"('O95139', 'O43676')"
"('Q86X55', 'Q09472')"
"('O75367', 'Q15910')"
"('P04637', 'O43524')"
"('Q5TCQ9', 'O14514')"
"('O14497', 'Q96GM5')"
"('Q05086', 'Q6PJ69')"
"('Q6P4I2', 'Q15038')"
"('P22090', 'P62244')"
"('Q7Z7J5', 'P15622')"
"('P16220', 'P51816')"
"('P10275', 'Q15788')"
"('Q96RG2', 'Q5TH69')"
"('P62158', 'Q9H2S1')"
"('P52815', 'Q9NW97')"
"('Q96MF7', 'Q9NYB0')"
"('P10242', 'Q00610')"
"('O14744', 'Q8N2W9')"
"('P51787', 'Q9Y4K3')"
"('P98170', 'P0CG48')"
"('Q9UKV8', 'Q02543')"
"('Q92620', 'P55795')"
"('Q13424', 'P15248')"
"('Q15768', 'P49796')"
"('Q9UKV3', 'A0JLT2')"
"('Q9UBF6', 'P55210')"
"('P51654', 'Q93098')"
"('P09234', 'Q14103')"
"('O95881', 'P16104')"
"('P14770', 'P07948')"
"('Q13123', 'P35080')"
"('P46779', 'P05388')"
"('Q9H307', 'Q13573')"
"('Q14181', 'Q9UBN7')"
"('P78423', 'P46092')"
"('Q8N5F7', 'Q14498')"
"('Q08043', 'P63104')"
"('Q9UKT7', 'Q49AN0')"
"('P02647', 'P69905')"
"('Q96SN8', 'Q9P2P6')"
"('Q14201', 'O15055')"
"('P29590', 'Q92547')"
"('Q4ZIN3', 'Q86WV6')"
"('O14786', 'P35968')"
"('Q99750', 'Q01844')"
"('P34932', 'Q15750')"
"('Q86U86', 'P06400')"
"('Q01094', 'Q9Y6Q9')"
"('Q92569', 'Q9P2H0')"
"('O14920', 'O43524')"
"('Q8WUM0', 'Q8NFH4')"
"('P52298', 'Q16630')"
"('Q9UHV2', 'P62745')"
"('P10275', 'O00459')"
"('P41586', 'P84996')"
"('P17612', 'Q92806')"
"('Q15560', 'Q12933')"
"('P05387', 'P62945')"
"('Q86UX7', 'Q01780')"
"('P52952', 'Q99593')"
"('406953', 'P07996')"
"('P26641', 'Q13332')"
"('P13010', 'Q86WJ1')"
"('P25942', 'O00463')"
"('P16220', 'Q9Y6F9')"
"('Q09428', 'O00555')"
"('Q16718', 'P28331')"
"('P01106', 'P52735')"
"('Q6ZVT0', 'P55209')"
"('P84022', 'P28749')"
"('P46782', 'Q9Y6K9')"
"('P01566', 'Q99062')"
"('P54619', 'Q16877')"
"('Q16531', 'Q8N5D0')"
"('Q13813', 'O43707')"
"('P62136', 'P54840')"
"('Q13247', 'P26368')"
"('Q9Y4G8', 'Q9Y3A3')"
"('P25490', 'Q96EZ8')"
"('P40337', 'P68036')"
"('Q6VMQ6', 'P61247')"
"('P53708', 'P05556')"
"('Q8NGL9', 'P38405')"
"('Q9BUZ4', 'A8MVU1')"
"('O00463', 'P42338')"
"('Q16637', 'Q9UMN6')"
"('P36897', 'O95747')"
"('P55060', 'P48552')"
"('P01889', 'P37108')"
"('Q13177', 'Q99759')"
"('Q13315', 'Q13098')"
"('O14662', 'Q9UEU0')"
"('Q93079', 'Q9UPS6')"
"('P49069', 'Q9Y4K3')"
"('P01106', 'P58317')"
"('P20810', 'P12931')"
"('P05387', 'P27635')"
"('P42229', 'P10828')"
"('Q07817', 'O14727')"
"('Q9P2H0', 'Q8WVZ9')"
"('P23511', 'O60902')"
"('P51991', 'P35637')"
"('P00734', 'P05121')"
"('Q5BKZ1', 'O95343')"
"('P60900', 'P28074')"
"('Q9H9G7', 'P23588')"
"('Q3ZCQ8', 'P04049')"
"('P62258', 'P61981')"
"('Q92754', 'P04637')"
"('Q7Z2E3', 'P18887')"
"('P20700', 'P05771')"
"('P18031', 'P08581')"
"('O95837', 'Q9NQ66')"
"('P62266', 'P23396')"
"('P56524', 'Q99880')"
"('Q9H2G2', 'Q9BZJ6')"
"('Q9NYY1', 'Q13261')"
"('Q13451', 'O15111')"
"('O15198', 'Q6PGP7')"
"('P63167', 'Q13409')"
"('Q9H063', 'O95989')"
"('P01106', 'Q969G3')"
"('P17301', 'Q07889')"
"('Q13557', 'Q8TEY5')"
"('Q13485', 'Q92985')"
"('Q14164', 'O60493')"
"('Q6UWE0', 'Q9UQ53')"
"('P45983', 'Q96LC9')"
"('Q14164', 'O60925')"
"('Q13315', 'Q5TCZ1')"
"('P41586', 'P50150')"
"('P62745', 'P51955')"
"('P62258', 'P10398')"
"('P78560', 'Q5T3J3')"
"('P20339', 'Q9H223')"
"('Q09472', 'Q08881')"
"('Q9NVC6', 'Q86YW9')"
"('Q14192', 'Q13485')"
"('P27986', 'P49841')"
"('P49006', 'Q13561')"
"('406979', 'P43354')"
"('Q9Y5N6', 'P33991')"
"('Q14919', 'Q9HCE6')"
"('P17844', 'O76070')"
"('P83731', 'P46777')"
"('Q9NPH9', 'Q5VWK5')"
"('P52948', 'O75694')"
"('P12236', 'P19838')"
"('Q5VU97', 'Q9HCS7')"
"('Q13535', 'Q5TCZ1')"
"('P01112', 'Q13393')"
"('Q969Q6', 'Q8WXS5')"
"('P10398', 'Q02833')"
"('P67870', 'Q8WW35')"
"('P60673', 'Q07890')"
"('Q96QB1', 'O43521')"
"('Q9Y6W5', 'Q9P2A4')"
"('Q08AD1', 'Q99986')"
"('Q14498', 'Q15287')"
"('Q9UQM7', 'Q8WXS5')"
"('Q14181', 'P09884')"
"('Q09472', 'P78396')"
"('Q9NPJ6', 'Q96CW1')"
"('P29466', 'P10275')"
"('Q99750', 'Q96H86')"
"('P04198', 'O14965')"
"('P61313', 'P46777')"
"('P06748', 'P10144')"
"('P62854', 'P62263')"
"('Q86Y56', 'P62330')"
"('Q7KZI7', 'Q99759')"
"('O95178', 'P03905')"
"('P48643', 'Q99759')"
"('Q9NUP9', 'P13569')"
"('Q13315', 'Q9NS23')"
"('P26006', 'Q07890')"
"('O60841', 'P47813')"
"('O00141', 'P15311')"
"('Q99576', 'Q15648')"
"('Q10570', 'Q6UN15')"
"('Q9HB09', 'Q07817')"
"('Q15843', 'Q03468')"
"('Q96KQ7', 'P38936')"
"('Q9UJX2', 'Q96T88')"
"('P32456', 'P21673')"
"('Q9NPC1', 'O95837')"
"('Q9UHG3', 'Q15910')"
"('Q15750', 'P05386')"
"('P45985', 'O15169')"
"('P08123', 'P05106')"
"('P63279', 'Q6ZNA4')"
"('Q969Q1', 'Q14192')"
"('Q9H9H4', 'Q9Y5K6')"
"('P05412', 'P53539')"
"('P38398', 'Q8NFD5')"
"('P32456', 'Q92734')"
"('Q8ND90', 'O43303')"
"('P27540', 'Q8IUM7')"
"('P36896', 'Q9UER7')"
"('P62807', 'Q14164')"
"('Q13315', 'Q9UPP5')"
"('Q8IXM3', 'Q14197')"
"('Q9UER7', 'Q99683')"
"('P19387', 'P51681')"
"('O75293', 'O95067')"
"('P25054', 'P35580')"
"('P43246', 'P40692')"
"('Q03468', 'P28715')"
"('Q9BUZ4', 'O43294')"
"('Q9UKF5', 'Q9NYB9')"
"('Q9Y244', 'P28070')"
"('P63261', 'Q15942')"
"('P63104', 'Q9Y3S1')"
"('Q9HAV0', 'Q8TCU6')"
"('O95433', 'O75365')"
"('P62917', 'P61353')"
"('Q5JSL3', 'P52198')"
"('P49815', 'Q04917')"
"('P45973', 'P68431')"
"('Q07869', 'P19793')"
"('Q8N349', 'P38405')"
"('P55210', 'O00273')"
"('Q9HCP0', 'O14640')"
"('P06241', 'Q13444')"
"('P12883', 'Q9P2M7')"
"('P56703', 'Q9ULV1')"
"('Q96Q15', 'Q15172')"
"('Q96E35', 'P13805')"
"('P08865', 'P61247')"
"('Q92569', 'P41743')"
"('O60583', 'O60563')"
"('P41597', 'P27986')"
"('P12757', 'Q15916')"
"('P02766', 'P08670')"
"('O60711', 'Q9UBN7')"
"('O15551', 'P56856')"
"('Q9UBC3', 'Q15672')"
"('P19174', 'Q9NX09')"
"('Q5VTD9', 'Q92769')"
"('P61077', 'Q15796')"
"('Q13315', 'Q92560')"
"('P16520', 'P25116')"
"('P19793', 'Q06710')"
"('P40121', 'Q13573')"
"('Q8WV24', 'O15162')"
"('P46108', 'Q8IZD9')"
"('P35626', 'Q6IF99')"
"('P45983', 'P31947')"
"('P30480', 'P61513')"
"('Q9NQT4', 'Q96NG5')"
"('P42766', 'Q92901')"
"('Q7Z6G8', 'P04626')"
"('P32121', 'Q8NG92')"
"('Q13435', 'Q9H7E9')"
"('Q8TDB6', 'Q9Y2X8')"
"('P01106', 'Q13422')"
"('P21333', 'P05106')"
"('P00533', 'P04792')"
"('P82675', 'Q9NY93')"
"('Q9Y6F9', 'O75581')"
"('P10275', 'O43524')"
"('P63104', 'P21580')"
"('Q9NX55', 'Q12873')"
"('P01903', 'P04233')"
"('O43676', 'P03915')"
"('Q8IZJ0', 'P42701')"
"('P62993', 'P26641')"
"('P40763', 'O15379')"
"('Q13573', 'Q01085')"
"('Q13547', 'P29590')"
"('P22681', 'Q04917')"
"('P05019', 'P51812')"
"('Q86U06', 'Q14498')"
"('Q92900', 'P62753')"
"('Q96HD1', 'P61956')"
"('Q8NFZ5', 'Q04206')"
"('P46934', 'P35968')"
"('P07910', 'P63104')"
"('P40337', 'P09936')"
"('P27986', 'P43626')"
"('P30939', 'P16520')"
"('A7KAX9', 'P06241')"
"('Q96SD1', 'Q13426')"
"('O00442', 'P62910')"
"('Q9BTC8', 'O60341')"
"('O95967', 'Q9UHD9')"
"('Q15427', 'Q92841')"
"('P54274', 'Q9UKT5')"
"('P31749', 'Q96IZ0')"
"('P01111', 'P19174')"
"('P49674', 'P56645')"
"('P22612', 'P15336')"
"('O43597', 'Q6UY14')"
"('Q15746', 'O14950')"
"('Q13094', 'Q08881')"
"('P10914', 'P41217')"
"('Q9NYN1', 'Q13485')"
"('P49840', 'P48058')"
"('Q9Y2X8', 'Q9UBF6')"
"('Q9NX58', 'Q9UHA3')"
"('P01889', 'O75347')"
"('O00716', 'P12004')"
"('P15336', 'P06400')"
"('O94822', 'P62837')"
"('O43918', 'P12931')"
"('Q9Y2R2', 'P19022')"
"('Q14164', 'P61201')"
"('Q9Y619', 'Q99459')"
"('Q17RW2', 'P23229')"
"('Q9GZT6', 'P42772')"
"('P10827', 'Q15788')"
"('Q9P2K8', 'O15264')"
"('P21980', 'P0CG48')"
"('Q9Y5X3', 'O60925')"
"('Q96P20', 'Q9ULZ3')"
"('Q14209', 'Q8NEM0')"
"('P10589', 'Q15777')"
"('P19174', 'P12236')"
"('P25490', 'P16220')"
"('P49763', 'P07333')"
"('O15105', 'O15530')"
"('P57739', 'Q96B33')"
"('P29597', 'P42336')"
"('P01100', 'Q9Y6K9')"
"('P24522', 'P32456')"
"('P58107', 'Q96BK5')"
"('Q14669', 'Q6VMQ6')"
"('Q8NEB9', 'P20339')"
"('P33241', 'Q9H4B4')"
"('Q7Z6L1', 'Q9Y2L5')"
"('P24522', 'Q15652')"
"('Q86VP3', 'P63104')"
"('P25942', 'Q13077')"
"('O75899', 'O60262')"
"('Q15796', 'Q12955')"
"('P49593', 'P54646')"
"('Q7Z6M1', 'Q15942')"
"('Q12873', 'P16220')"
"('Q9GZX7', 'P52294')"
"('Q9NRD5', 'Q05084')"
"('P12956', 'P11387')"
"('Q9NS75', 'P50148')"
"('P51965', 'Q13064')"
"('Q9Y250', 'Q9NVU0')"
"('A6NDL8', 'P38405')"
"('P26373', 'P46777')"
"('Q8TBF2', 'O15530')"
"('P60953', 'Q92993')"
"('P06730', 'Q13542')"
"('P52735', 'P04066')"
"('Q52LW3', 'P63000')"
"('Q8N5D0', 'Q16531')"
"('Q9UGJ0', 'Q49AN0')"
"('Q9UN73', 'P46108')"
"('P60510', 'Q5MIZ7')"
"('P22694', 'Q13972')"
"('P30504', 'Q15365')"
"('O75396', 'Q9NZ43')"
"('Q00613', 'P45983')"
"('Q9H8E8', 'Q9NR33')"
"('Q9Y4K3', 'Q16531')"
"('P53675', 'O94973')"
"('Q13237', 'O60840')"
"('O95059', 'O95707')"
"('Q15759', 'P07197')"
"('Q15834', 'Q7Z2V1')"
"('P12883', 'P08590')"
"('P68431', 'Q9Y468')"
"('P61952', 'Q08462')"
"('O60784', 'Q14919')"
"('P20783', 'Q16288')"
"('O15525', 'Q16665')"
"('Q9H8Y8', 'P25788')"
"('Q9Y5N6', 'P49736')"
"('O15360', 'Q8NFD5')"
"('Q8NI35', 'C9JDP6')"
"('Q9Y678', 'Q9NTJ5')"
"('P16333', 'Q9H8V3')"
"('Q8IX12', 'P55795')"
"('P19838', 'Q00610')"
"('O95298', 'O95169')"
"('O43524', 'P04179')"
"('P01876', 'Q9P2D8')"
"('Q99942', 'Q9Y385')"
"('Q5EG05', 'P29466')"
"('P10144', 'Q9Y5K6')"
"('P98160', 'P10070')"
"('P60709', 'Q8NBZ0')"
"('Q9H7L9', 'P51610')"
"('P35268', 'P62424')"
"('P29074', 'P46100')"
"('P51686', 'P63096')"
"('O14512', 'Q13261')"
"('406889', 'P01116')"
"('Q9C086', 'Q96EZ8')"
"('Q9Y6G5', 'Q8N668')"
"('Q9H0M4', 'P18146')"
"('P04156', 'O94985')"
"('P78509', 'Q13683')"
"('Q15910', 'P52788')"
"('P01106', 'Q8N3U4')"
"('O15511', 'P59998')"
"('Q96F46', 'Q9H293')"
"('Q9NPF7', 'Q9HC73')"
"('P05412', 'P62714')"
"('Q16637', 'Q5T3J3')"
"('P25208', 'P09619')"
"('Q9UM73', 'Q7RTS7')"
"('Q16630', 'O75554')"
"('P62979', 'P61247')"
"('P53420', 'P06756')"
"('Q9H9E3', 'Q9Y2V7')"
"('P13807', 'Q8IXJ6')"
"('Q15834', 'Q15475')"
"('P08908', 'P28221')"
"('P54253', 'Q86U70')"
"('P60866', 'P62269')"
"('P04844', 'O00422')"
"('P60228', 'Q9Y478')"
"('P21580', 'O76080')"
"('Q02978', 'P53621')"
"('Q9Y4K3', 'P61158')"
"('Q13315', 'Q9Y248')"
"('Q13151', 'P51991')"
"('Q9NYB9', 'P55160')"
"('Q6IBS0', 'O76013')"
"('Q9UMX0', 'O75830')"
"('P54253', 'Q14671')"
"('P63218', 'O43306')"
"('Q02556', 'P14316')"
"('Q9UKV3', 'P42330')"
"('Q9Y243', 'O43889')"
"('O00206', 'Q9H0E2')"
"('Q5FWF5', 'O60216')"
"('P21246', 'Q13200')"
"('P63000', 'Q9BST9')"
"('Q13077', 'O15519')"
"('P32121', 'Q8NGA8')"
"('Q9UBS5', 'P62993')"
"('P04745', 'Q8TAX7')"
"('P15529', 'P05556')"
"('O94842', 'P16220')"
"('P45983', 'Q16539')"
"('Q04206', 'P05186')"
"('Q9BVA1', 'P20073')"
"('P48436', 'Q15233')"
"('Q14197', 'O75746')"
"('Q5VVH5', 'Q04206')"
"('P26641', 'Q9HCK5')"
"('P53672', 'Q9P1Z2')"
"('P49207', 'P61313')"
"('P15927', 'Q6PCD5')"
"('Q712K3', 'Q27J81')"
"('Q9UNQ2', 'Q9NX70')"
"('P35606', 'O14908')"
"('P11142', 'P41279')"
"('Q15464', 'P00519')"
"('P29353', 'O43809')"
"('P15391', 'P20273')"
"('Q9UHA4', 'Q02750')"
"('P31749', 'O95685')"
"('P78509', 'P26010')"
"('P08034', 'Q16625')"
"('P78371', 'Q13573')"
"('P11597', 'P02647')"
"('Q9NWT6', 'Q99814')"
"('P18146', 'Q14943')"
"('Q9UJU2', 'P35222')"
"('Q9UQL6', 'Q16777')"
"('Q07889', 'Q562R1')"
"('O15428', 'P10636')"
"('P61586', 'P13535')"
"('Q15788', 'Q15078')"
"('Q13424', 'P48645')"
"('O14757', 'Q9BXW9')"
"('P62807', 'P61964')"
"('Q8N682', 'Q16254')"
"('P13637', 'Q9NSB8')"
"('Q9Y3Q8', 'Q8N5R6')"
"('Q9H9Y6', 'P53803')"
"('P21860', 'P19174')"
"('Q99490', 'Q92569')"
"('Q8IX12', 'Q92620')"
"('P54725', 'P52735')"
"('Q14209', 'Q14188')"
"('Q12972', 'P36873')"
"('P61968', 'Q8TD23')"
"('P00519', 'P42684')"
"('P04637', 'P17643')"
"('Q99459', 'Q75QN2')"
"('Q04206', 'P46531')"
"('P29590', 'O43463')"
"('Q12888', 'Q5UIP0')"
"('Q01081', 'Q00839')"
"('P56645', 'Q13315')"
"('P06730', 'Q9UKV8')"
"('P26010', 'P13612')"
"('Q9NR33', 'O75528')"
"('P49207', 'P46776')"
"('Q96A08', 'P61964')"
"('O95169', 'O75438')"
"('P23381', 'P40926')"
"('O94913', 'O43809')"
"('Q9H1J1', 'P62495')"
"('P09917', 'P20292')"
"('Q13573', 'Q9GZZ9')"
"('P01112', 'P15056')"
"('P51817', 'O43741')"
"('P15036', 'P20226')"
"('P81605', 'Q9Y5S2')"
"('P12004', 'Q04206')"
"('Q96T21', 'Q14CW9')"
"('Q9BW60', 'O75832')"
"('Q9BUZ4', 'Q93009')"
"('Q9NPF7', 'P31785')"
"('P20823', 'P35680')"
"('P03923', 'Q9Y6M9')"
"('P42338', 'O00459')"
"('P62487', 'Q9NWA0')"
"('Q9HC36', 'O94817')"
"('P84022', 'Q86UD4')"
"('Q9UDY8', 'Q13098')"
"('P18146', 'Q9NVU0')"
"('Q9H492', 'Q9NRD5')"
"('Q9UNH7', 'Q9GZM8')"
"('P32971', 'P28908')"
"('Q13888', 'P50613')"
"('O14640', 'Q6P3W7')"
"('Q9UHC7', 'P61077')"
"('Q9UM54', 'P35637')"
"('P14416', 'P07101')"
"('P62136', 'Q9NZJ5')"
"('Q9Y6Q9', 'Q99873')"
"('Q92835', 'Q7L591')"
"('Q8TEQ6', 'P14678')"
"('P68032', 'P67936')"
"('Q14241', 'Q15369')"
"('Q8IUX4', 'Q15306')"
"('Q9GZQ8', 'P47736')"
"('P01106', 'O00258')"
"('P35442', 'P53708')"
"('Q9NRI5', 'O00757')"
"('Q7L7L0', 'Q96DB2')"
"('P10276', 'Q96L73')"
"('P55157', 'O14513')"
"('P12814', 'P23229')"
"('Q9HCS7', 'P53803')"
"('P60709', 'Q99572')"
"('P61956', 'O00327')"
"('Q05655', 'O60503')"
"('Q9NTG7', 'Q86YH6')"
"('P28300', 'P98160')"
"('Q13315', 'P23025')"
"('Q53HC9', 'O15121')"
"('Q14257', 'P62258')"
"('Q69YH5', 'O95243')"
"('P09622', 'Q14197')"
"('P00533', 'P12830')"
"('Q9UQ80', 'P28749')"
"('Q13322', 'P06241')"
"('P07315', 'P02511')"
"('O95169', 'Q9UI09')"
"('O15534', 'Q16665')"
"('P18847', 'Q6UUV7')"
"('Q9UKV0', 'Q6FI13')"
"('Q9UBU9', 'Q9H1B4')"
"('Q9GZQ8', 'P09496')"
"('Q8TDM6', 'P60033')"
"('Q03135', 'P20936')"
"('Q8IUM7', 'P27540')"
"('P05412', 'P01375')"
"('O15519', 'Q99558')"
"('O95931', 'O00257')"
"('P53355', 'P18146')"
"('P01116', 'P00540')"
"('P30480', 'P61970')"
"('Q00005', 'P02533')"
"('Q9Y4P8', 'Q92616')"
"('P62906', 'P61927')"
"('Q9Y230', 'Q92597')"
"('P62745', 'P78559')"
"('Q96CW1', 'Q7Z7J5')"
"('P49639', 'O95967')"
"('Q14197', 'Q7Z7F7')"
"('P62280', 'Q00005')"
"('P57739', 'O15551')"
"('P07992', 'O15287')"
"('B1AH88', 'Q99426')"
"('P53999', 'Q15306')"
"('Q96P09', 'P42574')"
"('Q15796', 'Q13643')"
"('P62714', 'Q5FBB7')"
"('P49840', 'O75581')"
"('Q16778', 'P0C0S8')"
"('Q969V5', 'O14933')"
"('Q13469', 'O95644')"
"('Q9UPW5', 'Q9NRI5')"
"('P20333', 'P49411')"
"('P26373', 'P05387')"
"('Q13501', 'O95166')"
"('P08174', 'P06241')"
"('Q6PD62', 'Q8WVC0')"
"('P48552', 'P19793')"
"('Q96I24', 'P62993')"
"('Q14697', 'O00141')"
"('Q5T3J3', 'P05026')"
"('Q9H492', 'Q9Y383')"
"('Q13315', 'Q14790')"
"('Q9Y6E0', 'P15924')"
"('P10412', 'P49916')"
"('Q13596', 'P04183')"
"('Q13573', 'Q96CB8')"
"('P00519', 'Q06187')"
"('Q9UPT5', 'Q15834')"
"('P62750', 'O75815')"
"('P23508', 'P78396')"
"('Q9HCE7', 'Q00532')"
"('O94818', 'O75971')"
"('Q92597', 'P52597')"
"('Q15172', 'Q14738')"
"('Q8TAQ2', 'Q96GM5')"
"('Q14164', 'P15170')"
"('406891', 'P01111')"
"('P01375', 'Q12933')"
"('P48454', 'O94916')"
"('P43405', 'P31995')"
"('Q676U5', 'Q9H2C0')"
"('P21810', 'Q16586')"
"('Q969D9', 'P19235')"
"('P33240', 'Q9HBU1')"
"('P30153', 'O60739')"
"('P62805', 'Q9NPI1')"
"('P51817', 'P48436')"
"('Q08209', 'P42574')"
"('Q13191', 'P40189')"
"('Q96DB2', 'P0C5Y9')"
"('P46781', 'P62263')"
"('P23508', 'P55786')"
"('Q15628', 'Q14257')"
"('Q9ULF5', 'Q8WZA2')"
"('Q13162', 'Q14197')"
"('P68371', 'Q15102')"
"('O43524', 'P08183')"
"('P41220', 'Q8TAM1')"
"('P04637', 'P27701')"
"('P04278', 'P0C869')"
"('Q8N257', 'Q8IUE6')"
"('Q155Q3', 'O14641')"
"('O14492', 'P10721')"
"('P21246', 'P23467')"
"('Q02556', 'P61769')"
"('Q9UGN5', 'Q14520')"
"('Q15654', 'P18206')"
"('P41567', 'Q13347')"
"('P20333', 'Q13200')"
"('Q9UKV0', 'Q99878')"
"('O95257', 'Q9P2H0')"
"('P62714', 'P19429')"
"('P01569', 'P16871')"
"('P05113', 'P17181')"
"('Q13616', 'Q9UK22')"
"('Q06330', 'Q96K30')"
"('Q96NY8', 'Q8TEW0')"
"('P25942', 'Q12933')"
"('Q99731', 'Q00978')"
"('Q9H9A7', 'P48723')"
"('Q9UIS9', 'Q96KM6')"
"('Q96A00', 'Q02156')"
"('Q9UHD0', 'Q9UHF4')"
"('P01106', 'P17987')"
"('P15927', 'Q8NBJ4')"
"('Q93008', 'Q9HC98')"
"('P19235', 'Q12913')"
"('P62714', 'P78318')"
"('P80162', 'P51677')"
"('Q15628', 'Q9NVI7')"
"('Q99569', 'P35222')"
"('P56645', 'P11161')"
"('P49773', 'Q14134')"
"('Q13797', 'P18564')"
"('P23786', 'Q14197')"
"('Q9Y675', 'P04637')"
"('O95994', 'Q9Y3C7')"
"('Q969W0', 'Q13509')"
"('Q16594', 'P41235')"
"('O60566', 'Q9UJX5')"
"('P37840', 'P01308')"
"('P63010', 'Q9NYB0')"
"('Q8NH09', 'P38405')"
"('Q6P1J9', 'P61218')"
"('Q16537', 'Q02241')"
"('Q8NBJ4', 'O95424')"
"('O14561', 'Q9P0J0')"
"('P09936', 'O60739')"
"('Q5T3J3', 'Q8WXF1')"
"('O00141', 'P43355')"
"('P42677', 'P62081')"
"('Q9NR28', 'Q9Y4K3')"
"('P52292', 'Q08881')"
"('Q9UKV8', 'P62753')"
"('Q16531', 'P62805')"
"('Q13418', 'Q6R327')"
"('P68104', 'P14868')"
"('P31994', 'A2IXV5')"
"('O00330', 'Q01844')"
"('P62851', 'P62701')"
"('P45983', 'Q9UQF2')"
"('P51153', 'P36897')"
"('P24468', 'Q96IP4')"
"('Q9UMN6', 'P20073')"
"('Q13733', 'P32418')"
"('Q07960', 'Q12982')"
"('P62195', 'O60506')"
"('P49711', 'O43187')"
"('P0C5Z0', 'P0C1H6')"
"('O75569', 'P04637')"
"('Q13315', 'Q96EP1')"
"('P04843', 'Q9UHD9')"
"('P08670', 'Q9Y6Y0')"
"('P15927', 'Q5UIP0')"
"('O75015', 'A6NI73')"
"('P40933', 'Q9UHF4')"
"('P78344', 'Q13490')"
"('O00716', 'Q15021')"
"('A6NMZ7', 'P08514')"
"('P27361', 'P35568')"
"('Q8TE12', 'O00505')"
"('Q13976', 'O60266')"
"('Q9GZM8', 'P43364')"
"('P84022', 'Q13485')"
"('Q96QU1', 'Q13402')"
"('Q15796', 'P08621')"
"('P14618', 'Q8TDR0')"
"('P17066', 'Q04864')"
"('Q9BX67', 'P57087')"
"('Q07157', 'P04350')"
"('P00533', 'O60880')"
"('Q09161', 'O43432')"
"('O75444', 'P02511')"
"('O76070', 'P63162')"
"('Q496Y0', 'Q9Y6D9')"
"('Q13164', 'P15056')"
"('Q93062', 'O14641')"
"('P15018', 'P42701')"
"('Q92747', 'P61160')"
"('P22694', 'P20941')"
"('Q16891', 'Q9H8T0')"
"('Q9NVC6', 'P41235')"
"('P78386', 'Q12834')"
"('Q13535', 'Q9BWU0')"
"('P07948', 'Q86WV1')"
"('P49841', 'Q13163')"
"('Q99879', 'P61964')"
"('Q9GZN1', 'O14818')"
"('Q92585', 'Q9UM47')"
"('P78395', 'Q15369')"
"('Q96S55', 'P28340')"
"('P01138', 'P08138')"
"('P39019', 'P35544')"
"('Q04206', 'P13501')"
"('Q92597', 'Q92561')"
"('Q9Y4K3', 'P11021')"
"('P01106', 'P28074')"
"('P54257', 'Q9BQD7')"
"('Q99759', 'P52907')"
"('P24385', 'Q7L590')"
"('Q92765', 'O00744')"
