negatives
"('Q9Y262', 'P50570')"
"('P38398', 'Q16254')"
"('P17612', 'Q14524')"
"('P38398', 'Q92793')"
"('P62993', 'P46109')"
"('P62917', 'P46779')"
"('P51991', 'P52272')"
"('Q92793', 'P04150')"
"('Q9UKA9', 'P07910')"
"('O75815', 'P61160')"
"('P61978', 'Q00987')"
"('Q96EL2', 'Q14197')"
"('P09237', 'O15263')"
"('P42166', 'Q99459')"
"('P05019', 'P22607')"
"('Q8N715', 'Q9BQD3')"
"('P68371', 'Q9BQE3')"
"('P40763', 'P17676')"
"('P23508', 'Q9UI30')"
"('Q68E01', 'Q96AH0')"
"('P25106', 'P62993')"
"('Q5XKP0', 'P30457')"
"('Q04771', 'Q02790')"
"('P20333', 'Q9UER7')"
"('P05783', 'O14964')"
"('Q9H7D0', 'P08134')"
"('P56545', 'Q3ZCQ8')"
"('Q99750', 'Q14781')"
"('P62873', 'Q99677')"
"('Q03060', 'Q02930')"
"('P26196', 'P27348')"
"('O15264', 'P29692')"
"('Q9BQ83', 'P05109')"
"('O75376', 'P10828')"
"('P29074', 'P51681')"
"('P20366', 'Q8TER5')"
"('Q02223', 'Q13077')"
"('Q9NPH3', 'O43187')"
"('Q5TA45', 'P53350')"
"('P29320', 'P62158')"
"('P61077', 'Q9BZR9')"
"('Q96DI7', 'P08579')"
"('P40933', 'P38484')"
"('P47897', 'Q15714')"
"('P42680', 'Q8WV28')"
"('Q9H2U1', 'Q9NPH0')"
"('P29372', 'Q9UPN3')"
"('P32121', 'P14618')"
"('Q96D21', 'P36897')"
"('P01106', 'P54819')"
"('P36873', 'Q9C0J8')"
"('P23528', 'P16104')"
"('Q9HBY0', 'O15264')"
"('O14832', 'Q9UNS2')"
"('Q92900', 'P15170')"
"('P61254', 'Q9NX58')"
"('Q99956', 'P45984')"
"('P78369', 'Q9UDY2')"
"('Q14247', 'O43312')"
"('P49916', 'Q14191')"
"('P23511', 'Q04743')"
"('Q14192', 'P16885')"
"('P05106', 'Q9UKX5')"
"('O43678', 'O14561')"
"('P09619', 'Q07912')"
"('Q08211', 'Q14683')"
"('P54750', 'P42858')"
"('P45983', 'P28324')"
"('Q86V81', 'P31943')"
"('P28749', 'P63167')"
"('P00533', 'Q6WCQ1')"
"('Q01344', 'O00560')"
"('Q9Y297', 'P14923')"
"('Q9Y5J5', 'P47897')"
"('O95402', 'Q71F56')"
"('Q9UKY1', 'O75150')"
"('P0CG48', 'P58335')"
"('P22736', 'P29590')"
"('P14784', 'Q13261')"
"('P60520', 'O14764')"
"('P07949', 'Q07889')"
"('O43257', 'Q9Y265')"
"('Q7L5D6', 'P02766')"
"('Q9P2G9', 'P05387')"
"('P18887', 'P68400')"
"('P45983', 'Q13873')"
"('Q8NEM7', 'O94864')"
"('P35244', 'P49736')"
"('Q9UHR5', 'Q9UK32')"
"('O00401', 'P08238')"
"('P84022', 'Q9GZV5')"
"('P05161', 'Q02556')"
"('Q15714', 'Q6P4A7')"
"('Q9Y623', 'P78549')"
"('Q92769', 'P25490')"
"('P04275', 'Q05397')"
"('P09012', 'P23246')"
"('Q12933', 'P19438')"
"('Q9NZT1', 'Q9Y5V3')"
"('Q9H160', 'Q15796')"
"('Q13526', 'O60739')"
"('P05067', 'Q99683')"
"('O75347', 'P01889')"
"('O95379', 'Q93096')"
"('P21246', 'O14594')"
"('P37198', 'Q13123')"
"('P18848', 'Q16534')"
"('P51617', 'P11215')"
"('O14561', 'O75251')"
"('P51522', 'Q13153')"
"('P01106', 'P11234')"
"('Q9Y2Q3', 'P04844')"
"('P17980', 'O00233')"
"('P20594', 'Q09472')"
"('P28067', 'Q29974')"
"('P16473', 'P50148')"
"('Q09161', 'Q9BY77')"
"('Q12772', 'Q01082')"
"('P63096', 'Q8WZA2')"
"('P61962', 'Q04917')"
"('Q9Y4K3', 'Q14165')"
"('Q9UBY5', 'Q8WYR1')"
"('P05452', 'P38936')"
"('P52803', 'P35916')"
"('Q9Y5I7', 'Q96AP7')"
"('Q13315', 'P52701')"
"('O95711', 'Q02556')"
"('Q13310', 'P41235')"
"('O75489', 'P28331')"
"('Q9P2S5', 'Q8N163')"
"('Q9UKV8', 'O00483')"
"('Q13315', 'Q4VC05')"
"('Q96HB5', 'Q8N6Y0')"
"('Q96E14', 'Q13472')"
"('Q96L34', 'Q93008')"
"('P20749', 'P19838')"
"('O14656', 'Q14204')"
"('P15153', 'Q13153')"
"('Q96KS0', 'Q16665')"
"('P13500', 'P51684')"
"('O75821', 'P37840')"
"('O75521', 'Q12988')"
"('O00628', 'O14832')"
"('P03923', 'O95178')"
"('Q13867', 'P05067')"
"('Q92620', 'Q07955')"
"('Q9UNZ2', 'Q9H814')"
"('P01303', 'P43115')"
"('P16520', 'Q16539')"
"('P15509', 'O15111')"
"('P01730', 'P01920')"
"('406906', 'O60806')"
"('P20226', 'Q03060')"
"('O75815', 'P49321')"
"('Q9Y2U5', 'P31946')"
"('O15524', 'Q13617')"
"('O76061', 'Q8TER5')"
"('Q8IY92', 'Q9UKX7')"
"('P24941', 'Q13153')"
"('Q6DKK2', 'Q86YV9')"
"('Q66LE6', 'P54289')"
"('Q9BQ67', 'Q13619')"
"('P49790', 'Q13573')"
"('O95484', 'O75508')"
"('Q14139', 'O75365')"
"('Q9H7D0', 'P52198')"
"('P08047', 'P29460')"
"('O15524', 'P14316')"
"('O14965', 'Q9Y297')"
"('P05787', 'Q04695')"
"('P04628', 'Q9ULW2')"
"('Q92993', 'P60953')"
"('P33176', 'Q92597')"
"('Q6ZUT1', 'P16220')"
"('O14641', 'Q9UM47')"
"('P04049', 'P10415')"
"('Q92630', 'Q9Y2V2')"
"('P40763', 'P17706')"
"('P51817', 'P27361')"
"('P08579', 'Q7RTV0')"
"('Q14191', 'Q9HCU8')"
"('Q9P0U4', 'Q6UXN9')"
"('P04222', 'P21266')"
"('P22392', 'O00232')"
"('Q16594', 'P68431')"
"('Q9H173', 'O15067')"
"('P18433', 'Q9P2Y5')"
"('P83731', 'P05386')"
"('P06454', 'P18754')"
"('O75529', 'Q12962')"
"('P20073', 'Q8IZ69')"
"('P43246', 'Q9UQ84')"
"('P17844', 'Q9NWQ8')"
"('Q86YP4', 'O95983')"
"('Q5JR59', 'Q9H4K1')"
"('P21860', 'Q07889')"
"('P05067', 'P42574')"
"('P16220', 'Q96T25')"
"('A6NM45', 'Q8N7P3')"
"('P19838', 'Q9Y2T4')"
"('Q9UKV3', 'Q13573')"
"('Q9BUZ4', 'O15162')"
"('P38432', 'Q562R1')"
"('P32121', 'Q8NGY2')"
"('Q13387', 'Q16658')"
"('Q13285', 'O60869')"
"('Q7L590', 'P33992')"
"('Q99570', 'P31749')"
"('Q16621', 'P62979')"
"('O94832', 'P60510')"
"('Q86UW9', 'P61601')"
"('O43809', 'Q8NFF5')"
"('Q07890', 'P48736')"
"('P62987', 'Q96PM5')"
"('P62942', 'P40337')"
"('P57721', 'Q15287')"
"('P53004', 'P15336')"
"('O75610', 'P10600')"
"('P51571', 'Q13233')"
"('Q9HAU4', 'P01111')"
"('P08670', 'Q99963')"
"('P12814', 'P68032')"
"('Q14691', 'Q9BVW5')"
"('Q99558', 'P05455')"
"('Q9HC62', 'Q92997')"
"('Q13191', 'Q5VWK5')"
"('P12643', 'O00238')"
"('Q13129', 'Q92963')"
"('Q8TES7', 'Q15560')"
"('Q8TDN6', 'Q9NX58')"
"('Q13283', 'Q9Y4K3')"
"('Q92917', 'Q9BRD0')"
"('Q8IU60', 'Q9UKV8')"
"('Q15648', 'O60244')"
"('O15131', 'P50213')"
"('Q99873', 'P04637')"
"('P41743', 'P12931')"
"('Q93062', 'Q15645')"
"('Q9P0W0', 'Q13651')"
"('Q9BSL1', 'Q13541')"
"('Q92527', 'P18146')"
"('P16619', 'O00574')"
"('Q00005', 'P60709')"
"('Q09472', 'P24941')"
"('P16949', 'Q99828')"
"('Q06190', 'P30154')"
"('P35568', 'P62993')"
"('P08138', 'P20073')"
"('O75038', 'Q9UQM7')"
"('O60603', 'P01100')"
"('Q14790', 'P10451')"
"('Q92900', 'Q09161')"
"('Q13156', 'P15927')"
"('P35226', 'P60484')"
"('Q92785', 'Q01201')"
"('P05161', 'P14316')"
"('Q96P09', 'O75800')"
"('P31943', 'Q15427')"
"('Q5TCQ9', 'Q13224')"
"('406999', 'P43354')"
"('P12830', 'P13010')"
"('P62993', 'Q13045')"
"('Q9Y4K3', 'P11142')"
"('Q13315', 'O60216')"
"('Q15573', 'Q15572')"
"('P48643', 'Q00005')"
"('Q15287', 'Q9UQ88')"
"('Q92733', 'Q9Y333')"
