negatives
"('P62875', 'Q9HCS7')"
"('P10809', 'Q14197')"
"('P27361', 'Q01196')"
"('Q9Y4W2', 'Q99459')"
"('O43172', 'Q07955')"
"('P07550', 'P63092')"
"('P35968', 'P40763')"
"('P28482', 'Q15633')"
"('P48552', 'Q13547')"
"('P51991', 'Q07955')"
"('Q15465', 'Q9Y6C5')"
"('P26651', 'Q9NPI6')"
"('P41182', 'O15226')"
"('Q92793', 'Q13569')"
"('P36873', 'P61244')"
"('O75676', 'O43889')"
"('Q8NHQ8', 'Q04917')"
"('Q96P09', 'P51965')"
"('P14854', 'Q8IXH7')"
"('P25705', 'Q9UHD2')"
"('P63104', 'P55916')"
"('Q9UBD5', 'Q9UJX2')"
"('Q9BUK6', 'Q8IWF7')"
"('Q5VYV7', 'Q5VTR2')"
"('Q9Y266', 'Q9Y478')"
"('Q96L91', 'P16104')"
"('P18146', 'P26367')"
"('Q9NPB9', 'O43927')"
"('Q96FV9', 'P06400')"
"('Q08211', 'Q13233')"
"('Q9UGP4', 'O95059')"
"('P63151', 'Q01668')"
"('Q9NZJ0', 'P38936')"
"('P41220', 'Q9BPW8')"
"('P23497', 'P29590')"
"('P63279', 'Q14789')"
"('P01111', 'Q12967')"
"('Q13489', 'Q16695')"
"('P10914', 'Q9BZS1')"
"('P51668', 'Q14258')"
"('Q6P3X3', 'O75365')"
"('P04183', 'P38606')"
"('J3KNP4', 'Q9ULL4')"
"('Q9H9T3', 'P25963')"
"('Q8NI29', 'P63208')"
"('Q9H9G7', 'Q9NXS2')"
"('Q9Y490', 'P08514')"
"('O15455', 'P84022')"
"('P36897', 'P17813')"
"('Q8NHJ6', 'O75015')"
"('P04637', 'P55212')"
"('P62736', 'P00403')"
"('Q13402', 'Q96QU1')"
"('P43405', 'Q9UQC2')"
"('O95202', 'Q14197')"
"('P21815', 'P17301')"
"('Q9UKE5', 'Q9BWD1')"
"('Q92997', 'P78337')"
"('O95295', 'Q5JY77')"
"('Q9BXW4', 'Q13501')"
"('Q15287', 'Q9H7Z3')"
"('Q86XI6', 'P46020')"
"('Q13191', 'P46109')"
"('Q9P2G9', 'O95050')"
"('P41159', 'P15509')"
"('Q9H2F5', 'Q15906')"
"('P23396', 'P08865')"
"('O60739', 'P46783')"
"('P98164', 'P18146')"
"('Q05048', 'P33240')"
"('Q13972', 'P61586')"
"('Q15796', 'Q9Y3F4')"
"('Q9HCP0', 'Q9H6R7')"
"('Q15303', 'Q15700')"
"('Q13247', 'Q15287')"
"('Q00653', 'Q8N163')"
"('P30480', 'P51452')"
"('O75528', 'Q01658')"
"('Q15819', 'Q9H5I1')"
"('Q9UPS6', 'O60814')"
"('Q15717', 'Q00005')"
"('P01889', 'Q9NP81')"
"('O00716', 'Q06609')"
"('Q14197', 'Q9Y6M1')"
"('P49459', 'P62987')"
"('Q99963', 'P54274')"
"('Q15329', 'Q14186')"
"('P43246', 'P54277')"
"('P06756', 'Q9NQ66')"
"('P11802', 'Q9UJX2')"
"('P09913', 'O60244')"
"('P62906', 'P62424')"
"('P23258', 'Q96RT8')"
"('Q10586', 'Q9UMS4')"
"('Q9NPF4', 'P31689')"
"('P17813', 'P36897')"
"('O14920', 'P04792')"
"('P11279', 'P00533')"
"('Q9HCE7', 'Q9H469')"
"('Q16630', 'Q99504')"
"('P30153', 'O60739')"
"('Q9NYQ7', 'Q9H254')"
"('P60709', 'Q92636')"
"('P41182', 'Q9Y228')"
"('Q9UFG5', 'O43264')"
"('P22090', 'P62277')"
"('P51617', 'Q13077')"
"('Q6RW13', 'Q9UKF7')"
"('Q8TCY5', 'P41968')"
"('P36888', 'Q92569')"
"('Q9H1C4', 'O15260')"
"('P51610', 'P61964')"
"('Q9UKV5', 'Q9Y2X8')"
"('O00463', 'Q12933')"
"('P63151', 'P54289')"
"('P04350', 'Q14204')"
"('P06239', 'P40763')"
"('Q14164', 'P62910')"
"('Q15172', 'P10415')"
"('P05455', 'Q15126')"
"('P24534', 'Q8IYT8')"
"('P22415', 'P36873')"
"('P04637', 'Q8NFD5')"
"('P21815', 'P56199')"
"('Q8IU57', 'P52333')"
"('P18124', 'P05387')"
"('P16298', 'Q92934')"
"('Q9HCM1', 'Q9NV70')"
"('Q9HAP6', 'O95477')"
"('Q96PG8', 'Q07812')"
"('Q05086', 'P63104')"
"('P03923', 'O00483')"
"('P01579', 'Q8IU57')"
"('Q96L34', 'Q93008')"
"('P98160', 'Q5VTD9')"
"('P29317', 'Q92529')"
"('Q13535', 'P27707')"
"('Q9UNX3', 'P42766')"
"('O60296', 'Q9UN88')"
"('Q92830', 'P10827')"
"('P63104', 'P62736')"
"('Q5UIP0', 'P08670')"
"('Q92667', 'P13861')"
"('Q9UHI6', 'Q96T60')"
"('P24941', 'Q99741')"
"('Q8IUE6', 'P58876')"
"('P20333', 'P62158')"
"('P05112', 'Q99665')"
"('Q9H4A3', 'Q00610')"
"('P04637', 'P55199')"
"('Q92633', 'O95467')"
"('Q9HCC8', 'P36542')"
"('Q15653', 'O15160')"
"('Q9UJU6', 'P50570')"
"('Q13554', 'Q07343')"
"('P30084', 'Q9Y478')"
"('P0C5Y9', 'Q969S8')"
"('Q8N2W9', 'P52630')"
"('Q9GZQ8', 'Q13685')"
"('O14974', 'Q96A32')"
"('P04637', 'O96019')"
"('Q13485', 'P0CG48')"
"('O60237', 'P14649')"
"('Q9UBR4', 'Q9NVW2')"
"('P40337', 'Q8IUC4')"
"('Q01081', 'Q15365')"
"('Q92547', 'P31749')"
"('Q9UHX1', 'P08670')"
"('Q9C099', 'P04632')"
"('P05412', 'Q92731')"
"('Q01082', 'Q13485')"
"('P22087', 'P19338')"
"('P50613', 'P06493')"
"('Q14247', 'P16885')"
"('Q9UGU0', 'Q15797')"
"('P56915', 'Q15796')"
"('Q12959', 'Q9BTT6')"
"('Q13485', 'P13987')"
"('O43615', 'Q8IY92')"
"('Q13418', 'P81605')"
"('P35580', 'Q96A32')"
"('P98170', 'P02771')"
"('Q13547', 'P35232')"
"('P48023', 'O00305')"
"('P62829', 'P35268')"
"('Q96F46', 'Q96PD4')"
"('P49069', 'O14836')"
"('P62987', 'P62906')"
"('P62263', 'O43353')"
"('Q9UKB1', 'Q12933')"
"('Q16659', 'P23528')"
"('Q00653', 'P40939')"
"('Q92620', 'Q14683')"
"('Q13347', 'O14602')"
"('O75586', 'Q15797')"
"('P36897', 'P62826')"
"('P62136', 'Q9BSF8')"
"('Q9NYJ8', 'Q8TDR0')"
"('P12107', 'P25208')"
"('Q8N668', 'P51168')"
"('Q5UIP0', 'Q14061')"
"('P23528', 'Q15750')"
"('Q9GZS3', 'P19388')"
"('Q9H492', 'Q8WWW0')"
"('Q13315', 'O14497')"
"('P16333', 'O00294')"
"('P04839', 'Q16539')"
"('Q9NY61', 'O95751')"
"('P08754', 'P63211')"
"('Q96RT1', 'P23634')"
"('P43686', 'Q14525')"
"('Q14344', 'Q92888')"
"('P58876', 'O15047')"
"('Q02543', 'Q9NX58')"
"('Q9GZY0', 'Q86V81')"
"('Q08170', 'Q13243')"
"('P12956', 'Q9P2K8')"
"('Q9UHD2', 'P50991')"
"('Q9H2G2', 'P30260')"
"('P01106', 'P09917')"
"('Q86T90', 'P25054')"
"('P11021', 'P19838')"
"('Q9H1Y0', 'P35638')"
"('O75116', 'P78356')"
"('P68104', 'P27348')"
"('P07942', 'P08648')"
"('P17947', 'P14598')"
"('O15111', 'P14921')"
"('P53778', 'P61244')"
"('Q15831', 'Q16543')"
"('P60903', 'Q7L5N1')"
"('P26640', 'P68104')"
"('P46940', 'P62158')"
"('O75533', 'Q9BWJ5')"
"('O00311', 'P33991')"
"('P01023', 'Q15714')"
"('P01106', 'P62314')"
"('Q9Y2H8', 'P49716')"
"('P78362', 'P08621')"
"('Q9BQI9', 'Q15428')"
"('P62195', 'P17980')"
"('Q9H469', 'P46934')"
"('P08575', 'Q07912')"
"('P62424', 'P50914')"
"('P06756', 'P05106')"
"('Q99836', 'Q8WWM7')"
"('P62826', 'Q9P2H0')"
"('Q04637', 'Q9BZI7')"
"('P35998', 'O00233')"
"('Q96A08', 'Q92769')"
"('P17693', 'Q99706')"
"('P24539', 'P40337')"
"('P54253', 'Q8N2M8')"
"('O15371', 'P55884')"
"('Q2QGD7', 'Q16637')"
"('P00519', 'Q96AC6')"
"('P31751', 'P46527')"
"('P01584', 'P05187')"
"('P35222', 'Q9H6I2')"
"('P47914', 'P18621')"
"('Q05086', 'P68036')"
"('Q9H2G2', 'Q9UL51')"
"('Q5VWQ8', 'Q07889')"
"('P10275', 'O43504')"
"('Q96PY6', 'Q9GZX5')"
"('Q07890', 'Q562R1')"
"('Q9Y3B4', 'Q99459')"
"('P48023', 'O60504')"
"('P63092', 'P63215')"
"('P53708', 'P46108')"
"('Q99459', 'Q9BQL6')"
"('P49642', 'P12277')"
"('P30457', 'Q9NYU1')"
"('P28482', 'Q05682')"
"('Q9BXW4', 'Q8NEB9')"
"('P62263', 'Q15843')"
"('P24539', 'Q99816')"
"('Q15388', 'Q99689')"
"('Q9Y265', 'Q92993')"
"('Q9UHX1', 'Q05519')"
"('Q96RL7', 'P55157')"
"('Q71F56', 'Q9NPJ6')"
"('P19387', 'O95402')"
"('P09211', 'P62993')"
"('P07942', 'P01137')"
"('Q9Y4P8', 'Q7L5N1')"
"('P03905', 'O15239')"
"('P48730', 'Q49AN0')"
"('P05129', 'P57087')"
"('P22626', 'Q07955')"
