negatives
"('P11161', 'P07738')"
"('P05412', 'Q01844')"
"('Q15843', 'P62829')"
"('Q9Y6X1', 'P51170')"
"('Q96JZ2', 'P07332')"
"('P31689', 'O14967')"
"('P19838', 'Q7L014')"
"('Q30201', 'P02786')"
"('Q86Y78', 'Q9NYQ6')"
"('P13804', 'P63172')"
"('Q92838', 'Q9UQ35')"
"('Q13242', 'P31943')"
"('P25800', 'O75934')"
"('O00571', 'A0JLT2')"
"('Q15154', 'Q8IVT5')"
"('P60520', 'Q00610')"
"('Q8IW45', 'O43765')"
"('P67809', 'Q12906')"
"('P35251', 'Q9H0H5')"
"('P04843', 'P11441')"
"('P28702', 'P10828')"
"('P31323', 'P51817')"
"('Q9Y253', 'Q9H040')"
"('Q9UJZ1', 'Q9NVX0')"
"('Q06587', 'O15391')"
"('P02792', 'Q12852')"
"('Q99832', 'P35228')"
"('O95813', 'Q9H1J5')"
"('Q14315', 'P13612')"
"('O14980', 'P51587')"
"('Q9HD42', 'Q9UN37')"
"('Q99689', 'P01270')"
"('P54886', 'Q9NRM7')"
"('P17931', 'Q14061')"
"('Q9Y4E8', 'O43172')"
"('Q8NHH9', 'Q86VZ1')"
"('P41235', 'P11473')"
"('P86480', 'Q8WU58')"
"('Q9HC77', 'Q9UPQ9')"
"('Q9ULC4', 'P22314')"
"('Q96BK5', 'P02768')"
"('Q9H3U1', 'O95758')"
"('Q92930', 'P62834')"
"('P25705', 'P07237')"
"('P25685', 'P13569')"
"('Q9NQT4', 'Q04864')"
"('Q58FF6', 'Q9H7B4')"
"('Q15717', 'Q93034')"
"('Q9NR56', 'Q5VZF2')"
"('Q8N635', 'Q9P2P5')"
"('Q15717', 'P04843')"
"('O95155', 'Q70CQ2')"
"('Q92784', 'Q04206')"
"('Q15393', 'Q01081')"
"('P26368', 'P27797')"
"('P02788', 'Q8NFR7')"
"('P46782', 'Q15021')"
"('P13747', 'Q12797')"
"('P61956', 'Q15436')"
"('Q08211', 'O43189')"
"('P43235', 'P22607')"
"('Q86T82', 'P63208')"
"('P42261', 'O43491')"
"('O00222', 'P08754')"
"('Q14376', 'Q9Y5K6')"
"('P55010', 'Q99613')"
"('P82673', 'P09651')"
"('Q16254', 'P49715')"
"('Q9UHF7', 'P63165')"
"('Q6L8G9', 'P60410')"
"('O43303', 'O14640')"
"('P26599', 'P27694')"
"('P51946', 'P01106')"
"('Q9UQC2', 'P04626')"
"('Q9UJM3', 'Q8N9U0')"
"('Q9UBU9', 'P22087')"
"('P21580', 'O43187')"
"('Q14554', 'Q9UMS4')"
"('O95782', 'Q5U5Q3')"
"('O75530', 'Q12972')"
"('P00568', 'Q9NYB0')"
"('P01266', 'P98164')"
"('Q14161', 'Q9Y6V0')"
"('O94762', 'P49419')"
"('P48668', 'Q92764')"
"('P02751', 'P10768')"
"('Q6IQ23', 'Q13347')"
"('O75179', 'P27635')"
"('Q13200', 'O15344')"
"('P00505', 'Q9UET6')"
"('P50221', 'O00560')"
"('Q96JQ5', 'Q96IW7')"
"('O60573', 'Q8TF46')"
"('P82914', 'Q01860')"
"('Q7Z4Q2', 'P01106')"
"('O14980', 'Q7Z5Y7')"
"('O15068', 'Q9UL18')"
"('P19320', 'Q16181')"
"('Q9H6A0', 'P25440')"
"('P52738', 'P78362')"
"('Q9NRR8', 'P06733')"
"('P22392', 'Q13404')"
"('Q13049', 'O14966')"
"('Q8NI36', 'Q9UNX4')"
"('P05067', 'P29084')"
"('P50395', 'P16949')"
"('Q9BVX2', 'Q53FP2')"
"('Q9BQ95', 'P05556')"
"('O95166', 'P60520')"
"('P15880', 'Q96EB6')"
"('P29972', 'Q96JN2')"
"('Q14004', 'P49368')"
"('P55210', 'P08047')"
"('Q13573', 'P12755')"
"('P55345', 'P15121')"
"('P42771', 'P53779')"
"('P00533', 'Q92569')"
"('P52735', 'Q03135')"
"('P20618', 'P78358')"
"('Q5VUA4', 'Q9BPU9')"
"('Q9P0T4', 'Q9NZD8')"
"('Q8WVX3', 'O15121')"
"('Q13263', 'Q99459')"
"('Q2NL82', 'P62269')"
"('Q8TAA3', 'P62191')"
"('Q14315', 'P06748')"
"('Q14232', 'P81605')"
"('Q9UHB6', 'Q12792')"
"('P08253', 'O96013')"
"('Q9UIA9', 'Q9UER7')"
"('P31749', 'Q9UNN5')"
"('P38398', 'Q92878')"
"('Q15393', 'Q12929')"
"('O43827', 'P35609')"
"('P35611', 'P51531')"
"('Q6DKI2', 'P04920')"
"('Q8NI60', 'P55072')"
"('O95433', 'Q8WWK9')"
"('P24588', 'P28472')"
"('P04629', 'P43304')"
"('P10301', 'Q9UQ13')"
"('P13807', 'P31273')"
"('O75815', 'P10721')"
"('O95239', 'Q9NRC8')"
"('Q96FZ7', 'Q8TEL6')"
"('Q9H7D7', 'P24386')"
"('Q13286', 'Q9Y512')"
"('P07199', 'Q5VTD9')"
"('P61964', 'Q8NB78')"
"('P54253', 'A7E2V4')"
"('O75157', 'Q9BQA1')"
"('P04150', 'Q7Z7J9')"
"('Q86TM6', 'P28066')"
"('P49771', 'P00533')"
"('P68104', 'Q15811')"
"('Q92841', 'O60260')"
