negatives
"('Q9H2C0', 'Q12769')"
"('Q9BRQ6', 'Q9Y512')"
"('Q13952', 'Q15011')"
"('O95671', 'P48775')"
"('P27105', 'Q9Y277')"
"('P51681', 'P49888')"
"('Q9HAU5', 'Q9H8T0')"
"('Q01844', 'P15927')"
"('P07359', 'P35638')"
"('P63208', 'Q9UMR2')"
"('Q14376', 'Q9Y613')"
"('Q8NI36', 'Q9P275')"
"('P24941', 'P53567')"
"('P78537', 'Q9UL45')"
"('P61086', 'Q9NRD5')"
"('P31483', 'P01137')"
"('Q9H4L4', 'Q96QK1')"
"('Q86T24', 'Q9C009')"
"('P09622', 'P51692')"
"('P23528', 'Q15365')"
"('P33897', 'O00116')"
"('Q96A08', 'Q14527')"
"('Q9NQB0', 'O15105')"
"('Q96HY6', 'Q15800')"
"('P68036', 'Q05086')"
"('Q6NT76', 'Q6ZN18')"
"('Q96EG3', 'Q96SQ5')"
"('Q14653', 'O15379')"
"('Q8WXX7', 'Q9BYE7')"
"('Q9NRM7', 'P35222')"
"('Q9NRQ2', 'Q5T749')"
"('Q8NGX5', 'P62873')"
"('Q96NG5', 'O95199')"
"('Q9H095', 'P0DP23')"
"('P40692', 'P54278')"
"('Q9Y4K3', 'P04637')"
"('Q96I25', 'P16298')"
"('P51530', 'P39748')"
"('P18146', 'P12644')"
"('O00622', 'P31947')"
"('Q8TC84', 'Q9Y4P1')"
"('P07437', 'O15111')"
"('Q9UKB1', 'P55072')"
"('Q13573', 'Q96EE3')"
"('Q13200', 'Q05516')"
"('P25942', 'P34932')"
"('Q8WVV9', 'Q9NVV9')"
"('O95206', 'Q8WUW1')"
"('Q3LI76', 'Q9UQM7')"
"('Q9NRR5', 'Q04323')"
"('P31943', 'O75530')"
"('P30466', 'Q96HW7')"
"('Q00013', 'Q9NS64')"
"('Q15717', 'P98170')"
"('Q8IUF8', 'Q6N069')"
"('Q9UNM6', 'P11137')"
"('O95084', 'Q99653')"
"('Q14764', 'P18146')"
"('Q16543', 'Q9Y5X3')"
"('Q504Q3', 'P42677')"
"('Q58A45', 'O14980')"
"('P35613', 'Q8WWX0')"
"('P49770', 'P05067')"
"('Q7Z4Q2', 'Q9Y4K3')"
"('Q9NR56', 'Q7Z7G0')"
"('O75312', 'Q15942')"
"('P56748', 'P57739')"
"('P52790', 'P50222')"
"('P50990', 'Q12834')"
"('Q9NS91', 'Q06609')"
"('Q13618', 'Q3MHD2')"
"('Q14353', 'Q9NUX5')"
"('O95476', 'Q9Y5M8')"
"('P05067', 'Q2VYF4')"
"('Q9NRM7', 'Q9UPQ9')"
"('O95777', 'O94776')"
"('Q9P2Z0', 'Q03393')"
"('P82664', 'P32969')"
"('P43358', 'P05067')"
"('P42858', 'Q96RN5')"
"('O75506', 'Q96GS4')"
"('O95197', 'Q16739')"
"('Q96S15', 'A6NHX0')"
"('Q96Q83', 'P25440')"
"('Q9Y375', 'Q9NPL8')"
"('Q14151', 'P35226')"
"('Q13286', 'Q5T160')"
"('Q9P258', 'P04629')"
"('Q16828', 'Q16659')"
"('Q8IZI9', 'P78552')"
"('P25788', 'Q8TAF3')"
"('O75031', 'Q3SY00')"
"('Q5T9A4', 'O14965')"
"('Q9Y287', 'Q9NRB3')"
"('P03372', 'Q99460')"
"('A0JNW5', 'Q8WUE5')"
"('P22736', 'Q96JS3')"
"('Q96CS3', 'P01889')"
"('Q92466', 'P0C0S5')"
"('P16871', 'P04792')"
"('P54257', 'Q53TS8')"
"('P67870', 'Q9Y3C5')"
"('O14980', 'P41229')"
"('O43143', 'Q99700')"
"('Q99623', 'P06454')"
"('Q9Y468', 'P28066')"
"('O43303', 'Q9HC77')"
"('P10275', 'Q15910')"
"('P01567', 'Q8IU57')"
"('P42166', 'P26640')"
"('P09429', 'O15350')"
"('Q9HA65', 'O00124')"
"('P62487', 'O60244')"
"('O43290', 'P46531')"
"('P49356', 'P31273')"
"('Q8NC60', 'P11142')"
"('P12110', 'P08648')"
"('Q12789', 'Q8NAV1')"
"('P09884', 'O14519')"
"('O43464', 'Q9NR09')"
"('P25098', 'Q8NGA1')"
"('P62158', 'O14829')"
"('Q99933', 'Q13200')"
"('O14967', 'Q9HDC9')"
"('P60983', 'Q9Y4K3')"
"('Q07020', 'P32121')"
"('Q6WKZ4', 'P57735')"
"('P61964', 'P62807')"
"('Q86YD7', 'Q7L804')"
"('P85037', 'Q63ZY3')"
"('O95832', 'Q9Y295')"
"('Q9H334', 'Q02548')"
"('Q8NC51', 'P62753')"
"('P54709', 'P27105')"
"('P22694', 'Q8NH79')"
"('P20936', 'Q8IZP0')"
"('Q14527', 'Q9Y5J5')"
"('P46379', 'P01892')"
"('Q9HCE1', 'Q9H246')"
"('O95995', 'P02533')"
"('Q8N1B4', 'Q8N5R6')"
"('P39905', 'Q9H871')"
"('Q13748', 'Q99558')"
"('P06748', 'Q03701')"
"('P62910', 'Q9Y3U8')"
"('Q96RU3', 'P67775')"
"('Q12802', 'Q9UKB1')"
"('P11215', 'O00459')"
"('Q8WXW3', 'Q8N960')"
"('Q9H6R4', 'Q9NRC8')"
"('P53671', 'P60981')"
"('Q7L2J0', 'Q9H9Z2')"
"('Q9C040', 'P61077')"
"('Q9NX14', 'P03897')"
"('Q9NR09', 'P53350')"
"('P01100', 'P40189')"
"('P98177', 'Q92793')"
"('Q96A35', 'Q2NL82')"
"('Q9BZW7', 'Q13748')"
"('Q13217', 'P0DMV8')"
"('P61221', 'Q9NRH1')"
"('Q96HT8', 'Q969G5')"
"('P38159', 'Q16236')"
"('Q15717', 'Q8N4A0')"
"('Q8N5W9', 'Q96I34')"
"('Q8IUQ4', 'Q8IZA0')"
"('Q9BWT7', 'Q14687')"
"('Q9BW62', 'Q9NSV4')"
"('Q9NVC6', 'O95988')"
"('P01579', 'P14902')"
"('P30443', 'Q13418')"
"('Q9Y5Q9', 'Q99853')"
"('Q13895', 'Q92841')"
"('Q14722', 'P05067')"
"('Q9UH62', 'P14314')"
"('Q96G21', 'Q9H0A0')"
"('Q12882', 'P04406')"
"('Q02078', 'Q96A08')"
"('Q6UX06', 'Q9UJJ9')"
"('Q93034', 'Q9NYS7')"
"('Q13618', 'Q03933')"
"('Q9NPF7', 'Q01113')"
"('P19012', 'Q8N443')"
"('P15927', 'P38606')"
"('P10275', 'Q99497')"
"('Q9H4A3', 'O95198')"
"('P19784', 'Q15287')"
"('Q15691', 'Q14164')"
"('P35226', 'O14893')"
"('Q9P0U1', 'Q969X5')"
"('P05412', 'O75475')"
"('Q96QC0', 'P17612')"
"('Q08211', 'P13010')"
"('O15111', 'P0DP25')"
"('O75582', 'P54253')"
"('Q9BRX9', 'O43711')"
"('Q92905', 'P62314')"
"('P63279', 'Q9ULR0')"
"('P52732', 'Q05682')"
"('P24001', 'P08621')"
"('Q9Y4X5', 'O14933')"
"('O75147', 'Q14980')"
"('Q01970', 'Q13424')"
"('Q14164', 'Q04941')"
"('Q86VP6', 'O75569')"
"('P14373', 'Q96F44')"
"('P18146', 'Q5T2R2')"
"('Q13371', 'P46379')"
"('P35609', 'P12694')"
"('Q16186', 'P25789')"
"('P06241', 'Q14767')"
"('P05412', 'Q9H4W6')"
"('P22694', 'O76100')"
"('P23528', 'Q15007')"
"('Q6IQ23', 'P0DMV9')"
"('Q13619', 'Q13616')"
"('P35998', 'P04843')"
"('O15371', 'P55010')"
"('P16298', 'Q76I76')"
"('Q9HCJ0', 'Q96LI5')"
"('O95166', 'Q8NFG4')"
"('Q92949', 'P48380')"
"('Q9BS40', 'Q5TB80')"
"('P27986', 'P48023')"
"('Q9UM22', 'Q13501')"
"('Q13131', 'Q86TI0')"
"('P26012', 'Q9HBI0')"
"('P26951', 'Q9H334')"
"('P40189', 'P07948')"
"('Q92597', 'Q15436')"
"('Q13043', 'O43175')"
"('P48380', 'Q8IZL9')"
"('Q13098', 'Q10570')"
"('P48788', 'P63316')"
"('Q13077', 'Q7Z434')"
"('Q96S59', 'Q71UM5')"
"('Q99558', 'P62158')"
"('Q9GZS3', 'Q9UHL4')"
"('Q4KMG0', 'Q3KPI0')"
"('O43521', 'Q96GD4')"
"('Q9UI38', 'P01137')"
"('P56192', 'Q9NRD1')"
"('Q9NRA1', 'P06213')"
"('P30466', 'Q96AY4')"
"('Q9UM73', 'P46199')"
"('Q06587', 'Q14781')"
"('O43390', 'P22626')"
"('P23284', 'Q9H967')"
"('P32302', 'P14859')"
"('P35232', 'Q9H040')"
"('P15336', 'Q9UP65')"
"('Q5VWX1', 'Q8IXW5')"
"('Q86X19', 'P61221')"
"('Q9H2S5', 'Q15276')"
"('Q15365', 'Q14186')"
"('P13569', 'Q15185')"
"('Q92831', 'Q13950')"
"('Q8IY33', 'P01106')"
"('Q6UVJ0', 'Q96C92')"
"('Q96GD4', 'Q8TF76')"
"('Q96EV8', 'O14964')"
"('O00206', 'Q8IWL1')"
"('Q15345', 'Q93034')"
"('P50452', 'Q8N0Z6')"
"('Q9HB21', 'Q9P0V3')"
"('Q14686', 'P46060')"
"('Q16658', 'P01889')"
"('Q9NRC8', 'Q92576')"
"('P55081', 'Q9NSC5')"
"('Q6VAB6', 'Q58FF8')"
"('P32121', 'Q9BQA1')"
"('O43869', 'Q9P2W3')"
"('P16104', 'P31327')"
"('P63167', 'P01889')"
"('Q9Y3D7', 'Q8N6K0')"
"('P19320', 'O95782')"
"('Q92665', 'Q02878')"
"('Q8WYN0', 'Q8IVW4')"
"('P35244', 'O00159')"
"('Q9NPD8', 'Q15078')"
"('P01106', 'Q92979')"
"('Q8N6D2', 'P22314')"
"('O95678', 'Q9HAQ2')"
"('Q05519', 'Q96EK4')"
"('P52298', 'P10074')"
"('Q13617', 'O75340')"
"('P04629', 'Q8IZ83')"
"('Q9H0R8', 'P12956')"
"('P11142', 'P46527')"
"('P47898', 'P62879')"
"('P61923', 'Q9HD26')"
"('Q8IVT5', 'Q9HC36')"
"('Q562R1', 'Q05655')"
"('Q92949', 'Q9UJJ7')"
"('Q9H8E8', 'P43363')"
"('P12955', 'Q9Y248')"
"('O95433', 'P01859')"
"('O60264', 'O14802')"
"('O43167', 'Q96BR9')"
"('Q13148', 'P46778')"
"('Q13509', 'O00423')"
"('P62891', 'P05388')"
"('O14939', 'O00499')"
"('P06454', 'P24941')"
"('P49591', 'P12081')"
"('P55036', 'Q13200')"
"('Q06609', 'P23246')"
"('P00533', 'P08729')"
"('O15297', 'P46777')"
"('Q99650', 'P29353')"
"('Q9H492', 'P46531')"
"('Q01094', 'Q13547')"
"('P04637', 'P35232')"
"('Q9HB40', 'Q9Y6E0')"
"('P62324', 'Q9UKB1')"
"('Q86VP6', 'O43175')"
"('Q9NQT8', 'Q9BPZ7')"
"('Q15637', 'O14979')"
"('Q9NQL9', 'Q9BYQ4')"
"('P06899', 'Q13547')"
"('Q9Y2B5', 'Q15323')"
"('Q9Y239', 'Q13098')"
"('Q6NUN9', 'P53007')"
"('O14980', 'Q9Y2J4')"
"('Q4G176', 'P14373')"
"('Q92841', 'Q9BY42')"
"('Q86V42', 'Q96QF0')"
"('P34897', 'Q96IZ0')"
"('Q14689', 'Q9UBU9')"
"('Q13098', 'Q13568')"
"('Q92535', 'P37287')"
"('P05067', 'O95571')"
"('O43291', 'Q8TC07')"
"('Q96Q15', 'P52298')"
"('Q9H8S9', 'Q96N67')"
"('P63092', 'P34897')"
"('P40763', 'Q15797')"
"('Q00987', 'Q03468')"
"('Q99496', 'Q13573')"
"('O43257', 'Q15025')"
"('Q00839', 'O14965')"
"('Q96D03', 'Q9NWQ9')"
"('Q99471', 'P62873')"
"('Q5HYK9', 'Q16543')"
"('Q9UHX1', 'P61019')"
"('P25445', 'Q8TES7')"
"('Q04206', 'P05013')"
"('O95715', 'P46094')"
"('Q9NX18', 'Q99570')"
"('Q9Y2A9', 'Q3ZCM7')"
"('Q99615', 'Q96FW1')"
"('P33991', 'P78396')"
"('Q9Y468', 'P62987')"
"('P11021', 'Q86XA0')"
"('O60925', 'Q6IE81')"
"('P19532', 'P42704')"
"('O94864', 'Q9Y6J9')"
"('Q8NI38', 'Q9C026')"
"('O15047', 'P10242')"
"('Q14684', 'P50914')"
"('P52565', 'P46527')"
"('P49674', 'O94888')"
"('O43913', 'O60939')"
"('Q8WXX5', 'P62805')"
"('P49716', 'Q8IXL7')"
"('P19320', 'P04075')"
"('Q15545', 'P78332')"
"('Q96NL6', 'Q9Y2T2')"
"('P05141', 'P39019')"
"('Q86T82', 'Q9UKB1')"
"('Q96C36', 'Q96RK0')"
"('P20700', 'P27694')"
"('P55157', 'O15056')"
"('Q9C086', 'Q6P4R8')"
"('O00506', 'Q8IY42')"
"('P42345', 'Q6P1M3')"
"('Q9Y608', 'P40763')"
"('P49736', 'Q12905')"
"('Q5VWX1', 'P23396')"
"('Q9Y6E0', 'P31942')"
"('Q9UQL6', 'P36578')"
"('O00141', 'O00213')"
"('Q9NTG7', 'P50542')"
"('P23508', 'Q08ER8')"
"('Q13547', 'O00505')"
"('Q9UL17', 'P14921')"
"('O75716', 'Q15654')"
"('P17980', 'Q05086')"
"('Q9UNE7', 'O00487')"
"('P61247', 'Q9Y4K3')"
"('P22694', 'P61952')"
"('Q9NRG1', 'P56279')"
"('P08238', 'P31749')"
"('O15460', 'Q13643')"
"('Q99590', 'Q08AG7')"
"('P05549', 'P12956')"
"('P62714', 'O95684')"
"('Q13489', 'Q09472')"
"('O60941', 'P04406')"
"('Q5JRA6', 'P14373')"
"('Q8IVT2', 'Q9UHB6')"
"('P30556', 'P04049')"
"('Q8TCJ0', 'O43781')"
"('Q9UQM7', 'P35222')"
"('A6NEM1', 'Q13526')"
"('Q8WXX5', 'O95429')"
"('O75360', 'Q9UIJ7')"
"('Q9BS26', 'Q96RL1')"
"('Q6NUS6', 'O95197')"
"('Q9Y606', 'P61158')"
"('Q96DB2', 'Q9UQ35')"
"('P50222', 'Q9Y2B9')"
"('Q13155', 'P02675')"
"('P50991', 'Q9NWA0')"
"('P07947', 'P11802')"
"('P62136', 'P78364')"
"('O95817', 'Q9NQH7')"
"('Q75N03', 'Q2KJY2')"
"('Q86WC6', 'Q96D03')"
"('Q8TBB1', 'Q9BPW4')"
"('Q9BXS5', 'Q8IU60')"
"('P61247', 'P05388')"
"('Q9H5K3', 'Q92521')"
"('Q96EL2', 'P62241')"
"('Q9P127', 'P60410')"
"('P55072', 'P04843')"
"('P13010', 'Q14686')"
"('P56945', 'Q14209')"
"('P05067', 'Q8IUD2')"
"('P07437', 'P49642')"
"('A8MQ03', 'Q9H1K4')"
"('P83731', 'P62277')"
"('P05067', 'P36544')"
"('Q99460', 'P07900')"
"('P06400', 'Q14186')"
"('Q9HC10', 'Q9UEW8')"
"('Q13268', 'Q9Y277')"
"('P17931', 'Q9HCC0')"
"('O75461', 'O14686')"
"('O15439', 'O00214')"
"('Q5T0N5', 'Q06330')"
"('P54274', 'P22061')"
"('O95990', 'P19012')"
"('Q13107', 'O43318')"
"('Q5BJF6', 'P08047')"
"('P63104', 'P08670')"
"('O00716', 'O75132')"
"('O43865', 'P00441')"
"('O95834', 'Q9BVA1')"
"('Q12899', 'Q8N5U6')"
"('O43396', 'P51665')"
"('Q86WU2', 'Q8WWK9')"
"('Q05195', 'Q9UH92')"
"('Q8WVM8', 'O95249')"
"('Q03060', 'Q9UKL3')"
"('Q01094', 'Q00987')"
"('Q96ST3', 'Q03164')"
"('P52888', 'P08133')"
"('Q96I34', 'Q8TAB5')"
"('Q9BXB1', 'P50993')"
"('P24941', 'Q12906')"
"('P51991', 'Q9H9Z2')"
"('Q01094', 'P09382')"
"('Q99700', 'P41218')"
"('O95182', 'Q96HC4')"
"('P48200', 'Q92973')"
"('Q99570', 'Q9C0C7')"
"('Q15717', 'Q9BXS4')"
"('P35226', 'O75152')"
"('Q08AF8', 'Q00994')"
"('O95273', 'Q96EH8')"
"('P67809', 'Q15717')"
"('Q9HCD5', 'Q15714')"
"('Q9UKS6', 'Q00688')"
"('P61221', 'Q9NVI1')"
"('P27824', 'P15336')"
"('Q13233', 'Q9BV68')"
"('P30622', 'Q71U36')"
"('Q13237', 'Q9Y691')"
"('Q15109', 'P02747')"
"('Q96EP0', 'Q13077')"
"('Q92614', 'Q13045')"
"('P15976', 'Q9BYQ4')"
"('P49703', 'P07814')"
"('Q14019', 'P63261')"
"('Q9P209', 'Q96ST8')"
"('P56706', 'O75197')"
"('P11233', 'Q9UI32')"
"('Q9Y371', 'P17612')"
"('Q92793', 'Q9HCU9')"
"('Q5TA76', 'Q9BYQ3')"
"('Q5T440', 'Q86X76')"
"('Q8TBC4', 'P32119')"
"('Q5S007', 'P11142')"
"('P16455', 'Q13415')"
"('P35813', 'Q9H9F9')"
"('P78345', 'P20810')"
"('Q15172', 'Q9UBN1')"
"('Q86UW9', 'Q96F45')"
"('Q08209', 'P28702')"
"('P35080', 'O95466')"
"('P13994', 'P17036')"
"('Q8IY92', 'P62826')"
"('P61254', 'Q96PQ6')"
"('Q9NR28', 'P22736')"
"('P21333', 'P05412')"
"('Q99471', 'Q96MT4')"
"('Q13671', 'P04626')"
"('Q969P0', 'P09651')"
"('Q13418', 'P57078')"
"('Q9NZ32', 'Q13227')"
"('Q99614', 'Q96K21')"
"('Q9HAW8', 'P04083')"
"('P60520', 'Q92843')"
"('Q9Y2T2', 'P25786')"
"('P51681', 'P51692')"
"('O15198', 'O60318')"
"('Q7KZI7', 'Q9UQC2')"
"('Q9H553', 'Q9Y5Z4')"
"('Q6NUS6', 'P05023')"
"('Q92569', 'Q969Z4')"
"('Q9Y2V7', 'Q9HB19')"
"('O95147', 'Q9UBU9')"
"('Q96CS3', 'Q15047')"
"('Q9BXW9', 'Q86VZ1')"
"('O00410', 'Q9H492')"
"('P49736', 'O14925')"
"('Q08999', 'O75182')"
"('O14788', 'P05496')"
"('Q86VQ0', 'Q9C040')"
"('P27986', 'P15509')"
"('Q8N2R8', 'P30154')"
"('O00744', 'Q12841')"
"('P62487', 'P49321')"
"('P63104', 'Q99728')"
"('O95166', 'P05387')"
"('Q01082', 'P04792')"
"('P51948', 'Q07869')"
"('P17252', 'O14807')"
"('Q13651', 'Q08334')"
"('Q99523', 'Q96NY9')"
"('P82933', 'P49721')"
"('O00217', 'P21912')"
"('O60941', 'O95477')"
"('Q99569', 'P15313')"
"('P09874', 'O15379')"
"('O14519', 'Q9UGU0')"
"('O75147', 'O60341')"
"('Q16676', 'Q9UJU5')"
"('Q02742', 'Q13635')"
"('O95758', 'Q8IYB3')"
"('O95568', 'Q9BQ67')"
"('Q92793', 'Q01201')"
"('Q8IWZ8', 'P22626')"
"('P26368', 'O00567')"
"('Q9NX20', 'Q9NQW6')"
"('Q8N998', 'Q96CN5')"
"('O43189', 'Q13620')"
"('O60573', 'Q12923')"
"('O60282', 'Q86YM7')"
"('Q99873', 'Q9UJ78')"
"('Q16778', 'P21675')"
"('Q15287', 'Q9NPJ6')"
"('P32243', 'Q8IUH5')"
"('P16104', 'Q9H074')"
"('P82933', 'Q07021')"
"('Q9BYD6', 'Q8TCC3')"
"('Q86WX3', 'Q9NVU0')"
"('P42685', 'P08238')"
"('Q9H3H5', 'Q13618')"
"('Q92542', 'P49755')"
"('Q92731', 'Q6P2E9')"
"('P22301', 'O95644')"
"('P54727', 'P35998')"
"('O75665', 'Q8NBT2')"
"('Q5T6F2', 'Q9NZC7')"
"('Q9H6T3', 'Q9HB71')"
"('P61020', 'Q8IW35')"
"('P61604', 'P60520')"
"('Q13952', 'Q6IQ32')"
"('Q15004', 'P12004')"
"('Q5T280', 'Q6ZW49')"
"('P61019', 'Q9UI12')"
"('P02008', 'Q15323')"
"('Q96GG9', 'Q16531')"
"('Q16576', 'P48431')"
"('Q96E09', 'P05067')"
"('Q8N726', 'P12004')"
"('Q8NBJ4', 'P40429')"
"('P37802', 'O15540')"
"('P27635', 'O75475')"
"('Q7Z4S6', 'Q9P1Y6')"
"('Q14999', 'Q8IV08')"
"('Q9P0V3', 'Q5TCZ1')"
"('Q9NR96', 'Q06187')"
"('Q08AD1', 'O75420')"
"('P04629', 'Q92598')"
"('Q96GG9', 'P62318')"
"('Q99558', 'P23396')"
"('Q93096', 'P49356')"
"('P35568', 'Q13315')"
"('O15234', 'P41218')"
"('Q14999', 'P51149')"
"('O43295', 'O60341')"
"('P62834', 'O00459')"
"('Q16778', 'Q08945')"
"('O15297', 'Q9BYZ6')"
"('Q07869', 'Q13887')"
"('Q9BW85', 'Q9Y6D9')"
"('O43679', 'Q5U651')"
"('Q8N8S7', 'Q9UGI8')"
"('O76064', 'P55072')"
"('O15344', 'Q8N8B7')"
"('O95235', 'O95271')"
"('Q8IUH5', 'Q49AJ0')"
"('Q9UER7', 'Q99816')"
"('Q71DI3', 'Q9UKN8')"
"('O75914', 'P52564')"
"('O43929', 'Q99459')"
"('Q9NX58', 'P49137')"
"('Q8WUK0', 'P14927')"
"('Q9Y333', 'Q96IZ7')"
"('P68371', 'P51149')"
"('Q13526', 'P67775')"
"('P30086', 'Q02750')"
"('Q92956', 'Q12873')"
"('P46781', 'Q13111')"
"('P68032', 'Q96B97')"
"('Q6K0P9', 'Q9UBW7')"
"('P02766', 'P02647')"
"('Q8NA56', 'O75147')"
"('Q9Y5Z7', 'P51610')"
"('P25791', 'Q6A162')"
"('P06213', 'Q14449')"
"('Q96B33', 'O95484')"
"('P62993', 'Q92966')"
"('P53999', 'Q02543')"
"('Q86YC3', 'Q9NRD1')"
"('Q9UID3', 'P02786')"
"('Q8N8Y2', 'O75360')"
"('P36578', 'P62857')"
"('P27816', 'Q96FW1')"
"('P05412', 'P22314')"
"('Q8NB16', 'Q9HD15')"
"('Q8NI35', 'P35240')"
"('P53367', 'O75340')"
"('Q96CS2', 'P60709')"
"('Q9Y6C5', 'Q4KMG0')"
"('Q9NQW7', 'Q9UHX1')"
"('Q8NH53', 'O60262')"
"('Q12905', 'Q15427')"
"('Q9C0B0', 'Q86VP6')"
"('Q6PI77', 'Q16543')"
"('O75665', 'Q8NDI1')"
"('Q9NPJ6', 'O15078')"
"('Q01780', 'Q08945')"
"('Q9P202', 'O60711')"
"('Q8IWS0', 'Q00839')"
"('P40424', 'Q96PU5')"
"('O15355', 'O15397')"
"('O43610', 'Q9BXY8')"
"('Q6IQ23', 'Q9Y5K6')"
"('Q9HCE1', 'O95190')"
"('Q86YW0', 'Q8IW75')"
"('P02751', 'P18621')"
"('O14965', 'Q9UMZ2')"
"('O00221', 'Q9BZF9')"
"('Q03111', 'Q8TEK3')"
"('P47992', 'P46092')"
"('Q96CW5', 'Q9BQE3')"
"('Q92993', 'P02545')"
"('O75530', 'Q9NQR1')"
"('Q9NZD8', 'Q5JST6')"
"('P62917', 'P61313')"
"('P40938', 'P25205')"
"('Q15714', 'Q16082')"
"('O43237', 'P63167')"
"('Q8WW34', 'Q96BZ8')"
"('P54132', 'P52701')"
"('Q15717', 'Q96BD5')"
"('Q66K64', 'Q6W2J9')"
"('Q8IY81', 'O00541')"
"('Q9H853', 'P22681')"
"('P11021', 'Q13546')"
"('Q7L5N1', 'O14979')"
"('P05067', 'P48444')"
"('Q96IV0', 'P05067')"
"('Q13263', 'Q14186')"
"('P18085', 'Q96AE4')"
"('P01912', 'P01730')"
"('Q8IV38', 'P49366')"
"('Q9NST1', 'O75381')"
"('Q9UJX2', 'P35711')"
"('Q99958', 'P14859')"
"('Q15051', 'P18669')"
"('P43351', 'P27694')"
"('Q8N1B4', 'Q15653')"
"('P49407', 'Q8NGI0')"
"('Q9Y450', 'Q8TF46')"
"('P61247', 'P60228')"
"('A4D1E9', 'Q8ND90')"
"('Q96KQ7', 'Q9BSU3')"
"('O43390', 'Q13813')"
"('Q9HAU0', 'Q9Y2H5')"
"('P27708', 'Q9Y6K9')"
"('Q86V97', 'Q9H0R8')"
"('Q9BYG3', 'Q9NW13')"
"('O60260', 'P51955')"
"('Q12906', 'Q15155')"
"('Q15773', 'O15357')"
"('Q9BTY7', 'Q5JY77')"
"('Q13153', 'Q32MK0')"
"('P53803', 'Q8WVC0')"
"('Q6NUN9', 'Q13200')"
"('P21246', 'Q96CQ1')"
"('O14980', 'P55735')"
"('P56524', 'P04908')"
"('Q9NR30', 'P82930')"
"('Q5VT06', 'O95684')"
"('Q6I9Y2', 'Q13769')"
"('P35626', 'P30954')"
"('Q8N1K5', 'Q06124')"
"('Q14764', 'Q07065')"
"('Q9Y6I3', 'P51168')"
"('Q9BYM8', 'Q96IQ9')"
"('Q96CN9', 'Q9BYG5')"
"('Q14790', 'O00571')"
"('Q8NB12', 'Q9H0I3')"
"('P49736', 'Q15185')"
"('Q9ULZ3', 'O15111')"
"('A0JLT2', 'Q9NWA0')"
"('Q6PL18', 'P03372')"
"('Q9Y484', 'Q96ST8')"
"('P45983', 'Q16584')"
"('O75534', 'Q9HB20')"
"('Q13620', 'Q5TAQ9')"
"('Q9NWV8', 'P14373')"
"('P11473', 'Q13393')"
"('Q13642', 'Q9Y478')"
"('Q8IX01', 'Q15233')"
"('Q9UQ88', 'Q9UBC9')"
"('Q9UIG4', 'P26367')"
"('Q7L273', 'O76011')"
"('Q96JJ7', 'Q99496')"
"('Q99873', 'P49761')"
"('Q8WXF0', 'O60573')"
"('Q8N6T7', 'P39023')"
"('P35240', 'Q8NC51')"
"('P35244', 'A6NMY6')"
"('P28290', 'Q96GX5')"
"('P18206', 'P30084')"
"('P62273', 'P46782')"
"('Q9Y2X7', 'Q6P1K2')"
"('Q8TAS1', 'P24928')"
"('Q8TDN6', 'P62913')"
"('O00401', 'O60861')"
"('Q13402', 'Q16518')"
"('P62258', 'Q16629')"
"('O00203', 'Q9UQ88')"
"('Q15554', 'Q92878')"
"('P46531', 'P67775')"
"('Q99816', 'O76011')"
"('Q92185', 'Q9UBW7')"
"('P35222', 'Q02952')"
"('Q15907', 'P50222')"
"('P55854', 'Q9UBE0')"
"('P19320', 'P08648')"
"('Q07627', 'Q9BWG6')"
"('Q9H6A0', 'Q9HCM4')"
"('Q15349', 'P07900')"
"('P09914', 'P51532')"
"('Q16082', 'Q15773')"
"('O15084', 'Q96SD1')"
"('Q01082', 'O15198')"
"('Q13554', 'Q8WXS5')"
"('P62269', 'Q13618')"
"('O00165', 'P13569')"
"('P61326', 'Q13838')"
"('O43719', 'O60563')"
"('Q9UQM7', 'O00305')"
"('Q14031', 'P17301')"
"('P55157', 'O95433')"
"('Q9Y450', 'Q13573')"
"('Q99961', 'Q16827')"
"('Q99496', 'P46776')"
"('Q9NRC8', 'O95714')"
"('Q9H0I2', 'Q969Q6')"
"('P62269', 'P60866')"
"('O43896', 'Q9Y2J2')"
"('Q9BRK4', 'O95835')"
"('P62993', 'Q9Y2W2')"
"('P07954', 'P62807')"
"('P22612', 'P48730')"
"('Q9H410', 'Q8NBT2')"
"('Q16623', 'Q9H115')"
"('P29460', 'P15260')"
"('P15407', 'P28347')"
"('Q6PML9', 'O95238')"
"('Q8WY64', 'Q5JST6')"
"('P03372', 'O43809')"
"('Q15418', 'P55210')"
"('O95467', 'O15169')"
"('O75190', 'P01241')"
"('P61218', 'Q8NHW4')"
"('O95503', 'P35226')"
"('P25791', 'P55196')"
"('Q96RT8', 'Q9BQE3')"
"('Q9UHD1', 'Q6PGP7')"
"('O14512', 'Q14141')"
"('Q09472', 'Q13526')"
"('Q149N8', 'P63146')"
"('Q9BRX2', 'Q96LA8')"
"('Q9Y3E0', 'P56556')"
"('P30307', 'P32243')"
"('Q14627', 'P31749')"
"('Q9Y2J4', 'Q9Y217')"
"('Q8WWY3', 'Q9NYW8')"
"('Q92824', 'Q02083')"
"('Q12778', 'A8MYZ6')"
"('Q4G1C9', 'O43149')"
"('Q12791', 'O75530')"
"('A9YTQ3', 'P27540')"
"('O75351', 'Q04323')"
"('P05412', 'Q9H5V9')"
