negatives
"('O75800', 'Q86UW7')"
"('Q9BRR8', 'Q9BXB1')"
"('Q9NVL8', 'Q99471')"
"('P03886', 'O00217')"
"('P27694', 'P49450')"
"('P22695', 'Q9NRC8')"
"('P17844', 'P55795')"
"('Q96HA1', 'P12270')"
"('P08912', 'O95467')"
"('P62937', 'P22626')"
"('Q9BWW4', 'Q96A47')"
"('Q99466', 'Q15796')"
"('P62753', 'Q86U38')"
"('P51991', 'Q15233')"
"('Q9P206', 'Q14BN4')"
"('P54886', 'P34897')"
"('Q00059', 'Q504Q3')"
"('P26641', 'O94762')"
"('P28482', 'Q96AC1')"
"('P38159', 'Q9Y6Y0')"
"('Q7L0Q8', 'Q96HE7')"
"('O60939', 'Q9BTW9')"
"('Q96CW1', 'Q5XKE5')"
"('Q5T749', 'Q15051')"
"('Q8TED0', 'P01106')"
"('Q86VG3', 'Q9HBG6')"
"('P27448', 'Q13131')"
"('P10321', 'Q8TB96')"
"('O96006', 'Q13671')"
"('Q16819', 'P01303')"
"('Q08499', 'P63098')"
"('Q5JST6', 'P47897')"
"('Q9NTW7', 'P55081')"
"('P48730', 'P10636')"
"('Q9UHV9', 'Q14BN4')"
"('Q13885', 'P00533')"
"('A9UHW6', 'O95425')"
"('Q02790', 'Q14999')"
"('Q96A65', 'Q9NPJ6')"
"('P61513', 'Q12906')"
"('Q9Y6K9', 'Q6DCA0')"
"('P16403', 'P24928')"
"('P18146', 'P00533')"
"('P62258', 'P05783')"
"('Q09472', 'P49716')"
"('P54259', 'Q9H0M0')"
"('Q13573', 'Q9Y5Q9')"
"('P08238', 'Q02156')"
"('Q9BQ48', 'Q13084')"
"('Q9BRT8', 'Q9NZ71')"
"('Q16512', 'P12931')"
"('P30559', 'Q9Y698')"
"('Q13509', 'P20073')"
"('O43815', 'Q96HS1')"
"('P50914', 'P61513')"
"('Q99961', 'Q92747')"
"('Q13547', 'Q09472')"
"('Q9BT67', 'P68036')"
"('P25105', 'P50148')"
"('O60934', 'O00410')"
"('P42858', 'P55072')"
"('Q16643', 'Q96H55')"
"('Q9GZN8', 'Q16821')"
"('Q9NX09', 'Q9P0N9')"
"('Q9UJF2', 'P61981')"
"('Q969G3', 'Q8TAQ2')"
"('Q96GN5', 'Q6NZI2')"
"('P60953', 'Q16584')"
"('Q8NHY2', 'Q99832')"
"('Q8WUM4', 'O00625')"
"('Q8NHM4', 'P02768')"
"('Q9ULA0', 'Q9UPW8')"
"('P50570', 'Q5SRI9')"
"('Q9UHD2', 'Q96MN2')"
"('P10912', 'P29597')"
"('P43657', 'O95467')"
"('Q9Y228', 'P67775')"
"('P25398', 'P61353')"
"('O60684', 'Q96B97')"
"('Q9BSJ2', 'Q16531')"
"('P17252', 'P09758')"
"('Q16666', 'P09913')"
"('Q9Y6M9', 'Q9UI09')"
"('Q13491', 'Q53HL2')"
"('P22415', 'P49848')"
"('Q96GD4', 'P62917')"
"('Q9NY12', 'P61224')"
"('Q96S55', 'O95786')"
"('Q9NX76', 'Q9NQ11')"
"('O95336', 'P60411')"
"('P67870', 'Q8TBX8')"
"('A6NI79', 'P25788')"
