negatives
"('O95429', 'Q6PL18')"
"('P24043', 'P26012')"
"('Q9NYA3', 'Q9BW85')"
"('Q9BXY8', 'O15297')"
"('P82675', 'P82912')"
"('Q13625', 'Q8NEY8')"
"('O00512', 'Q9Y3Y4')"
"('P13639', 'Q16526')"
"('P60014', 'P49639')"
"('Q9Y265', 'P63261')"
"('P35226', 'P15941')"
"('Q9Y3E0', 'P14923')"
"('Q1MSJ5', 'Q9NZ32')"
"('Q6PEX3', 'Q9BYR3')"
"('P35052', 'P09038')"
"('Q14943', 'P49862')"
"('P49407', 'Q15612')"
"('P49917', 'P03886')"
"('Q93034', 'Q02880')"
"('Q92797', 'P55316')"
"('Q9UBN7', 'O75081')"
"('Q6PJQ5', 'O15160')"
"('P12277', 'Q7Z6Z7')"
"('P43628', 'P30480')"
"('P15927', 'O00255')"
"('Q8TAC2', 'P68871')"
"('Q6VMQ6', 'Q15155')"
"('P14780', 'Q99075')"
"('Q9HC62', 'P61978')"
"('P22694', 'O60262')"
"('P08238', 'Q96NJ5')"
"('Q15365', 'O75874')"
"('O75603', 'O75031')"
"('O95602', 'Q9BQG0')"
"('P51668', 'P46779')"
"('Q9Y6M9', 'O96000')"
"('P12081', 'Q92616')"
"('Q9P0L0', 'Q9Y2K6')"
"('Q86YN6', 'P03372')"
"('Q9C086', 'Q12933')"
"('Q8NCW5', 'P61586')"
"('P51149', 'Q96DH6')"
"('P17655', 'P04629')"
"('Q9UI10', 'Q9NPD3')"
"('Q15233', 'Q6ZVZ8')"
"('P39019', 'P25398')"
"('Q9UN74', 'P51693')"
"('Q9BZX2', 'P19320')"
"('Q93009', 'Q8TES7')"
"('Q9UNF0', 'P42768')"
"('Q86XX4', 'Q8N8Y5')"
"('Q9H2P0', 'Q9H582')"
"('O15066', 'Q15599')"
"('Q9NYU1', 'P30457')"
"('P20042', 'Q9Y4G2')"
"('P00533', 'Q14192')"
"('Q8NHW5', 'P55884')"
"('O43175', 'P00533')"
"('P28070', 'P35558')"
"('P54278', 'Q6PD62')"
"('Q13642', 'Q01844')"
"('Q3V6T2', 'P48681')"
"('Q9Y2J4', 'Q9Y6D9')"
"('P16104', 'Q14103')"
"('Q9NU39', 'Q96B26')"
"('Q8IVQ6', 'P03372')"
"('Q9Y6B2', 'P46940')"
"('O14777', 'Q8TD31')"
"('Q6P9A2', 'P22304')"
"('P06241', 'Q9UI08')"
"('Q53HC0', 'P14373')"
"('Q9H6K1', 'Q8TCJ0')"
"('P04629', 'P52907')"
"('P20339', 'Q15276')"
"('P15104', 'P19838')"
"('O00203', 'O14980')"
"('P60369', 'Q3B820')"
"('Q14683', 'Q14999')"
"('P01023', 'P08311')"
"('Q9P2P5', 'P27482')"
"('P05161', 'P17947')"
"('P27986', 'P50148')"
"('P08243', 'Q00403')"
"('Q9Y5J5', 'Q9NYY8')"
"('Q16543', 'P22607')"
"('P61254', 'Q8IZL8')"
"('Q14790', 'Q13007')"
"('Q8NI77', 'Q9UMF0')"
"('Q13724', 'Q13509')"
"('O60504', 'P36406')"
"('P52701', 'Q9HAW4')"
"('Q8IX19', 'O95406')"
"('Q9BWF3', 'O15355')"
"('Q9P0K7', 'P27694')"
"('Q9Y478', 'Q9Y230')"
"('Q8N5M9', 'P61619')"
"('P52732', 'P08237')"
"('Q9P1U1', 'O00471')"
"('P04843', 'Q9UQL6')"
"('P10275', 'P09769')"
"('Q9UJW0', 'P18146')"
"('P62081', 'P52272')"
"('Q92759', 'P04637')"
"('Q8IXK0', 'Q5TZK3')"
"('P18428', 'Q13162')"
"('P61764', 'Q6IPU0')"
"('Q03518', 'P84103')"
"('Q9GZT8', 'Q9H9H4')"
"('Q15434', 'O60506')"
"('Q15233', 'P03372')"
"('P17812', 'P22314')"
"('Q9BYV2', 'P48668')"
"('P81605', 'Q9NWA0')"
"('Q92614', 'P78524')"
"('Q16514', 'Q9H0E3')"
"('Q07002', 'P62714')"
"('Q5VSL9', 'Q92945')"
"('Q15067', 'O43638')"
"('O14594', 'P24821')"
"('Q16520', 'P49715')"
"('Q9UBB9', 'Q8N5M1')"
"('P05067', 'Q9H8K7')"
"('P27348', 'Q8IUE0')"
"('P68104', 'P60900')"
"('P48431', 'Q8WVM8')"
"('Q9UBU7', 'P49736')"
"('Q7Z3S9', 'Q49AN0')"
"('Q15654', 'Q9BRQ0')"
"('Q9BWU1', 'P51532')"
"('P24592', 'P01344')"
"('Q99704', 'P10721')"
"('P26651', 'P15291')"
"('O00258', 'Q8WXA8')"
"('Q16512', 'O76011')"
"('Q9Y5S9', 'P05067')"
"('Q96KQ7', 'P41227')"
"('P40225', 'P48551')"
"('Q9BTA9', 'Q6P597')"
"('P26368', 'O00567')"
"('Q96B97', 'Q13077')"
"('Q13242', 'Q9H0W5')"
"('P63096', 'Q13509')"
"('P38936', 'P54652')"
"('Q6ZU80', 'Q5EBL8')"
"('P50914', 'O95793')"
"('P47897', 'Q96KR1')"
"('Q13769', 'Q96J01')"
"('Q9C0B0', 'Q15654')"
"('Q96PU8', 'P14317')"
"('P35869', 'O00268')"
"('Q8NH02', 'P38405')"
"('O14980', 'P28340')"
"('P01106', 'P12814')"
"('O75147', 'O60828')"
"('Q96LK0', 'Q9BRR8')"
"('Q70CQ1', 'Q7Z6Z7')"
"('P61019', 'P51571')"
"('P41250', 'A2RTX5')"
"('O43633', 'Q9HD42')"
"('Q9UNX3', 'Q8NFH3')"
"('Q9Y2X8', 'Q9H6Y7')"
"('O00422', 'P60228')"
"('Q13105', 'P04637')"
"('Q96A73', 'P17066')"
"('Q5SW79', 'Q96GY0')"
"('Q16627', 'Q04206')"
"('Q5T749', 'P60228')"
"('Q9H4B7', 'Q13620')"
"('P08047', 'P84022')"
"('P82650', 'P04637')"
"('Q96A65', 'Q13573')"
"('O75955', 'P05141')"
"('O00744', 'O75197')"
"('Q9Y2J2', 'P38919')"
"('Q6NUS6', 'Q13404')"
"('P61160', 'O95425')"
"('P24941', 'P22674')"
"('O14497', 'P38398')"
"('P04637', 'P10599')"
"('P04264', 'Q86VP6')"
"('Q9H0A0', 'Q16666')"
"('P46527', 'P33993')"
"('P55075', 'P36888')"
"('Q0ZGT2', 'P21333')"
"('Q8TBE0', 'Q8TC57')"
"('Q9H201', 'Q9Y597')"
"('P07954', 'P21695')"
"('P28288', 'Q9BUV8')"
"('Q9UMW8', 'Q15751')"
"('Q16625', 'O15551')"
"('Q04917', 'Q7Z2K6')"
"('P63172', 'Q7Z5K2')"
"('Q16236', 'Q13501')"
"('Q2KHM9', 'Q9BR77')"
"('Q9NX47', 'Q9H8T0')"
"('O94925', 'Q13424')"
"('P42677', 'Q9Y2K1')"
"('P04629', 'P30084')"
"('O15392', 'P46937')"
"('Q93034', 'Q12849')"
"('Q9Y2R2', 'P01889')"
"('P22694', 'O14775')"
"('Q8NGV7', 'P62873')"
"('Q969U6', 'Q8ND25')"
"('P63165', 'O14964')"
"('Q13813', 'P11441')"
"('Q96HR3', 'Q96KQ7')"
"('P49662', 'Q9P035')"
"('Q15154', 'Q9UQB8')"
"('Q96FW1', 'P04844')"
"('Q96LR2', 'Q9Y5S2')"
"('Q04864', 'O14980')"
"('Q6Y7W6', 'P04637')"
"('P52888', 'Q9HB07')"
"('Q9Y5B0', 'P34947')"
"('Q93050', 'P01909')"
"('Q86SE5', 'Q96IZ5')"
"('Q16816', 'Q9NZT1')"
"('Q16539', 'Q86TA1')"
"('P06702', 'P04271')"
"('P09430', 'P22612')"
"('Q6UXN9', 'Q8N257')"
"('P35613', 'Q8N1B4')"
"('P03372', 'Q13151')"
"('Q9UPY8', 'Q14008')"
"('Q9BWU1', 'Q13153')"
"('P98160', 'P14543')"
"('Q9Y371', 'Q16611')"
"('Q7Z3S9', 'O76003')"
"('Q15717', 'P00390')"
"('Q6P1J9', 'Q9Y6D5')"
"('P42166', 'P49959')"
"('A5YKK6', 'Q9HC77')"
"('Q9H7D7', 'Q16659')"
"('Q8WX93', 'Q9NR12')"
"('Q9UJX2', 'P35251')"
"('Q02878', 'P62258')"
"('P35568', 'Q13322')"
"('P35221', 'P48039')"
"('Q8TDN1', 'P01036')"
"('Q8WXI9', 'Q08397')"
"('P62750', 'Q13618')"
"('Q9HB07', 'Q9H2P9')"
"('Q9Y4R8', 'P42345')"
"('Q15075', 'P12004')"
"('O75179', 'Q9NZM3')"
"('Q9BWG6', 'Q08117')"
"('P67775', 'O95999')"
"('P13073', 'Q9UHQ4')"
"('Q96GD4', 'O75688')"
"('Q13077', 'Q96B97')"
"('P10636', 'Q14008')"
"('Q96C55', 'Q96EG3')"
"('O15198', 'P26572')"
"('P62987', 'P13569')"
"('P46778', 'P50914')"
"('Q9NUJ3', 'O75381')"
"('Q15311', 'Q86UD0')"
"('Q14157', 'Q9NRC8')"
"('Q9UGP4', 'O95561')"
"('P01889', 'O43908')"
"('Q14258', 'Q02962')"
"('Q12904', 'Q9H4A6')"
"('Q96LA8', 'Q9Y365')"
"('P46976', 'P62136')"
"('Q6VN20', 'P09237')"
"('Q92664', 'P06241')"
"('P02751', 'O43776')"
"('Q9UKV3', 'Q2TAY7')"
"('Q6UXN9', 'P48643')"
"('P11308', 'Q15669')"
"('Q92922', 'Q9UJX2')"
"('O95568', 'Q9NRH1')"
"('O43765', 'O95400')"
"('Q92985', 'P19838')"
"('P18085', 'Q13573')"
"('Q14684', 'Q15717')"
"('Q6ZW49', 'Q9H814')"
"('P19338', 'P26368')"
"('Q9Y4E8', 'Q9UQE7')"
"('O43557', 'P21145')"
"('P13612', 'Q13263')"
"('P51608', 'P62807')"
"('Q93077', 'Q8N257')"
"('P62158', 'P41586')"
"('O95484', 'O95832')"
"('Q13618', 'O75807')"
"('P43034', 'P07954')"
"('Q9Y4A5', 'O60244')"
"('Q14847', 'Q5SW79')"
"('P68104', 'O95365')"
"('O60888', 'Q9NY27')"
"('O15173', 'Q96PS8')"
"('O15047', 'Q8N257')"
"('P04899', 'Q504Q3')"
"('P58753', 'P49366')"
"('Q99598', 'Q9NUJ3')"
"('Q86WB0', 'O15530')"
"('Q7Z6J0', 'P31751')"
"('Q13155', 'P36543')"
"('Q6P3W7', 'Q96T58')"
"('Q15323', 'P05107')"
"('Q16254', 'Q92543')"
"('O95402', 'P52434')"
"('Q15572', 'P17480')"
"('P19838', 'Q13485')"
"('Q15910', 'Q9NYS7')"
"('P63279', 'Q99666')"
"('P56524', 'P30305')"
"('Q9UKS6', 'Q9UNF0')"
"('P49368', 'P62993')"
"('Q9UNS1', 'Q9BVW5')"
"('P55072', 'Q8IY92')"
"('Q6WCQ1', 'P78371')"
"('O43852', 'Q9BTE6')"
"('Q9H0W5', 'P50402')"
"('Q9Y3B7', 'Q04837')"
"('P29474', 'Q8TAG9')"
"('Q5SXM2', 'P61289')"
"('P35900', 'Q7Z3S9')"
"('P10275', 'Q92466')"
"('Q99613', 'Q13148')"
"('P62491', 'P52333')"
"('Q6NUN9', 'Q13347')"
"('P67870', 'O00555')"
"('P46087', 'Q02878')"
"('Q9Y6Y8', 'O95070')"
"('O95863', 'Q06587')"
"('P31151', 'P54274')"
"('Q8NCR3', 'P0DP23')"
"('Q13131', 'Q8TF40')"
"('Q13425', 'Q9H4B6')"
"('P30443', 'P10321')"
"('Q96ED9', 'Q13618')"
"('P51784', 'P04629')"
"('O75208', 'Q9P2R7')"
"('P13591', 'P09936')"
"('Q02223', 'Q12933')"
"('P11277', 'P27348')"
"('P60520', 'Q92636')"
"('P46937', 'P61981')"
"('P62714', 'Q7Z3S7')"
"('P05161', 'Q9H974')"
"('Q9P2A4', 'P62993')"
"('Q03181', 'Q15596')"
"('Q9Y5K5', 'P01040')"
"('P08294', 'Q9UHD9')"
"('O00233', 'Q9NZQ3')"
"('P31946', 'P16144')"
"('P62857', 'O75031')"
"('O14610', 'P01111')"
"('P27361', 'Q03252')"
"('Q12962', 'Q15544')"
"('P01857', 'Q9Y5K5')"
"('P17947', 'Q9Y6Y9')"
"('P05412', 'Q15428')"
"('Q9UKE5', 'Q14687')"
"('Q9Y283', 'Q9BRQ6')"
"('Q9HCE1', 'P46109')"
"('Q15287', 'O75494')"
"('Q9BYE3', 'P60410')"
"('Q8IZQ1', 'Q9BXW4')"
"('P23771', 'Q13547')"
"('Q9NPA8', 'Q92830')"
"('O14775', 'Q92633')"
"('Q9NWB6', 'P63172')"
"('P62701', 'O95819')"
"('Q13043', 'P31025')"
"('Q5ST30', 'P11171')"
"('Q9Y265', 'P49450')"
"('P04629', 'P23378')"
"('Q99759', 'P34931')"
"('O15530', 'O75385')"
"('P01876', 'P35527')"
"('P38432', 'P51116')"
"('Q7L5N1', 'P78396')"
"('O75145', 'O60504')"
"('P49711', 'P19338')"
"('O75351', 'P53990')"
"('P42166', 'Q14978')"
"('Q8N1B3', 'Q86VP1')"
"('Q7Z3S9', 'Q8NAT1')"
"('Q8WVC0', 'P32121')"
"('P35626', 'P49674')"
"('O43557', 'Q8N5M9')"
"('Q5JST6', 'Q12774')"
"('P62070', 'Q9P212')"
"('Q9P2K5', 'Q9BWU1')"
"('P48047', 'P30101')"
"('O95198', 'Q96RE7')"
"('O95714', 'O75352')"
"('Q8WWX0', 'Q15370')"
"('P31948', 'P13929')"
"('Q12874', 'P02751')"
"('P60410', 'P09758')"
"('Q5JUK2', 'Q8WU58')"
"('P67870', 'O15123')"
"('Q9UNA1', 'P61587')"
"('P53999', 'Q9HAZ1')"
"('O43193', 'Q5JY77')"
"('O60568', 'Q02809')"
"('Q9Y5B6', 'Q9UBU9')"
"('Q8NBS9', 'Q16643')"
"('P09430', 'Q92997')"
"('P07237', 'Q6NWY9')"
"('P05141', 'Q8N5G0')"
"('Q13526', 'P20338')"
"('Q5T8D3', 'Q6P597')"
"('Q9UL54', 'P52564')"
"('P47872', 'P0DP24')"
"('P04626', 'Q96N67')"
"('Q9UN37', 'O43633')"
"('Q9Y248', 'Q9UNS1')"
"('P49286', 'P08754')"
"('P08648', 'P32004')"
"('Q96TC7', 'P11021')"
"('Q9P2P5', 'Q8ND56')"
"('Q9Y3D0', 'Q5W0Q7')"
"('Q15287', 'Q01130')"
"('P09651', 'Q96DH6')"
"('P01861', 'P01834')"
"('Q9HB71', 'P13612')"
"('Q68CZ1', 'Q9Y3Y2')"
"('O75474', 'P23508')"
"('P37287', 'Q92535')"
"('Q99835', 'P22612')"
"('O43143', 'Q86XR8')"
"('Q9Y2W1', 'P33993')"
"('O43318', 'P19634')"
"('P32320', 'Q9BQC3')"
"('Q14203', 'Q9BX40')"
"('Q96EL3', 'Q8TAP9')"
"('Q86WN2', 'P26951')"
"('O75376', 'P56524')"
"('P38398', 'Q86UX2')"
"('Q8WTQ7', 'O00574')"
"('Q63ZY3', 'Q92845')"
"('P21675', 'P54296')"
"('P05386', 'P61247')"
"('P04637', 'Q00597')"
"('P46937', 'Q9UJU2')"
"('Q15323', 'Q9ULK2')"
"('Q16637', 'Q8TF32')"
"('Q9NZJ0', 'Q13620')"
"('Q9NQW7', 'Q9UJ70')"
"('Q8NCA5', 'Q13148')"
"('P08473', 'Q16630')"
"('O43292', 'Q9UL03')"
"('O15084', 'Q14694')"
"('P47985', 'O43175')"
"('Q9H9G7', 'O15244')"
"('Q15418', 'P12955')"
"('O15020', 'P60709')"
"('Q9P2B4', 'P62714')"
"('Q8IZJ0', 'P48357')"
"('Q14192', 'P46695')"
"('Q13123', 'Q9BWT6')"
"('Q92905', 'O95678')"
"('P43686', 'Q9NZJ7')"
"('O95169', 'P56556')"
"('P39210', 'O00217')"
"('Q04837', 'P02751')"
"('P0DMV8', 'P32121')"
"('Q9Y263', 'P04054')"
"('P55211', 'P04049')"
"('P63146', 'Q5TC82')"
"('Q13616', 'P07910')"
"('Q9H223', 'Q5BKX5')"
"('P49918', 'P24385')"
"('O14818', 'P60900')"
"('Q8IZU0', 'Q9Y2Q3')"
"('P36578', 'Q96L21')"
"('Q8N423', 'Q86XS5')"
"('P62899', 'P49207')"
"('O75360', 'O76094')"
"('P11182', 'Q9H9G7')"
"('Q8N4U5', 'Q6PEY2')"
"('P32121', 'Q9UHB6')"
"('Q9NPG3', 'Q9Y294')"
"('P01903', 'P16260')"
"('Q14134', 'P40692')"
"('Q8IY51', 'Q96EK5')"
"('Q96S53', 'P21359')"
"('P55268', 'P40763')"
"('P55196', 'P60709')"
"('Q99759', 'O43175')"
"('Q13563', 'Q6A162')"
"('P54709', 'Q9NPA0')"
"('Q9HCE1', 'O00764')"
"('Q9H1A4', 'Q8IYT4')"
"('O43586', 'Q99952')"
"('P17535', 'Q00987')"
"('P08311', 'Q9NRD5')"
"('Q5RI15', 'O75208')"
"('Q9UP95', 'O75955')"
"('P49736', 'Q9Y6C9')"
"('O75603', 'Q3LI66')"
"('Q92764', 'Q17RB8')"
"('Q13098', 'P30622')"
"('O95219', 'P43360')"
"('P15927', 'Q2NL82')"
"('Q8N8Y5', 'Q8WVZ9')"
"('Q9Y2S0', 'P52434')"
"('Q27J81', 'Q9HCE1')"
"('Q96HA8', 'P14923')"
"('Q2M3C7', 'Q6P996')"
"('P63215', 'Q00975')"
"('Q8WUW1', 'P63261')"
"('P21741', 'Q02543')"
"('P30050', 'P83881')"
"('P60369', 'Q9BU61')"
"('Q93009', 'P42166')"
"('P17612', 'Q9NZV8')"
"('Q13191', 'P01589')"
"('P62633', 'Q9UK17')"
"('P27635', 'Q7KZF4')"
"('P08263', 'Q16772')"
"('Q7L273', 'Q9H9D4')"
"('Q86VP6', 'Q8WWH5')"
"('Q15843', 'Q15369')"
"('Q92900', 'P62495')"
"('P78345', 'P42771')"
"('Q2M1P5', 'Q9P209')"
"('Q13501', 'Q04323')"
"('P38919', 'Q8NI27')"
"('Q9UM11', 'Q9BTC8')"
"('O95872', 'O43143')"
"('Q9GZU7', 'Q15797')"
"('Q5VIR6', 'Q9P1Q0')"
"('P00533', 'P50570')"
"('Q00403', 'Q8TCJ0')"
"('Q92731', 'P05141')"
"('P48735', 'P07550')"
"('Q9C0B0', 'Q14207')"
"('Q10570', 'Q13148')"
"('P61978', 'Q15560')"
"('Q5JXC2', 'Q66GS9')"
"('P62280', 'P62854')"
"('Q9Y5A9', 'Q9UBS0')"
"('P42229', 'Q9UBE8')"
"('P68400', 'P01106')"
"('Q9BUJ2', 'Q9Y6Y0')"
"('Q9NZR1', 'P34897')"
"('Q15029', 'P09661')"
"('P10721', 'P43405')"
"('Q9HAV4', 'Q16790')"
"('P49023', 'P22102')"
"('P11142', 'Q9NZR4')"
"('Q8TDM6', 'P07737')"
"('P09493', 'P19237')"
"('O75521', 'P50542')"
"('O76039', 'P62993')"
"('Q13554', 'Q9NVR5')"
"('Q16623', 'Q86Y82')"
"('O00165', 'O00429')"
"('Q8NBR0', 'Q9C029')"
"('Q16777', 'Q9BY41')"
"('P0C0S5', 'Q86WJ1')"
"('Q7Z465', 'P55789')"
"('P49286', 'O60262')"
"('Q13243', 'O60508')"
"('P42766', 'Q969P0')"
"('Q13263', 'Q07812')"
"('A8MQ03', 'O43790')"
"('O95429', 'O43151')"
"('P28070', 'O15205')"
"('Q13137', 'Q12774')"
"('Q12959', 'Q9NYB5')"
"('P19838', 'Q03169')"
"('P18621', 'P61247')"
"('P26678', 'Q96BA8')"
"('Q12929', 'O14936')"
"('Q96FJ0', 'P43357')"
"('Q8N865', 'O95833')"
"('Q16181', 'Q99459')"
"('Q9UKB1', 'Q8IW50')"
"('P63279', 'Q96EP1')"
"('P52948', 'Q9Y6D5')"
"('Q13045', 'P03372')"
"('Q8TDD5', 'P51798')"
"('P23258', 'O14965')"
"('Q93009', 'Q8NG27')"
"('Q04917', 'Q96AC1')"
"('P55197', 'Q8TF50')"
"('Q7Z589', 'Q15291')"
"('Q8NHQ1', 'Q86WZ6')"
"('P22694', 'Q9P0J0')"
"('P15692', 'P08581')"
"('Q96GX1', 'P49069')"
"('Q9GZQ8', 'Q04837')"
"('Q9Y5V3', 'Q05D60')"
"('Q8TAD2', 'P17181')"
"('O60296', 'Q15051')"
"('P84098', 'P63220')"
"('P35270', 'P30086')"
"('Q04721', 'P13639')"
"('P02545', 'P51003')"
"('Q13882', 'P07900')"
"('Q6ZU80', 'Q8NEY1')"
"('Q13315', 'Q96RL1')"
"('P52292', 'Q13573')"
"('P32121', 'Q8NGK6')"
"('Q9UNN5', 'Q15714')"
"('Q9H074', 'O95503')"
"('P23443', 'Q92934')"
"('P10809', 'P0DMV8')"
"('Q9NRD1', 'P49593')"
"('Q15185', 'P04150')"
"('Q7RTU3', 'Q9BYR6')"
"('P11474', 'Q8IZU1')"
"('O95563', 'P00533')"
"('Q9H0Q3', 'Q96FL8')"
"('P05386', 'P62280')"
"('P16333', 'O15056')"
"('P83916', 'Q06587')"
"('Q9Y243', 'P42574')"
"('Q9Y371', 'O60488')"
"('Q8IVD9', 'P00533')"
"('Q9Y262', 'Q9BVS4')"
"('O00303', 'O14964')"
"('Q15884', 'Q9C0H2')"
"('O60763', 'P31323')"
"('Q8N3R9', 'Q6ZU80')"
"('P68104', 'Q15796')"
"('Q96EV8', 'Q9C040')"
"('Q5SW79', 'Q99661')"
"('Q9NXK8', 'P57678')"
"('Q15723', 'P17980')"
"('Q92993', 'Q9BVJ7')"
"('Q15118', 'Q9NQS3')"
"('P46778', 'P26373')"
"('Q16620', 'Q9UKW4')"
"('P55073', 'P50222')"
"('Q8WUA2', 'Q93009')"
"('Q99623', 'Q6DD88')"
"('Q8IYX8', 'Q96JN2')"
"('P27348', 'Q96T60')"
"('O43567', 'Q9Y3E1')"
"('Q15006', 'Q5HYA8')"
"('Q9Y4F1', 'Q15717')"
"('O43765', 'P34932')"
"('Q9UIA9', 'O15530')"
"('P09619', 'Q9UQC2')"
"('P09001', 'Q9BYD1')"
"('Q13813', 'Q16659')"
"('P36941', 'Q96DN5')"
"('P46379', 'P10124')"
"('P07900', 'P23396')"
"('Q9NRD5', 'Q7RTV5')"
"('O75822', 'O15371')"
"('Q9NQY0', 'A1IGU5')"
"('Q5TB80', 'O95619')"
"('O43921', 'O14672')"
"('Q3MIN7', 'Q53G59')"
"('Q9BWG6', 'P26371')"
"('Q8N205', 'Q12893')"
"('Q96A65', 'Q6ZU80')"
"('Q07157', 'P07900')"
"('O00567', 'O95478')"
"('Q96DD0', 'P13533')"
"('P06702', 'Q13641')"
"('Q8IZU1', 'Q6NZI2')"
"('P11940', 'Q92900')"
"('Q15102', 'Q04724')"
"('O43402', 'Q9P0N5')"
"('P09651', 'Q9UHD9')"
"('Q13191', 'P46108')"
"('Q96QD8', 'Q01968')"
"('P53618', 'P42858')"
"('P22626', 'Q66K74')"
"('Q7Z628', 'P61962')"
"('P61160', 'Q53TN4')"
"('Q5T5P2', 'Q9NQT4')"
"('Q03252', 'P33993')"
"('P16471', 'P78324')"
"('P0DP23', 'Q9Y2K6')"
"('P49720', 'P28074')"
"('Q2VPB7', 'Q9H0R1')"
"('P20700', 'Q13561')"
"('P33778', 'Q6NUN9')"
"('Q5HYN5', 'Q6ZUT1')"
"('P49336', 'Q71DI3')"
"('Q00987', 'Q96KQ7')"
"('P26951', 'P01116')"
"('O14980', 'Q86XN8')"
"('Q9Y597', 'Q6UUV7')"
"('Q8ND24', 'Q96FJ2')"
"('P41595', 'O60840')"
"('P06132', 'O14964')"
"('Q969Q6', 'Q86US8')"
"('Q9C0C9', 'Q2KHM9')"
"('Q9Y585', 'O60262')"
"('P12004', 'Q8TAF3')"
"('O95872', 'P13164')"
"('O43543', 'Q9HC57')"
"('P42574', 'Q9Y297')"
"('Q9UKT9', 'Q9UQL6')"
"('Q9UHQ1', 'Q16594')"
"('Q99598', 'Q9BSW7')"
"('Q96GG9', 'Q96S21')"
"('Q96EB1', 'Q96T76')"
"('Q9NYY8', 'Q96CM3')"
"('Q9BT04', 'O95817')"
"('Q9H0N5', 'Q96HR3')"
"('Q9UHA4', 'P36507')"
"('Q96EY1', 'Q96NE9')"
"('Q9Y3B4', 'Q13595')"
"('O75947', 'P25106')"
"('Q09472', 'P36508')"
"('P61952', 'P53779')"
"('O43294', 'P78396')"
"('Q9Y4B6', 'P48431')"
"('Q9NS98', 'P51805')"
"('Q96JG6', 'Q5R372')"
"('Q7Z434', 'Q92985')"
"('P63211', 'Q9H8Y8')"
"('Q969H4', 'Q8IUH5')"
"('P13500', 'P49682')"
"('P17252', 'P04083')"
"('Q9UHX1', 'Q01844')"
"('Q6EMK4', 'Q9UNF0')"
"('Q6PJT7', 'Q04917')"
"('P62241', 'Q96EY7')"
"('O75306', 'Q9UI09')"
"('P18124', 'P22736')"
"('P49327', 'Q96KQ7')"
"('P24941', 'Q9Y617')"
"('P62937', 'Q16719')"
"('P61956', 'Q96JQ0')"
"('Q14164', 'Q9NR31')"
"('P34897', 'Q9UPV0')"
"('Q16531', 'Q6K0P9')"
"('P06733', 'P30626')"
"('Q8ND90', 'Q8WWY3')"
"('Q16637', 'Q8IZL8')"
"('O95402', 'P62487')"
"('A6NKD9', 'Q5VX71')"
"('Q9UBU9', 'Q9NPJ6')"
"('P49903', 'Q13432')"
"('P11498', 'P30153')"
"('Q9P275', 'Q12899')"
"('Q9BSB4', 'P15927')"
"('P23528', 'Q13526')"
"('P04626', 'Q9UKW4')"
"('P21781', 'P10721')"
"('Q9UGM6', 'O75360')"
"('P15311', 'P32004')"
"('P38432', 'P24278')"
"('Q86VP6', 'P06576')"
"('Q14103', 'P60520')"
"('O76011', 'P69905')"
"('P31943', 'P60709')"
"('Q12888', 'P52294')"
"('P23511', 'Q07955')"
"('O43189', 'Q6PF18')"
"('P45983', 'Q8N1F8')"
"('Q709F0', 'Q5H9R7')"
"('A6NIX2', 'Q9NRM7')"
"('P61088', 'Q9HBD1')"
"('Q9BTT4', 'P24863')"
"('Q13309', 'P14635')"
"('P26641', 'Q9H444')"
"('O60662', 'O15273')"
"('P22234', 'P00966')"
"('Q01860', 'Q6ZW49')"
"('P61758', 'O15457')"
"('Q13617', 'Q8WXC6')"
"('P57678', 'P01106')"
"('Q9UKW4', 'Q13480')"
"('O00716', 'O15392')"
"('Q7Z5B4', 'P16615')"
"('Q8NFH5', 'Q9Y3D0')"
"('Q05655', 'P78536')"
"('Q09028', 'O75147')"
"('Q12931', 'O00139')"
"('P52597', 'P35637')"
"('O43795', 'Q9H596')"
"('P53618', 'Q92538')"
"('Q14157', 'P51116')"
"('Q86U42', 'Q15717')"
"('P23219', 'Q16647')"
"('Q9H1E1', 'P13489')"
"('Q15393', 'Q9UQL6')"
"('O15085', 'Q92905')"
"('Q96BA8', 'Q96IW7')"
"('P16220', 'P18846')"
"('Q9NR30', 'Q9NRC8')"
"('Q9NQR4', 'P07195')"
"('P31948', 'P0DMV9')"
"('Q9Y265', 'P60953')"
"('P24043', 'Q7L1I2')"
"('Q96HC4', 'O95182')"
"('Q14197', 'P10809')"
"('Q8NBM4', 'Q9P0L0')"
"('P78334', 'O60296')"
"('O00258', 'P43657')"
"('P62312', 'P62306')"
"('Q5VIR6', 'Q9BZD4')"
"('O75489', 'Q9Y375')"
"('Q9NV56', 'P04637')"
"('P12931', 'O00459')"
"('Q8N1G0', 'O95619')"
"('O95166', 'Q15459')"
"('P49721', 'Q8TAA3')"
"('Q9H814', 'O14980')"
"('Q96A09', 'Q92530')"
"('Q96JG6', 'O95721')"
"('Q6NVV7', 'P05067')"
"('P15927', 'Q13432')"
"('Q13535', 'Q8N8A6')"
"('P41250', 'P26639')"
"('O14980', 'Q9UHW5')"
"('O15084', 'Q13615')"
"('P34931', 'Q9BYD6')"
"('P28702', 'P29122')"
"('P63000', 'Q02779')"
"('P11142', 'Q9H853')"
"('P19338', 'Q09161')"
"('Q9BVI0', 'P62805')"
"('P15336', 'P23284')"
"('P33993', 'Q8TDB6')"
"('Q9BQ15', 'Q9NVA2')"
