negatives
"('P51693', 'Q99547')"
"('P12956', 'P10275')"
"('P16473', 'P84996')"
"('Q9H1I8', 'P00966')"
"('O14640', 'Q8TAA9')"
"('P63000', 'O75369')"
"('P61981', 'O60282')"
"('O14561', 'Q9P0J0')"
"('P01116', 'Q12967')"
"('Q9Y383', 'P51114')"
"('P02462', 'P98095')"
"('P49755', 'Q9NZ42')"
"('Q04206', 'P05231')"
"('P24534', 'Q00005')"
"('P41182', 'Q9H165')"
"('P62314', 'Q99459')"
"('O43318', 'O14733')"
"('P46108', 'Q9Y5H6')"
"('Q58FF6', 'Q16665')"
"('Q8TDF6', 'P01111')"
"('P61313', 'P39023')"
"('P18146', 'Q7Z2X4')"
"('P51571', 'P43307')"
"('Q9NVI7', 'P13569')"
"('Q9ULA0', 'Q14525')"
"('Q9UHX1', 'Q9UHR5')"
"('Q92844', 'P38646')"
"('O43347', 'Q4VXU2')"
"('P37235', 'P11177')"
"('Q9H0W8', 'Q9Y5S9')"
"('O95155', 'Q12959')"
"('Q96MA1', 'P55345')"
"('Q9H173', 'P35222')"
"('Q96JC1', 'P62263')"
"('O14625', 'P32248')"
"('Q15427', 'Q9BWF3')"
"('P46781', 'Q9Y478')"
"('Q13418', 'Q9P031')"
"('P30273', 'Q06546')"
"('O95639', 'Q9P2I0')"
"('P63104', 'Q9P2J5')"
"('P41091', 'Q14152')"
"('Q9Y2X8', 'Q9Y508')"
"('P00519', 'O43390')"
"('Q5RIA9', 'P51965')"
"('P01111', 'P19174')"
"('O95999', 'P58876')"
"('P01563', 'P26951')"
"('P31749', 'O95685')"
"('Q9P2H0', 'P17028')"
"('Q05516', 'P41182')"
"('Q99708', 'P06400')"
"('P09960', 'P23508')"
"('Q15185', 'P23508')"
"('P61586', 'P45984')"
"('P35372', 'P49407')"
"('P11388', 'P16104')"
"('O43390', 'P16333')"
"('Q9UNY5', 'P02768')"
"('P61981', '404734')"
"('P78527', 'P49736')"
"('O43542', 'Q92698')"
"('O43638', 'Q93062')"
"('P51677', 'P32121')"
"('P61981', 'P14635')"
"('Q8N2W9', 'O75400')"
"('Q9NRD5', 'Q9H492')"
"('P05114', 'P05204')"
"('P03923', 'P03886')"
"('P01889', 'O43175')"
"('P49321', 'P19532')"
"('O95936', 'O60925')"
"('O14640', 'Q6ZSZ5')"
"('Q96B36', 'P37231')"
"('P23258', 'P49841')"
"('Q13190', 'P54257')"
"('Q13464', 'P10916')"
"('P50151', 'P42336')"
"('Q9UH92', 'Q9UHR5')"
"('Q9ULK5', 'Q05513')"
"('Q9NR55', 'Q16649')"
"('P29558', 'O60861')"
"('P46087', 'P19525')"
"('P62993', 'P29350')"
"('P04049', 'O43482')"
"('Q12809', 'P07900')"
"('P25787', 'P28066')"
"('O60925', 'Q96AW1')"
"('P06729', 'P09326')"
"('Q9BX66', 'P60709')"
"('Q9HAV0', 'P40145')"
"('P62987', 'P05386')"
"('Q17RW2', 'P31431')"
"('P05015', 'P15260')"
"('P51610', 'Q8IYH5')"
"('Q99836', 'P58753')"
"('P08107', 'P53779')"
"('P32121', 'Q9H2C5')"
"('Q9Y2G2', 'O14727')"
"('Q15014', 'P51149')"
"('P43250', 'P25025')"
"('P42684', 'P01112')"
"('P20585', 'P23025')"
"('P11142', 'O95197')"
"('Q13315', 'P49368')"
"('Q8WUM4', 'Q9H492')"
"('Q53GS9', 'Q04771')"
"('P55795', 'Q14683')"
"('P21333', 'Q8N264')"
"('P11274', 'P51692')"
"('Q9NR30', 'Q8IY37')"
"('Q9P2M4', 'Q05086')"
"('P43246', 'Q9Y6K9')"
"('Q9NWV8', 'Q96RL1')"
"('Q99963', 'P22607')"
"('P01871', 'Q9P209')"
"('Q9NUQ8', 'Q96K37')"
"('Q14C86', 'P63104')"
"('Q5UIP0', 'Q9NX09')"
"('Q9UBE0', 'Q16678')"
"('O75800', 'Q9Y3Q8')"
"('Q8N6Y0', 'O95990')"
"('Q75N90', 'P04844')"
"('O00255', 'Q9UBL3')"
"('Q9P2M7', 'P35579')"
"('O76094', 'Q13573')"
"('P01137', 'P37173')"
"('P27361', 'P53816')"
"('Q86Y82', 'O43752')"
"('Q9NQ32', 'Q01844')"
"('Q9H9G7', 'P60709')"
"('Q8IYB3', 'Q14103')"
"('Q9Y5J5', 'O43837')"
"('P78527', 'O60583')"
"('P02686', 'P01903')"
"('P52943', 'Q96AW1')"
"('Q9Y6H5', 'O00193')"
"('Q9UNW9', 'P61978')"
"('P17612', 'P54710')"
"('Q9UNY4', 'Q15797')"
"('P08651', 'Q8WYQ9')"
"('P13232', 'P01589')"
"('P01562', 'P15260')"
"('P62312', 'Q96EZ8')"
"('Q13352', 'O94762')"
"('P17612', 'Q8TD86')"
"('P62273', 'P35544')"
"('P63279', 'O75030')"
"('Q99836', 'Q15109')"
"('P35268', 'P05388')"
"('Q6IF82', 'P38405')"
"('O94762', 'P49959')"
"('Q96EV8', 'Q9Y4J8')"
"('O14980', 'P13569')"
"('P62424', 'P18124')"
"('Q16254', 'O14777')"
"('Q9NRL3', 'Q9Y4P8')"
"('P61218', 'Q8N7H5')"
"('Q13315', 'Q9UIU6')"
"('O94868', 'Q9NZ63')"
"('Q96A08', 'P51610')"
"('P36873', 'Q9P2K8')"
"('Q9NPF7', 'P32927')"
"('P17980', 'O00232')"
"('P67775', 'Q86US8')"
"('P10916', 'Q9P2M7')"
"('P10275', 'Q12770')"
"('Q12834', 'O95067')"
"('Q99570', 'P49116')"
"('P08648', 'P29279')"
"('P38398', 'O96017')"
"('Q13838', 'P25786')"
"('O60674', 'Q99650')"
"('P01566', 'Q969J5')"
"('P35626', 'Q8NGV5')"
"('Q8N257', 'Q9UKV0')"
"('P01242', 'Q13261')"
"('P28482', 'P40763')"
"('P32121', 'Q8NGX5')"
"('P06753', 'P51955')"
"('P61978', 'P10275')"
"('P19838', 'P05013')"
"('O95178', 'P03901')"
"('Q5JRA6', 'Q02388')"
"('Q9Y2T2', 'Q8IY92')"
"('O60610', 'Q9UQB8')"
"('P10720', 'P02768')"
"('P46060', 'P63279')"
"('O00483', 'O43676')"
"('Q9Y297', 'P42574')"
"('Q96B97', 'Q8WUM4')"
"('Q9NW61', 'Q96BK5')"
"('O60675', 'P35638')"
"('Q00653', 'Q8N163')"
"('Q16254', 'Q92698')"
"('O14640', 'Q05397')"
"('P33992', 'Q12906')"
"('Q99759', 'P50991')"
"('P35626', 'P61073')"
"('O95863', 'P12830')"
"('Q9ULJ6', 'Q5VU97')"
"('Q04206', 'P29459')"
"('P16871', 'P09104')"
"('P53990', 'P54253')"
"('O14654', 'Q92569')"
"('Q96DH6', 'P16104')"
"('P67775', 'Q13541')"
"('Q09472', 'O60356')"
"('Q9UPR3', 'Q9Y5P8')"
"('O75643', 'Q9BUQ8')"
"('O95863', 'P68431')"
"('P00533', 'P62993')"
"('P11766', 'Q12873')"
"('O43561', 'Q8WYR1')"
"('Q9HB71', 'Q8IUQ4')"
"('P32121', 'Q8NGP9')"
"('P07202', 'Q14627')"
"('O15055', 'P48730')"
"('Q96HE7', 'P30101')"
"('Q13332', 'Q9P2H0')"
"('P56556', 'P46379')"
"('Q15904', 'P17252')"
"('O43741', 'O43524')"
"('Q07092', 'P14136')"
"('P08514', 'Q9HBI0')"
"('Q05586', 'Q01668')"
"('O94788', 'Q9Y2X8')"
"('Q06124', 'P48736')"
"('P12830', 'P10586')"
"('Q9BQ66', 'P09619')"
"('Q9UFN0', 'Q15047')"
"('O43390', 'Q13242')"
"('O15379', 'P19793')"
"('P00519', 'Q9UN72')"
"('P25942', 'Q16548')"
"('P51668', 'Q9C035')"
"('Q05513', 'P13645')"
"('P10636', 'Q13526')"
"('Q9UK41', 'Q99816')"
"('P15104', 'P10809')"
"('P46939', 'Q05209')"
"('Q9Y243', 'P15336')"
"('Q8TDZ2', 'Q9UK32')"
"('Q9H0E9', 'P0C0S5')"
"('Q8N6Y0', 'Q9UPT5')"
"('P15336', 'P49715')"
"('O15155', 'O14653')"
"('Q9UL18', 'P43307')"
"('Q8NBZ0', 'P0C1Z6')"
"('Q01201', 'Q99731')"
"('P51991', 'P52272')"
"('Q93009', 'Q15287')"
"('Q16537', 'P54284')"
"('Q12809', 'Q96RG2')"
"('O60674', 'P42336')"
"('Q5D1E8', 'Q9NZD4')"
"('P51948', 'P09086')"
"('P06493', 'P49815')"
"('P36897', 'Q9HC98')"
"('Q9Y6W6', 'Q16539')"
"('O95897', 'P41567')"
"('P10145', 'P01833')"
"('P04637', 'P20023')"
"('O75398', 'P49841')"
"('P17542', 'P14921')"
"('P08069', 'P16885')"
"('Q7LBC6', 'P68431')"
"('Q14686', 'P84022')"
"('Q9H8Y8', 'Q96DH6')"
"('Q8IU54', 'Q5VWK5')"
"('P19387', 'Q9NVC6')"
"('O75150', 'P49459')"
"('Q5JQF8', 'P50616')"
"('Q9UPN3', 'P29372')"
"('Q13315', 'Q9UBE0')"
"('P34998', 'Q03113')"
"('P21281', 'P04406')"
"('P62820', 'Q9UPY8')"
"('P06730', 'Q03014')"
"('Q9H9Y6', 'P62993')"
"('P52907', 'P20929')"
"('P36578', 'P40425')"
"('P08047', 'Q9Y5K3')"
"('O00257', 'Q14781')"
"('P55081', 'Q13573')"
"('Q12986', 'P07910')"
"('O15379', 'P48443')"
"('Q5VZM2', 'Q8N122')"
"('O95382', 'P46734')"
"('Q96P11', 'Q99459')"
"('P53778', 'Q00005')"
"('Q15047', 'P46379')"
"('P43364', 'Q9H788')"
"('Q9HCT0', 'P21802')"
"('P48147', 'Q9Y478')"
"('P43403', 'Q13239')"
"('O75369', 'P53708')"
"('O75914', 'Q32MK0')"
"('P62753', 'P62266')"
"('Q00613', 'P09104')"
"('Q14790', 'Q9HAV5')"
"('Q9BSU1', 'P05106')"
"('Q15654', 'P01100')"
"('A5PL33', 'P49840')"
"('P62330', 'P00505')"
"('Q96BD8', 'P68366')"
"('P31946', 'Q96F86')"
"('Q14254', 'Q9BX66')"
"('O14965', 'O75410')"
"('P62701', 'P49736')"
"('P63165', 'P46100')"
"('Q15788', 'O43150')"
"('P62945', 'P42766')"
"('Q9Y297', 'Q15653')"
"('P54257', 'Q15154')"
"('Q16643', 'Q9Y6K9')"
"('Q9Y371', 'Q9C0C7')"
"('P27986', 'O75593')"
"('P28482', 'P15976')"
"('O95402', 'Q9P086')"
"('407021', 'P02461')"
"('P35568', 'P16471')"
"('O95411', 'Q15287')"
"('P52948', 'Q9GZY0')"
"('O95872', 'Q92900')"
"('Q03431', 'P63092')"
"('Q99469', 'Q9UGP4')"
"('P36873', 'P62158')"
"('Q14161', 'Q9Y2X7')"
"('Q8WZ42', 'Q9NY93')"
"('Q16665', 'P08238')"
"('Q15797', 'Q8WUD1')"
"('P17480', 'O95602')"
"('Q04912', 'O43157')"
"('Q92841', 'Q15427')"
"('P01241', 'P24534')"
"('P98160', 'Q14112')"
"('P35626', 'Q6IEZ7')"
"('Q16236', 'Q6P1K2')"
"('Q00987', 'O14503')"
"('P11021', 'Q13546')"
"('406938', 'Q9Y4K3')"
"('Q14019', 'P09917')"
"('O00193', 'Q9P2H0')"
"('P84090', 'O43809')"
"('Q13573', 'O75643')"
"('Q9H6R7', 'Q9HCP0')"
"('Q9NY93', 'Q8IY37')"
"('P01019', 'P40763')"
"('O75643', 'P11387')"
"('Q12933', 'Q07011')"
"('Q92844', 'Q9Y6K9')"
"('Q92994', 'Q9H1D9')"
"('P27986', 'Q92918')"
"('406952', 'Q16827')"
"('Q15155', 'Q01780')"
"('P63098', 'O94916')"
"('P38936', 'P49715')"
"('P30044', 'Q14197')"
"('O15105', 'P12956')"
"('P62879', 'P51828')"
"('Q7L7L0', 'Q13547')"
"('Q5SRE5', 'Q96EE3')"
"('P62993', 'O75643')"
"('P16520', 'Q08828')"
"('Q14203', 'Q96G01')"
"('P41594', 'Q8TCU5')"
"('P62993', 'O15360')"
"('O95905', 'P63208')"
"('O95819', 'Q13490')"
"('Q9BTT6', 'P78352')"
"('P08581', 'P23467')"
"('O43913', 'O00311')"
"('Q14247', 'O15143')"
"('Q9UHD0', 'P17181')"
"('Q14978', 'P49407')"
"('Q9Y4K3', 'Q6IA17')"
"('Q9BY43', 'P61421')"
"('P12931', 'P62258')"
"('P61513', 'P40337')"
"('Q14451', 'Q5SQ64')"
"('P98095', 'P16112')"
"('P07339', 'P01730')"
"('P06241', 'Q9BQ89')"
"('Q14686', '9757')"
"('P04183', 'Q12840')"
"('Q6WCQ1', 'P07437')"
"('P22301', 'P40238')"
"('O96017', 'Q96NY9')"
"('O60237', 'P19105')"
"('P50542', 'O00623')"
"('P63279', 'P29590')"
"('P00558', 'P04406')"
"('P05556', 'P63244')"
"('P62993', 'P25705')"
"('O96017', 'Q9Y3F4')"
"('P61160', 'O75815')"
"('Q9Y5J5', 'O14593')"
"('P01133', 'P26447')"
"('Q13155', 'P07814')"
"('Q9BUQ8', 'Q96DI7')"
"('Q9UI10', 'P41091')"
"('P12643', 'Q12841')"
"('Q15437', 'P55735')"
"('Q02880', 'P67870')"
"('Q8NCF5', 'P78317')"
"('Q8NCR6', 'P04278')"
"('Q8N163', 'Q99759')"
"('Q8N7P3', 'Q96AP7')"
"('Q15303', 'Q96B97')"
"('Q16543', 'Q9P2G9')"
"('P30530', 'P12931')"
"('P54253', 'A7KAX9')"
"('Q96RN5', 'Q13643')"
"('Q9UBN7', 'P06241')"
"('P20700', 'P63104')"
"('Q9Y6Q9', 'P10827')"
"('P63279', 'P54253')"
"('Q9UBD9', 'Q5VWK5')"
"('P01563', 'Q92985')"
"('Q9BY11', 'Q8TF21')"
"('Q92966', 'Q16533')"
"('Q9Y6J9', 'Q16594')"
"('P49327', 'O43617')"
"('Q9UI09', 'Q9H5H4')"
"('P49841', 'P26641')"
"('Q99877', 'Q96KK5')"
"('P21802', 'O95208')"
"('Q92905', 'Q99828')"
"('P42677', 'P46781')"
"('P61981', 'P28290')"
"('Q9Y5B9', 'Q6DN03')"
"('P0DI82', 'Q86SZ2')"
"('P32969', 'P35268')"
"('P61457', 'P11171')"
"('O75608', 'P40337')"
"('O75937', 'Q13151')"
"('Q99595', 'P54257')"
"('Q00325', 'Q15628')"
"('P99999', 'P23508')"
"('P17612', 'P54709')"
"('P04183', 'P68104')"
"('O94776', 'Q16576')"
"('Q03405', 'P05107')"
"('Q8NHY6', 'Q9H7E9')"
"('Q9NRX1', 'Q92765')"
"('Q96B97', 'Q15303')"
"('P23508', 'Q9H9B4')"
"('P47224', 'Q6YP21')"
"('Q7Z6G3', 'Q93009')"
"('P28325', 'Q02556')"
"('Q9UJX2', 'Q6STE5')"
"('Q9UQK1', 'P27482')"
"('P14921', 'P12931')"
"('Q06124', 'O14746')"
"('Q9Y6N6', 'Q496J9')"
"('Q8WU90', 'Q9H7E9')"
"('P13805', 'P06241')"
"('P35542', 'P01857')"
"('Q9NPF7', 'Q9HBE5')"
"('P32322', 'O43809')"
"('Q9H981', 'Q6PI98')"
"('Q15654', 'Q9P2R6')"
"('Q14703', 'Q92956')"
"('Q01201', 'P13501')"
"('O95229', 'Q8NBT2')"
"('Q99816', 'P19012')"
"('O14653', 'Q13190')"
"('Q13315', 'Q92804')"
"('P01730', 'P01909')"
"('Q9NRR5', 'Q53HC5')"
"('P62993', 'Q02543')"
"('O00422', 'P31153')"
"('Q16637', 'Q8IY18')"
"('Q9HBI0', 'O75578')"
"('Q14191', 'P15927')"
"('O14599', 'Q66K74')"
"('P47813', 'Q14152')"
"('Q96HF1', 'Q9UBV4')"
"('Q9Y6J9', 'O75528')"
"('P19532', 'P55072')"
"('P09874', 'P16403')"
"('P53667', 'P18146')"
"('Q9H816', 'O60934')"
"('406881', 'P52926')"
"('Q68EM7', 'P60763')"
"('Q9UNM6', 'O43242')"
"('O60828', 'Q5T3J3')"
"('Q14164', 'O75800')"
"('P35579', 'Q96QT4')"
"('P35221', 'Q8TEW0')"
"('O75530', 'P26358')"
"('Q13573', 'O75116')"
"('Q12986', 'O43390')"
"('P06748', 'Q9UQ80')"
"('Q9H7E9', 'Q9NQX6')"
"('Q9Y6K9', 'Q01201')"
"('Q14011', 'Q5JVS0')"
"('Q92997', 'P19544')"
"('Q8WVM7', 'O95072')"
"('O75376', 'Q13263')"
"('P26441', 'Q99650')"
"('P25205', 'P55201')"
"('P63010', 'Q9H4K1')"
"('Q14832', 'P61952')"
"('Q14590', 'Q9BPY3')"
"('Q92538', 'Q9Y678')"
"('P18621', 'P42766')"
"('P08575', 'O15530')"
"('Q12962', 'O15265')"
"('P50570', 'Q9UBV8')"
"('O14775', 'Q8TCU6')"
"('P01130', 'Q92793')"
"('Q16543', 'Q99558')"
"('P48061', 'P13611')"
"('P42830', 'P46092')"
"('P27701', 'P01730')"
"('P61020', 'Q8NEB9')"
"('P54198', 'Q13573')"
"('P35268', 'P62917')"
"('Q9UKR5', 'P31942')"
"('Q16520', 'P49715')"
"('Q6ICR9', 'P01730')"
"('Q00688', 'Q9UGN5')"
"('P18505', 'P46459')"
"('P25788', 'P49642')"
"('P11831', 'Q12968')"
"('P04406', 'P06899')"
"('Q13748', 'Q9Y4K3')"
"('P61586', 'Q16512')"
"('Q13526', 'P30307')"
"('Q13315', 'Q96M86')"
"('Q13887', 'Q13105')"
"('Q6VMQ6', 'Q9UP95')"
"('Q9BQ66', 'O95990')"
"('Q99880', 'Q96DB2')"
"('P08069', 'Q9NZN5')"
"('P18146', 'O14901')"
"('P24468', 'Q13547')"
"('P22612', 'Q01668')"
"('Q8WWW0', 'P11215')"
"('Q66LE6', 'Q8WWM7')"
"('P62424', 'Q9Y3U8')"
"('O95295', 'Q96AW1')"
"('Q92783', 'P23458')"
"('P61224', 'Q9P212')"
"('Q96B36', 'P56537')"
"('Q8NGI3', 'P38405')"
"('P46379', 'P26447')"
"('P62851', 'P62854')"
"('P15336', 'O14867')"
"('O60739', 'P39019')"
"('P06576', 'Q9HAU4')"
"('P63167', 'P08670')"
"('Q86Y13', 'Q712K3')"
"('P28065', 'Q9Y244')"
"('P41222', 'P52789')"
"('Q15388', 'Q9NS69')"
"('P38398', 'P16333')"
"('Q9P286', 'Q9UGJ1')"
"('Q16363', 'P05556')"
"('Q13573', 'O95149')"
"('Q15645', 'Q9UHY7')"
"('P27361', 'Q03135')"
"('P24539', 'O75964')"
"('O00303', 'P68104')"
"('P62826', 'P06454')"
"('P58340', 'P63104')"
"('P29459', 'Q99665')"
"('P00519', 'Q06609')"
"('Q04724', 'P31314')"
"('Q9UGN5', 'P05015')"
"('P10914', 'Q9UI08')"
"('Q9HAW0', 'Q9NVI7')"
"('P62993', 'Q99697')"
"('O75444', 'Q16236')"
"('P42704', 'P19532')"
"('P21675', 'Q15542')"
"('Q05655', 'P08069')"
"('Q16827', 'Q13480')"
"('O95084', 'P18146')"
"('Q96DB2', 'P0C0S5')"
