negatives
"('P27348', 'P55851')"
"('Q9Y6E0', 'P43243')"
"('Q99490', 'P42336')"
"('Q13485', 'Q96KC2')"
"('P61981', 'Q14525')"
"('Q8IWV7', 'Q53FA7')"
"('P61619', 'P43307')"
"('Q6Y7W6', 'Q9NTZ6')"
"('P62854', 'O15479')"
"('P08620', 'Q02763')"
"('Q9HCE7', 'Q16625')"
"('Q05516', 'P23434')"
"('P04049', 'Q9UNS2')"
"('Q92882', 'Q16394')"
"('P49841', 'Q6UN15')"
"('Q8TEX9', 'Q9NVP2')"
"('P41159', 'P16471')"
"('Q6DRA6', 'Q9P0U4')"
"('P54619', 'O00253')"
"('P60709', 'P84022')"
"('Q04917', 'P49674')"
"('Q13237', 'Q9UHL9')"
"('Q13765', 'Q9BWH2')"
"('Q86U86', 'Q9UJX2')"
"('O95084', 'Q15118')"
"('P27448', '28900')"
"('O14920', 'P36941')"
"('P46937', 'Q04917')"
"('Q16629', 'P31943')"
"('Q9BZ29', 'P62745')"
"('Q9NPY3', 'O95433')"
"('P08047', 'P41440')"
"('P51610', 'Q9UPS6')"
"('P29353', 'Q9NPF4')"
"('P62750', 'P62829')"
"('P02489', 'P07315')"
"('P38936', 'O14775')"
"('Q9BW04', 'Q15796')"
"('P30050', 'P61927')"
"('O60318', 'Q9NPA8')"
"('Q13277', 'O00161')"
"('P83731', 'P46776')"
"('P53396', 'P08246')"
"('Q66LE6', 'P53355')"
"('P36873', 'Q02641')"
"('P27635', 'P62917')"
"('Q504T8', 'O95257')"
"('P24941', 'P12004')"
"('Q7L5N1', 'Q53FE4')"
"('P28340', 'Q9P2H0')"
"('O60353', 'O75197')"
"('P67775', 'P78318')"
"('P11362', 'P01116')"
"('Q9UBC1', 'Q9H5V9')"
"('P67870', 'P55010')"
"('O14508', 'P08069')"
"('Q14790', 'Q8WUI4')"
"('Q9UJX5', 'Q9UJX2')"
"('P49716', 'Q4KMQ2')"
"('P62195', 'O75934')"
"('Q6P4I2', 'Q16637')"
"('P42345', 'O15111')"
