negatives
"('Q12933', 'Q15560')"
"('P63104', 'Q9UK53')"
"('Q9UHI6', 'Q9BQ83')"
"('Q96DI7', 'O94906')"
"('P31751', 'P23443')"
"('P25025', 'Q9BPW8')"
"('Q99731', 'P25025')"
"('Q8TB61', 'Q9ULC4')"
"('Q86WB0', 'O14788')"
"('P84022', 'P09466')"
"('P51681', 'P15927')"
"('Q969S8', 'P0C0S8')"
"('Q93008', 'Q15714')"
"('Q9Y618', 'Q13227')"
"('Q13114', 'Q92844')"
"('O60260', 'P37840')"
"('Q06124', 'P08069')"
"('P12931', 'Q9Y2H0')"
"('Q99836', 'P11142')"
"('Q9Y5B9', 'Q99880')"
"('Q9UET6', 'Q9Y295')"
"('Q9BYC9', 'Q15811')"
"('Q7Z7J5', 'Q92997')"
"('P08514', 'Q9Y4G6')"
"('P10451', 'P24593')"
"('O95163', 'O43318')"
"('Q13573', 'Q96T37')"
"('P05060', 'Q99700')"
"('O95870', 'Q99942')"
"('Q9Y5V3', 'Q16082')"
"('Q0VG06', 'O15360')"
"('Q96BI3', 'P05067')"
"('Q9HC35', 'P01112')"
"('Q9NRC1', 'O95295')"
"('O15111', 'Q16695')"
"('P16403', 'Q96HA7')"
"('Q9NPF8', 'P26641')"
"('P67870', 'P07948')"
"('Q13190', 'P04637')"
"('P12544', 'P61978')"
"('Q01105', 'O76081')"
"('Q92542', 'Q15363')"
"('Q13464', 'P19838')"
"('Q9BYX4', 'Q02556')"
"('P49368', 'P12956')"
"('P19013', 'Q5VYV7')"
"('P20333', 'O14654')"
"('Q9H0H5', 'O95084')"
"('P11474', 'P33316')"
"('P28222', 'P09471')"
"('Q9UKT4', 'Q9NYG5')"
"('Q5SQ64', 'Q14451')"
"('P20618', 'P56537')"
"('Q8N488', 'P04637')"
"('Q99459', 'Q9BXW9')"
"('O95750', 'P21802')"
"('Q96Q15', 'P30154')"
"('P36897', 'Q9UNE7')"
"('O14905', 'Q9ULW2')"
"('P50542', 'Q96CN9')"
"('Q96HD1', 'P56134')"
"('Q9NRA1', 'P08581')"
"('O95843', 'Q02846')"
"('P50402', 'Q13227')"
"('Q6ZRS2', 'Q15906')"
"('Q7Z6B7', 'Q07890')"
"('Q92769', 'P51532')"
"('Q16629', 'Q15428')"
"('Q13043', 'O43422')"
"('P21810', 'P07996')"
"('P01106', 'Q9UK22')"
"('P10145', 'P46092')"
"('P61247', 'P35544')"
"('P54792', 'Q05397')"
"('P01106', 'P41279')"
"('Q9Y237', 'Q05193')"
"('P49841', 'O00327')"
"('O75367', 'Q99880')"
"('P17861', 'O14818')"
"('P68366', 'O43237')"
"('P59666', 'O60925')"
"('Q03164', 'Q15291')"
"('O60925', 'P13378')"
"('P22612', 'P59768')"
"('Q9Y6H5', 'P21246')"
"('P35580', 'P10916')"
"('Q8NGA1', 'P38405')"
"('P42224', 'P48023')"
"('Q9UKV0', 'P58876')"
"('P12004', 'Q13112')"
"('Q9P1W8', 'P43405')"
"('Q9NRH1', 'O95568')"
"('Q06323', 'Q16637')"
"('P13569', 'P14317')"
"('Q8IXL6', 'Q9H5J8')"
"('P13489', 'P01106')"
"('P35268', 'P18077')"
"('P51668', 'Q9NZQ3')"
"('P13942', 'Q05397')"
"('Q13418', 'P05106')"
"('Q16659', 'Q9NWS0')"
"('P13747', 'Q07444')"
"('P08514', 'P56945')"
"('O43293', 'P24844')"
"('P55884', 'O15372')"
"('P68032', 'P13533')"
"('O15144', 'P60709')"
"('Q9NSB8', 'Q14573')"
"('P26641', 'P55316')"
"('Q9BT78', 'Q9H9Q2')"
"('Q92574', 'P60709')"
"('Q92793', 'P42224')"
"('P29466', 'P06733')"
