negatives
"('O95816', 'Q15773')"
"('P08236', 'P21281')"
"('O60739', 'Q9NR99')"
"('O43491', 'Q07157')"
"('Q04721', 'Q06330')"
"('Q9NQ92', 'P62258')"
"('Q13191', 'P21860')"
"('Q13191', 'Q99665')"
"('P18206', 'P53007')"
"('P51451', 'P11912')"
"('Q13535', 'Q92667')"
"('O43395', 'O14641')"
"('Q00613', 'P26641')"
"('P78362', 'Q01130')"
"('P41134', 'P15173')"
"('Q9Y3V2', 'P63165')"
"('Q13643', 'Q8HWS3')"
"('P08107', 'P12830')"
"('P13569', 'P04899')"
"('26765', 'Q13227')"
"('Q4VXU2', 'Q9NY30')"
"('P68104', 'P24522')"
"('Q96BK5', 'P47813')"
"('Q15388', 'P27824')"
"('P49759', 'P26368')"
"('O14980', 'O15504')"
"('P30153', 'P25025')"
"('O14512', 'Q6UXL0')"
"('P11226', 'O00206')"
"('Q9H583', 'P01106')"
"('Q9BRK5', 'P20073')"
"('P62945', 'P05386')"
"('Q13761', 'P01730')"
"('P12235', 'P04150')"
"('P19438', 'Q9UER7')"
"('P01889', 'P62910')"
"('P18084', 'Q9NVD7')"
"('P41743', 'Q8IY92')"
"('P32121', 'Q8NGY6')"
"('Q16576', 'P50750')"
"('Q9H1I8', 'P05386')"
"('P13591', 'P04156')"
"('P39748', 'P52565')"
"('P01889', 'Q8NHL6')"
"('O43364', 'P18146')"
"('Q13363', 'Q9UJU2')"
"('P16220', 'Q9BYV9')"
"('Q15303', 'P46108')"
"('A8MTJ3', 'P35913')"
"('Q14164', 'P07741')"
"('P53355', 'P10415')"
"('P05386', 'P62917')"
"('O14530', 'P33240')"
"('Q9UGJ1', 'Q9P286')"
"('P08621', 'P09012')"
"('Q9C0K7', 'Q13131')"
"('P50402', 'Q969F0')"
"('P01135', 'Q86UL8')"
"('P22234', 'Q9UET6')"
"('Q16659', 'Q8WX92')"
"('P38936', 'Q9Y600')"
"('P01889', 'Q9UI30')"
"('P01116', 'Q8WWW0')"
"('Q9UQM7', 'O95622')"
"('P62304', 'Q15428')"
"('O00459', 'P08134')"
"('P38919', 'Q9H4D5')"
"('P31943', 'Q01081')"
"('Q15326', 'P15036')"
"('Q9NRR5', 'Q96DA0')"
"('Q9BY77', 'P38919')"
"('Q13200', 'P62191')"
"('P50395', 'P20339')"
"('Q9BWU1', 'O75586')"
"('Q99962', 'P00533')"
"('Q9UM73', 'P60709')"
"('Q9H204', 'Q92882')"
"('P35609', 'O75396')"
"('Q9NRG0', 'O60264')"
"('Q14209', 'Q96T88')"
"('P61289', 'P23508')"
"('P09619', 'P62993')"
"('Q15916', 'Q9Y618')"
"('O95897', 'A2RRP1')"
"('O60508', 'P51991')"
"('Q9HCK5', 'Q71U36')"
"('P41743', 'Q9GZQ8')"
"('Q13243', 'Q12986')"
"('Q9BSL1', 'Q9Y6B2')"
"('Q7Z4W1', 'Q9Y4K3')"
"('P22626', 'Q16629')"
"('P14678', 'Q6Y7W6')"
"('P61313', 'P32969')"
"('Q09028', 'P28370')"
"('P62753', 'P62081')"
"('P62857', 'P78330')"
"('P62851', 'Q9HCK5')"
"('P61088', 'Q13049')"
"('O95631', 'O95185')"
"('P30447', 'P30450')"
"('O60383', 'P51159')"
"('Q16531', 'P16104')"
"('O14543', 'P40189')"
"('Q01970', 'O14745')"
"('Q96RG2', 'P61925')"
"('Q9P2S5', 'Q8N163')"
"('Q13136', 'O75334')"
"('P23508', 'O75534')"
"('O00175', 'P51679')"
"('P51817', 'P60510')"
"('Q04206', 'Q03519')"
"('P37802', 'Q96BK5')"
"('P63104', 'P55916')"
"('Q8TEW0', 'Q9NQ66')"
"('Q9Y620', 'P63279')"
"('P0C0S5', 'Q96A08')"
"('Q71SY5', 'Q9BTT4')"
"('Q9BPZ7', 'Q92574')"
"('Q8N682', 'Q01094')"
"('Q14296', 'Q99750')"
"('Q9NZC7', 'Q969T9')"
"('O00268', 'Q9Y4A5')"
"('Q5MJ70', 'P24941')"
"('P00533', 'P05783')"
"('Q92900', 'Q8IYD1')"
"('O75077', 'P63104')"
"('P01563', 'P42702')"
"('Q9H0W8', 'Q9Y5S9')"
"('Q14240', 'P54105')"
"('O75554', 'P12956')"
"('Q9BUL8', 'Q9Y6E0')"
"('P30153', 'Q9Y243')"
"('Q9UBC3', 'Q15910')"
"('Q93079', 'Q6FI13')"
"('Q9BVJ6', 'Q05513')"
"('P09874', 'P61956')"
"('P45984', 'Q12778')"
"('Q9NRD5', 'Q9NYF0')"
"('Q9Y478', 'Q04637')"
"('P27635', 'P35268')"
"('P12931', 'P21980')"
"('P61952', 'Q01970')"
"('Q14191', 'P43351')"
"('Q9Y616', 'P08138')"
"('O60506', 'Q8NFH3')"
"('Q15257', 'P78371')"
"('Q04724', 'Q03013')"
"('P03886', 'O95178')"
"('Q14203', 'Q96KM6')"
"('Q14315', 'O75578')"
"('P06729', 'O43586')"
"('P62330', 'P63000')"
"('Q9BT78', 'Q9UNS2')"
"('O75643', 'P49662')"
"('Q9Y6N6', 'P23229')"
"('Q8IYW5', 'Q13571')"
"('O14686', 'O00255')"
"('P26368', 'P35637')"
"('Q07065', 'P00533')"
"('P12110', 'P17301')"
"('P16220', 'P61018')"
"('Q14232', 'P49703')"
"('P63000', 'Q9P286')"
"('O43390', 'P11387')"
"('O75494', 'P62993')"
"('P42772', 'Q00534')"
"('P21728', 'P30542')"
"('P12081', 'P23528')"
"('P16333', 'Q96RT1')"
"('Q9UBB5', 'O94776')"
"('P49815', 'O14641')"
"('Q9Y3S1', 'P55157')"
"('P15311', 'Q13158')"
"('Q99558', 'P11142')"
"('Q13546', 'Q9Y5S8')"
"('P05013', 'P42702')"
"('P54619', 'O00418')"
"('P35443', 'Q08722')"
"('P38936', 'Q09028')"
"('Q96HR3', 'P10828')"
"('P63244', 'Q9UKV8')"
"('P49841', 'Q70SY1')"
"('Q04864', 'P17066')"
"('Q92569', 'P60763')"
"('Q16828', 'Q9UDV6')"
"('O00267', 'P62917')"
"('P31930', 'Q9Y5M8')"
"('O94762', 'P24928')"
"('Q9Y265', 'Q9UPN9')"
"('Q14240', 'Q99459')"
"('P30480', 'Q8WUM4')"
"('Q13243', 'P84103')"
"('Q99816', 'Q9H270')"
"('P35638', 'Q9NPF7')"
"('Q02543', 'P61313')"
"('Q9UK59', 'P12980')"
"('Q13573', 'O60566')"
"('P42126', 'Q14197')"
"('Q08211', 'Q9UKV8')"
"('Q96S55', 'Q14191')"
"('Q01196', 'P17947')"
"('A5YKK6', 'Q9HC52')"
"('P06241', 'Q9UMN6')"
"('P51452', 'P53779')"
"('407040', 'O00548')"
"('P38398', 'Q92925')"
"('O75534', 'P23508')"
"('Q08881', 'P36897')"
"('P02549', 'P11277')"
"('P0CG48', 'P19438')"
"('P53803', 'Q8WVC0')"
"('Q06587', 'P35226')"
"('P39656', 'Q9BV47')"
"('P22612', 'Q07869')"
"('P10275', 'Q13889')"
"('O00303', 'P30504')"
"('Q01201', 'Q93008')"
"('Q86X55', 'P17676')"
"('P19838', 'P01562')"
"('O95793', 'Q06787')"
"('Q8IVT5', 'Q9H2X3')"
"('Q01130', 'P51991')"
"('P16333', 'Q13444')"
"('P50395', 'P62491')"
"('Q9UL18', 'P46782')"
"('Q9Y3M8', 'O00212')"
"('Q9UK53', 'Q9NV56')"
"('P23527', 'Q93077')"
"('P18146', 'Q9H4A5')"
"('Q16649', 'Q01658')"
"('P51610', 'O00255')"
"('P24043', 'P11047')"
"('P19793', 'Q9NPJ4')"
"('P18146', 'Q00887')"
"('P21860', 'P22681')"
"('P24385', 'P11802')"
"('O15379', 'O60566')"
"('P22888', 'O95467')"
"('P31749', 'O43521')"
"('Q14498', 'Q8NAV1')"
"('Q9Y4K3', 'P11586')"
"('Q86WN2', 'P32927')"
"('Q9Y5N6', 'O00311')"
"('Q9H8Y8', 'Q13228')"
"('P00519', 'Q9NQ76')"
"('Q15714', 'Q5XKP0')"
"('P55895', 'P15918')"
"('Q9Y6K9', '343477')"
"('P49810', 'Q9Y2W7')"
"('Q9UPT5', 'Q8N6Y0')"
"('Q96I25', 'P26368')"
"('Q13315', 'Q8NG08')"
"('P20073', 'P11802')"
"('Q16254', 'P28749')"
"('Q6ZVL6', 'P54259')"
"('P23469', 'P06241')"
"('P16104', 'Q8NCW5')"
"('P30153', 'Q8TCG1')"
"('Q9H583', 'Q5TCY1')"
"('P04629', 'Q92529')"
"('Q96HR3', 'O95402')"
"('P62070', 'P10398')"
"('Q9Y3U8', 'P62987')"
"('Q14160', 'Q9GZV5')"
"('P78352', 'P46937')"
"('Q92793', 'O15111')"
"('P18206', 'Q14157')"
"('P52434', 'P52435')"
"('Q15306', 'O95163')"
"('P84098', 'P18621')"
"('P05412', 'Q8NEZ4')"
"('Q14990', 'Q15654')"
"('Q9BZL4', 'P68402')"
"('Q16881', 'Q03135')"
"('O15264', 'P11940')"
"('P01308', 'P14616')"
"('Q149N8', 'Q93052')"
"('O75438', 'P03923')"
"('Q13444', 'P35625')"
"('Q13972', 'Q07889')"
"('P84095', 'P28482')"
"('Q8TCT9', 'Q9H1C4')"
"('P05455', 'Q15126')"
"('Q9Y4K3', 'Q9BV68')"
"('Q14781', 'P35226')"
"('Q96RA2', 'P38405')"
"('Q9GZZ1', 'O60739')"
"('Q14571', 'Q13557')"
"('P62158', 'P40337')"
"('P09471', 'P61421')"
"('P41970', 'P16333')"
"('Q9Y2W1', 'Q99459')"
"('Q9NP97', 'Q15796')"
"('P18146', 'Q92769')"
"('P46779', 'O15479')"
"('P14921', '406913')"
"('Q9BZW7', 'P60660')"
"('P12956', 'P09466')"
"('P36873', 'Q13224')"
"('O14639', 'Q8N6Y0')"
"('P54257', 'P18505')"
"('O95166', 'P48169')"
"('P63208', 'Q6PJ61')"
"('Q15544', 'Q16514')"
"('P34897', 'O60739')"
"('Q01130', 'Q07955')"
"('P35968', 'P62993')"
"('Q9BQ87', 'Q9NYJ8')"
"('P24941', 'P62249')"
"('Q9BZE4', 'Q96BK5')"
"('O60814', 'Q96RL1')"
"('Q9BUJ2', 'Q14194')"
"('Q9UBM7', 'O60427')"
"('P36873', 'P03372')"
"('Q96S55', 'P51784')"
"('P04141', 'P42702')"
"('P18564', 'P46108')"
"('P08670', 'Q9BXP5')"
"('Q9Y3A3', 'P19419')"
"('Q06546', 'Q02447')"
"('Q15369', 'Q96S21')"
"('Q8WWM7', 'Q99836')"
"('Q15102', 'Q14194')"
"('Q15393', 'Q99459')"
"('P00367', 'O60684')"
"('Q9UKR5', 'Q12972')"
"('P54920', 'O14964')"
"('P03897', 'O43677')"
"('P54253', 'Q9P2G9')"
"('Q96B97', 'P16234')"
"('Q15047', 'Q9P2D1')"
"('Q16690', 'Q16539')"
"('P18146', 'P41161')"
"('Q13418', 'Q6NUN9')"
"('Q6UN15', 'Q9P2I0')"
"('P35626', 'Q8NGI6')"
"('P08138', 'Q9NWZ3')"
"('P78364', 'Q9UHJ3')"
"('Q9Y6D9', 'Q496Y0')"
"('P26641', 'P78417')"
"('P42771', 'Q9UET6')"
"('A0JLT2', 'P51610')"
"('P05388', 'P46776')"
"('Q969Q1', 'P17661')"
"('P09429', 'P06400')"
"('P63104', 'Q02790')"
"('O14908', 'P98164')"
"('Q99963', 'O14531')"
"('Q9UKE5', 'P07197')"
"('Q9BXR5', 'P23378')"
"('P06239', 'Q8IZP0')"
"('Q9UBQ5', 'P30281')"
"('Q13315', 'Q3MIT2')"
"('P13569', 'A8K7I4')"
"('Q13557', 'P29475')"
"('P37231', 'P35354')"
"('Q12988', 'O75521')"
"('O43924', 'Q8IW50')"
"('P62333', 'Q8TAB5')"
"('P56645', 'O75030')"
"('P01106', 'P84077')"
"('P58876', 'Q92796')"
"('Q9NYW5', 'A8MTJ3')"
"('P60568', 'Q12906')"
"('P46937', 'P31946')"
"('Q9UGJ0', 'Q96B36')"
"('P08648', 'P06756')"
"('Q16543', 'Q9Y383')"
"('Q09472', 'P46527')"
"('Q13315', 'Q13136')"
"('P12931', 'Q14008')"
"('P62753', 'P62263')"
"('Q15797', 'Q9HCE7')"
"('P31785', 'P42338')"
"('Q8IX12', 'Q08170')"
"('Q16659', 'P15976')"
"('Q9P2M7', 'Q9Y2K3')"
"('P26583', 'P14859')"
"('Q13485', 'Q13501')"
"('Q9C0C9', 'Q9HD64')"
"('P10147', 'P51686')"
"('Q8WX92', 'Q99459')"
"('O95989', 'Q9UGJ1')"
"('Q14966', 'O15162')"
"('P35222', 'Q9BV47')"
"('Q14181', 'Q9UBN7')"
"('P51451', 'P04626')"
"('Q16543', 'O00141')"
"('Q96HF1', 'O00144')"
"('Q9NZ42', 'Q04721')"
"('P32881', 'Q13651')"
"('P11912', 'Q8WV28')"
"('Q9BQ66', 'Q8IYI8')"
"('P84101', 'Q12873')"
"('P43351', 'P27694')"
"('P15531', 'P21980')"
"('Q9UN88', 'P60520')"
"('O00257', 'P56545')"
"('Q9Y4A5', 'Q9UBU8')"
"('P24278', 'P38432')"
"('Q92793', 'P01574')"
"('P62899', 'P32969')"
"('P39656', 'Q9Y2Q3')"
"('P14778', 'Q15750')"
"('Q99547', 'P50570')"
"('Q96RI0', 'Q5JWF2')"
"('P98164', 'P06858')"
"('P43405', 'Q8IWV1')"
"('P49336', 'O60563')"
"('O15123', 'P35916')"
"('P53708', 'P18564')"
"('P10912', 'P27986')"
"('Q9NYL2', 'Q9NV58')"
"('P62879', 'Q96PN6')"
"('P20248', 'Q99741')"
"('Q7Z5H3', 'P15153')"
"('Q96QU1', 'Q13402')"
"('O43353', 'P51991')"
"('Q53T94', 'P04637')"
"('Q99250', 'Q92796')"
"('O15230', 'Q496J9')"
"('P01567', 'P14784')"
"('Q92793', 'Q14653')"
"('P31946', 'Q8N1I0')"
"('P15311', 'P16871')"
"('Q12931', 'Q13485')"
"('P62826', 'Q5TAQ9')"
"('P09651', 'Q05519')"
"('Q12846', 'P54920')"
"('Q9Y383', 'O95257')"
"('P62910', 'Q02543')"
"('Q14164', 'Q8WU90')"
"('Q9NYJ8', 'O75390')"
"('P16220', 'P47712')"
"('Q92832', 'Q08945')"
"('Q9NS64', 'O00255')"
"('O60508', 'P51003')"
"('P53778', 'P53539')"
"('Q9NZI8', 'Q9NX58')"
"('Q9HB96', 'O15360')"
"('Q03060', 'P04141')"
"('Q15700', 'Q6P1M3')"
"('O94875', 'P63104')"
"('Q9P0P0', 'Q969T4')"
"('P55769', 'Q12789')"
"('P23297', 'P26678')"
"('Q8IX12', 'P09651')"
"('Q13546', 'Q13077')"
"('Q9UPY8', 'P25791')"
"('Q01201', 'Q9UER7')"
"('P61604', 'Q14164')"
"('A0JLT2', 'Q9UBN7')"
"('O60739', 'P54819')"
"('Q9UER7', 'Q92769')"
"('Q9H2F5', 'P68133')"
"('Q8WVC0', 'Q6PD62')"
"('Q9NUU7', 'Q13573')"
"('O00212', 'Q13485')"
"('Q92993', 'P17600')"
"('O75044', 'Q9NRI5')"
"('Q13555', 'P54284')"
"('P60520', 'Q13685')"
"('P04141', 'Q01113')"
"('P24534', 'P01243')"
"('Q9NZI8', 'O75569')"
"('Q9UL18', 'P40429')"
"('O75970', 'P28335')"
"('O75461', 'Q15910')"
"('O00308', 'Q9H469')"
"('O00411', 'Q00653')"
"('Q13952', 'O14907')"
"('P27986', 'P06729')"
"('Q9UBX3', 'Q92956')"
"('Q92633', 'P08754')"
"('P12111', 'P05106')"
"('P34931', 'O14727')"
"('Q13200', 'Q92597')"
"('Q13247', 'Q96GM8')"
"('O15144', 'O15143')"
"('P62995', 'P38159')"
"('Q8N7W2', 'Q9H190')"
"('O15198', 'Q96EY1')"
"('Q99708', 'Q08999')"
"('O95402', 'P42166')"
"('Q96S59', 'P05107')"
"('P18146', 'P08648')"
"('Q01955', 'P18084')"
"('P62330', 'Q8N766')"
"('P07766', 'O43639')"
"('P26367', 'Q13394')"
"('Q13547', 'Q13485')"
"('Q9Y619', 'Q13309')"
"('P19438', 'Q14644')"
"('P35226', 'O00257')"
"('P27694', 'P39748')"
"('P62714', 'P54289')"
"('Q8IZI9', 'Q99062')"
"('Q8N5H7', 'Q14289')"
"('Q13177', 'Q92614')"
"('Q96EZ8', 'Q8WZ42')"
"('Q96Q83', 'Q92993')"
"('Q8TF20', 'P49716')"
"('P15880', 'Q14451')"
"('Q9UBP9', 'P05106')"
"('Q9P086', 'Q9BTT4')"
"('P01579', 'P61289')"
"('P62993', 'Q92956')"
"('Q9UD71', 'O15169')"
"('Q92993', 'P68133')"
"('P0CG48', 'O00303')"
"('P28065', 'Q9Y3R0')"
"('P63096', 'P09769')"
"('O43707', 'P26010')"
"('Q9NS73', 'Q9BY27')"
"('Q9Y253', 'Q9UBZ9')"
"('P61077', 'Q9NZS9')"
"('P42768', 'P60709')"
"('P49069', 'O00463')"
"('Q9H3D4', 'Q13625')"
"('P41159', 'Q8N6P7')"
"('Q00005', 'Q8WXS5')"
"('P24864', 'Q9UPP1')"
"('O75489', 'O75380')"
"('P52952', 'Q92833')"
"('P38936', 'P62979')"
"('Q7Z570', 'P54253')"
"('Q9NRI5', 'Q9BZJ0')"
"('P57086', 'Q0D2J5')"
"('P20749', 'Q00653')"
"('Q14526', 'Q9NQB0')"
"('P46109', 'Q15303')"
"('Q9H3S1', 'O43157')"
"('P14780', 'P80162')"
"('406902', 'P49639')"
"('P32246', 'O60674')"
"('Q9BSM1', 'Q8NHM5')"
"('P07437', 'P20333')"
"('O60264', 'Q92769')"
"('Q9UK22', 'Q96QV1')"
"('Q8IYH5', 'P78537')"
"('P31153', 'P62330')"
"('P10827', 'Q92769')"
"('Q93062', 'Q9NQ87')"
"('Q8NBZ0', 'Q9H9F9')"
"('Q3ZCM7', 'Q71U36')"
"('P63208', 'Q9UKC9')"
"('Q9P2W3', 'Q01970')"
"('Q17RW2', 'P18564')"
"('Q9UK32', 'P19793')"
"('P08729', 'Q13191')"
"('Q99689', 'Q96PY6')"
"('O60237', 'P14649')"
"('P21554', 'P63218')"
"('P17612', 'P62834')"
"('P27448', 'Q92527')"
"('O15121', 'Q8IVH2')"
"('P21246', 'O00303')"
"('P16152', 'P30480')"
"('Q71UI9', 'Q8WUI4')"
"('Q7LBR1', 'Q9NP79')"
"('Q9Y230', 'Q99759')"
"('P22087', 'Q9NY93')"
"('Q93074', 'Q6P2C8')"
"('Q96HA1', 'P78406')"
"('P17612', 'P53779')"
"('Q92841', 'P26651')"
"('Q05215', 'O95644')"
"('Q9H1J1', 'P61326')"
"('P01106', 'P56182')"
"('Q9H8E8', 'P61964')"
"('P45984', 'P35222')"
"('P04049', 'O00459')"
"('P40429', 'P62906')"
"('Q13573', 'O96019')"
"('P12980', 'O43766')"
"('Q9HCK8', 'P35222')"
"('P63208', 'Q15653')"
"('Q07889', 'P01375')"
"('P49767', 'P08138')"
"('P34947', 'P25025')"
"('Q17R89', 'Q9UK76')"
"('P11021', 'Q30201')"
"('O15264', 'P67809')"
"('Q96HC4', 'Q9UM73')"
"('P56705', 'O60353')"
"('Q9H4L4', 'Q9NXF1')"
"('P05231', 'Q13261')"
"('Q12857', 'O75556')"
"('Q08334', 'P23458')"
"('P12694', 'O14874')"
"('P61952', 'Q15147')"
"('P11171', 'Q9Y237')"
"('Q15008', 'Q9BQ83')"
"('Q12906', 'Q9UL18')"
"('Q53TS8', 'P18206')"
"('Q15796', 'P56915')"
"('P05129', 'P50151')"
"('Q14103', 'Q92945')"
"('Q9Y624', 'Q96QZ7')"
"('P13861', 'P07602')"
"('P19388', 'P12830')"
"('O94972', 'O00463')"
"('P62136', 'O15111')"
"('Q9UL45', 'Q96HA8')"
"('P53992', 'Q9NQW1')"
"('O75398', 'Q13642')"
"('P31749', 'P36873')"
"('P01889', 'Q16630')"
"('Q9UQM7', 'Q7Z3S7')"
"('P22607', 'P12236')"
"('406906', 'O75781')"
"('Q9H4E7', 'P61586')"
"('P08912', 'P63092')"
"('P45973', 'Q5UIP0')"
"('IL11RB', 'P20809')"
"('P32969', 'P35268')"
"('P10515', 'Q9UBE8')"
"('P01243', 'Q9UM00')"
"('P49674', 'O15534')"
"('Q92841', 'Q9BWF3')"
"('P13569', 'Q05086')"
"('Q96A33', 'P62330')"
"('Q93033', 'Q9UHX1')"
"('P00747', 'P01876')"
"('Q8TAQ2', 'P51531')"
"('Q92620', 'P52597')"
"('P83881', 'P61254')"
"('P16144', 'P07947')"
"('P84022', 'P21980')"
"('P05451', 'Q06141')"
"('Q9H4B6', 'O43776')"
"('O95067', 'Q9H2G2')"
"('Q9NX58', 'Q9H0A0')"
"('P20963', 'P10144')"
"('P16871', 'P62158')"
"('Q14232', 'P52565')"
"('Q14653', 'Q9HAU4')"
"('P55001', 'P01023')"
"('Q9NPI8', 'Q14469')"
"('P61224', 'P05107')"
"('Q15303', 'P29353')"
"('Q5VTB9', 'Q969T4')"
"('P08670', 'P20823')"
"('P54259', 'O15162')"
"('O75578', 'P05556')"
"('P62917', 'P61927')"
"('P56524', 'Q9P0M6')"
"('P36957', 'P11172')"
"('O60610', 'P60673')"
"('O75182', 'O43463')"
"('O00505', 'Q15007')"
"('O43293', 'P10275')"
"('Q92997', 'P10074')"
"('Q96KC8', 'P01011')"
"('Q92925', 'P38936')"
"('P06127', 'P27986')"
"('O43924', 'Q9NXU5')"
"('P31749', 'O14746')"
"('P17612', 'P35222')"
"('P62851', 'P62081')"
"('P63010', 'Q15149')"
"('P55036', 'P17980')"
"('P52597', 'Q92620')"
"('P61353', 'P32969')"
"('P25942', 'O00463')"
"('Q8N684', 'O60504')"
"('P84022', '406955')"
"('P27348', 'O96013')"
"('P49761', 'P61981')"
"('P04181', 'O95989')"
"('P16871', 'P07237')"
"('P35244', 'Q13472')"
"('P08865', 'P62857')"
"('P39019', 'P60709')"
"('Q15365', 'Q9NR12')"
"('Q13151', 'P84103')"
"('P63173', 'P20333')"
"('P84243', 'P18146')"
"('Q6AZZ1', 'Q09472')"
"('P06241', 'P35968')"
"('Q9BUP0', 'P01891')"
"('P10914', 'Q9BTT4')"
"('P46108', 'P78357')"
"('P51532', 'P33076')"
"('P01570', 'P19235')"
"('P11226', 'P02743')"
"('P36896', 'Q13485')"
"('P62834', 'O43566')"
"('Q6NUK4', 'P31947')"
"('Q14934', 'P45984')"
"('P16220', 'Q8TD16')"
"('P84098', 'Q92901')"
"('P22612', 'O43741')"
"('P03905', 'O43674')"
"('P10721', 'P16885')"
"('P41134', 'P55036')"
"('Q9H5I1', 'Q5T3J3')"
"('Q8IXH7', 'Q9Y241')"
"('O14920', 'P35222')"
"('Q9BTT4', 'P52434')"
"('P49841', 'P18031')"
"('P16234', 'Q99963')"
"('O15105', 'P12956')"
"('O95905', 'P08238')"
"('Q9H160', 'Q9HCE7')"
"('O14625', 'P41597')"
"('Q969H0', 'Q00653')"
"('P53350', 'P60900')"
"('Q9UL18', 'Q9UKN8')"
"('Q13315', 'Q9ULL1')"
"('P22612', 'Q92736')"
"('Q9Y580', 'P61978')"
"('P53618', 'P49798')"
"('Q6ZU52', 'Q12933')"
"('P10244', 'P78396')"
"('P51784', 'O76071')"
"('Q14644', 'P01116')"
"('Q96HP0', 'Q96L33')"
"('Q969L4', 'P62318')"
"('P26641', 'P84077')"
"('P02788', 'P49716')"
"('P07900', 'P06241')"
"('Q9UJF2', 'P61981')"
"('Q99576', 'Q15648')"
"('P61313', 'P05388')"
"('P05019', 'P27986')"
"('P63211', 'O15264')"
"('P02538', 'P01857')"
"('Q99877', 'Q9UBN7')"
"('O95630', 'O94762')"
"('Q01130', 'P78362')"
"('Q9Y4K3', 'Q92616')"
"('Q9NPH3', 'O43187')"
"('Q7LG56', 'P62979')"
"('Q9UMN6', 'Q92599')"
"('P69905', 'Q92574')"
"('P19838', 'Q15653')"
"('Q71F23', 'Q9H254')"
"('P63220', 'P62979')"
"('P41743', 'P04049')"
"('P62837', 'Q96FW1')"
"('Q9Y4K3', 'Q96FA3')"
"('P27540', 'Q07654')"
"('Q13315', 'Q9UJX2')"
"('Q8IZI9', 'Q00653')"
"('Q99490', 'O00459')"
"('Q13099', 'Q6ZVL6')"
"('P00533', 'O00329')"
"('O95382', 'P46734')"
"('Q92597', 'Q15672')"
"('P62993', 'P62899')"
"('Q8NF64', 'Q13526')"
"('P62258', 'Q8NDM7')"
"('P18146', 'P29350')"
"('Q9Y4K3', 'Q13200')"
"('Q96HF1', 'Q14332')"
"('Q13409', 'Q71U36')"
"('P23527', 'Q9P0M6')"
"('O60237', 'O14974')"
"('Q9Y5L0', 'Q9BUV8')"
"('Q9NWU2', 'Q8IY92')"
"('P35626', 'Q8NGF3')"
"('P52948', 'Q9H1B4')"
"('Q9P1Z2', 'P15407')"
"('P54725', 'P51587')"
"('Q9C0C9', 'Q9HAJ7')"
"('P19438', 'P05771')"
"('Q04206', 'Q86UE4')"
"('P63218', 'P63096')"
"('Q7Z569', 'Q02750')"
"('P52272', 'O00141')"
"('P46778', 'P30050')"
"('P11229', 'O14775')"
"('Q71U36', 'P07437')"
"('Q9UL25', 'Q14164')"
"('Q99814', 'P25054')"
"('O60832', 'P26641')"
"('Q99459', 'Q9NUU7')"
"('Q9NQB0', 'Q15561')"
"('Q00653', 'P35579')"
"('Q13233', 'P36578')"
"('P18124', 'P18077')"
"('Q9NQB0', 'O14627')"
"('O15530', 'P08575')"
"('P63104', 'Q13501')"
"('Q99759', 'Q71UM5')"
"('Q71F56', 'Q9Y2X0')"
"('Q7L5N1', 'Q9Y239')"
"('693144', 'P04626')"
"('Q9NY93', 'P62910')"
"('P05386', 'Q02543')"
"('Q13620', 'Q8TC44')"
"('Q96HA8', 'Q9BPX1')"
"('Q9Y5J5', 'Q9NP97')"
"('Q15369', 'Q8N668')"
"('P68363', 'Q00005')"
"('P52272', 'Q01081')"
"('Q5UIP0', 'O95257')"
"('P04000', 'Q9Y3B3')"
"('Q9Y4K3', 'O14920')"
"('P02545', 'Q13573')"
"('Q9H9J2', 'Q16891')"
"('P60900', 'P30504')"
"('Q9Y6J9', 'O75486')"
"('O95433', 'O94856')"
"('Q9UKA9', 'P07910')"
"('P46934', 'P0CG48')"
"('P63279', 'P41227')"
"('P19174', 'Q8TB24')"
"('P04637', 'P29474')"
"('P02533', 'P01857')"
"('P19174', 'P27482')"
"('P51946', 'P18074')"
"('Q96LR5', 'Q8TDB6')"
"('Q5EB52', 'Q16643')"
"('Q16513', 'Q9H492')"
"('Q6B0I6', 'P68431')"
"('O95832', 'O95471')"
"('P05198', 'O00303')"
"('P27348', 'P35222')"
"('P17252', 'Q96KS0')"
"('P16104', 'Q99714')"
"('P04234', 'P48736')"
"('Q9H4L4', 'P15880')"
"('P17302', 'Q9BVA1')"
"('P05771', 'Q06710')"
"('Q13077', 'P23246')"
"('Q13185', 'P63165')"
"('Q9H2A7', 'P32246')"
"('P19784', 'P04156')"
"('P55735', 'O95486')"
"('P04040', 'P25786')"
"('Q08043', 'O43707')"
"('O95169', 'O95167')"
"('P12004', 'P18858')"
"('Q15173', 'O00305')"
"('P16455', 'P22314')"
"('Q9NQ66', 'Q9NPB6')"
"('Q9Y5B9', 'Q99879')"
"('P62910', 'Q96BK5')"
"('P39019', 'P21730')"
"('P43405', 'Q9P1W8')"
"('P61313', 'P61254')"
"('O95178', 'O95299')"
"('P25786', 'P41227')"
"('O95405', 'Q9Y3C5')"
"('P13196', 'P38936')"
"('Q6ZVL6', 'P25788')"
"('Q00597', 'Q9BTP7')"
"('Q8NAF0', 'Q5EB52')"
"('Q01201', 'P04350')"
"('P07202', 'Q14627')"
"('P30041', 'P12004')"
"('Q9UEF7', 'P14415')"
"('O94874', 'P51965')"
"('Q96T37', 'P18146')"
"('P55055', 'Q9UGU5')"
"('O76061', 'P30086')"
"('P36897', 'Q8WUH2')"
"('P35443', 'P05106')"
