negatives
"('Q9Y2X8', 'Q8N5U6')"
"('Q9NX18', 'Q16891')"
"('O95678', 'Q96EF6')"
"('P13612', 'P06756')"
"('Q9NQX4', 'Q6P4F7')"
"('P55290', 'Q14790')"
"('Q9BUZ4', 'Q9Y2W2')"
"('O95793', 'P67870')"
"('A6H8Y1', 'Q96B86')"
"('Q9P267', 'O60493')"
"('P05388', 'P47914')"
"('Q96SN8', 'O43379')"
"('P21266', 'Q14651')"
"('P78371', 'Q9NZC7')"
"('P25963', 'P67870')"
"('P05412', 'O43670')"
"('Q8WWY3', 'Q7L1Q6')"
"('Q86X19', 'P51798')"
"('Q15181', 'Q6IQ23')"
"('P54707', 'O14595')"
"('Q9H0W5', 'P12956')"
"('P59768', 'Q9H1C0')"
"('Q15785', 'Q9UBU9')"
"('Q9UBU9', 'O00625')"
"('P13637', 'Q8IYR6')"
"('Q9BYC5', 'O43143')"
"('Q13823', 'P62917')"
"('Q9H7H0', 'Q8ND90')"
"('O00213', 'Q9BXR0')"
"('P49736', 'Q5VTQ0')"
"('P25098', 'Q8NGX1')"
"('P62714', 'Q9BXT2')"
"('Q09472', 'P16070')"
"('P0CK97', 'Q15717')"
"('P52294', 'P55316')"
"('O43815', 'Q9Y2T4')"
"('Q9NSC5', 'Q8IZP0')"
"('Q9UQF2', 'P49116')"
"('Q8N109', 'P43631')"
"('O94972', 'Q9UBZ4')"
"('O15350', 'Q9P2P5')"
"('Q7Z3S9', 'P23769')"
"('Q8IY57', 'P67870')"
"('O95995', 'Q9BU76')"
"('P47756', 'P24941')"
"('Q7L5N1', 'Q8NDI1')"
"('P13010', 'P55201')"
"('P55061', 'O75310')"
"('Q07065', 'P25100')"
"('P62879', 'P51149')"
"('Q0VG06', 'Q96T91')"
"('Q96EE3', 'Q14457')"
"('P57087', 'P57073')"
"('P35232', 'P08574')"
"('A8MQ03', 'Q03989')"
"('Q6K0P9', 'Q6ZU65')"
"('P05231', 'Q9UHF4')"
"('P18146', 'P41279')"
"('Q9UIV1', 'P26651')"
"('Q9UHA4', 'Q9BRX9')"
"('Q8N163', 'P10809')"
"('Q8IYS2', 'O75844')"
"('P25490', 'Q9HAU4')"
"('P30101', 'P10809')"
"('Q14703', 'O75956')"
"('Q17R89', 'Q15599')"
"('Q14118', 'Q9Y696')"
"('P20618', 'Q15555')"
"('O15067', 'Q99615')"
"('P34897', 'Q14692')"
"('Q9UBQ0', 'Q9H0E2')"
"('Q01130', 'Q15843')"
"('P33176', 'P42261')"
"('P62191', 'P06400')"
"('P45983', 'Q13469')"
"('Q9UPQ3', 'P84077')"
"('P40189', 'P12931')"
"('P52789', 'P13612')"
"('Q6IF36', 'O60262')"
"('Q13315', 'Q9UKV3')"
"('O60884', 'Q8WW22')"
"('Q15025', 'Q5T7P8')"
"('P06702', 'Q9H492')"
"('O14980', 'O00203')"
"('Q4KWH8', 'Q05513')"
"('Q13247', 'Q9P127')"
"('P78352', 'Q14332')"
"('P51965', 'Q96J02')"
"('Q8NHQ1', 'Q96M91')"
"('Q15291', 'P03372')"
"('Q96DT6', 'P43686')"
"('O60906', 'P49356')"
"('O95715', 'P25024')"
"('O14763', 'O75626')"
"('Q9UP83', 'P55072')"
"('Q01844', 'O94905')"
"('P33778', 'Q12873')"
"('O14980', 'Q9HCM7')"
"('O60504', 'Q9C0H9')"
"('Q9HCU9', 'Q969G3')"
"('Q9UGJ1', 'Q9BRT2')"
"('P98174', 'Q6PCT2')"
"('Q9UKV8', 'Q16666')"
"('Q9HC52', 'Q96KN7')"
"('Q8IUQ4', 'P15498')"
"('P30101', 'O75665')"
"('O95433', 'P31948')"
"('Q9UBF2', 'P48444')"
"('Q63HR2', 'Q5T749')"
"('Q9UGI0', 'P26196')"
"('Q9Y297', 'Q9HCE7')"
"('P20248', 'P62805')"
"('Q01844', 'P01871')"
"('P00540', 'Q9BVG8')"
"('O00526', 'Q8N6L0')"
"('P21283', 'P53367')"
"('Q99729', 'Q08117')"
"('P60484', 'P62899')"
"('Q92793', 'P04637')"
"('P49407', 'Q14137')"
"('A8K8P3', 'Q2TAC2')"
"('P10275', 'Q13617')"
"('P08700', 'P16234')"
"('Q6UWL6', 'P25788')"
"('P22307', 'Q9Y2Q9')"
"('Q8IZL8', 'Q92793')"
"('Q6P2I7', 'P61966')"
"('Q8NA75', 'P61201')"
"('P04629', 'P14866')"
"('Q8NBJ4', 'Q9ULW5')"
"('Q9HBM6', 'P20226')"
"('P08729', 'O60341')"
"('P16615', 'Q9BQE3')"
"('Q14416', 'P09471')"
"('P19320', 'Q9BSD7')"
"('P60520', 'Q13148')"
"('P29466', 'Q9NX02')"
"('Q96HA8', 'Q16637')"
"('P35998', 'O15297')"
"('Q12834', 'P05067')"
"('O00311', 'Q2TAA8')"
"('P20809', 'P25815')"
"('P55040', 'O75360')"
"('P12931', 'P07900')"
"('Q9NVV4', 'Q12849')"
"('O00422', 'P60228')"
"('P10909', 'P16104')"
"('O43147', 'Q96B86')"
"('P09326', 'Q96NZ9')"
"('P62273', 'O15519')"
"('P60409', 'Q5TZK3')"
"('P10767', 'P04629')"
"('Q15717', 'Q15911')"
"('Q13315', 'O96017')"
"('Q9BUJ2', 'P11021')"
"('P45984', 'P49585')"
"('P0DPB3', 'P26641')"
"('P11388', 'Q13526')"
"('P62829', 'P62424')"
"('Q96EP5', 'P50238')"
"('Q9UL40', 'Q8NC60')"
"('Q99873', 'P78330')"
"('P04632', 'Q96C86')"
"('P04637', 'P36405')"
"('Q86XZ4', 'P52732')"
"('P28482', 'Q9P2G9')"
"('Q9BX63', 'Q86T82')"
"('Q9H3D4', 'P30050')"
"('Q13618', 'O14939')"
"('Q15796', 'Q13042')"
"('O75031', 'Q96DE5')"
"('P62256', 'P61289')"
"('Q14790', 'Q96CV9')"
"('P16333', 'Q8TEW0')"
"('Q13424', 'P81408')"
"('P22681', 'P08670')"
"('Q86VP6', 'Q9UKV8')"
"('A8MVW5', 'Q9NVH1')"
"('P50148', 'P63252')"
"('Q15276', 'Q12899')"
"('Q9NQC7', 'Q9Y2I6')"
"('P00533', 'P14618')"
"('Q8NHV4', 'Q53HL2')"
"('Q15843', 'Q15393')"
"('Q92793', 'P35659')"
"('Q9Y2X3', 'Q9NVN8')"
"('Q99459', 'P54198')"
"('P12544', 'Q02539')"
"('P0DP23', 'Q14451')"
"('Q2NKX8', 'Q13085')"
"('P63000', 'A7KAX9')"
"('Q96MT8', 'Q63HK5')"
"('P00519', 'P63010')"
"('P49286', 'P36956')"
"('Q8N488', 'Q96MM3')"
"('P63244', 'P19438')"
"('Q9UQN3', 'Q9UN37')"
"('P27635', 'Q8IWS0')"
"('Q16543', 'Q07002')"
"('P39019', 'Q00839')"
"('Q14315', 'Q9H3D4')"
"('P13612', 'P26640')"
"('O00203', 'Q8IZL8')"
"('O95166', 'P14867')"
"('P61962', 'P19784')"
"('Q13263', 'Q9H9E1')"
"('Q8TAG9', 'P02768')"
"('P0DP23', 'P49792')"
"('P46934', 'Q9NR12')"
"('P45983', 'P40227')"
"('Q9Y6W6', 'P53779')"
"('Q13158', 'Q05513')"
"('Q9C002', 'Q9Y512')"
"('Q96G23', 'Q9BUV8')"
"('P35249', 'Q9P2D0')"
"('Q15811', 'Q9NVZ3')"
"('Q16659', 'O14972')"
"('Q16666', 'Q9NY93')"
"('Q5JU00', 'P30307')"
"('P04629', 'Q4LE39')"
"('Q9H9H4', 'Q9UK41')"
"('Q9P244', 'Q9BRK5')"
"('P32121', 'O76100')"
"('Q86X52', 'Q15165')"
"('Q9P2R6', 'Q9ULU4')"
"('Q13438', 'Q96DZ1')"
"('Q9NP86', 'Q969J2')"
"('O43865', 'Q15008')"
"('P27797', 'P27824')"
"('O94805', 'P67870')"
"('O60825', 'P19474')"
"('Q8TD31', 'Q96BD5')"
"('O14925', 'Q9NQG6')"
"('O14828', 'Q9H0W5')"
"('Q504Q3', 'P49207')"
"('Q9BZ23', 'Q9P244')"
"('Q96GD4', 'P10809')"
"('P61960', 'Q96S44')"
"('P60660', 'P63000')"
"('Q9UKB1', 'Q5VZ89')"
"('Q8IWZ8', 'P55795')"
"('Q9H9S0', 'P13010')"
"('P39687', 'O95619')"
"('Q6ZN17', 'P62306')"
"('P11310', 'P04629')"
"('P67809', 'Q15428')"
"('Q9NRZ5', 'Q86VR2')"
"('P35227', 'Q00613')"
"('Q92922', 'P62805')"
"('Q15436', 'Q9UIA9')"
"('P23378', 'P04629')"
"('P25067', 'Q5KU26')"
"('P45974', 'P49427')"
"('Q7KZF4', 'Q9UPT9')"
"('Q8IVD9', 'Q9NRG9')"
"('O94826', 'P62820')"
"('Q9Y2J2', 'Q96HR8')"
"('P10276', 'O43593')"
"('P16403', 'Q9NWZ3')"
"('Q96EK5', 'Q15058')"
"('P16220', 'P18846')"
"('Q9C0C2', 'Q13185')"
"('P01100', 'Q9BVA1')"
"('Q96HJ9', 'P48047')"
"('P43405', 'Q9GZY6')"
"('Q86VR2', 'O95870')"
"('Q96C28', 'P82664')"
"('P12755', 'Q9Y618')"
"('Q9BWU1', 'Q86YW9')"
"('Q99598', 'Q9BQ70')"
"('A0JLT2', 'Q9NWA0')"
"('P07550', 'P24539')"
"('Q9ULC4', 'P45974')"
"('P51812', 'P62753')"
"('Q68DK2', 'P13196')"
"('P53671', 'Q9Y281')"
"('Q16778', 'Q9UGU0')"
"('Q5JXC2', 'Q8NBT0')"
"('P18848', 'Q96D71')"
"('Q13753', 'P18084')"
"('P40259', 'P15391')"
"('Q13618', 'Q6ZVC0')"
"('Q9BRP8', 'Q13838')"
"('Q9Y2Y0', 'P36405')"
"('P09493', 'P46940')"
"('P25705', 'P62258')"
"('Q13952', 'P12004')"
"('Q8N3Z0', 'P55809')"
"('P62993', 'P09651')"
"('Q9NWB1', 'Q96LI6')"
"('Q13315', 'P10114')"
"('P62258', 'Q13627')"
"('P11308', 'P31943')"
"('P04637', 'Q9NTK5')"
"('Q7Z6W7', 'P05067')"
"('P07237', 'Q01844')"
"('O95793', 'O43390')"
"('Q04864', 'Q9UMX2')"
"('Q04864', 'Q8WWW0')"
"('P01241', 'Q01105')"
"('O76064', 'Q08050')"
"('Q9UMX5', 'O60271')"
"('Q96GD4', 'Q14203')"
"('Q15050', 'Q9Y3T9')"
"('P11142', 'P38646')"
"('Q9NZI8', 'Q9UHX1')"
"('P35544', 'P62851')"
"('Q15365', 'O60739')"
"('Q16643', 'Q99733')"
"('Q9H0H5', 'Q9Y4G8')"
"('Q07912', 'O60880')"
"('Q9HB63', 'Q9UBU9')"
"('Q86Y91', 'P68431')"
"('Q08211', 'P35222')"
"('P24941', 'P37837')"
"('O00459', 'P49841')"
"('Q9H190', 'O75506')"
"('O75044', 'O60573')"
"('P27635', 'Q13347')"
"('Q9UHD9', 'Q9HCE7')"
"('Q14966', 'Q96S53')"
"('O75165', 'P24522')"
"('P40121', 'P23528')"
"('P28070', 'Q9BZS1')"
"('Q9NQ50', 'Q9BYR8')"
"('O14519', 'O76071')"
"('P30466', 'Q9Y265')"
"('O43913', 'Q9GZT8')"
"('Q96RK4', 'Q13618')"
"('Q63ZY3', 'Q9HC52')"
"('Q13576', 'Q9P2Y5')"
"('Q9HCN4', 'Q9Y265')"
"('Q13315', 'Q9NZ56')"
"('P28482', 'O75676')"
"('P35637', 'P02768')"
"('P19878', 'P15153')"
"('P46783', 'P36578')"
"('Q969Q1', 'P10916')"
"('Q15554', 'P67870')"
"('O15258', 'Q9C0B0')"
"('P06493', 'P49815')"
"('P28370', 'Q06330')"
"('P11473', 'Q13569')"
"('Q6P1K8', 'Q86Y13')"
"('Q9UBU9', 'Q9BY44')"
"('P25208', 'P20248')"
"('P32969', 'O95166')"
"('O00555', 'Q96GX1')"
"('Q14137', 'Q14999')"
"('Q9UDY8', 'Q9H257')"
"('P49720', 'P05412')"
"('P50336', 'Q9BRK5')"
"('Q99615', 'Q96FW1')"
"('Q8WXS4', 'P02763')"
"('P09067', 'Q9NSC5')"
"('P69905', 'Q92574')"
"('O60504', 'Q14151')"
"('Q7Z422', 'P49458')"
"('Q99700', 'P48643')"
"('Q14151', 'Q9BXW4')"
"('Q16637', 'P08621')"
"('Q8NBT2', 'O95229')"
"('P34897', 'P62993')"
"('Q96CS4', 'Q13185')"
"('P55773', 'P32248')"
"('P27635', 'P08579')"
"('P05412', 'P15498')"
"('P18859', 'Q9NX40')"
"('P04637', 'P08047')"
"('Q13151', 'P31943')"
"('Q9HCE7', 'Q9BYM8')"
"('P17066', 'O75161')"
"('Q9NPG2', 'Q9GZT8')"
"('P08514', 'P17612')"
"('Q93062', 'P35590')"
"('Q08209', 'P50749')"
"('O75152', 'P48039')"
"('Q96J02', 'P62993')"
"('P22102', 'Q9UIA9')"
"('Q6UWE0', 'O75604')"
"('P01106', 'Q13155')"
"('P51003', 'Q15796')"
"('Q9HBI1', 'P53708')"
"('Q9Y6I3', 'Q9UHD9')"
"('Q12929', 'Q6P1M0')"
"('Q9BZF3', 'Q6Y7W6')"
"('Q14500', 'Q13884')"
"('O15394', 'P04156')"
"('O60941', 'Q96A04')"
"('Q06124', 'Q9BTV5')"
"('P12814', 'P11137')"
"('P49790', 'Q9GZY0')"
"('P22695', 'P61020')"
"('Q96NR8', 'Q969T4')"
"('Q9UL26', 'Q8NEU8')"
"('Q13263', 'Q5JUW0')"
"('P06730', 'P04629')"
"('Q9HAV0', 'Q99471')"
"('O95071', 'P15170')"
"('P04792', 'Q9Y3C7')"
"('Q8TF46', 'Q86UK7')"
"('Q96CV9', 'Q8TF68')"
"('Q9BXL7', 'P43403')"
"('Q96AC6', 'P00519')"
"('O75052', 'O14980')"
"('Q9Y230', 'Q13148')"
"('P07954', 'Q71UI9')"
"('Q9NSI8', 'Q04917')"
"('Q96M89', 'Q9P2K1')"
"('O15020', 'Q96H55')"
"('Q13315', 'O43143')"
"('Q8IVW4', 'Q08379')"
"('P0DMV8', 'Q15648')"
"('P51617', 'O60308')"
"('P48147', 'Q04760')"
"('P31321', 'Q96C24')"
"('O00165', 'P51674')"
"('O75044', 'P63104')"
"('P56880', 'Q96AP7')"
"('Q9Y2D8', 'Q9BYV2')"
"('Q9UBU3', 'P28222')"
"('Q99750', 'Q9BWG6')"
"('P63208', 'Q8WUF8')"
"('Q04726', 'Q99853')"
"('Q6ZU80', 'Q5T9S5')"
"('Q15796', 'Q9H9S0')"
"('Q13829', 'A2RUU4')"
"('Q13363', 'Q92769')"
"('Q8WWW0', 'P11215')"
"('Q6L8G9', 'Q9BYP8')"
"('Q15052', 'Q99963')"
"('P04150', 'P34932')"
"('O00193', 'Q14703')"
"('Q9C0B0', 'P63146')"
"('P07951', 'Q92614')"
"('P31943', 'Q8TBB1')"
"('P62136', 'Q5SW79')"
"('P08238', 'Q8N1E6')"
"('P56545', 'P05412')"
"('P00966', 'Q9H1I8')"
"('Q4VCS5', 'Q9GZV5')"
"('Q8WVL7', 'Q9UIM3')"
"('O75530', 'O75643')"
"('P37198', 'Q8TAB5')"
"('P15374', 'Q9NPH2')"
"('Q9H040', 'Q9UNZ2')"
"('Q09472', 'P19793')"
"('Q68CZ1', 'Q96P70')"
"('P25786', 'Q15051')"
"('Q13148', 'Q15269')"
"('Q9NVU0', 'Q14145')"
"('P57678', 'P61011')"
"('Q9HC77', 'Q6UVJ0')"
"('Q9Y241', 'P14678')"
"('Q8TEY7', 'P07550')"
"('Q9Y5V3', 'Q16795')"
"('Q15906', 'Q15014')"
"('P01210', 'P30260')"
"('P62241', 'P14415')"
"('P29083', 'Q13503')"
"('Q01814', 'O14756')"
"('P08238', 'P08631')"
"('Q14527', 'Q149N8')"
"('O14925', 'O60830')"
"('P61964', 'O14744')"
"('Q93099', 'O95471')"
"('P62995', 'P61981')"
"('Q9UKV8', 'O43143')"
"('Q9Y277', 'P13073')"
"('Q13084', 'Q6P1L8')"
"('Q8IVF5', 'P50570')"
"('P43243', 'Q5BKZ1')"
"('O43776', 'P00519')"
"('Q8WXD5', 'P57678')"
"('Q86UX6', 'Q16543')"
"('P25098', 'Q8NGG4')"
"('P55318', 'P46734')"
"('Q9NPG3', 'Q9Y294')"
"('Q8N6S5', 'O60361')"
"('Q9Y397', 'P01112')"
"('P06748', 'Q6NZI2')"
"('Q9UBU9', 'P82664')"
"('Q96H86', 'Q9BQ66')"
"('Q15910', 'P67809')"
"('P30260', 'Q14186')"
"('Q7Z406', 'O95295')"
"('P30447', 'Q14943')"
"('Q16537', 'Q02641')"
"('P25205', 'Q9UJX2')"
"('Q9P2H0', 'O14737')"
"('P28288', 'Q8NFA0')"
"('P29401', 'Q04760')"
"('P49862', 'P49913')"
"('Q9UBU9', 'Q99653')"
"('P33993', 'Q9Y4K3')"
"('Q99832', 'P49368')"
"('O95684', 'O15078')"
"('P43250', 'P23945')"
"('Q9UNS1', 'Q8NBB4')"
"('Q16666', 'Q86U86')"
"('P26441', 'Q6UXL0')"
"('P13639', 'P06748')"
"('P25786', 'Q9Y2Z0')"
"('O14735', 'P57078')"
"('O43175', 'P07195')"
"('Q15018', 'P17980')"
"('Q8TCJ2', 'Q8TES7')"
"('O95274', 'Q8WTR4')"
"('Q8NGF3', 'P62873')"
"('Q13616', 'Q9NRD1')"
"('Q9H5V7', 'Q92731')"
"('Q9BZH6', 'Q8NF99')"
"('Q9P0N5', 'O75787')"
"('Q8N490', 'Q99871')"
"('Q8NA72', 'Q8N4C6')"
"('Q86W26', 'P10275')"
"('Q9UKS6', 'O43597')"
"('Q92905', 'Q10567')"
"('Q9NRA8', 'Q9BV73')"
"('Q99909', 'P24278')"
"('Q96LR5', 'Q86UD3')"
"('P04629', 'P26640')"
"('P63010', 'P27694')"
"('P33552', 'P24941')"
"('O00411', 'Q9C009')"
"('P62258', 'P31946')"
"('Q9UQ35', 'Q9Y580')"
"('Q8IY57', 'Q9HCM7')"
"('P04150', 'P24468')"
"('Q99496', 'Q9UNF1')"
"('Q9C0C7', 'P67775')"
"('P84022', 'P11473')"
"('Q9HDC5', 'Q9BZF9')"
"('Q93034', 'Q5T7N3')"
"('Q9ULH1', 'P12830')"
"('P63104', 'P56945')"
"('Q07955', 'O00161')"
"('Q9BUG6', 'A8MQ03')"
"('O95503', 'Q5VZL5')"
"('Q9Y263', 'P04054')"
"('Q8N7W2', 'P55081')"
"('Q9P0J0', 'Q9Y3E0')"
"('Q13217', 'P38646')"
"('P62277', 'Q13233')"
"('O43731', 'Q9H4A9')"
"('Q16254', 'Q15154')"
"('Q16661', 'Q9UHD9')"
"('O15143', 'O43399')"
"('P63162', 'Q7L2J0')"
"('P13612', 'Q08J23')"
"('P61960', 'P14174')"
"('O75530', 'P14625')"
"('P06396', 'Q16643')"
"('P04626', 'Q9Y5J1')"
"('Q12906', 'O75127')"
"('Q99497', 'O94966')"
"('P61981', 'Q13049')"
"('Q8IWL3', 'Q9NRN7')"
"('O95819', 'P62269')"
"('Q9Y375', 'Q16740')"
"('Q9HAW4', 'Q92466')"
"('Q9NWB7', 'Q9Y2Q3')"
"('Q8IUD2', 'Q8N4C6')"
"('O43734', 'Q99750')"
"('Q8WVD5', 'Q8N9I9')"
"('Q9NQV6', 'Q01167')"
"('Q8N448', 'O43447')"
"('Q92793', 'P31314')"
"('P08218', 'Q6A162')"
"('P49736', 'P62424')"
"('Q9NR46', 'P16234')"
"('P25686', 'Q9NXX6')"
"('Q8IWW6', 'Q15642')"
"('Q6VB84', 'Q13137')"
"('P78344', 'Q13490')"
"('P18146', 'Q9NVF9')"
"('P35226', 'Q15554')"
"('Q8N5S9', 'Q14151')"
"('Q96RT1', 'Q9BY21')"
"('P49917', 'P00403')"
"('P04629', 'P28838')"
"('P13010', 'P19338')"
"('P55854', 'P09104')"
"('P39023', 'O95568')"
"('Q15102', 'Q9GZT8')"
"('P06730', 'O43432')"
"('Q13619', 'P05387')"
"('P78317', 'P01106')"
"('P17544', 'Q02078')"
"('Q9UNN5', 'P20073')"
"('P16260', 'Q02297')"
"('P54802', 'Q8WWY8')"
"('Q14562', 'Q15796')"
"('Q9BYQ2', 'Q96HA8')"
"('P84996', 'Q9Y2L1')"
"('Q9UBF1', 'Q16384')"
"('P51170', 'O00308')"
"('Q9Y5S9', 'O75147')"
"('Q9NSE4', 'Q86YD3')"
"('P31943', 'P50616')"
"('P51532', 'O75147')"
"('Q9UKV8', 'Q6DN90')"
"('Q4VCS5', 'Q9H8S9')"
"('P84022', 'O43684')"
"('P23497', 'P49792')"
"('P50570', 'Q08379')"
"('Q15022', 'P49711')"
"('Q5JXC2', 'Q9BT92')"
"('Q96B97', 'O75475')"
"('Q13635', 'Q86XS8')"
"('P49841', 'P12524')"
"('O75528', 'Q92621')"
"('Q99750', 'P25490')"
"('Q9H2G2', 'Q9Y2H0')"
"('Q93034', 'Q08380')"
"('P61968', 'Q86U70')"
"('Q9H1X1', 'O95396')"
"('Q9UBU9', 'O43399')"
"('P46379', 'O60337')"
"('O95630', 'P00533')"
"('P15822', 'Q13615')"
"('Q9UBW8', 'Q5JTV8')"
"('Q8N1B4', 'Q9H4P4')"
"('P35626', 'Q8N146')"
"('Q9NRC8', 'Q5SW79')"
"('P61970', 'O94973')"
"('P01571', 'P01589')"
"('Q8IYB1', 'P48553')"
"('Q92574', 'Q16539')"
"('Q05639', 'Q9Y4K3')"
"('P51692', 'Q92734')"
"('P01023', 'P00747')"
"('P61289', 'P42771')"
"('Q9NYG5', 'P43403')"
"('Q702N8', 'O76041')"
"('P13612', 'P31995')"
"('Q96MU7', 'Q86SE5')"
"('P51687', 'Q6PF18')"
"('Q9H0F6', 'Q13077')"
"('P12931', 'Q86X55')"
"('O75317', 'P43403')"
"('Q15052', 'P36897')"
"('P27216', 'P07355')"
"('Q14814', 'P54198')"
"('Q01546', 'O76015')"
"('Q5BJF2', 'P01903')"
"('P27708', 'P50990')"
"('Q15628', 'Q14257')"
"('Q13618', 'P62701')"
"('Q8N6C8', 'P31994')"
"('Q6NUQ1', 'Q86YD7')"
"('Q9UJV3', 'Q5PSV4')"
"('Q9C005', 'Q8WTS6')"
"('P01871', 'P49841')"
"('P53350', 'Q6PGQ1')"
"('P15090', 'O76070')"
"('Q9Y618', 'Q8NFZ5')"
"('Q9NU22', 'Q9NVX2')"
"('Q15527', 'Q96P16')"
"('Q96D03', 'Q13064')"
"('Q96RT7', 'Q71U36')"
"('Q96HA8', 'Q53G59')"
"('Q00610', 'P63279')"
"('P15586', 'Q9Y2T3')"
"('O15379', 'Q9NWT6')"
"('P42568', 'Q9NXW9')"
"('P55795', 'Q07955')"
"('Q16643', 'P19022')"
"('Q5BJF6', 'Q15025')"
"('P22061', 'P05412')"
"('Q86YS7', 'Q15717')"
"('Q8NI36', 'O00567')"
"('P82970', 'P80723')"
"('Q16799', 'P11362')"
"('Q14192', 'P16220')"
"('O95677', 'Q8TCY9')"
"('P07948', 'P48023')"
"('P35070', 'P00533')"
"('P06493', 'P26368')"
"('O43299', 'Q8N1F7')"
"('O14980', 'Q9UIV1')"
"('P17027', 'P60410')"
"('Q70EL2', 'Q96KR1')"
"('Q9HC24', 'Q96QR1')"
"('Q96SW2', 'P60891')"
"('Q7Z7A1', 'Q9NYZ3')"
"('P01106', 'Q9Y2B2')"
"('P01106', 'O15075')"
"('P00750', 'P11308')"
"('P53041', 'Q14344')"
"('Q86TM6', 'Q13438')"
"('Q6ZMR3', 'Q00796')"
"('Q92769', 'Q9UK53')"
"('Q9UKG4', 'Q6ICL7')"
"('Q9BYQ4', 'Q9BYQ6')"
"('P24468', 'O60939')"
"('Q8NHL6', 'P04222')"
"('P16152', 'Q14999')"
"('Q13618', 'P35244')"
"('Q9Y2K6', 'O75787')"
"('Q96IZ5', 'P61978')"
"('O95159', 'Q8N205')"
"('Q99583', 'Q01167')"
"('Q96ID5', 'O00231')"
"('P17066', 'P35228')"
"('Q5T700', 'Q96F15')"
"('Q8N1G4', 'Q9NY27')"
"('Q13043', 'O43175')"
"('O15067', 'Q96RL1')"
"('Q92997', 'P67775')"
"('P25445', 'P06241')"
"('P35637', 'O43143')"
"('Q9Y620', 'Q14565')"
"('Q8N2W9', 'Q9UIL8')"
"('P52797', 'P20936')"
"('Q7Z7A1', 'P51149')"
"('P11142', 'P13612')"
"('Q99460', 'Q13561')"
"('Q9NRD5', 'Q9BX10')"
"('O75306', 'Q9UBU9')"
"('Q14974', 'P04637')"
"('O95251', 'P68431')"
"('O76071', 'O60762')"
"('P60410', 'Q14061')"
"('Q9Y5K5', 'Q13765')"
"('P08670', 'Q9H2C0')"
"('O95801', 'Q7L3B6')"
"('Q09472', 'Q13547')"
"('Q6R327', 'Q9H6X2')"
"('Q15008', 'Q99436')"
"('Q96GF1', 'P51572')"
"('Q13153', 'P84243')"
"('Q5UCC4', 'Q9Y2T5')"
"('Q9Y2D8', 'Q9BSW7')"
"('P15121', 'Q8WWX0')"
"('Q52LA3', 'Q96GY3')"
"('Q6IQ23', 'P46459')"
"('Q13435', 'O95793')"
"('Q8TEX9', 'O00141')"
"('Q96LK0', 'Q969V6')"
"('Q8N543', 'A0AVT1')"
"('O94761', 'Q06609')"
"('P68104', 'Q02543')"
"('O75150', 'Q15554')"
"('Q8WUY8', 'Q9NRH1')"
"('P07900', 'P68371')"
"('Q9NUX5', 'P09601')"
"('Q96DN5', 'O75665')"
"('Q12952', 'O60264')"
"('Q08174', 'Q9BZC7')"
"('P49450', 'O75367')"
"('P35241', 'Q14164')"
"('O75143', 'P42345')"
"('O14558', 'Q52LG2')"
"('P42771', 'Q14164')"
"('Q96CS3', 'O43164')"
"('Q12816', 'Q13643')"
"('P51805', 'O95817')"
"('Q9Y3U8', 'Q15287')"
"('Q9Y4K3', 'Q5VYS4')"
"('Q9NRD1', 'P12109')"
"('O15550', 'O43474')"
"('O75663', 'P30153')"
"('Q8NDT2', 'Q8N8Y2')"
"('P03372', 'Q00839')"
"('Q9NZ71', 'Q9BRT8')"
"('Q9NR28', 'P11441')"
"('Q96DB2', 'O94906')"
"('Q99623', 'P51451')"
"('Q05655', 'O15530')"
"('Q6AZZ1', 'Q0VD86')"
"('P04350', 'Q9Y6N7')"
"('P29400', 'P08648')"
"('Q92925', 'Q92782')"
"('P00403', 'Q00610')"
"('P63279', 'P42768')"
"('O43189', 'P53539')"
"('P60369', 'Q8TBE0')"
"('P27361', 'P06401')"
"('Q15262', 'Q6ZT12')"
"('Q9Y6W8', 'Q92569')"
"('Q92696', 'P38117')"
"('Q9HCE7', 'Q9UMX0')"
"('P60953', 'Q15642')"
"('P51148', 'P51149')"
"('O95999', 'Q96AX9')"
"('O14579', 'Q15019')"
"('P07437', 'Q9BTC8')"
"('Q7Z4W1', 'Q9Y4K3')"
"('P78371', 'P61962')"
"('Q9BPW8', 'Q14999')"
"('Q9UNX3', 'Q6PF06')"
"('Q99496', 'Q9NZ45')"
"('Q13823', 'Q9P275')"
"('P01106', 'O75182')"
"('P62899', 'P32969')"
"('P08397', 'P05067')"
"('Q9UQL6', 'Q71UI9')"
"('P55268', 'P18084')"
"('P14373', 'Q9UHP6')"
"('O00442', 'Q8IWL3')"
"('P07196', 'Q8IYE1')"
"('Q9H2G9', 'Q9BXY8')"
"('Q08378', 'Q8NBB4')"
"('P32969', 'Q504Q3')"
"('O14796', 'Q8TAK6')"
"('P50222', 'B2RUY7')"
"('P11142', 'P18206')"
"('O60896', 'Q8NFW5')"
"('Q08188', 'P60520')"
"('Q8NBT2', 'Q9H081')"
"('Q15029', 'Q9UJV9')"
"('P51116', 'A7MCY6')"
"('P02511', 'P55036')"
"('O75376', 'P12755')"
"('Q5VTD9', 'Q9P1U0')"
"('Q14209', 'Q03164')"
"('Q86UZ6', 'Q6P2Q9')"
"('O76075', 'Q92905')"
"('Q66K14', 'P0DMS8')"
"('P42229', 'P51587')"
