negatives
"('P12830', 'Q15942')"
"('P00519', 'Q9Y5K6')"
"('Q8IZT6', 'P55199')"
"('O75426', 'Q9Y266')"
"('Q92831', 'Q9UIH9')"
"('Q13285', 'Q6RFH8')"
"('Q9ULV8', 'P14784')"
"('Q96SB3', 'O95685')"
"('P40429', 'P62277')"
"('O60238', 'O14775')"
"('P62333', 'P49642')"
"('O14776', 'O75554')"
"('P68363', 'P11441')"
"('P05771', 'P22460')"
"('P28482', 'P49023')"
"('Q9UEY8', 'Q99496')"
"('Q5VYK3', 'Q01484')"
"('Q8TES7', 'O75569')"
"('Q86YT6', 'Q9HBF4')"
"('P49841', 'P30279')"
"('O43829', 'P62081')"
"('Q5BJF6', 'Q9UPQ0')"
"('P09466', 'P68104')"
"('Q969Q1', 'P61086')"
"('O15084', 'Q6ZU80')"
"('O15078', 'Q5SW79')"
"('P23508', 'Q5T7W7')"
"('P54849', 'P43657')"
"('P34931', 'Q96PU4')"
"('P35226', 'Q92785')"
"('Q96NA2', 'Q13509')"
"('P01570', 'Q9HC73')"
"('O95967', 'Q9BQY4')"
"('Q96E35', 'Q86UU5')"
"('P01567', 'P16871')"
"('P41221', 'Q01974')"
"('Q9UHA4', 'Q9P2D0')"
"('O60861', 'Q96IG2')"
"('P25787', 'Q6IN85')"
"('Q96KR1', 'Q15717')"
"('P22694', 'Q8NGL4')"
"('P51784', 'Q9NYZ3')"
"('P0DP24', 'Q9UHB6')"
"('Q13485', 'P25686')"
"('O15304', 'Q96PU5')"
"('Q05519', 'Q9Y383')"
"('P36894', 'O15105')"
"('P49639', 'Q9NRQ2')"
"('Q15691', 'Q8IUD2')"
"('Q9HA64', 'P00533')"
"('P54315', 'Q16623')"
"('Q15172', 'P16220')"
"('P39023', 'Q5C9Z4')"
"('Q15717', 'Q14156')"
"('O43504', 'Q92610')"
"('Q96CS2', 'O15078')"
"('P18206', 'Q96C86')"
"('P61513', 'P62277')"
"('Q9NQS3', 'P60369')"
"('O95967', 'P32242')"
"('P61960', 'Q04323')"
"('Q02543', 'P49207')"
"('O43463', 'O95260')"
"('Q9NRG1', 'Q96F85')"
"('Q16611', 'Q8IWA4')"
"('Q9P2P5', 'Q8N5I2')"
"('P13646', 'Q1A5X7')"
"('O43918', 'P11142')"
"('Q6ZVK8', 'P32321')"
"('Q86VR2', 'B7ZAQ6')"
"('Q12805', 'O43765')"
"('Q9BYR8', 'Q92608')"
"('P46783', 'Q9H7Z3')"
"('O43586', 'P62750')"
"('P01106', 'Q12894')"
"('Q06265', 'Q5TCX8')"
"('Q6XUX3', 'P58546')"
"('Q68EM7', 'Q9UBU9')"
"('O75899', 'P09471')"
"('O14775', 'P48051')"
"('P00533', 'P35579')"
"('P29466', 'P04406')"
"('Q09013', 'P26678')"
"('Q9H6Z4', 'Q01105')"
"('P05161', 'Q6P1X5')"
"('Q9Y244', 'Q9BSU1')"
"('Q9H208', 'Q9P2W3')"
"('Q96QR8', 'Q9BXS5')"
"('P00738', 'O95257')"
"('Q9H1B4', 'P11142')"
"('Q9H4M9', 'Q9BSI4')"
"('Q9UQ90', 'Q15118')"
"('Q09472', 'O15151')"
"('O75147', 'A6NHR9')"
"('P21333', 'Q9NQX4')"
"('P27986', 'Q9Y5X2')"
"('P27635', 'Q96EY4')"
"('Q9BVA1', 'Q04206')"
"('P00533', 'Q8IZV2')"
"('Q9H967', 'Q13620')"
"('Q9BT43', 'P30281')"
"('Q9BRK5', 'Q9BY89')"
"('P18545', 'P51160')"
"('Q13315', 'Q9UJX2')"
"('Q8IY81', 'Q9UGY1')"
"('Q9Y4A0', 'Q9Y592')"
"('Q86Y82', 'Q16623')"
"('O43765', 'P51788')"
"('Q9UPX8', 'P19174')"
"('Q9HC36', 'Q9NQ29')"
"('Q9NZN8', 'Q9UIV1')"
"('Q8IVD9', 'Q70CQ1')"
"('P30679', 'Q13200')"
"('O43541', 'P36894')"
"('Q96MT8', 'O00444')"
"('Q15717', 'O95989')"
"('Q05516', 'Q00444')"
"('P62807', 'Q5H9F3')"
"('Q8IUH5', 'O75409')"
"('P09497', 'O00291')"
"('Q9UPP5', 'Q9P2X3')"
"('P30101', 'P11166')"
"('O00154', 'Q9NUX5')"
"('Q8TAT6', 'Q6L8Q7')"
"('Q14999', 'Q92734')"
"('P31947', 'P14635')"
"('P40337', 'P37802')"
"('P78334', 'B7ZAQ6')"
"('Q6K0P9', 'P13489')"
"('Q9Y572', 'Q00610')"
"('P35244', 'Q15554')"
"('Q9NRQ2', 'Q96M29')"
"('Q14657', 'Q13064')"
"('Q06609', 'Q96HR8')"
"('Q12834', 'O95071')"
"('P13807', 'P05412')"
"('Q13885', 'Q16363')"
"('Q6VAB6', 'Q92947')"
"('Q9NQT4', 'Q08379')"
"('P52739', 'P49336')"
"('Q15050', 'Q9Y3T9')"
"('Q9H853', 'Q9BQE3')"
"('P50895', 'P63279')"
"('Q06210', 'O60678')"
"('Q2M1K9', 'Q86SQ7')"
"('P61769', 'P30483')"
"('P10606', 'Q15323')"
"('P09622', 'Q99714')"
"('P07237', 'P55072')"
"('Q8IY81', 'O76094')"
"('P23416', 'Q9NRU3')"
"('Q08AD1', 'O75947')"
"('Q7Z4H7', 'O94986')"
"('Q9UI14', 'P62070')"
"('P21246', 'P43307')"
"('Q9NRH1', 'Q12873')"
"('Q7Z2V1', 'Q8ND90')"
"('Q7L590', 'P33991')"
"('Q16637', 'P53621')"
"('Q96SB4', 'Q16828')"
"('Q9UBP5', 'Q86X55')"
"('P46527', 'Q92574')"
"('Q16659', 'Q99767')"
"('Q92905', 'Q16531')"
"('O43752', 'O14653')"
"('Q00536', 'P49336')"
"('P62277', 'Q93034')"
"('P07237', 'P45974')"
"('P00403', 'Q9H8V3')"
"('Q92543', 'Q9H2H9')"
"('Q13596', 'P00533')"
"('P15018', 'P32927')"
"('Q96L21', 'P05388')"
"('P42356', 'P13805')"
"('Q07817', 'Q13323')"
"('Q15717', 'Q96L92')"
"('Q15118', 'P08575')"
"('Q00403', 'P04280')"
"('Q92914', 'P08138')"
"('P18564', 'P60709')"
"('P30273', 'O14931')"
"('P20671', 'Q96DB2')"
