negatives
"('Q53HC9', 'O95619')"
"('P49716', 'Q6PKC3')"
"('Q8TAQ2', 'Q86U86')"
"('Q9ULJ3', 'P08263')"
"('O00560', 'O95214')"
"('Q9NTX7', 'P61077')"
"('Q9H201', 'Q9Y6I3')"
"('P14868', 'Q93034')"
"('P07237', 'Q9UQL6')"
"('Q8NHQ1', 'Q8IYF1')"
"('O14490', 'O94875')"
"('Q12906', 'Q14103')"
"('Q8NHY2', 'P78371')"
"('O95433', 'P08670')"
"('P63220', 'Q9UNM6')"
"('Q01860', 'Q9Y680')"
"('P25800', 'O60711')"
"('P56182', 'Q9H944')"
"('P39023', 'P62633')"
"('Q8IYS1', 'P53370')"
"('P26358', 'P68431')"
"('P68431', 'Q96L14')"
"('O75197', 'O15169')"
"('Q9H9D4', 'Q9HAU5')"
"('Q7Z4S6', 'O15119')"
"('Q9H2C0', 'Q562R1')"
"('P17612', 'Q8NGW1')"
"('Q7Z6Z7', 'P40937')"
"('Q9P0N5', 'Q14126')"
"('Q15843', 'Q08380')"
"('P15954', 'Q9C002')"
"('O95433', 'Q9Y5J5')"
"('O43638', 'Q66LE6')"
"('Q9UQQ2', 'P00533')"
"('Q9BQB6', 'Q8IWL3')"
"('P05412', 'P19875')"
"('O14737', 'Q9UKE5')"
"('O60884', 'Q9Y266')"
"('Q96GD4', 'Q99728')"
"('Q9NR12', 'P0DP25')"
"('Q96SW2', 'Q9BQA1')"
"('Q15788', 'P35869')"
"('P46783', 'O95166')"
"('P17535', 'P09630')"
"('Q96KQ7', 'Q9GZN1')"
"('Q12824', 'Q9BWT1')"
"('Q14498', 'Q9UPE1')"
"('P16104', 'Q15233')"
"('Q9BRX9', 'Q9P2Q2')"
"('P62979', 'Q99816')"
"('Q9UI42', 'Q96IK5')"
"('Q9BV73', 'Q9HAU0')"
"('Q3ZCM7', 'P42701')"
"('O15455', 'Q02556')"
"('P61254', 'P05387')"
"('P17252', 'P26010')"
"('Q9H9Z2', 'P51991')"
"('Q9UK45', 'Q9BRA0')"
"('P13747', 'Q14952')"
"('P62266', 'P19320')"
"('Q9UBI6', 'Q02156')"
"('Q9BQ66', 'Q8NBS9')"
"('P40939', 'P04629')"
"('Q9HAV0', 'P27986')"
"('Q9UBV8', 'Q9ULX6')"
"('Q96EP5', 'Q96I24')"
"('Q13043', 'Q13188')"
"('Q6A162', 'Q9BVG8')"
"('O43422', 'Q8TF50')"
"('A5D8V6', 'Q96CA5')"
"('Q03989', 'A8MQ03')"
"('Q9Y6Y0', 'Q6PKG0')"
"('P14618', 'Q96GF1')"
"('P27986', 'P40763')"
"('Q9Y584', 'P62072')"
"('P10276', 'Q96F24')"
"('Q15014', 'Q9UKV0')"
"('P40425', 'Q00444')"
"('P07332', 'P11274')"
"('O00291', 'Q9BSW7')"
"('Q9UQC2', 'Q96S53')"
"('Q13526', 'P40424')"
"('P62807', 'Q99986')"
"('O00258', 'Q96KN2')"
"('Q9H553', 'P07900')"
"('P62807', 'Q96KQ7')"
"('P48643', 'P31943')"
"('Q16526', 'P31946')"
"('P05386', 'P82673')"
"('Q96JS3', 'Q969J2')"
"('Q9HC38', 'Q9Y5P6')"
"('Q9H0R8', 'P14618')"
"('O60216', 'P49736')"
"('P54709', 'P05023')"
"('P18031', 'P49862')"
"('Q9UBN7', 'P51956')"
"('Q14CS0', 'Q96JH7')"
"('P23469', 'P06241')"
"('O75716', 'Q9Y3S2')"
"('O95487', 'Q2M2I8')"
"('O14763', 'Q13568')"
"('Q9NP55', 'A8MUP2')"
"('O95782', 'Q14677')"
"('Q9GZT8', 'Q9GZV4')"
"('Q8IZQ1', 'P42858')"
"('O75159', 'P26951')"
"('P78545', 'P13804')"
"('Q9P0M9', 'P09651')"
"('Q8TAQ2', 'O60264')"
"('Q9H8V3', 'P63244')"
"('O75334', 'Q9Y2X7')"
"('O15144', 'Q9BR76')"
"('Q7L591', 'P62258')"
"('Q8NB91', 'Q9NVI1')"
"('Q96GM5', 'O96019')"
"('O75387', 'P10275')"
"('Q15080', 'P53778')"
"('P19838', 'P49913')"
"('Q16394', 'P26441')"
"('Q96TA2', 'Q9H165')"
"('O00571', 'P35244')"
"('Q9Y696', 'P29353')"
"('P52630', 'P42226')"
"('P20585', 'P27694')"
"('P36405', 'Q8IWV7')"
"('Q13233', 'P49585')"
"('P08069', 'O95721')"
"('Q6IQ23', 'O60573')"
"('P42684', 'P04040')"
"('Q9BYQ3', 'Q9H2X0')"
"('P26641', 'Q8TC92')"
"('Q01484', 'O75953')"
"('Q9Y4H2', 'Q9UKB1')"
"('Q6Q0C0', 'O43482')"
"('P58753', 'P29466')"
"('P05387', 'P46776')"
"('Q6PD62', 'Q5VT52')"
"('Q96CW1', 'Q13435')"
"('P78536', 'P49023')"
"('Q15796', 'Q96S55')"
"('P58107', 'Q9NQC3')"
"('P27348', 'Q9UJM3')"
"('Q9H4D5', 'O14980')"
"('O75147', 'Q92878')"
"('P35637', 'Q92890')"
"('P51148', 'Q15532')"
"('Q99436', 'O14965')"
"('P00533', 'P04181')"
"('Q96DB2', 'Q96QV6')"
"('P84022', 'P12755')"
"('P48444', 'Q92466')"
"('Q13111', 'Q09028')"
"('Q9GZX7', 'P52272')"
"('P07602', 'Q9NRD1')"
"('P58107', 'P62993')"
"('P35626', 'Q8NHB8')"
"('O43542', 'Q9UNL2')"
"('A8MWS1', 'P43631')"
"('P35244', 'P61006')"
"('P41252', 'P54136')"
"('P12830', 'Q16644')"
"('P33991', 'Q9UJX2')"
"('Q13042', 'Q9H1A4')"
"('Q96BR9', 'P51116')"
"('Q96GD3', 'Q9NRR5')"
"('P62805', 'P29374')"
"('Q9H1K1', 'Q8N9N5')"
"('O76003', 'Q8IVT5')"
"('P53992', 'Q9P2T1')"
"('Q9P286', 'Q8N5M1')"
"('P41218', 'Q9H6W3')"
"('O43542', 'O14828')"
"('Q9BQE4', 'P04114')"
"('Q13206', 'P04626')"
"('Q15022', 'Q14690')"
"('O60524', 'Q13769')"
"('Q9BUQ8', 'P27694')"
"('Q15637', 'Q8IWX8')"
"('P08708', 'Q9H492')"
"('P53992', 'O00267')"
"('Q8TDR0', 'P20248')"
"('Q8NE01', 'P38159')"
"('Q15181', 'P19320')"
"('Q13242', 'P14866')"
"('O43257', 'P27658')"
"('P25705', 'P36542')"
"('O14625', 'P49682')"
"('Q16778', 'O43918')"
"('Q9C0B0', 'O94925')"
"('Q92905', 'Q99828')"
"('P68032', 'Q6IQ23')"
"('Q9BRJ7', 'P04637')"
"('Q9Y5P6', 'P14923')"
"('P23467', 'P15692')"
"('P41743', 'P08151')"
"('P11021', 'P10599')"
"('Q9Y6K9', 'O75558')"
"('Q9BSL1', 'O60739')"
"('O00161', 'Q9P2Y5')"
"('Q9H583', 'Q9BXB1')"
"('O14807', 'P42338')"
"('Q12905', 'P27694')"
"('O15397', 'Q9BUG6')"
"('Q96D05', 'P78334')"
"('Q96GN5', 'Q6NZI2')"
"('Q14103', 'Q96Q27')"
"('Q04695', 'Q13191')"
"('Q9Y5Q9', 'Q8N5N7')"
"('P04181', 'Q9HAN9')"
"('P45983', 'Q07889')"
"('Q96RU7', 'P41182')"
"('Q9UJZ1', 'P51398')"
"('Q14790', 'P09486')"
"('Q8NHQ8', 'P55036')"
"('O60674', 'Q8TDB6')"
"('P57775', 'Q13616')"
"('Q6ZVZ8', 'P15531')"
"('Q15562', 'P51608')"
"('Q9BVP2', 'Q09028')"
"('Q9H9J2', 'Q15056')"
"('O15446', 'O60934')"
"('P39748', 'Q12952')"
"('Q9H1B4', 'P38919')"
"('P31942', 'Q14999')"
"('O00165', 'Q01484')"
"('P84022', 'Q9Y4E8')"
"('P01116', 'Q9H0S4')"
"('P16520', 'O60840')"
"('P05556', 'P08648')"
"('P09919', 'P19235')"
"('Q2MV58', 'P30040')"
"('P60520', 'P69891')"
"('P23396', 'P04629')"
"('O95954', 'O14964')"
"('Q8N6F8', 'O43711')"
"('Q8N1L1', 'Q12769')"
"('Q9P2D0', 'Q9UHA4')"
"('P14618', 'Q16526')"
"('P13984', 'P10275')"
"('Q8NGS7', 'Q9P2W3')"
"('P12931', 'Q5T6S3')"
"('P07900', 'O14617')"
"('Q9NRD5', 'Q01959')"
"('P01571', 'P38484')"
"('O00629', 'Q09161')"
"('P06239', 'Q07666')"
"('Q13617', 'Q9BWF3')"
"('P12035', 'Q86UD0')"
"('O14526', 'Q13882')"
"('Q96BD8', 'O14777')"
"('Q8TF74', 'P38919')"
"('O60291', 'P34932')"
"('P16220', 'P18075')"
"('P05089', 'Q14330')"
"('P13762', 'O95671')"
"('Q15910', 'Q9UM22')"
"('O00217', 'P21912')"
"('Q07820', 'Q16611')"
"('P52272', 'Q99459')"
"('P23588', 'Q5TC82')"
"('Q9BX63', 'Q9H5K3')"
"('Q96I51', 'Q6P087')"
"('O43524', 'Q92793')"
"('P29083', 'Q9BTE6')"
"('P08648', 'O95630')"
"('Q66K14', 'Q8IWL3')"
"('P82933', 'Q9Y2R9')"
"('P36542', 'P00403')"
"('P43307', 'P22695')"
"('P55795', 'Q86VP6')"
"('Q9NUX5', 'P28799')"
"('O15371', 'P49736')"
"('Q5HYK3', 'P82673')"
"('Q9H0W5', 'P27816')"
"('Q8NEU8', 'Q9NUX5')"
"('Q92572', 'O14980')"
"('Q8TC12', 'Q8WVC6')"
"('P08574', 'Q9HCE1')"
"('P20339', 'Q6NZI2')"
"('Q8N4V1', 'Q9NX63')"
"('Q14653', 'P05014')"
"('O75569', 'Q15633')"
"('Q68D86', 'Q9P2K3')"
"('Q99665', 'O60674')"
"('Q8IVT5', 'P15927')"
"('O75131', 'Q9NUX5')"
"('Q86WJ1', 'Q13185')"
"('Q9Y5A7', 'Q9NZN9')"
"('P17405', 'P09525')"
"('Q9NQ11', 'P32239')"
"('Q96GD4', 'P27635')"
"('P08648', 'P14780')"
"('P20674', 'Q9C0B0')"
"('Q13535', 'O60716')"
"('P62807', 'P78364')"
"('P0DPB3', 'O15394')"
"('Q04637', 'P04629')"
"('P67936', 'P24539')"
"('P51957', 'P25686')"
"('P20809', 'P00533')"
"('P07900', 'P09914')"
"('Q5T753', 'P60411')"
"('P16435', 'O14980')"
"('P26373', 'Q07020')"
"('P50991', 'Q96DB2')"
"('P46777', 'Q9UQL6')"
"('Q7L1I2', 'Q96LI6')"
"('Q13490', 'Q99759')"
"('Q99549', 'Q5VWN6')"
"('Q9NRC8', 'Q7Z2W4')"
"('P62258', 'Q9H0R8')"
"('Q15717', 'P49674')"
"('Q9NVZ3', 'Q9UJY5')"
"('P84074', 'Q9BXJ5')"
"('P62306', 'Q13233')"
"('O14558', 'Q9H8W4')"
"('Q5T2W1', 'P35346')"
"('Q8TBB1', 'O60229')"
"('Q9UBB9', 'P51959')"
"('P29350', 'P52333')"
"('Q9BY77', 'Q86UX7')"
"('P09913', 'Q13310')"
"('A5A3E0', 'P00813')"
"('P53611', 'P61006')"
"('P13667', 'P68402')"
"('P60842', 'P02751')"
"('Q96EL3', 'Q9H0E7')"
"('Q13555', 'Q7Z3S7')"
"('P62993', 'Q92963')"
"('P34932', 'O95429')"
"('Q01844', 'Q9NQ92')"
"('A8MQ03', 'Q5T5A8')"
"('Q9BVP2', 'P01106')"
"('O76003', 'Q5TA82')"
"('P62241', 'Q9H0R8')"
"('P37840', 'Q15545')"
"('O75665', 'Q9BT92')"
"('Q7Z7A1', 'O15084')"
"('A6NEM1', 'Q96BR6')"
"('Q96QR8', 'Q9P2Y5')"
"('Q9H0W8', 'Q6ZPD8')"
"('Q15654', 'P32242')"
"('Q6PGP7', 'Q9NPD3')"
"('P68106', 'P00441')"
"('P53999', 'P41235')"
"('P05362', 'P46776')"
"('Q86X55', 'P05412')"
"('P62263', 'O95758')"
"('Q9Y294', 'P62805')"
"('Q6ZU80', 'Q8TD16')"
"('P49759', 'P38159')"
"('Q2NL82', 'P62854')"
"('Q5T0W9', 'O15027')"
"('Q9UNL2', 'Q9UPV0')"
"('P52272', 'Q02543')"
"('Q92734', 'Q14254')"
"('P14416', 'P04899')"
"('O43865', 'O00762')"
"('Q9UBW8', 'Q9H4G0')"
"('O14763', 'Q8WYQ5')"
"('P67936', 'P05023')"
"('O60508', 'O75937')"
"('P33992', 'P60033')"
"('Q70IA6', 'P54253')"
"('Q99933', 'Q9UBU9')"
"('Q8TEH3', 'Q6Y7W6')"
"('Q99729', 'Q9NRR4')"
"('O95059', 'Q15717')"
"('O60683', 'O00623')"
"('O60506', 'O75400')"
"('P05362', 'P26373')"
"('Q96IP4', 'Q92743')"
"('B5ME19', 'P09496')"
"('Q13315', 'Q86W50')"
"('Q9UKK3', 'Q00610')"
"('O75122', 'Q71U36')"
"('Q9NUX5', 'P50135')"
"('Q9Y3D0', 'Q8TE02')"
"('O15354', 'P17987')"
"('P68431', 'P62633')"
"('Q8NFW5', 'O00746')"
"('Q14684', 'Q9NRC8')"
"('O00585', 'Q5BVD1')"
"('Q14524', 'O00308')"
"('Q92731', 'Q9BTY7')"
"('P11171', 'Q9Y237')"
"('O60671', 'Q13535')"
"('P01889', 'P61604')"
"('O14920', 'Q9NQC7')"
"('P63279', 'Q8N3Z6')"
"('P23508', 'P29692')"
"('Q9Y3M8', 'P17081')"
"('Q15843', 'Q8WXC6')"
"('P38936', 'Q08999')"
"('O76081', 'P49639')"
"('P62979', 'Q96J02')"
"('Q9UBK8', 'Q96IK5')"
"('Q9NTW7', 'Q13895')"
"('Q9BYN8', 'Q8IXZ2')"
"('Q9NVS2', 'Q9UGY1')"
"('Q04917', 'P25963')"
"('Q16585', 'Q92629')"
"('O60636', 'B7ZAP0')"
"('Q9Y3C7', 'Q96SN7')"
"('Q13574', 'Q08999')"
"('Q8TEM1', 'Q9NRG9')"
"('Q9NR09', 'Q13439')"
"('Q9HCG8', 'Q8TEW6')"
"('Q92830', 'P10242')"
"('P29374', 'P24864')"
"('Q8IX04', 'Q96C23')"
"('Q13424', 'P11801')"
"('P53365', 'P84085')"
"('P04629', 'P52789')"
"('Q96B97', 'Q86SQ0')"
"('Q9NQT8', 'Q9ULR3')"
"('Q9BQ52', 'P56545')"
"('P46777', 'P07900')"
"('Q6NUK4', 'Q8N5N7')"
"('P84074', 'O15427')"
"('P82675', 'Q92665')"
"('P29016', 'Q6UW68')"
"('P62316', 'P14678')"
"('Q13469', 'Q9Y3C7')"
"('Q96N95', 'Q9BRR0')"
"('Q96N95', 'P17040')"
"('P31946', 'O75643')"
"('P05067', 'Q96JC9')"
"('Q7Z2W4', 'Q9HC52')"
"('Q15797', 'Q9Y2T1')"
"('Q53HC5', 'Q6EEV4')"
"('A6NKD9', 'Q8N137')"
"('P18146', 'O15121')"
"('Q6P2Q9', 'Q7Z6Z7')"
"('P55774', 'P68104')"
"('Q9UHA4', 'Q9UM00')"
"('P12755', 'Q9Y6N5')"
"('Q14562', 'Q8N5F7')"
"('Q5TA82', 'O15496')"
"('P51532', 'Q01831')"
"('P23246', 'Q75N03')"
"('Q9Y376', 'Q6P2I7')"
"('P50990', 'Q99459')"
"('P42858', 'P43357')"
"('Q9UBV7', 'Q13042')"
"('O75830', 'P46379')"
"('Q9BXS5', 'Q8IU60')"
"('P51116', 'Q96EZ8')"
"('O95678', 'Q9BYV2')"
"('Q15013', 'P51681')"
"('Q15287', 'P07910')"
"('Q13243', 'Q86U42')"
"('Q8NI51', 'Q9UNE7')"
"('Q9Y4E8', 'P33991')"
"('Q9UQ35', 'Q15326')"
"('Q9P2A4', 'P42768')"
"('Q9H0Q3', 'Q8N4V2')"
"('Q9UBU8', 'P04637')"
"('Q14103', 'P98153')"
"('Q14142', 'Q96Q77')"
"('P09884', 'P06493')"
"('Q9BSJ2', 'Q9BQE3')"
"('Q13535', 'Q6PJP8')"
"('Q9NZV8', 'P56537')"
"('P54274', 'Q15651')"
"('P40227', 'Q96SW2')"
"('Q14164', 'P34897')"
"('Q9UJV3', 'Q14764')"
"('Q7Z3Z2', 'Q96KQ7')"
"('Q6ZTQ3', 'Q9ULT8')"
"('Q9Y5K5', 'Q6FI81')"
"('P24864', 'O60934')"
"('Q7Z5R6', 'P17947')"
"('P04150', 'Q96GM5')"
"('O75436', 'Q96QK1')"
"('Q9Y6J6', 'P51787')"
"('P09913', 'P42224')"
"('Q6XQN6', 'P78318')"
"('P18146', 'P23946')"
"('Q9NZN5', 'Q8N5S1')"
"('Q13263', 'P46736')"
"('Q9UBR2', 'Q9BYR6')"
"('Q92731', 'Q8IZL8')"
"('Q9NQW6', 'P62807')"
"('Q9UKX7', 'Q99567')"
"('Q8NF91', 'P25054')"
"('Q8IYB3', 'Q8IZP0')"
"('Q969R5', 'P22528')"
"('Q16630', 'Q15424')"
"('P13747', 'P27797')"
"('Q2NKX8', 'O14980')"
"('P48664', 'O95376')"
"('Q86VP3', 'Q12933')"
"('P00533', 'P60174')"
"('Q13838', 'P38919')"
"('Q16576', 'Q13547')"
"('Q5VTR2', 'Q9NZM3')"
"('Q9C010', 'Q01094')"
"('P46939', 'Q9Y4J8')"
"('Q13523', 'Q6P2Q9')"
"('Q9BUF5', 'P47755')"
"('P07550', 'P05023')"
"('P07858', 'Q96NL6')"
"('P00387', 'Q86X19')"
"('Q13315', 'P47929')"
"('Q02878', 'Q08211')"
"('Q8NEZ3', 'O75880')"
"('O15467', 'P49682')"
"('O95433', 'Q9Y5H5')"
"('P46108', 'O95157')"
"('P04629', 'Q9BSJ2')"
"('Q13155', 'Q9Y2F5')"
"('O96008', 'Q9Y6C9')"
"('Q9UMX0', 'P05121')"
"('Q8NHS4', 'Q96L14')"
"('Q96PV6', 'O43463')"
"('B0FP48', 'Q96FV3')"
"('P46108', 'Q9H706')"
"('Q96C24', 'Q13277')"
"('O76003', 'Q9BYQ3')"
"('P08670', 'P07384')"
"('Q9Y2D8', 'Q63ZY3')"
"('Q96P20', 'P43405')"
"('P0CW20', 'P41182')"
"('O14657', 'Q9UG22')"
"('P35226', 'Q96PV6')"
"('P11940', 'Q07020')"
"('Q3SY00', 'Q92685')"
"('Q9P2A4', 'Q6ZU52')"
"('P12830', 'P52630')"
"('Q9H596', 'Q96MT4')"
"('P45983', 'Q06210')"
"('Q96KP1', 'P57078')"
"('Q05086', 'Q9Y242')"
"('Q9ULX6', 'Q13418')"
"('O14807', 'Q9UQ13')"
"('P48380', 'Q9H845')"
"('O75448', 'P11473')"
"('O60721', 'P62993')"
"('Q16790', 'P00918')"
"('O14653', 'Q12846')"
"('P46776', 'P62841')"
"('P08709', 'Q9Y6K9')"
"('Q9BSM1', 'Q9HBE1')"
"('P04632', 'P31785')"
"('P26367', 'O95343')"
"('P26992', 'P06241')"
"('P19438', 'Q13077')"
"('O14519', 'Q6W2J9')"
"('Q8IVW4', 'Q9UJY5')"
"('P15880', 'Q9NQ92')"
"('O15350', 'Q96A56')"
"('Q7Z699', 'P29972')"
"('Q9BTT6', 'Q16539')"
"('Q05BQ5', 'Q7L5N1')"
"('Q13315', 'Q5VUA4')"
"('P61964', 'P17987')"
"('Q8TEY7', 'P58304')"
"('P22681', 'P62993')"
"('P30046', 'P30480')"
"('Q9UET6', 'Q9NZI8')"
"('Q96SQ5', 'Q9NZV7')"
"('Q9UJC3', 'Q9UBB9')"
"('Q9BUZ4', 'O75052')"
"('Q3LXA3', 'Q9C0B1')"
"('Q14849', 'P45880')"
"('Q92667', 'P04745')"
"('Q86VQ0', 'Q9BT25')"
"('O00567', 'Q9Y221')"
"('P40227', 'P04843')"
"('Q9GZT3', 'Q14197')"
"('P61218', 'Q8WVC0')"
"('O60341', 'P49116')"
"('Q86YP4', 'Q13469')"
"('Q9GZQ8', 'P34931')"
"('Q96HZ7', 'A1E959')"
"('Q9ULM3', 'P61289')"
"('Q9NU19', 'Q9H2G9')"
"('P49006', 'Q15717')"
"('Q15750', 'P47929')"
"('Q15796', 'Q9UQ72')"
"('Q96GS6', 'O60760')"
"('P13861', 'Q9Y2D5')"
"('P25398', 'Q504Q3')"
"('P51668', 'Q9P2J3')"
"('Q9BRR3', 'P40855')"
"('Q09028', 'P35240')"
"('P49736', 'P27348')"
"('Q8N157', 'Q8WXW3')"
"('Q96K58', 'Q6P1M3')"
"('Q9Y5Y2', 'Q93008')"
"('Q14999', 'P20674')"
"('O75489', 'P49914')"
"('Q8TAT6', 'O00716')"
"('Q14653', 'O14980')"
"('Q9NRQ2', 'P62987')"
"('Q93009', 'P21145')"
"('Q96LJ8', 'Q96LA8')"
"('Q9Y239', 'Q9BX69')"
"('Q96QC0', 'P62140')"
"('Q71UM5', 'O00716')"
"('P26368', 'P23284')"
"('Q13469', 'P23771')"
"('P04792', 'Q9UK76')"
"('P60709', 'P35637')"
"('Q15818', 'P18075')"
"('P20618', 'P46527')"
"('P15927', 'Q9C0J8')"
"('Q96L73', 'P46100')"
"('Q96GX1', 'P39656')"
"('Q96K17', 'P53990')"
"('P58304', 'P68400')"
"('Q9H2U1', 'Q9NVD7')"
"('Q7Z569', 'Q5VVM6')"
"('Q6RW13', 'P68363')"
"('Q86VP6', 'P61254')"
"('P23297', 'Q9HB71')"
"('Q04917', 'O14562')"
"('Q9NVR2', 'P60896')"
"('P49810', 'Q99828')"
"('P12931', 'P78536')"
"('Q9UPN9', 'P05412')"
"('P17948', 'Q92529')"
"('P51116', 'Q16666')"
"('Q9H4B7', 'Q13573')"
"('Q9UJX2', 'Q96PZ2')"
"('Q9Y3I1', 'Q99436')"
"('P23258', 'P11021')"
"('P29353', 'O00165')"
"('Q9BTE3', 'Q9HCE1')"
"('P04637', 'Q9H0W5')"
"('O75787', 'Q8N357')"
"('Q86VQ0', 'Q96EY7')"
"('O60244', 'P52630')"
"('Q7Z3B3', 'P49711')"
"('Q9Y5X1', 'Q9P0L1')"
"('Q13136', 'P38936')"
"('Q99471', 'Q7Z3K3')"
"('Q71UM5', 'P23396')"
"('P01106', 'Q9UNF1')"
"('Q9HD67', 'Q86VP6')"
"('Q9Y4L1', 'P30450')"
"('Q9NY61', 'Q8N9T8')"
"('P10275', 'P24864')"
"('P11047', 'Q496J9')"
"('P50552', 'P06756')"
"('Q15554', 'Q9P2D1')"
"('P50222', 'Q00013')"
"('Q27J81', 'Q9NQW6')"
"('Q96SB4', 'Q9BU76')"
"('Q96S16', 'Q9NRD1')"
"('Q13084', 'Q9NP92')"
"('P04843', 'Q13438')"
"('Q93034', 'P34897')"
"('Q9UBS0', 'Q15365')"
"('Q07812', 'O75460')"
"('Q15274', 'Q9UMX1')"
"('O95456', 'P27695')"
"('Q9HAV7', 'P59998')"
"('Q8NI35', 'Q92574')"
"('P31749', 'Q13233')"
"('Q00987', 'P52272')"
"('Q9Y680', 'P18859')"
"('O43707', 'Q15599')"
"('Q08J23', 'Q6NUN9')"
"('Q9UBI6', 'Q6AHZ1')"
"('Q96ST2', 'Q3V6T2')"
"('Q9UPN4', 'Q9NUX5')"
"('Q96KK5', 'P62807')"
"('P52306', 'Q9UHX1')"
"('P07948', 'O60674')"
"('Q8N9I9', 'Q9H6Q4')"
"('Q9BY76', 'O60477')"
"('O60306', 'Q9BQ65')"
"('P04035', 'P54709')"
"('Q13285', 'P40937')"
"('Q03111', 'Q96EB6')"
"('Q99598', 'O43929')"
"('Q9UKX3', 'P27348')"
"('Q68CZ1', 'Q9UPN4')"
"('Q9BQ70', 'P08238')"
"('P40225', 'P42701')"
"('P17252', 'P08567')"
"('Q15637', 'Q9BRX9')"
"('Q9BXM7', 'O00429')"
"('Q96ES7', 'Q6WCQ1')"
"('Q9NVR2', 'Q8N201')"
"('O14980', 'Q9P2Y5')"
"('Q8TDR0', 'Q9P2H3')"
"('Q04864', 'P06340')"
"('P17931', 'Q7Z7N9')"
"('Q9UI26', 'Q00613')"
"('P52732', 'Q9UQ16')"
"('A6NDS4', 'O95429')"
"('Q1KMD3', 'P21912')"
"('P41252', 'Q9Y5V3')"
"('P0C1Z6', 'P08727')"
"('Q96E39', 'Q12905')"
"('Q9Y5L0', 'Q96IQ7')"
"('P62136', 'P04629')"
"('P63211', 'O15264')"
"('P42858', 'P02792')"
"('Q9Y3C6', 'Q5T749')"
"('O60663', 'Q9BWG4')"
"('P21145', 'O15496')"
"('Q8TD10', 'Q9H0I2')"
"('P60410', 'A4D1S5')"
"('Q96SD1', 'Q9UHI6')"
"('P41235', 'Q13227')"
"('P06733', 'P16104')"
"('Q9UL03', 'P35226')"
"('O95602', 'Q9HCN4')"
"('Q96ED9', 'P06753')"
"('Q9NWU2', 'Q15287')"
"('Q96GE6', 'Q14028')"
"('P60953', 'P16949')"
"('P35268', 'Q96D03')"
"('Q8TAQ5', 'Q00987')"
"('Q99878', 'Q99879')"
"('Q96EZ8', 'Q9H981')"
"('P23508', 'P62873')"
"('P62195', 'Q8WW22')"
"('P08047', 'Q9Y6Q9')"
"('P08621', 'P62306')"
"('P78417', 'P04629')"
"('O75626', 'P10809')"
"('Q9GZP9', 'Q96BY9')"
"('P62333', 'P52655')"
"('Q49AN0', 'P62714')"
"('Q99848', 'Q8TDN6')"
"('P62993', 'O14638')"
"('P30044', 'P00441')"
"('Q96NY9', 'Q9Y4B6')"
"('P30307', 'Q9P2M7')"
"('P14406', 'Q96KN2')"
"('Q9UH77', 'Q14145')"
"('Q96ST3', 'Q9UK53')"
"('P07947', 'Q15691')"
"('P62805', 'P38919')"
"('Q9UKV0', 'P98161')"
"('Q9BVK8', 'O95870')"
"('Q96CW1', 'O00571')"
"('Q8TD26', 'Q9H0E2')"
"('Q68CJ9', 'Q969F0')"
"('O75147', 'P61247')"
"('P08218', 'Q99700')"
"('Q9UMW8', 'P58340')"
"('Q86SE9', 'O00257')"
"('Q9NPL8', 'P28288')"
"('Q86X19', 'Q9UKE5')"
"('O00429', 'Q9Y512')"
"('Q15717', 'O14646')"
"('Q9Y6H5', 'O43809')"
"('P62487', 'P13984')"
"('Q96PU4', 'P25490')"
"('P51532', 'P54278')"
"('O75344', 'Q6VAB6')"
"('P13010', 'P22681')"
"('Q7Z417', 'Q06787')"
"('Q9Y3C5', 'O00232')"
"('Q96A37', 'Q9Y4K3')"
"('P40692', 'Q15008')"
"('Q9HBV2', 'Q8IYU8')"
"('Q8IZP0', 'P22061')"
"('Q9Y5E8', 'P30443')"
"('O75367', 'Q99877')"
"('Q9HBI1', 'P49023')"
"('Q96B86', 'Q5PRF9')"
"('P04629', 'P26232')"
"('Q05513', 'O95999')"
"('Q6AZZ1', 'Q92993')"
"('P60709', 'P35580')"
"('P07437', 'P13473')"
"('P10243', 'Q9UBE8')"
"('Q8IXZ2', 'P05067')"
"('Q16626', 'Q9BXS5')"
"('Q562E7', 'P60510')"
"('P00749', 'Q6NUP7')"
"('Q86YB8', 'Q15084')"
"('P63244', 'P42677')"
"('Q04917', 'Q86X29')"
"('P08865', 'P39023')"
"('Q9H0I2', 'P01100')"
"('O00505', 'O43847')"
"('P16144', 'P51636')"
"('Q9UN86', 'P31947')"
"('Q8N5A5', 'Q96R06')"
"('Q5SSJ5', 'Q02539')"
"('P49411', 'P21860')"
"('O14773', 'P42858')"
"('P26583', 'P15918')"
"('O75330', 'P48729')"
"('Q9UHD9', 'O60844')"
"('O43752', 'O95249')"
"('Q96ER9', 'Q6ZVX7')"
"('Q9UGN5', 'Q9BV97')"
"('P55081', 'Q99728')"
"('Q5TZA2', 'P01106')"
"('Q96NT0', 'Q86X19')"
"('Q9HCE1', 'Q9BWM7')"
"('Q86VP6', 'Q9UQL6')"
"('O75381', 'P36507')"
"('P0DPB3', 'Q14318')"
"('Q9UGL1', 'Q9BXQ6')"
"('P25791', 'P0C1Z6')"
"('P04637', 'P16070')"
"('O96008', 'Q9Y277')"
"('O75864', 'Q15415')"
"('Q6EMK4', 'Q8IUC1')"
"('Q15811', 'Q15477')"
"('Q15691', 'Q8IVL1')"
