negatives
"('O00308', 'Q8NCT1')"
"('Q99496', 'Q92878')"
"('Q8N2E6', 'Q96C28')"
"('P43358', 'Q9NS91')"
"('Q9Y240', 'P01106')"
"('O76076', 'Q9GZP4')"
"('Q68D10', 'Q71F23')"
"('P54259', 'Q96QZ7')"
"('P62993', 'O60701')"
"('Q9H237', 'Q93097')"
"('Q92844', 'Q9NWT6')"
"('Q0D2H9', 'Q08499')"
"('Q13363', 'O60341')"
"('P35610', 'Q9Y5Z9')"
"('P23508', 'P99999')"
"('P46782', 'P61254')"
"('Q13233', 'P33981')"
"('P05067', 'Q8IYD8')"
"('Q08431', 'P01106')"
"('P35226', 'Q96T58')"
"('Q9NZ81', 'P60370')"
"('P34932', 'P26651')"
"('P60709', 'P21333')"
"('Q7Z434', 'P53350')"
"('Q9H444', 'Q6P1N0')"
"('Q9GZQ3', 'Q8N668')"
"('P06213', 'Q99490')"
"('Q58FG1', 'P35268')"
"('P05412', 'P17544')"
"('P52292', 'P05783')"
"('Q05086', 'P61158')"
"('P35573', 'P41250')"
"('Q16637', 'Q6P0Q8')"
"('Q99873', 'Q15596')"
"('P09972', 'P37802')"
"('P02545', 'P35658')"
"('Q9NP77', 'Q53H82')"
"('O75448', 'Q15528')"
"('P61088', 'Q9P0P0')"
"('P34897', 'Q14CZ7')"
"('Q6ZMK1', 'P81408')"
"('P18848', 'P01100')"
"('A5PLL7', 'P55809')"
"('P23396', 'Q9UPP1')"
"('P04637', 'Q9P2P5')"
"('Q13627', 'P37840')"
"('Q9H0M0', 'P11686')"
"('P30504', 'Q8N423')"
"('Q7Z5K2', 'Q96FF9')"
"('P60520', 'Q13148')"
"('Q9BVP2', 'P56537')"
"('P15313', 'Q9Y3E7')"
"('Q8IZL9', 'Q9Y6A4')"
"('Q92614', 'Q96HY6')"
"('Q16621', 'Q96BA8')"
"('Q96RR1', 'Q5TAQ9')"
"('P27348', 'Q9UKX2')"
"('P50222', 'P56537')"
"('Q9Y6Q9', 'Q99873')"
"('Q96Q07', 'Q92905')"
"('Q8N205', 'P15622')"
"('P13378', 'P09429')"
"('Q2M1P5', 'Q9Y6R4')"
"('Q8IYX3', 'Q8N6Y0')"
"('P51692', 'O00330')"
"('Q96E35', 'Q8TC92')"
"('O00401', 'O15145')"
"('Q9H4B6', 'P26927')"
"('Q9Y3I0', 'Q9C0I1')"
"('P21580', 'Q8IVM0')"
"('Q6PHR2', 'Q9UBU9')"
"('Q13636', 'Q96GX1')"
"('P25445', 'Q96IZ0')"
"('P07476', 'Q9NZC7')"
"('P46781', 'P62249')"
"('P49327', 'P61326')"
"('P62851', 'P50914')"
"('Q9UN37', 'Q9ULD6')"
"('O75914', 'Q9H1R3')"
"('P07437', 'P68371')"
"('P62191', 'Q92731')"
"('P12004', 'Q07617')"
"('P22626', 'P11387')"
"('Q9UER7', 'Q03518')"
"('O75436', 'Q16630')"
"('Q9Y4K3', 'Q15388')"
"('P42858', 'P30531')"
"('O14979', 'O14879')"
"('P78318', 'O95155')"
"('Q9UFC0', 'P04629')"
"('Q8WW35', 'P43034')"
"('Q15849', 'Q96IW7')"
"('O43186', 'Q96LT7')"
"('Q9BZI7', 'O75691')"
"('Q9NR30', 'Q9NRD1')"
"('Q14137', 'Q6RFH5')"
"('P03915', 'O43677')"
"('P62993', 'O95886')"
"('P30101', 'P12109')"
"('Q9BV57', 'Q92882')"
"('P15927', 'P51572')"
"('Q13635', 'Q99835')"
"('Q14765', 'P51692')"
"('Q05397', 'Q9H1K0')"
"('Q13107', 'P00966')"
"('Q99615', 'O95644')"
"('Q5QP82', 'Q96FV2')"
"('O14980', 'P15036')"
"('Q99594', 'Q01094')"
"('Q8IYB1', 'Q96QF0')"
"('P37231', 'Q92993')"
"('O95166', 'Q3ZCQ8')"
"('Q08379', 'P14678')"
"('P18077', 'Q92901')"
"('Q9BZV1', 'Q9BZE9')"
"('Q9H9Y6', 'O60264')"
"('Q13526', 'P37198')"
"('P52952', 'Q8TCJ0')"
"('Q08AM6', 'Q29983')"
"('P63146', 'Q15942')"
"('Q14204', 'P42858')"
"('Q13595', 'P38919')"
"('Q86TS9', 'P09001')"
"('Q6ICG6', 'P62258')"
"('Q9H2G2', 'Q9UNZ2')"
"('P23443', 'Q9BUZ4')"
"('Q9UHB6', 'P0DP24')"
"('Q00403', 'P20226')"
"('Q9BYB0', 'Q14155')"
"('P40933', 'P16871')"
"('P14625', 'Q6AZZ1')"
"('Q15843', 'P46777')"
"('Q96MX6', 'Q9UHV9')"
"('P49736', 'Q86YQ8')"
"('Q92830', 'P24941')"
"('Q8N9N2', 'O95684')"
"('Q13126', 'P62837')"
"('O15060', 'O95995')"
"('O75530', 'Q9UIF9')"
"('P08758', 'P09651')"
"('Q96AH8', 'Q8NCM8')"
"('Q9UBI6', 'Q504Q3')"
"('Q15233', 'P09622')"
"('Q9BY50', 'Q15005')"
"('Q4G0F5', 'O00267')"
"('Q9NUX5', 'O43707')"
"('O75530', 'P61978')"
"('P26842', 'O15304')"
"('Q9UC06', 'Q9NPA5')"
"('Q04637', 'Q96PZ0')"
"('Q70EK8', 'Q92466')"
"('O00329', 'Q9UKM9')"
"('Q6NZI2', 'Q96P16')"
"('Q14764', 'Q9H668')"
"('P47712', 'Q9Y230')"
"('Q15717', 'Q8N9N8')"
"('Q13625', 'P34932')"
"('P21802', 'Q9UJM3')"
"('Q86Y82', 'Q5T5C0')"
"('P52294', 'P15407')"
"('P21333', 'P00973')"
"('Q53LP3', 'P61962')"
"('Q93088', 'Q9H6U8')"
"('Q96FW1', 'P38606')"
"('P13498', 'A8MVU1')"
"('O14980', 'Q04864')"
"('Q9NSC2', 'Q96KQ4')"
"('Q15835', 'O76070')"
"('P29558', 'O60861')"
"('Q13895', 'P49366')"
"('P48643', 'P31943')"
"('P43487', 'P05412')"
"('Q5QNW6', 'Q9BTM1')"
"('O43918', 'P11940')"
"('P02768', 'Q96HM7')"
"('Q96RT8', 'Q6NZ67')"
"('O14686', 'O00716')"
"('Q96EN9', 'Q9Y6X2')"
"('P53367', 'P68402')"
"('O75400', 'Q96DV4')"
"('P07451', 'P12931')"
"('P04637', 'Q9BVI0')"
"('P08912', 'Q13596')"
"('Q8IYF3', 'Q5TAP6')"
"('Q9BV35', 'Q92624')"
"('Q9NP97', 'O43521')"
"('P22234', 'Q9NRC8')"
"('P26641', 'Q96RU7')"
"('P63279', 'P52948')"
"('P31749', 'P04075')"
"('O75821', 'P37840')"
"('O00629', 'P31689')"
"('P84022', 'O60318')"
"('P51687', 'Q8TAP6')"
"('Q04637', 'Q7Z304')"
"('Q15717', 'Q5JSH3')"
"('P55072', 'P27361')"
"('O00358', 'Q14807')"
"('P04637', 'P39023')"
"('O95758', 'P46013')"
"('O95343', 'P48431')"
"('Q99623', 'Q6IQ23')"
"('Q04637', 'Q8N137')"
"('Q9BWW4', 'Q9NU02')"
"('Q9ULG1', 'Q9H981')"
"('P11387', 'Q92542')"
"('P50607', 'P27361')"
"('Q9NWX5', 'Q9BW92')"
"('Q99879', 'P33992')"
"('O14980', 'P51617')"
"('Q14241', 'Q96IK5')"
"('Q9H869', 'P40337')"
"('Q14008', 'Q71U36')"
"('Q14749', 'P36575')"
"('Q7Z3Y8', 'Q9UJT2')"
"('Q9Y239', 'Q6UX06')"
"('Q15717', 'O43734')"
"('P52292', 'Q96EB6')"
"('P28074', 'Q8NA19')"
"('P78371', 'Q99459')"
"('P31946', 'Q8N122')"
"('P11021', 'P04792')"
"('P48730', 'Q9Y5T5')"
"('P35626', 'Q9HCE7')"
"('A6NEM1', 'Q05516')"
"('P30626', 'Q92736')"
"('P35637', 'Q9NZC7')"
"('P52272', 'P62834')"
