negatives
"('Q96EY1', 'Q06609')"
"('P61457', 'P51116')"
"('P23458', 'O00329')"
"('Q86UT5', 'P25092')"
"('P35638', 'Q9NR55')"
"('P62993', 'P22061')"
"('P18621', 'P47914')"
"('Q9Y6N8', 'Q9ULB4')"
"('Q13200', 'Q13573')"
"('P83731', 'P40429')"
"('P08107', 'O75807')"
"('Q13242', 'Q15366')"
"('P18146', 'Q9Y2D8')"
"('P00533', 'P61978')"
"('P18146', 'P59990')"
"('O43303', 'Q8IW35')"
"('Q15796', 'Q9HCM4')"
"('O15527', 'P05060')"
"('P52434', 'O60739')"
"('Q8IYW5', 'O95714')"
"('O15392', 'Q9NR28')"
"('Q14997', 'P01106')"
"('P51817', 'P53778')"
"('P51813', 'Q13480')"
"('Q9UDY2', 'P35221')"
"('Q13315', 'P62873')"
"('Q15424', 'Q16543')"
"('P39748', 'Q14191')"
"('Q9UKS6', 'P11217')"
"('P38484', 'P08758')"
"('P25963', 'O60658')"
"('P0CAP2', 'Q9NZD4')"
"('Q96PU8', 'P26599')"
"('O43586', 'P46778')"
"('Q8IY92', 'Q9Y4B4')"
"('Q00577', 'P19525')"
"('P17544', 'Q16514')"
"('Q9H1J5', 'O75197')"
"('P42345', 'O75143')"
"('P09471', 'P48051')"
"('Q96T76', 'Q9H173')"
"('Q07912', 'O43426')"
"('Q96HF1', 'Q9ULW2')"
"('Q8IYH5', 'P51610')"
"('Q9NT62', 'O94817')"
"('P50502', 'P02766')"
"('P11387', 'P14625')"
"('Q9UHD2', 'P42226')"
"('P01834', 'P02787')"
"('P17252', 'Q14289')"
"('Q96CV9', 'Q9Y4K3')"
"('P25024', 'O60674')"
"('Q9Y2X0', 'Q9UHV7')"
"('P16220', 'Q7RTR2')"
"('P58753', 'Q8IWV8')"
"('Q14802', 'O95989')"
"('P01241', 'Q8WUH6')"
"('P19438', 'Q13077')"
"('P18146', 'Q13206')"
"('P19367', 'P18146')"
"('P35268', 'P61513')"
"('P04406', 'Q9Y490')"
"('Q9UER7', 'Q92698')"
"('P61247', 'O60739')"
"('P61923', 'O60739')"
"('P63010', 'P09497')"
"('P58753', 'P19525')"
"('Q8WYP5', 'P37198')"
"('O15379', 'O60814')"
"('O60504', 'P61978')"
"('O76064', 'Q9BXI2')"
"('Q8N1F7', 'Q9HC98')"
"('P31947', 'Q13470')"
"('Q8IYB3', 'Q01081')"
"('Q92914', 'Q02763')"
"('Q9NRI5', 'Q9H0D6')"
"('P35080', 'Q9C0J8')"
"('Q8N392', 'Q07889')"
"('P61978', 'Q9H0D6')"
"('P35442', 'P18084')"
"('P40337', 'P22061')"
"('Q9BRX2', 'P28288')"
"('P04150', 'Q02790')"
"('Q14694', 'Q99459')"
"('Q14596', 'Q9H492')"
"('O75015', 'Q8NHJ6')"
"('P67775', 'Q06432')"
"('P62993', 'P13671')"
"('Q15102', 'Q9GZR7')"
"('Q9UKG9', 'P07437')"
"('P51817', 'Q92934')"
"('P53985', 'Q13530')"
"('P46782', 'Q9Y6K9')"
"('P25940', 'Q13797')"
"('Q10586', 'P62136')"
"('P60953', 'O14613')"
"('P68036', 'Q6ZMZ0')"
"('Q9H204', 'P62993')"
"('Q06124', 'P07355')"
"('O76031', 'O76071')"
"('P24941', 'P24864')"
"('P10721', 'Q9ULV8')"
"('407026', 'P08123')"
"('Q00978', 'P32455')"
"('P21359', 'P10301')"
"('P07339', 'O00585')"
"('P62873', 'P35913')"
"('P08246', 'Q99684')"
"('Q8WYH8', 'P25205')"
"('Q15788', 'O14490')"
"('P22612', 'P52565')"
"('Q8IZP0', 'P02549')"
"('Q9H063', 'P61956')"
"('Q9ULK6', 'Q9Y2X8')"
"('P08047', 'Q13105')"
"('Q9NR28', 'Q13490')"
"('Q96RG2', 'P13807')"
"('Q16401', 'P17980')"
"('Q8NFH3', 'P30480')"
"('P67870', 'P62805')"
"('Q13535', 'Q8N4S0')"
"('Q13976', 'Q9UN42')"
"('P49841', 'Q8TEY5')"
"('P61073', 'P06748')"
"('O43148', 'O60942')"
"('P27986', 'P49418')"
"('P84077', 'P01106')"
"('P60520', 'P47869')"
"('Q02543', 'P39023')"
"('Q9Y5K6', 'Q99816')"
"('P01116', 'Q3MIN7')"
"('P09429', 'P61978')"
"('Q92765', 'O60353')"
"('O14757', 'Q86UE8')"
"('Q8IZI9', 'Q9UHF4')"
"('Q9P2R6', 'Q8IYM9')"
"('Q8IY92', 'Q66LE6')"
"('Q12834', 'Q14525')"
"('Q9Y3A3', 'Q15834')"
"('P19338', 'P61586')"
"('Q9H6J7', 'P62917')"
"('P01236', 'P01589')"
"('P62277', 'P62269')"
"('P78369', 'P56750')"
"('Q02750', 'P32121')"
"('P08107', 'O95817')"
"('P42229', 'Q99490')"
"('O00212', 'O75914')"
"('P25789', 'P28066')"
"('P04637', 'O14576')"
"('P46459', 'O95721')"
"('Q99459', 'P31689')"
"('Q14103', 'P31483')"
"('P49716', 'Q15744')"
"('P63261', 'O95819')"
"('Q9NRR5', 'Q6GPH6')"
"('O60610', 'P60673')"
"('Q9UJV3', 'O15344')"
"('P62330', 'P78347')"
"('P22626', 'Q13247')"
"('P05013', 'P10912')"
"('O14791', 'P02647')"
"('Q9UBN6', 'Q9HAV4')"
"('O95467', 'Q16658')"
"('Q15648', 'Q9ULK4')"
"('Q8IU54', 'P40238')"
"('P26599', 'P49023')"
"('Q15014', 'Q01850')"
"('Q14103', 'P55795')"
"('P26022', 'P09038')"
"('O43674', 'Q9UI09')"
"('P39019', 'P62241')"
"('Q9Y3A3', 'O60383')"
"('P54819', 'Q9GZN1')"
"('P63010', 'Q9Y6Q5')"
"('Q13573', 'P24468')"
"('Q96QK1', 'P49286')"
"('P19387', 'Q9BTT4')"
"('Q8NI35', 'O95049')"
"('P27986', 'P42345')"
"('P51693', 'Q99547')"
"('Q6ZYL4', 'P19447')"
"('P41091', 'P01243')"
"('Q9NS87', 'Q12873')"
"('Q9Y572', 'Q01082')"
"('O94915', 'P31946')"
"('P06493', 'Q17RY0')"
"('P01375', 'Q14644')"
"('Q86UW7', 'Q96B02')"
"('P21860', 'Q9UKW4')"
"('P11940', 'Q01081')"
"('P78543', 'A5YKK6')"
"('P18146', 'O00165')"
"('Q07812', 'Q15388')"
"('P63261', 'Q15628')"
"('Q15717', 'P01106')"
"('Q13349', 'Q05397')"
"('P43116', 'P63092')"
"('P29353', 'P14784')"
"('Q9UH73', 'Q2M1K9')"
"('P19525', 'Q9BVP2')"
"('P01106', 'O00116')"
"('Q15517', 'Q9NRR5')"
"('P06493', 'Q9GZM8')"
"('P33993', 'P01106')"
"('P20339', 'P50395')"
"('Q96BK5', 'Q9ULE0')"
"('Q9Y692', 'Q969Q1')"
"('P27986', 'P20936')"
"('P01569', 'P32927')"
"('Q7Z5K2', 'O60216')"
"('P41440', 'P17676')"
"('P53420', 'P98095')"
"('P13942', 'P16144')"
"('P35346', 'Q9HD26')"
"('P07737', 'P55196')"
"('P19438', 'O60674')"
"('P50552', 'Q9UKX5')"
"('Q9HAU4', 'P37173')"
"('Q99459', 'O75821')"
"('Q9H0H0', 'P16220')"
"('Q14103', 'Q08170')"
"('Q96AP7', 'O00501')"
"('P41252', 'Q9Y5V3')"
"('O00571', 'Q00005')"
"('Q15628', 'P16615')"
"('Q8IWN7', 'P06241')"
"('Q9UBQ7', 'O15116')"
"('P62807', 'O94817')"
"('P61353', 'P83881')"
"('P11388', 'Q13526')"
"('P07910', 'P14866')"
"('Q9NVX7', 'Q13368')"
"('Q6RW13', 'Q5JY77')"
"('P11274', 'Q9UDY2')"
"('Q9UHF4', 'P29597')"
"('P32121', 'Q8NH87')"
"('P15172', 'Q92793')"
"('P50402', 'Q9UKV8')"
"('P40763', 'Q07817')"
"('P61964', 'P68431')"
"('Q99728', 'Q06609')"
"('Q13573', 'P78344')"
"('Q13148', 'Q9UKY1')"
"('Q8IYB3', 'Q13242')"
"('Q96QF0', 'Q8TBN0')"
"('O76096', 'P07711')"
"('Q6W2J9', 'Q06587')"
"('Q8NGL9', 'P38405')"
"('Q9UKV5', 'O75674')"
"('P10644', 'P35250')"
"('P16220', 'Q9HCK8')"
"('P42261', 'Q13224')"
"('Q9UK32', 'Q8N205')"
"('O00429', 'P49841')"
"('Q969F2', 'P0CG47')"
"('P23396', 'Q96HC4')"
"('O60663', 'P61421')"
"('P41091', 'P43146')"
"('O95782', 'Q06124')"
"('P36406', 'Q9H8T0')"
"('P62993', 'P08603')"
"('Q15287', 'A0JLT2')"
"('26765', 'P21675')"
"('Q9P2S5', 'Q6NXE6')"
"('P53350', 'P30307')"
"('Q9HC77', 'P42229')"
"('Q96QB1', 'Q7L0Q8')"
"('Q9H4A3', 'Q00610')"
"('P11171', 'P27797')"
"('Q14566', 'Q9UJX2')"
"('P27635', 'P84098')"
"('Q9NYY1', 'Q01344')"
"('Q16619', 'P42701')"
"('Q04864', 'P29460')"
"('Q96HA8', 'Q9BPX1')"
"('O95251', 'P25205')"
"('Q92633', 'P84996')"
"('Q99952', 'P18146')"
"('Q9H1J7', 'O75581')"
"('Q9Y333', 'Q9BUQ8')"
"('O43143', 'Q9UL18')"
"('Q13363', 'P25054')"
"('Q8IZL8', 'Q9H4L4')"
"('P53567', 'P49715')"
"('Q13485', 'Q14956')"
"('P61019', 'P30480')"
"('Q05086', 'Q9Y6B2')"
"('P25398', 'P62244')"
"('P62837', 'Q13489')"
"('Q8IY92', 'P28070')"
"('Q05952', 'P18146')"
"('P60604', 'P31146')"
"('P49711', 'P13569')"
"('P59768', 'P45984')"
"('Q13315', 'Q99504')"
"('P15391', 'P06241')"
"('Q969Q1', 'O15273')"
"('Q92900', 'P54198')"
"('Q9UKG1', 'Q12933')"
"('P49913', 'P01100')"
"('P60228', 'Q99814')"
"('Q14457', 'Q07820')"
"('P63000', 'Q9BYG5')"
"('Q71U36', 'Q13233')"
"('P04899', 'Q9HAV0')"
"('P08648', 'P63261')"
"('P49368', 'O60232')"
"('O75508', 'P56748')"
"('P05129', 'P26012')"
"('P47712', 'P63261')"
"('P25445', 'Q14790')"
"('Q13535', 'Q6KC79')"
"('Q9NQC3', 'Q8WWV3')"
"('P23276', 'P51811')"
"('P62263', 'P08865')"
"('Q9H9C1', 'Q9H267')"
"('P22681', 'P14784')"
"('Q13077', 'P21580')"
"('Q9H9E3', 'Q96MW5')"
"('Q9H4G4', 'P54727')"
"('Q7Z6G3', 'Q7Z3B3')"
"('P46781', 'Q92597')"
"('P62714', 'Q9Y698')"
"('P08631', 'P32927')"
"('O60231', 'Q13485')"
"('Q7L2H7', 'P60709')"
"('P12830', 'P04264')"
"('O96000', 'O43676')"
"('Q15365', 'Q14164')"
"('Q15653', 'P03973')"
"('P33176', 'P42261')"
"('P28715', 'Q13888')"
"('Q92830', 'P10828')"
"('Q9NPH5', 'O00206')"
"('Q9BQD3', 'Q01844')"
"('P60484', 'Q01201')"
"('P01023', 'P61224')"
"('P68032', 'P07951')"
"('P48431', 'Q9H9S0')"
"('Q96BK5', 'P33316')"
"('P06213', 'Q15147')"
"('P01127', 'P35916')"
"('B1A4H9', 'Q99650')"
"('Q04837', 'P63104')"
"('P46109', 'P45984')"
"('P20827', 'P11362')"
"('406955', 'P35625')"
"('P43365', 'P51692')"
"('P62244', 'Q9UKV8')"
"('Q9NX70', 'Q96RN5')"
"('O14904', 'O75084')"
"('P06493', 'Q96KB5')"
"('O43295', 'Q07889')"
"('Q13255', 'Q99490')"
"('P17612', 'P35222')"
"('Q96K83', 'O15131')"
"('Q9BVI4', 'Q15038')"
"('Q92542', 'Q04721')"
"('Q9UPY6', 'O15144')"
"('Q9BYD2', 'Q14197')"
"('P49716', 'Q9H819')"
"('P26441', 'Q13651')"
"('Q9Y561', 'O95295')"
"('Q9UHV7', 'A0JLT2')"
"('Q16254', 'P03372')"
"('P62330', 'Q14204')"
"('Q96DC9', 'Q13114')"
"('P20333', 'Q8IUF1')"
"('Q8NHW5', 'Q99558')"
"('Q14344', 'Q9UP65')"
"('P51668', 'P26442')"
"('Q93070', 'P04156')"
"('P13612', 'Q13797')"
"('P04628', 'Q9NPG1')"
"('Q8N3U4', 'O60216')"
"('Q08211', 'Q14103')"
"('Q6UXN9', 'Q9P2I0')"
"('Q93062', 'O43638')"
"('Q9BY84', 'P28482')"
"('Q8TDN6', 'Q9NX58')"
"('Q99471', 'P01243')"
"('P06493', 'P14635')"
"('P04040', 'O60684')"
"('P78318', 'P67775')"
"('O14964', 'P25054')"
"('P31942', 'P16104')"
"('Q12851', 'Q16560')"
"('P36873', 'Q8WXS5')"
"('P62877', 'Q93034')"
"('P36897', 'Q15796')"
"('P36956', 'O00763')"
"('P56693', 'P11161')"
"('P02511', 'O75390')"
"('Q5UE93', 'Q7LC44')"
"('O75578', 'P18084')"
"('P08575', 'P04626')"
"('Q9BV47', 'P19022')"
"('Q16659', 'Q8TDC0')"
"('P48634', 'P25788')"
"('O75197', 'O15198')"
"('P43360', 'Q16082')"
"('P01106', 'O75489')"
"('Q13573', 'Q86U42')"
"('O75365', 'Q96T76')"
"('Q9UBD3', 'P46092')"
"('P63151', 'Q96Q15')"
"('Q9UHD0', 'Q6UXL0')"
"('P53990', 'Q7LBR1')"
"('P15882', 'P61247')"
"('Q96AH8', 'Q71U36')"
"('P0CG48', 'Q96FW1')"
"('O95169', 'Q9NR50')"
"('Q9NSD9', 'P19525')"
"('Q13489', 'O15379')"
"('P02776', 'P51685')"
"('O00716', 'P06400')"
"('Q13263', 'Q00005')"
"('O00716', 'P23921')"
"('Q96LC7', 'Q06124')"
"('P20226', 'P01106')"
"('P19525', 'O95793')"
"('Q9NRR5', 'P13521')"
"('O95201', 'Q13137')"
"('P21333', 'Q15399')"
"('Q15428', 'P62306')"
"('P02545', 'A0JLT2')"
"('P27986', 'Q92831')"
"('P12931', 'Q9UKL4')"
"('Q9H9Y6', 'O15160')"
"('P62633', 'O95343')"
"('P06729', 'P13987')"
"('Q05516', 'P50570')"
"('P04637', 'Q15648')"
"('Q8TE73', 'Q14240')"
"('Q8NI08', 'P35869')"
"('Q12840', 'Q9Y4G8')"
"('P63104', 'P40818')"
"('Q8N6T7', 'Q99708')"
"('P08238', 'P35222')"
"('P25788', 'Q9H0D6')"
"('O00329', 'P54709')"
"('Q5RKV6', 'P84103')"
"('P35638', 'P61247')"
"('P50750', 'P49336')"
"('P49407', 'P32298')"
"('Q8IYH5', 'Q9ULM3')"
"('Q9HBW0', 'Q5JWF2')"
"('P28221', 'Q9UBI6')"
"('Q9Y2X7', 'Q71F23')"
"('Q9Y6J9', 'Q92830')"
"('Q96D15', 'Q8WUY3')"
"('Q96FI4', 'P27694')"
"('Q8WZA2', 'Q9UQ26')"
"('Q15796', 'Q8TEW0')"
"('P61073', 'P11142')"
"('Q14318', 'Q08209')"
"('P03915', 'O00217')"
"('P01106', 'Q9UNY4')"
"('P67809', 'Q9C0C9')"
"('Q15428', 'P62136')"
"('Q9Y5L4', 'Q99873')"
"('Q9Y5K5', 'P51665')"
"('Q9Y4K3', 'Q13748')"
"('P51636', 'P05556')"
"('Q12923', 'P18146')"
"('Q9UKS6', 'P62750')"
"('O15131', 'P36957')"
"('P51617', 'Q6IA17')"
"('Q13133', 'P19793')"
"('P19525', 'P06748')"
"('Q8NH42', 'P38405')"
"('Q9NYG2', 'Q15797')"
"('Q99436', 'Q92979')"
"('P11229', 'P15311')"
"('P09651', 'P52756')"
"('P34932', 'P08235')"
"('O95257', 'P29622')"
"('P07900', 'Q99759')"
"('P11021', 'Q76MJ5')"
"('Q96J01', 'P04183')"
"('P13987', 'Q2TAY7')"
"('Q15723', 'Q01196')"
"('P14625', 'P12956')"
"('Q14031', 'P05067')"
"('P09471', 'P32302')"
"('P08047', 'P49716')"
"('Q9P0L1', 'P57086')"
"('Q9H2G2', 'O14513')"
"('O15085', 'P62993')"
"('P63104', 'P02545')"
"('Q70IA6', 'Q01844')"
"('O00422', 'P24385')"
"('Q96KM6', 'Q92997')"
"('Q15005', 'Q96QE5')"
"('Q9P286', 'Q14155')"
"('P26373', 'Q15788')"
"('Q9UJX2', 'Q9UM11')"
"('P62913', 'P36578')"
"('P43487', 'P29372')"
"('O14561', 'O95167')"
"('P52735', 'Q13009')"
"('Q53HC0', 'P05060')"
"('P21554', 'Q9UK08')"
"('Q13607', 'P38405')"
"('P16220', 'Q8WTV0')"
"('P62158', 'Q13554')"
"('P56746', 'O95484')"
"('Q9H257', 'Q6ZU52')"
"('Q9Y6B7', 'O60566')"
"('Q9Y6Q9', 'Q63ZY3')"
"('Q9Y271', 'P18146')"
"('Q92769', 'Q8WXI9')"
"('Q9Y4E8', 'P23368')"
"('Q9NQZ3', 'Q96PU8')"
"('Q03135', 'Q14451')"
"('Q15155', 'Q6VMQ6')"
"('Q9UNM6', 'P40337')"
"('P11142', 'P30408')"
"('O75940', 'Q9NQ55')"
"('Q96F24', 'Q16531')"
"('Q14240', 'Q9GZR7')"
"('Q15172', 'P53355')"
"('Q96BK5', 'P15311')"
"('P14678', 'O75643')"
"('Q9NQ25', 'P18146')"
"('O95786', 'Q13490')"
"('Q92769', 'P10275')"
"('P63104', 'P41252')"
"('Q9H334', 'P07288')"
"('O00159', 'Q9HC98')"
"('Q8N752', 'P10070')"
"('P98082', 'Q15796')"
"('P63218', 'Q16539')"
"('Q99728', 'P54257')"
"('Q9HCS7', 'P62487')"
"('P07108', 'P68543')"
"('Q02156', 'Q9Y624')"
"('P18146', 'Q14774')"
"('O43395', 'Q70Z53')"
"('Q9P0U3', 'P18146')"
"('Q9NS56', 'Q13426')"
"('P27348', 'Q9UQC2')"
"('P19876', 'P46092')"
"('Q15750', 'O14733')"
"('P63208', 'Q15796')"
"('Q92830', 'Q8N668')"
"('Q13748', 'P07437')"
"('P51116', 'Q9NQC3')"
"('Q9UHD2', 'Q9Y4K3')"
"('P12081', 'Q9UKE5')"
"('Q9BQD3', 'P09493')"
"('Q9UI08', 'P06241')"
"('Q6PGQ7', 'Q99689')"
"('Q96CW1', 'O14641')"
"('Q5SW79', 'P63104')"
"('Q9NPF7', 'Q14627')"
"('Q99759', 'O94763')"
"('P37173', 'Q03167')"
"('P12882', 'P63261')"
"('Q13571', 'Q9HAU4')"
"('Q14257', 'P13569')"
"('Q02878', 'Q07020')"
"('Q96RR1', 'Q14197')"
"('Q96BP2', 'Q14197')"
"('P27361', 'P36956')"
"('Q9UKE5', 'Q9P258')"
"('P36406', 'P63279')"
"('Q14204', 'P14678')"
"('Q969K4', 'Q15796')"
"('Q96D71', 'P62993')"
"('P78347', 'Q06187')"
"('P29508', 'P25774')"
"('P40126', 'P18206')"
"('P54274', 'Q9UKT5')"
"('Q96RT1', 'Q9HC29')"
"('Q13145', 'Q92997')"
"('P08908', 'P63096')"
"('P54819', 'Q13177')"
"('P35236', 'P27361')"
"('Q9NQC3', 'O75427')"
"('Q03013', 'P04637')"
"('Q7L523', 'Q8N122')"
"('Q13418', 'Q7RTX8')"
"('Q15714', 'Q8NFQ8')"
"('Q9HA65', 'Q12789')"
"('P27635', 'Q13233')"
"('P61160', 'O15145')"
"('P01891', 'P43358')"
"('Q00610', 'O95782')"
"('O75182', 'Q05516')"
"('O14867', 'P15559')"
"('Q9H2X0', 'P00519')"
"('P62877', 'P56645')"
"('P02458', 'P05106')"
"('P32121', 'Q8WTQ7')"
"('P62380', 'P04156')"
"('Q13418', 'Q01804')"
"('Q9UKR5', 'Q9NPA5')"
"('Q8TBB1', 'Q13137')"
"('Q13535', 'P42695')"
"('Q92583', 'O00574')"
"('Q14CN4', 'P02787')"
"('Q6P179', 'P10914')"
"('Q92918', 'P62993')"
"('P0DJD0', 'P63165')"
"('Q15008', 'O60739')"
"('P01133', 'P09619')"
"('P61981', 'Q7KZI7')"
"('O14770', 'P26367')"
"('Q9Y4L5', 'Q9Y2X8')"
"('Q8NHW4', 'P41597')"
"('P08253', 'P01137')"
"('P15976', 'P31749')"
"('Q9H2G2', 'Q86SG6')"
"('O60739', 'Q13155')"
"('Q13393', 'O14494')"
"('Q07869', 'Q9BT22')"
"('P33240', 'P26641')"
"('P01009', 'P00747')"
"('P52292', 'P06748')"
"('Q7Z6B7', 'P84095')"
"('Q16630', 'O75112')"
"('P46781', 'P62854')"
"('O15315', 'O43543')"
"('Q13424', 'P47872')"
"('P07332', 'Q9UNM6')"
"('O75578', 'O43707')"
"('P19544', 'O95201')"
"('P42336', 'P40763')"
"('P31948', 'Q14164')"
"('P01574', 'P15260')"
"('P30154', 'Q99759')"
"('Q9Y6K9', 'Q13315')"
"('P42338', 'P23443')"
"('O15116', 'Q9UBQ7')"
"('Q53ET0', 'P49675')"
"('Q8TBC3', 'Q02388')"
"('P52597', 'P52298')"
"('P03915', 'O95298')"
"('P04629', 'P18031')"
"('P01889', 'P46060')"
"('Q9P2S5', 'Q9BY42')"
"('Q07889', 'P35638')"
"('P33076', 'Q499Z4')"
"('Q13415', 'P62979')"
"('Q8IZJ0', 'Q01344')"
"('P25788', 'Q00987')"
"('P15863', 'P50221')"
"('P62136', 'Q7Z2W7')"
"('P25205', 'Q8WYB5')"
"('P18146', 'Q99836')"
"('P62258', 'Q6PEY2')"
"('P53004', 'P15336')"
"('Q9UH99', 'Q9H9G7')"
"('Q13233', 'P05141')"
"('P36896', 'Q9UER7')"
"('P39019', 'P25398')"
"('P0CG48', 'O14730')"
"('P78352', 'Q14332')"
"('Q15669', 'Q9BVJ6')"
"('O75554', 'O43172')"
"('Q96D42', 'Q9NRR5')"
"('O15085', 'P16333')"
"('Q14686', 'Q99062')"
"('P36402', 'P35222')"
"('P63208', 'P24864')"
"('Q70EK8', 'Q12933')"
"('Q06124', 'Q16695')"
"('P05771', 'P62873')"
"('Q96SB4', 'Q01130')"
"('P51451', 'P42336')"
"('Q96RI1', 'Q05513')"
"('Q9ULV0', 'Q15907')"
"('P31947', 'Q86VP3')"
"('P99999', 'P42574')"
"('Q9Y572', 'P34931')"
"('P26012', 'P13612')"
"('P23508', 'P13798')"
"('Q93009', 'Q8IYM9')"
"('Q99558', 'Q14449')"
"('Q93077', 'P0C1H6')"
"('P18206', 'P50552')"
"('P32121', 'Q8NGC6')"
"('P51452', 'P43403')"
"('Q00005', 'Q13085')"
"('Q15139', 'P16885')"
"('P13010', 'O60684')"
"('Q13233', 'P61513')"
"('O00459', 'P84095')"
"('Q9UGJ1', 'Q9H668')"
"('Q13177', 'P46734')"
"('P33991', 'Q12905')"
"('Q01780', 'Q5JPE7')"
"('O14727', 'P99999')"
"('O00255', 'Q9H4W6')"
"('P15941', 'P06239')"
"('Q9NPJ6', 'P10827')"
"('P01106', 'P16070')"
"('P62306', 'P62312')"
"('P42858', 'Q9BVJ6')"
"('Q13526', 'P35222')"
"('Q08AM6', 'P29475')"
"('P17676', 'Q05195')"
"('Q96JQ0', 'O15519')"
"('P15692', 'P07333')"
"('O43684', 'Q9UJX2')"
"('P63104', 'P22492')"
"('Q86WJ1', 'P13010')"
"('406982', 'P40763')"
"('Q7Z2E3', 'P02686')"
"('Q13470', 'P31947')"
"('Q96KM6', 'Q9BRK4')"
"('P41182', 'Q92985')"
"('P01133', 'Q9UJM3')"
"('P00403', 'P0CG47')"
"('P10275', 'P27797')"
"('Q9NYF0', 'Q9ULK5')"
"('Q96BA8', 'Q16621')"
"('P20226', 'Q04206')"
"('P50539', 'Q9Y6D9')"
"('Q9H7L9', 'Q4LE39')"
"('Q5ST30', 'Q9Y4K3')"
"('P17542', 'P12980')"
"('O14493', 'P78369')"
"('O75381', 'Q96G25')"
"('P68400', 'Q08945')"
"('Q9BX70', 'Q96KM6')"
"('Q71F56', 'Q9BWU1')"
"('Q4VXU2', 'Q9UIV1')"
"('P30876', 'P24928')"
"('Q15329', 'O95661')"
"('Q9NZN8', 'Q9H9A5')"
"('P62195', 'Q00653')"
"('P42702', 'O60674')"
"('Q96BY6', 'Q7L0Q8')"
"('Q96IM9', 'P56597')"
"('Q86V81', 'Q8IX12')"
"('P61978', 'Q8IWZ8')"
"('Q00536', 'P46379')"
"('P67775', 'Q9Y570')"
"('P46459', 'Q9BWH2')"
"('Q13075', 'P42574')"
"('Q02556', 'P19878')"
"('Q13976', 'P54710')"
"('Q02040', 'Q14240')"
"('Q9UPT5', 'P12814')"
"('P04637', 'Q9NPP4')"
"('P29459', 'P15509')"
"('O75400', 'P10586')"
"('P02751', 'P11684')"
"('P52926', 'P19838')"
"('O00206', 'Q99519')"
"('P33993', 'P55201')"
"('O43169', 'P23508')"
"('P31151', 'P13569')"
"('Q8IZJ0', 'P38484')"
"('Q8N392', 'P17081')"
"('Q9UBK5', 'P42338')"
"('Q9UQK1', 'O95685')"
"('P56545', 'P43155')"
"('Q9UBB4', 'Q9H173')"
"('Q99759', 'P17858')"
"('P17693', 'P10914')"
"('P85298', 'Q92730')"
"('P52272', 'P26599')"
"('P49418', 'P04004')"
"('P19387', 'Q9HCS7')"
"('Q9H228', 'Q14344')"
"('Q16254', 'P40692')"
"('P35609', 'Q99700')"
"('Q13465', 'Q92769')"
"('Q16891', 'O14530')"
"('P23258', 'Q6NZ67')"
"('P62424', 'P36578')"
"('P13861', 'Q03135')"
"('Q9H2G2', 'Q15078')"
"('Q14031', 'Q9HCN6')"
"('P60033', 'P01889')"
"('O14787', 'Q9UBU9')"
"('Q9UHL9', 'P00519')"
"('O95299', 'O15239')"
"('P54646', 'Q16822')"
"('O00193', 'Q13595')"
"('Q13761', 'P06241')"
"('P14174', 'O43427')"
"('Q15717', 'Q9UKV8')"
"('Q01813', 'Q9Y4P8')"
"('Q12905', 'P49736')"
"('Q99750', 'O75427')"
"('O60262', 'P08172')"
"('Q8N3R9', 'P32745')"
"('Q969H8', 'Q16553')"
"('Q09161', 'Q9BY77')"
"('Q96NT1', 'P62993')"
"('P08133', 'P20936')"
"('Q9UHV9', 'O60739')"
"('O14832', 'P07498')"
"('Q9UPW5', 'Q9Y3M2')"
"('P62829', 'P27635')"
"('P28749', 'P51610')"
"('P62633', 'Q99848')"
"('P52815', 'Q9NW97')"
"('P08473', 'Q92597')"
"('P40337', 'P43487')"
"('P07858', 'P78556')"
"('Q9BQ67', 'Q8NHY2')"
"('P52735', 'Q5SW79')"
"('P16333', 'P78345')"
"('P31946', 'P21580')"
"('Q6P1L8', 'Q9UKE5')"
"('P15498', 'P18146')"
"('Q16891', 'O75431')"
"('Q13043', 'P31749')"
"('P27635', 'P62750')"
"('P08069', 'P09471')"
"('Q00005', 'P67775')"
"('O15503', 'Q8NC51')"
"('P58876', 'Q969S8')"
"('P07910', 'P26599')"
"('Q9C040', 'P62256')"
"('P62847', 'P62854')"
"('Q14624', 'P62993')"
"('Q15717', 'Q9UL18')"
"('O00585', 'P00505')"
"('O00625', 'Q14938')"
"('P61353', 'P61927')"
"('P49321', 'P30480')"
"('O60739', 'Q9Y3F4')"
"('Q9UET6', 'P52758')"
"('O00459', 'Q9UQC2')"
"('P40763', 'P01189')"
"('P10515', 'O00330')"
"('Q14457', 'Q8N5C8')"
"('Q13315', 'Q68CP9')"
"('Q5FBB7', 'Q14738')"
"('P08107', 'P12830')"
"('407010', 'P48061')"
"('Q9ULK4', 'Q9BWU1')"
"('Q8WVK7', 'Q8IX90')"
"('Q9UM73', 'P49454')"
"('Q13188', 'P32456')"
"('P13639', 'Q9NRI5')"
"('P08047', 'Q15306')"
"('P10276', 'P10644')"
"('Q9UI47', 'P61981')"
"('Q9Y263', 'P04054')"
"('Q9Y243', 'O60825')"
"('O75582', 'P63104')"
"('Q8NGZ3', 'P38405')"
"('Q9C0D3', 'Q15369')"
"('P20929', 'Q13464')"
"('Q15717', 'P06454')"
"('Q96R09', 'P38405')"
"('Q9NVV9', '145781')"
"('Q4LE39', 'Q9HCU9')"
"('P05113', 'P48551')"
