negatives
"('P61073', 'Q04900')"
"('Q9H1Z4', 'P36897')"
"('P51532', 'P03372')"
"('P05023', 'P32418')"
"('Q9UKB1', 'P42574')"
"('P78334', 'O95166')"
"('O15519', 'P58107')"
"('Q7L523', 'Q9Y2Q5')"
"('P49841', 'P51531')"
"('P01106', 'Q15645')"
"('P28222', 'Q9Y2Q3')"
"('Q05397', 'P26641')"
"('Q969M7', 'Q8TBC4')"
"('P15884', 'Q02535')"
"('Q15464', 'P35968')"
"('P21506', 'Q13263')"
"('P20809', 'Q8N6P7')"
"('Q8NG31', 'Q99459')"
"('Q9UJF2', 'Q07890')"
"('P36542', 'Q9UKV8')"
"('P43360', 'Q13547')"
"('P56539', 'P05106')"
"('Q15038', 'Q75N90')"
"('Q08209', 'Q13042')"
"('P12931', 'O14490')"
"('O43913', 'Q99459')"
"('Q99459', 'O14497')"
"('P29459', 'P14784')"
"('Q92918', 'Q9BXL7')"
"('P09429', 'P41208')"
"('Q13191', 'Q9UHF4')"
"('P63010', 'P40692')"
"('Q09666', 'P63104')"
"('O14544', 'Q8N6P7')"
"('P60228', 'Q9H9Q2')"
"('P62913', 'P62888')"
"('P26358', 'P29350')"
"('P08047', 'Q06546')"
"('Q9C035', 'P51668')"
"('Q14680', 'Q9BZR8')"
"('O00401', 'Q99828')"
"('Q8TCY5', 'P32245')"
"('P01889', 'O75347')"
"('O00217', 'P03901')"
"('P04637', 'P18146')"
"('Q92932', 'Q9H254')"
"('P46100', 'P45973')"
"('Q14653', 'Q86WV6')"
"('Q66LE6', 'O00305')"
"('P25445', 'P19438')"
"('Q8IXJ6', 'Q9NP81')"
"('P40259', 'P43403')"
"('Q15796', 'P26368')"
"('Q15811', 'P22674')"
"('P16220', 'Q8N5C7')"
"('Q13619', 'Q9BQ67')"
"('Q92783', 'Q13625')"
"('Q9NPC1', 'O95837')"
"('P61769', 'P29016')"
"('O43674', 'Q9P0J0')"
"('O95685', 'O14965')"
"('Q99816', 'Q9NPF5')"
"('Q8N5I3', 'P52565')"
"('Q6P3X3', 'Q9HAW0')"
"('Q14994', 'Q3L8U1')"
"('P58107', 'O75365')"
"('Q9H6S1', 'A7MCY6')"
"('Q9H173', 'P58107')"
"('P17980', 'P62195')"
"('P35626', 'Q8NGZ9')"
"('Q9Y4A5', 'Q96BN2')"
"('P13569', 'Q6UX72')"
"('Q15475', 'Q04724')"
"('Q15185', 'P42574')"
"('P06730', 'Q04743')"
"('P49768', 'P21333')"
"('Q99578', 'P18206')"
"('Q9UMS4', 'Q15714')"
"('P78369', 'C9JDP6')"
"('P62750', 'P61513')"
"('Q13547', 'P23527')"
"('Q07955', 'O95232')"
"('P49642', 'O00221')"
"('Q7L190', 'Q16659')"
"('Q9P253', 'Q9UNK0')"
"('Q00796', 'P01243')"
"('P18146', 'Q9BYX2')"
"('P18206', 'P62304')"
"('Q9BYV9', 'O15525')"
"('Q07955', 'P11387')"
"('P56703', 'Q9UEF7')"
"('P19793', 'Q92769')"
"('O00471', 'O75150')"
"('O15504', 'Q03518')"
"('O15260', 'Q86WV6')"
"('P14778', 'P46734')"
"('P32121', 'P62330')"
"('O95257', 'Q07869')"
"('P53778', 'Q66LE6')"
"('Q15389', 'P16234')"
"('P04406', 'Q5QNW6')"
"('O96014', 'Q9UP38')"
"('Q15831', 'Q13451')"
"('Q01831', 'Q13569')"
"('P62195', 'O60284')"
"('Q16543', 'Q9UHD2')"
"('Q09028', 'P06400')"
"('P25963', 'O60641')"
"('Q13573', 'Q9UPT5')"
"('P20339', 'P05556')"
"('Q9NS73', 'P51116')"
"('P04278', 'P08123')"
"('Q8TDR0', 'P35579')"
"('Q12778', 'P12931')"
"('Q99496', 'Q96B02')"
"('Q05516', 'Q14451')"
"('O15131', 'Q9Y5K6')"
"('Q14194', 'Q9UKV5')"
"('Q13610', 'Q9HCE7')"
"('Q15274', 'Q9BQ66')"
"('P52657', 'P62380')"
"('P30304', 'P51610')"
"('P05067', 'Q99767')"
"('P68104', 'Q9HCK5')"
"('Q96B97', 'P08631')"
"('Q14192', 'P21291')"
"('P0CG47', 'Q15078')"
"('Q16637', 'Q5RL73')"
"('P18146', 'O75347')"
"('O75344', 'Q9Y5B8')"
"('P06213', 'O00329')"
"('P51531', 'O96019')"
"('Q96GM5', 'P38398')"
"('Q9Y6K9', 'P46783')"
"('P60709', 'P04899')"
"('P63165', 'Q06609')"
"('P04183', 'Q8IXL6')"
"('P30480', 'P46108')"
"('O75822', 'Q14164')"
"('P61960', 'Q96JB5')"
"('P43626', 'P29350')"
"('P08670', 'Q9Y2P4')"
"('P40337', 'O43294')"
"('Q13137', 'P48634')"
"('P12883', 'P63261')"
"('P0CG48', 'Q96NR8')"
"('Q9Y385', 'O43164')"
"('P01106', 'Q96C92')"
"('P60510', 'P15924')"
"('A6NIT4', 'Q5VWK5')"
"('P25205', 'Q13177')"
"('Q13363', 'P61968')"
"('P21796', 'P12532')"
"('P32121', 'Q8NGB8')"
"('O15169', 'P49815')"
"('Q13432', 'O15211')"
"('P55196', 'Q92963')"
"('P22362', 'P51679')"
"('P32243', 'P06576')"
"('Q96Q15', 'P38919')"
"('Q14451', 'Q96N67')"
"('P04183', 'Q6P4I2')"
"('P51636', 'P20936')"
"('P10276', 'O00327')"
"('Q9BQQ3', 'Q9H422')"
"('P62987', 'O75581')"
"('Q53EL6', 'Q15672')"
"('Q9UBI6', 'P48051')"
"('O60318', 'P25054')"
"('P12643', 'Q04771')"
"('O75364', 'P20160')"
"('Q9Y2Z4', 'Q12834')"
"('P43405', 'P11912')"
"('P04141', 'Q13261')"
"('O60239', 'P45984')"
"('O94992', 'P50750')"
"('P0CG48', 'O00308')"
"('Q08170', 'O60508')"
"('P07948', 'Q15642')"
"('P00519', 'O15117')"
"('Q8NAF0', 'Q15393')"
"('Q12996', 'O95639')"
"('P53350', 'Q99436')"
"('O95817', 'O14641')"
"('Q9NPH3', 'P14778')"
"('Q8WZ73', 'P60604')"
"('P19174', 'P26951')"
"('Q8IZC7', 'Q13137')"
"('Q9NSB8', 'P48736')"
"('Q9H1Y0', 'P00492')"
"('Q15714', 'O76031')"
"('Q9Y5V3', 'Q9UL03')"
"('Q9Y277', 'Q13268')"
"('Q8IY92', 'Q9UL15')"
"('Q8N488', 'P0C0S8')"
"('Q8N2W9', 'P08670')"
"('P09936', 'O60739')"
"('P01889', 'P52292')"
"('O75569', 'Q8NHY6')"
"('P47914', 'P35268')"
"('Q9UM73', 'P01112')"
"('O75525', 'P38159')"
"('O00232', 'Q15008')"
"('P52333', 'Q07666')"
"('Q13546', 'Q13501')"
"('Q8IW50', 'Q14181')"
"('P26373', 'P61927')"
"('P07355', 'O75688')"
"('Q8IZD4', 'P26196')"
"('O00418', 'P13639')"
"('Q92558', 'O15511')"
"('P07384', 'P25963')"
"('Q8IYB5', 'Q9HAU4')"
"('P53672', 'Q9P1Z2')"
"('P62805', 'Q16594')"
"('Q96D21', 'Q9UI14')"
"('P26368', 'Q15796')"
"('P05455', 'P40337')"
"('O75643', 'Q9Y333')"
"('Q96KN7', 'P19532')"
"('Q13554', 'P18848')"
"('P46940', 'P52735')"
"('Q16566', 'Q9NZT1')"
"('P78417', 'P26641')"
"('Q96KK5', 'O15379')"
"('Q00610', 'Q9BXW4')"
"('P47813', 'O15371')"
"('Q9UGJ1', 'P20132')"
"('P21554', 'P63215')"
"('P16581', 'P05155')"
"('145781', 'O15304')"
"('Q9H6S1', 'Q92844')"
"('P46094', 'P32121')"
"('P06241', 'Q02846')"
"('O75554', 'O00571')"
"('Q16254', 'P50579')"
"('P67870', 'P25054')"
"('Q13315', 'Q86UW7')"
"('P23945', 'O95467')"
"('Q8IY92', 'Q5SRE5')"
"('O60861', 'Q86SX6')"
"('P04637', 'Q9H2X6')"
"('P31947', 'Q04912')"
"('Q00526', 'Q13573')"
"('Q9NPI1', 'P50453')"
"('P28062', 'P25787')"
"('P30273', 'Q92569')"
"('P04179', 'Q9UGY1')"
"('Q6ZUM4', 'P15153')"
"('P29459', 'Q92985')"
"('P05107', 'P27701')"
"('Q6P1J9', 'P02679')"
"('Q9UHL9', 'Q9NPD3')"
"('O15479', 'Q9Y3U8')"
"('O00567', 'P01106')"
"('Q14839', 'Q9BTC8')"
"('Q96B02', 'Q96EQ8')"
"('P01106', 'Q8TAD8')"
"('O60341', 'Q15047')"
"('O60828', 'Q9Y3C7')"
"('P78352', 'P63167')"
"('Q07890', 'P63261')"
"('Q9NWM3', 'Q9HAU4')"
"('Q16512', 'Q9H492')"
"('P02768', 'Q00005')"
"('Q04323', 'Q04771')"
"('Q12933', 'Q86TN4')"
"('Q8N7P3', 'Q07157')"
"('P06899', 'Q9BTM1')"
"('Q99558', 'P61313')"
"('P52803', 'P54764')"
"('Q9HC98', 'Q9Y230')"
"('Q9Y5K5', 'P25789')"
"('Q16401', 'Q9UL46')"
"('Q9NYY1', 'P14784')"
"('Q99460', 'P62333')"
"('P00519', 'P04629')"
"('P35626', 'Q8NGM8')"
"('P51608', 'P51531')"
"('P06239', 'P23470')"
"('O95782', 'Q04695')"
"('Q9UPU7', 'P60520')"
"('P01241', 'Q9Y262')"
"('P09486', 'P02452')"
"('Q8IVT5', 'P27361')"
"('O14829', 'P62158')"
"('Q9BVW5', 'O94761')"
"('O15198', 'Q9P2E9')"
"('Q8NFH3', 'Q14CS0')"
"('P51398', 'Q00653')"
"('P48736', 'P54709')"
"('P10275', 'Q99873')"
"('P23258', 'P68366')"
"('P15408', 'Q9Y5Q3')"
"('Q96MA1', 'Q9NWB1')"
"('Q15428', 'Q99729')"
"('Q7Z6G3', 'Q06455')"
"('Q96LT9', 'P04156')"
"('P61077', 'P01889')"
"('P30480', 'P15170')"
