negatives
"('Q7L1Q6', 'Q8N3K9')"
"('P78364', 'Q99496')"
"('P16333', 'Q9Y2D5')"
"('O94907', 'P56704')"
"('P01243', 'Q96DZ1')"
"('Q8WYR1', 'Q13094')"
"('Q14839', 'Q8N5A5')"
"('Q96EV8', 'Q13023')"
"('P63279', 'Q92481')"
"('P11142', 'P41279')"
"('Q16537', 'P32121')"
"('P48729', 'Q16625')"
"('Q14240', 'P24534')"
"('Q9HAV0', 'Q00975')"
"('P42772', 'O43474')"
"('Q05397', 'P61073')"
"('P16383', 'O95433')"
"('Q92765', 'O14904')"
"('P15170', 'P98170')"
"('Q969Q6', 'Q13698')"
"('P50914', 'P83881')"
"('Q13387', 'Q9H869')"
"('P32121', 'Q8NH53')"
"('Q9HC98', 'Q9UBC5')"
"('O43747', 'Q9Y6Q5')"
"('Q00839', 'O60861')"
"('P04150', 'P63165')"
"('Q9Y6K9', 'P62244')"
"('P19438', 'Q3ZCQ8')"
"('P36894', 'Q15797')"
"('Q9Y2X0', 'Q92731')"
"('P12314', 'Q8NHL6')"
"('P01106', 'Q9BYD6')"
"('A7MCY6', 'Q92844')"
"('Q01094', 'P35638')"
"('P05112', 'Q8IU57')"
"('Q13315', 'Q86XL3')"
"('Q9H9A7', 'P27694')"
"('Q92831', 'Q96F10')"
"('Q16665', 'P46531')"
"('Q13547', 'P35222')"
"('P14316', 'Q8IU81')"
"('P98177', 'P63104')"
"('P41227', 'P15622')"
"('Q9BY71', 'P16333')"
"('Q9BUJ2', 'Q01081')"
"('Q9NRX3', 'O60260')"
"('P21462', 'Q5JWF2')"
"('P29083', 'P29084')"
"('P17568', 'O95182')"
"('O14964', 'Q16539')"
"('Q9UDY2', 'O00501')"
"('P01243', 'Q00796')"
"('P04439', 'P26715')"
"('P51784', 'Q9BXW4')"
"('Q9UM11', 'P30260')"
"('Q12923', 'Q52LW3')"
"('Q9UL18', 'P62854')"
"('Q14008', 'P19174')"
"('Q96J02', 'Q86VP1')"
"('P10244', 'Q13309')"
"('Q14126', 'Q92542')"
"('P01106', 'P13674')"
"('Q9UJY5', 'P84077')"
"('O15524', 'P42701')"
"('Q9ULZ3', 'O15111')"
"('Q9NZ42', 'Q92542')"
