negatives
"('Q9NPF7', 'P17181')"
"('Q9H254', 'O60925')"
"('Q9H205', 'O75970')"
"('Q9Y478', 'Q52LJ0')"
"('Q08211', 'P14866')"
"('P63104', 'P40227')"
"('Q99759', 'Q9Y2U5')"
"('O60477', 'O75365')"
"('Q9BPX5', 'O15145')"
"('Q09472', 'Q96KQ4')"
"('Q96T60', 'Q86Y56')"
"('Q13547', 'Q00987')"
"('O14775', 'Q9HBW0')"
"('P42345', 'Q8IYT8')"
"('P41182', 'O15270')"
"('P43364', 'Q9NP79')"
"('P80098', 'P49238')"
"('P62993', 'P42694')"
"('P17980', 'Q5VTR2')"
"('P01579', 'Q14627')"
"('Q9NPI1', 'Q15102')"
"('O75365', 'Q9NRH3')"
"('P04275', 'Q9UKX5')"
"('Q15843', 'Q92616')"
"('Q9H7L9', 'Q92769')"
"('P35626', 'Q96RC9')"
"('Q92766', 'O00471')"
"('P12814', 'Q86UL8')"
"('P27635', 'P62945')"
"('Q99460', 'Q00653')"
"('O15151', 'Q00987')"
"('406971', 'O00716')"
"('P15336', 'Q6UUV7')"
"('Q99759', 'P31689')"
"('P21912', 'P20132')"
"('Q8IYB3', 'Q14103')"
"('P31751', 'Q68CJ9')"
"('Q15404', 'P49841')"
"('Q9BUJ2', 'Q15287')"
"('O00231', 'Q16401')"
"('Q9UPT6', 'P45984')"
"('P11021', 'Q76MJ5')"
"('P01889', 'P04181')"
"('Q71UI9', 'Q93079')"
"('P05129', 'Q07157')"
"('Q9Y6I3', 'P10721')"
"('O94811', 'P37840')"
"('O43318', 'Q01658')"
"('Q16629', 'Q86U42')"
"('O75445', 'Q9HBM0')"
"('O15372', 'Q9NRI5')"
"('P07910', 'O43390')"
"('O15056', 'P55157')"
"('Q5JTH9', 'Q9NR30')"
"('Q9P2M7', 'A7E2Y1')"
"('P19793', 'O75376')"
"('P63104', 'P98177')"
"('P00533', 'P05787')"
"('O95168', 'P03886')"
"('Q9Y2K2', 'P17612')"
"('A8TX70', 'Q13683')"
"('Q13247', 'Q13573')"
"('P10275', 'P51948')"
"('P41235', 'P05091')"
"('P63261', 'Q9Y623')"
"('Q9Y5K5', 'Q53TQ3')"
"('Q9Y5T5', 'P06493')"
"('Q13574', 'P01112')"
"('Q68CZ6', 'Q7Z4H7')"
"('P31327', 'P63104')"
"('Q969F0', 'P20226')"
"('P00519', 'Q09472')"
"('Q9UGN5', 'Q8N8H1')"
"('P98172', 'O43639')"
"('P48443', 'Q86YW9')"
"('P08514', 'P26012')"
"('Q13042', 'Q9UJX5')"
"('P00533', 'Q99962')"
"('Q14974', 'P84022')"
"('O15350', 'Q13526')"
"('Q9NQB0', 'Q9Y265')"
"('O00193', 'P26641')"
"('P22681', 'P12931')"
"('Q13976', 'A8MYU2')"
"('O60244', 'P49336')"
"('Q8TAU3', 'O94972')"
"('Q9NPB9', 'P80098')"
"('Q9Y6M9', 'O14561')"
"('Q8IZL8', 'P06748')"
"('Q9BTT4', 'O95402')"
"('Q03164', 'Q8WXI3')"
"('P63104', 'P10599')"
"('P25021', 'Q5JWF2')"
"('Q16539', 'Q9Y6Q9')"
"('P06756', 'Q9NVD7')"
"('P40337', 'P23919')"
"('O75582', 'Q9NVH1')"
"('Q12933', 'O43353')"
"('A6NIT4', 'Q01113')"
"('Q13233', 'P35580')"
"('P19827', 'P02768')"
"('O95750', 'P35916')"
"('P60953', 'Q9NPB6')"
"('Q9NZJ4', 'Q9P1U0')"
"('P08069', 'P46109')"
"('Q93084', 'P30457')"
"('Q969G3', 'Q9UPN9')"
"('O75477', 'O43318')"
"('P25685', 'P54652')"
"('Q9BUZ4', 'Q07011')"
"('P29350', 'P10721')"
"('P18031', 'Q9H1D0')"
"('O95741', 'Q15759')"
"('O00264', 'P29372')"
"('P84022', 'Q9HDC5')"
"('Q9NVV4', 'Q13137')"
"('Q9P0U3', 'P18146')"
"('P30876', 'P38398')"
"('P53992', 'O94979')"
"('P61964', 'P58876')"
"('P34896', 'O95084')"
"('406933', 'Q9Y2I8')"
"('P27635', 'Q15750')"
"('O43639', 'Q9NYB9')"
"('P14778', 'Q99558')"
"('Q14324', 'P33076')"
"('P19438', 'O43318')"
"('P31152', 'P18847')"
"('O14512', 'P40763')"
"('O15235', 'Q14194')"
"('P55795', 'Q01130')"
"('Q13415', 'P33991')"
"('P63010', 'Q16626')"
"('P29317', 'P46109')"
"('Q9UKB1', 'P19838')"
"('P62875', 'Q6P1J9')"
"('P41159', 'Q99062')"
"('Q6UWE0', 'P54253')"
"('Q92633', 'P63218')"
"('Q9ULC4', 'Q9Y4K3')"
"('P18206', 'Q9UQ03')"
"('Q96HA8', 'Q7Z6G3')"
"('Q9UIG0', 'Q9UBC5')"
"('Q03014', 'P25788')"
"('Q7L7L0', 'Q13547')"
"('O43395', 'Q15020')"
"('Q14164', 'Q9UL46')"
"('P11142', 'P19438')"
"('Q13002', 'Q8NBJ4')"
"('Q99878', 'Q9UQL6')"
"('P46459', 'O76081')"
"('Q8N349', 'P38405')"
"('Q99759', 'O95816')"
"('Q99731', 'P25024')"
"('Q86VZ2', 'P03372')"
"('P26038', 'O14745')"
"('P49903', 'Q96ID5')"
"('Q92597', 'P08473')"
"('P61073', 'Q15149')"
"('Q13309', 'P19474')"
"('P46783', 'Q07021')"
"('P13489', 'P25705')"
"('Q15172', 'Q9Y243')"
"('Q86UQ8', 'P54105')"
"('P50750', 'Q9UHB7')"
"('O95251', 'P49674')"
"('Q9Y4K3', 'P27986')"
"('P62993', 'P61160')"
"('Q9NYF8', 'P62993')"
"('Q9UHN1', 'Q86V88')"
"('O43290', 'Q8IY92')"
"('P54727', 'Q13200')"
"('Q99963', 'P63162')"
"('P11387', 'P19525')"
"('Q9Y4P1', 'Q9H0R8')"
"('P16144', 'P48736')"
"('P25786', 'O95751')"
"('Q05639', 'P20333')"
"('P01889', 'P06753')"
"('P51816', 'P19174')"
"('P50991', 'Q04206')"
"('Q13425', 'P46939')"
"('Q30201', 'P02787')"
"('P05067', 'Q13564')"
"('P27824', 'Q01453')"
"('Q86Y39', 'O96000')"
"('P58166', 'P36896')"
"('Q15036', 'Q15788')"
"('Q15349', 'P17252')"
"('Q86X76', 'O60941')"
"('P10145', 'P14780')"
"('P43403', 'Q92529')"
"('P68366', 'Q15813')"
"('Q13315', 'Q8TDI0')"
"('P23467', 'P08581')"
"('P62424', 'P36578')"
"('P06727', 'P02768')"
"('P83881', 'P40429')"
"('P02452', 'P09486')"
"('Q13554', 'P62158')"
"('Q13087', 'P62993')"
"('A7XYQ1', 'Q5SZQ8')"
"('P14209', 'Q9NRR5')"
"('P51531', 'O14497')"
"('P53667', 'P18146')"
"('P01112', 'Q9UKT9')"
"('Q99714', 'P05067')"
"('Q9H0R8', 'P05129')"
"('Q99567', 'O14980')"
"('P08631', 'Q8WUM4')"
"('Q9Y263', 'P04054')"
"('P37108', 'P01889')"
"('O43660', 'Q13573')"
"('Q13618', 'O14641')"
"('P20809', 'P31785')"
"('O43175', 'P01889')"
"('O43427', 'Q14512')"
"('Q9NSE2', 'O60674')"
"('Q16539', 'P26651')"
"('P52735', 'P63104')"
"('P84022', 'Q9P2J3')"
"('P11171', 'P31948')"
"('Q8N5V2', 'Q9H5J8')"
"('P16220', 'Q9HCK8')"
"('Q8N3X1', 'O75051')"
"('Q9UIF7', 'P52701')"
"('P62993', 'P36542')"
"('Q13233', 'Q8NHW5')"
"('Q13287', 'P42229')"
"('Q29RF7', 'P01106')"
"('P19387', 'Q9GZS3')"
"('O00471', 'P11532')"
"('Q9UET6', 'P61970')"
"('Q15717', 'P17252')"
"('P49918', 'Q09472')"
"('P18146', 'P16220')"
"('P62140', 'Q05397')"
"('P16220', 'P01579')"
"('P63104', 'Q9BQE3')"
"('P40225', 'P42702')"
"('P84022', 'O00255')"
"('P54105', 'P62308')"
"('Q13530', 'Q9H173')"
"('Q7L5N1', 'Q96HD1')"
"('Q9UGK3', 'O14920')"
"('Q01955', 'P26010')"
"('P17612', 'P60510')"
"('P46779', 'Q07020')"
"('P62854', 'Q9NX58')"
"('Q8WWL7', 'P06493')"
"('P49023', 'P26010')"
"('P67870', 'Q99661')"
"('P28482', 'P05787')"
"('P58876', 'Q9Y5B9')"
"('P51681', 'Q9Y6G3')"
"('P32121', 'P43626')"
"('P17568', 'P03891')"
"('P10275', 'P49841')"
"('O95178', 'O15239')"
"('P18077', 'P05387')"
"('P81172', 'Q92908')"
"('P30542', 'P00813')"
"('P01137', 'P49354')"
"('P60709', 'Q92597')"
"('P62195', 'O43542')"
"('P14416', 'P08754')"
"('P28749', 'Q92543')"
"('O43639', 'P61978')"
"('O75909', 'O75558')"
"('P32121', 'Q96KK4')"
"('P63104', 'P09382')"
"('P04637', 'Q14061')"
"('P50213', 'O43837')"
"('P50613', 'P14635')"
"('Q9UM73', 'P60709')"
"('O60290', 'Q96AY4')"
"('P49790', 'P02545')"
"('P58062', 'Q8N339')"
"('Q15047', 'Q8NA92')"
"('Q01780', 'Q9UPM9')"
"('P62873', 'P27361')"
"('Q9H0U4', 'Q8N2Y8')"
"('Q9H0E2', 'Q13490')"
"('Q71UI9', 'Q92769')"
"('P01106', 'Q9NSV4')"
"('P63104', 'Q9BYG4')"
"('O43776', 'Q9H4B6')"
"('Q9UPY6', 'P27986')"
"('O14807', 'O00459')"
"('P41225', 'Q15583')"
"('P35998', 'Q9Y4K3')"
"('Q9ULV8', 'P40189')"
"('O94868', 'O76094')"
"('Q9UHF0', 'P21246')"
"('P62140', 'P61244')"
"('Q15843', 'P62701')"
"('Q9Y4A5', 'P0C0S5')"
"('Q96GM5', 'P62805')"
"('P07498', 'Q9Y6X8')"
"('P17252', 'O43306')"
"('P08047', 'Q92819')"
"('Q5T3J3', 'P15927')"
"('O15198', 'O15550')"
"('Q9UQM7', 'Q9UF02')"
"('P60953', 'P50502')"
"('P25021', 'P63092')"
"('Q9BXR0', 'Q13432')"
"('P05106', 'P51636')"
"('P41743', 'P63104')"
"('P46109', 'Q92608')"
"('P63208', 'Q9UKT4')"
"('P35247', 'O00206')"
"('P05412', 'P01215')"
"('Q9BVG3', 'Q15796')"
"('O95299', 'Q9NX14')"
"('Q96GM8', 'Q9Y4Z0')"
"('P08670', 'P55055')"
"('P53708', 'Q13797')"
"('P22681', 'P19235')"
"('Q9UHD0', 'P17181')"
"('Q13547', 'P06400')"
"('Q8WXH5', 'Q9UHF4')"
"('O14746', 'P42345')"
"('P78556', 'P51686')"
"('Q16627', 'P51684')"
"('406947', 'O95751')"
"('Q13237', 'Q01970')"
"('Q6STE5', 'Q969G3')"
"('P20073', 'P07858')"
"('P51817', 'P40145')"
"('Q9UBD9', 'P40189')"
"('P23396', 'Q15843')"
"('Q96EP0', 'P54259')"
"('Q9HCN4', 'P23025')"
"('Q03014', 'O14786')"
"('Q9C040', 'O14933')"
"('P49715', 'Q9NR96')"
"('Q7LDG7', 'P62070')"
"('P05231', 'P24394')"
"('P05107', 'Q9UKW4')"
"('Q05519', 'P52756')"
"('P10916', 'P60709')"
"('P01857', 'P15502')"
"('P03905', 'O43676')"
"('Q13115', 'Q14194')"
"('Q92900', 'Q8IYD1')"
"('Q9UKS7', 'Q9H5V7')"
"('P12956', 'Q12851')"
"('Q8IUH5', 'P60880')"
"('P27348', 'P55851')"
"('O15056', 'Q9NZM3')"
"('P43115', 'P29992')"
"('P61962', 'Q9Y463')"
"('Q92692', 'P12931')"
"('Q6FHJ7', 'P56703')"
"('P14136', 'Q96HA1')"
"('P20823', 'Q9Y5W7')"
"('O00141', 'P01833')"
"('P62834', 'O43566')"
"('Q9NX70', 'Q9NVC6')"
"('P08047', 'P49716')"
"('P84022', 'O75593')"
"('Q92541', 'P23193')"
"('Q8WVC0', 'O15514')"
"('Q9UKV0', 'P41212')"
"('Q16643', 'O75956')"
"('P38936', 'P62979')"
"('P28222', 'P22392')"
"('Q13155', 'Q8IZ69')"
"('P22392', 'P16152')"
"('Q99459', 'O43290')"
"('P08253', 'P17931')"
"('Q9Y2J2', 'Q9UDY2')"
"('A6NIT4', 'Q01344')"
"('P67775', 'P63151')"
"('Q13867', 'P63279')"
"('Q9GZQ8', 'P07108')"
"('P68036', 'P50876')"
"('Q96CW1', 'P17181')"
"('2310', 'O43521')"
"('Q92620', 'P98175')"
"('Q969H0', 'Q8NC51')"
"('Q05209', 'Q07912')"
"('Q01081', 'Q13435')"
"('Q8N1F7', 'Q9Y5J5')"
"('P84022', 'P46937')"
"('Q9Y5J5', 'P04844')"
"('P24723', 'P15056')"
"('P61289', 'O75832')"
"('Q9NR61', 'Q9UM47')"
"('Q9UKV8', 'P68104')"
"('Q99816', 'Q9NZ52')"
"('P05388', 'P60709')"
"('P84022', 'Q9Y5J3')"
"('P14373', 'P49459')"
"('Q86XI2', 'Q6IBW4')"
"('Q96KP1', 'Q99459')"
"('P14678', 'O94906')"
"('P51149', 'P00533')"
"('P45973', 'Q02539')"
"('Q8IX03', 'Q8N878')"
"('P54253', 'O00154')"
"('P09132', 'P52294')"
"('O15143', 'P59998')"
"('Q15102', 'P04406')"
"('P15248', 'P26992')"
"('Q15843', 'P61081')"
"('Q9NZM3', 'P48023')"
"('P43405', 'P14784')"
"('O60684', 'Q9UI14')"
"('Q8N752', 'P10071')"
"('P23396', 'P62266')"
"('P49286', 'O14775')"
"('P63241', 'Q9H0D6')"
"('P45983', 'P17535')"
"('Q12996', 'O43809')"
"('Q71U36', 'Q15653')"
"('Q9H8Y8', 'P62244')"
"('Q01538', 'P14635')"
"('P48061', 'P25106')"
"('O00507', 'Q5VTR2')"
"('P58400', 'Q9Y6X6')"
"('O95049', 'P56748')"
"('P35626', 'P32302')"
"('Q9Y572', 'Q05639')"
"('O15533', 'Q03518')"
"('Q8NEM7', 'O15265')"
"('P67775', 'Q9NY47')"
"('P25963', 'Q9NYS0')"
"('Q13616', 'Q96EF6')"
"('Q9NV70', 'Q8IX03')"
"('A5D8V6', 'Q53EZ4')"
"('Q12929', 'O14645')"
"('Q92988', 'P06241')"
"('O94806', 'Q9GZQ8')"
"('Q969D9', 'P16471')"
"('Q15007', 'P63104')"
"('P00533', 'P08107')"
"('P62191', 'O75832')"
"('Q6AI08', 'O15085')"
"('Q9H2G2', 'O76039')"
"('O95071', 'Q96LR5')"
"('Q14185', 'Q9H4E5')"
"('P30048', 'O14920')"
"('P19793', 'Q07869')"
"('Q9BRX2', 'Q3ZCQ8')"
"('O95299', 'Q86Y39')"
"('Q13627', 'P35609')"
"('P01106', 'Q96AG4')"
"('O75956', 'Q13595')"
"('Q16659', 'Q16665')"
"('Q9UI26', 'Q9BUV8')"
"('Q8TEM1', 'P49790')"
"('Q9UM47', 'Q9UBG7')"
"('Q9H488', 'P46531')"
"('P08621', 'P17931')"
"('O15085', 'P63000')"
"('Q8N5R6', 'Q9Y3Q8')"
"('P60953', 'Q16539')"
"('Q92830', 'Q92585')"
"('Q13573', 'P60228')"
"('P22455', 'Q9H201')"
"('P25054', 'Q01082')"
"('Q5SZD4', 'P60510')"
"('P42574', 'P10809')"
"('P54253', 'Q9P1W9')"
"('Q15155', 'Q6VMQ6')"
"('O75251', 'P03905')"
"('P01563', 'P52333')"
"('P26368', 'Q8IZL8')"
"('Q92993', 'Q9HAF1')"
"('Q9BWF3', 'P52597')"
"('P61244', 'Q92830')"
"('O15514', 'P62487')"
"('P42574', 'P43146')"
"('P25092', 'Q86UT5')"
"('P62258', 'O60256')"
"('O15111', 'Q01201')"
"('Q96JB5', 'O94874')"
"('P53804', 'Q6VMQ6')"
"('P34995', 'O95837')"
"('P18146', 'Q9Y5B9')"
"('Q13315', 'Q5SRE7')"
"('Q9UIW2', 'P15153')"
"('O15533', 'P10321')"
"('O75344', 'O75909')"
"('Q9Y3D7', 'P01241')"
"('P07384', 'O75629')"
"('Q9Y262', 'Q14240')"
"('P26368', 'Q14498')"
"('P36873', 'Q02641')"
"('P01892', 'P26715')"
"('Q9NVV9', 'Q8TBK6')"
"('Q96B97', 'Q13501')"
"('P11216', 'P12814')"
"('O60671', 'P20226')"
"('P60568', 'P78552')"
"('Q15583', 'P68104')"
"('Q92979', 'Q15843')"
"('O43543', 'O75771')"
"('Q96S59', 'P02786')"
"('P06213', 'P22681')"
"('P30519', 'Q5T3J3')"
"('Q8N554', 'Q96BR9')"
"('P61978', 'Q93062')"
"('P17482', 'Q8IY92')"
"('Q9Y2K7', 'Q04206')"
"('P17542', 'P19838')"
"('P03372', 'O15054')"
"('Q13007', 'P42701')"
"('Q12866', 'Q14393')"
"('P07910', 'P19525')"
"('O60721', 'P55157')"
"('P58753', 'Q9Y4K3')"
"('Q9H0J4', 'Q53HC9')"
"('Q99759', 'P42677')"
"('Q9ULH1', 'P27986')"
"('Q9H7D0', 'P84095')"
"('Q86YR5', 'O96006')"
"('Q8NDZ2', 'P61981')"
"('O15335', 'P02458')"
"('P24278', 'Q12933')"
"('P54257', 'Q96NT1')"
"('P52735', 'Q13573')"
"('Q9Y265', 'O00115')"
"('P62136', 'Q13454')"
"('P62847', 'P62241')"
"('Q9ULZ2', 'P18146')"
"('O60641', 'P16220')"
"('Q14416', 'O14775')"
"('Q9H6Q3', 'P43403')"
"('Q7Z4I7', 'Q13418')"
"('A0JLT2', 'Q13148')"
"('P41182', 'P17947')"
"('Q9Y2S0', 'Q9H9Y6')"
"('Q9UBN6', 'P99999')"
"('Q13595', 'O43143')"
"('P63173', 'P27635')"
"('Q9NY61', 'Q9NZW5')"
"('Q13573', 'O94842')"
"('P63104', 'O14744')"
"('P12004', 'Q9NQR1')"
"('O15264', 'P50395')"
"('Q96EP5', 'P11940')"
"('Q8N1I0', 'P14866')"
"('Q15653', 'Q9NYS0')"
"('P63000', 'P52566')"
"('P60953', 'P27361')"
"('P04637', 'P67809')"
"('Q9H6D7', 'O94927')"
"('Q5QNW6', 'Q92769')"
"('Q96PM9', 'O75800')"
"('Q96G25', 'Q9BTT4')"
"('Q07021', 'Q13247')"
"('O43261', 'Q9NVJ2')"
"('P04183', 'P62328')"
"('O00744', 'Q14332')"
"('Q96B18', 'Q04759')"
"('Q9Y4D1', 'P12931')"
"('P13647', 'P25054')"
"('O95999', 'P20749')"
"('Q00653', 'P60709')"
"('O60716', 'P49674')"
"('O43318', 'O15304')"
"('Q9Y580', 'Q9BWF3')"
"('P11802', 'P40305')"
"('Q9H1C0', 'P50150')"
"('Q13573', 'Q6P3W7')"
"('Q13077', 'Q3ZCQ8')"
"('P22681', 'Q04912')"
"('P38432', 'Q96RS0')"
"('Q09472', 'Q9Y230')"
"('P31785', 'P52333')"
"('Q9UKS6', 'O60936')"
"('P35609', 'Q9UBI6')"
"('O43809', 'Q04724')"
"('P17676', 'P08684')"
"('Q9UHD2', 'P62241')"
"('P40763', 'Q16666')"
"('Q01968', 'Q92805')"
"('Q07890', 'P42336')"
"('O60216', 'O43918')"
"('P19838', 'P01563')"
"('O43820', 'Q92979')"
"('P24928', 'Q8WVC0')"
"('P59665', 'O60925')"
"('Q9UHL9', 'O15379')"
"('Q14738', 'Q9UPR3')"
"('Q9NX58', 'Q02543')"
"('Q9Y388', 'P20226')"
"('P21673', 'Q5UIP0')"
"('Q05397', 'P06239')"
"('P06756', 'P17301')"
"('Q92993', 'O95619')"
"('Q9GZV5', 'Q07157')"
"('P04792', 'Q9BRX9')"
"('7503', 'Q15022')"
"('Q6UXN9', 'Q6UN15')"
"('Q9NZF1', 'Q15645')"
"('P01106', 'Q96PK6')"
"('P35226', 'Q9BSM1')"
"('26765', 'P04637')"
"('P63244', 'P52630')"
"('Q99624', 'Q96EZ8')"
"('P40926', 'P12004')"
"('P22681', 'P17948')"
"('Q9UKX3', 'P31751')"
"('Q9UL18', 'O60506')"
"('P17028', 'P57086')"
"('P02671', 'P01857')"
"('P62318', 'P62308')"
"('P16104', 'Q12888')"
"('Q9BVJ7', 'Q7Z3E2')"
"('Q9Y4Z0', 'Q16637')"
"('Q13253', 'P12644')"
"('Q9NVC6', 'O60244')"
"('P18146', 'P25445')"
"('Q13315', 'Q7Z460')"
"('Q9BV38', 'Q9UL18')"
"('Q8N684', 'O14641')"
"('Q9UKV3', 'Q15428')"
"('Q15554', 'P49959')"
"('P57678', 'Q9P2S5')"
"('P01106', 'O43847')"
"('P60484', 'P35222')"
"('Q9BRT2', 'Q14164')"
"('Q9Y5Q9', 'O76071')"
"('P19388', 'Q9NWA0')"
"('Q8WXA9', 'Q92841')"
"('Q16625', 'Q9HCE7')"
"('P51956', 'P16471')"
"('Q9Y478', 'Q9HB71')"
"('Q15528', 'Q8NBJ4')"
"('P62917', 'P61313')"
"('Q9NSB8', 'P13637')"
"('Q9H0R8', 'P78334')"
"('406899', 'P40763')"
"('P23025', 'P54727')"
"('Q96NZ8', 'P01137')"
"('P61244', 'O75529')"
"('Q99759', 'P25685')"
"('Q92794', 'P55201')"
"('O95630', 'P41182')"
"('P06400', 'O00716')"
"('Q9UPY3', 'Q9UL18')"
"('P27708', 'P19438')"
"('P26927', 'P01889')"
"('P07602', 'P13861')"
"('Q9HCE7', 'P17948')"
"('A8K6C2', 'P31785')"
"('P01106', 'Q9NYF8')"
"('Q13332', 'P26641')"
"('P42566', 'P07333')"
"('P13569', 'P20338')"
"('Q9UJY5', 'Q92673')"
"('P55157', 'Q9NRJ4')"
"('P26038', 'Q14164')"
"('Q9UBD9', 'P26951')"
"('Q9ULG1', 'Q6PI98')"
"('Q13363', 'P61968')"
"('O00571', 'P08047')"
"('Q15393', 'Q99717')"
"('P22694', 'P04049')"
"('Q96L73', 'P10276')"
"('P01106', 'O14654')"
"('P51617', 'Q8IXI2')"
"('Q9UKB5', 'P35222')"
"('P25398', 'P60866')"
"('Q9BUJ2', 'Q8IYB3')"
"('P49841', 'Q00987')"
"('P19388', 'O15514')"
"('Q8ND90', 'P0CW26')"
"('Q8N6F1', 'P56856')"
"('O43586', 'Q9UMN6')"
"('P22557', 'P62993')"
"('Q9Y6B7', 'O60566')"
"('P45973', 'P12956')"
"('P05412', 'P16581')"
"('P22460', 'Q13424')"
"('P68400', 'P98175')"
"('O43318', 'O75528')"
"('Q7Z6J6', 'P14923')"
"('P46777', 'P50914')"
"('Q96CW1', 'O00291')"
"('O94868', 'Q15834')"
"('P62424', 'P46776')"
"('P78504', 'P46531')"
"('Q9H3D4', 'P48431')"
"('Q9NRA8', 'O15105')"
"('P23528', 'P05023')"
"('Q01105', 'P19532')"
"('P14416', 'P16520')"
"('Q8TDF6', 'P10301')"
"('O75379', 'O60499')"
"('Q9UKG9', 'Q9Y265')"
"('Q9Y286', 'P60520')"
"('Q15714', 'Q9UHY1')"
"('Q00653', 'P38646')"
"('Q96B97', 'O15131')"
"('Q15628', 'Q14790')"
"('O60296', 'Q16445')"
"('Q71UI9', 'Q08945')"
"('Q13233', 'Q13546')"
"('P06241', 'P32239')"
"('P09038', 'P08138')"
"('Q96JB5', 'P50053')"
"('P10828', 'O75376')"
"('P53618', 'Q02156')"
"('Q92747', 'P42768')"
"('P52803', 'Q02763')"
"('Q15562', 'Q9UJU2')"
"('Q9H0A0', 'P11387')"
"('P05386', 'P61927')"
"('Q9P2R7', 'P22557')"
"('Q99471', 'P40337')"
"('P01568', 'P15260')"
"('P16220', 'Q9BYW1')"
"('Q13555', 'Q13557')"
"('P04179', 'O14965')"
"('P13805', 'Q9Y2Y6')"
"('Q01968', 'Q9UKG1')"
"('Q14164', 'Q9H2G2')"
"('Q96RI0', 'Q14344')"
"('P01112', 'Q9Y613')"
"('P40337', 'P61081')"
"('P08621', 'O14744')"
"('Q8NH00', 'P38405')"
"('P52294', 'Q8IY92')"
"('P19174', 'P15498')"
"('P78563', 'Q13526')"
"('P60510', 'O14654')"
"('O43557', 'Q9NR28')"
"('P28482', 'P19838')"
"('Q9BYN8', 'P67775')"
"('P38646', 'Q04206')"
"('P29317', 'P35568')"
"('P51532', 'P16104')"
"('P28072', 'P60900')"
"('P20333', 'P04350')"
"('P62979', 'Q9UJ41')"
"('Q86WT6', 'P29590')"
"('P18031', 'P46108')"
"('Q8N5Z5', 'P29972')"
"('P19532', 'Q99623')"
"('Q8TCY5', 'P41968')"
"('P50995', 'P06703')"
"('Q96LZ3', 'Q9UIK4')"
"('P19793', 'Q15796')"
"('Q96ST3', 'P01106')"
"('P21917', 'P50150')"
"('Q8NGS2', 'P38405')"
"('O14640', 'P60763')"
"('P63172', 'Q9UBX3')"
"('P03901', 'O95178')"
"('Q13485', 'P31321')"
"('Q13233', 'Q9BUF5')"
"('P17844', 'Q9UNE7')"
"('P20333', 'O14980')"
"('P31943', 'Q01081')"
"('P22681', 'P55085')"
"('P08648', 'P18146')"
"('Q13568', 'O14896')"
"('P04049', 'P53779')"
"('P29692', 'Q05639')"
"('P32121', 'Q9H346')"
"('Q9P0J0', 'O95298')"
"('P09912', 'P52630')"
"('O95071', 'Q15796')"
"('P61978', 'Q15560')"
"('O95319', 'P62993')"
"('P10643', 'P07357')"
"('Q15003', 'Q15021')"
"('O75486', 'Q96BN2')"
"('O94805', 'O14497')"
"('P49711', 'O43187')"
"('Q9UKR5', 'P19387')"
"('P84243', 'Q09028')"
"('P07900', 'Q9GZX7')"
"('P63092', 'P63211')"
"('O15488', 'P13807')"
"('Q09472', 'P25205')"
"('O43597', 'Q9BY42')"
"('P60709', 'P60228')"
"('Q9UNA1', 'Q7L0Q8')"
"('Q9NSB4', 'Q6IBS0')"
"('P40222', 'Q9Y6K9')"
"('Q00987', 'Q9UM73')"
"('Q16566', 'P40145')"
"('O60739', 'P50395')"
"('Q14565', 'P27694')"
"('P05783', 'P61981')"
"('P26368', 'O75533')"
"('O43929', 'Q9BXI2')"
"('Q8IZW8', 'P31947')"
"('P01889', 'O75347')"
"('P02778', 'P51684')"
"('P05549', 'P63279')"
"('Q71UI9', 'Q99877')"
"('P07948', 'P20936')"
"('P08581', 'Q00722')"
"('P16104', 'P0C1H6')"
"('Q8NB90', 'Q13573')"
"('Q92542', 'P16066')"
"('P61981', 'Q96CV9')"
"('Q9Y4K3', 'Q96QK1')"
"('P26373', 'P35268')"
"('P18146', 'Q9H7P9')"
"('Q99459', 'O43809')"
"('Q09472', 'Q06330')"
"('Q9BWH2', 'Q9H1I8')"
"('Q9UKI8', 'O00161')"
"('Q8NE09', 'P49841')"
"('Q13257', 'O75365')"
"('P51959', 'P30153')"
"('P17987', 'Q66LE6')"
"('Q16827', 'P63104')"
"('Q9H9G7', 'Q9NXS2')"
"('P25205', 'Q13416')"
"('P12956', 'P55769')"
"('P05386', 'Q53EL6')"
"('O95704', 'Q06481')"
"('Q15149', 'Q14457')"
"('Q8N122', 'P42345')"
"('P33527', 'Q86WV6')"
"('Q13418', 'Q14790')"
"('P43405', 'P19174')"
"('Q9Y3F4', 'P62304')"
"('Q10570', 'Q05048')"
"('Q9GZR7', 'P11021')"
"('P46531', 'P48431')"
"('Q13501', 'Q04771')"
"('P09382', 'Q8WXI7')"
"('P63104', 'O00506')"
"('Q8TEK3', 'P46379')"
"('P05386', 'P15927')"
"('P46108', 'P46109')"
"('Q13315', 'P52597')"
"('Q4KWH8', 'Q02156')"
"('Q9Y4G2', 'P50453')"
"('O43283', 'P30048')"
"('Q8IY92', 'P51610')"
"('P49257', 'Q9Y3A6')"
"('O95168', 'P03905')"
"('P22105', 'P56199')"
"('P16471', 'P78324')"
"('P00533', 'Q6NZI2')"
"('Q16558', 'Q13936')"
"('Q04759', 'P19883')"
"('Q9Y5K5', 'Q15008')"
"('O15226', 'Q04864')"
"('Q9NZC7', 'Q6UN15')"
"('Q96BK5', 'Q6ZRQ5')"
"('P51677', 'P04899')"
"('P68400', 'P05114')"
"('Q01085', 'P01106')"
"('P17612', 'P63218')"
"('P16333', 'Q9BYB0')"
"('P01106', 'O75486')"
"('P46940', 'P35968')"
