negatives
"('O00401', 'P12931')"
"('Q15334', 'Q96P63')"
"('P39019', 'Q9Y4P3')"
"('P42285', 'P16989')"
"('Q99525', 'O14929')"
"('P25963', 'Q13616')"
"('P23560', 'P06213')"
"('Q9H0W5', 'P25705')"
"('O75553', 'Q9Y2Y4')"
"('P51668', 'Q969Q1')"
"('Q96AA8', 'Q8WWY3')"
"('Q8IW35', 'P07948')"
"('Q8WYQ5', 'Q15555')"
"('P05121', 'P00734')"
"('O14545', 'Q96IP4')"
"('Q86UE4', 'O60739')"
"('Q59EK9', 'P55040')"
"('P84022', 'P0DMV9')"
"('Q9NVU0', 'P78406')"
"('P78424', 'O75360')"
"('Q9Y572', 'O43707')"
"('P98082', 'P62140')"
"('Q14166', 'Q8N5M4')"
"('Q9HCE1', 'O14879')"
"('Q15311', 'P35749')"
"('Q99616', 'P51686')"
"('P04637', 'Q99848')"
"('O95347', 'O60478')"
"('Q9H0I2', 'O43379')"
"('P03952', 'P00747')"
"('P27658', 'Q6PEX3')"
"('P43307', 'Q16795')"
"('Q9P0P0', 'Q15761')"
"('O94805', 'O00716')"
"('P01106', 'Q07021')"
"('Q6NSZ9', 'O15397')"
"('P43268', 'P05412')"
"('P84243', 'Q9Y266')"
"('Q07065', 'Q70EL3')"
"('Q9UHD9', 'Q9BVL2')"
"('P60174', 'P25325')"
"('P00533', 'Q6PGP7')"
"('Q92993', 'Q9H840')"
"('O95759', 'P14923')"
"('P20823', 'Q09472')"
"('P20711', 'Q04206')"
"('P60411', 'P43353')"
"('A6NEM1', 'Q96PV4')"
"('Q6A162', 'Q96SQ5')"
"('Q86V81', 'Q969P0')"
"('Q9H7E2', 'Q7KZF4')"
"('Q13228', 'P61956')"
"('P61221', 'P10619')"
"('P11940', 'P46777')"
"('P45973', 'Q05516')"
"('P40200', 'Q15818')"
"('Q12931', 'P06737')"
"('Q8N490', 'Q96EK5')"
"('P35452', 'Q9Y5Q3')"
"('P27824', 'Q9H0R8')"
"('P30101', 'P27797')"
"('Q15544', 'P05067')"
"('O14965', 'Q9NWT8')"
"('P49759', 'Q8IVG5')"
"('O75143', 'Q9H492')"
"('Q8IWV1', 'O00459')"
"('Q9C002', 'Q9NQE9')"
"('Q9UHJ6', 'Q96D98')"
"('Q13137', 'Q96A72')"
"('Q01844', 'Q15717')"
"('Q86YZ3', 'Q86XR8')"
