#tail	head	num_paths
Q15717	Q9UPN9	2
P17612	P11473	1
P37173	Q9H0M0	5
P31946	Q9GZV5	1
P05556	P12830	1
P12830	P37275	2
Q15717	O60315	2
P05106	P49023	5
P49023	P10275	1
P05106	P17301	4
P17301	P15336	4
P05106	P27361	14
P27361	P18847	1
P05106	Q63HR2	12
Q63HR2	P38398	1
P05106	P35222	6
P35222	Q99966	1
P05106	Q13418	1
Q13418	Q92905	1
P27361	Q92793	1
Q63HR2	P01106	6
P01106	P49711	1
P05106	P05129	3
P05129	P98082	2
P05106	P37173	4
P27361	Q9NPI6	1
P05106	P29353	3
P29353	P17844	1
P27361	Q16254	1
P05129	P16220	1
P16220	Q15329	2
P05106	P05771	2
P05771	Q09472	1
P05106	P07237	2
P07237	P03372	1
P27361	P14921	1
P49023	Q01844	1
P05129	P01100	1
Q63HR2	Q12778	3
Q12778	P55316	1
P05106	P08514	3
P08514	P62993	2
P62993	O75593	2
P05106	P16234	2
P16234	O43524	1
P16234	P98177	1
P05106	P43405	1
P43405	Q13547	1
P27361	P41235	1
P49023	P19320	1
P05106	P35968	1
P35968	P05067	1
P07237	P05412	1
P27361	P17535	1
P01106	Q13118	1
P35222	Q9UJU2	1
P05106	O43707	1
O43707	Q02078	1
P49023	Q12800	1
Q12800	Q06413	1
P27361	Q15788	1
P37173	P23511	2
P37173	P25208	4
P01106	Q13952	1
P62993	Q8TAK6	2
P05106	P18031	1
P18031	O75925	1
Q63HR2	Q7Z6Z7	1
Q7Z6Z7	O75928	1
P27361	P29590	1
P05771	P06400	1
P05106	P29317	1
Q12778	Q08999	1
P27361	Q01196	1
P27361	Q13950	1
P05106	P12931	1
P08514	P16144	1
P16144	P12755	1
P05106	P56539	3
P56539	Q96PU5	2
Q96PU5	P12757	1
P27361	Q15796	1
P05106	P21333	2
P21333	P84022	1
P29353	Q13485	1
Q96PU5	O43541	1
P35222	O15105	1
P05106	O75369	1
O75369	Q9HAU4	1
P01106	Q8TAD8	1
P05106	O96013	2
O96013	Q13573	1
P35222	P48436	1
P29353	P08047	1
P56539	Q15365	1
Q15365	Q14186	1
Q63HR2	O43463	1
O43463	Q14188	1
P27361	Q15583	1
O96013	P04637	1
P05106	P17252	1
P17252	O15350	2
P05106	P02671	1
P02671	Q9UPN9	1
P27361	P11473	1
P35222	Q9GZV5	1
P49023	P12830	1
P01106	O60315	1
P34741	P01137	3
P01137	P10275	1
P34741	P05129	2
P05129	P15336	1
P34741	Q15717	26
Q15717	P18847	1
Q15717	P38398	1
P34741	P54252	31
P54252	Q09472	6
Q09472	Q99966	2
Q15717	Q92905	1
P54252	Q92793	2
P34741	O00257	6
O00257	P49711	1
Q15717	P35222	1
P01137	Q9UER7	1
P54252	Q9Y4K3	3
Q9Y4K3	Q9NPI6	3
P34741	O60506	2
O60506	P17844	1
P54252	O15379	5
O15379	Q16254	1
P54252	P16220	2
Q15717	P03372	1
Q15717	P14921	1
P54252	Q01844	1
Q15717	P01100	1
P54252	O95817	1
O95817	P53539	1
Q9Y4K3	P55316	3
Q15717	Q99081	1
Q99081	O75593	1
P54252	Q9UNE7	1
Q9UNE7	Q12778	1
Q15717	O43524	1
P54252	P98177	1
Q9Y4K3	Q13547	2
O00257	P41235	1
Q92793	P31269	1
P54252	P05067	1
Q15717	P04629	1
P04629	Q8IU81	1
Q15717	P05412	1
P54252	Q9HCE7	2
Q9HCE7	P17275	1
P34741	P10242	3
P10242	Q9UJU2	1
O15379	Q02078	1
Q09472	Q06413	1
Q15717	P01106	1
P54252	P55072	1
P55072	Q15788	1
P16220	P23511	1
P54252	Q92831	1
Q92831	P25208	1
Q15717	Q8TEW6	1
Q8TEW6	Q8TAK6	1
P10242	O75925	1
O15379	O75928	1
P54252	P29590	1
O00257	P06400	1
O00257	P28749	1
Q15717	Q01196	1
O15379	Q13950	1
Q9HCE7	Q13761	1
P10242	P12755	1
O00257	P12757	1
Q15717	Q15796	1
O00257	P84022	1
P34741	P01009	1
P01009	Q13485	1
O15379	O15105	1
P54252	P27824	1
Q09472	Q8TAD8	2
Q15717	Q13573	1
Q09472	P48436	1
P54252	P07900	1
P07900	P08047	2
Q09472	P15884	1
Q15717	Q14186	1
P34741	P46379	1
P46379	Q14188	1
P54252	P04637	1
P34741	P17252	1
P01137	P11473	1
P34741	P15311	1
P15311	Q9H0M0	1
Q15717	P62140	1
P62140	Q9GZV5	1
O60506	P37275	1
P36897	P07900	11
P07900	P10275	2
P07900	P15336	2
P07900	P18847	2
P07900	P38398	2
P36897	Q09472	7
P07900	Q92905	2
Q09472	Q92793	1
P36897	P84022	16
P84022	P49711	2
P36897	P29317	2
P29317	P35222	1
P36897	P98082	1
P36897	Q9UER7	1
P36897	Q9Y4K3	4
P36897	O43318	1
O43318	P17844	1
P84022	Q16254	2
P84022	Q15329	1
P07900	P03372	1
P84022	P14921	1
P36897	Q9H0M0	3
Q9H0M0	Q01844	2
P84022	P01100	1
P84022	P53539	1
P36897	P27986	1
P36897	P63104	3
P63104	Q12778	1
P63104	O43524	1
P63104	P98177	1
P84022	P41235	2
P36897	Q13485	2
Q13485	P31269	1
P36897	P12757	4
P12757	Q9H160	1
P36897	Q96B97	1
Q96B97	Q8IU81	2
P07900	P05412	1
P84022	P17275	1
P36897	P09493	1
P09493	P17535	1
P36897	Q15717	1
P36897	P46531	3
P46531	Q9UJU2	1
Q09472	Q02078	1
P46531	Q06413	1
P36897	Q9NYL2	1
Q9NYL2	P01106	1
P84022	Q15788	1
Q09472	P23511	1
Q09472	P25208	1
P84022	Q13952	1
P84022	Q8TAK6	1
P12757	O75925	1
P36897	Q9H0E2	2
Q9H0E2	Q8IUQ4	1
Q8IUQ4	O75928	1
P36897	P51784	2
P51784	P29590	1
P36897	Q12931	1
Q12931	P06400	1
P36897	Q13107	1
Q13107	Q08999	1
Q9Y4K3	Q01196	2
Q9H0M0	Q13950	2
P46531	Q13761	1
P36897	P12755	2
P36897	Q15796	1
P36897	O43541	1
Q9H0E2	O15105	1
P36897	Q9NPB6	1
Q9NPB6	Q9HAU4	2
P07900	Q13573	2
P84022	P48436	1
P51784	P15884	1
P84022	Q14186	2
P07900	Q00534	1
Q00534	Q14188	1
P36897	P68104	1
P68104	Q15583	1
P07900	P04637	1
P36897	Q96S59	1
P12757	Q9UPN9	1
P36897	Q13501	1
Q13501	P11473	1
P36897	P63151	1
P63151	Q9GZV5	1
P84022	P37275	1
P84022	O60315	1
P37173	P07900	7
P37173	P05412	9
P05412	Q99966	1
P37173	Q02447	7
Q02447	Q92793	1
P37173	P84022	9
P37173	P35222	1
P37173	P98082	1
P37173	Q9Y4K3	3
P37173	P62993	4
P62993	P17844	1
P37173	P18146	5
Q02447	Q09472	1
Q02447	P03372	1
P37173	P05067	5
P05067	P14921	1
P05067	P01100	1
P05412	P53539	1
P37173	Q92569	1
Q92569	Q12778	1
P84022	O43524	1
P84022	P98177	1
Q02447	Q13547	1
P37173	P62805	1
P62805	P31269	1
P37173	Q96B97	1
P18146	P17275	1
P18146	P17535	1
P18146	Q13118	1
P18146	Q9UJU2	1
P05412	Q02078	1
P05412	Q06413	1
P07900	P01106	1
P05412	Q15788	1
P25208	Q13952	1
Q02447	O75925	1
P05412	O75928	1
P05412	P29590	1
P62993	P06400	1
P37173	Q9NPF0	1
Q9NPF0	P28749	1
P37173	P67775	1
P67775	Q08999	1
P84022	Q13761	1
P37173	P36897	1
P37173	O43318	3
O43318	P12757	1
P37173	Q15796	1
P37173	Q13485	1
O43318	O43541	1
O43318	O15105	1
P37173	Q9NPB6	1
P37173	P14635	1
P14635	Q8TAD8	1
P37173	Q93074	2
Q93074	P48436	1
P37173	P08047	1
P37173	Q9HD26	1
Q9HD26	P15884	1
Q02447	Q01094	1
Q01094	Q14188	1
P05067	Q15583	1
Q02447	P04637	1
P25208	O15350	1
P05412	Q9UPN9	1
Q93074	P11473	1
P84022	Q9GZV5	1
P37173	P49716	1
P49716	P37275	1
P05067	O60315	1
