negatives
"('P60331', 'Q15973')"
"('P98170', 'Q9Y2D8')"
"('Q13724', 'P61224')"
"('Q16659', 'P53680')"
"('Q96GE4', 'Q08379')"
"('Q8N163', 'P33993')"
"('P06493', 'Q12888')"
"('Q6NUN9', 'P06748')"
"('P04629', 'Q9Y5X1')"
"('P41235', 'O00458')"
"('P43115', 'Q8IZR5')"
"('Q9GZN7', 'Q8TDJ6')"
"('O15321', 'P48039')"
"('P02452', 'P84022')"
"('Q9NVD7', 'Q99459')"
"('P61803', 'P11171')"
"('Q14592', 'P61328')"
"('Q06203', 'Q07960')"
"('P60484', 'P23396')"
"('Q96I25', 'Q9HCE7')"
"('Q15393', 'Q99459')"
"('O75164', 'P33993')"
"('O95793', 'P54886')"
"('Q93008', 'Q96Q83')"
"('O75436', 'P41227')"
"('Q96RT1', 'P33402')"
"('P82650', 'Q9NVX0')"
"('P62701', 'Q5U5Q3')"
"('P40855', 'O96011')"
"('Q16531', 'Q4LE39')"
"('Q99832', 'O60232')"
"('P57775', 'Q13371')"
"('P33991', 'Q9Y2A7')"
"('Q8WWY3', 'Q8WYA6')"
"('Q9Y678', 'O75533')"
"('P10412', 'P09651')"
"('O00267', 'Q12907')"
"('P22612', 'E9PQ53')"
"('Q06190', 'O15357')"
"('O75489', 'Q8WUK0')"
"('P14618', 'Q9Y5K5')"
"('Q9Y5B8', 'O15078')"
"('Q92791', 'P55318')"
"('Q9Y4X5', 'Q9Y297')"
"('Q9Y241', 'P49662')"
"('Q14164', 'P62750')"
"('Q99878', 'Q86VP6')"
"('Q7Z7A1', 'Q8WXW3')"
"('P02751', 'P62277')"
"('Q8NI35', 'P37840')"
"('Q99459', 'Q8IY67')"
"('Q9NRC8', 'P49750')"
"('P27361', 'P61978')"
"('Q68DK2', 'O75478')"
"('Q9H582', 'P22087')"
"('Q13535', 'Q86U70')"
"('Q96NT1', 'P46940')"
"('Q96LJ7', 'P24941')"
"('P60033', 'P63244')"
"('Q15696', 'Q92997')"
"('P27348', 'Q5VWQ8')"
"('O76021', 'P05412')"
"('P28290', 'O15265')"
"('Q9GZT8', 'P50226')"
"('Q9BW72', 'P05067')"
"('Q92466', 'Q7L5N1')"
"('O60512', 'Q6ICH7')"
"('P84103', 'O60341')"
"('Q9Y4R8', 'Q8N122')"
"('P04156', 'Q9H4B4')"
"('Q5VU43', 'Q8WWY3')"
"('O95166', 'P60866')"
"('Q4G0J3', 'P33993')"
"('Q15834', 'Q9UBZ4')"
"('Q9P0P8', 'Q9H2W6')"
"('Q07157', 'Q9H0W5')"
"('P26368', 'P50395')"
"('Q8N715', 'Q7Z3Y8')"
"('Q9Y5H5', 'O95433')"
"('P12931', 'P25101')"
"('Q9UGL9', 'P28799')"
"('P61011', 'P57678')"
"('O60939', 'Q05193')"
"('P35626', 'P47890')"
"('P63211', 'P18545')"
"('P08754', 'P22059')"
"('Q14103', 'Q8N8N7')"
"('Q5VWQ8', 'Q14164')"
"('P05141', 'Q8WXI3')"
"('Q9UJV9', 'Q15393')"
"('Q13263', 'Q4G0J3')"
"('Q14568', 'Q92905')"
"('Q9Y2K1', 'P98175')"
"('Q9UQ80', 'Q9UBQ5')"
"('P35240', 'Q9UBU9')"
"('O14788', 'Q9UBS3')"
"('P51991', 'Q92905')"
"('P04439', 'Q6UXL0')"
"('P35813', 'P22736')"
"('O60762', 'Q9Y5V3')"
"('O15392', 'Q93008')"
"('Q8IW19', 'Q96A08')"
"('P12110', 'P08648')"
"('Q13200', 'P78371')"
"('Q13111', 'P15884')"
"('P12830', 'Q9BQL6')"
"('P52333', 'Q9Y6K9')"
"('P15884', 'Q5JT25')"
"('Q969P0', 'Q12906')"
"('P26371', 'Q8NE01')"
"('Q7L5N1', 'Q6P5R6')"
"('P13639', 'O15264')"
"('Q86Y01', 'P62993')"
"('Q9Y4W2', 'O14980')"
"('P55036', 'P27708')"
"('Q71UI9', 'P62937')"
"('Q9BSC4', 'P62241')"
"('Q9H492', 'Q04837')"
"('P22626', 'P35244')"
"('Q15645', 'P22314')"
"('P10415', 'Q16665')"
"('P49815', 'Q13526')"
"('Q86TI0', 'Q9Y247')"
"('Q92769', 'Q03181')"
"('Q9H3D4', 'Q9BZG8')"
"('Q9Y5V3', 'Q9Y6R0')"
"('Q00535', 'Q14990')"
"('Q96DC9', 'P61088')"
"('O15514', 'Q6IA86')"
"('Q9NWH9', 'P0DP23')"
"('Q05D60', 'Q14129')"
"('Q13200', 'P00533')"
"('Q9NTX7', 'P62256')"
"('Q9P2A4', 'Q92558')"
"('O75312', 'Q93052')"
"('Q99459', 'Q92804')"
"('Q16698', 'P27635')"
"('Q9NZJ7', 'P49768')"
"('O95197', 'Q9NRG1')"
"('P37840', 'P28482')"
"('P18124', 'P46781')"
"('Q99496', 'Q96GC5')"
"('Q93050', 'P07195')"
"('P42336', 'P63000')"
"('Q99523', 'P04629')"
"('Q9NR56', 'P52597')"
"('Q6Y288', 'Q16635')"
"('Q13155', 'P36543')"
"('Q92835', 'P27986')"
"('A2RUU4', 'Q5JS37')"
"('P49841', 'P49407')"
"('P36406', 'Q9P2K6')"
"('O95425', 'O75955')"
"('Q07021', 'O14641')"
"('P01563', 'Q99062')"
"('Q96SQ5', 'O43298')"
"('Q92621', 'Q92731')"
"('Q96CW5', 'Q02952')"
"('Q13310', 'Q9UHX1')"
"('P52306', 'P04629')"
"('Q15034', 'Q0P6H9')"
"('Q8NHY2', 'P63104')"
"('Q13557', 'P42331')"
"('P07900', 'Q12852')"
"('Q9NY27', 'Q15257')"
"('Q8N1B4', 'Q8NB25')"
"('Q9Y3D6', 'P51572')"
"('P16104', 'P48643')"
"('Q16695', 'Q9UGN5')"
"('Q96T91', 'P43251')"
"('O00505', 'Q8TE12')"
"('Q9P2B7', 'Q5T5X7')"
"('O00762', 'P62979')"
"('Q96LK0', 'Q14669')"
"('Q99501', 'P19174')"
"('Q6IC98', 'Q53TS8')"
"('Q8WZ42', 'P03372')"
"('Q9UBX2', 'O95782')"
"('Q9Y4B5', 'P63167')"
"('P18206', 'O75970')"
"('Q9HC62', 'P61956')"
"('Q9Y2X3', 'Q8NE63')"
"('Q9UBQ5', 'P19320')"
"('P46379', 'Q92698')"
"('Q99259', 'P46952')"
"('P23258', 'P13073')"
"('P38646', 'P15056')"
"('P62750', 'Q6R327')"
"('P78527', 'P11387')"
"('P62993', 'Q15427')"
"('P23258', 'Q9NTK5')"
"('Q3ZCQ8', 'P05412')"
"('Q8TBX8', 'Q9BRK4')"
"('P34925', 'P19022')"
"('O00469', 'O60678')"
"('Q13618', 'O60613')"
"('P35414', 'O14775')"
"('P68036', 'Q13263')"
"('Q9UHG0', 'Q8IY33')"
"('Q96CN7', 'O00273')"
"('P25788', 'Q9H307')"
"('O14976', 'O14966')"
"('Q9Y4F5', 'Q68CZ1')"
"('Q96T49', 'C9JLW8')"
"('P48431', 'O00148')"
"('O95398', 'P10114')"
"('Q92905', 'Q96M94')"
"('Q9UJW0', 'Q04637')"
"('Q17R55', 'Q71U36')"
"('P55072', 'Q05519')"
"('P16520', 'O95718')"
"('Q3V6T2', 'Q14432')"
"('Q5SRE5', 'Q08495')"
"('Q9UMX5', 'Q2MV58')"
"('P30876', 'O75147')"
"('Q96QV6', 'P0C1H6')"
"('Q14493', 'Q9Y6A5')"
"('P26196', 'Q86VP6')"
"('Q9NX55', 'P08238')"
"('P46940', 'P62330')"
"('Q86X76', 'Q5T440')"
"('Q9H7L9', 'Q9UK53')"
"('O95251', 'P05067')"
"('P78563', 'Q13526')"
"('O14980', 'P80303')"
"('Q8IY81', 'Q9H7B2')"
"('Q08ER8', 'P60371')"
"('P98177', 'P31947')"
"('O15027', 'Q8TD26')"
"('Q9NZJ9', 'Q14145')"
"('Q8NHV4', 'P23396')"
"('Q92530', 'Q02539')"
"('Q13363', 'O60315')"
"('Q9BTY2', 'Q5T7P3')"
"('P40337', 'P41743')"
"('O00206', 'P04637')"
"('Q8IUR0', 'P0DI82')"
"('Q13573', 'Q8WXI9')"
"('Q9UBP9', 'P26010')"
"('Q13895', 'Q8IXK0')"
"('Q14165', 'O94986')"
"('Q9BRK4', 'Q9P0N9')"
"('Q96DF8', 'Q70Z53')"
"('O95751', 'P13805')"
"('Q9UPM9', 'P49368')"
"('Q92922', 'Q03431')"
"('P28329', 'P54136')"
"('P05388', 'Q02878')"
"('Q15428', 'Q96I25')"
"('Q9NR96', 'Q15109')"
"('Q9P2N5', 'P11441')"
"('Q15022', 'Q96DI7')"
"('Q68CZ1', 'O60341')"
"('Q14103', 'P00558')"
"('O94979', 'P09651')"
"('Q13610', 'P23511')"
"('Q9UL18', 'Q86VP6')"
"('P36873', 'P11473')"
"('Q92522', 'Q8TEK3')"
"('Q9P0T4', 'Q8NA61')"
"('P56748', 'O00501')"
"('P28221', 'P63211')"
"('P25815', 'P35579')"
"('P49407', 'Q04917')"
"('Q93034', 'P62304')"
"('P13010', 'O00505')"
"('P56385', 'P08574')"
"('P35222', 'Q16659')"
"('P51665', 'O15259')"
"('P02647', 'Q14151')"
"('P06748', 'Q12996')"
"('Q99880', 'Q6UXN9')"
"('P0C0S8', 'O15379')"
"('Q3V6T2', 'P62258')"
"('Q9UHD2', 'Q6UVJ0')"
"('O95292', 'P03915')"
"('Q8N1B4', 'Q0D2H9')"
"('P54886', 'O95793')"
"('Q92930', 'P23258')"
"('P08727', 'Q8IYI6')"
"('P07954', 'P49821')"
"('P30153', 'P23443')"
"('Q9Y6M9', 'O15239')"
"('Q9Y295', 'Q13573')"
"('Q14289', 'O14508')"
"('Q9UGL9', 'Q9P2H0')"
"('O95400', 'P55795')"
"('Q8N122', 'Q9Y3M2')"
"('O15350', 'P63244')"
"('Q9Y6K9', 'Q9H6T3')"
"('Q8IY81', 'Q9NR30')"
"('P04629', 'P35232')"
"('Q8TF76', 'Q96GD4')"
"('Q96SB4', 'O14965')"
"('O60237', 'P62140')"
"('O15027', 'Q8N163')"
"('O95239', 'Q8N6T7')"
"('Q8WUY9', 'O60573')"
"('P06241', 'P19438')"
"('O60763', 'O95249')"
"('Q8N3C7', 'P43220')"
"('Q9P2H0', 'O14788')"
"('O60832', 'P04629')"
"('P62805', 'Q92547')"
"('O00592', 'O00214')"
"('Q9UNH7', 'Q9GZM8')"
"('Q16401', 'P54725')"
"('Q14697', 'P07237')"
"('P60371', 'Q7Z2W4')"
"('Q6ICL3', 'Q15717')"
"('Q96Q40', 'Q07002')"
"('O43524', 'Q15796')"
"('P48426', 'Q9Y2J2')"
"('P62241', 'P46783')"
"('P16220', 'Q99952')"
"('Q15012', 'O00425')"
"('Q9BT40', 'Q9Y572')"
"('Q15334', 'O14640')"
"('Q9UBX3', 'Q8N5N7')"
"('Q8IVT5', 'O43252')"
"('Q9H0F6', 'Q92754')"
"('P55036', 'Q14657')"
"('O95551', 'Q9Y4K3')"
"('P46934', 'P61081')"
"('Q9NQG5', 'P19388')"
"('P19320', 'P11387')"
"('Q9Y2I8', 'Q9BYW2')"
"('Q8N4S9', 'Q969F0')"
"('Q5TA76', 'Q5TA79')"
"('Q9UBW7', 'P63167')"
"('P61586', 'P52306')"
"('P00533', 'Q9BSD7')"
"('P50395', 'P04792')"
"('O94760', 'Q6UXV4')"
"('Q92905', 'P51571')"
"('Q8IW35', 'P0DP23')"
"('O75604', 'Q9Y3C5')"
"('P11802', 'Q99828')"
"('O43638', 'P47985')"
"('P53680', 'O43747')"
"('Q9H0D6', 'P35244')"
"('Q9Y5B8', 'Q92622')"
"('P40855', 'Q9UNY4')"
"('P38398', 'P62837')"
"('Q7Z4H7', 'Q7Z7A1')"
"('Q07627', 'P60412')"
"('P51948', 'O00267')"
"('Q9UKV3', 'Q9BRP8')"
"('P36954', 'Q16630')"
"('P61006', 'P53611')"
"('O95073', 'Q9P2P5')"
"('P98164', 'Q9UQF2')"
"('O15514', 'Q14134')"
"('Q9UL18', 'Q96P70')"
"('O14602', 'P78362')"
"('P25787', 'Q92530')"
"('Q96J02', 'O14640')"
"('Q0ZGT2', 'P04792')"
"('P28074', 'Q6P2H3')"
"('Q9UQL6', 'Q9HCU9')"
"('P68104', 'P36952')"
"('P50552', 'O15145')"
"('Q9Y676', 'P82933')"
"('Q9UJV3', 'Q86YD7')"
"('Q9NQC7', 'P31946')"
"('Q8TAE8', 'O76011')"
"('P07996', 'P10600')"
"('P35222', 'Q01826')"
"('Q14978', 'Q9NZC7')"
"('P21283', 'P37231')"
"('O00327', 'P61956')"
"('O95630', 'P31941')"
"('Q8IYD1', 'Q96DU9')"
"('Q16635', 'Q12891')"
"('Q16576', 'P61221')"
"('Q9UQB8', 'P46934')"
"('P49286', 'Q15084')"
"('Q9UMY4', 'P62191')"
"('Q8WW38', 'Q09028')"
"('P12955', 'P00390')"
"('Q9NPF4', 'Q96S44')"
"('P06756', 'P60201')"
"('P50402', 'Q6NW34')"
"('P09382', 'Q16082')"
"('Q13886', 'P05161')"
"('P10244', 'Q15562')"
"('O15160', 'O14802')"
"('P06340', 'P01730')"
"('Q9NS23', 'Q96L92')"
"('P41235', 'P00734')"
"('Q99590', 'P35226')"
"('O15090', 'Q99958')"
"('Q5VYK3', 'P52272')"
"('Q9NRC8', 'Q7Z6Z7')"
"('Q9NS69', 'O43542')"
"('P36894', 'Q9NU53')"
"('Q9BQE5', 'P43353')"
"('P06730', 'P05067')"
"('O94888', 'Q9Y6M4')"
"('P50914', 'P50542')"
"('P32121', 'Q6IFG1')"
"('P03372', 'Q8NF37')"
"('P19338', 'Q15293')"
"('P24941', 'P62316')"
"('Q15024', 'Q5RKV6')"
"('O00483', 'Q9BRT2')"
"('P46108', 'Q5JSZ5')"
"('O76050', 'P78504')"
"('P30559', 'P29992')"
"('Q92622', 'O95995')"
"('Q13137', 'Q9BXY8')"
"('P41252', 'O95433')"
"('Q9UPW8', 'O15083')"
"('P39687', 'P27695')"
"('Q8NHU6', 'P40692')"
"('Q58EX7', 'Q8WWY3')"
"('P46379', 'Q13330')"
"('Q15303', 'Q9H4P4')"
"('Q9Y6R4', 'P49841')"
"('Q9BTP7', 'Q8N2Z9')"
"('P63000', 'P52292')"
"('Q96JG6', 'P25391')"
"('O75439', 'Q96HJ9')"
"('Q2TAL8', 'Q9UJY1')"
"('Q92993', 'P60411')"
"('Q13315', 'Q5VTR2')"
"('P23771', 'P01589')"
"('Q9UHI7', 'Q15323')"
"('P21802', 'Q01970')"
"('Q5VYK3', 'Q15758')"
"('O43298', 'O43242')"
"('Q9NPJ6', 'Q14966')"
"('Q9UMW8', 'Q8N326')"
"('Q13315', 'O43524')"
"('Q13573', 'Q9H0D6')"
"('O75400', 'Q53F19')"
"('O43175', 'Q13043')"
"('Q9H492', 'Q00987')"
"('O00267', 'O43781')"
"('O60216', 'Q5FBB7')"
"('Q9Y4A5', 'Q9H0E9')"
"('P28066', 'P54725')"
"('Q92905', 'P09874')"
"('Q15717', 'Q9H204')"
"('P11274', 'P34932')"
"('P35626', 'Q8NGJ5')"
"('P15313', 'P36542')"
"('P22102', 'P62330')"
"('P41235', 'Q6Q788')"
"('Q6AI12', 'P06733')"
"('Q15811', 'O75792')"
"('Q9Y512', 'P11142')"
"('Q7Z570', 'P10451')"
"('P78371', 'O15354')"
"('Q2M1P5', 'Q15154')"
"('O95298', 'Q15717')"
"('Q9H2C0', 'Q969V4')"
"('O94955', 'P51151')"
"('Q13077', 'P12931')"
"('O00308', 'P62258')"
"('Q8NBX0', 'Q96ER3')"
"('Q8TDS5', 'Q6L8G9')"
"('Q96CT7', 'P60033')"
"('Q15118', 'P05114')"
"('Q9NRH3', 'Q96RT8')"
"('Q14498', 'Q9Y468')"
"('Q13627', 'Q13363')"
"('P06733', 'P24941')"
"('P29692', 'Q9UET6')"
"('Q99575', 'Q9UPY3')"
"('P40429', 'Q00839')"
"('P32754', 'P15822')"
"('Q9P2D1', 'Q15554')"
"('Q6PL18', 'Q16695')"
"('Q15717', 'Q6DCA0')"
"('Q9BWV3', 'Q8IY63')"
"('P24941', 'P25205')"
"('P49746', 'O75578')"
"('P67870', 'O43257')"
"('P35269', 'Q16543')"
"('Q14140', 'O94864')"
"('Q9H668', 'Q15648')"
"('P53803', 'P05423')"
"('Q13131', 'P09874')"
"('Q08117', 'P10275')"
"('Q9H2G9', 'Q86VK4')"
"('Q9BSE2', 'O76064')"
"('Q9Y5S2', 'P11217')"
"('Q8N6L0', 'Q70Z53')"
"('O95886', 'Q13620')"
"('Q13619', 'Q9Y5J5')"
"('O94776', 'Q9BZR8')"
"('P07992', 'Q9Y4B6')"
"('Q8N7P3', 'O95471')"
"('P16104', 'P49720')"
"('P32969', 'O00567')"
"('O43719', 'Q9UJV9')"
"('P68400', 'Q15185')"
"('P11388', 'Q8N0Z3')"
"('Q9H7H0', 'Q13077')"
"('Q9UNM6', 'Q13151')"
"('Q9UL03', 'Q96N11')"
"('Q92831', 'P04637')"
"('Q8TEC5', 'P07900')"
"('P40763', 'P11309')"
"('Q9Y6Y0', 'P09874')"
"('Q8IYI8', 'A8MQ03')"
"('P02511', 'P22914')"
"('P12931', 'P47928')"
"('P10827', 'Q15596')"
"('Q9NQT4', 'Q96I15')"
"('Q86VP3', 'Q96FV0')"
"('Q4V328', 'Q96EK4')"
"('Q4LEZ3', 'Q2KHM9')"
"('Q8TDS5', 'Q96MT4')"
"('P01891', 'Q9BX59')"
"('Q99801', 'P30086')"
"('Q15154', 'Q9NYP9')"
"('Q15052', 'Q9BRK4')"
"('P04629', 'Q9UKM9')"
"('P61158', 'Q16643')"
"('Q9H0W5', 'Q14839')"
"('Q08554', 'P15924')"
"('P07900', 'Q8NE63')"
"('P01730', 'P04150')"
"('O95551', 'P14921')"
"('Q8N7H5', 'O14980')"
"('Q01664', 'P55347')"
"('P00533', 'P0DP23')"
"('P49790', 'Q8WUF5')"
"('O95274', 'Q13505')"
"('Q9BZW8', 'O60880')"
"('Q9GZZ9', 'P14625')"
"('P38159', 'Q86V81')"
"('Q9Y592', 'P62191')"
"('Q9UQB8', 'Q9ULJ3')"
"('Q9NUQ8', 'Q99459')"
"('Q9NZJ6', 'Q9Y3A0')"
"('Q9H2H9', 'Q86Z23')"
"('P52292', 'Q7Z6Z7')"
"('P11142', 'O43918')"
"('Q9H9T3', 'P29372')"
"('Q13191', 'P62736')"
"('P17612', 'Q00536')"
"('Q9Y6K9', 'O60711')"
"('P62820', 'Q96GX1')"
"('Q9Y572', 'Q9ULV4')"
"('P78406', 'Q04917')"
"('P63146', 'P35222')"
"('P20160', 'P01023')"
"('Q9Y2X9', 'Q7Z589')"
"('O94906', 'O75147')"
"('Q9H582', 'Q9H9B1')"
"('P14735', 'P10275')"
"('Q8N9E0', 'O75052')"
"('Q14790', 'P15311')"
"('Q9UFD9', 'P56545')"
"('Q9UEF7', 'Q9Y4H2')"
"('Q13509', 'P49736')"
"('Q63HR2', 'Q14140')"
"('Q8IYF3', 'P45984')"
"('Q9H0H0', 'O60939')"
"('Q7Z4S6', 'P48643')"
"('O15379', 'P11831')"
"('O43829', 'Q9BSU3')"
"('Q13895', 'O75558')"
"('P59998', 'P21333')"
"('Q96FW1', 'Q15843')"
"('O15155', 'Q86X19')"
"('P35268', 'Q12986')"
"('Q5T124', 'P25786')"
"('Q16513', 'P30305')"
"('O00425', 'Q6P2E9')"
"('P32121', 'Q15438')"
"('Q99459', 'Q01085')"
"('Q8WUJ1', 'Q9H5K3')"
"('O95372', 'Q96GD3')"
"('Q9ULC4', 'P68371')"
"('O60292', 'Q15717')"
"('P30153', 'Q00610')"
"('P08238', 'P01912')"
"('P29597', 'P48643')"
"('Q15370', 'Q96Q27')"
"('O95777', 'Q96IJ6')"
"('Q9Y297', 'Q63HQ2')"
"('Q14999', 'P49327')"
"('Q9BUJ2', 'P78406')"
"('P61160', 'Q9Y570')"
"('Q9P2G9', 'P28066')"
"('O75208', 'P36542')"
"('Q8N137', 'Q96S52')"
"('P99999', 'P31483')"
"('O60934', 'P35244')"
"('P63167', 'O15269')"
"('P29372', 'P05141')"
"('P53350', 'O60359')"
"('P35244', 'O14979')"
"('P10415', 'P0DMV8')"
"('Q8N9I9', 'Q15811')"
"('P19438', 'Q9H0F6')"
"('P31152', 'Q9NZ01')"
"('O95166', 'Q9H4B7')"
"('Q9BRX9', 'Q9BW85')"
"('Q8WTS6', 'P98177')"
"('Q7KYR7', 'Q8IWF6')"
"('P78424', 'Q9UH73')"
"('P15018', 'Q6UXL0')"
"('Q99700', 'O75525')"
"('Q99613', 'P55209')"
"('Q96ED9', 'P15622')"
"('P11308', 'Q13547')"
"('P55072', 'Q9BQE3')"
"('Q9UNF0', 'Q96F07')"
"('P36873', 'Q00610')"
"('P62979', 'P63220')"
"('P17676', 'Q86X55')"
"('Q12874', 'P02751')"
"('P22087', 'P18621')"
"('P41743', 'Q14247')"
"('Q7L804', 'Q9P2M7')"
"('P05412', 'P61626')"
"('Q9BXY8', 'Q9Y6A5')"
"('Q9ULK2', 'O43189')"
"('O60232', 'O75414')"
"('Q96D09', 'Q6P1J9')"
"('Q96BK5', 'O43143')"
"('P17612', 'Q8NH94')"
"('P15311', 'P61586')"
"('Q9UBC3', 'Q7L775')"
"('P62753', 'P07900')"
"('P46783', 'Q5TC82')"
"('Q9H2U1', 'Q9Y478')"
"('P05412', 'O43684')"
"('Q9H444', 'Q9UER7')"
"('Q13813', 'P42224')"
"('Q9NP55', 'P28676')"
"('P22102', 'P30566')"
"('O00541', 'Q9Y5B9')"
"('Q17RP2', 'Q13111')"
"('P19387', 'Q9H204')"
"('P06737', 'Q13451')"
"('Q92796', 'Q9BYN8')"
"('Q9HD15', 'P78543')"
"('P13716', 'O15294')"
"('Q8NHC5', 'P38405')"
"('P62280', 'Q7L5N1')"
"('O75586', 'P11473')"
"('P05771', 'P16520')"
"('Q9ULA0', 'Q05209')"
"('Q13620', 'Q96GG9')"
"('O00221', 'Q04864')"
"('P62847', 'Q12905')"
"('P38432', 'Q8NHQ1')"
"('Q9Y618', 'Q15916')"
"('Q15750', 'P12277')"
"('P41218', 'Q9H9Y2')"
"('P04629', 'Q8TDZ2')"
"('Q53GS9', 'Q99459')"
"('Q9Y2Z4', 'Q12834')"
"('P61964', 'Q9NS73')"
"('P0DP24', 'Q9H095')"
"('P41223', 'P41134')"
"('Q5BKU9', 'P43897')"
"('O14980', 'Q15649')"
"('A6NI73', 'P12318')"
"('Q9UMW8', 'Q15750')"
"('P35228', 'Q9Y3F4')"
"('Q08AG7', 'P42285')"
"('P23458', 'Q6IA86')"
"('P50222', 'Q6UWF3')"
"('Q9UNE7', 'Q92783')"
"('Q14980', 'Q9H8V3')"
"('Q9NYZ3', 'P23258')"
"('Q9P2K5', 'Q14103')"
"('Q3SYG4', 'Q9H0F7')"
"('P01266', 'P07237')"
"('P17252', 'Q86UR1')"
"('O60832', 'Q9BUR4')"
"('Q8N3C7', 'Q15645')"
"('P52272', 'Q14164')"
"('Q04917', 'Q86XN8')"
"('Q9UGI9', 'Q16877')"
"('Q14562', 'Q16594')"
"('P13010', 'O43149')"
"('O75928', 'Q9Y4E5')"
"('Q9UK61', 'Q5JU00')"
"('Q9NXR1', 'Q66GS9')"
"('Q9NWB6', 'Q99459')"
"('P62249', 'P19338')"
"('Q86X19', 'Q9Y6Y8')"
"('P18887', 'P22674')"
"('P25786', 'Q86U70')"
"('Q13185', 'P61964')"
"('P42330', 'P52895')"
"('Q09028', 'Q8N6T7')"
"('P01344', 'P11717')"
"('Q9NRY2', 'P05067')"
"('P49792', 'O75530')"
"('Q8N128', 'Q05639')"
"('O75116', 'P56817')"
"('Q9Y282', 'Q9BTX1')"
"('P04637', 'Q9UBE8')"
"('Q9NWT6', 'P56880')"
"('P13804', 'P18085')"
"('Q9BV90', 'Q99471')"
"('P63092', 'Q3MJ16')"
"('Q13323', 'Q07820')"
"('Q96A54', 'Q15831')"
"('P51608', 'Q15717')"
"('Q9H0M0', 'P11217')"
"('Q9BR76', 'O15144')"
"('Q9Y570', 'P04406')"
"('A8TX70', 'P08514')"
"('Q9BV73', 'Q14999')"
"('P57078', 'P26639')"
"('P07814', 'P00533')"
"('Q8TEW6', 'Q7L0Q8')"
"('Q04637', 'O95405')"
"('Q9HCN3', 'P26371')"
"('Q9Y5L0', 'Q9NZQ7')"
"('P43360', 'Q08499')"
"('Q92905', 'Q99828')"
"('Q9UNF1', 'P52333')"
"('P15502', 'O00602')"
"('Q9P2W3', 'Q9HBW0')"
"('P62280', 'Q99608')"
"('Q9BVA1', 'Q6PEY2')"
"('Q8WTU0', 'O75604')"
"('P39019', 'Q96BK5')"
"('P52272', 'P55795')"
"('O76071', 'Q9Y5Q8')"
"('O43293', 'Q00987')"
"('Q13291', 'P32189')"
"('P19320', 'Q9GZT3')"
"('P12830', 'Q8N4C8')"
"('Q96EB6', 'Q07812')"
"('P22314', 'Q9P2J5')"
"('P40763', 'P53367')"
"('Q9NQR1', 'Q8IZU1')"
"('P62266', 'Q12906')"
"('P24863', 'Q9ULK4')"
"('P49407', 'P0C7T3')"
"('Q08379', 'O15145')"
"('Q68CZ1', 'P06454')"
"('P38606', 'Q96TC7')"
"('P08571', 'Q9NYK1')"
"('Q00888', 'P18146')"
"('O76070', 'A6NEW6')"
"('P60866', 'O95166')"
"('Q9H8W4', 'Q96BJ3')"
"('Q9NRD1', 'Q15366')"
"('Q9C0F1', 'Q3B820')"
"('P25100', 'Q8TBB1')"
"('P61218', 'P0DPB5')"
"('P55001', 'Q01955')"
"('Q15392', 'P00533')"
"('Q00653', 'P54136')"
"('Q9UJV3', 'Q96R06')"
"('Q9ULM6', 'P07900')"
"('Q709F0', 'A7MCY6')"
"('P27824', 'P67809')"
"('Q9BZD4', 'Q9Y5B0')"
"('Q8IVT5', 'P33241')"
"('Q9NV31', 'P62875')"
"('P49286', 'Q9HAV0')"
"('P55771', 'Q9UK33')"
"('P35244', 'Q6KC79')"
"('Q9H492', 'P68371')"
"('P01236', 'P14653')"
"('Q9Y265', 'P15923')"
"('O95782', 'P29353')"
"('P62807', 'Q8NB78')"
"('Q96QV6', 'Q13547')"
"('Q15717', 'Q9C0H2')"
"('P54105', 'Q969L4')"
"('O14744', 'P16581')"
"('O95661', 'Q00987')"
"('P01106', 'Q92688')"
"('Q13309', 'Q8N6T7')"
"('Q9HD26', 'P61923')"
"('Q9NWV8', 'Q8N1G4')"
"('O95757', 'P57078')"
"('P42766', 'P61313')"
"('P63104', 'P38919')"
"('O43707', 'P08648')"
"('Q9H061', 'P84103')"
"('Q8TAP6', 'P22234')"
"('P31943', 'P15336')"
"('Q04206', 'P19320')"
"('Q9UJS0', 'O14829')"
"('Q9P1Y5', 'P49841')"
"('P14635', 'P62140')"
"('O75956', 'Q13547')"
"('O76038', 'Q15058')"
"('O15078', 'Q9H0S4')"
"('Q9UL15', 'P43353')"
"('Q6PKX4', 'Q96SF7')"
"('Q04206', 'P62829')"
"('P04792', 'P13051')"
"('P12931', 'Q93052')"
"('Q6P1R3', 'Q9NRL3')"
"('Q93034', 'P09234')"
"('Q5VT06', 'Q15691')"
"('P78406', 'O00425')"
"('O43242', 'P60896')"
"('P20333', 'Q9UM54')"
"('Q07021', 'Q9NQ29')"
"('Q8WVZ9', 'Q9UIH9')"
"('P41182', 'Q15361')"
"('Q86XF0', 'P29016')"
"('P82933', 'Q9UGY1')"
"('Q9BZH6', 'Q9UBT2')"
"('O95486', 'P04080')"
"('O60671', 'O60921')"
"('Q8TD10', 'Q8WY64')"
"('P53671', 'Q9H936')"
"('Q9NVX0', 'P54652')"
"('Q9UGY1', 'Q99848')"
"('Q15744', 'Q13469')"
"('P46781', 'P62906')"
"('O43865', 'P48643')"
"('P19387', 'Q9UPP1')"
"('P55072', 'P63208')"
"('Q9Y2I6', 'Q5SW79')"
